<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
.	./sf
티베트	티베트/nq
민족의	민족/ncn+의/jcm
불교교리를	불교/nq+교리/ncn+를/jco
저변에	저변/ncn+에/jca
깔고	깔/pvg+고/ecx
있는	있/px+는/etm
설창체	설창/ncn+체/xsn
형식	형식/ncn
(	(/sl
設唱體形式	設唱體形式/ncn
)	)/sr
의	의/jcm
신화속의	신화/ncn+속/ncn+의/jcm
영웅	영웅/ncn
[	[/sl
케살왕전	케살왕전/nq
]	]/sr
은	은/jxc
지금까지	지금/ncn+까지/jxc
중국대륙	중국/nq+대륙/ncn
각처에서	각처/ncn+에서/jca
수집된	수집/ncpa+되/xsv+ㄴ/etm
관련	관련/ncn
자료만도	자료/ncn+만/jxc+도/jxc
무려	무려/mag
1	1/nnc
백	백/ncn
50	50/nnc
만행	만행/ncn
(	(/sl
行	行/ncn
)	)/sr
에	에/jca
이를	이르/pvg+ㄹ/etm
만큼	만큼/nbn
방대하다	방대/ncps+하/xsm+다/ef
.	./sf
주로	주로/mag
티베트	티베트/nq
민간인에	민간/ncn+인/xsn+에/jca
의해	의하/pvg+어/ecx
전해지고	전하/pvg+어/ecx+지/px+고/ecx
있는	있/px+는/etm
케살왕전은	케살왕전/nq+은/jxc
중국인이라면	중국/nq+인/xsn+이/jp+라면/ecs
누구나	누구/npp+나/jxc
익히	익히/mag
알고	알/pvg+고/ecx
있을	있/px+을/etm
정도로	정도/ncn+로/jca
흥미롭고	흥미롭/pvg+고/ecc
우화적인	우화/ncn+적/xsn+이/jp+ㄴ/etm
스토리로	스토리/ncn+로/jca
구성	구성/ncn
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
문제의	문제/ncn+의/jcm
케살왕전은	케살왕전/nq+은/jxc
티베트	티베트/nq
민간인에	민간/ncn+인/xsn+에/jca
의해	의하/pvg+어/ecx
쓰여진	쓰이/pvg+어/ecx+지/px+ㄴ/etm
것으로	것/nbn+으로/jca
전해지고	전하/pvg+어/ecx+지/px+고/ecx
있으며	있/px+으며/ecs
세계문학전집에	세계/ncn+문학/ncn+전집/ncn+에/jca
끼어도	끼/pvg+어도/ecs
결코	결코/mag
손색이	손색/ncn+이/jcs
없는	없/paa+는/etm
명작이라고	명작/ncn+이/jp+라/ef+고/jcr
그들은	그/npp+들/xsn+은/jxc
늘	늘/mag
자랑하고	자랑/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
더욱이	더욱이/mag
주인공	주인/ncn+공/xsn
케살은	케살/nq
속세에	속세/ncn+에/jca
사는	살/pvg+는/etm
인간과는	인간/ncn+과/jct+는/jxc
비교할	비교/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
초능력적인	초능/ncn+력/xsn+적/xsn+이/jp+ㄴ/etm
존재로서	존재/ncn+로서/jca
지상에	지상/ncn+에/jca
우글거리는	우글거리/pvg+는/etm
요마	요마/ncn
(	(/sl
妖魔	妖魔/ncn
)	)/sr
를	를/jco
모조리	모조리/mag
소탕하고	소탕/ncpa+하/xsv+고/ecc
마지막으로	마지막/ncn+으로/jca
신출귀몰하는	신출귀몰/ncpa+하/xsv+는/etm
검은	검/paa+은/etm
도깨비왕을	도깨비/ncn+왕/ncn+을/jco
끝까지	끝/ncn+까지/jxc
추적	추적/ncn
,	,/sp
징벌함으로써	징벌/ncpa+하/xsv+ㅁ/etn+으로써/jca
지상에	지상/ncn+에/jca
평화를	평화/ncn+를/jco
가져오게	가지/pvg+어/ecx+오/px+게/ecx
한	하/px+ㄴ/etm
후	후/ncn
하늘나라로	하늘/ncn+나라/ncn+로/jca
전생하게	전생/ncpa+하/xsv+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
케살은	케살/nq+은/jxc
링국의	링국/nq+의/jcm
왕인	왕/ncn+이/jp+ㄴ/etm
자기삼촌이	자기/npp+삼촌/ncn+이/jcs
백성들을	백성/ncn+들/xsn+을/jco
괴롭히고	괴롭히/pvg+고/ecc
강제로	강제/ncn+로/jca
재물을	재물/ncn+을/jco
뺏는	뺏/pvg+는/etm
등	등/nbn
악독하고	악독/ncps+하/xsm+고/ecc
나쁜짓을	나쁘/paa+ㄴ/etm+짓/ncn+을/jco
일삼는	일삼/pvg+는/etm
행위를	행위/ncn+를/jco
보다	보/pvg+다/ecx
못해	못하/px+어/ecs
왕실창고를	왕실/ncn+창고/ncn+를/jco
부숴	부수/pvg+어/ecs
재물을	재물/ncn+을/jco
꺼내어	꺼내/pvg+어/ecs
백성들에게	백성/ncn+들/xsn+에게/jca
되돌려	되돌리/pvg+어/ecx
주기를	주/px+기/etn+를/jco
서슴치	서슴치/mag
않았다	않/paa+았/ep+다/ef
.	./sf
그러나	그러나/maj
링국왕이	링국왕/nq+이/jcs
군마를	군마/ncn+를/jco
동원	동원/ncn
,	,/sp
그	그/npd
재물을	재물/ncn+을/jco
다시	다시/mag
빼앗아가지	빼앗/pvg+아/ecx+가/px+지/ecx
케살은	케살/nq
눈물을	눈물/ncn+을/jco
머금고	머금/pvg+고/ecc
삼촌을	삼촌/ncn+을/jco
강변에	강변/ncn+에/jca
끌고	끌/pvg+고/ecx
나와	나오/px+아/ecs
백성들이	백성/ncn+들/xsn+이/jcs
보는	보/pvg+는/etm
앞에서	앞/ncn+에서/jca
강속에	강속/ncn+에/jca
집ㅇ어	집ㅇ어/mag
죽인	죽이/pvg+ㄴ/etm
후	후/ncn
피육까지	피육/ncn+까지/jca
토막내어	토막/ncn+내/pvg+어/ecs
짐승들의	짐승/ncn+들/xsn+의/jcm
먹이로	먹이/ncn+로/jca
제공하는	제공/ncpa+하/xsv+는/etm
등	등/nbn
오랜	오래/pvg+ㄴ/etm
세월	세월/ncn
동안	동안/ncn
백성들의	백성/ncn+들/xsn+의/jcm
가슴에	가슴/ncn+에/jca
맺힌	맺히/pvg+ㄴ/etm
원한을	원한/ncn+을/jco
말끔히	말끔히/mag
씻어주는	씻/pvg+어/ecx+주/px+는/etm
정의의	정의/ncn+의/jcm
사도로서	사도/ncn+로서/jca
책무를	책무/ncn+를/jco
완수한다	완수/ncpa+하/xsv+ㄴ다/ef
.	./sf
하지만	하지만/maj
케살은	케살/nq+은/jxc
개인적으로는	개인/ncn+적/xsn+으로/jca+는/jxc
누구보다	누구/npp+보다/jca
다정다감	다정다감/ncn
할	하/pvg+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
특히	특히/mag
어머니에	어머니/ncn+에/jca
대한	대하/pvg+ㄴ/etm
효성이	효성/ncn+이/jcs
지극하기로	지극/ncps+하/xsm+기/etn+로/jca
유명하다	유명/ncps+하/xsm+다/ef
.	./sf
중국의	중국/nq+의/jcm
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
고전의	고전/ncn+의/jcm
하나인	하나/ncn+이/jp+ㄴ/etm
케살왕전을	케살왕전/nq+을/jco
유독	유독/mag
티베트	티베트/nq
민족들이	민족/ncn+들/xsn+이/jcs
입에	입/ncn+에/jca
침이	침/ncn+이/jcs
마르도록	마르/pvg+도록/ecs
자랑하는	자랑/ncpa+하/xsv+는/etm
까닭은	까닭/ncn+은/jxc
무엇일까	무엇/npd+이/jp+ㄹ까/ef
.	./sf
그것은	그것/npd+은/jxc
한시대에	한/nq+시대/ncn+에/jca
걸쳐	걸치/pvg+어/ecx
선정을	선정/ncn+을/jco
베풀었다는	베풀/pvg+었/ep+다/ef+는/etm
티케트	티케트/nq
역사상	역사/ncn+상/xsn
가장	가장/mag
추앙	추앙/ncn
받아온	받/pvg+아/ecx+오/px+ㄴ/etm
케세라의	케세라/nq+의/jcm
치적을	치적/ncn+을/jco
신화적으로	신화/ncn+적/xsn+으로/jca
형상화	형상/ncn+화/xsn
시킨	시키/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
굳게	굳/pvg+게/ecx
믿고	믿/pvg+고/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
중국	중국/nq
고전에	고전/ncn+에/jca
나오는	나오/pvg+는/etm
수많은	수많/paa+은/etm
주인공	주인/ncn+공/xsn
가운데	가운데/ncn
케살만큼	케살/nq+만큼/jca
선을	선/ncn+을/jco
실천한	실천/ncpa+하/xsv+ㄴ/etm
인물은	인물/ncn+은/jxc
드물다	드물/paa+다/ef
.	./sf
덕장인	덕장/ncn+이/jp+ㄴ/etm
케살의	케살/nq+의/jcm
활약을	활약/ncn+을/jco
엮어놓은	엮/pvg+어/ecx+놓/px+은/etm
케샹왕전은	케샹왕전/nq+은/jxc
인간세계에서	인간/ncn+세계/ncn+에서/jca
나쁜짓을	나쁘/paa+ㄴ/etm+짓/pvg+을/etm
일삼는	일삼/pvg+는/etm
자는	자/nbn+는/jxc
반드시	반드시/mag
파멸하고	파멸/ncpa+하/xsv+고/ecx
만다는	말/px+ㄴ다/ef+는/etm
다분히	다분히/mag
교훈적인	교훈/ncn+적/xsn+이/jp+ㄴ/etm
줄거리로	줄거리/ncn+로/jca
쓰여	쓰이/pvg+어/ecx
있다	있/px+다/ef
.	./sf
주인공	주인공/ncn
케살은	케살/nq+은/jxc
기지가	기지/ncn+가/jcs
넘치는	넘치/pvg+는/etm
지략가일	지략/ncn+가/xsn+이/jp+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
신통력이	신통/ncn+력/xsn+이/jcs
뛰어난	뛰어나/paa+ㄴ/etm
특출한	특출/ncps+하/xsm+ㄴ/etm
인물로서	인물/ncn+로서/jca
서유기에	서유기/nq+에/jca
나오는	나오/pvg+는/etm
손오공과	손오공/nq+과/jcj
비견될	비견/ncpa+되/xsv+ㄹ/etm
만큼	만큼/nbn
높이	높/paa+이/xsa
평가되고	평가/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
케살왕전	케살왕전/nq
가운데	가운데/ncn
사시	사시/nq
(	(/sl
史詩	史詩/ncn
)	)/sr
편에	편/nbn+에/jca
등장하는	등장/ncpa+하/xsv+는/etm
검은	검/paa+은/etm
도깨비왕국	도깨비/ncn+왕국/ncn
정벌에	정벌/ncn+에/jca
얽힌	얽히/pvg+ㄴ/etm
우화적인	우화/ncn+적/xsn+이/jp+ㄴ/etm
내용을	내용/ncn+을/jco
간추려	간추리/pvg+어/ecx
소개한다	소개/ncpa+하/xsv+ㄴ다/ef
.	./sf
이야기는	이야기/ncn+는/jxc
아득한	아득/ncps+하/xsm+ㄴ/etm
그	그/mmd
옛날	옛날/ncn
하늘나라에서부터	하늘/ncn+나라/ncn+에서/jca+부터/jxc
시작된다	시작/ncpa+되/xsv+ㄴ다/ef
.	./sf
천국에	천국/ncn+에/jca
살고	살/pvg+고/ecx
있는	있/px+는/etm
백범천왕	백범천왕/nq
(	(/sl
白梵天王	白梵天王/nq
)	)/sr
에게는	에게/jca+는/jxc
아들이	아들/ncn+이/jcs
셋	셋/nnc
있었다	있/paa+었/ep+다/ef
.	./sf
백범천왕은	백범천왕/nq+은/jxc
지상세계에서	지상/ncn+세계/ncn+에서/jca
온갖	온갖/mma
못된	못되/paa+ㄴ/etm
짓을	짓/nbn+을/jco
자행하는	자행/ncpa+하/xsv+는/etm
검은	검/paa+은/etm
도깨비들을	도깨비/ncn+들/xsn+을/jco
정벌키	정벌/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
관세음보살과	관세음보살/nq+과/jcj
의논하여	의논/ncpa+하/xsv+어/ecx
세	세/nnc
아들	아들/ncn
가운데	가운데/ncn
머리가	머리/ncn+가/jcs
가장	가장/mag
총명하고	총명/ncpa+하/xsv+고/ecc
무예도	무예/ncn+도/jxc
뛰어난	뛰어나/paa+ㄴ/etm
막내아들	막내/ncn+아들/ncn
통규갈포를	통규갈포/nq+를/jco
지상에	지상/ncn+에/jca
내려	내리/pvg+어/ecx
보내기로	보내/pvg+기/etn+로/jca
했다	하/pvg+었/ep+다/ef
.	./sf
그리하여	그리하/pvg+어/ecs
백범천왕은	백범천왕/nq+은/jxc
막내아들	막내/ncn+아들/ncn
통규갈포에게	통규갈포/nq+에게/jca
전생을	전생/ncn+을/jco
비리고	비리/paa+고/ecc
하계	하계/ncn
(	(/sl
下界	下界/ncn
)	)/sr
로	로/jca
내려가	내리/pvg+어/ecx+가/px+아/ecs
인간의	인간/ncn+의/jcm
몸에서	몸/ncn+에서/jca
다시	다시/mag
태어나도록	태어나/pvg+도록/ecs
명령했다	명령/ncpa+하/xsv+었/ep+다/ef
.	./sf
이	이/mmd
무렵	무렵/nbn
지상세계에서는	지상/ncn+세계/ncn+에서/jca+는/jxc
링국왕의	링국왕/nq+의/jcm
장남	장남/ncn
송탕루체와	송탕루체/nq+와/jcj
부인	부인/ncn
카차라마	카차라마/nq
사이에	사이/ncn+에/jca
자식이	자식/ncn+이/jcs
없어	없/paa+어/ecs
부인과	부인/ncn+과/jct
함께	함께/mag
늘	늘/mag
고민속에	고민속/ncn+에/jca
세월을	세월/ncn+을/jco
보내고	보내/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
특히	특히/mag
부인은	부인/ncn+은/jxc
자비심이	자비/ncn+심/xsn+이/jcs
깊고	깊/paa+고/ecc
풍모도	풍모/ncn+도/jxc
매우	매우/mag
아름다웠다	아름답/paa+었/ep+다/ef
.	./sf
링국왕의	링국왕/nq+의/jcm
장남	장남/ncn
송탕루체와	송탕루체/nq+와/jcj
결혼한	결혼/ncpa+하/xsv+ㄴ/etm
두번째	두/nno+번째/nbu
,	,/sp
세번째	세/nno+번째/nbu
부인	부인/ncn
역시도	역시/ncn+도/jxc
임신이	임신/ncn+이/jcs
되질	되지/paa+ㄹ/etm
않았다	않/px+았/ep+다/ef
.	./sf
어느	어느/mmd
날	날/ncn
첫째	첫째/nno
부인인	부인/ncn+이/jp+ㄴ/etm
카차라마는	카차라마/nq+는/jxc
돌연	돌연/mag
하늘에서	하늘/ncn+에서/jca
눈부시리만큼	눈부시리/ncn+만큼/jca
빛나는	빛나/pvg+는/etm
섬광	섬광/ncn
(	(/sl
閃光	閃光/ncn
)	)/sr
을	을/jco
보는	보/pvg+는/etm
순간	순간/ncn
그만	그만/mag
의식을	의식/ncn+을/jco
잃고	잃/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
이윽고	이윽고/mag
선녀들이	선녀/ncn+들/xsn+이/jcs
내려와	내리/pvg+어/ecx+오/px+아/ecs
자신을	자신/ncn+을/jco
에워싸고	에우/pvg+어/ecs+싸/pvg+고/ecc
노래와	노래/ncn+와/jcj
춤으로	춤/ncn+으로/jca
찬송하는	찬송/ncpa+하/xsv+는/etm
소리에	소리/ncn+에/jca
깜짝	깜짝/mag
놀라	놀라/paa+아/ecs
깨어보니	깨/pvg+어/ecx+보/px+니/ecs
그는	그/npp+는/jxc
어느새	어느새/mag
만삭의	만삭/ncn+의/jcm
몸이	몸/ncn+이/jcc
되어	되/pvg+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
카차라마의	카차라마/nq+의/jcm
임신	임신/ncn
사실을	사실/ncn+을/jco
알게	알/pvg+게/ecx
된	되/px+ㄴ/etm
세번쩨	세/nno+번째/nbu
부인	부인/ncn
나티맹이	나티맹이/nq
자신에게	자신/ncn+에게/jca
아기가	아기/ncn+가/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
카차라마가	카차라마/nq+가/jcs
아기를	아기/ncn+를/jco
낳게	낳/pvg+게/ecx
되면	되/px+면/ecs
무용지물로	무용지물/ncn+로/jca
절락할	절락/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
우려하고	우려/ncpa+하/xsv+고/ecx
고민	고민/ncn
끝에	끝/ncn+에/jca
그녀를	그녀/npp+를/jco
죽이기로	죽이/pvg+기/etn+로/jca
계략을	계략/ncn+을/jco
꾸몄다	꾸미/pvg+었/ep+다/ef
.	./sf
그녀는	그녀/npp+는/jxc
즉시	즉시/ncn
남편	남편/ncn
송탕루체에게	송탕루체/nq+에게/jca
달려가	달리/pvg+어/ecx+가/px+아/ecs
"	"/sl
카차라마가	카차라마/nq+가/jcs
부정을	부정/ncn+을/jco
저질러	저지르/pvg+어/ecx
임신까지	임신/ncn+까지/jxc
했다	하/pvg+었/ep+다/ef
."	./sf+"/sl
고	고/jcr
모함하기에	모함/ncpa+하/xsv+기/etn+에/jca
이르렀다	기/etn+에/jca
.	./sf
카차라마	카차라마/nq
부인은	부인/ncn+은/jxc
시동생까지	시동생/ncn+까지/jxc
합세한	합세/ncpa+하/xsv+ㄴ/etm
모략으로	모략/ncn+으로/jca
집안으로부터	집안/ncn+으로/jca+부터/jxc
쫓겨나고	쫓기/pvg+어/ecx+나/px+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
오갈	오가/pvg+ㄹ/etm
데	데/nbn
없는	없/paa+는/etm
그녀는	그녀/npp+는/jxc
산중을	산/ncn+중/xsn+을/jco
정처	정처/ncn
없이	없/paa+이/xsa
헤매며	헤매/pvg+며/ecc
굶주리다가	굶주리/pvg+다가/ecs
돌연	돌연/mag
산기	산기/ncn
(	(/sl
産氣	産氣/ncn
)	)/sr
가	가/jcs
들어	들/pvg+어/ecs
움막집에서	움막/ncn+집/ncn+에서/jca
산고를	산고/ncn+를/jco
겪게	겪/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
그런데	그런데/maj
이게	이/npd+게/jca
웬일인가	웬일/ncn+이/jp+ㄴ가/ef
.	./sf
카차라마	카차라마/nq
부인은	부인/ncn+은/jxc
아기	아기/ncn
대신	대신/ncn
강아지와	강아지/ncn+와/jcj
뱀새끼를	뱀/ncn+새끼/ncn+를/jco
차례로	차례/ncn+로/jca
출산하고서는	출산/ncpa+하/xsv+고서는/ecs
깜짝	깜짝/mag
놀라	놀라/pvg+아/ecs
실신하고	실신/ncpa+하/xsv+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
시간이	시간/ncn+이/jcs
조금	조금/mag
지난	지나/pvg+ㄴ/etm
후	후/ncn
또다시	또다시/mag
산기가	산기/ncn+가/jcs
들면서	들/pvg+면서/ecc
이상한	이상/ncpa+하/xsv+ㄴ/etm
고기덩어리를	고기/ncn+덩어리/ncn+를/jco
낳게	낳/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
정신을	정신/ncn+을/jco
차려	차리/pvg+어/ecx
고기	고기/ncn
덩어리를	덩어리/ncn+를/jco
쪼개는	쪼개/pvg+는/etm
순간	순간/ncn
그	그/npd
속에서	속/ncn+에서/jca
영특하게	영특/ncps+하/xsm+게/ecx
생긴	생기/pvg+ㄴ/etm
사내	사내/ncn
아기가	아기/ncn+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
기쁨과	기쁨/ncn+과/jct
두려움	두렵/paa+ㅁ/etn
속에	속/ncn+에/jca
그	그/npd
아기를	아기/ncn+를/jco
껴안고	껴안/pvg+고/ecx
보니	보/px+니/ecs
이미	이미/mag
그	그/npd
아기는	아기/ncn+는/jxc
열	열/nnc
살	살/nbu
정도의	정도/ncn+의/jcm
나이로	나이/ncn+로/jca
급성장해	급/xp+성장/ncpa+하/xsv+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그	그/npd
아기는	아기/ncn+는/jxc
자신을	자신/ncn+을/jco
157510600 < </sl
동규갈포	동규갈포/nq
>	>/sr
라고	라고/jcr
소해하는	소해/ncpa+하/xsv+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
이리하여	이리하/pvg+어/ecs
하늘나라에	하늘나라/ncn+에/jca
있던	있/paa+던/etm
백범천와의	백범천와/nq+의/jcm
막내아들이	막내/ncn+아들/ncn+이/jcs
하계	하계/ncn
,	,/sp
인간세상의	인간/ncn+세상/ncn+의/jcm
사람으로	사람/ncn+으로/jca
다시	다시/mag
태어나게	태어나/pvg+게/ecx
된	되/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그는	그/npp+는/jxc
어머니와	어머니/ncn+와/jct
함께	함께/mag
나무껍질과	나무/ncn+껍질/ncn+과/jcj
두더지까지	두더지/ncn+까지/jca
잡아	잡/pvg+아/ecx
먹으며	먹/pvg+으며/ecs
어렵게	어렵/paa+게/ecx
자랐지만	자르/pvg+았/ep+지만/ecs
결코	결코/mag
불평하지	불평/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
어머니를	어머니/ncn+를/jco
극진히	극진히/mag
보살폈다	보살피/pvg+었/ep+다/ef
.	./sf
점차	점차/mag
그의	그/npp+의/jcm
인품과	인품/ncn+과/jcj
재능이	재능/ncn+이/jcs
세상에	세상/ncn+에/jca
널리	널리/mag
알려지고	알리/pvg+어/ecx+지/px+고/ecc
미모의	미모/ncn+의/jcm
공주출신	공주/ncn+출신/ncn
추모와	추모/nq+와/jcj
결혼하게	결혼/ncpa+하/xsv+게/ecx
됨으로써	되/px+ㅁ/etn+으로써/jca
이름을	이름/ncn+을/jco
케샹	케샹/nq
(	(/sl
公	公/ncn
子숫사자	子숫사자/nq
)	)/sr
로	로/jca
바꿔	바꾸/pvg+어/ecx
부르게	부르/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
케살은	케살/nq+은/jxc
평민출신인	평민/ncn+출신/ncn+이/jp+ㄴ/etm
둘째부인	둘째/nno+부인/ncn
매이사를	매이사/nq+를/jco
더욱	더욱/mag
사랑했는데	사랑/ncpa+하/xsv+었/ep+는데/ecs
어느	어느/mmd
날	날/ncn
갑자기	갑자기/mag
매이사가	매이사/nq+가/jcs
검은	검/paa+은/etm
도깨비들에게	도깨비/ncn+들/xsn+에게/jca
홀려가고	홀리/pvg+어/ecx+가/px+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
케살은	케살/nq+은/jxc
매이사를	매이사/nq+를/jco
구출함은	구출/ncpa+하/xsv+ㅁ/etn+은/jxc
물론	물론/mag
지상에	지상/ncn+에/jca
날뛰는	날뛰/pvg+는/etm
검은	검/paa+은/etm
도깨비들을	도깨비/ncn+들/xsn+을/jco
소탕해	소탕/ncpa+하/xsv+어/ecx
버리기	버리/px+기/etn
위해	위하/pvg+어/ecs
도깨비들의	도깨비/ncn+들/xsn+의/jcm
본거지를	본/xp+거지/ncn+를/jco
알아	알/pvg+아/ecx
내려고	내/px+려고/ecs
백방으로	백방/ncn+으로/jca
찾아	찾/pvg+아/ecx
헤맸으나	헤매/pvg+었/ep+으나/ecs
허사였다	허사/ncn+이/jp+었/ep+다/ef
.	./sf
며칠	며칠/ncn
후	후/ncn
케살은	케살/nq+은/jxc
황급히	황급히/mag
찾아온	찾/pvg+아/ecx+오/px+ㄴ/etm
부하	부하/ncn
동불	동불/ncn
원숭이로부터	원숭이/ncn+로/jca+부터/jxc
도깨비	도깨비/ncn
왕국이	왕국/ncn+이/jcs
멀리	멀리/mag
떨어진	떨어지/pvg+ㄴ/etm
북쪽산	북쪽/ncn+산/ncn
안개	안개/ncn
자욱한	자욱/ncps+하/xsm+ㄴ/etm
정상에	정상/ncn+에/jca
있다는	있/px+다/ef+는/etm
보고를	보고/ncn+를/jco
듣게	듣/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
케살은	케살/nq+은/jxc
자기를	자기/ncn+를/jco
따르는	따르/pvg+는/etm
동물부하들인	동물/ncn+부하/ncn+들/xsn+이/jp+ㄴ/etm
사자와	사자/ncn+와/jcj
호랑이	호랑이/ncn
여우	여우/ncn
원숭이	원숭이/ncn
코뿔소	코뿔소/ncn
등을	등/nbn+을/jco
이끌고	이끌/pvg+고/ecc
말을	말/ncn+을/jco
타고	타/pvg+고/ecx
날아가듯	날/pvg+아/ecx+가/px+듯/ecs
달려갔다	달리/pvg+어/ecx+가/px+았/ep+다/ef
.	./sf
천신만고	천신만고/ncn
끝에	끝/ncn+에/jca
도깨비	도깨비/ncn
왕국을	왕국/ncn+을/jco
찾아낸	찾/pvg+아/ecx+내/px+ㄴ/etm
케살은	케살/nq+은/jxc
야음을	야음/ncn+을/jco
틈타	틈타/pvg+아/ecs
극비리에	극비리/ncn+에/jca
매이사를	매이사/nq+를/jco
만나	만나/pvg+아/ecs
도깨비	도깨비/ncn
정벌을	정벌/ncn+을/jco
위한	위하/pvg+ㄴ/etm
방법을	방법/ncn+을/jco
숙의했다	숙의/ncpa+하/xsv+었/ep+다/ef
.	./sf
마침내	마침내/mag
동물부하들에게	동물/ncn+부하/ncn+들/xsn+에게/jca
성벽을	성벽/ncn+을/jco
둘러	두루/pvg+어/ecx
싸고	싸/px+고/ecc
각자	각자/ncn
임무를	임무/ncn+를/jco
수행토록	수행/ncn+토록/jca
했다	하/pvg+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
사실들을	사실/ncn+들/xsn+을/jco
눈치채지	눈치채/pvg+지/ecx
못하도록	못하/px+도록/ecs
그날밤	그날밤/mag
매이사가	매이사/nq+가/jcs
잠자리에서	잠/ncn+자리/ncn+에서/jca
도깨비	도깨비/ncn
왕에게	왕/ncn+에게/jca
울먹이는	울먹이/pvg+는/etm
시늉을	시늉/ncn+을/jco
하며	하/pvg+며/ecc
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
"	"/sr
여보	여보/ii
요즘	요즘/mag
불길한	불길/ncps+하/xsm+ㄴ/etm
꿈이	꿈/ncn+이/jcs
계속	계속/mag
꾸어지는데	꾸/pvg+어/ecx+지/px+는데/ecs
혹시	혹시/mag
당신에게	당신/npp+에게/jca
위기가	위기/ncn+가/jcs
닥쳐오는	닥치/pvg+어/ecx+오/px+는/etm
징조가	징조/ncn+가/jcs
아닐까요	아니/paa+ㄹ까/ef+요/jxf
..."	./sf+./sf+./sf+"/sl
검은	검/paa+은/etm
도깨비는	도깨비/ncn+는/jxc
케살의	케살/nq+의/jcm
둘째부인	둘째/nno+부인/ncn
매이사의	매이사/nq+의/jcm
얼굴을	얼굴/ncn+을/jco
어루만지며	어루만지/pvg+며/ecc
위로	위로/ncn
하듯	하/pvg+듯/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
"	"/sl
아무	아무/mma
걱정	걱정/ncn
말라	말/pvg+라/ecs
나의	나/npp+의/jcm
생명은	생명/ncn+은/jxc
깊은	깊/paa+은/etm
호수와	호수/ncn+와/jcj
하늘을	하늘/ncn+을/jco
찌르듯	찌르/pvg+듯/ecs
버티고	버티/pvg+고/ecc
서	서/pvg+어/ecx
있는	있/px+는/etm
거목	거목/ncn
,	,/sp
그리고	그리고/maj
거구의	거구/ncn+의/jcm
들소와	들소/ncn+와/jcj
내	내/npp
이마	이마/ncn
가운데	가운데/ncn
박혀	박히/pvg+어/ecx
있는	있/px+는/etm
금박수정어	금박수정어/ncn
(	(/sl
水晶魚	水晶魚/ncn
)	)/sr
등	등/nbn
네곳에	네/nnc+곳/nbn+에/jca
극비리에	극비리/ncn+에/jca
나뉘어	나뉘어/mag
숨겨져	숨기/pvg+어/ecx+지/px+어/ecx
있으니	있/px+으니/ecs
...	./sf+./sf+./sf
그래서	그래서/maj
나는	나/npp+는/jxc
어떤	어떻/pad+ㄴ/etm
적과	적/ncn+과/jct
싸우더라도	싸우/pvg+더/ep+라도/ecs
