<tdmsfile>

<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_ac.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_ac.txt </filename>
<title> 한국어 관계구문의 통사와 의미구조 </title>
<author> 신효필 </author>
<date> 1994 </date>
<publisher>서울대학교  </publisher>
<kdc>TD715.8  </kdc>
<ddc>TD495.75 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>

논제명	논제/ncn+명/ncn
관계구성이	관계/ncn+구성/ncn+이/jcs
나타날	나타나/pvg+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
높다	높/paa+다/ef
.{{	./sf+{/sl+{/sl
이런	이런/mmd
특징	특징/ncn
중의	중/ncn+의/jcm
하나로	하나/nnc+로/jca
주절과	주절/ncn+과/jcj
관계절이	관계/ncn+절/ncn+이/jcs
'	'/sl
동시성	동시/ncn+성/xsn
'	'/sr
을	을/jco
가져야	가지/pvg+어야/ecx
하는	하/px+는/etm
경우가	경우/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
이에	이/npd+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
다음	다음/ncn
절	절/ncn
에서	에서/jca
자세히	자세/ncn+히/xsa
논의된다	논의/ncpa+되/xsv+ㄴ다/ef
.	./sf
}}	}/sr+}/sr
3	3/nno
.	./sf
3	3/nno
.	./sf
2	2/nno
.	./sf
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구문의	관계/ncn+구문/ncn+의/jcm
특성	특성/ncn
앞에서도	앞/ncn+에서/jca+도/jxc
잠깐	잠깐/mag
언급했지만	언급/ncpa+하/xsv+었/ep+지만/ecs
,	,/sp
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계	관계/ncn
구문은	구문/ncn+은/jxc
'	'/sr
것	것/nbn
'	'/sr
이	이/jcs
지닌	지니/pvg+ㄴ/etm
다양한	다양/ncps+하/xsm+ㄴ/etm
통사	통사/ncn
,	,/sp
의미적	의미/ncn+적/xsn
특성	특성/ncn
중의	중/ncn+의/jcm
하나를	하나/nnc+를/jco
차지하고	차지/ncpa+하/xsv+고/ecx
있고	있/px+고/ecs
,	,/sp
또	또/maj
그	그/mmd
기능에	기능/ncn+에/jca
있어서도	있/paa+어서/ecs+도/jxc
서로	서로/mag
구분이	구분/ncn+이/jcs
용이하지	용이/ncps+하/xsm+지/ecx
않기	않/px+기/etn
때문에	때문/nbn+에/jca
그	그/mmd
특징에	특징/ncn+에/jca
대해	대하/pvg+어/ecs
더	더/mag
엄밀히	엄밀/ncn+히/xsa
정의및	정의/ncn+및/maj
분류될	분류/ncpa+되/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
우선	우선/mag
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구문에서	관계/ncn+구문/ncn+에서/jca
전형적인	전형/ncn+적/xsn+이/jp+ㄴ/etm
관계구성의	관계/ncn+구성/ncn+의/jcm
핵심명사	핵심/ncn+명사/ncn
자리에	자리/ncn+에/jca
나타나는	나타나/pvg+는/etm
'	'/sr
것	것/nbn
'	'/sr
과	과/jcj
관련하여	관련/ncpa+하/xsv+어/ecs
같은	같/paa+은/etm
구조를	구조/ncn+를/jco
보이는	보이/pvg+는/etm
보문구조와의	보문/ncn+구조/ncn+와/jct+의/jcm
관계를	관계/ncn+를/jco
살펴보도록	살피/pvg+어/ecs+보/pvg+도록/ecx
하자	하/px+자/ef
.	./sf
3	3/nno
.	./sf
3	3/nno
.	./sf
2	2/nno
.	./sf
1	1/nno
보문구성과	보문/ncn+구성/ncn+과/jct
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성	관계/ncn+구성/ncn
전통적으로	전통/ncn+적/xsn+으로/jca
복문의	복문/ncn+의/jcm
구성은	구성/ncn+은/jxc
문장의	문장/ncn+의/jcm
접속화	접속/ncn+화/xsn
,	,/sp
관계관형수식화	관계/ncn+관형/ncn+수식/ncn+화/xsn
,	,/sp
그리고	그리고/maj
보문화	보문/ncn+화/xsn
등에	등/nbn+에/jca
이루어지고	이루/pvg+어/ecx+지/px+고/ecs
,	,/sp
이	이/mmd
중	중/ncn
보문화는	보문/ncn+화/xsn+는/jxc
어떤	어떤/mmd
문장이	문장/ncn+이/jcs
다른	다르/paa+ㄴ/etm
문장	문장/ncn
안에	안/ncn+에/jca
내포	내포/ncn
(	(/sl
embedded	embedded/f
)	)/sr
되는	되/xsv+는/etm
과정을	과정/ncn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
한	한/nnc
문장이	문장/ncn+이/jcs
다른	다르/paa+ㄴ/etm
문장	문장/ncn
안에	안/ncn+에/jca
내포되는	내포/ncpa+되/xsv+는/etm
가장	가장/mag
전형적인	전형/ncn+적/xsn+이/jp+ㄴ/etm
경우는	경우/ncn+는/jxc
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
구성들	구성/ncn+들/xsn
이다	이/jp+다/ef
.{{	./sf+{/sl+{/sl
남기심	남기심/nq
(	(/sl
1986	1986/nno
:	:/sp
7	7/nno
)	)/sr
참조	참조/ncn
.	./sf
}}	}/sr+}/sr
(	(/sl
37	37/nno
)	)/sr
a	a/f
.	./sf
나는	나/npp+는/jxc
그가	그/npp+가/jcs
어제	어제/ncn
도착했음을	도착/ncpa+하/xsv+었/ep+음/etn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
b	b/f
.	./sf
너는	너/npp+는/jxc
내가	내/npp+가/jcs
돌아오기를	돌/pvg+아/ecs+오/pvg+기/etn+를/jco
기다렸느냐	기다리/pvg+었/ep+느냐/ef
?	?/sf
c	c/f
.	./sf
그는	그/npp+는/jxc
내가	내/npp+가/jcs
문을	문/ncn+을/jco
연	열/pvg+ㄴ/etm
것도	것/nbn+도/jxc
몰랐다	모르/pvg+았/ep+다/ef
.	./sf
d	d/f
.	./sf
나는	나/npp+는/jxc
그가	그/npp+가/jcs
어제	어제/ncn
도착했다고	도착/ncpa+하/xsv+었/ep+다/ef+고/jcr
생각한다	생각/ncpa+하/xsv+ㄴ다/ef
.	./sf
위와	위/ncn+와/jct
같이	같/paa+이/xsa
다른	다르/paa+ㄴ/etm
문장	문장/ncn
속에	속/ncn+에/jca
한	하/pvg+ㄴ/etm
문장이	문장/ncn+이/jcs
내포되는	내포/ncpa+되/xsv+는/etm
경우	경우/ncn
외에	외/ncn+에/jca
관계구성과	관계/ncn+구성/ncn+과/jct
비슷하게	비슷/ncps+하/xsm+게/ecx
한	한/nnc
명사	명사/ncn
구에	구/ncn+에/jca
내포되는	내포/ncpa+되/xsv+는/etm
구성이	구성/ncn+이/jcs
있는데	있/paa+는데/ecs
이를	이/npd+를/jco
명사보문구조라고도	명사/ncn+보문/ncn+구조/ncn+라고/jcr+도/jxc
하며	하/pvg+며/ecs
{{	{/sl+{/sl
박병수	박병수/nq
(	(/sl
1974	1974/nno
)	)/sr
참조	참조/ncn
.	./sf
명사의	명사/ncn+의/jcm
보문화라는	보문/ncn+화/xsn+라/ef+는/jcr
것은	것/nbn+은/jxc
학자에	학자/ncn+에/jca
따라서	따라서/maj
다르게	다르/paa+게/ecs
사용될	사용/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
강범모	강범모/nq
(	(/sl
1983	1983/nno
)	)/sr
에서는	에서/jca+는/jxc
명사구	명사/ncn+구/ncn
보문을	보문/ncn+을/jco
관형화	관형/ncn+화/xsn
구성과	구성/ncn+과/jcj
명사화	명사/ncn+화/xsn
구성으로	구성/ncn+으로/jca
나누고	나누/pvg+고/ecc
관형화	관형/ncn+화/xsn
구성에	구성/ncn+에/jca
다시	다시/mag
관계관형화	관계/ncn+관형/ncn+화/xsn
구성과	구성/ncn+과/jcj
일반	일반/ncn
보문구성을	보문/ncn+구성/ncn+을/jco
분류하고	분류/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
}}	}/sr+}/sr
,	,/sp
이때	이/mmd+때/ncn
핵심명사로	핵심/ncn+명사/ncn+로/jca
사용되는	사용/ncpa+되/xsv+는/etm
명사는	명사/ncn+는/jxc
'	'/sr
것	것/nbn
,	,/sp
줄	줄/nbn
,	,/sp
수	수/nbn
,	,/sp
바	바/nbn
,	,/sp
뿐	뿐/nbn
,	,/sp
듯	듯/nbn
,	,/sp
척	척/nbn
,	,/sp
체	체/nbn
,	,/sp
터	터/nbn
'	'/sl
등의	등/ncn+의/jcm
소위	소위/mag
불완전	불/xp+완전/ncn
명사도	명사/ncn+도/jxc
있고	있/paa+고/ecs
'	'/sl
주장	주장/ncn
,	,/sp
소문	소문/ncn
,	,/sp
사실	사실/ncn
'	'/sl
등의	등/ncn+의/jcm
보문명사도	보문/ncn+명사/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
(	(/sl
38	38/nno
)	)/sr
a	a/f
.	./sf
나는	나/npp+는/jxc
그가	그/npp+가/jcs
어제	어제/ncn
도착했다는	도착/ncpa+하/xsv+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
들었다	들/pvg+었/ep+다/ef
.	./sf
b	b/f
.	./sf
나는	나/npp+는/jxc
그가	그/npp+가/jcs
어제	어제/ncn
도착했다는	도착/ncpa+하/xsv+었/ep+다/ef+는/etm
소문을	소문/ncn+을/jco
들었다	들/pvg+었/ep+다/ef
.	./sf
이	이/mmd
중에서	중/ncn+에서/jca
'	'/sr
것	것/nbn
'	'/sr
은	은/jxc
위의	위/ncn+의/jcm
예들에서도	예/ncn+들/xsn+에서/jca+도/jxc
보듯이	보/pvg+듯이/ecs
한편으로는	한편/ncn+으로/jca+는/jxc
문장의	문장/ncn+의/jcm
보문화	보문/ncn+화/xsn
관점에서도	관점/ncn+에서/jca+도/jxc
파악될	파악/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecs
다른	다르/paa+ㄴ/etm
한편에서는	한편/ncn+에서/jca+는/jxc
명사의	명사/ncn+의/jcm
보문화	보문/ncn+화/ncn
관점에서	관점/ncn+에서/jca
파악될	파악/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
이중성을	이중/ncn+성/xsn+을/jco
지닌다	지니/pvg+ㄴ다/ef
.	./sf
이	이/mmd
보문구조와	보문/ncn+구조/ncn+와/jct
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성은	관계/ncn+구성/ncn+은/jxc
그	그/mmd
형식상으로는	형식/ncn+상/xsn+으로/jca+는/jxc
동일한	동일/ncpa+하/xsv+ㄴ/etm
구성으로	구성/ncn+으로/jca
나타나기	나타나/pvg+기/etn
때문에	때문/nbn+에/jca
어느	어느/mmd
경우에	경우/ncn+에/jca
보문구성이고	보문/ncn+구성/ncn+이/jp+고/ecs
어느	어느/mmd
경우에	경우/ncn+에/jca
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성인지	관계/ncn+구성/ncn+이/jp+ㄴ지/ecs
구별하기	구별/ncpa+하/xsv+기/etm
어렵다	어렵/paa+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
두	두/nnc
구성	구성/ncn
사이에는	사이/ncn+에/jca+는/jxc
여러	여러/mma
차이점이	차이/ncn+점/xsn+이/jcs
있는데	있/paa+는데/ecs
,	,/sp
우선	우선/mag
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구문은	관계/ncn+구문/ncn+은/jxc
내재된	내재/ncpa+되/xsv+ㄴ/etm
핵심명사를	핵심/ncn+명사/ncn+를/jco
머리어로	머리/ncn+어/xsn+로/jca
하는	하/pvg+는/etm
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
구문으로	구문/ncn+으로/jca
전환될	전환/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있으나	있/paa+으나/ecs
보문	보문/ncn
내지	내지/ncn
동격구성은	동격/ncn+구성/ncn+은/jxc
그렇지	그렇/pad+지/ecx
못하다	못하/px+다/ef
.	./sf
(	(/sl
39	39/nno
)	)/sr
a	a/f
.	./sf
나는	나/npp+는/jxc
철수가	철수/nq+가/jcs
극장에서	극장/ncn+에서/jca
나오는	나오/pvg+는/etm
것을	것/nbn+을/jco
잡았다	잡/pvg+았/ep+다/ef
.	./sf
a	a/f
'.	'/sl+./sf
나는	나/npp+는/jxc
극장에서	극장/ncn+에서/jca
나오는	나오/pvg+는/etm
철수를	철수/nq+를/jco
잡았다	잡/pvg+았/ep+다/ef
.	./sf
b	b/f
.	./sf
나는	나/npp+는/jxc
순희가	순희/nq+가/jcs
거짓말	거짓말/ncn
하는	하/pvg+는/etm
것을	것/nbn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
b	b/f
'.	'/sl+./sf
나는	나/npp+는/jxc
순희가	순희/nq+가/jcs
거짓말	거짓말/ncn
하는	하/pvg+는/etm
사실을	사실/ncn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
b	b/f
''.	'/sl+'/sl+./sf
*	*/sy
나는	나/paa+는/etm
거짓말	거짓말/ncn
하는	하/pvg+는/etm
순희를	순희/nq+를/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
여기서	여기/npd+서/jca
a	a/f
는	는/jxc
a	a/f
'	'/sr
로의	로/jca+의/jcm
전환이	전환/ncn+이/jcs
가능하지만	가능/ncpa+하/xsv+지만/ecs
,	,/sp
b	b/f
에서	에서/jca
'	'/sl
순희	순희/nq
'	'/sr
를	를/jco
핵심명사로하는	핵심/ncn+명사/ncn+로/jca+하/xsv+는/etm
관계구성	관계/ncn+구성/ncn
(	(/sl
b	b/f
")	"/sl+)/sr
은	은/jxc
가능하지	가능/ncpa+하/xsv+지/ecx
않다	않/px+다/ef
.	./sf
또한	또한/maj
보문구성은	보문/ncn+구성/ncn+은/jxc
명시적인	명시/ncn+적/xsn+이/jp+ㄴ/etm
보문명사가	보문/ncn+명사/ncn+가/jcs
사용되거나	사용/ncpa+되/xsv+거나/ecc
아니면	아니/paa+면/ecs
위와	위/ncn+와/jct
같이	같/paa+이/xsa
보문소	보문소/ncn
'	'/sr
것	것/nbn
'	'/sr
이	이/jcs
사용되었다고	사용/ncpa+되/xsv+었/ep+다고/ecs
해도	하/pvg+어도/ecs
명시적인	명시/ncn+적/xsn+이/jp+ㄴ/etm
보문명사	보문/ncn+명사/ncn
('	(/sl+'/sl
사실	사실/ncn
')	'/sl+)/sr
로	로/jca
대체가능하다	대체/ncn+가능/ncpa+하/xsv+다/ef
(	(/sl
b	b/f
').	'/sl+)/sr+./sf
다시	다시/mag
좀	좀/mag
더	더/mag
세분된	세분/ncpa+되/xsv+ㄴ/etm
다음의	다음/ncn+의/jcm
예를	예/ncn+를/jco
살펴보자	살피/pvg+어/ecs+보/pvg+자/ef
.	./sf
(	(/sl
40	40/nno
)	)/sr
a	a/f
.	./sf
철수는	철수/nq+는/jxc
영희가	영희/nq+가/jcs
피리를	피리/ncn+를/jco
부는	불/pvg+는/etm
것을	것/nbn+을/jco
떠밀었다	떠밀/pvg+었/ep+다/ef
.	./sf
b	b/f
.	./sf
철수는	철수/nq+는/jxc
영희가	영희/nq+가/jcs
피리를	피리/ncn+를/jco
부는	불/pvg+는/etm
것을	것/nbn+을/jco
말렸다	말리/pvg+었/ep+다/ef
.	./sf
c	c/f
.	./sf
철수는	철수/nq+는/jxc
영희가	영희/nq+가/jcs
피리를	피리/ncn+를/jco
부는	불/pvg+는/etm
것을	것/nbn+을/jco
들었다	들/pvg+었/ep+다/ef
.	./sf
d	d/f
.	./sf
철수는	철수/nq+는/jxc
영희가	영희/nq+가/jcs
피리를	피리/ncn+를/jco
부는	불/pvg+는/etm
것을	것/nbn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
위의	위/ncn+의/jcm
예는	예/ncn+는/jxc
관형절의	관형/ncn+절/ncn+의/jcm
구조는	구조/ncn+는/jxc
모두	모두/mag
동일하나	동일/ncpa+하/xsv+나/ecs
상위문의	상위/ncn+문/xsn+의/jcm
동사가	동사/ncn+가/jcs
달라서	다르/paa+아서/ecs
각각	각각/ncn
다른	다르/paa+ㄴ/etm
통사적	통사/ncn+적/xsn
양상을	양상/ncn+을/jco
보이는	보이/pvg+는/etm
예들이다	예/ncn+들/xsn+이/jp+다/ef
.	./sf
우선	우선/mag
a	a/f
는	는/jxc
'	'/sl
영희	영희/nq
'	'/sr
가	가/jcs
관계절의	관계/ncn+절/ncn+의/jcm
핵심명사가	핵심/ncn+명사/ncn+가/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
점에서	점/ncn+에서/jca
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성이라	관계/ncn+구성/ncn+이라/jca
할	하/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecs
,	,/sp
b	b/f
는	는/jxc
'	'/sr
것	것/nbn
'	'/sr
이	이/jcs
지닌	지니/pvg+ㄴ/etm
폭넓은	폭/ncn+넓/paa+ㄴ/etm
의미	의미/ncn
중의	중/ncn+의/jcm
하나인	하나/nnc+이/jp+ㄴ/etm
'	'/sl
일	일/ncn
,	,/sp
행위	행위/ncn
'	'/sr
라는	라/ef+는/etm
의미에서	의미/ncn+에서/jca
,	,/sp
그리고	그리고/maj
'	'/sl
영희	영희/nq
'	'/sr
를	를/jco
'	'/sr
것	것/nbn
'	'/sl
위치에	위치/ncn+에/jca
대체하여	대체/ncpa+하/xsv+어/ecs
핵심명사로	핵심/ncn+명사/ncn+로/jca
하는	하/pvg+는/etm
관계구성이	관계/ncn+구성/ncn+이/jcs
가능하지	가능/ncpa+하/xsv+지/ecx
않다는	않/px+다/ef+는/etm
점에서	점/ncn+에서/jca
차이가	차이/ncn+가/jcs
난다	나/pvg+ㄴ다/ef
.	./sf
c	c/f
의	의/jcm
경우는	경우/ncn+는/jxc
'	'/sr
것	것/nbn
'	'/sr
이	이/jcs
'	'/sl
소리	소리/ncn
',	'/sl+,/sp
d	d/f
의	의/jcm
경우는	경우/ncn+는/jxc
'	'/sl
사실	사실/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
보문명사로	보문/ncn+명사/ncn+로/jca
대체될	대체/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
물론	물론/mag
c	c/f
,	,/sp
d	d/f
에서도	에서/jca+도/jxc
'	'/sl
영희	영희/nq
'	'/sr
가	가/jcs
관계절의	관계/ncn+절/ncn+의/jcm
핵심명사가	핵심/ncn+명사/ncn+가/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
없다는	없/paa+다/ef+는/etm
특징이	특징/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이와	이/npd+와/jct
같은	같/paa+은/etm
사실은	사실/ncn+은/jxc
보문구조와	보문/ncn+구조/ncn+와/jct
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성은	관계/ncn+구성/ncn+은/jxc
그	그/mmd
상위문의	상위/ncn+문/xsn+의/jcm
서술어와도	서술어/ncn+와/jct+도/jxc
밀접한	밀접/ncps+하/xsm+ㄴ/etm
관련을	관련/ncn+을/jco
맺고	맺/pvg+고/ecx
있음을	있/px+ㅁ/etn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
즉	즉/maj
상위문의	상위/ncn+문/xsn+의/jcm
서술어의	서술어/ncn+의/jcm
특성에	특성/ncn+에/jca
따라	따르/pvg+아/ecs
동일한	동일/ncpa+하/xsv+ㄴ/etm
구조	구조/ncn
가	가/jcs
보문이나	보문/ncn+이나/jcj
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
구성으로	구성/ncn+으로/jca
나타난다는	나타나/pvg+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
따라서	따라서/maj
보문명사	보문/ncn+명사/ncn
를	를/jco
보충어로	보충/ncn+어/xsn+로/jca
취하는	취하/pvg+는/etm
서술어와	서술어/ncn+와/jct
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성은	관계/ncn+구성/ncn+은/jxc
서술어에	서술어/ncn+에/jca
따라	따르/pvg+아/ecs
달리	달리/mag
나타난	나타나/pvg+ㄴ/etm
다는	다는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
보문구성과	보문/ncn+구성/ncn+과/jct
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성의	관계/ncn+구성/ncn+의/jcm
또	또/maj
다른	다르/paa+ㄴ/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
차이	차이/ncn
중의	중/ncn+의/jcm
하나는	하나/nnc+는/jxc
그	그/mmd
의미	의미/ncn
적인	적/nbn+이/jp+ㄴ/etm
측면이다	측면/ncn+이/jp+다/ef
.	./sf
일반적으로	일반/ncn+적/xsn+으로/jca
보문은	보문/ncn+은/jxc
한	한/nnc
문장의	문장/ncn+의/jcm
서술어나	서술어/ncn+나/jxc
아니면	아니/paa+면/ecs
그	그/mmd
명사구의	명사/ncn+구/ncn+의/jcm
'	'/sl
내용	내용/ncn
'	'/sr
을	을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
즉	즉/maj
위의	위/ncn+의/jcm
(	(/sl
37	37/nno
)	)/sr
d	d/f
의	의/jcm
예에서는	예/ncn+에서/jca+는/jxc
상위문	상위/ncn+문/ncn
동사	동사/ncn
'	'/sl
생각하다	생각/ncpa+하/xsv+다/ef
'	'/sr
의	의/jcm
내용이	내용/ncn+이/jcs
'	'/sl
그가	그/npp+가/jcs
도착했다는	도착/ncpa+하/xsv+었/ep+다/ef+는/etm
것	것/nbn
'	'/sr
이고	이/jp+고/ecs
(	(/sl
38	38/nno
)	)/sr
b	b/f
도	도/jxc
보문명사	보문/ncn+명사/ncn
'	'/sl
소문	소문/ncn
'	'/sr
의	의/jcm
내용이	내용/ncn+이/jcs
'	'/sl
그가	그/npp+가/jcs
도착했다는	도착/ncpa+하/xsv+었/ep+다/ef+는/etm
것	것/nbn
'	'/sr
에서	에서/jca
동일하다	동일/ncpa+하/xsv+다/ef
.	./sf
그러나	그러나/maj
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성에서는	관계/ncn+구성/ncn+에서/jca+는/jxc
이러한	이러하/pad+ㄴ/etm
의미관계가	의미/ncn+관계/ncn+가/jcs
파악되지	파악/ncpa+되/xsv+지/ecx
않고	않/px+고/ecs
반대로	반대로/mag
(	(/sl
제한적	제한/ncn+적/xsn
용법의	용법/ncn+의/jcm
)	)/sr
관계절의	관계/ncn+절/ncn+의/jcm
기본속성인	기본/ncn+속성/ncn+이/jp+ㄴ/etm
'	'/sl
제한	제한/ncn
,	,/sp
구체화	구체/ncn+화/xsn
'	'/sl
등의	등/ncn+의/jcm
속성이	속성/ncn+이/jcs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
즉	즉/maj
'	'/sl
철수는	철수/nq+는/jxc
연이	연/ncn+이/jcs
하늘	하늘/ncn
로	로/jca
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
것을	것/nbn+을/jco
잡았다	잡/pvg+았/ep+다/ef
'	'/sr
라는	라/ef+는/etm
문장에서	문장/ncn+에서/jca
잡은	잡/pvg+은/etm
것은	것/nbn+은/jxc
'	'/sl
연	연/ncn
'	'/sl
이지만	이/jp+지만/ecs
'	'/sl
하늘로	하늘/ncn+로/jca
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
연	연/ncn
'	'/sr
을	을/jco
잡은	잡/pvg+ㄴ/etm
의미로	의미/ncn+로/jca
관계절에	관계/ncn+절/ncn+에/jca
의해	의하/pvg+어/ecs
제한수식되는	제한/ncn+수식/ncpa+되/xsv+는/etm
것과	것/nbn+과/jct
동일한	동일/ncpa+하/xsv+ㄴ/etm
면을	면/ncn+을/jco
보인다	보이/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
의미기능에서	의미/ncn+기능/ncn+에서/jca
이러한	이러하/pad+ㄴ/etm
차이가	차이/ncn+가/jcs
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
문장에	문장/ncn+에/jca
내포된	내포/ncpa+되/xsv+ㄴ/etm
보문구성은	보문/ncn+구성/ncn+은/jxc
명사구	명사/ncn+구/ncn
보문으로	보문/ncn+으로/jca
전환될	전환/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있지만	있/paa+지만/ecs
,	,/sp
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성은	관계/ncn+구성/ncn+은/jxc
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
관계구성으로	관계/ncn+구성/ncn+으로/jca
전환된다	전환/ncpa+되/xsv+ㄴ다/ef
.	./sf
(	(/sl
41	41/nno
)	)/sr
a	a/f
.	./sf
나는	나/npp+는/jxc
영희가	영희/nq+가/jcs
피아노	피아노/ncn
치는	치/pvg+는/etm
것을	것/nbn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf
a	a/f
'.	'/sl+./sf
나는	나/npp+는/jxc
영희가	영희/nq+가/jcs
피아노	피아노/ncn
친다고	치/pvg+ㄴ다/ef+고/ecs
알았다	알/pvg+았/ep+다/ef
.	./sf
b	b/f
.	./sf
철수는	철수/nq+는/jxc
연이	연/ncn+이/jcs
하늘로	하늘/ncn+로/jca
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
것을	것/nbn+을/jco
잡았다	잡/pvg+았/ep+다/ef
.	./sf
b	b/f
'.	'/sl+./sf
철수는	철수/nq+는/jxc
하늘로	하늘/ncn+로/jca
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
연을	연/ncn+을/jco
잡았다	잡/pvg+았/ep+다/ef
.	./sf
보문구성과	보문/ncn+구성/ncn+과/jct
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성은	관계/ncn+구성/ncn+은/jxc
동일한	동일/ncpa+하/xsv+ㄴ/etm
구조로	구조/ncn+로/jca
표시되나	표시/ncpa+되/xsv+나/ecs
그	그/mmd
기능에	기능/ncn+에/jca
있어서	있/paa+어서/ecs
는	는/jxc
여러	여러/mma
차이가	차이/ncn+가/jcs
있고	있/paa+고/ecs
따라서	따라서/maj
비록	비록/mag
명시적인	명시/ncn+적/xsn+이/jp+ㄴ/etm
공백이	공백/ncn+이/jcs
나타나지는	나타나/pvg+지/ecx+는/jxc
않으나	않/px+으나/ecs
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성은	관계/ncn+구성/ncn+은/jxc
보문구성보다는	보문/ncn+구성/ncn+보다/jca+는/jxc
관계구문의	관계/ncn+구문/ncn+의/jcm
특징을	특징/ncn+을/jco
더	더/mag
많이	많이/mag
지니는	지니/pvg+는/etm
구성이고	구성/ncn+이/jp+고/ecs
,	,/sp
또	또/maj
상위문의	상위/ncn+문/ncn+의/jcm
서술어의	서술어/ncn+의/jcm
특성에	특성/ncn+에/jca
따라서도	따라서/maj+도/jxc
