<tdmsfile>
<tdmsfile>
Han1.hwp  2차 수정(박현이)
신한국당	신한국당/nq
300년	300/nnc+년/nbu
역사의	역사/ncn+의/jcm
베어링	nq[베어링/nq
투자은행이	투자/ncn+은행/ncn]nq+이/jcs
하루아침에	하루/ncn+아침/ncn+에/jca
무너지고	무너지/pvg+고/ecx
말았다.	말/px+았/ep+다/ef+./sf
상급자가	상급/ncn+자/xsn+가/jcs
부하	부하/ncn
직원에	직원/ncn+에/jca
대한	대하/pvg+ㄴ/etm
감시를	감시/ncn+를/jco
소홀히	소홀/ncn+히/xsa
하는	하/pvg+는/etm
바람에	바람/nbn+에/jca
이런	이런/mmd
창구사고가	창구/ncn+사고/ncn+가/jcs
터져버린	터지/pvg+어/ecx+버리/px+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
왜	왜/mag
우리나라	우리/npp+나라/ncn
기업들에서는	기업/ncn+들/xsn+에서/jca+는/jxc
이러한	이러하/pad+ㄴ/etm
내부통제장치가	내부/ncn+통제/ncn+장치/ncn+가/jcs
잘	잘/mag
작동하지	작동/ncpa+하/xsv+지/ecx
않고	않/px+고/ecx
있는	있/px+는/etm
것일까.	것/nbn+이/jp+ㄹ까/ef+./sf
소유	소유/ncn
경영주와	경영/ncn+주/xsn+와/jcj
피고용	피/xp+고용/ncn
경영간부	경영/ncn+간부/ncn
사이에	사이/ncn+에/jca
맞물린	맞물리/pvg+ㄴ/etm
일종의	일종/ncn+의/jcm
부정,	부정/ncn+,/sp
탈법행위가	탈법/ncn+행위/ncn+가/jcs
먹이사슬로서	먹이/ncn+사슬/ncn+로서/jca
서로	서로/mag
옴짝달싹하지	옴짝달싹/mag+하/xsv+지/ecx
못하게	못하/px+게/ecs
묶고	묶/pvg+고/ecx
있기	있/px+기/etn
때문이	때문/nbn+이/jcc
아닐까.	아니/paa+ㄹ까/ef+./sf
투자원본을	투자/ncn+원본/ncn+을/jco
최대한	최대한/ncn
회수해보려는	회수/ncpa+하/xsv+어/ecx+보/px+려/ecs+는/etm
동기	동기/ncn
요인이	요인/ncn+이/jcs
강하게	강하/paa+게/ecs
작용하는	작용/ncpa+하/xsv+는/etm
소유	소유/ncn
경영주의	경영/ncn+주/xsn+의/jcm
경우	경우/ncn
현재로선	현재/ncn+로서/jca+ㄴ/jxc
달리	다르/paa+이/xsa
투자자금을	투자/ncn+자금/ncn+을/jco
빼낼	빼/pvg+어/ecs+내/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
방법이	방법/ncn+이/jcs
불충분하기	불/xp+충분/ncps+하/xsm+기/etn
때문에	때문/nbn+에/jca
비용	비용/ncn
처리나	처리/ncn+나/jcj
비자금	비자금/ncn
조성	조성/ncn
등과	등/nbn+과/jct
같은	같/paa+은/etm
불건전한	불/xp+건전/ncps+하/xsm+ㄴ/etm
방법을	방법/ncn+을/jco
동원하게	동원/ncpa+하/xsv+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
개인적인	개인/ncn+적/xsn+이/jp+ㄴ/etm
축재	축재/ncn
동기가	동기/ncn+가/jcs
더해지면	더하/pvg+어/ecx+지/px+면/ecs
여느	여느/mma
주주들과는	주주/ncn+들/xsn+과/jct+는/jxc
다른	다르/paa+ㄴ/etm
더욱	더욱/mag
차별적인	차별/ncn+적/xsn+이/jp+ㄴ/etm
대우를	대우/ncn+를/jco
원하게	원하/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
경영상	경영/ncn+상/xsn
불가피하다고	불가피/ncps+하/xsm+다/ef+고/jcr
여기는	여기/pvg+는/etm
경우도	경우/ncn+도/jxc
있다.	있/paa+다/ef+./sf
가령	가령/mag
부도를	부도/ncn+를/jco
막으려고	막/pvg+으려고/ecs
사채를	사채/ncn+를/jco
끌어쓰다	끌/pvg+어/ecs+쓰/pvg+다/ecs
보니	보/px+니/ecs
이를	이/npd+를/jco
장부외	장부/ncn+외/nbn
처리해야	처리/ncpa+하/xsv+어야/ecs
하는	하/px+는/etm
등	등/nbn
경영상	경영/ncn+상/xsn
탈법을	탈법/ncn+을/jco
저지르게	저지르/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
이런	이런/mmd
것들이	것/nbn+들/xsn+이/jcs
쌓이다	쌓이/pvg+다/ecs
보니	보/px+니/ecs
혹시나	혹시/mag+나/jxc
자신들의	자신/ncn+들/xsn+의/jcm
약점이	약점/ncn+이/jcs
드러날까	드러나/pvg+ㄹ까/ef
우려해	우려/ncpa+하/xsv+어/ecs
내부통제장치를	내부/ncn+통제/ncn+장치/ncn+를/jco
강하게	강하/paa+게/ecx
하지	하/px+지/ecx
못한다.	못하/px+ㄴ다/ef+./sf
겉으로는	겉/ncn+으로/jca+는/jxc
효율화와	효율/ncn+화/xsn+와/jcj
합리화를	합리/ncn+화/xsn+를/jco
외치며	외치/pvg+며/ecs
예산	예산/ncn
절약에	절약/ncn+에/jca
열을	열/ncn+을/jco
올려도	올리/pvg+어도/ecs
결국	결국/mag
회사	회사/ncn
내부에서	내부/ncn+에서/jca
통제가	통제/ncn+가/jcs
안되면	안되/paa+면/ecs
아무런	아무렇/pad+ㄴ/etm
효과가	효과/ncn+가/jcs
없다.	없/paa+다/ef+./sf
우리	우리/npp
기업들의	기업/ncn+들/xsn+의/jcm
의식구조가	의식/ncn+구조/ncn+가/jcs
이런	이런/mmd
수준에	수준/ncn+에/jca
머무르고	머무르/pvg+고/ecx
있는	있/px+는/etm
사이에	사이/ncn+에/jca
외부	외부/ncn
여건은	여건/ncn+은/jxc
크게	크/paa+게/ecs
변하고	변하/pvg+고/ecx
있다.	있/px+다/ef+./sf
첫째,	첫째/nno+,/sp
외국인	외국/ncn+인/xsn
투자와	투자/ncn+와/jcj
시장	시장/ncn
개방화가	개방/ncn+화/xsn+가/jcs
진전하면서	진전/ncpa+하/xsv+면서/ecs
재무정보	재무/ncn+정보/ncn
공시	공시/ncn
등	등/nbn
경영	경영/ncn
투명성을	투명/ncn+성/xsn+을/jco
높이려는	높이/pvg+려/ecs+는/etm
욕구와	욕구/ncn+와/jcj
목소리가	목소리/ncn+가/jcs
커져가고	커지/pvg+어/ecx+가/px+고/ecx
있다.	있/px+다/ef+./sf
둘째,	둘째/nno+,/sp
우루과이라운드와	우루과이라운드/nq+와/jcj
세계무역기구에	세계무역기구/nq+에/jca
이어	잇/pvg+어/ecs
이른바	이른바/maj
부패라운드가	부패/ncn+라운드/ncn+가/jcs
기업	기업/ncn
내부에	내부/ncn+에/jca
만연한	만연/ncpa+하/xsv+ㄴ/etm
부정부패를	부정/ncn+부패/ncn+를/jco
축출하고자	축출/ncpa+하/xsv+고자/ecs
큰	크/paa+ㄴ/etm
물결로	물결/ncn+로/jca
다가오고	다가오/pvg+고/ecx
있다.	있/px+다/ef+./sf
여기에	여기/npd+에/jca
제대로	제대로/mag
대처하지	대처/ncpa+하/xsv+지/ecx
못한다면	못하/px+ㄴ다/ef+면/ecs
국제경쟁에서	국제/ncn+경쟁/ncn+에서/jca
또	또/mag
한	한/nnc
번	번/nbu
쓰러지는	쓰러지/pvg+는/etm
경험을	경험/ncn+을/jco
하게	하/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
지금까지는	지금/ncn+까지/jxc+는/jxc
시장경쟁으로	시장/ncn+경쟁/ncn+으로/jca
쓰러져	쓰러지/pvg+어/ecx
왔지만,	오/px+았/ep+지만/ecs+,/sp
이제부터는	이제/ncn+부터/jxc+는/jxc
내부통제가	내부/ncn+통제/ncn+가/jcs
갖춰지지	갖추/pvg++어/ecx+지/px+지/ecx
않아	않/px+아/ecs
경영	경영/ncn
투명성을	투명/ncn+성/xsn+을/jco
확보하지	확보/ncpa+하/xsv+지/ecx
못해서	못하/px+어서/ecs
쓰러지게	쓰러지/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
우리	우리/npp
기업들은	기업/ncn+들/xsn+은/jxc
자생력	자생/ncn+력/xsn
강화의	강화/ncn+의/jcm
하나로	하나/ncn+로/jca
내부통제를	내부/ncn+통제/ncn+를/jco
강화할	강화/ncpa+하/xsv+ㄹ/etm
필요성이	필요/ncn+성/xsn+이/jcs
있다.	있/paa+다/ef+./sf
이는	이/npd+는/jxc
제도적으로	제도/ncn+적/xsn+으로/jca
회계처리기준을	회계/ncn+처리/ncn+기준/ncn+을/jco
강화하거나	강화/ncpa+하/xsv+거나/ecc
탈법행위	탈법/ncn+행위/ncn
감리와	감리/ncn+와/jcj
처벌을	처벌/ncn+을/jco
강화한다고	강화/ncpa+하/xsv+ㄴ다고/ecs
해서	하/px+어서/ecs
해결되지	해결/ncpa+되/xsv+지/ecx
않는다.	않/px+는다/ef+./sf
쌓여온	쌓이/pvg+어/ecx+오/px+ㄴ/etm
폐단으로	폐단/ncn+으로/jca
인해	인하/pvg+어/ecs
새롭게	새롭/paa+게/ecs
움직이기가	움직이/pvg+기/etn+가/jcs
힘든	힘/ncn+들/pvg+ㄴ/etm
상황이다.	상황/ncn+이/jp+다/ef+./sf
죄질이나	죄질/ncn+이나/jcj
양의	양/ncn+의/jcm
과다를	과다/ncn+를/jco
따질	따지/pvg+ㄹ/etm
것이	것/nbn+이/jcs
아니라	아니/paa+라/ecs
한번에	한/nnc+번/nbu+에/jca
털어내어	털/pvg+어/ecs+내/pvg+어/ecs
향후	향후/mag
행동의	행동/ncn+의/jcm
자유를	자유/ncn+를/jco
보장해주어야	보장/ncpa+하/xsv+어/ecx+주/px+어야/ecs
한다.	하/px+ㄴ다/ef+./sf
또	또/maj
세제	세제/ncn
개편을	개편/ncn+을/jco
해서라도	하/pvg+어서/ecs+라도/ecs
소유경영주들에게는	소유/ncn+경영/ncn+주/xsn+들/xsn+에게/jca+는/jxc
불리하지	불리/ncps+하/xsm+지/ecx
않은	않/px+은/etm
시장가격으로	시장/ncn+가격/ncn+으로/jca
투자원본을	투자/ncn+원본/ncn+을/jco
회수할	회수/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
제도적	제도/ncn+적/xsn
장치를	장치/ncn+를/jco
마련해	마련/ncpa+하/xsv+어/ecx
주어야	주/px+어야/ecs
한다.	하/px+ㄴ다/ef+./sf
경영간부에게도	경영/ncn+간부/ncn+에게/jca+도/jxc
봉급을	봉급/ncn+을/jco
깎거나	깎/pvg+거나/ecc
동결할	동결/ncpa+하/xsv+ㄹ/etm
것이	것/nbn+이/jcs
아니라	아니/paa+라/ecs
보수부터	보수/ncn+부터/jxc
현실에	현실/ncn+에/jca
맞게	맞/pvg+게/ecs
줘야	주/pvg+어야/ecs
한다.	하/px+ㄴ다/ef+./sf
필자가	필자/ncn+가/jcs
기업에	기업/ncn+에/jca
몸담고	몸/ncn+담/pvg+고/ecx
있을	있/px+을/etm
때	때/ncn
업계의	업계/ncn+의/jcm
대선배가	대/xp+선배/ncn+가/jcs
해준	하/pvg+어/ecx+주/px+ㄴ/etm
이야기가	이야기/ncn+가/jcs
떠오른다.	떠오르/pvg+ㄴ다/ef+./sf
관념적이고	관념/ncn+적/xsn+이/jp+고/ecc
비현실적인	비/xp+현실/ncn+적/xsn+이/jp+ㄴ/etm
경영정책이	경영/ncn+정책/ncn+이/jcs
입사	입사/ncn
전까지	전/ncn+까지/jxc
선량하고	선량/ncps+하/xsm+고/ecc
양심적이던	양심/ncn+적/xsn+이/jp+던/etm
사원들을	사원/ncn+들/xsn+을/jco
도덕불감증	도덕/ncn+불감/ncn+증/xsn
환자로	환자/ncn+로/jca
만들고	만들/pvg+고/ecx
있다.	있/px+다/ef+./sf
그러나	그러나/maj
지난	지나/pvg+ㄴ/etm
1일	1/nno+일/nbu
당	당/ncn
지도부	지도/ncn+부/xsn
5인회의에서	5/nnc+인/nbu+회의/ncn+에서/jca
3명의	3/nnc+명/nbu+의/jcm
공동선대위원장이	공동/ncn+선대위/ncn+원장/ncn+이/jcs
이	이/nq
총재에게	총재/ncn+에게/jca
김	김/nq
대통령과의	대통령/ncn+과/jct+의/jcm
회동을	회동/ncn+을/jco
권유하는	권유/ncpa+하/xsv+는/etm
등	등/nbn
이	이/mmd
문제를	문제/ncn+를/jco
두고	두/pvg+고/ecs
당	당/ncn
내부에	내부/ncn+에/jca
양론이	양론/ncn+이/jcs
맞서고	맞서/pvg+고/ecx
있다.	있/px+다/ef+./sf
이	이/nq
총재	총재/ncn
진영의	진영/ncn+의/jcm
상당수	상당/ncn+수/ncn
인사들도	인사/ncn+들/xsn+도/jxc
청와대쪽에서	청와대/nq+쪽/nbn+에서/jca
회동을	회동/ncn+을/jco
다시	다시/mag
추진할	추진/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
신호가	신호/ncn+가/jcs
오기를	오/pvg+기/etn+를/jco
기대하는	기대/ncpa+하/xsv+는/etm
분위기다.	분위기/ncn+다/ef+./sf
김	김/nq
대통령이	대통령/ncn+이/jcs
탈당	탈당/ncn
의사를	의사/ncn+를/jco
전해온다면	전하/pvg+어/ecs+오/pvg+ㄴ다/ef+면/ecs
두	두/nnc
사람이	사람/ncn+이/jcs
다시	다시/mag
만날	만나/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
계기가	계기/ncn+가/jcs
마련될	마련/ncpa+되/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다는	있/paa+다/ef+는/etm
판단이다.	판단/ncn+이/jp+다/ef+./sf
이	이/nq
총재쪽의	총재/ncn+쪽/nbn+의/jcm
이런	이런/mmd
태도	태도/ncn
변화는	변화/ncn+는/jxc
당에	당/ncn+에/jca
남아	남/pvg+아/ecx
있는	있/px+는/etm
관망파	관망/ncn+파/ncn
인사들을	인사/ncn+들/xsn+을/jco
붙잡기	붙잡/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
어떤	어떤/mmd
식으로든	식/nbn+으로/jca+든/jxc
김	김/nq
대통령과의	대통령/ncn+과/jct+의/jcm
관계를	관계/ncn+를/jco
매끄럽게	매끄럽/paa+게/ecs
`정리'하는	`/sl+정리/ncn+'/sr+하/pvg+는/etm
게	거/nbn+이/jcs
필요하다는	필요/ncps+하/xsm+다/ef+는/etm
판단에	판단/ncn+에/jca
따른	따르/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
최근의	최근/ncn+의/jcm
각종	각종/ncn
여론조사에서도	여론/ncn+조사/ncn+에서/jca+도/jxc
이	이/nq
총재의	총재/ncn+의/jcm
김	김/nq
대통령	대통령/ncn
탈당	탈당/ncn
요구에	요구/ncn+에/jca
대해	대하/pvg+어/ecs
부정적인	부정/ncn+적/xsn+이/jp+ㄴ/etm
반응이	반응/ncn+이/jcs
더	더/mag
많은	많/paa+은/etm
것으로	것/nbn+으로/jca
나타나	나타나/pvg+아/ecs
이	이/nq
총재가	총재/ncn+가/jcs
또하나의	또/mag+하나/ncn+의/jcm
`자충수'를	`/sl+자충수/ncn+'/sr+를/jco
두었다는	두/pvg+었/ep+다/ef+는/etm
비판도	비판/ncn+도/jxc
나오고	나오/pvg+고/ecx
있다.	있/px+다/ef+./sf
그러나	그러나/maj
청와대	청와대/nq
회동에	회동/ncn+에/jca
반대하는	반대/ncpa+하/xsv+는/etm
쪽도	쪽/nbn+도/jxc
쉽게	쉽/paa+게/ecs
뜻을	뜻/ncn+을/jco
굽히지	굽히/pvg+지/ecx
않을	않/px+을/etm
태세다.	태세/ncn+다/ef+./sf
이	이/nq
총재	총재/ncn
본인이	본인/ncn+이/jcs
검찰의	검찰/ncn+의/jcm
수사	수사/ncn
착수	착수/ncn
지시를	지시/ncn+를/jco
회동의	회동/ncn+의/jcm
전제조건으로	전제/ncn+조건/ncn+으로/jca
내세웠는데	내/pvg+어/ecs+세우/pvg+었/ep+는데/ecs
상황이	상황/ncn+이/jcs
그	그/mmd
때와	때/ncn+와/jct
전혀	전혀/mag
달라지지	다르/pvg+아/ecx+지/px+지/ecx
않았다는	않/px+았/ep+다/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이	이/nq
총재	총재/ncn
진영의	진영/ncn+의/jcm
강경파는	강경/ncn+파/ncn+는/jxc
또	또/maj
김영삼	김영삼/nq
총재	총재/ncn
시절	시절/ncn
비서실장이던	비서/ncn+실장/ncn+이/jp+던/etm
박범진	박범진/nq
의원이	의원/ncn+이/jcs
탈당해	탈당/ncpa+하/xsv+어/ecs
국민신당에	국민신당/nq+에/jca
합류하기로	합류/ncpa+하/xsv+기/etn+로/jca
함에	하/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
이	이/nq
총재쪽은	총재/ncn+쪽/nbn+은/jxc
김	김/nq
대통령의	대통령/ncn+의/jcm
의중이	의중/ncn+이/jcs
이인제	이인제/nq
전	전/mma
경기지사에게	경기/nq+지사/ncn+에게/jca
기울어	기울/pvg+어/ecx
있다고	있/px+다고/ecs
더욱	더욱/mag
확신하는	확신/ncpa+하/xsv+는/etm
모습이다.	모습/ncn+이/jp+다/ef+./sf
이	이/nq
총재가	총재/ncn+가/jcs
애초	애초/mag
요구한	요구/ncpa+하/xsv+ㄴ/etm
전제조건이	전제/ncn+조건/ncn+이/jcs
충족되지	충족/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
상황에서	상황/ncn+에서/jca
청와대	청와대/nq
회동을	회동/ncn+을/jco
다시	다시/mag
추진하는	추진/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
오락가락하는	오락가락/mag+하/xsv+는/etm
모습으로	모습/ncn+으로/jca
비쳐지는	비치/pvg+어/ecx+지/px+는/etm
역효과만	역/xp+효과/ncn+만/jxc
있다는	있/paa+다/ef+는/etm
판단인	판단/ncn+이/jp+ㄴ/etm
셈이다.	셈/nbn+이/jp+다/ef+./sf
민주당이	민주당/nq+이/jcs
조순	조순/nq
총재의	총재/ncn+의/jcm
진로문제로	진로/ncn+문제/ncn+로/jca
뒤숭숭하다.	뒤숭숭/mag+하/xsm+다/ef+./sf
물론	물론/mag
그는	그/npp+는/jxc
이	이/mmd
선택이	선택/ncn+이/jcs
중도하차를	중도/ncn+하차/ncn+를/jco
의미하는	의미/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
해석하지	해석/ncpa+하/xsv+지/ecx
말아	말/px+아/ecx
달라고	달/px+라/ef+고/jcr
주문했다.	주문/ncpa+하/xsv+었/ep+다/ef+./sf
하지만	하지만/maj
당의	당/ncn+의/jcm
분위기는	분위기/ncn+는/jxc
다르다.	다르/paa+다/ef+./sf
당	당/ncn
관계자	관계/ncn+자/xsn
상당수가	상당/ncn+수/ncn+가/jcs
이미	이미/mag
조	조/nq
총재의	총재/ncn+의/jcm
`홀로서기'보다는	`/sl+홀로서기/ncn+'/sr+보다/jca+는/jxc
누구와,	누구/npp+와/jct+,/sp
어떤	어떤/mmd
방식으로	방식/ncn+으로/jca
연합해야	연합/ncpa+하/xsv+어야/ecs
하느냐는	하/px+느냐/ef+는/etm
쪽에	쪽/nbn+에/jca
관심을	관심/ncn+을/jco
더	더/mag
쏟고	쏟/pvg+고/ecx
있다.	있/px+다/ef+./sf
대선을	대선/ncn+을/jco
불과	불과/mag
40여일	40/nnc+여/xsn+일/nbu
앞둔	앞/ncn+두/pvg+ㄴ/etm
시점에서	시점/ncn+에서/jca
대선기획단장이	대선/ncn+기획/ncn+단장/ncn+이/jcs
`차선책'을	`/sl+차선/ncn+책/xsn+'/sr+을/jco
언급하며	언급/ncpa+하/xsv+며/ecs
지구당위원장들을	지구/ncn+당/ncn+위원/ncn+장/xsn+들/xsn+을/jco
달랜다는	달래/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
정상적인	정상/ncn+적/xsn+이/jp+ㄴ/etm
상황은	상황/ncn+은/jxc
아닌	아니/paa+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
조	조/nq
총재	총재/ncn
본인은	본인/ncn+은/jxc
이회창	이회창/nq
총재와의	총재/ncn+와/jct+의/jcm
연대에	연대/ncn+에/jca
더	더/mag
관심을	관심/ncn+을/jco
두고	두/pvg+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
이인제	이인제/nq
전	전/mma
지사쪽이	지사/ncn+쪽/nbn+이/jcs
민주당에	민주당/nq+에/jca
대해	대하/pvg+어/ecs
세몰이를	세몰이/ncn+를/jco
통한	통하/pvg+ㄴ/etm
`흡수단일화'	`/sl+흡수/ncn+단일/ncn+화/xsn+'/sr
전략을	전략/ncn+을/jco
구사하는	구사/ncpa+하/xsv+는/etm
데	데/nbn
대해	대하/pvg+어/ecs
상당한	상당/ncps+하/xsm+ㄴ/etm
불만을	불만/ncn+을/jco
갖고	갖/pvg+고/ecx
있는	있/px+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
당이	당/ncn+이/jcs
자칫	자칫/mag
`사분오열'될	`/sl+사분오열/ncn+'/sr+되/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
우려가	우려/ncn+가/jcs
일부에서	일부/ncn+에서/jca
나오고	나오/pvg+고/ecx
있다.	있/px+다/ef+./sf
당을	당/ncn+을/jco
어떻게든	어떻/pad+게/ecs+든/jxc
온전히	온전/ncn+히/xsa
유지해	유지/ncpa+하/xsv+어/ecs
대선	대선/ncn
정국에서	정국/ncn+에서/jca
`캐스팅	`/sl+캐스팅/ncn
보트'	보트/ncn+'/sr
역할을	역할/ncn+을/jco
해보자는	하/pvg+어/ecx+보/px+자/ef+는/etm
포석인	포석/ncn+이/jp+ㄴ/etm
셈이다.	셈/nbn+이/jp+다/ef+./sf
김영삼	김영삼/nq
대통령이	대통령/ncn+이/jcs
과연	과연/mag
신한국당을	신한국당/nq+을/jco
탈당할까.	탈당/ncpa+하/xsv+ㄹ까/ef+./sf
한다면	하/pvg+ㄴ다/ef+면/ecs
그	그/mmd
시기는	시기/ncn+는/jxc
언제쯤이	언제/npd+쯤/xsn+이/jcs
될까.	되/pvg+ㄹ까/ef+./sf
사실	사실/mag
김	김/nq
대통령의	대통령/ncn+의/jcm
탈당	탈당/ncn
문제는	문제/ncn+는/jxc
정치적	정치/ncn+적/xsn
계산이	계산/ncn+이/jcs
매우	매우/mag
복잡한	복잡/ncps+하/xsm+ㄴ/etm
고차방정식이다.	고차/ncn+방정/ncn+식/ncn+이/jp+다/ef+./sf
신한국당	신한국당/nq
내분	내분/ncn
사태의	사태/ncn+의/jcm
흐름에	흐름/ncn+에/jca
결정적	결정/ncn+적/xsn
영향을	영향/ncn+을/jco
주면서	주/pvg+면서/ecs
`디제이피	`/sl+디제이피/nq
연합'에	연합/ncn+'/sr+에/jca
대응하는	대응/ncpa+하/xsv+는/etm
여권의	여권/ncn+의/jcm
새로운	새롭/paa+ㄴ/etm
판짜기	판짜기/ncn
방향을	방향/ncn+을/jco
결정짓는	결정/ncn+짓/pvg+는/etm
고도의	고도/ncn+의/jcm
정치적	정치/ncn+적/xsn
포석이기	포석/ncn+이/jp+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
최근	최근/ncn
청와대의	청와대/nq+의/jcm
전반적	전반/ncn+적/xsn
기류를	기류/ncn+를/jco
볼	보/pvg+ㄹ/etm
때	때/ncn
김	김/nq
대통령의	대통령/ncn+의/jcm
마음이	마음/ncn+이/jcs
이회창	이회창/nq
총재로부터	총재/ncn+로/jca+부터/jxc
완전히	완전/ncn+히/xsa
떠나	떠나/pvg+아/ecs
이인제	이인제/nq
전	전/mma
경기지사쪽으로	경기/ncn+지사/ncn+쪽/nbn+으로/jca
기울었다는	기울/pvg+었/ep+다/ef+는/etm
점은	점/ncn+은/jxc
여러모로	여러모로/mag
감지된다.	감지/ncpa+되/xsv+ㄴ다/ef+./sf
따라서	따라서/maj
김	김/nq
대통령의	대통령/ncn+의/jcm
탈당	탈당/ncn
문제는	문제/ncn+는/jxc
단적으로	단적/ncn+으로/jca
말하면	말/ncpa+하/xsv+면/ecs
대선공정관리라는	대선/ncn+공정/ncn+관리/ncn+라/ef+는/etm
`대의명분'과,	`/sl+대의/ncn+명분/ncn+'/sr+과/jcj+,/sp
이	이/nq
총재의	총재/ncn+의/jcm
고사작전	고사/ncn+작전/ncn
및	및/maj
이	이/nq
전	전/mma
지사의	지사/ncn+의/jcm
효율적	효율/ncn+적/xsn
측면지원이라는	측면/ncn+지원/ncn+이/jp+라/ef+는/etm
`정치적	`/sl+정치/ncn+적/xsn
실리'를	실리/ncn+'/sr+를/jco
어떻게	어떻/pad+게/ecs
조화할	조화/ncpa+하/xsv+ㄹ/etm
것인가라는	것/nbn+이/jp+ㄴ가/ef+라/ef+는/etm
측면에서	측면/ncn+에서/jca
결정될	결정/ncpa+되/xsv+ㄹ/etm
듯하다.	듯하/px+다/ef+./sf
이런	이런/mmd
맥락에서	맥락/ncn+에서/jca
청와대쪽은	청와대/nq+쪽/nbn+은/jxc
아직은	아직/mag+은/jxc
김	김/nq
대통령의	대통령/ncn+의/jcm
탈당이	탈당/ncn+이/jcs
시기상조라고	시기/ncn+상조/ncn+라/ef+고/jcr
여기는	여기/pvg+는/etm
듯하다.	듯하/px+다/ef+./sf
신한국당의	신한국당/nq+의/jcm
내분	내분/ncn
사태를	사태/ncn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
정국구도가	정국/ncn+구도/ncn+가/jcs
매우	매우/mag
유동적이며	유동/ncn+적/xsn+이/jp+며/ecc
김	김/nq
대통령의	대통령/ncn+의/jcm
탈당은	탈당/ncn+은/jxc
곧바로	곧바로/mag
신한국당내	신한국당/ncn+내/nbn
`반이회창파'에	`/sl+반/xp+이회창/nq+파/ncn+'/sr+에/jca
대한	대하/pvg+ㄴ/etm
`탈당	`/sl+탈당/ncn
지시'로	지시/ncn+'/sr+로/jca
해석될	해석/ncpa+되/xsv+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없는	없/paa+는/etm
상황이다.	상황/ncn+이/jp+다/ef+./sf
가뜩이나	가뜩/mag+이나/jxc
김	김/nq
대통령의	대통령/ncn+의/jcm
`이중플레이'가	`/sl+이중/ncn+플레이/ncn+'/sr+가/jcs
의심받고	의심/ncn+받/pvg+고/ecx
있는	있/px+는/etm
상황에서	상황/ncn+에서/jca
탈당을	탈당/ncn+을/jco
결행할	결행/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
대선공정관리의	대선/ncn+공정/ncn+관리/ncn+의/jcm
의지가	의지/ncn+가/jcs
부각되기보다는	부각/ncpa+되/xsv+기/etn+보다/jca+는/jxc
오히려	오히려/mag
정치적	정치/ncn+적/xsn
노림수가	노림수/ncn+가/jcs
비판의	비판/ncn+의/jcm
도마	도마/ncn
위에	위/ncn+에/jca
오를	오르/pvg+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
크다.	크/paa+다/ef+./sf
이	이/nq
전	전/mma
지사의	지사/ncn+의/jcm
득표전략상으로도	득표/ncn+전략/ncn+상/xsn+으로/jca+도/jxc
`국민신당	`/sl+국민신당/nq
=김영삼당'이라는	=/sy+김영삼/nq+당/ncn+'/sr+이/jp+라/ef+는/etm
이미지	이미지/ncn
고착이	고착/ncn+이/jcs
결코	결코/mag
도움이	도움/ncn+이/jcs
못된다는	못/mag+되/pvg+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
청와대도	청와대/nq+도/jxc
충분히	충분/ncn+히/xsa
인식하고	인식/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
하지만	하지만/maj
김	김/nq
대통령이	대통령/ncn+이/jcs
끝까지	끝/ncn+까지/jxc
신한국당을	신한국당/nq+을/jco
탈당하지	탈당/ncpa+하/xsv+지/ecx
않고	않/px+고/ecs
