<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0006.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0006.txt </filename>
<title>허공의 몸을 찾아서 </title>
<author>석지명  </author>
<date>1993  </date>
<publisher>불교시대사  </publisher>
<kdc>223  </kdc>
<ddc>294.38  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
법구경은	법구경/nq+은/jxc
것을	것/nbn+을/jco
다	다/mag
앗아가더라도	앗/pvg+아/ecx+가/px+더라도/ecs
가지고	가지/pvg+고/ecx
있을	있/px+을/etm
때와	때/ncn+와/jct
다름없이	다름/ncn+없/paa+이/xsa
평화롭고	평화/ncps+롭/xsm+고/ecc
든든하게	든든하/paa+게/ecs
살	살/pvg+ㄹ/etm
수	수/nbn
있어야	있/paa+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
숫타나파타	숫타나파타/nq
에는	에는/jca
소치는	소/ncn+치/pvg+는/etm
사람과	사람/ncn+과/jcj
부처님이	부처/ncn+님/xsn+이/jcs
교대로	교대/ncn+로/jca
만족에	만족/ncn+에/jca
대해	대하/pvg+어/ecx
이야기하는	이야기/ncpa+하/xsm+는/etm
장면이	장면/ncn+이/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람은	사람/ncn+은/jxc
처자를	처자/ncn+를/jco
거느린	거느리/pvg+ㄴ/etm
사람으로	사람/ncn+으로/jca
현실에	현실/ncn+에/jca
만족하고	만족/ncpa+하/xsv+고/ecx
있고	있/px+고/ecc
부처님은	부처/ncn+님/xsn+은/jxc
처자가	처자/ncn+가/jcs
없이	없/paa+이/xsa
모든	모든/mma
속세를	속세/ncn+를/jco
초탈한	초탈/ncpa+하/xsv+ㄴ/etm
스승으로	스승/ncn+으로/jca
평화로워하고	평화/ncps+롭/xsm+어/ecx+하/px+고/ecx
있다	있/paa+다/ef
.	./sf
그래서	그래서/maj
소치는	소/ncn+치/pvg+는/etm
사람과	사람/ncn+과/jcj
부처님이	부처/ncn+님/xsn+이/jcs
현재의	현재/ncn+의/jcm
흡족한	흡족/ncps+하/xsm+ㄴ/etm
상태를	상태/ncn+를/jco
이야기하고는	이야기/ncpa+하/xsv+고는/ecc
'	'/sl
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.'	./sf+'/sr
라는	라/ef+는/etm
구절을	구절/ncn+을/jco
반복해서	반복/ncpa+하/xsv+어서/ecs
붙인다	붙이/pvg+ㄴ다/ef
.	./sf
'	'/sl
ㄱ은	ㄱ/ncn+은/jxc
일에	일/ncn+에/jca
대한	대하/pvg+ㄴ/etm
만반의	만반/ncn+의/jcm
준비가	준비/ncn+가/jcs
되어	되/pvg+어/ecx
있으니	있/px+으니/ecs
비가	비/ncn+가/jcs
오든	오/pvg+든/ecc
눈이	눈/ncn+이/jcs
오든	오/pvg+든/ecc
아무런	아무렇/pad+ㄴ/etm
걱정이	걱정/ncn+이/jcs
없다	없/paa+다/ef
.'	./sf+'/sr
는	는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.'	./sf+'/sr
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.'	./sf+'/sr
라는	라/ef+는/etm
구절이	구절/ncn+이/jcs
계속	계속/mag
나오므로	나오/pvg+므로/ecs
듣기에	듣/pvg+기/etn+에/jca
따라서	따르/pvg+아서/ecs
지루할	지루/ncps+하/xsm+ㄹ/etm
수도	수/nbn+도/jxc
있지만	있/paa+지만/ecs
필자는	필자/ncn+는/jxc
'	'/sl
무소의	무소/ncn+의/jcm
뿔처럼	뿔/ncn+처럼/jca
혼자서	혼자/ncn+서/jca
가라	가/pvg+라/ef
.'	./sf+'/sr
는	는/etm
말과	말/ncn+과/jct
함께	함께/mag
이	이/mmd
구절을	구절/ncn+을/jco
좋아한다	좋아하/pvg+ㄴ다/ef
.	./sf
여러분도	여러분/npp+도/jxc
좋아하게	좋아하/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람이	사람/ncn+이/jcs
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
나는	나/npp+는/jxc
이미	이미/mag
밥도	밥/ncn+도/jxc
지었고	짓/pvg+었/ep+고/ecc
우유도	우유/ncn+도/jxc
짜	짜/pvg+아/ecx
놓았습니다	놓/px+았/ep+습니다/ef
.	./sf
마히	마히/nq
강변에서	강변/ncn+에서/jca
처자와	처자/ncn+와/jct
함께	함께/mag
살고	살/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
내	내/npp
움막은	움막/ncn+은/jxc
이엉이	이엉/ncn+이/jcs
덮히고	덮히/pvg+고/ecc
방에는	방/ncn+에는/jca
불이	불/ncn+이/jcs
켜졌습니다	켜지/pvg+었/ep+습니다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jcs
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.	./sf
이의	이/npd+의/jcm
대구로	대구/ncn+로/jca
부처님이	부처/ncn+님/xsn+이/jcs
말씀하신다	말씀/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf
나는	나/npp+는/jxc
선생과	선생/ncn+과/jcj
미혹을	미혹/ncn+을/jco
벗어	벗/pvg+어/ecx
버렸다	버리/px+었/ep+다/ef
.	./sf
마히	마히/nq
강변에서	강변/ncn+에서/jca
하룻밤을	하룻밤/ncn+을/jco
쉬리라	쉬/pvg+리라/ef
.	./sf
내	내/npp
몸은	몸/ncn+은/jxc
하늘을	하늘/ncn+을/jco
지붕삼고	지붕/ncn+삼/pvg+고/ecc
탐욕의	탐욕/ncn+의/jcm
불은	불/ncn+은/jxc
꺼져	꺼지/pvg+어/ecx
버렸다	버리/px+었/ep+다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/jcv
.	./sf
마히	마히/nq
강변에	강변/ncn+에/jca
처자와	처자/ncn+와/jct
함께	함께/mag
사는	살/pvg+는/etm
소치는	소/ncn+치/pvg+는/etm
사람은	사람/ncn+은/jxc
밥과	밥/ncn+과/jcj
우유	우유/ncn
.	./sf
등불이	등불/ncn+이/jcs
준비되어	준비/ncpa+되/xsv+어/ecx
있어서	있/px+어서/ecs
아무런	아무렇/pad+ㄴ/etm
걱정이	걱정/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
반면에	반면/ncn+에/jca
마히	마히/nq
강변을	강변/ncn+을/jco
건넌	건너/pvg+ㄴ/etm
부처님은	부처/ncn+님/xsn+은/jxc
탐진치	탐진치/nq
(	(/sl
貪瞋痔	貪瞋痔/nq
)	)/sr
삼독의	삼독/ncn+의/jcm
불은	불/ncn+은/jxc
완전히	완전/ncn+히/xsa
꺼지고	꺼지/pvg+고/ecc
마히	마히/nq
강을	강/ncn+을/jco
곁에	곁/ncn+에/jca
하고	하/pvg+고/ecc
하늘을	하늘/ncn+을/jco
지붕삼아	지붕/ncn+삼/pvg+아/ecs
하룻밤을	하룻밤/ncn+을/jco
쉬기	쉬/pvg+기/etn
위해서	위하/pvg+어서/ecs
자리를	자리/ncn+를/jco
잡았다	잡/pvg+았/ep+다/ef
.	./sf
편안하다	편안/ncps+하/xsm+다/ef
.	./sf
아무런	아무렇/pad+ㄴ/etm
걱정이	걱정/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
다시	다시/mag
소치는	소/ncn+치/pvg+는/etm
사람이	사람/ncn+이/jcs
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
내	내/npp
아내는	아내/ncn+는/jxc
온순하고	온순/ncps+하/xsm+고/ecc
음란하지	음란/ncps+하/xsv+지/ecx
않습니다	않/px+습니다/ef
.	./sf
오래	오래/mag
함께	함께/mag
살아도	살/pvg+아도/ecs
항상	항상/mag
내	내/npp
마음에	마음/ncn+에/jca
흡족합니다	흡족/ncps+하/xsm+ㅂ니다/ef
.	./sf
그녀에게	그녀/npp+에게/jca
나쁜	나쁘/paa+ㄴ/etm
점이	점/ncn+이/jcs
있다는	있/paa+다/ef+는/etm
말도	말/ncn+도/jxc
듣지	듣/pvg+지/ecx
못했습니다	못하/px+었/ep+습니다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.	./sf
이의	이/npd+의/jcm
대구로	대구/ncn+로/jca
부처님이	부처/ncn+님/xsn+이/jcs
말씀하신다	말씀/ncn+하/xsv+시/ep+ㄴ다/ef
.	./sf
내	내/mmd
마음은	마음/ncn+은/jxc
내게	나/npp+에게/jca
순종하고	순종/ncpa+하/xsv+고/ecx
해탈	해탈/ncn
(	(/sl
解脫	解脫/ncn
)	)/sr
해	하/xsv+어/ecx
있다	있/paa+다/ef
.	./sf
오랜	오래/paa+ㄴ/etm
수양으로	수양/ncn+으로/jca
잘	잘/mag
다스려졌다	다스리/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
내게는	내/mmd+게/jca+는/jxc
그	그/mmd
어떤	어떤/mmd
나쁜	나쁘/paa+ㄴ/etm
것도	것/nbn+도/jxc
있지	있/paa+지/ecx
않다	않/px+다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람은	사람/ncn+은/jxc
아내가	아내/ncn+가/jcs
음란하지	음란/ncps+하/xsm+지/ecx
않고	않/px+고/ecc
어떤	어떤/mmd
나쁜	나쁘/paa+ㄴ/etm
점도	점/ncn+도/jxc
없는	없/paa+는/etm
데	데/nbn
만족해	만족/ncpa+하/xsv+어/ecx
한다	하/px+ㄴ다/ef
.	./sf
이에	이/npd+에/jca
비해	비하/pvg+어/ecx
부처님은	부처/ncn+님/xsn+은/jxc
오랜	오래/paa+ㄴ/etm
수양을	수양/ncn+을/jco
통해서	통하/pvg+어서/ecs
해탈한	해탈/ncpa+하/xsv+ㄴ/etm
마음이	마음/ncn+이/jcs
아무런	아무렇/pad+ㄴ/etm
나쁜	나쁘/paa+ㄴ/etm
점도	점/ncn+도/jxc
없이	없/paa+이/xsa
순종하게	순종/ncpa+하/xsv+게/ecs
된	되/pvg+ㄴ/etm
것을	것/nbn+을/jco
만족해	만족/ncpa+하/xsv+어/ecx
한다	하/px+ㄴ다/ef
.	./sf
아내의	아내/ncn+의/jcm
순종과	순종/ncn+과/jcj
마음의	마음/ncn+의/jcm
순종과의	순종/ncn+과/jct+의/jcm
대비이다	대비/ncn+이/jp+다/ef
.	./sf
만약에	만약/ncn+에/jca
어떤	어떤/mmd
사람이	사람/ncn+이/jcs
"	"/sl
내	내/npp
처자와	처자/ncn+와/jcj
내	내/npp
아랫사람들이	아랫사람/ncn+들/xsn+이/jcs
나에게	나/npp+에게/jca
순종하지	순종/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
."	./sf+"/sr
라고	라고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
내마음의	내/npp+마음/ncn+의/jcm
순종	순종/ncn
.	./sf
평화를	평화/ncn+를/jco
얻는	얻/pvg+는/etm
데	데/nbn
중요한	중요/ncps+하/xsm++ㄴ/etm
첫걸음이다	첫걸음/ncn+이/jp+다/ef
.	./sf
다시	다시/mag
소치는	소/ncn+치/pvg+는/etm
사람이	사람/ncn+이/jcs
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
나는	나/npp+는/jxc
놀지	놀/pvg+지/ecs
않고	않/px+고/ecc
내	내/mmd
힘으로	힘/ncn+으로/jca
살아가고	살/pvg+아/ecx+가/px+고/ecx
있습니다	있/px+습니다/ef
.	./sf
내	내/mmd
아이들도	아이/ncn+들/xsn+도/jxc
모두	모두/ncn
다	다/mag
건강합니다	건강/ncps+하/xsm+ㅂ니다/ef
.	./sf
그들에게	그/npp+들/xsn+에게/jca
그	그/mmd
어떤	어떤/mmd
나쁜	나쁘/paa+ㄴ/etm
점이	점/ncn+이/jcs
있다는	있/paa+다/ef+는/etm
말도	말/ncn+도/jxc
듣지	듣/pvg+지/ecx
못했습니다	못하/px+었/ep+습니다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.	./sf
이의	이/npd+의/jcm
대구로	대구/ncn+로/jca
부처님이	부처/ncn+님/xsn+이/jcs
말씀하신다	말씀/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf
나는	나/npp+는/jxc
누구에	누구/npp+에/jca
의해서도	의하/pvg+어서/ecs+도/jxc
고용된	고용/ncpa+되/xsv+ㄴ/etm
사람이	사람/ncn+이/jcc
아니다	아니/paa+다/ef
.	./sf
스스로	스스로/mag
얻는	얻/pvg+는/etm
것에	것/nbn+에/jca
의해	의하/pvg+어/ecx
온	온/mma
세상을	세상/ncn+을/jco
거니노라	거닐/pvg+노라/ef
.	./sf
남에게	남/ncn+에게/jca
고용될	고용/ncpa+되/xsv+ㄹ/etm
이유가	이유/ncn+가/jcs
없다	없/paa+다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람은	사람/ncn+은/jxc
놀지	놀/pvg+지/ecx
않고	않/px+고/ecc
일함으로써	일/ncpa+하/xsv+ㅁ/etn+으로써/jca
자기	자기/ncn
힘으로	힘/ncn+으로/jca
살아가는	살/pvg+아/ecx+가/px+는/etm
점을	점/ncn+을/jco
말하고	말/ncpa+하/xsv+고/ecc
부처님은	부처/ncn+님/xsn+은/jxc
모든	모든/mma
소유자	소유/ncn+자/xsn
버림으로써	버리/pvg+ㅁ/etn+으로써/jca
어느것에	어느것/npd+에/jca
의해서도	의하/pvg+어서도/ecs
부림받지	부리/pvg+ㅁ/etn+받/pvg+지/ecx
않는	않/px+는/etm
자유를	자유/ncn+를/jco
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
이	이/mmd
세상에	세상/ncn+에/jca
살면서	살/pvg+면서/ecs
무슨	무슨/mmd
일을	일/ncn+을/jco
하려면	하/pvg+려면/ecs
누군가의	누군가/npd+의/jcm
도움을	도움/ncn+을/jco
받아야	받/pvg+아야/ecs
되고	되/pvg+고/ecc
도움을	도움/ncn+을/jco
받다	받/pvg+다/ecs
보면	보/pvg+면/ecs
보답해야	보답/ncpa+하/xsv+어야/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
상대방이	상대방/ncn+이/jcs
일부러	일부러/mag
나를	나/npp+를/jco
고용하려	고용/ncpa+하/xsv+려/ecs
하고	하/pvg+고/ecc
부리려	부리/pvg+려/ecs
해서가	하/pvg+어서/ecs+가/jcs
아니라	아니/paa+라/ecs
인간관계의	인간/ncn+관계/ncn+의/jcm
구조가	구조/ncn+가/jcs
서로	서로/ncn
고용하고	고용/ncpa+하/xsv+고/ecc
고용당하도록	고용/ncpa+당하/xsv+도록/ecs
되어	되/pvg+어/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람은	사람/ncn+은/jxc
속세에	속세/ncn+에/jca
사는	살/pvg+는/etm
우리처럼	우리/npp+처럼/jca
일하는	일/ncpa+하/xsv+는/etm
데서	데/nbn+서/jca
독자의	독자/ncn+의/jcm
힘을	힘/ncn+을/jco
생각하지만	생각/ncpa+하/xsv+지만/ecs
부처님은	부처/ncn+님/xsn+은/jxc
버리는	버리/pvg+는/etm
데서	데/nbn+서/jca
족자의	족자/ncn+의/jcm
힘을	힘/ncn+을/jco
찾는다	찾/pvg+는다/ef
.	./sf
인간은	인간/ncn+은/jxc
아무리	아무리/mag
버린다	버리/pvg+ㄴ다/ef
해도	하/pvg+어도/ecs
자기	자기/npp
몸이나	몸/ncn+이나/jcj
마음	마음/ncn
,	,/sp
심지어는	심지어/mag+는/jxc
깨달음의	깨달음/ncn+의/jcm
포교에까지도	포교/ncn+에/jca+까지/jxc+도/jxc
얽매이게	얽매이/pvg+게/ecs
되어	되/pvg+어/ecx
있다	있/paa+다/ef
.	./sf
부처님은	부처/ncn+님/xsn+은/jxc
무조건	무/xp+조건/ncn
버리는	버리/pvg+는/etm
것이	것/nbn+이/jcs
능사라는	능사/ncn+라/ef+는/etm
것을	것/nbn+을/jco
뜻하지는	뜻/ncpa+하/xsv+지/ecs+는/jxc
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
무한정	무/xp+한정/ncn
버리는	버리/pvg+는/etm
것이	것/nbn+이/jcs
불가능한	불/xp+가능/ncps+하/xsm+ㄴ/etm
한계상황의	한계/ncn+상황/ncn+의/jcm
인간이	인간/ncn+이/jcs
어떻게	어떻/pad+게/jca
버리지	버리/pvg+지/ecx
않으면서도	않/px+으면서/ecs+도/jxc
다른	다르/paa+ㄴ/etm
것에	것/nbn+에/jca
의해	의하/pvg+어/ecx
고용되지	고용/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
자유를	자유/ncn+를/jco
누릴	누리/pvg+ㄹ/etm
수가	수/nbn+가/jcs
있는가	있/pvg+는가/ef
.	./sf
그리고	그리고/maj
버리지	버리/pvg+지/ecx
않으면서도	않/px+으면서/ecs+도/jxc
어떻게	어떻/pad+게/jca
버리는	버리/pvg+는/etm
것과	것/nbn+과/jct
같이	같이/jca
살	살/pvg+ㄹ/etm
수	수/nbn
있는가의	있/pvg+는가/ef+의/jcm
문제에	문제/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
소치는	소/ncn+치/pvg+는/etm
사람과	사람/ncn+과/jcj
부처님의	부처/ncn+님/xsn+의/jcm
이야기를	이야기/ncn+를/jco
생각해	생각/ncn+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
다시	다시/mag
소치는	소/ncn+치/pvg+는/etm
사람이	사람/ncn+이/jcs
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
아직	아직/mag
길들지	길들/pvg+지/ecx
않은	않/px+은/etm
송아지도	송아지/ncn+도/jxc
있고	있/paa+고/ecc
젖을	젖/ncn+을/jco
먹는	먹/pvg+는/etm
어린	어리/paa+ㄴ/etm
소도	소/ncn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
새끼	새끼/ncn
밴	배/pvg+ㄴ/etm
어미	어미/ncn
소도	소/ncn+도/jxc
있고	있/px+고/ecc
암내	암내/ncn
낸	내/pvg+ㄴ/etm
암소도	암소/ncn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
그리고	그리고/maj
암소의	암소/ncn+의/jcm
짝인	짝/ncn+이/jp+ㄴ/etm
황소도	황소/ncn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
그러니	그렇/pad+니/ecs
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌려주소서	뿌리/pvg+어/ecx+주/px+소서/ef
.	./sf
이의	이/npd+의/jcm
대구로	대구/ncn+로/jca
부처님이	부처/ncn+님/xsn+이/jcs
말씀하신다	말씀/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf
아직	아직/mag
길들이지	길들이/pvg+지/ecx
않은	않/px+은/etm
어린	어리/paa+ㄴ/etm
소도	소/ncn+도/jxc
없고	없/paa+고/ecc
젖을	젖/ncn+을/jco
먹는	먹/pvg+는/etm
송아지도	송아지/ncn+도/jxc
없다	없/paa+다/ef
.	./sf
새끼	새끼/ncn
밴	배/pvg+ㄴ/etm
어미	어미/ncn
소도	소/ncn+도/jxc
없으며	없/paa+으며/ecs
암내	암내/ncn
낸	내/pvg+ㄴ/etm
암소도	암소/ncn+도/jxc
없다	없/paa+다/ef
.	./sf
그리고	그리고/maj
암소의	암소/ncn+의/jcm
짝인	짝/ncn+이/jp+ㄴ/etm
황소도	황소/ncn+도/jxc
없다	없/paa+다/ef
.	./sf
그러니	그러니/maj
하늘이여	하늘/ncn+이여/jcv
,	,/sp
비를	비/ncn+를/jco
뿌리려거든	뿌리/pvg+려/ecs+거든/ecs
비를	비/ncn+를/jco
뿌리소서	뿌리/pvg+소서/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람은	사람/ncn+은/jxc
행복해	행복/ncps+하/xsm+어/ecs
보이는	보이/pvg+는/etm
정경을	정경/ncn+을/jco
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
송아지	송아지/ncn
.	./sf
어린	어리/paa+ㄴ/etm
소	소/ncn
.	./sf
어미	어미/ncn
소	소/ncn
.	./sf
황소들이	황소/ncn+들/xsn+이/jcs
평화롭게	평화/ncps+롭/xsm+게/ecs
있다	있/paa+다/ef
.	./sf
그	그/mmd
쇠는	쇠/ncn+는/jxc
사람에게는	사람/ncn+에게/jca+는/jxc
이제	이제/mag
어떤	어떤/mmd
일이	일/ncn+이/jcs
있어도	있/pvg+어도/ecs
무서울	무섭/paa+ㄹ/etm
것이	것/nbn+이/jcs
없다	없/paa+다/ef
.	./sf
그는	그/npp+는/jcs
소유에	소유/ncn+에/jca
의해서	의하/pvg+어서/ecs
안심을	안심/ncn+을/jco
느낀다	느끼/pvg+ㄴ다/ef
.	./sf
이에	이/npd+에/jca
비해서	비하/pvg+어서/ecs
부처님은	부처/ncn+님/xsn+은/jxc
아무것도	아무것/npd+도/jxc
가진	가지/pvg+ㄴ/etm
것이	것/nbn+이/jcs
없음을	없음/ncn+을/jco
강조한다	강조/ncpa+하/xsv+ㄴ다/ef
.	./sf
가진	가지/pvg+ㄴ/etm
것이	것/nbn+이/jcs
없음에	없음/ncn+에/jca
의해서	의하/pvg+어서/ecs
걸림이	걸림/ncn+이/jcs
없음과	없음/ncn+과/jcj
자유를	자유/ncn+를/jco
느낀다	느끼/pvg+ㄴ다/ef
.	./sf
걱정해야	걱정/ncpa+하/xsv+어야/ecs
할	하/pvg+ㄹ/etm
것이	것/nbn+이/jcs
아무	아무/mmd
것도	것/nbn+도/jxc
없다	없/paa+다/ef
.	./sf
이때	이/mmd+때/ncn
갑자기	갑자기/mag
하늘에	하늘/ncn+에/jca
검은	검/paa+은/etn
구름이	구름/ncn+이/jcs
덮이고	덮이/pvg+고/ecc
사방이	사방/ncn+이/jcs
어두원지더니	어둡/paa+어/ecx+지/px+더/ep+니/ecs
억수같은	억수/ncn+같/paa+은/etm
비가	비/ncn+가/jcs
내렸다	내리/pvg+었/ep+다/ef
.	./sf
곧바로	곧바로/mag
골짜기와	골짜기/ncn+와/jcj
언덕에	언덕/ncn+에/jca
물이	물/ncn+이/jcs
넘치고	넘치/pvg+고/ecc
송아지와	송아지/ncn+와/jcj
움막이	움막/ncn+이/jcs
떠내려갔다	떠내리/pvg+어/ecs+가/pvg+았/ep+다/ef
.	./sf
그러자	그러자/maj
소치는	소/ncn+치/pvg+는/etm
사람이	사람/ncn+이/jcs
부처님께	부처/ncn+님/xsn+께/jca
엎드려서	엎드리/pvg+어서/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
우리는	우리/npp+는/jxc
거룩한	거룩/ncps+하/xsm+ㄴ/etm
스승을	스승/ncn+을/jco
만나	만나/pvg+아/ecs
배운	배우/pvg+ㄴ/etm
바가	바/nbn+가/jcs
참으로	참으로/mag
큽니다	크/paa+ㅂ니다/ef
.	./sf
아내와	아내/ncn+와/jct
함께	함께/mag
귀의해서	귀의/ncpa+하/xsv+어서/ecs
해드는	해/ncn+들/pvg+는/etm
날이나	날/ncn+이나/ecc
비온	비/ncn+오/pvg+ㄴ/etm
날이나	날/ncn+이나/ecc
관계없이	관계/ncn+없/paa+이/xsa
행복	행복/ncn
속에	속/ncn+에/jca
있는	있/pvg+는/etm
스승	스승/ncn
곁에서	곁/ncn+에서/jca
마음을	마음/ncn+을/jco
항복받고	항복/ncn+받/pvg+고/ecc
순종시키면서	순종/ncn+시키/xsv+면서/ecs
살겠습니다	살/pvg+겠/ep+습니다/ef
.	./sf
소치는	소/ncn+치/pvg+는/etm
사람이	사람/ncn+이/jcs
부처님에게	부처/ncn+님/xsn+에게/jca
귀의하자	귀의/ncpa+하/xsv+자/ecs
이를	이/npd+를/jco
샘낸	샘/ncn+내/pvg+ㄴ/etm
악마가	악마/ncn+가/jcs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
자녀가	자녀/ncn+가/jcs
있는	있/paa+는/etm
이는	이/npp+는/jxc
자녀로	자녀/ncn+로/jca
인해	인하/pvg+어/ecs
기뻐하고	기쁘/paa+어/ecs+하/xsv+고/ecc
,	,/sp
소를	소/ncn+를/jco
가진	가지/pvg+ㄴ/etm
이는	이/npp+는/jxc
소로	소/ncn+로/jca
인해	인하/pvg+어/ecs
기뻐한다	기쁘/paa+어/ecs+하/xsv+ㄴ다/ef
.	./sf
사람들은	사람/ncn+들/xsn+은/jxc
집착으로	집착/ncn+으로/jca
기쁨을삼아	기쁨/ncn+을/jco+삼/pvg+아/ecs
집착할	집착/ncpa+하/xsv+ㄹ/etm
데가	데/nbn+가/jcs
없는	없/paa+는/etm
사람은	사람/ncn+은/jxc
기뻐할	기뻐하/pvg+ㄹ/etm
건더기도	건더기/ncn+도/jxc
없으리라	없/paa+으리라/ef
.	./sf
이	이/npd
악마의	악마/ncn+의/jcm
말에	말/ncn+에/jca
대해서	대하/pvg+어서/ecs
부처님은	부처/ncn+님/xsn+은/jxc
응답하신다	응답/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf
자녀가	자녀/ncn+가/jcs
있는	있/paa+는/etm
이는	이/npp+는/jxc
자녀로	자녀/ncn+로/jca
인해	인하/pvg+어/ecs
근심하고	근심/ncpa+하/xsv+고/ecc
,	,/sp
소를	소/ncn+를/jco
가진	가지/pvg+ㄴ/etm
이는	이/npp+는/jxc
소	소/ncn
때문에	때문/nbn+에/jca
걱정한다	걱정/ncpa+하/xsv+ㄴ다/ef
.	./sf
사람들이	사람/ncn+들/xsn+이/jcs
집착하는	집착/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
마침내	마침내/mag
근심이	근심/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
집착할	집착/ncpa+하/xsv+ㄹ/etm
것이	것/nbn+이/jcs
없는	없/paa+는/etm
사람은	사람/ncn+은/jxc
근심할	근심/ncpa+하/xsv+ㄹ/etm
것도	것/nbn+도/jxc
없다	없/paa+다/ef
.	./sf
악마는	악마/ncn+는/jxc
