<tdmsfile>


모두들	모두/ncn+들/xsn
인부들은	인부/ncn+들/xsn+은/jxc
큰	크/paa+ㄴ/etm
돌을	돌/ncn+을/jco
위로	위/ncn+로/jca
올리기	올리/pvg+기/etn
위해서	위하/pvg+어서/ecs
흙으로	흙/ncn+으로/jca
빗면을	빗면/ncn+을/jco
만들어	만들/pvg+어/ecs
그것을	그것/npd+을/jco
이용해	이용/ncpa+하/xsv+어/ecs
돌을	돌/ncn+을/jco
밀어	밀/pvg+어/ecs
올렸어요	올리/pvg+었/ep+어/ef+요/jxf
.	./sf

자	자/ii
,	,/sp
이번에는	이/mmd+번/nbn+에/jca+는/jxc
직접	직접/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
도구를	도구/ncn+를/jco
하나	하나/nnc
만들어	만들/pvg+어/ecx
보도록	보/px+도록/ecs
하죠	하/pvg+지/ef+요/jxf
.	./sf

저	저/mmd
큰	크/paa+ㄴ/etm
상자를	상자/ncn+를/jco
조금	조금/mag
들어서	들/pvg+어서/ecs
지레의	지레/ncn+의/jcm
짧은	짧/paa+은/etm
쪽에	쪽/nbn+에/jca
올려	올리/pvg+어/ecx
봐요	보/px+아/ef+요/jxf
.	./sf

어떤	어떤/mmd
도구도	도구/ncn+도/jxc
지레의	지레/ncn+의/jcm
원리를	원리/ncn+를/jco
이용하면	이용/ncpa+하/xsv+면/ecs
힘을	힘/ncn+을/jco
절약할	절약/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있어요	있/paa+어/ef+요/jxf
.	./sf

굴삭기도	굴삭기/ncn+도/jxc
,	,/sp
불도저도	불도저/ncn+도/jxc
,	,/sp
선반도	선반/ncn+도/jxc
,	,/sp
모두	모두/mag
지레와	지레/ncn+와/jcj
윈치	윈치/ncn
,	,/sp
빗면을	빗면/ncn+을/jco
만드는	만들/pvg+는/etm
판들을	판/ncn+들/xsn+을/jco
조합하여	조합/ncpa+하/xsv+어/ecs
만든거예요	만들/pvg+ㄴ/etm+거/nbn+이/jp+어/ef+요/jxf
.	./sf

그래서	그래서/maj
복잡한	복잡/ncps+하/xsm+ㄴ/etm
기계의	기계/ncn+의/jcm
구조도	구조/ncn+도/jxc
에너지의	에너지/ncn+의/jcm
보존	보존/ncn
/	//sp
변환의	변환/ncn+의/jcm
법칙에	법칙/ncn+에/jca
따르고	따르/pvg+고/ecc
있는거지요	있/paa+는/etm+거/nbn+지/ef+요/jxf
.	./sf

물론	물론/mag
그것들을	그것/npd+들/xsn+을/jco
움직이는데는	움직이/pvg+는/etm+데/nbn+는/jxc
인간의	인간/ncn+의/jcm
근육의	근육/ncn+의/jcm
힘만이	힘/ncn+만/jxc+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
것들도	것/nbn+들/xsn+도/jxc
사용하고	사용/ncpa+하/xsv+고/ecx
있어요	있/px+어/ef+요/jxf
.	./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
모터	모터/ncn
,	,/sp
증기기관	증기/ncn+기관/ncn
,	,/sp
내연기관	내연/ncn+기관/ncn
,	,/sp
터빈	터빈/ncn
등등	등등/nbn
.	./sf

그가	그/npp+가/jcs
이끌어	이끌/pvg+어/ecx
낸	내/px+ㄴ/etm
결론은	결론/ncn+은/jxc
지구가	지구/ncn+가/jcs
사과를	사과/ncn+를/jco
당기는	당기/pvg+는/etm
것처럼	것/nbn+처럼/jca
,	,/sp
사과도	사과/ncn+도/jxc
지구를	지구/ncn+를/jco
당기고	당기/pvg+고/ecx
있다	있/px+다/ef
,	,/sp
바꿔	바꾸/pvg+어/ecs
말하면	말/ncpa+하/xsv+면/ecs
사과와	사과/ncn+와/jcj
땅이	땅/ncn+이/jcs
서로	서로/mag
당기고	당기/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것이죠	것/nbn+이/jp+지/ef+요/jxf
.	./sf

그러면	그러면/maj
어째서	어찌하/pad+어서/ecs
사과가	사과/ncn+가/jcs
땅	땅/ncn
위에	위/ncn+에/jca
떨어지고	떨어지/pvg+고/ecc
,	,/sp
반대로	반대/ncn+로/jca
지구가	지구/ncn+가/jcs
사과에	사과/ncn+에/jca
떨어지지는	떨어지/pvg+지/ecx+는/jxc
않지	않/px+지/ef
?	?/sf
그것은	그것/npd+은/jxc
지구가	지구/ncn+가/jcs
크기	크/paa+기/etn
때문이에요	때문/nbn+이/jp+어/ef+요/jxf
.	./sf

지구가	지구/ncn+가/jcs
훨씬	훨씬/mag
커서	크/paa+어서/ecs
사과가	사과/ncn+가/jcs
당기는	당기/pvg+는/etm
정도의	정도/ncn+의/jcm
작은	작/paa+은/etm
힘으로는	힘/ncn+으로/jca+는/jxc
꼼짝도	꼼짝/mag+도/jxc
하지	하/pvg+지/ecx
않는거죠	않/px+는/etm+거/nbn+지/ef+요/jxf
.	./sf

이런	이런/mmd
생각을	생각/ncn+을/jco
하는	하/pvg+는/etm
동안	동안/ncn
,	,/sp
뉴턴은	뉴턴/nq+은/jxc
이	이/mmd
세상에	세상/ncn+에/jca
있는	있/paa+는/etm
모든	모든/mma
물체가	물체/ncn+가/jcs
작은	작/paa+은/etm
경우에는	경우/ncn+에/jca+는/jxc
당기는	당기/pvg+는/etm
힘이	힘/ncn+이/jcs
작아서	작/paa+아서/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
없지만	없/paa+지만/ecs
가령	가령/mag
혹성이라든가	혹성/ncn+이/jp+라/ef+든가/ecc
,	,/sp
그	그/mmd
위성	위성/ncn
,	,/sp
항성	항성/ncn
등	등/nbn
큰	크/paa+ㄴ/etm
물체의	물체/ncn+의/jcm
경우는	경우/ncn+는/jxc
어떻게	어떻/pad+게/ecs
될까	되/pvg+ㄹ까/ef
?	?/sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
태양과	태양/ncn+과/jcj
지구	지구/ncn
,	,/sp
지구와	지구/ncn+와/jcj
달	달/ncn
사이에는	사이/ncn+에/jca+는/jxc
큰	크/paa+ㄴ/etm
인력이	인력/ncn+이/jcs
작용하고	작용/ncpa+하/xsv+고/ecx
있죠	있/px+지/ef+요/jxf
.	./sf

코페르니는	코페르니/nq+는/jxc
이렇게	이렇/pad+게/ecs
말하곤	말/ncpa+하/xsv+고/ecc+ㄴ/jxc
그의	그/npp+의/jcm
바닥이	바닥/ncn+이/jcs
없는	없/paa+는/etm
(?)	(/sl+?/sp+)/sr
호주머니에서	호주머니/ncn+에서/jca
끈을	끈/ncn+을/jco
꺼내더니	꺼내/pvg+더/ep+니/ecs
끝에	끝/ncn+에/jca
작은	작/paa+은/etm
돌을	돌/ncn+을/jco
연결하여	연결/ncpa+하/xsv+어/ecs
머리	머리/ncn
위에서	위/ncn+에서/jca
빙빙	빙빙/mag
돌리기	돌리/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf

코페르니는	코페르니/nq+는/jxc
돌을	돌/ncn+을/jco
돌리는	돌리/pvg+는/etm
것을	것/nbn+을/jco
그만두고	그만두/pvg+고/ecc
끈을	끈/ncn+을/jco
풀어서	풀/pvg+어서/ecs
호주머니에	호주머니/ncn+에/jca
넣었다	넣/pvg+었/ep+다/ef
.	./sf

그리고	그리고/maj
물체가	물체/ncn+가/jcs
크면	크/paa+면/ecs
클수록	크/paa+ㄹ수록/ecs
그	그/mmd
만유인력이	만유인력/ncn+이/jcs
커진다는	크/paa+어/ecx+지/px+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
증명했죠	증명/ncpa+하/xsv+었/ep+지/ef+요/jxf
.	./sf

좀	좀/mag
더	더/mag
정확히	정확/ncn+히/xsa
말하면	말/ncpa+하/xsv+면/ecs
두	두/nnc
물체	물체/ncn
사이에	사이/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
인력은	인력/ncn+은/jxc
그	그/mmd
물체의	물체/ncn+의/jcm
질량의	질량/ncn+의/jcm
제곱에	제곱/ncn+에/jca
비례하다는거죠	비례/ncpa+하/xsv+ㄴ다/ef+는/etm+거/nbn+지/ef+요
비례하다는거죠	/jxf
.	./sf

물체가	물체/ncn+가/jcs
가까이	가깝/paa+이/xsa
있거나	있/paa+거나/ecc
,	,/sp
멀리	멀리/mag
있는	있/paa+는/etm
것과는	것/nbn+과/jct+는/jxc
관계가	관계/ncn+가/jcs
없어	없/paa+어/ef
?	?/sf
아니요	아니/paa+요/jxf
!	!/sf
대단히	대단/ncn+히/xsa
관계가	관계/ncn+가/jcs
있어요	있/paa+어/ef+요/jxf
.	./sf

만약	만약/mag
두	두/nnc
물체의	물체/ncn+의/jcm
거리를	거리/ncn+를/jco
두	두/nnc
배로	배/nbu+로/jca
하면	하/pvg+면/ecs
인력은	인력/ncn+은/jxc
1	1/nnc
/	//sp
4	4/nnc
로	로/jca
줄어요	줄/pvg+어/ef+요/jxf
.	./sf

만약	만약/mag
거리를	거리/ncn+를/jco
세	세/nnc
배로	배/nbu+로/jca
하면	하/pvg+면/ecs
1	1/nnc
/	//sp
9	9/nnc
로	로/jca
줄어요	줄/pvg+어/ef+요/jxf
.	./sf

알았다	알/pvg+았/ep+다/ef
!	!/sf
만약	만약/mag
거리가	거리/ncn+가/jcs
다섯	다섯/nnc
배가	배/nbu+가/jcc
되면	되/pvg+면/ecs
인력은	인력/ncn+은/jxc
1	1/nnc
/	//sp
25	25/nnc
이	이/jcc
되겠군	되/pvg+겠/ep+군/ef
.	./sf

모든	모든/mma
물체	물체/ncn
사이에는	사이/ncn+에/jca+는/jxc
인력이	인력/ncn+이/jcs
작용하며	작용/ncpa+하/xsv+며/ecc
,	,/sp
그	그/mmd
인력은	인력/ncn+은/jxc
물체의	물체/ncn+의/jcm
질량의	질량/ncn+의/jcm
제곱에	제곱/ncn+에/jca
비례하고	비례/ncpa+하/xsv+고/ecc
,	,/sp
그	그/mmd
물체의	물체/ncn+의/jcm
거리에	거리/ncn+에/jca
제곱에	제곱/ncn+에/jca
반비례한다	반/xp+비례/ncpa+하/xsv+ㄴ다/ef+는/etm
mna02.084, 502, 4467, 
거예요	거/nbn+이/jp+어/ef+요/jxf
.	./sf

이	이/mmd
법칙을	법칙/ncn+을/jco
사용하면	사용/ncpa+하/xsv+면/ecs
혹성	혹성/ncn
,	,/sp
소혹성	소/xp+혹성/ncn
,	,/sp
혜성의	혜성/ncn+의/jcm
정확한	정확/ncps+하/xsm+ㄴ/etm
궤도를	궤도/ncn+를/jco
계산할	계산/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있어요	있/paa+어/ef+요/jxf
.	./sf

인간이	인간/ncn+이/jcs
우주에	우주/ncn+에/jca
진출한	진출/ncpa+하/xsv+ㄴ/etm
이래	이래/ncn
,	,/sp
지구를	지구/ncn+를/jco
도는	돌/pvg+는/etm
인공위성	인공/ncn+위성/ncn
,	,/sp
혹성간의	혹성/ncn+간/nbn+의/jcm
우주정거장	우주/ncn+정거/ncn+장/xsn
,	,/sp
우주선의	우주/ncn+선/xsn+의/jcm
궤도	궤도/ncn
등	등/nbn
모두가	모두/ncn+가/jcs
만유인력의	만유인력/ncn+의/jcm
법칙을	법칙/ncn+을/jco
이용하여	이용/ncpa+하/xsv+어/ecs
계산되고	계산/ncpa+되/xsv+고/ecx
있어요	있/px+어/ef+요/jxf
.	./sf

코페르니는	코페르니/nq+는/jxc
나와	나/npp+와/jcj
아저씨를	아저씨/ncn+를/jco
사과밭	사과/ncn+밭/ncn
가장자리까지	가장자리/ncn+까지/jxc
바래다주고	바래다주/pvg+고/ecs
섭섭한	섭섭/ncps+하/xsm+ㄴ/etm
듯이	듯이/nbn
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf

전부를	전부/ncn+를/jco
안내할	안내/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
없었지만	없/paa+었/ep+지만/ecs
,	,/sp
중요한	중요/ncps+하/xsm+ㄴ/etm
법칙은	법칙/ncn+은/jxc
대부분	대부분/mag
설명했다고	설명/ncpa+하/xsv+었/ep+다/ef+고/jcr
생각해요	생각/ncpa+하/xsv+어/ef+요/jxf
.	./sf

코페르니는	코페르니/nq+는/jxc
이렇게	이렇/pad+게/ecs
말하고	말/ncpa+하/xsv+고/ecc
뒤로	뒤/ncn+로/jca
돌아	돌/pvg+아/ecs
광장	광장/ncn
쪽으로	쪽/nbn+으로/jca
달려갔다	달리/pvg+어/ecs+가/pvg+았/ep+다/ef
.	./sf

열화산에서	열/ncn+화산/ncn+에서/jca
저온빙하까지	저온/ncn+빙하/ncn+까지/jxc
나와	나/npp+와/jcj
아저씨는	아저씨/ncn+는/jxc
지도를	지도/ncn+를/jco
펼쳐	펼치/pvg+어/ecs
길을	길/ncn+을/jco
확인했다	확인/ncpa+하/xsv+었/ep+다/ef
.	./sf

그리고	그리고/maj
도중에	도중/ncn+에/jca
뭔가	뭐/npd+ㄴ가/ef
보게	보/pvg+게/ecx
되면	되/pvg+면/ecs
그것을	그것/npd+을/jco
일지에	일지/ncn+에/jca
적어	적/pvg+어/ecs
두도록	두/pvg+도록/ecs
하자	하/pvg+자/ef
.	./sf

1	1/nnc
일째	일/nbu+째/xsn
언덕에	언덕/ncn+에/jca
오르면서	오르/pvg+면서/ecs
우리는	우리/npp+는/jxc
분자라는	분자/ncn+라/ef+는/etm
이름의	이름/ncn+의/jcm
이상한	이상/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
만났다	만나/pvg+았/ep+다/ef
.	./sf

물체는	물체/ncn+는/jxc
무엇으로	무엇/npd+으로/jca
이루어져	이루/pvg+어/ecx+지/px+어/ecx
있는가	있/px+는가/ef
?	?/sf
--	-/sd+-/sd
분자	분자/nc
모든	모든/mma
물체는	물체/ncn+는/jxc
극히	극히/mag
작은	작/paa+은/etm
입자가	입자/ncn+가/jcs
많이	많/paa+이/xsa
모여서	모이/pvg+어서/ecs
이루어진다는	이루/pvg+어/ecx+지/px+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알았다	알/pvg+았/ep+다/ef
.	./sf

좀	좀/mag
더	더/mag
정확히	정확/ncn+히/xsa
말하면	말/ncpa+하/xsv+면/ecs
분자는	분자/ncn+는/jxc
물체의	물체/ncn+의/jcm
화학적	화학/ncn+적/xsn
성질을	성질/ncn+을/jco
이루고	이루/pvg+고/ecx
있는	있/px+는/etm
가장	가장/mag
작은	작/paa+은/etm
입자이다	입자/ncn+이/jp+다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
거대	거대/ncn
분자	분자/ncn
하나의	하나/nnc+의/jcm
무게와	무게/ncn+와/jcj
사과	사과/ncn
하나의	하나/nnc+의/jcm
무게를	무게/ncn+를/jco
비교해	비교/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
,	,/sp
사과와	사과/ncn+와/jcj
지구의	지구/ncn+의/jcm
비율과	비율/ncn+과/jct
맞먹는다	맞먹/pvg+는다/ef
.	./sf

또	또/mag
다른	다르/paa+ㄴ/etm
예로	예/ncn+로/jca
,	,/sp
지구의	지구/ncn+의/jcm
모든	모든/mma
인간	인간/ncn
(	(/sl
약	약/ncn
60	60/nnc
억	억/nnc
)	)/sr
이	이/jcs
각자	각자/ncn
10	10/nnc
억	억/nnc
개의	개/nbu+의/jcm
분자를	분자/ncn+를/jco
갖고	갖/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
하면	하/pvg+면/ecs
그	그/mmd
분자	분자/ncn
모두	모두/mag
(	(/sl
60	60/nnc
억	억/nnc
억	억/nnc
)	)/sr
의	의/jcm
무게를	무게/ncn+를/jco
합한	합하/pvg+ㄴ/etm
것은	것/nbn+은/jxc
얼마나	얼마나/mag
될까	되/pvg+ㄹ까/ef
?	?/sf
그것은	그것/npd+은/jxc
놀랍게도	놀랍/paa+게/ecs+도/jxc
수백만	수백만/nnc
g	g/su
,	,/sp
즉	즉/mag
단지	단지/mag
2	2/nnc
억	억/nnc
)	)/sr
의	의/jcm
되지	되/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

그런데	그런데/maj
이	이/mmd
작은	작/paa+은/etm
입자들은	입자/ncn+들/xsn+은/jxc
서로	서로/mag
빈틈없이	빈틈/ncn+없/paa+이/xsa
꽉	꽉/mag
차	차/pvg+아/ecx
있지	있/px+지/ecx
않고	않/px+고/ecc
,	,/sp
분자와	분자/ncn+와/jcj
분자	분자/ncn
사이에는	사이/ncn+에/jca+는/jxc
어느	어느/mmd
정도의	정도/ncn+의/jcm
틈이	틈/ncn+이/jcs
있다	있/paa+다/ef
.	./sf

만약	만약/mag
1	1/nnc
의	의/jcm
면적에	면적/ncn+에/jca
일	일/nnc
원짜리	원/nbu+짜리/xsn
동전	동전/ncn
100	100/nnc
개를	개/nbu+를/jco
흩뜨려	흩뜨리/pvg+어/ecs
놓는다면	놓/pvg+는다/ef+면/ecs
,	,/sp
지금	지금/mag
읽고	읽/pvg+고/ecx
있는	있/px+는/etm
책의	책/ncn+의/jcm
페이지에	페이지/ncn+에/jca
떨어지는	떨어지/pvg+는/etm
일원짜리	일/mn+원/nbu+짜리/xsn
동전은	동전/ncn+은/jxc
겨우	겨우/mag
서너	서너/nnc
개뿐일	개/nbu+뿐/nbn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그렇지만	그렇지만/maj
분자는	분자/ncn+는/jxc
어떤	어떤/mmd
상황에서도	상황/ncn+에서/jca+도/jxc
항상	항상/mag
움직이며	움직이/pvg+며/ecc
절대	절대/mag
멈추지	멈추/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

그런데	그런데/maj
우리는	우리/npp+는/jxc
어떤	어떤/mmd
곤충을	곤충/ncn+을/jco
통하여	통하/pvg+어/ecs
분자가	분자/ncn+가/jcs
움직이는	움직이/pvg+는/etm
모양을	모양/ncn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

물론	물론/mag
분자	분자/ncn
그	그/mmd
자체는	자체/ncn+는/jxc
아니고	아니/paa+고/ecc
,	,/sp
그것과	그것/npd+과/jct
닮은	닮/pvg+은/etm
것을	것/nbn+을/jco
본	보/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

8	8/nnc
cm	cm/su
정도로	정도/ncn+로/jca
다른	다르/paa+ㄴ/etm
곤충을	곤충/ncn+을/jco
발로	발/ncn+로/jca
잡아서	잡/pvg+아서/ecs
먹음	먹/pvg+음/etn
--	-/sd+-/sd
역자	역자/ncn
주	주/ncn
)	)/sr
의	의/jcm
무리가	무리/ncn+가/jcs
나는	날/pvg+는/etm
것을	것/nbn+을/jco
보았다	보/pvg+았/ep+다/ef
.	./sf

기체의	기체/ncn+의/jcm
운동	운동/ncn
,	,/sp
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
공기	공기/ncn
속	속/ncn
분자들의	분자/ncn+들/xsn+의/jcm
운동은	운동/ncn+은/jxc
마치	마치/mag
파리매의	파리매/ncn+의/jcm
움직임과	움직이/pvg+ㅁ/etn+과/jct
비슷하다	비슷/ncps+하/xsm+다/ef
.	./sf

기체의	기체/ncn+의/jcm
분자는	분자/ncn+는/jxc
서로	서로/mag
떨어져	떨어지/pvg+어/ecx
있어서	있/px+어서/ecs
공간	공간/ncn
속에서	속/ncn+에서/jca
서로	서로/mag
끄는	끌/pvg+는/etm
힘도	힘/ncn+도/jxc
,	,/sp
반발하는	반발/ncpa+하/xsv+는/etm
힘도	힘/ncn+도/jxc
거의	거의/mag
존재하지	존재/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf

모든	모든/mma
기체	기체/ncn
분자는	분자/ncn+는/jxc
이를테면	이를테면/mag
개인주의자로	개인/ncn+주의/ncn+자/xsn+로/jca
다른	다르/paa+ㄴ/etm
분자의	분자/ncn+의/jcm
운동에	운동/ncn+에/jca
상관하지	상관/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
멋대로	멋/ncn+대로/nbn
독립하여	독립/ncpa+하/xsv+어/ecs
움직인다	움직이/pvg+ㄴ다/ef
.	./sf

만약	만약/mag
분자	분자/ncn
모두가	모두/ncn+가/jcs
독립하여	독립/ncpa+하/xsv+어/ecs
움직인다면	움직이/pvg+ㄴ다면/ecs
그	그/mmd
하나하나는	하나/nnc+하나/nnc+는/jxc
영원히	영원/ncn+히/xsa
직선운동을	직선/ncn+운동/ncn+을/jco
계속해야만	계속/ncpa+하/xsv+어야/ecs+만/jxc
할	하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

모든	모든/mma
기체	기체/ncn
분자는	분자/ncn+는/jxc
서로가	서로/ncn+가/jcs
부딪치면서	부딪치/pvg+면서/ecs
,	,/sp
그	그/mmd
때마다	때/ncn+마다/jxc
이곳저곳으로	이곳저곳/npd+으로/jca
방향을	방향/ncn+을/jco
바꿔가며	바꾸/pvg+어/ecx+가/px+며/ecs
날아다닌다	날/pvg+아/ecs+다니/pvg+ㄴ다/ef
.	./sf

액체에서는	액체/ncn+에서/jca+는/jxc
분자가	분자/ncn+가/jcs
서로	서로/mag
가까이	가깝/paa+이/xsa
있어서	있/paa+어서/ecs
당기는	당기/pvg+는/etm
힘과	힘/ncn+과/jcj
미는	밀/pvg+는/etm
힘이	힘/ncn+이/jcs
작용한다	작용/ncpa+하/xsv+ㄴ다/ef
.	./sf

기체의	기체/ncn+의/jcm
분자를	분자/ncn+를/jco
파리매	파리매/ncn
무리로	무리/ncn+로/jca
비유한다면	비유/ncpa+하/xsv+ㄴ다/ef+면/ecs
,	,/sp
액체의	액체/ncn+의/jcm
분자는	분자/ncn+는/jxc
자루에	자루/ncn+에/jca
들어	들/pvg+어/ecx
있는	있/px+는/etm
달팽이와	달팽이/ncn+와/jct
같다	같/paa+다/ef
.	./sf

한	한/nnc
마리	마리/nbu
한	한/nnc
마리는	마리/nbu+는/jxc
상하좌우로	상하/ncn+좌우/ncn+로/jca
움직이려	움직이/pvg+려/ecs
하지만	하/pvg+지만/ecs
서로	서로/mag
엉켜	엉키/pvg+어/ecx
있어	있/px+어/ecs
파리매처럼	파리매/ncn+처럼/jca
자유롭게	자유/ncn+롭/xsm+게/ecs
움직일	움직이/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf

각각의	각각/ncn+의/jcm
달팽이는	달팽이/ncn+는/jxc
다른	다르/paa+ㄴ/etm
달팽이에	달팽이/ncn+에/jca
의해	의하/pvg+어/ecs
에워싸여	에우/pvg+어/ecs+싸이/pvg+어/ecx
있고	있/px+고/ecs
,	,/sp
단지	단지/mag
그	그/mmd
틈새를	틈새/ncn+를/jco
비집고	비집/pvg+고/ecc
천천히	천천/ncn+히/xsa
나갈	나가/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf

고체의	고체/ncn+의/jcm
분자는	분자/ncn+는/jxc
단지	단지/mag
한	한/nnc
곳에	곳/ncn+에/jca
고정되어	고정/ncpa+되/xsv+어/ecx
있으면서	있/paa+으면서/ecs
자신이	자신/npp+이/jcs
있는	있/paa+는/etm
곳에서	곳/ncn+에서/jca
약간	약간/mag
흔들릴	흔들리/pvg+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf

그도	그/npd+도/jxc
그럴	그렇/pad+ㄹ/etm
것이	것/nbn+이/jcs
분자가	분자/ncn+가/jcs
그	그/mmd
위치를	위치/ncn+를/jco
서로	서로/mag
바꾸기	바꾸/pvg+기/etn
어려우니까	어렵/paa+으니까/ef
.	./sf

열	열/ncn
화산에	화산/ncn+에/jca
도착한	도착/ncpa+하/xsv+ㄴ/etm
지	지/nbn
얼마	얼마/mag
되지도	되/pvg+지/ecx+도/jxc
않았는데	않/px+았/ep+는데/ecs
벌써	벌써/mag
이만큼이나	이/npd+만큼/nbn+이나/jxc
공부했다	공부/ncpa+하/xsv+었/ep+다/ef
.	./sf

안내를	안내/ncn+를/jco
받은	받/pvg+은/etm
것은	것/nbn+은/jxc
아니지만	아니/paa+지만/ecs
분자가	분자/ncn+가/jcs
항상	항상/mag
움직이고	움직이/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것을	것/nbn+을/jco
배웠다	배우/pvg+었/ep+다/ef
.	./sf

생각해	생각/ncpa+하/xsv+어/ecx
보니	보/px+니/ecs
역학평야를	역학/ncn+평야/ncn+를/jco
안내해	안내/ncpa+하/xsv+어/ecx
준	주/px+ㄴ/etm
코페르니는	코페르니/nq+는/jxc
역기를	역기/ncn+를/jco
들어	들/pvg+어/ecs
올리거나	올리/pvg+거나/ecc
돌을	돌/ncn+을/jco
던지게	던지/pvg+게/ecx
해서	하/px+어서/ecs
여러	여러/mma
가지	가지/nbu
것들을	것/nbn+들/xsn+을/jco
실험으로	실험/ncn+으로/jca
보여	보이/pvg+어/ecx
주었다	주/px+었/ep+다/ef
.	./sf

웅덩이에서	웅덩이/ncn+에서/jca
물을	물/ncn+을/jco
한	한/nnc
방울	방울/nbu
떠서	뜨/pvg+어서/ecs
유리에	유리/ncn+에/jca
떨어뜨려	떨어뜨리/pvg+어/ecs
현미경으로	현미/ncn+경/xsn+으로/jca
보았다	보/pvg+았/ep+다/ef
.	./sf

진흙	진흙/ncn
입자는	입자/ncn+는/jxc
어느	어느/mmd
것도	것/nbn+도/jxc
한	한/nnc
곳에	곳/ncn+에/jca
정지해	정지/ncpa+하/xsv+어/ecx
있지	있/px+지/ecx
않고	않/px+고/ecc
끊임없이	끊임/ncn+없/paa+이/xsa
움직이고	움직이/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

우선	우선/mag
왼쪽으로	왼쪽/ncn+으로/jca
나가더니	나가/pvg+더/ep+니/ecs
급히	급히/mag
위로	위/ncn+로/jca
떠오르고	떠오르/pvg+고/ecc
또	또/mag
왼쪽으로	왼쪽/ncn+으로/jca
나갔다가	나가/pvg+았/ep+다가/ecs
다시	다시/mag
밑으로	밑/ncn+으로/jca
이런	이런/mmd
식으로	식/ncn+으로/jca
매우	매우/mag
복잡하고	복잡/ncps+하/xsm+고/ecc
꾸불꾸불한	꾸불꾸불/mag+하/xsm+ㄴ/etm
동선을	동선/ncn+을/jco
만들어갔다	만들/pvg+어/ecx+가/px+았/ep+다/ef
.	./sf

키가	키/ncn+가/jcs
5	5/nnc
cm	cm/su
정도밖에	정도/ncn+밖에/jxc
안되는	안/mag+되/pvg+는/etm
난쟁이가	난쟁이/ncn+가/jcs
직경	직경/ncn
30	30/nnc
cm	cm/su
의	의/jcm
보통	보통/ncn
공을	공/ncn+을/jco
가지고	가지/pvg+고/ecc
놀고	놀/pvg+고/ecx
있는	있/px+는/etm
것을	것/nbn+을/jco
떠올려	떠올리/pvg+어/ecx
봐도	보/px+아도/ecs
좋다	좋/paa+다/ef
.	./sf

한	한/nnc
쪽이	쪽/nbn+이/jcs
반대	반대/ncn
쪽보다	쪽/nbn+보다/jca
조금이라도	조금/ncn+이라도/jxc
힘을	힘/ncn+을/jco
더	더/mag
낸다면	내/pvg+ㄴ다/ef+면/ecs
공은	공/ncn+은/jxc
조금씩	조금/ncn+씩/xsn
움직일	움직이/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그	그/mmd
다음에는	다음/ncn+에/jca+는/jxc
좀	좀/mag
전에	전/ncn+에/jca
밀렸던	밀리/pvg+었/ep+더/ep+ㄴ/etm
약한	약하/paa+ㄴ/etm
쪽이	쪽/nbn+이/jcs
힘을	힘/ncn+을/jco
내서	내/pvg+서/ecs
공을	공/ncn+을/jco
다른	다르/paa+ㄴ/etm
쪽으로	쪽/nbn+으로/jca
움직인다	움직이/pvg+ㄴ다/ef
.	./sf

