<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
파가	파/ncn+가/jcs
안테나로부터	안테나/ncn+로/jca+부터/jxc
나오는	나오/pvg+는/etm
것과	것/nbn+과/jct
같다	같/paa+다/ef
.	./sf
각각의	각각/mag+의/jcm
층들이	층/ncn+들/xsn+이/jcs
다음	다음/ncn
층에	층/ncn+에/jca
힘을	힘/ncn+을/jco
가하게	가하/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
한	한/nnc
층이	층/ncn+이/jcs
옆의	옆/ncn+의/jcm
층에	층/ncn+에/jca
힘을	힘/ncn+을/jco
가하기	가하/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
그들	그/npd+들/xsn
사이가	사이/ncn+가/jcs
확실히	확실/ncps+히/xsa
연결되어	연결/ncpa+되/xsv+어/ecx
있어야	있/px+어야/ecx
한다	하/px+ㄴ다/ef
.	./sf
이	이/mmd
말은	말/ncpa+은/jxc
에테르가	에테르/ncn+가/jcs
단단한	단단/ncps+하/xsm+ㄴ/etm
탄성의	탄성/ncn+의/jcm
믈질로	믈질/ncn+로/jca
여겨질	여기/pvg+어/ecx+지/px+ㄹ/etm
수도	수/nbn+도/jxc
있다는	있/paa+다는/etm
것을	것/nbn+을/jco
의미한다	의미/ncps+하/xsm+ㄴ다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
철은	철/ncn+은/jxc
단단하고	단단/ncps+하/xsm+고/ecc
탄성적인	탄성/ncn+적/xsn+이/jp+ㄴ/etm
물질이다	물질/ncn+이/jp+다/ef
.	./sf
왜	왜/mag
이	이/mmd
에테르가	에테르/ncn+가/jcs
기체나	기체/ncn+나/jcj
액체로	액체/ncn+로/jca
여겨질	여기/pvg+어/ecx+지/px+ㄹ/etm
수는	수/nbn+는/jxc
없을까	없/paa+ㄹ까/ef
?:	?/sf+:/sp
왜냐면	왜냐면/maj
기체나	기체/ncn+나/jcj
액체는	액체/ncn+는/jxc
전단	전단/ncn
대응력	대응력/ncn
(	(/sl
shear	shear/f
strength	strength/f
)	)/sr
이	이/jcs
없다	없/paa+다/ef
.	./sf
전단파는	전단파/ncn+는/jxc
전단	전단/ncn
대응력이	대응력/ncn+이/jcs
없는	없/paa+는/etm
물질	물질/ncn
속을	속/ncn+을/jco
통과할	통과/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
(	(/sl
지구의	지구/ncn+의/jcm
중심은	중심/ncn+은/jxc
액체로	액체/ncn+로/jca
알려졌는데	알리/pvg+어/ecx+지/px+었/ep+는데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
전단파의	전단파/ncn+의/jcm
일종인	일종/ncn+이/jp+ㄴ/etm
지진파가	지진/ncn+파/ncn+가/jcs
통과할	통과/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없음을	없/paa+ㅁ/etn+을/jco
알았기	알/pvg+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.)	./sf+)/sr
그러나	그러나/maj
에테르는	에테르/ncn+는/jxc
단단한	단단/ncps+하/xsm+ㄴ/etm
물체가	물체/ncn+가/jcc
될	되/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
왜냐면	왜냐면/maj
모든	모든/mma
행성들이	행성/ncn+들/xsn+이/jcs
이	이/mmd
속을	속/ncn+을/jco
통과해야	통과/ncpa+하/xsv+어야/ecx
하니까	하/px+니까/ef
,	,/sp
그러므로	그러므로/maj
이	이/mmd
에테르는	에테르/ncn+는/jxc
단단한	단단/ncps+하/xsm+ㄴ/etm
탄성적	탄성/ncn+적/xsn
유체이다	유체/ncn+이/jp+다/ef
.	./sf
이런	이런/mmd
물질의	물질/ncn+의/jcm
존재가	존재/ncpa+가/jcs
불가능하다고	불/xp+가능/ncps+하/xsm+다고/ecs
생각할	생각/ncpa+하/xsv+ㄹ/etm
지	지/nbn
모르나	모르/pvg+나/ecs
캘빈	캘빈/nq
경이	경/ncn+이/jcs
강조한	강조/ncpa+하/xsv+ㄴ/etm
것처럼	것/nbn+처럼/jca
이런	이런/mmd
결합은	결합/ncpa+은/jxc
가능한	가능/ncps+하/xsm+ㄴ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
또한	또한/maj
갑작스럽게	갑작스럽/paa+게/ecs
변한다면	변하/pvg+ㄴ다면/ecs
강체가	강체/ncn+가/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
빛의	빛/ncn+의/jcm
속력에	속력/ncn+에/jca
비해	비하/pvg+어/ecs
천천히	천천히/mag
움직이는	움직이/pvg+는/etm
행성의	행성/ncn+의/jcm
경우에	경우/ncn+에/jca
비하면	비하/pvg+면/ecs
이것은	이것/npd+은/jxc
유체일	유체/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
에테르만이	에테르/ncn+만/jxc+이/jcs
단단한	단단/ncps+하/xsm+ㄴ/etm
유체는	유체/ncn+는/jxc
아니다	아니/paa+다/ef
.	./sf
얼음도	얼음/ncn+도/jxc
단단한	단단/ncps+하/xsm+ㄴ/etm
유체이다	유체/ncn+이/jp+다/ef
.	./sf
왜냐면	왜냐면/mag
돌을	돌/ncn+을/jco
얼음	얼음/ncn
위에	위/ncn+에/jca
놓으면	놓/pvg+으면/ecs
천천히	천천히/mag
얼음	얼음/ncn
속으로	속/ncn+으로/jca
돌은	돌/ncn+은/jxc
지나갈	지나/pvg+아/ecx+가/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
젤리	젤리/ncn
,	,/sp
타르	타르/ncn
(	(/sl
tar	tar/f
),	)/sr+,/sp
심지어	심지어/mag
유리조차도	유리/ncn+조차/jxc+도/jxc
단단한	단단/ncps+하/xsm+ㄴ/etm
유체이다	유체/ncn+이/jp+다/ef
.	./sf
(	(/sl
중세	중세/ncn
성당의	성당/ncn+의/jcm
유리들은	유리/ncn+들/xsn+은/jxc
오랜	오래/paa+ㄴ/etm
세월	세월/ncn
속에	속/ncn+에/jca
윗부분은	윗부분/ncn+은/jxc
얇아졌고	얇/paa+아/ecx+지/px+었/ep+고/ecc
아랫부분은	아랫부분/ncn+은/jxc
두꺼워	두껍/paa+어/ecx
졌는데	지/px+었/ep+는데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
유체인	유체/ncn+이/jp+ㄴ/etm
유리가	유리/ncn+가/jcs
매우	매우/mag
천천히	천천히/mag
흘러내려	흐르/pvg+어/ecx+내리/px+어/ecx
왔기	오/px+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.)	./sf+)/sr
단단한	단단/ncps+하/xsm+ㄴ/etm
유체속을	유체/ncn+속/ncn+을/jco
통과하는	통과/ncpa+하/xsv+는/etm
물체의	물체/ncn+의/jcm
흐름의	흐르/pvg+ㅁ/etn+의/jcm
속도는	속도/ncn+는/jxc
단단한	단단/ncps+하/xsm+ㄴ/etm
유체의	유체/ncn+의/jcm
진동파의	진동파/ncn+의/jcm
속도보다	속도/ncn+보다/jca
훨씬	훨씬/mag
작아야	작/paa+아야/ecx
한다	하/px+ㄴ다/ef
.	./sf
행성들은	행성/ncn+들/xsn+은/jxc
에테르	에테르/ncn
속을	속/ncn+을/jco
자유로이	자유/ncps+롭/xsm+이/xsa
통과하는데	통과/ncpa+하/xsv+는데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
행성의	행성/ncn+의/jcm
속도가	속도/ncn+가/jcs
빛의	빛/ncn+의/jcm
속도보다	속도/ncn+보다/jca
훨씬	훨씬/mag
작기	작/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
행성은	행성/ncn+은/jxc
빛보다	빛/ncn+보다/jca
더	더/mag
빨리	빨리/mag
움직일	움직이/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없는데	없/paa+는데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
빛의	빛/ncn+의/jcm
속력에	속력/ncn+에/jca
도달하면	도달/ncpa+하/xsv+면/ecs
에테르는	에테르/ncn+는/jxc
유체보다는	유체/ncn+보다/jca+는/jxc
강체로	강체/ncn+로/jca
작용하기	작용/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
19	19/nno
세기의	세기/nbu+의/jcm
에테르	에테르/ncn
이론은	이론/ncn+은/jxc
다음의	다음/ncn+의/jcm
것들을	것/nbn+들/xsn+을/jco
얘견하고	얘견/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
이	이/mmd
에테르	에테르/ncn
이론은	이론/ncn+은/jxc
전기전하와	전기/ncn+전하/ncn+와/jcj
정전기장에	정전기장/ncn+에/jca
대한	대하/pvg+ㄴ/etm
개념도	개념/ncn+도/jxc
제공해	제공/ncpa+하/xsv+어/ecx
주고	주/px+고/ecx
있고	있/px+고/ecc
,	,/sp
또한	또한/maj
어떻게	어떠하/pad+게/ecs
전기력과	전기력/ncn+과/jcj
파동을	파동/ncn+을/jco
만들어	만들/pvg+어/ecx
낼	내/px+ㄹ/etm
수	수/nbn
있나도	있/paa+나/ef+도/jxc
설명해	설명/ncpa+하/xsv+어/ecx
주고	주/px+고/ecx
있다	있/px+다/ef
.	./sf
그	그/mmd
당시에	당시/ncn+에/jca
아직	아직/mag
발견되지는	발견/ncpa+되/xsv+지/ecx+는/jxc
않았지만	않/px+았/ep+지만/ecs
전자와	전자/ncn+와/jcj
반대입자인	반대/ncpa+입자/ncn+이/jp+ㄴ/etm
양전자의	양전자/ncn+의/jcm
모습까지도	모습/ncn+까지도/jxc
제시해	제시/ncpa+하/xsv+어/ecx
주고	주/px+고/ecx
있다	있/px+다/ef
.	./sf
[	[/sl
그림	그림/ncn
1	1/nno
-	-/sd
19	19/nno
]	]/sr
처럼	처럼/jca
빈	비/paa+ㄴ/etm
공간	공간/ncn
속의	속/ncn+의/jcm
에테르를	에테르/ncn+를/jco
회색으로	회색/ncn+으로/jca
칠한	칠하/pvg+ㄴ/etm
그림으로	그림/ncn+으로/jca
생각하자	생각/ncpa+하/xsv+자/ef
.	./sf
회색	회색/ncn
공간의	공간/ncn+의/jcm
a의	a/f+의/jcm
영역에서부터	영역/ncn+에서/jca+부터/jxc
회색을	회색/ncn+을/jco
조금씩	조금/ncn+씩/xsn
지워서	지우/pvg+어서/ecs
b의	b/f+의/jcm
영역을	영역/ncn+을/jco
하얗게	하얗/paa+게/ecs
만들고	만들/pvg+고/ecc
제거된	제거/ncpa+되/xsv+ㄴ/etm
회색을	회색/ncn+을/jco
조금씩	조금/ncn+씩/xsn
c	c/f
영역에다	영역/ncn+에/jca+다/jxc
옮겨	옮기/pvg+어/ecx
놓는다	놓/px+는다/ef
.	./sf
이렇게	이러하/pad+게/ecx
하여	하/px+어/ecs
c는	c/f+는/jxc
더욱	더욱/mag
회색빛을	회색/ncn+빛/ncn+을/jco
띠게	띠/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
실제로	실제/ncn+로/jca
당신은	당신/npp+은/jxc
검정이나	검정/ncn+이나/jcj
흰색을	흰색/ncn+을/jco
만들어	만들/pvg+어/ecx
내지는	내/px+지/ecx+는/jxc
않았지만	않/px+았/ep+지만/ecs
회색으로부터	회색/ncn+으로/jca+부터/jxc
검정과	검정/ncn+과/jcj
흰색을	흰색/ncn+을/jco
분리해냈다	분리/ncpa+하/xsv+어/ecx+내/px+ㅆ/ep+다/ef
.	./sf
이와	이/npd+와/jct
같이	같/paa+이/xsa
진공속에서도	진공/ncn+속/ncn+에서/jca+도/jxc
전자와	전자/ncn+와/jcj
양전자를	양전자/ncn+를/jco
분리해	분리/ncpa+하/xsv+어/ecx
낼	내/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
그	그/mmd
공간을	공간/ncn+을/jco
나누어	나누/pvg+어/ecx
놓는	놓/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
분리는	분리/ncpa+는/jxc
에너지를	에너지/ncn+를/jco
필요로	필요/ncps+로/jca
하는데	하/pvg+는데/ecs
주로	주로/mag
강한	강하/paa+ㄴ/etm
X	X/f
선으로부터	선/ncn+으로/jca+부터/jxc
에너지를	에너지/ncn+를/jco
충당한다	충당/ncpa+하/xsv+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
과정을	과정/ncn+을/jco
전자	전자/ncn
양전자	양전자/ncn
쌍	쌍/ncn
생성과정	생성/ncpa+과정/ncn
(	(/sl
pair	pair/f
cretion	cretion/f
)	)/sr
이라	이라/jca
부르는데	부르/pvg+는데/ecs
여러	여러/mma
차례	차례/ncn
사진으로	사진/ncn+으로/jca
찍힌	찍히/pvg+ㄴ/etm
적이	적/nbn+이/jcs
있다	있/paa+다/ef
.	./sf
양전하와	양전하/ncn+와/jcj
음전하	음전하/ncn
사이의	사이/ncn+의/jcm
인력은	인력/ncn+은/jxc
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
설명이	설명/ncpa+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
만약	만약/mag
어느	어느/mmd
회색	회색/ncn
공간의	공간/ncn+의/jcm
회색을	회색/ncn+을/jco
다른	다르/paa+ㄴ/etm
곳에	곳/ncn+에/jca
옮겨	옮기/pvg+어/ecx
놓으려	놓/px+으려/ecx
한다면	하/px+ㄴ다면/ecs
회색이	회색/ncn+이/jcs
없어진	없/paa+어/ecx+지/px+ㄴ/etm
부분의	부분/ncn+의/jcm
흰색	흰색/ncn
부분과	부분/ncn+과/jcj
회색이	회색/ncn+이/jcs
더해진	더하/pvg+어/ecx+지/px+ㄴ/etm
검정	검정/ncn
부분	부분/ncn
사이의	사이/ncn+의/jcm
공간에	공간/ncn+에/jca
변위를	변위/ncn+를/jco
가져온다	가지/pvg+어/ecx+오/px+ㄴ다/ef
.	./sf
(	(/sl
에테르가	에테르/ncn+가/jcs
탄성체	탄성/ncn+체/xsn
물질이라는	물질/ncn+이/jp+라/ef+는/etm
사실을	사실/ncn+을/jco
기억할	기억ncpa+하/xsv+ㄹ/etm
것	것/nbn
.)	./sf+)/sr
그	그/mmd
변형력이	변형/ncn+력/xsn+이/jcs
전기장이고	전기장/ncn+이/jp+고/ecs
또한	또한/maj
변위장이라	변위장/ncn+이/ef+라/ef
불리기도	불리/pvg+기/etn+도/jxc
한다	하/px+ㄴ다/ef
.	./sf
만약에	만약/ncn+에/jca
양과	양/ncn+과/jcj
음전하가	음전하/ncn+가/jcs
아주	아주/mag
멀리	멀리/mag
떨어져	떨어지/pvg+어/ecx
있지	있/px+지/ecx
않다면	않/px+다면/ecs
당기는	당기/pvg+는/etm
힘이	힘/ncn+이/jcs
이들을	이/npd+들/xsn+을/jco
다시	다시/mag
붙여	붙이/pvg+어/ecx
놓을	놓/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
(	(/sl
요즘도	요즘/ncn+도/jxc
어떤	어떤/mmd
영국의	영국/nq+의/jcm
물리학자들은	물리/ncn+학자/ncn+들/xsn+은/jxc
강한	강하/paa+ㄴ/etm
전기장을	전기장/ncn+을/jco
큰	크/paa+ㄴ/etm
장력의	장력/ncn+의/jcm
장이라고	장/ncn+이/jp+라/ef+고/jcr
부른다	부르/pvg+ㄴ다/ef
.)	./sf+)/sr
만약	만약/mag
양과	양/ncn+과/jcj
음전하가	음전하/ncn+가/jcs
다시	다시/mag
붙어	붙/pvg+어/ecx
버리면	버리/px+면/ecs
당기던	당기/pvg+던/etm
힘에	힘/ncn+에/jca
의한	의하/pvg+ㄴ/etm
에너지가	에너지/ncn+가/jcs
방출될	방출/ncpa+되/xsv+ㄹ/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
모든	모든/mma
것이	것/nbn+이/jcs
전과	전/ncn+과/jct
같은	같/paa+은/etm
상태인	상태/ncn+이/jp+ㄴ/etm
회색의	회색/ncn+의/jcm
상태로	상태/ncn+로/jca
돌아갈	돌아가/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
지진에	지진/ncn+에/jca
의해	의하/pvg+어/ecs
생긴	생기/pvg+ㄴ/etm
압축된	압축/ncpa+되/xsv+ㄴ/etm
힘이	힘/ncn+이/jcs
갑자기	갑자기/mag
방출되면	방출/ncpa+되/xsv+면/ecs
모든	모든/mma
것이	것/nbn+이/jcs
조용히	조용/ncps+히/xsa
원상태로	원상태/ncn+로/jca
돌아갈	돌아가/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
원상태로	원상태/ncn+로/jca
돌아가지만	돌아가/pvg+지만/ecs
조용히	조용/ncps+히/xsa
돌아가지만은	돌/pvg+아/ecs+가/pvg+지만/ecx+은/jxc
않는다	않/px+는다/ef
.	./sf
그	그/mmd
모아졌던	모으/pvg+아/ecx+지/px+었/ep+던/etm
에너지가	에너지/ncn+가/jcs
방출되는	방출/ncpa+되/xsv+는/etm
과정에서	과정/ncn+에서/jca
주위의	주위/ncn+의/jcm
땅들을	땅/ncn+들/xsn+을/jco
흔들어	흔들/pvg+어/ecx
놓는다	놓/px+는다/ef
.	./sf
마찬가지로	마찬가지/ncn+로/jca
양과	양/ncn+과/jcj
음전하	음전하/ncn
사이의	사이/ncn+의/jcm
압축된	압축/ncpa+되/xsv+ㄴ/etm
에너지의	에너지/ncn+의/jcm
갑작스러운	갑작/ncps+스럽/xsm+ㄴ/etm
방출은	방출/ncn+은/jxc
주변의	주변/ncn+의/jcm
회색	회색/ncn
에테르를	에테르/ncn+를/jco
크게	크/paa+게/ecs
흔들어	흔들/pvg+어/ecx
놓는다	놓/px+는다/ef
.	./sf
이	이/mmd
큰	크/paa+ㄴ/etm
진동은	진동/ncn+은/jxc
양전자와	양전자/ncn+와/jcj
전자의	전자/ncn+의/jcm
결합과	결합/ncn+과/jcj
소멸에	소멸/ncn+에/jca
의한	의하/pvg+ㄴ/etm
결과로	결과/ncn+로/jca
방출된	방출/ncpa+되/xsv+ㄴ/etm
빛의	빛/ncn+의/jcm
펄스라	펄스/ncn+라/ef
생각하면	생각/ncpa+하/xsv+면/ecx
된다	되/px+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
빛의	빛/ncn+의/jcm
방출은	방출/ncn+은/jxc
에테르	에테르/ncn
속을	속/ncn+을/jco
달리는	달리/pvg+는/etm
전단파처럼	전단/ncn+파/ncn+처럼/jca
그려질	그리/pvg+어/ecx+지/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
우연하게도	우연/ncps+하/xsm+게/ecs+도/jxc
에테르	에테르/ncn
속의	속/ncn+의/jcm
파동의	파동/ncn+의/jcm
운동을	운동/ncn+을/jco
기술하기	기술/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
개발된	개발/ncpa+되/xsv+ㄴ/etm
많은	많/paa+은/etm
방정식들을	방정/ncn+식/ncn+들/xsn+을/jco
지구의	지구/ncn+의/jcm
단단한	단단/ncps+하/xsm+ㄴ/etm
지각	지각/ncn
속의	속/ncn+의/jcm
지진파의	지진/ncn+파/ncn+의/jcm
운동을	운동/ncn+을/jco
연구하는	연구/ncpa+하/xsv+는/etm
지질학자들이	지질/ncn+학자/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
이용하고	이용/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
,	,/sp
빛과	빛/ncn+과/jct
같이	같/paa+이/xsa
지진파는	지진/ncn+파/ncn+는/jxc
반사에	반사/ncn+에/jca
의해	의하/pvg+어/ecs
편광으로	편광/ncn+으로/jca
만들어질	만들/pvg+어/ecx+지/px+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecs
,	,/sp
에테르	에테르/ncn
방정식은	방정/ncn+식/ncn+은/jxc
이	이/mmd
과정을	과정/ncn+을/jco
잘	잘/mag
기술한다	기술/ncpa+하/xsv+ㄴ다/ef
.	./sf
에테르	에테르/ncn
방정식은	방정/ncn+식/ncn+은/jxc
실제로	실제로/mag
에데르파보다	에데르/ncn+파/ncn+보다/jca
지진파를	지진/ncn+파/ncn+를/jco
더	더/mag
잘	잘/mag
기술하는	기술/ncpa+하/xsv+는/etm
데	데/nbn
그	그/mmd
이유는	이유/ncn+는/jxc
이	이/mmd
방정식이	방정/ncn+식/ncn+이/jcs
압축뿐만	압축/ncpa+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
전단파도	전단/ncn+파/ncn+도/jxc
잘	잘/mag
기술하기	기술/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
압축파는	압축/ncn+파/ncn+는/jxc
에테르	에테르/ncn
속에는	속/ncn+에/jca+는/jxc
존재치	존재/ncpa+하/xsv+지/ecx
않고	않/px+고/ecs
,	,/sp
지구	지구/ncn
속에는	속/ncn+에/jca+는/jxc
존재한다	존재/ncpa+하/xsv+ㄴ다/ef
.	./sf
(	(/sl
X-ray가	X-ray/f+가/jcs
압축파인	압축/ncn+파/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
여겨진	여기/pvg+어/ecx+지/px+ㄴ/etm
때가	때/ncn+가/jcs
있었는데	있/paa+었/ep+는데/ecs
,	,/sp
X-ray는	X-ray/f+는/jxc
편광이	편광/ncn+이/jcc
되고	되/pvg+고/ecs
압축파는	압축/ncn+파/ncn+는/jxc
편광이	편광/ncn+이/jcc
되지	되/pvg+지/ecx
않는다	않/px+는다/ef
.)	./sf+)/sr
이	이/mmd
에테르의	에테르/ncn+의/jcm
개념은	개념/ncn+은/jxc
매혹적인	매혹/ncpa+적/xsn+이/jp+ㄴ/etm
것이고	것/nbn+이/jp+고/ecs
쉽게	쉽/paa+게/ecs
사랑에	사랑/ncpa+에/jca
빠지게	빠지/pvg+게/ecx
만든다	만들/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
확실한	확실/ncps+하/xsm+ㄴ/etm
역사적인	역사/ncn+적/xsn+이/jp+ㄴ/etm
사실은	사실/ncn+은/jxc
19	19/nno
세기말부터	세기/nbu+말/ncn+부터/jxc
물리학의	물리/ncn+학/xsn+의/jcm
발전은	발전/ncn+은/jxc
에테르와	에테르/ncn+와/jcj
사랑에	사랑/ncn+에/jca
빠져	빠지/pvg+어/ecx
있던	있/px+던/etm
물리학자들에	물리/ncn+학자/ncn+들/xsn+에/jca
의해	의하/pvg+어/ecs
이루어지지는	이루/pvg+어/ecx+지/px+지/ecx+는/jxc
않았다	않/px+았/ep+다/ef
.	./sf
그	그/mmd
전환점은	전환/ncn+점/ncn+은/jxc
전자에	전자/ncn+에/jca
대한	대하/pvg+ㄴ/etm
이론과	이론/ncn+과/jcj
저자의	저자/ncn+의/jcm
발견이었다	발견/ncn+이/jp+었/ep+다/ef
.	./sf
유리	유리/ncn
속에서의	속/ncn+에서/jca+의/jcm
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
빈	비/paa+ㄴ/etm
공간에서의	공간/ncn+에서/jca+의/jcm
속도보다	속도/ncn+보다/jca
느리다고	느리/paa+다/ef+고/ecs
생각되어져	생각/ncpa+되/xsv+어/ecx+지/px+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
그	그/mmd
이유는	이유/ncn+는/jxc
유리	유리/ncn
속의	속/ncn+의/jcm
에테르는	에테르/ncn+는/jxc
공간	공간/ncn
속의	속/ncn+의/jcm
에테르보다	에테르/ncn+보다/jca
밀도가	밀도/ncn+가/jcs
높다고	높/paa+다/ef+고/ecs
생각되었기	생각/ncpa+되/xsv+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
이	이/mmd
때	때/ncn
원자	원자/ncn
안에	안/ncn+에/jca
전자라	전자/ncn+라/ef
불리는	불리/pvg+는/etm
작은	작/paa+은/etm
전기적으로	전기/ncn+적/xsn+으로/jca
하전된	하전/ncpa+되/xsv+ㄴ/etm
입자가	입자/ncn+가/jcs
있을	있/paa+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
생각이	생각/ncn+이/jcs
나왔다	나오/pvg+았/ep+다/ef
.	./sf
유리	유리/ncn
속을	속/ncn+을/jco
지나가는	지나/pvg+아/ecx+가/px+는/etm
빛은	빛/ncn+은/jxc
유리	유리/ncn
원자	원자/ncn
속의	속/ncn+의/jcm
전자를	전자/ncn+를/jco
흔들	흔들/pvg+ㄹ/etm
것이고	것/nbn+이/jp+고/ecs
이	이/mmd
흔들린	흔들리/pvg+ㄴ/etm
전자들은	전자/ncn+들/xsn+은/jxc
새로운	새롭/paa+ㄴ/etm
빛을	빛/ncn+을/jco
내보낼	내/pvg+어/ecs+보내/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
새	새/mma
파동은	파동/ncn+은/jxc
원래	원래/ncn
유리에	유리/ncn+에/jca
입사한	입사/ncpa+하/xsv+ㄴ/etm
파동과	파동/ncn+과/jcj
간섭현상을	간섭/ncn+현상/ncn+을/jco
일으켜서	일으키/pvg+어서/ecs
전체의	전체/ncn+의/jcm
속도가	속도/ncn+가/jcs
유리	유리/ncn
안에서	안/ncn+에서/jca
감소되는	감소/ncpa+되/xsv+는/etm
현상을	현상/ncn+을/jco
나타낼	나타내/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
만약	만약/mag
유리	유리/ncn
안에	안/ncn+에/jca
전자가	전자/ncn+가/jcs
있다면	있/paa+다면/ecs
에테르의	에테르/ncn+의/jcm
밀도가	밀도/ncn+가/jcs
유리	유리/ncn
안에서	안/ncn+에서/jca
커져야	크/paa+어/ecx+지/px+어야/ecx
할	하/px+ㄹ/etm
이유가	이유/ncn+가/jcs
없다	없/paa+다/ef
.	./sf
시간이	시간/ncn+이/jcs
감에	가/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
이	이/mmd
전자에	전자/ncn+에/jca
대한	대하/pvg+ㄴ/etm
이론은	이론/ncn+은/jxc
점점	점점/mag
발전되어	발전/ncpa+되/xsv+어/ecs
마침내는	마침내/mag+는/jxc
전에	전/ncn+에/jca
설명하지	설명/ncpa+하/xsv+지/ecx
못했던	못하/px+었/ep+던/etm
현상까지도	현상/ncn+까지/jxc+도/jxc
설명할	설명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
그리고	그리고/maj
또한	또한/maj
새로운	새롭/paa+ㄴ/etm
기술인	기술/ncn+이/jp+ㄴ/etm
저자기술로	저자/ncn+기술/ncn+로/jca
발전되게	발전/ncpa+되/xsv+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
이	이/mmd
에테르는	에테르/ncn+는/jxc
상대성	nq[상대/ncn+성/xsn
이론과	이론/ncn]nq+과/jct
맞지	맞/pvg+지/ecx
않았고	않/px+았/ep+고/ecs
뒤에	뒤/ncn+에/jca
