<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0188.txt 
 kaist_corpus_96_explanation_pos_mh2-0188.txt 

최준식  
1993  
민족사  
151.7  
181.11  
  
  
  

한국에도	한국/nq+에/jca+도/jxc
내가	내/npp+가/jcs
지금까지	지금/ncn+까지/jca
본	보/pvg+ㄴ/etm
한국인의	한국/nq+인/xsn+의/jcm
얼굴	얼굴/ncn
가운데	가운데/ncn
가장	가장/mag
아름다운	아름답/paa+ㄴ/etm
얼굴이다	얼굴/ncn+이/jp+다/ef
"	"/sr
라고	라고/jcr
말하기도	말하/pvg+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
.	./sf
첫째	첫째/nno
마당	마당/ncn
새로운	새롭/paa+ㄴ/etm
한국	한국/nq
(	(/sl
韓國	韓國/nq
)	)/sr
과	과/jcj
후천개벽시대	후천/ncn+개벽/ncn+시대/ncn
1	1/nnc
운이	운/ncn+이/jcs
들어오는	들/pvg+어/ecx+오/px+는/etm
나라	나라/ncn
소태산은	소태산/nq+은/jxc
일제시대라는	일제/ncn+시대/ncn+라/ef+는/etm
당시의	당시/ncn+의/jcm
암울한	암울/ncps+하/xsm+ㄴ/etm
상황에도	상황/ncn+에/jca+도/jxc
불구하고	불구/ncn+하/xsm+고/ecx
한국은	한국/nq+은/jxc
운이	운/ncn+이/jcs
들어오는	들/pvg+어/ecx+오/px+는/etm
시기라고	시기/ncn+라/ef+고/ecx
보았다	보/pvg+았/ep+다/ef
제자가	제자/ncn+가/jcs
먼저	먼저/mag
물었다	묻/pvg+었/ep+다/ef
.	./sf
"	"/sl
이	이/mmd
세상의	세상/ncn+의/jcm
나라에는	나라/ncn+에/jca+는/jxc
각기	각기/mag
융성하고	융성/ncpa+하/xsv+고/ecc
쇠퇴하는	쇠퇴/ncpa+하/xsv+는/etm
진강급	진강/ncn+급/ncn
(	(/sl
進降級	進降級/ncn
)의	)/sr+의/jcm
시기가	시기/ncn+가/jcs
있다고	있/paa+다/ef+고/ecs
하는데	하/px+는데/ecs
,	,/sp
우리나라는	우리/npp+나라/ncn+는/jxc
지금	지금/ncn
어떤	어떤/mmd
시기에	시기/ncn+에/jca
있다고	있/pvg+다/ef+고/ecs
볼	보/px+ㄹ/etm
수	수/nbn
있습니까	있/paa+습니까/ef
?"	?/sf+"/sl
소태산이	소태산/nq+이/jcs
대답했다	대답/ncpa+하/xsv+었/ep+다/ef
.	./sf
"	"/sl
우리나라는	우리/npp+나라/ncn+는/jxc
지금	지금/ncn
융성하는	융성/ncpa+하/xsv+는/etm
진급기에	진급/ncn+기/xsn+에/jca
있다네	있/pvg+다네/ef
."	./sf+"/sl
신종교	신/xp+종교/ncn
교리의	교리/ncn+의/jcm
공통적인	공통/ncn+적/xsn+이/jp+ㄴ/etm
것	것/nbn
가운데	가운데/ncn
하나는	하나/nnc+는/jxc
,	,/sp
바로	바로/mag
여기에서	여기/npd+에서/jca
말하는	말하/pvg+는/etm
것	것/nbn
같이	같이/mag
우리나라가	우리/npp+나라/ncn+가/jcs
앞으로	앞/ncn+으로/jca
융성하는	융성/ncpa+하/xsv+는/etm
나라가	나라/ncn+가/jcc
된다거나	되/pvg+ㄴ다/ef+거나/ecc
,	,/sp
더	더/mag
나아가서는	나아가/pvg+서/ecs+는/jxc
세계의	세계/ncn+의/jcm
중심	중심/ncn
국가가	국가/ncn+가/jcs
된다는	되/pvg+ㄴ다/ef+는/etm
내셔널리즘적인	내셔널리즘/ncn+적/xsn+이/jp+ㄴ/etm
교리이다	교리/ncn+이/jp+다/ef
.	./sf
그런데	그런데/maj
의아스러운	의아/ncps+스럽/xsm+ㄴ/etm
것은	것/nbn+은/jxc
세계의	세계/ncn+의/jcm
중진국	중진/ncn+국/xsn
대열에	대열/ncn+에/jca
들어선	들/pvg+어서/ecs+ㄴ/etm
지금	지금/ncn
한국의	한국/nq+의/jcm
앞날이	앞날/ncn+이/jcs
밝다는	밝/paa+다/ef+는/etm
말을	말/ncn+을/jco
한다면	하/pvg+ㄴ다/ef+면/ecs
그럴	그렇/pad+ㄹ/etm
수도	수/nbn+도/jxc
있다고	있/paa+다/ef+고/ecs
하겠지만	하/pvg+겠/ep+지만/ecs
,	,/sp
소태산의	소태산/nq+의/jcm
경우에는	경우/ncn+에/jca+는/jxc
한국이라는	한국/nq+이/jp+라/ef+는/etm
나라가	나라/ncn+가/jcs
이	이/mmd
지구상에	지구/ncn+상/xsn+에/jca
존재하지도	존재/ncpa+하/xsv+지/ecx+도/jxc
않던	않/paa+던/etm
일제시대에	일제/ncn+시대/ncn+에/jca
이와	이/npd+와/jct
같은	같/paa+은/etm
이야기를	이야기/ncn+를/jco
했다는	하/pvg+었/ep+다/ef+는/etm
데서	데/nbn+서/jca
그	그/mmd
신이성을	신이/ncn+성/xsn+을/jco
찾아	찾/pvg+아/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
일전에	일전/ncn+에/jca
어떤	어떤/mmd
원로시인이	원로/ncn+시인/ncn+이/jcs
일제	일제/ncn
때에	때/ncn+에/jca
행한	행하/pvg+ㄴ/etm
친일	친일/ncn
행각에	행각/ncn+에/jca
대해	대하/pvg+어/ecx
반성을	반성/ncn+을/jco
하면서	하/pvg+면서/ecc
,	,/sp
자신이	자신/ncn+이/jcs
생각해	생각/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
때	때/ncn
당시는	당시/ncn+는/jxc
일제	일제/ncn
지배가	지배/ncn+가/jcs
100	100/nnc
년은	년/nbu+은/jxc
가서	가/pvg+서/ecs
조선은	조선/nq+은/jxc
완전히	완전히/mag
없어질	없/paa+어/ecx+지/px+ㄹ/etm
것	것/nbn
같았다는	같/paa+았/ep+다/ef+는/etm
이야기를	이야기/ncn+를/jco
했다	하/pvg+었/ep+다/ef
.	./sf
이것은	이것/npd+은/jxc
아마	아마/mag
당시	당시/ncn
한국인들	한국/nq+인/xsn+들/xsn
대부분의	대부분/ncn+의/jcm
생각이었을	생각/ncn+이/jp+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
도산	도산/nq
(	(/sl
島山	島山/nq
)과	)/sr+과/jct
같은	같/paa+은/etm
민족지도자도	민족/ncn+지도/ncn+자/xsn+도/jxc
세상을	세상/ncn+을/jco
떠나면서	떠나/pvg+면서/ecc
우리나라의	우리/npp+나라/ncn+의/jcm
장래에	장래/ncn+에/jca
대해	대하/pvg+어/ecs
"	"/sl
낙심	낙심/ncn
말라	말/pvg+라/ef
"라는	"/sr+라/ef+는/etm
소극적인	소극/ncn+적/xsn+이/jp+ㄴ/etm
유언밖에는	유언/ncn+밖/nbn+에/jca+는/jxc
남기지	남기/pvg+지/ecx
못했는지	못하/px+었/ep+는지/ecs
모른다	모르/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
소태산과	소태산/nq+과/jct
같은	같/paa+은/etm
선지자는	선지/ncn+자/xsn+는/jxc
큰	크/paa+ㄴ/etm
통찰력으로	통찰/ncn+력/xsn+으로/jca
민족의	민족/ncn+의/jcm
장래를	장래/ncn+를/jco
꿰뚫어	꿰뚫/pvg+어/ecx
본	보/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
아마도	아마도/mag
소태산의	소태산/nq+의/jcm
이러한	이러하/pad+ㄴ/etm
예언에	예언/ncn+에/jca
대해	대하/pvg+어/ecs
당시	당시/ncn
사람들은	사람/ncn+들/xsn+은/jxc
민족적	민족/ncn+적/xsn
컴플렉스	컴플렉스/ncn
식민지가	식민/ncn+지/xsn+가/jcc
된	되/pvg+ㄴ/etm
제	제/xp
3	3/nnc
세계에서	세계/ncn+에서/jca
많이	많/paa+이/xsa
일어나는	일어나/pvg+는/etm
자문화	자문화/ncn
(	(/sl
自文化	自文化/ncn
)	)/sr
부흥운동	부흥/ncn+운동/ncn
(	(/sl
Revitalization	Revitalization/f
Movement	Movement/f
)에서	)/sr+에서/jca
어느	어느/mmd
민족이나	민족/ncn+이나/jcj
자기	자기/npp
민족이	민족/ncn+이/jcs
세계를	세계/ncn+를/jco
지배하게	지배/ncpa+하/xsv+게/ecx
된다고	되/px+ㄴ다/ef+고/ecs
주장하던	주장/ncpa+하/xsv+던/etm
것의	것/nbn+의/jcm
반영에	반영/ncn+에/jca
불과하다고	불과/ncps+하/xsm+다/ef+고/ecs
코방귀도	코방귀/ncn+도/jxc
안	안/mag
뀌었을지	뀌/pvg+었/ep+ㄹ지/ecs
모른다	모르/pvg+ㄴ다/ef
.	./sf
현재의	현재/ncn+의/jcm
한국	한국/nq
모습을	모습/ncn+을/jco
보면	보/pvg+면/ecs
그것이	그것/npd+이/jcs
불가능해	불/xp+가능/ncps+하/xsm+어/ecx
보이지만	보이/px+지만/ecs
,	,/sp
전체적으로는	전체/ncn+적/xsn+으로/jca+는/jxc
소태산	소태산/nq
등이	등/nbn+이/jcs
예언한	예언/ncpa+하/xsv+ㄴ/etm
대로	대로/nbn
흘러	흐르/pvg+어/ecx
가고	가/px+고/ecx
있는	있/px+는/etm
듯하다	듯하/paa+다/ef
.	./sf
2	2/nnc
정신의	정신/ncn+의/jcm
지도국	지도/ncn+국/xsn
,	,/sp
종교의	종교/ncn+의/jcm
부모국	부모/ncn+국/xsn
우리나라의	우리/npp+나라/ncn+의/jcm
중요성에	중요/ncn+성/xsn+에/jca
대한	대하/pvg+ㄴ/etm
정산의	정산/nq+의/jcm
주장이다	주장/ncn+이/jp+다/ef
.	./sf
"	"/sl
우리나라는	우리/npp+나라/ncn+는/jxc
정신의	정신/ncn+의/jcm
지도국이요	지도/ncn+국/xsn+이/jp+요/ef
,	,/sp
종교의	종교/ncn+의/jcm
부모국입니다	부모/ncn+국/xsn+이/jp+ㅂ니다/ef
.	./sf
우리나라를	우리/npp+나라/ncn+를/jco
침해하는	침해/ncpa+하/xsv+는/etm
나라는	나라/ncn+는/jxc
복을	복/ncn+을/jco
받지	받/pvg+지/ecx
못할	못하/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
지금	지금/ncn
우리나라	우리/npp+나라/ncn
사람	사람/ncn
가운데에는	가운데/ncn+에/jca+는/jxc
한국	한국/nq
사람이	사람/ncn+이/jcc
된	되/pvg+ㄴ/etm
것을	것/nbn+을/jco
불행하게	불행/ncps+하/xsm+게/ecx
생각하는	생각/ncpa+하/xsv+는/etm
사람이	사람/ncn+이/jcs
있을지	있/paa+을지/ecs
모르지만	모르/pvg+지만/ecs
,	,/sp
후일에는	후일/ncn+에/jca+는/jxc
한국	한국/nq
사람이	사람/ncn+이/jcc
된	되/pvg+ㄴ/etm
것을	것/nbn+을/jco
다행으로	다행/ncn+으로/jca
생각하게	생각/ncpa+하/xsv+게/ecx
될	되/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
힘없는	힘/ncn+없/paa+는/etm
나라로서	나라/ncn+로서/jca
세계에	세계/ncn+에/jca
드러낼	드러내/pvg+ㄹ/etm
것이	것/nbn+이/jcs
별로	별로/mag
없지만	없/paa+지만/ecs
,	,/sp
오직	오직/mag
단	단/mma
한	한/nnc
가지	가지/nbu
도덕으로서는	도덕/ncn+으로서/jca+는/jxc
세계	세계/ncn
제일이	제일/ncn+이/jcc
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
세계	세계/ncn
전쟁의	전쟁/ncn+의/jcm
시초는	시초/ncn+는/jxc
갑오동학란으로	갑오동학란/nq+으로/jca
인하여	인하/pvg+어/ecs
.	./sf
청일전쟁	청일전쟁/nq
,	,/sp
.	./sf
러일전쟁	러일전쟁/nq
,	,/sp
세계	세계/ncn
제	제/xp
2	2/nnc
차	차/nbu
대전이	대전/ncn+이/jcs
일어난	일어나/pvg+ㄴ/etm
후	후/ncn
남북이	남북/ncn+이/jcs
막혀	막히/pvg+어/ecx
있다가	있/px+다가/ecs
,	,/sp
앞으로	앞/ncn+으로/jca
다시	다시/mag
남북이	남북/ncn+이/jcs
트이면서	트이/pvg+면서/ecc
세계가	세계/ncn+가/jcs
크게	크/paa+게/ecx
움직여	움직이/pvg+어/ecs
한국에서	한국/nq+에서/jca
모든	모든/mmd
분쟁이	분쟁/ncn+이/jcs
종결을	종결/ncn+을/jco
짓게	짓/pvg+게/ecx
될	되/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sl
어떤	어떤/mmd
제자가	제자/ncn+가/jcs
정산에게	정산/nq+에게/jca
물었다	묻/pvg+었/ep+다/ef
.	./sf
"	"/sl
언제나	언제나/mag
남북이	남북/ncn+이/jcs
통일되겠습니까	통일/ncpa+되/xsv+겠/ep+습니까/ef
?"	?/sf+"/sl
"	"/sl
남북	남북/ncn
분단은	분단/ncn+은/jxc
조선조	조선/ncn+조/xsn
오백년	오백/nnc+년/nbu
동안	동안/ncn
생긴	생기/pvg+ㄴ/etm
업연으로	업연/ncn+으로/jca
막힌	막히/pvg+ㄴ/etm
것이니	것/nbn+이/jp+니/ecs
,	,/sp
그	그/mmd
업이	업/ncn+이/jcs
다	다/mag
사라지고	사라지/pvg+고/ecx
모든	모든/mmd
사람들의	사람/ncn+들/xsn+의/jcm
마음에	마음/ncn+에/jca
미운	밉/paa+ㄴ/etm
사람이	사람/ncn+이/jcs
없어져야	없/paa+어/ecx+지/px+어야/ecs
될	되/px+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
마음에	마음/ncn+에/jca
적이	적/ncn+이/jcs
쌓여서는	쌓이/pvg+어서는/ecs
아니	아니/mag
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.'	./sf+'/sl
정산의	정산/nq+의/jcm
선배이던	선배/ncn+이/jp+던/etm
수운	수운/nq
,	,/sp
중산	중산/nq
,	,/sp
소태산	소태산/nq
등은	등/nbn+은/jxc
우리나라가	우리/npp+나라/ncn+가/jcs
앞으로	앞/ncn+으로/jca
세계의	세계/ncn+의/jcm
최상등국이	최상등/ncn+국/xsn+이/jcc
된다고	되/pvg+ㄴ다/ef+고/jcr
막연하게	막연/ncps+하/xsm+게/ecx
말한	말하/pvg+ㄴ/etm
것에	것/nbn+에/jca
비해	비하/pvg+어/ecs
,	,/sp
정산의	정산/nq+의/jcm
예언은	예언/ncn+은/jxc
상당히	상당히/mag
구체성을	구체/ncn+성/xsn+을/jco
지닌다	지니/pvg+ㄴ다/ef
.	./sf
사실	사실/ncn
경제나	경제/ncn+나/jcj
군사적으로	군사/ncn+적/xsn+으로/jca
우리나라가	우리/npp+나라/ncn+가/jcs
구미	구미/ncn
여러	여러/mma
나라나	나라/ncn+나/jcj
일본을	일본/nq+을/jco
앞지른다는	앞지르/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
현실적으로	현실/ncn+적/xsn+으로/jca
거의	거의/mag
불가능하다	불/xp+가능/ncps+하/xsm+다/ef
.	./sf
그것은	그것/npd+은/jxc
우리나라	우리/npp+나라/ncn
사람들이	사람/ncn+들/xsn+이/jcs
못나서	못나/paa+서/ecs
그런	그런/mmd
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
이미	이미/mag
세계	세계/ncn
경제구조	경제/ncn+구조/ncn
자체가	자체/ncn+가/jcs
선진국	선진/ncn+국/xsn
중심으로	중심/ncn+으로/jca
짜여	짜이/pvg+어/ecx
있기	있/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이것을	이것/npd+을/jco
부수고	부수/pvg+고/ecc
선진국	선진/ncn+국/xsn
대열에	대열/ncn+에/jca
올라오는	오르/pvg+아/ecx+오/px+는/etm
후진국들을	후진/ncn+국/xsn+들/xsn+을/jco
선진국들은	선진/ncn+국/xsn+들/xsn+은/jxc
그	그/mmd
이해	이해/ncn
(	(/sl
利害	利害/ncn
)	)/sr
때문에	때문/nbn+에/jca
결코	결코/mag
용납하지	용납/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
지금까지	지금/ncn+까지/jxc
이	이/mmd
구도를	구도/ncn+를/jco
깨고	깨/pvg+고/ecc
후진국에서	후진/ncn+국/xsn+에서/jca
선진국	선진/ncn+국/xsn
반열에	반열/ncn+에/jca
올라선	오르/pvg+아/ecx+서/px+ㄴ/etm
것은	것/nbn+은/jxc
일본뿐이라고	일본/nq+뿐/nbn+이/jp+라고/jcr
경제학자들은	경제/ncn+학자/ncn+들/xsn+은/jxc
주장한다	주장/ncpa+하/xsv+ㄴ다/ef
.	./sf
정산은	정산/nq+은/jxc
이것을	이것/npd+을/jco
정확히	정확히/mag
파악한	파악/ncpa+하/xsv+ㄴ/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
그리고	그리고/maj
우리나라가	우리/npp+나라/ncn+가/jcs
세계에	세계/ncn+에/jca
공헌할	공헌/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
길은	길/ncn+은/jxc
정신적으로나	정신/ncn+적/xsn+으로/jca+나/jcj
종교	종교/ncn
(	(/sl
도덕	도덕/ncn
)적인	)/sr+적/xsn+이/jp+ㄴ/etm
데에	데/nbn+에/jca
있다고	있/pvg+다/ef+고/ecs
본	보/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
지적은	지적/ncn+은/jxc
금세기	금세기/ncn
한국	한국/nq
기독교의	기독/nq+교/xsn+의/jcm
대부였던	대부/ncn+이/jp+었/ep+던/etm
함석헌옹에게서도	함석헌/nq+옹/xsn+에게/jca+서/jxc+도/jxc
발견된다	발견/ncpa+되/xsv+ㄴ다/ef
.	./sf
함옹은	함옹/ncn+은/jxc
자신의	자신/ncn+의/jcm
저서	저서/ncn
뜻으로	뜻/ncn+으로/jca
본	보/pvg+ㄴ/etm
한국역사에서	한국/nq+역사/ncn+에서/jca
한국이	한국/nq+이/jcs
처해	처하/pvg+어/ecx
있는	있/px+는/etm
정신사적	정신/ncn+사/xsn+적/xsn
특수성을	특수/ncn+성/xsn+을/jco
세계의	세계/ncn+의/jcm
모든	모든/mmd
종교	종교/ncn
및	및/maj
이데올로기가	이데올로기/ncn+가/jcs
남북한에서	남북한/ncn+에서/jca
서로	서로/mag
대치하고	대치/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
현실에서	현실/ncn+에서/jca
찾았다	찾/pvg+았/ep+다/ef
.	./sf
우리나라에	우리/npp+나라/ncn+에/jca
들어와	들/pvg+어/ecx+오/px+아/ecx
있는	있/px+는/etm
이	이/mmd
사상들이	사상/ncn+들/xsn+이/jcs
하나같이	하나/ncn+같/paa+이/xsn
가장	가장/mag
퇴폐적인	퇴폐/ncn+적/xsn+이/jp+ㄴ/etm
형태로	형태/ncn+로/jca
타락해	타락/ncpa+하/xsv+어/ecx
있다는	있/px+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
가령	가령/mag
남한에서는	남한/nq+에서/jca+는/jxc
서양	서양/ncn
자본주의의	자본/ncn+주의/ncn+의/jcm
단점만	단점/ncn+만/jxc
골라	고르/pvg+아/ecs
수입한	수입/ncpa+하/xsv+ㄴ/etm
것	것/nbn
같은	같/paa+은/etm
이상한	이상/ncps+하/xsm+ㄴ/etm
형태의	형태/ncn+의/jcm
자본주의와	자본/ncn+주의/ncn+와/jcj
세계에서	세계/ncn+에서/jca
가장	가장/mag
보수적인	보수/ncn+적/xsn+이/jp+ㄴ/etm
기독교	기독/nq+교/xsn
,	,/sp
이제는	이제/ncn+는/jxc
종교적	종교/ncn+적/xsn
영향력을	영향/ncn+력/xsn+을/jco
많이	많/paa+이/xsa
잃어	잃/pvg+어/ecx
버린	버리/px+ㄴ/etm
과거의	과거/ncn+의/jcm
종교인	종교/ncn+이/jp+ㄴ/etm
유교	유교/nq
,	,/sp
불교	불교/nq
,	,/sp
선도	선도/ncn
등이	등/nbn+이/jcs
그것이고	그것/npd+이/jp+고/ecc
,	,/sp
북한에서는	북한/nq+에서/jca+는/jxc
세계에서	세계/ncn+에서/jca
그	그/mmd
유례를	유례/ncn+를/jco
찾아	찾/pvg+아/ecx
볼	보/px+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
가장	가장/mag
지독하고	지독/ncps+하/xsm+고/ecc
잘못된	잘못/ncpa+되/xsv+ㄴ/etm
공산주의	공산/ncn+주의/ncn
등이	등/nbn+이/jcs
그것이다	그것/npd+이/jp+다/ef
.	./sf
이런	이런/mmd
까닭에	까닭/ncn+에/jca
함옹은	함옹/ncn+은/jxc
한국을	한국/nq+을/jco
세계의	세계/ncn+의/jcm
모든	모든/mmd
정신적	정신/ncn+적/xsn
쓰레기가	쓰레기/ncn+가/jcs
쌓여	쌓이/pvg+어/ecx
있는	있/px+는/etm
하수도와	하수/ncn+도/xsn+와/jct
같은	같/paa+은/etm
나라로	나라/ncn+로/jca
보았다	보/pvg+았/ep+다/ef
.	./sf
집	집/ncn
안의	안/ncn+의/jcm
하수도가	하수/ncn+도/xsn+가/jcs
제대로	제대로/mag
뚫려	뚫리/pvg+어/ecx
있지	있/px+지/ecx
않으면	않/px+으면/ecs
아무	아무/mmd
것도	것/nbn+도/jxc
제대로	제대로/mag
이루어질	이루/pvg+어/ecx+지/px+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
우리나라의	우리/npp+나라/ncn+의/jcm
경우도	경우/ncn+도/jxc
이와	이/npd+와/jct
같아	같/paa+아/ecs
,	,/sp
만일	만일/mag
이	이/mmd
정신적	정신/ncn+적/xsn
하수도에서	하수/ncn+도/xsn+에서/jca
모든	모든/mmd
정신사조를	정신/ncn+사조/ncn+를/jco
융성할	융성/ncps+하/xsm+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
새로운	새롭/paa+ㄴ/etm
문화가	문화/ncn+가/jcs
일어나서	일/pvg+어/ecx+나/px+서/ecs
이	이/mmd
하수도가	하수/ncn+도/xsn+가/jcs
소통되지	소통/ncpa+되/xsv+지/ecx
않으면	않/px+으면/ecs
세계는	세계/ncn+는/jxc
망한다고	망하/pvg+ㄴ다/ef+고/ecs
본	보/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이렇게	이렇게/mag
우리나라가	우리/npp+나라/ncn+가/jcs
중요한	중요/ncps+하/xsm+ㄴ/etm
나라라면	나라/ncn+라/ef+면/ecs
정산의	정산/nq+의/jcm
감연한	감연/ncpa+하/xsv+ㄴ/etm
주장	주장/ncn
,	,/sp
즉	즉/mag
우리나라를	우리/npp+나라/ncn+를/jco
침해한	침해/ncpa+하/xsv+ㄴ/etm
나라는	나라/ncn+는/jxc
복을	복/ncn+을/jco
받지	받/pvg+지/ecx
못한다는	못하/px+ㄴ다/ef+는/etm
주장도	주장/ncn+도/jxc
크게	크/paa+게/ecx
일리가	일리/ncn+가/jcs
있는	있/paa+는/etm
말일	말/ncn+이/jp+ㄹ/etm
게다	것/nbn+이/jp+다/jca
.	./sf
정산은	정산/nq+은/jxc
세계의	세계/ncn+의/jcm
모든	모든/mmd
길들이	길/ncn+들/xsn+이/jcs
종식되는	종식/ncpa+되/xsv+는/etm
때를	때/ncn+를/jco
남북이	남북/ncn+이/jcs
트이는	트이/pvg+는/etm
남북	남북/ncn
통일기로	통일/ncn+기/xsn+로/ncn
잡았다	잡/pvg+았/ep+다/ef
.	./sf
그리고	그리고/maj
남북	남북/ncn
통일의	통일/ncn+의/jcm
시기도	시기/ncn+도/jxc
남북의	남북/ncn+의/jcm
모든	모든/mmd
인민들의	인민/ncn+들/xsn+의/jcm
마음에	마음/ncn+에/jca
조선조의	조선/ncn+조/xsn+의/jcm
그	그/mmd
오래	오래/mag
되었던	되/pvg+었/ep+던/etm
원	원/ncn
,	,/sp
한	한/ncn
,	,/sp
척이	척/ncn+이/jcs
다	다/mag
풀리고	풀리/pvg+고/ecc
,	,/sp
더	더/mag
이상	이상/ncn
쌓이지	쌓이/pvg+지/ecx
않을	않/px+을/etm
때라고	때/ncn+라/ef+고/ecx
보았다	보/pvg+았/ep+다/ef
.	./sf
과연	과연/mag
우리가	우리/npp+가/jcs
그	그/mmd
길로	길/ncn+로/jca
가고	가/pvg+고/ecx
있는지	있/px+는지/ecs
모르겠다	모르/pvg+겠/ep+다/ef
.	./sf
통일의	통일/ncpa+의/jcm
시기는	시기/ncn+는/jxc
현실적으로	현실/ncn+적/xsn+으로/jca
다가오고	다가오/pvg+고/ecx
있는데	있/px+는데/ecs
,	,/sp
척이	척/ncn+이/jcs
없어지는	없/paa+어/ecx+지/px+는/etm
기운은	기운/ncn+은/jxc
별로	별로/mag
보이지	보이/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
이것을	이것/npd+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
이들이	이/npd+들/xsn+이/jcs
바로	바로/mag
종교인일	종교/ncn+인/xsn+이/jp+ㄹ/etm
텐데	터/nbn+이/jp+ㄴ데/ecs
,	,/sp
이들이	이/npd+들/xsn+이/jcs
세상의	세상/ncn+의/jcm
혼탁한	혼탁/ncps+하/xsm+ㄴ/etm
기운을	기운/ncn+을/jco
정화시키기는커녕	정화/ncpa+시키/xsv+기/etn+는/jxc+커녕/jxc
더	더/mag
무질서하게	무/xp+질서/ncps+하/xsm+게/ecx
만드는	만들/px+는/etm
데	데/nbn
가세하고	가세/ncpa+하/xsv+고/ecx
있으니	있/px+으니/ecs
.	./sf
3	3/nnc
물질개벽시대에서	물질/ncn+개벽/ncn+시대/ncn+에서/jca
인심개벽시대로	인심/ncn+개벽/ncn+시대/ncn+로/jca
후천시대에	후천/ncn+시대/ncn+에/jca
대한	대하/pvg+ㄴ/etm
해월의	해월/nq+의/jcm
견해를	견해/ncn+를/jco
들어	듣/pvg+어/ecx
보자	보/pvg+자/ef
.	./sf
"	"/sl
지금은	지금/ncn+은/jxc
요순이나	요순/nq+이나/jcj
공자	공자/nq
,	,/sp
맹자의	맹자/nq+의/jcm
덕을	덕/ncn+을/jco
가지고도	가지/pvg+고/ecx+도/jxc
평안하게	평안/ncps+하/xsm+게/ecx
만들기	만들/px+기/etn
힘든	힘들/pvg+ㄴ/etm
시대인데	시대/ncn+이/jp+ㄴ데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
지금이	지금/ncn+이/jcs
후천개벽시대인	후천/ncn+개벽/ncn+시대/ncn+이/jp+ㄴ/etm
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
선천이	선천/ncn+이/jcs
물질개벽시대라면	물질/ncn+개벽/ncn+시대/ncn+라면/ecs
후천은	후천/ncn+은/jxc
인심개벽시대가	인심/ncn+개벽/ncn+시대/ncn+가/jcc
되기	되/pvg+기/etn
때문에	때문/nbn+에/jca
,	,/sp
앞으로	앞/ncn+으로/jca
물질	물질/ncn
문명은	문명/ncn+은/jxc
극에	극/ncn+에/jca
달해	달하/pvg+어/ecx
있는	있/px+는/etm
대로	대로/nbn
발전하는	발전/ncpa+하/xsv+는/etm
반면	반면/ncn
,	,/sp
도심	도심/ncn
(	(/sl
道心	道心/ncn
)은	)/sr+은/jxc
더욱	더욱/mag
약해져	약하/pvg+어/ecx+지/px+어/ecs
인심	인심/ncn
(	(/sl
人心	人心/ncn
)이	)/sr+이/jcs
더욱더	더욱더/mag
기승을	기승/ncn+을/jco
부릴	부리/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그러나	그러나/maj
이를	이/npd+를/jco
바르게	바르/paa+게/ecx
인도할	인도/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
선천도덕은	선천/ncn+도덕/ncn+은/jxc
이것을	이것/npd+을/jco
따르지	따르/pvg+지/ecx
