<tdmsfile>
<tdmsfile>
kbs1.hwp
여러분	여러분/npp
이	이/mmd
나가노마	나가노마/nq
회장이	회장/ncn+이/jcs
지금	지금/mag
곤혹스러운	곤혹/ncps+스럽/xsm+ㄴ/etm
입장에	입장/ncn+에/jca
빠져있다는	빠지/pvg+어/ecx+있/px+다/ef+는/etm
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
도쿄	도쿄/nq
유승재	유승재/nq
특파원의	특파/ncn+원/xsn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
일본의	일본/nq+의/jcm
축구계의	축구/ncn+계/xsn+의/jcm
내분은	내분/ncn+은/jxc
월드컵	월드컵/ncn
예선에서	예선/ncn+에서/jca
부진을	부진/ncn+을/jco
면치못한	면하/pvg+지/ecx+못하/px+ㄴ/etm
가모	가모/nq
감독을	감독/ncn+을/jco
선임한	선임/ncpa+하/xsv+ㄴ/etm
데에	데/nbn+에/jca
나가노마	nq[나가노마/nq
일본축구협회	일본/nq+축구/ncn+협회/ncn]nq
회장의	회장/ncn+의/jcm
입김이	입김/ncn+이/jcs
크게	크/paa+게/ecs
작용했다는	작용/ncpa+하/xsv+었/ep+다/ef+는/etm
사실이	사실/ncn+이/jcs
드러난	드러나/pvg+ㄴ/etm
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
일본	nq[일본/nq
축구협회	축구/ncn+협회/ncn
강화위원회는	강화/ncn+위원/ncn+회/xsn]nq+는/jxc
가모	가모/nq
감독이	감독/ncn+이/jcs
취임한	취임/ncpa+하/xsv+ㄴ/etm
지난	지나/pvg+ㄴ/etm
94년말	94/nno+년/nbu+말/ncn
이후의	이후/ncn+의/jcm
경기를	경기/ncn+를/jco
면밀히	면밀/ncn+히/xsa
분석한	분석/ncpa+하/xsv+ㄴ/etm
결과,	결과/ncn+,/sp
가모	가모/nq
체제로는	체제/ncn+로/jca+는/jxc
월드컵	월드컵/ncn
본선진출이	본선/ncn+진출/ncn+이/jcs
어렵다고	어렵/paa+다/ef+고/jcr
판단해	판단/ncpa+하/xsv+어/ecs
이미	이미/mag
지난해에	지나/pvg+ㄴ/etm+해/ncn+에/jca
경질을	경질/ncn+을/jco
권유	권유/ncn
했었습니다.	하/pvg+었었/ep+습니다/ef+./sf
그러나	그러나/maj
일본축구협회의	nq[일본/nq+축구/ncn+협회/ncn]nq+의/jcm
나가노마	나가노마/nq
회장은	회장/ncn+은/jxc
강화위원회의	강화위원회/nq+의/jcm
건의를	건의/ncn+를/jco
무시하고	무시/ncpa+하/xsv+고/ecs
가모	가모/nq
감독이	감독/ncn+이/jcs
계속	계속/mag
대표팀을	대표/ncn+팀/ncn+을/jco
맡도록	맡/pvg+도록/ecs
했습니다.	하/pvg+었/ep+습니다/ef+./sf
당시	당시/ncn
강화위원회는	강화위원회/nq+는/jxc
가모	가모/nq
감독이	감독/ncn+이/jcs
지역압박작전에	지역/ncn+압박/ncn+작전/ncn+에/jca
집착	집착/ncn
하면서	하/pvg+면서/ecs
선수들에게는	선수/ncn+들/xsn+에게/jca+는/jxc
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
설명도	설명/ncn+도/jxc
하지	하/pvg+지/ecx
않고	않/px+고/ecc
젊은	젊/paa+은/etm
선수들의	선수/ncn+들/xsn+의/jcm
발굴도	발굴/ncn+도/jxc
등한시하는	등한/ncn+시/xsn+하/xsv+는/etm
등	등/nbn
국가	국가/ncn
대표팀	대표/ncn+팀/ncn
감독으로는	감독/ncn+으로/jca+는/jxc
적합하지	적합/ncps+하/xsm+지/ecx
않다고	않/px+다/ef+고/jcr
지적했습니다.	지적/ncpa+하/xsv+었/ep+습니다/ef+./sf
가모	가모/nq
감독은	감독/ncn+은/jxc
당시	당시/ncn
강화위원회측의	강화위원회/nq+측/nbn+의/jcm
건의	건의/ncn
내용을	내용/ncn+을/jco
알고	알/pvg+고/ecs
강력히	강력/ncn+히/xsa
반발했으며,	반발/ncpa+하/xsv+었/ep+으며/ecs+,/sp
대표팀	대표/ncn+팀/ncn
감독을	감독/ncn+을/jco
사임할	사임/ncpa+하/xsv+ㄹ/etm
뜻을	뜻/ncn+을/jco
밝혔으나	밝히/pvg+었/ep+으나/ecs
대학선배인	대학/ncn+선배/ncn+이/jp+ㄴ/etm
나가노마	나가노마/nq
회장이	회장/ncn+이/jcs
계속	계속/mag
가모	가모/nq
감독	감독/ncn
유임을	유임/ncn+을/jco
주장해	주장/ncpa+하/xsv+어/ecs
결국	결국/mag
오늘과	오늘/ncn+과/jct
같은	같/paa+은/etm
난국을	난국/ncn+을/jco
초래하게	초래/ncpa+하/xsv+게/ecs
된	되/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
한편,	한편/maj+,/sp
나가노마	nq[나가노마/nq
일본축구협회	일본/nq+축구/ncn+협회/ncn]nq
회장도	회장/ncn+도/jxc
이미	이미/mag
사의를	사의/ncn+를/jco
표명했으며,	표명/ncpa+하/xsv+었/ep+으며/ecs+,/sp
일본	일본/nq
축구계는	축구/ncn+계/xsn+는/jxc
당분간	당분간/mag
내분으로	내분/ncn+으로/jca
몸살을	몸살/ncn+을/jco
앓게	앓/pvg+게/ecs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
도쿄에서	도쿄/nq+에서/jca
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
유승재입니다.	유승재/nq+이/jp+ㅂ니다/ef+./sf
보행질서	보행/ncn+질서/ncn
'엉망'	'/sl+엉망/ncn+'/sr
시민정신	시민/ncn+정신/ncn
연속기획,	연속/ncn+기획/ncn+,/sp
오늘은	오늘/ncn+은/jxc
후진국	후진/ncn+국/xsn
수준을	수준/ncn+을/jco
면치못하고	면하/pvg+지/ecx+못하/px+고/ecx
있는	있/px+는/etm
보행자	보행/ncn+자/xsn
질서위반실태를	질서/ncn+위반/ncn+실태/ncn+를/jco
점검해봤습니다.	점검/ncpa+하/xsv+어/ecx+보/px+았/ep+습니다/ef+./sf
특히	특히/mag
출근시간대	출근/ncn+시간/ncn+대/xsn
도심거리에서	도심/ncn+거리/ncn+에서/jca
일어나고	일어나/pvg+고/ecx
있는	있/px+는/etm
우리의	우리/npp+의/jcm
보행	보행/ncn
질서를	질서/ncn+를/jco
한번	한번/ncn
직접	직접/mag
확인해	확인/ncpa+하/xsv+어/ecx
보시기	보/px+시/ep+기/etn
바랍니다.	바라/pvg+ㅂ니다/ef+./sf
박유한	박유한/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
서울	서울/nq
도심의	도심/ncn+의/jcm
아침	아침/ncn
출근시간,	출근/ncn+시간/ncn+,/sp
횡단보도야	횡단/ncn+보도/ncn+야/jxc
있건말건	있/paa+건/ecs+말/pvg+건/ecs
버스에서	버스/ncn+에서/jca
내린	내리/pvg+ㄴ/etm
출근길	출근/ncn+길/ncn
시민들이	시민/ncn+들/xsn+이/jcs
신호가	신호/ncn+가/jcs
바뀌자	바뀌/pvg+자/ecs
그	그/mmd
자리에서	자리/ncn+에서/jca
길을	길/ncn+을/jco
건넙니다.	건너/pvg+ㅂ니다/ef+./sf
정장을	정장/ncn+을/jco
말끔히	말끔/ncn+히/xsa
차려입은	차리/pvg+어/ecs+입/pvg+은/etm
회사원들이	회사/ncn+원/xsn+들/xsn+이/jcs
대부분이지만	대부분/ncn+이/jp+지만/ecs
교복차림의	교복/ncn+차림/ncn+의/jcm
학생들도	학생/ncn+들/xsn+도/jxc
마찬가지입니다.	마찬가지/ncn+이/jp+ㅂ니다/ef+./sf
6차선	6/nnc+차/nbu+선/ncn
도로는	도로/ncn+는/jxc
차도인지	차도/ncn+이/jp+ㄴ지/ecs
인도인지	인도/ncn+이/jp+ㄴ지/ecs
구분이	구분/ncn+이/jcs
안갑니다.	안/mag+가/pvg+ㅂ니다/ef+./sf
달려오는	달리/pvg+어/ecs+오/pvg+는/etm
차사이로	차/ncn+사이/ncn+로/jca
산보를	산보/ncn+를/jco
하듯	하/pvg+듯/ecs
건너는	건너/pvg+는/etm
여유파도	여유/ncn+파/ncn+도/jxc
있습니다.	있/paa+습니다/ef+./sf
이들의	이/npp+들/xsn+의/jcm
변명은	변명/ncn+은/jxc
모두	모두/mag
하나	하나/ncn
같습니다.	같/paa+습니다/ef+./sf
"왜	"/sr+왜/mag
무단횡단	무단/ncn+횡단/ncn
하셨어요?	하/pvg+시/ep+었/ep+어/ef+요/jxf+?/sf
"	"/sr
"남들	"/sl+남/ncn+들/xsn
하길래	하/pvg+길래/ecs
따라왔어요.	따르/pvg+아/ecs+오/pvg+았/ep+어/ef+요/jxf+./sf
"	"/sr
"위험하지	"/sl+위험/ncps+하/xsm+지/ecx
않아요?	않/px+아/ef+요/jxf+?/sf
"	"/sr
"나름대로	"/sl+나름/nbn+대로/jxc
방지를	방지/ncn+를/jco
하고	하/pvg+고/ecs
다니죠.	다니/pvg+지/ef+요/jxf+./sf
"	"/sr
"위험하지	"/sl+위험/ncps+하/xsm+지/ecx
않아요?	않/px+아/ef+요/jxf+?/sf
"	"/sr
"위험하죠,	"/sl+위험/ncps+하/xsm+지/ef+요/jxf+,/sp
시간이	시간/ncn+이/jcs
너무	너무/mag
없어서...	없/paa+어서/ecs+.../se
"	"/sr
횡단보도뿐	횡단/ncn+보도/ncn+뿐/jxc
아니라	아니/paa+라/ecs
지하도도	지하도/ncn+도/jxc
외면	외면/ncn
당하기는	당하/pvg+기/etn+는/jxc
마찬가지,	마찬가지/ncn+,/sp
지하도	지하도/ncn
바로	바로/mag
위를	위/ncn+를/jco
무단횡단하면서도	무단/ncn+횡단/ncpa+하/xsv+면서/ecs+도/jxc
아무런	아무런/mmd
거리낌이	거리낌/ncn+이/jcs
없습니다.	없/paa+습니다/ef+./sf
한두사람이	한두/nnc+사람/ncn+이/jcc
아니라	아니/paa+라/ecs
모두가	모두/ncn+가/jcs
무단횡단을	무단/ncn+횡단/ncn+을/jco
하기	하/pvg+기/etn
때문에	때문/nbn+에/jca
경찰도	경찰/ncn+도/jxc
속수무책입니다.	속수무책/ncn+이/jp+ㅂ니다/ef+./sf
"왜	"/sl+왜/mag
저만	저/npp+만/jxc
잡아요.	잡/pvg+아/ef+요/jxf+./sf
다들	다/mag+들/xsn
건너는데.	건너/pvg+는데/ef+./sf
"	"/sr
왜	왜/mag
나만	나/npp+만/jxc
단속하냐	단속/ncpa+하/xsv+냐/ef
하면서	하/pvg+면서/ecs
화내고	화/ncn+내/pvg+고/ecc
시비	시비/ncn
붙고	붙/pvg+고/ecs
하는데	하/pvg+는데/ecs
참	참/mag
무단횡단하는	무단/ncn+횡단/ncpa+하/xsv+는/etm
사람	사람/ncn
단속이	단속/ncn+이/jcs
어렵습니다.	어렵/paa+습니다/ef+./sf
지난해의	지나/pvg+ㄴ/etm+해/ncn+의/jcm
경우	경우/ncn
8만7천여명의	8만/nnc+7천/nnc+여/xsn+명/nbu+의/jcm
보행자가	보행/ncn+자/xsn+가/jcs
사고를	사고/ncn+를/jco
당했고	당하/pvg+었/ep+고/ecs
이	이/mmd
중	중/nbn
5,070명이	5,070/nnc+명/nbu+이/jcs
보행자	보행/ncn+자/xsn
교통사고가	교통/ncn+사고/ncn+가/jcs
전체의	전체/ncn+의/jcm
44.2%로서	44.2/nnc+%/su+로서/jca
선진국보다	선진/ncn+국/xsn+보다/jca
한	한/mma
2-3배	2/nnc+-/sd+3/nnc+배/nbu
정도	정도/ncn
높게	높/paa+게/ecs
나타나고	나타나/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
이것은	이것/npd+은/jxc
보행자가	보행/ncn+자/xsn+가/jcs
그만큼	그/npd+만큼/jxc
무질서하다는	무/xp+질서/ncps+하/xsm+다/ef+는/etm
것을	것/nbn+을/jco
뜻하기도	뜻/ncpa+하/xsv+기/etn+도/jxc
합니다.	하/px+ㅂ니다/ef+./sf
자동차	자동/ncn+차/ncn
천만대	천만/nnc+대/nbu
시대에도	시대/ncn+에/jca+도/jxc
보행자	보행/ncn+자/xsn
질서는	질서/ncn+는/jxc
여전히	여전/ncn+히/xsa
후진국	후진/ncn+국/xsn
수준입니다.	수준/ncn+이/jp+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
박유한입니다.	박유한/nq+이/jp+ㅂ니다/ef+./sf
살인	살인/ncn
부른	부르/pvg+ㄴ/etm
주차시비	주차/ncn+시비/ncn
주차시비로	주차/ncn+시비/ncn+로/jca
살인사건까지	살인/ncn+사건/ncn+까지/jxc
일어날	일어나/pvg+ㄹ/etm
만큼	만큼/nbn
우리의	우리/npp+의/jcm
주택가	주택/ncn+가/xsn
골목	골목/ncn
주차난이	주차/ncn+난/xsn+이/jcs
심해지고	심하/paa+어/ecx+지/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
서울에서는	서울/nq+에서/jca+는/jxc
어제	어제/mag
주차시비를	주차/ncn+시비/ncn+를/jco
벌이던	벌이/pvg+던/etm
이웃끼리	이웃/ncn+끼리/xsn
다투다가	다투/pvg+다가/ecs
한사람이	한/nnc+사람/ncn+이/jcs
숨지는	숨/ncn+지/pvg+는/etm
사고가	사고/ncn+가/jcs
있었습니다.	있/paa+었/ep+습니다/ef+./sf
조금도	조금/ncn+도/jxc
양보하지	양보/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
우리의	우리/npp+의/jcm
잘못된	잘못/mag+되/xsv+ㄴ/etm
주차문화의	주차/ncn+문화/ncn+의/jcm
현주소라고	현/mma+주소/ncn+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
이석호	이석호/nq
기자가	기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
저녁	저녁/ncn
5시	5/nno+시/nbu
주부들이	주부/ncn+들/xsn+이/jcs
일찌감치	일찌감치/mag
대문앞을	대문/ncn+앞/ncn+을/jco
차지하고	차지/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
남편의	남편/ncn+의/jcm
주차공간을	주차/ncn+공간/ncn+을/jco
이웃보다	이웃/ncn+보다/jca
먼저	먼저/mag
확보하기	확보/ncpa+하/xsv+기/etn
위해서입니다.	위하/pvg+어서/ecs+이/jp+ㅂ니다/ef+./sf
다른	다르/paa+ㄴ/etm
사람이	사람/ncn+이/jcs
하도	하도/mag
차를	차/ncn+를/jco
대고	대/pvg+고/ecs
그러니까	그러/pvd+니까/ecs
미리	미리/mag
나와서	나오/pvg+아서/ecs
지키지	지키/pvg+지/ecx
않으면	않/px+으면/ecs
안돼서	안/mag+되/pvg+어서/ecs
이렇게	이렇/pad+게/ecs
나와	나오/pvg+아/ecx
있어요.	있/px+어/ef+요/jxf+./sf
남의	남/ncn+의/jcm
차는	차/ncn+는/jxc
아예	아예/mag
대지	대/pvg+지/ecx
못하도록	못하/px+도록/ecs
갖가지	갖가지/ncn
장애물이	장애/ncn+물/xsn+이/jcs
설치돼	설치/ncpa+되/xsv+어/ecx
있습니다.	있/px+습니다/ef+./sf
쇠줄로	쇠줄/ncn+로/jca
맨	매/pvg+ㄴ/etm
입간판에	입간판/ncn+에/jca
이동식	이동/ncn+식/xsn
물통까지	물통/ncn+까지/jxc
동원됐습니다.	동원/ncpa+되/xsv+었/ep+습니다/ef+./sf
이런	이런/mmd
상황이니	상황/ncn+이/jp+니/ecs
자칫	자칫/mag
차를	차/ncn+를/jco
잘못	잘못/mag
세웠다간	세우/pvg+었/ep+다가/ecs+ㄴ/jxc
주먹다툼이	주먹/ncn+다툼/ncn+이/jcs
벌어지기	벌어지/pvg+기/etn
일쑤입니다.	일쑤/ncn+이/jp+ㅂ니다/ef+./sf
서로	서로/mag
자기네	자기/npp+네/xsn
골목이다	골목/ncn+이/jp+다/ef
이런	이런/mmd
식이고	식/nbn+이/jp+고/ecc
언쟁하다보면	언쟁/ncpa+하/xsv+다/ecs+보/px+면/ecs
때에	때/ncn+에/jca
따라서는	따르/pvg+아서/ecs+는/jxc
치고받고	치고받/pvg+고/ecc
하는	하/pvg+는/etm
경우도	경우/ncn+도/jxc
있어요.	있/paa+어/ef+요/jxf+./sf
이렇게	이렇/pad+게/ecs
한치의	한/nnc+치/nbu+의/jcm
양보도	양보/ncn+도/jxc
없이	없/paa+이/xsa
펼쳐지는	펼치/pvg+어/ecx+지/px+는/etm
주차전쟁은	주차/ncn+전쟁/ncn+은/jxc
심지어	심지어/mag
사람	사람/ncn
목숨까지	목숨/ncn+까지/jxc
잃게	잃/pvg+게/ecx
하는	하/px+는/etm
사건을	사건/ncn+을/jco
불렀습니다.	부르/pvg+었/ep+습니다/ef+./sf
어젯밤	어젯밤/ncn
8시쯤	8/nno+시/nbu+쯤/xsn
차를	차/ncn+를/jco
타고	타/pvg+고/ecs
급히	급히/mag
시내로	시내/ncn+로/jca
나가려던	나가/pvg+려/ecs+던/etm
신	신/nq
모씨	모/ncn+씨/xsn
차안에는	차/ncn+안/ncn+에/jca+는/jxc
연락처도	연락/ncn+처/xsn+도/jxc
없었습니다.	없/paa+었/ep+습니다/ef+./sf
화가	화/ncn+가/jcs
난	나/pvg+ㄴ/etm
신씨는	신/nq+씨/xsn+는/jxc
10여분	10/nnc+여/xsn+분/nbu
뒤	뒤/ncn
나타난	나타나/pvg+ㄴ/etm
차	차/ncn
주인을	주인/ncn+을/jco
넘어뜨려	넘어뜨리/pvg+어/ecs
숨지게	숨/ncn+지/pvg+게/ecx
했습니다.	하/px+었/ep+습니다/ef+./sf
반사적인	반사/ncn+적/xsn+이/jp+ㄴ/etm
심경에	심경/ncn+에/jca
의해서	의하/pvg+어서/ecs
저도	저/npp+도/jxc
모르게	모르/pvg+게/ecs
멱살을	멱살/ncn+을/jco
잡고	잡/pvg+고/ecs
그런	그런/mmd
어떤	어떤/mmd
과정에서	과정/ncn+에서/jca
그분이	그분/npp+이/jcs
충격을	충격/ncn+을/jco
이해와	이해/ncn+와/jcj
양보도	양보/ncn+도/jxc
없는	없/paa+는/etm
우리	우리/npp
주차문화의	주차/ncn+문화/ncn+의/jcm
현주소입니다.	현/mma+주소/ncn+이/jp+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
이석호입니다.	이석호/nq+이/jp+ㅂ니다/ef+./sf
'내신파동'	'/sl+내신/ncn+파동/ncn+'/sr
확산	확산/ncn
비교내신제	비교/ncn+내신/ncn+제/xsn
폐지에	폐지/ncn+에/jca
따른	따르/pvg+ㄴ/etm
이른바	이른바/maj
특수	특수/ncn
목적고	목적고/ncn
사태가	사태/ncn+가/jcs
갈수록	가/pvg+ㄹ수록/ecs
혼미해지고	혼미/ncps+하/xsm+어/ecx+지/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
오늘	오늘/mag
서울	서울/nq
지역의	지역/ncn+의/jcm
과학고	과학고/ncn
2학년	2/nno+학년/ncn
학생들이	학생/ncn+들/xsn+이/jcs
등교를	등교/ncn+를/jco
거부했고	거부/ncpa+하/xsv+었/ep+고/ecc
전국	전국/ncn
과학고	과학고/ncn
학부모	학부모/ncn
대표들은	대표/ncn+들/xsn+은/jxc
교육부에	교육부/nq+에/jca
집단	집단/ncn
자퇴원	자퇴/ncn+원/xsn
제출을	제출/ncn+을/jco
시도하기도	시도/ncpa+하/xsv+기/etn+도/jxc
했습니다.	하/px+었/ep+습니다/ef+./sf
김형덕	김형덕/nq
기자의	기자/ncn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
오늘	오늘/ncn
오후	오후/ncn
정부	정부/ncn
과학고	과학고/ncn
학부모	학부모/ncn
대표들이	대표/ncn+들/xsn+이/jcs
정부	정부/ncn
청사	청사/ncn
앞에	앞/ncn+에/jca
나타났습니다.	나타나/pvg+았/ep+습니다/ef+./sf
전국	전국/ncn
15개의	15/nnc+개/nbu+의/jcm
과학고	과학고/ncn
2학년생	2/nno+학년/ncn+생/xsn
천여명의	천/nnc+여/xsn+명/nbu+의/jcm
자퇴원을	자퇴/ncn+원/xsn+을/jco
교육부에	교육부/nq+에/jca
제출하기	제출/ncpa+하/xsv+기/etn
위해서입니다.	위하/pvg+어서/ecs+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
교육부는	교육부/nq+는/jxc
이들의	이/npp+들/xsn+의/jcm
출입마저	출입/ncn+마저/jxc
거부했습니다.	거부/ncpa+하/xsv+었/ep+습니다/ef+./sf
학교장에게	학교/ncn+장/xsn+에게/jca
제출해야지	제출/ncpa+하/xsv+어야지/ecs
여기에다	여기/npd+에/jca+다/jxc
자퇴원서	자퇴/ncn+원서/ncn
제출하면	제출/ncpa+하/xsv+면/ecs
안되는	안/mag+되/pvg+는/etm
거죠.	거/nbn+지/ef+요/jxf+./sf
학부모들은	학부모/ncn+들/xsn+은/jxc
과학고	과학고/ncn
학생을	학생/ncn+을/jco
위한	위하/pvg+ㄴ/etm
내신	내신/ncn
보완책이	보완/ncn+책/xsn+이/jcs
마련되지	마련/ncpa+되/xsv+지/ecx
않으면	않/px+으면/ecs
자퇴를	자퇴/ncn+를/jco
고수한다는	고수/ncpa+하/xsv+ㄴ다/ef+는/etm
입장입니다.	입장/ncn+이/jp+ㅂ니다/ef+./sf
편차를	편차/ncn+를/jco
인정하는	인정/ncpa+하/xsv+는/etm
제도적인	제도/ncn+적/xsn+이/jp+ㄴ/etm
시험을	시험/ncn+을/jco
해주시던가	하/pvg+어/ecx+주/px+시/ep+던가/ef
안	안/mag
받으시니까	받/pvg+으시/ep+니까/ecs
각자	각자/ncn
학교	학교/ncn
가서	가/pvg+아서/ecs
학교에다	학교/ncn+에/jca+다/jxc
제출을	제출/ncn+을/jco
해야	하/pvg+어야/ecs
되겠죠	되/pvg+겠/ep+지/ef+요/jxf
교장선생님한테.	교장/ncn+선생님/ncn+한테/jca+./sf
과학고등학교의	과학/ncn+고등/ncn+학교/ncn+의/jcm
수업은	수업/ncn+은/jxc
벌써	벌써/mag
파행을	파행/ncn+을/jco
겪고	겪/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
서울에	서울/nq+에/jca
있는	있/paa+는/etm
2개의	2/nnc+개/nbu+의/jcm
과학고등학교의	과학/ncn+고등/ncn+학교/ncn+의/jcm
2학년생들	2/nnc+학년/ncn+생/xsn+들/xsn
대부분이	대부분/ncn+이/jcs
오늘	오늘/ncn
등교하지	등교/ncpa+하/xsv+지/ecx
않았습니다.	않/px+았/ep+습니다/ef+./sf
내일이면	내일/ncn+이/jp+면/ecs
지방에	지방/ncn+에/jca
있는	있/paa+는/etm
13개	13/nnc+개/nbu
과학고등학교까지	과학/ncn+고등/ncn+학교/ncn+까지/jxc
일제히	일제/ncn+히/xsa
등교거부에	등교/ncn+거부/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
과기원에	과기원/nq+에/jca
조기	조기/ncn
진학이	진학/ncn+이/jcs
확정된	확정/ncpa+되/xsv+ㄴ/etm
학생들	학생/ncn+들/xsn
몇명만	몇/mma+명/nbu+만/jxc
수업을	수업/ncn+을/jco
받고	받/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
여기다	여기/npd+다/jxc
외국어	외국/ncn+어/xsn
고등학교의	고등/ncn+학교/ncn+의/jcm
학부모들도	학부모/ncn+들/xsn+도/jxc
오는	오/pvg+는/etm
10일에	10/nno+일/nbu+에/jca
집단자퇴원을	집단/ncn+자퇴/ncn+원/xsn+을/jco
내겠다고	내/pvg+겠/ep+다/ef+고/jcr
벼르고	벼르/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
교육부는	교육부/nq+는/jxc
이에	이/npd+에/jca
대해	대하/pvg+어/ecs
비교내신제	비교/ncn+내신/ncn+제/xsn
적용	적용/ncn
여부는	여부/ncn+는/jxc
대학	대학/ncn
자율에	자율/ncn+에/jca
맡길	맡기/pvg+ㄹ/etm
문제라는	문제/ncn+라/ef+는/etm
종전	종전/ncn
입장	입장/ncn
그대로입니다.	그대로/mag+이/jp+ㅂ니다/ef+./sf
이런	이런/mmd
가운데	가운데/ncn
서울	서울/nq
9개	9/nnc+개/nbu
일반	일반/ncn
고등학교의	고등/ncn+학교/ncn+의/jcm
학부모	학부모/ncn
평에도	평/ncn+에/jca+도/jxc
어긋난다고	어긋나/pvg+ㄴ다/ef+고/jcr
주장하고	주장/ncpa+하/xsv+고/ecs
나서	나서/pvg+어/ecs
사태는	사태/ncn+는/jxc
갈수록	가/pvg+ㄹ수록/ecs
복잡해지고	복잡/ncps+하/xsm+어/ecx+지/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
김형덕입니다.	김형덕/nq+이/jp+ㅂ니다/ef+./sf
국적	국적/ncn
찾았다	찾/pvg+았/ep+다/ef
일본군	일본/nq+군/ncn
위안부로	위안/ncn+부/xsn+로/jca
끌려가서	끌리/pvg+어/ecs+가/pvg+아서/ecs
캄보디아에서	캄보디아/nq+에서/jca
한평생을	한평생/ncn+을/jco
살아온	살/pvg+아/ecx+오/px+ㄴ/etm
훈	훈/nq
할머니가	할머니/ncn+가/jcs
50여년만에	50/nnc+여/xsn+년/nbu+만/nbn+에/jca
우리나라	우리/npp+나라/ncn
국적을	국적/ncn+을/jco
회복했습니다.	회복/ncpa+하/xsv+었/ep+습니다/ef+./sf
법무부는	법무부/nq+는/jxc
오늘	오늘/mag
훈	훈/nq
할머니에게	할머니/ncn+에게/jca
정식으로	정식/ncn+으로/jca
국적	국적/ncn
회복	회복/ncn
허가증서를	허가/ncn+증서/ncn+를/jco
전달했습니다.	전달/ncpa+하/xsv+었/ep+습니다/ef+./sf
보도에	보도/ncn+에/jca
안형환	안형환/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
랭훈에서	랭훈/nq+에서/jca
이남이로	이남이/nq+로/jca
캄보디아에서	캄보디아/nq+에서/jca
대한민국으로	대한민국/nq+으로/jca
지난	지나/pvg+ㄴ/etm
43년	43/nno+년/nbu
19살의	19/nnc+살/nbu+의/jcm
꽃다운	꽃/ncps+답/xsm+ㄴ/etm
나이로	나이/ncn+로/jca
조국을	조국/ncn+을/jco
떠난	떠나/pvg+ㄴ/etm
뒤	뒤/ncn
54년만에	54/nnc+년/nbu+만/nbn+에/jca
훈	훈/nq
할머니가	할머니/ncn+가/jcs
드디어	드디어/mag
잃어버린	잃/pvg+어/ecx+버리/px+ㄴ/etm
자신의	자신/ncn+의/jcm
이름과	이름/ncn+과/jcj
국적을	국적/ncn+을/jco
되찾았습니다.	되찾/pvg+았/ep+습니다/ef+./sf
법무부는	법무부/nq+는/jxc
오늘	오늘/mag
지난달	지나/pvg+ㄴ/etm+달/ncn
10일	10/nno+일/nbu
국적회복	국적/ncn+회복/ncn
신청을	신청/ncn+을/jco
한	하/pvg+ㄴ/etm
훈	훈/nq
할머니에게	할머니/ncn+에게/jca
정식으로	정식/ncn+으로/jca
국적회복	국적/ncn+회복/ncn
허가증서를	허가/ncn+증서/ncn+를/jco
수여했습니다.	수여/ncpa+하/xsv+었/ep+습니다/ef+./sf
훈	훈/nq
할머니의	할머니/ncn+의/jcm
새로운	새롭/paa+ㄴ/etm
이름은	이름/ncn+은/jxc
어릴	어리/paa+ㄹ/etm
적	적/nbn
기억에	기억/ncn+에/jca
따라	따르/pvg+아/ecs
이남이	이남이/nq
본적은	본적/ncn+은/jxc
훈	훈/nq
할머니를	할머니/ncn+를/jco
모시기로	모시/pvg+기/etn+로/jca
한	하/pvg+ㄴ/etm
장조카	장조카/ncn
