<tdmsfile>
<tdmsfile>
지금	지금/mag
스웨덴	스웨덴/nq
등.	등/nbn+./sf
5월에는	5/nno+월/nbu+에/jca+는/jxc
모로코서	모로코/nq+서/jca
열리는	열리/pvg+는/etm
하산컵	nq[하산컵/nq
친선대회에	친선/ncn+대회/ncn]nq+에/jca
참가하고,	참가/ncpa+하/xsv+고/ecc+,/sp
대회	대회/ncn
개막을	개막/ncn+을/jco
일주일	일/nnc+주일/nbu
앞둔	앞/ncn+두/pvg+ㄴ/etm
6월5일에는	6/nno+월/nbu+5/nno+일/nbu+에/jca+는/jxc
핀란드와	핀란드/nq+와/jct
마지막	마지막/ncn
실전경험을	실전/ncn+경험/ncn+을/jco
쌓는다.	쌓/pvg+는다/ef+./sf
본선팀들로서는	본선/ncn+팀/ncn+들/xsn+로서/jca+는/jxc
프랑스와	프랑스/nq+와/jct
경기를	경기/ncn+를/jco
갖는	갖/pvg+는/etm
것은	것/nbn+은/jxc
프랑스의	프랑스/nq+의/jcm
전력파악은	전력/ncn+파악/ncn+은/jxc
물론,	물론/mag+,/sp
현장	현장/ncn
사전답사의	사전/ncn+답사/ncn+의/jcm
1석2조	1/nnc+석/ncn+2/nnc+조/ncn
효과	효과/ncn
프랑스대표팀은	프랑스/nq+대표/ncn+팀/ncn+은/jxc
이제	이제/mag
스케줄이	스케줄/ncn+이/jcs
밀려	밀리/pvg+어/ecs
더	더/mag
이상의	이상/ncn+의/jcm
친선경기가	친선/ncn+경기/ncn+가/jcs
불가능한	불/xp+가능/ncps+하/xsm+ㄴ/etm
실정이다.	실정/ncn+이/jp+다/ef+./sf
11일	11/nno+일/nbu
웨일스대표팀과	웨일스/nq+대표/ncn+팀/ncn+과/jcj
홈에서	홈/ncn+에서/jca
경기를	경기/ncn+를/jco
가진	가지/pvg+ㄴ/etm
브라질은	브라질/nq+은/jxc
12월중	12/nno+월/nbu+중/nbn
남아공과	남아공/nq+과/jct
친선경기를	친선/ncn+경기/ncn+를/jco
갖는다.	갖/pvg+는다/ef+./sf
이어	이어/maj
사우디	nq[사우디/nq
아라비아서	아라비아/nq]nq+서/jca
열리는	열리/pvg+는/etm
8개국	8/nnc+개국/nbu
컨페더레이션	nq[컨페더레이션/ncn
컵에	컵/ncn]nq+에/jca
참가한다.	참가/ncpa+하/xsv+ㄴ다/ef+./sf
브라질은	브라질/nq+은/jxc
지난	지나/pvg+ㄴ/etm
6월	6/nno+월/nbu
프랑스	프랑스/nq
4개국	4/nnc+개국/nbu
초청대회서	초청/ncn+대회/ncn+서/jca
이탈리아와	이탈리아/nq+와/jct
무승부를	무/xp+승부/ncn+를/jco
기록한	기록/ncpa+하/xsv+ㄴ/etm
이래	이래/ncn
지난달	지나/pvg+ㄴ/etm+달/ncn
모로코를	모로코/nq+를/jco
2대0으로	2/nnc+대/nbn+0/nnc+으로/jca
완파,	완파/ncn+,/sp
지금까지	지금/ncn+까지/jxc
파죽의	파죽/ncn+의/jcm
11연승을	11/nnc+연승/ncn+을/jco
기록중이다.	기록/ncn+중/nbn+이/jp+다/ef+./sf
하지만	하지만/maj
브라질대표팀은	브라질/nq+대표/ncn+팀/ncn+은/jxc
호나우도,	호나우도/nq+,/sp
로베르토	로베르토/nq
카를로스,	카를로스/nq+,/sp
주닝요	주닝요/nq
등	등/nbn
주전멤버들이	주전/ncn+멤버/ncn+들/xsn+이/jcs
소속	소속/ncn
팀과의	팀/ncn+과/jct+의/jcm
'연간	'/sl+연간/ncn
대표팀	대표/ncn+팀/ncn
친선경기	친선/ncn+경기/ncn
5회	5/nnc+회/nbu
출장'계약이	출장/ncn+'/sr+계약/ncn+이/jcs
끝나	끝/ncn+나/pvg+아/ecs
올해는	올해/ncn+는/jxc
더	더/mag
이상	이상/ncn
뛸	뛰/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
상태.	상태/ncn+./sf
조예선에서	조/ncn+예선/ncn+에서/jca
힘겹게	힘/ncn+겹/paa+게/ecs
이탈리아를	이탈리아/nq+를/jco
뿌리치고	뿌리치/pvg+고/ecs
본선에	본선/ncn+에/jca
진출한	진출/ncpa+하/xsv+ㄴ/etm
잉글랜드도	잉글랜드/nq+도/jxc
15일	15/nno+일/nbu
웸블리구장에서	웸블리구장/nq+에서/jca
카메룬을	카메룬/nq+을/jco
불러	부르/pvg+어/ecs
'월드컵	'/sl+월드컵/nq
사냥'	사냥/ncn+'/sr
채비를	채비/ncn+를/jco
갖춘다.	갖추/pvg+ㄴ다/ef+./sf
잉글랜드	잉글랜드/nq
카메룬	카메룬/nq
카드는	카드/ncn+는/jxc
7년전	7/nnc+년/nbu+전/ncn
이탈리아월드컵	이탈리아월드컵/nq
8강전의	8/nno+강/nbu+전/xsn+의/jcm
재판.	재판/ncn+./sf
당시	당시/ncn
잉글랜드는	잉글랜드/nq+는/jxc
리네커의	리네커/nq+의/jcm
페널티킥	페널티킥/ncn
2개로	2/nnc+개/nbu+로/jca
연장까지	연장/ncn+까지/jxc
가는	가/pvg+는/etm
접전끝에	접전/ncn+끝/ncn+에/jca
3대2로	3/nnc+대/nbn+2/nnc+로/jca
카메룬의	카메룬/nq+의/jcm
'검은	'/sl+검/paa+은/etm
돌풍'을	돌풍/ncn+'/sr+을/jco
헤쳐	헤치/pvg+어/ecs
나왔다.	나오/pvg+았/ep+다/ef+./sf
클레멘스는	클레멘스/nq+는/jxc
11일(이하	11/nno+일/nbu+(/sl+이하/ncn
한국시각)	한국/nq+시각/ncn+)/sr
뉴욕에서	뉴욕/nq+에서/jca
열린	열리/pvg+ㄴ/etm
미국야구기자협회	미국야구기자협회/nq
투표에서	투표/ncn+에서/jca
총	총/mma
134점으로	134/nnc+점/nbu+으로/jca
시애틀	시애틀/nq
매리너스의	매리너스/nq+의/jcm
좌완	좌완/ncn
랜디	nq[랜디/nq
존슨(77점)을	존슨/nq]nq+(/sl+77/nnc+점/nbu+)/sr+을/jco
압도적인	압도/ncn+적/xsn+이/jp+ㄴ/etm
차이로	차이/ncn+로/jca
누르고	누르/pvg+고/ecs
올해	올해/ncn
아메리칸리그(AL)	아메리칸리그/nq+(/sl+AL/f+)/sr
최고의	최고/ncn+의/jcm
투수로	투수/ncn+로/jca
뽑혔다.	뽑히/pvg+었/ep+다/ef+./sf
미네소타	미네소타/nq
트윈스의	트윈스/nq+의/jcm
브래드	nq[브래드/nq
라드케는	라드케/nq]nq+는/jxc
17점,	17/nnc+점/nbu+,/sp
볼티모어	볼티모어/nq
오리올스의	오리올스/nq+의/jcm
구원투수	구원/ncn+투수/ncn
랜디	nq[랜디/nq
마이어스는	마이어스/nq]nq+는/jxc
14점을	14/nnc+점/nbu+을/jco
각각	각각/mag
얻어	얻/pvg+어/ecs
3-4위를	3/nno+-/sd+4/nno+위/nbu+를/jco
마크했다.	마크/ncpa+하/xsv+었/ep+다/ef+./sf
86년과	86/nno+년/nbu+과/jcj
87년,	87/nno+년/nbu+,/sp
90년에	90/nno+년/nbu+에/jca
이어	잇/pvg+어/ecs
4번째로	4/nno+번째/nbu+로/jca
사이영상을	사이영상/nq+을/jco
거머쥔	거머쥐/pvg+ㄴ/etm
클레멘스는	클레멘스/nq+는/jxc
AL에선	AL/f+에서/jca+ㄴ/jxc
처음으로	처음/ncn+으로/jca
4회	4/nnc+회/nbu
수상의	수상/ncn+의/jcm
영광을	영광/ncn+을/jco
누렸다	누리/pvg+었/ep+다/ef
내셔널리그(NL)에선	내셔널리그/nq+(/sl+NL/f+)/sr+에서/jca+ㄴ/jxc
그레그	nq[그레그/nq
매덕스(애틀랜타	매덕스/nq]nq+(/sl+애틀랜타/nq
브레이브스)와	브레이브스/nq+)/sr+와/jcj
스티브	nq[스티브/nq
칼튼(필라델피아	칼튼/nq]nq+(/sl+필라델피아/nq
필리스)이	필리스/nq+)/sr+이/jcs
4회수상	4/nnc+회/nbu+수상/ncn
기록을	기록/ncn+을/jco
세운	세우/pvg+ㄴ/etm
바	바/nbn
있다.	있/paa+다/ef+./sf
6년만에	6/nnc+년/nbu+만/nbn+에/jca
사이영상을	사이영상/nq+을/jco
다시	다시/mag
수상한	수상/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
게일로드	nq[게일로드/nq
페리(72년	페리/nq]nq+(/sl+72/nno+년/nbu
클리블랜드	클리블랜드/nq
인디언스-78년	인디언스/nq+-/sd+78/nno+년/nbu
샌디에이고	샌디에고/nq
파드리스)의	파드리스/nq+)/sr+의/jcm
기록과	기록/ncn+과/jct
동률이며	동률/ncn+이/jp+며/ecs
11년이라는	11/nnc+년/nbu+이/jp+라/ef+는/etm
간격을	간격/ncn+을/jco
두고	두/pvg+고/ecs
사이영상을	사이영상/nq+을/jco
4차례	4/nnc+차례/nbu
수상한	수상/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
클레멘스가	클레멘스/nq+가/jcs
처음이다.	처음/ncn+이/jp+다/ef+./sf
지난해	지나/pvg+ㄴ/etm+해/ncn
말	말/ncn
3년간	3/nnc+년/nbu+간/xsn
2,475만달러를	2,475만/nnc+달러/nbu+를/jco
받기로	받/pvg+기/etn+로/jca
하고	하/px+고/ecs
보스턴	보스턴/nq
레드삭스에서	레드삭스/nq+에서/jca
블루제이스로	블루제이스/nq+로/jca
이적한	이적/ncpa+하/xsv+ㄴ/etm
클레멘스는	클레멘스/nq+는/jxc
올시즌	올/mma+시즌/ncn
21승7패에	21/nnc+승/nbu+7/nnc+패/nbu+에/jca
방어율	방어/ncn+율/xsn
2.05를	2.05/nnc+를/jco
마크했으며	마크/ncpa+하/xsv+었/ep+으며/ecs
삼진	삼진/ncn
292개를	292/nnc+개/nbu+를/jco
기록했다	기록/ncpa+하/xsv+었/ep+다/ef
그가	그/npp+가/jcs
올해	올해/ncn
기록한	기록/ncpa+하/xsv+ㄴ/etm
방어율은	방어/ncn+율/xsn+은/jxc
역대	역대/ncn
AL	AL/f
사이영상	사이영상/nq
수상자	수상/ncn+자/xsn
중	중/nbn
78년의	78/nno+년/nbu+의/jcm
론	nq[론/nq
기드리(1.74)에	기드리/nq]nq+(/sl+1.74/nnc+)/sr+에/jca
이어	잇/pvg+어/ecs
두번째로	두/nno+번째/nbu+로/jca
좋은	좋/paa+은/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이번	이/mmd+번/nbn
사이영상	사이영상/nq
수상으로	수상/ncn+으로/jca
클레멘스는	클레멘스/nq+는/jxc
10만달러의	10만/nnc+달러/nbu+의/jcm
보너스를	보너스/ncn+를/jco
받는다.	받/pvg+는다/ef+./sf
2위인	2/nno+위/nbu+이/jp+ㄴ/etm
랜디	nq[랜디/nq
존슨은	존슨/nq]nq+은/jxc
구단과의	구단/ncn+과/jct+의/jcm
계약서에	계약/ncn+서/xsn+에/jca
사이영상	사이영상/nq
득표에	득표/ncn+에/jca
따른	따르/pvg+ㄴ/etm
보너스를	보너스/ncn+를/jco
명시하지않아	명시/ncpa+하/xsv+지/ecx+않/px+아/ecs
아무런	아무렇/pad+ㄴ/etm
소득도	소득/ncn+도/jxc
없지만	없/paa+지만/ecs
3위인	3/nno+위/nbu+이/jp+ㄴ/etm
라드케는	라드케/nq+는/jxc
3위	3/nno+위/nbu
득표로	득표/ncn+로/jca
5만달러를	5만/nnc+달러/nbu+를/jco
챙기게됐다.	챙기/pvg+게/ecs+되/px+었/ep+다/ef+./sf
NL	NL/f
사이영상은	사이영상/nq+은/jxc
12일에	12/nno+일/nbu+에/jca
발표된다.	발표/ncpa+되/xsv+ㄴ다/ef+./sf
대만	nq[대만/nq
상공회와	상공/ncn+회/xsn]nq+와/jcj
태자기차관계기업집단의	태자기차관계기업집단/nq+의/jcm
회장을	회장/ncn+을/jco
맡고	맡/pvg+고/ecx
있는	있/px+는/etm
쉬성파	쉬성파/nq
(허승발)를	(/sl+허승발/nq+)/sr+를/jco
단장으로	단장/ncn+으로/jca
한	하/pvg+ㄴ/etm
고위급	고위/ncn+급/ncn
대만	대만/nq
기업대표단이	기업/ncn+대표/ncn+단/xsn+이/jcs
장쩌민(강택민)	장쩌민/nq+(/sl+강택민/nq+)/sr
국가	국가/ncn
주석	주석/ncn
등	등/nbn
중국	중국/nq
지도자들과	지도/ncn+자/xsn+들/xsn+과/jct
회담을	회담/ncn+을/jco
갖기	갖/pvg+기/etn
위해	위하/pvg+어/ecs
10일	10/nno+일/nbu
북경에	북경/nq+에/jca
도착했다고	도착/ncpa+하/xsv+었/ep+다/ef+고/jcr
연합보가	연합보/nq+가/jcs
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
대표단은	대표/ncn+단/xsn+은/jxc
또	또/maj
본토에서	본토/ncn+에서/jca
대만	대만/nq
투자가들을	투자/ncn+가/xsn+들/xsn+을/jco
보호하기	보호/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
보장과	보장/ncn+과/jcj
양안	양안/ncn
긴장	긴장/ncn
완화	완화/ncn
문제를	문제/ncn+를/jco
위해서도	위하/pvg+어서/ecs+도/jxc
노력할	노력/ncpa+하/xsv+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
이	이/mmd
관계자는	관계/ncn+자/xsn+는/jxc
덧붙였다.	덧붙이/pvg+었/ep+다/ef+./sf
연합보는	연합보/nq+는/jxc
이	이/mmd
대표단과	대표/ncn+단/xsn+과/jcj
장쩌민	장쩌민/nq
주석	주석/ncn
등	등/nbn
중국	중국/nq
관계	관계/ncn
당국자간의	당국/ncn+자/xsn+간/nbn+의/jcm
회담도	회담/ncn+도/jxc
이미	이미/mag
주선돼	주선/ncpa+되/xsv+어/ecx
있다고	있/px+다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
리덩후이(이등휘)	리덩후이/nq+(/sl+이등휘/nq+)/sr
대만	대만/nq
총통이	총통/ncn+이/jcs
작년	작년/ncn
9월	9/nno+월/nbu
국내	국내/ncn
기업인들에게	기업/ncn+인/xsn+들/xsn+에게/jca
본토에	본토/ncn+에/jca
대한	대하/pvg+ㄴ/etm
투자를	투자/ncn+를/jco
삼가도록	삼가/pvg+도록/ecs
촉구한	촉구/ncpa+하/xsv+ㄴ/etm
이후	이후/ncn
대만	대만/nq
기업	기업/ncn
대표단이	대표/ncn+단/xsn+이/jcs
중국을	중국/nq+을/jco
찾은	찾/pvg+은/etm
것은	것/nbn+은/jxc
이번이	이/mmd+번/nbn+이/jcs
처음이다.	처음/ncn+이/jp+다/ef+./sf
지난	지나/pvg+ㄴ/etm
2월초	2/nno+월/nbu+초/ncn
자신이	자신/npp+이/jcs
돌보던	돌보/pvg+던/etm
8개월된	8/nnc+개월/nbu+되/pvg+ㄴ/etm
아기를	아기/ncn+를/jco
살해한	살해/ncpa+하/xsv+ㄴ/etm
혐의로	혐의/ncn+로/jca
종신형을	종신/ncn+형/ncn+을/jco
선고받았던	선고/ncn+받/pvg+았/ep+던/etm
영국소녀	영국/nq+소녀/ncn
루이스	nq[루이스/nq
우드워드(19)양이	우드워드/nq]nq+(/sl+19/nnc+)/sr+양/xsn+이/jcs
10일(현지시각)	10/nno+일/nbu+(/sl+현지/ncn+시각/ncn+)/sr
재심에서	재심/ncn+에서/jca
과실치사죄로	과실/ncn+치사/ncn+죄/ncn+로/jca
감형돼	감형/ncpa+되/xsv+어/ecs
석방됐다.	석방/ncpa+되/xsv+었/ep+다/ef+./sf
미국	미국/nq
매사추세츠주	매사추세츠시/nq
미들섹스	nq[미들섹스/nq
법원의	법원/ncn]nq+의/jcm
힐러	nq[힐러/nq
조벨	조벨/nq]nq
판사는	판사/ncn+는/jxc
변호인단이	변호/ncn+인/xsn+단/xsn+이/jcs
요청한	요청/ncpa+하/xsv+ㄴ/etm
재심	재심/ncn
판결에서	판결/ncn+에서/jca
그녀에게	그녀/npp+에게/jca
종전의	종전/ncn+의/jcm
2급	2/nno+급/ncn
살인죄	살인/ncn+죄/ncn
대신	대신/ncn
과실치사죄를	과실/ncn+치사/ncn+죄/ncn+를/jco
적용,	적용/ncn+,/sp
2백79일의	2백/nnc+79/nnc+일/nbu+의/jcm
형을	형/ncn+을/jco
선고했다.	선고/ncpa+하/xsv+었/ep+다/ef+./sf
그녀는	그녀/npp+는/jxc
이미	이미/mag
지난	지나/pvg+ㄴ/etm
2월말	2/nno+월/nbu+말/ncn
체포돼	체포/ncpa+되/xsv+어/ecs
형량만큼	형량/ncn+만큼/jxc
복역했기	복역/ncpa+하/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
이날	이/mmd+날/ncn
석방됐다.	석방/ncpa+되/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
검찰이	검찰/ncn+이/jcs
항소할	항소/ncpa+하/xsv+ㄹ/etm
계획이어서	계획/ncn+이/jp+어서/ecs
우드워드양의	우드워드/nq+양/xsn+의/jcm
출국은	출국/ncn+은/jxc
판사의	판사/ncn+의/jcm
허락이	허락/ncn+이/jcs
있어야	있/paa+어야/ecs
가능하다.	가능/ncps+하/xsm+다/ef+./sf
사진설명:영국인	사진/ncn+설명/ncn+:/sf+영국/nq+인/xsn
보모	보모/ncn
루이즈	nq[루이즈/nq
우드워드양이	우드워드/nq]nq+양/xsn+이/jcs
10일	10/nno+일/nbu
법정에서	법정/ncn+에서/jca
미소를	미소/ncn+를/jco
띤	띠/pvg+ㄴ/etm
채	채/nbn
변호사와	변호/ncn+사/xsn+와/jct
함께	함께/mag
앉아	앉/pvg+아/ecs
힐러	nq[힐러/nq
조벨	조벨/nq]nq
판사의	판사/ncn+의/jcm
재심	재심/ncn
판결을	판결/ncn+을/jco
기다리고	기다리/pvg+고/ecx
있다.	있/px+다/ef+./sf
<케임브리지(미매사추세츠주)=AP연합> </sl+케임브리지/nq+(/sl+미/nq+매사추세츠주                                    /nq+)/sr+=/sy+AP/f+연합/ncn+>/sr
조벨	조벨/nq
판사는	판사/ncn+는/jxc
이날	이/mmd+날/ncn
"그녀의	"/sl+그녀/npp+의/jcm
행동은	행동/ncn+은/jxc
혼란과	혼란/ncn+과/jcj
경험부족,	경험/ncn+부족/ncn+,/sp
좌절	좌절/ncn
등에서	등/nbn+에서/jca
비롯된	비롯/ncpa+되/xsv+ㄴ/etm
것이지,	것/nbn+이/jp+지/ecs+,/sp
고의라고	고의/ncn+라고/jxc
볼	보/pvg+ㄹ/etm
수	수/nbn
없다"고	없/paa+다/ef+"/sr+고/jcr
감형	감형/ncn
이유를	이유/ncn+를/jco
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
우드워드	우드워드/nq
재판은	재판/ncn+은/jxc
그동안	그/mmd+동안/ncn
미-영	미/nq+-/sd+영/nq
양국민간에는	양/mma+국민/ncn+간/nbn+에/jca+는/jxc
물론,	물론/mag+,/sp
미국내에서도	미국/nq+내/nbn+에서/jca+도/jxc
전문직	전문/ncn+직/xsn
맞벌이	맞벌이/ncn
부부의	부부/ncn+의/jcm
육아	육아/ncn
책임,	책임/ncn+,/sp
보모의	보모/ncn+의/jcm
역할	역할/ncn
등을	등/nbn+을/jco
놓고	놓/pvg+고/ecs
논란을	논란/ncn+을/jco
빚었다.	빚/pvg+었/ep+다/ef+./sf
보모단체들은	보모/ncn+단체/ncn+들/xsn+은/jxc
"이번	"/sl+이/mmd+번/nbn
재판은	재판/ncn+은/jxc
책임을	책임/ncn+을/jco
보모에게만	보모/ncn+에게/jca+만/jxc
돌리는	돌리/pvg+는/etm
'마녀사냥'"이라고	'/sl+마녀/ncn+사냥/ncn+'/sr+"/sr+이/jp+라고/jcr
주장했다.	주장/ncpa+하/xsv+었/ep+다/ef+./sf
재심결과가	재심/ncn+결과/ncn+가/jcs
알려지자,	알리/pvg+어/ecx+지/px+자/ecs+,/sp
우드워드의	우드워드/nq+의/jcm
고향인	고향/ncn+이/jp+ㄴ/etm
영국	영국/nq
엘튼에서는	엘튼/nq+에서/jca+는/jxc
마을사람들이	마을/ncn+사람/ncn+들/xsn+이/jcs
바에	바/ncn+에/jca
몰려	몰리/pvg+어/ecs
축배를	축배/ncn+를/jco
들었다.	들/pvg+었/ep+다/ef+./sf
11일	11/nno+일/nbu
CNN-유에스에이	CNN/f+-/sd+nq[유에스에이/nq
투데이-갤럽	투데이/ncn]nq+-/sd+갤럽/ncn
공동의	공동/ncn+의/jcm
미국민	미/nq+국민/ncn
여론조사에서는	여론/ncn+조사/ncn+에서/jca+는/jxc
'감형'과	'/sl+감형/ncn+'/sr+과/jcj
'석방'에	'/sl+석방/ncn+'/sr+에/jca
대한	대하/pvg+ㄴ/etm
찬성이	찬성/ncn+이/jcs
각각	각각/mag
52%,	52/nnc+%/su+,/sp
49%로	49/nnc+%/su+로/jca
나타나,	나타나/pvg+아/ecs+,/sp
엇갈린	엇갈리/pvg+ㄴ/etm
견해를	견해/ncn+를/jco
반영했다.	반영/ncpa+하/xsv+었/ep+다/ef+./sf
조벨	조벨/nq
판사는	판사/ncn+는/jxc
재심판결에	재심/ncn+판결/ncn+에/jca
쏠린	쏠리/pvg+ㄴ/etm
이목을	이목/ncn+을/jco
의식,	의식/ncn+,/sp
10일	10/nno+일/nbu
오전10시	오전/ncn+10/nno+시/nbu
인터넷을	인터넷/ncn+을/jco
이용,	이용/ncn+,/sp
판결문을	판결/ncn+문/xsn+을/jco
알릴	알리/pvg+ㄹ/etm
예정이었으나,	예정/ncn+이/jp+었/ep+으나/ecs+,/sp
그	그/mmd
시각	시각/ncn
'서버'가	'서버'/ncn+가/jcs
위치한	위치/ncpa+하/xsv+ㄴ/etm
지역의	지역/ncn+의/jcm
정전사고로	정전/ncn+사고/ncn+로/jca
'인터넷	'/sl+인터넷/ncn
판결'은	판결/ncn+'/sr+은/jxc
무산됐다.	무산/ncpa+되/xsv+었/ep+다/ef+./sf
결국	결국/mag
인터넷에는	인터넷/ncn+에/jca+는/jxc
종이	종이/ncn
판결문이	판결/nc+문/xsn+이/jcs
나돈지	나/pvg+아/ecs+돌/pvg+ㄴ지/ecs
한시간	한/nnc+시간/nbu
뒤에야	뒤/ncn+에/jca+야/jxc
등재됐다.	등재/ncpa+되/pvg+었/ep+다/ef+./sf
우드워드양은	우드워드/nq+양/xsn+은/jxc
지난	지나/pvg+ㄴ/etm
2월4일	2/nno+월/ncn+4/nno+일/nbu
자신이	자신/ncn+이/jcs
보모로	보모/ncn+로/jca
기숙한	기숙/ncpa+하/xsv+ㄴ/etm
가정의	가정/ncn+의/jcm
8개월된	8/nnc+개월/nbu+되/xsv+ㄴ/etm
유아	유아/ncn
매튜	nq[매튜/nq
이펜군을	이펜/nq]nq+군/xsn+을/jco
딱딱한	딱딱/ncps+하/xsm+ㄴ/etm
표면에	표면/ncn+에/jca
부딪히게	부딪히/pvg+게/ecx
해	하/px+어/ecs
사망케	사망/ncpa+하/xsv+게/ecx
한	하/px+ㄴ/etm
혐의로	혐의/ncn+로/jca
2월말	2/nno+월/nbu+말/ncn
체포돼	체포/ncpa+되/xsv+어/ecs
지난달	지나/pvg+ㄴ/etm+달/ncn
30일	30/nno+일/nbu
2급	2/nno+급/ncn
살인죄를	살인/ncn+죄/ncn+를/jco
선고받았다.	선고/ncn+받/pvg+았/ep+다/ef+./sf
이번	이/mmd+번/nbn
전시에는	전시/ncn+에/jca+는/jxc
이당	이당/nq
김은호	김은호/nq
문하에서	문하/ncn+에서/jca
그림을	그림/ncn+을/jco
배우던	배우/pvg+던/etm
운보가	운보/nq+가/jcs
조선미술전람회에서	nq[조선/nq+미술/ncn+전람/ncn+회/xsn]nq+에서/jca
입선,	입선/ncn+,/sp
특선하며	특선/ncpa+하/xsv+며/ecs
미술계의	미술/ncn+계/xsn+의/jcm
주목을	주목/ncn+을/jco
받던	받/pvg+던/etm
20대때부터	20/nno+대/nbu+때/nbn+부터/jxc
90년	90/nno+년/nbu
대의	대/nbu+의/jcm
작품까지	작품/ncn+까지/jxc
50여점이	50/nnc+여/xsn+점/nbu+이/jcs
선보인다.	선/ncn+보이/pvg+ㄴ다/ef+./sf
특히	특히/mag
세필로	세필/ncn+로/jca
어린이들의	어린이/ncn+들/xsn+의/jcm
얼굴을	얼굴/ncn+을/jco
사실적으로	사실/ncn+적/xsn+으로/jca
묘사한	묘사/ncpa+하/xsv+ㄴ/etm
30년대	30/nno+년/nbu+대/nbn
작품,	작품/ncn+,/sp
반추상적으로	반/xp+추상/ncn+적/xsn+으로/jca
생략된	생략/ncpa+되/xsv+ㄴ/etm
사람들을	사람/ncn+들/xsn+을/jco
그린	그리/pvg+ㄴ/etm
50년대의	50/nno+년/nbu+대/nbn+의/jcm
'해방',	'/sl+해방/ncn+'/sr+,/sp
화면을	화면/ncn+을/jco
가득	가득/mag
덮은	덮/pvg+은/etm
게가	게/ncn+가/jcs
새카맣게	새카맣/paa+게/ecx
떼를	떼/ncn+를/jco
지어	짓/pvg+어/ecs
이동하는	이동/ncpa+하/xsv+는/etm
모습을	모습/ncn+을/jco
그린	그리/pvg+ㄴ/etm
60년대의	60/nno+년대/nbu+의/jcm
'군해',	'/sl+군해/nq+'/sr+,/sp
유럽-아프리카	유럽/nq+-/sd+아프리카/nq
기행그림,	기행/ncn+그림/ncn+,/sp
신문삽화까지	신문/ncn+삽화/ncn+까지/jxc
망라됐다.	망라/ncpa+되/pvg+었/ep+다/ef+./sf
듣고	듣/pvg+고/ecc
말하지	말/ncpa+하/xsv+지/ecx
못하는	못하/px+는/etm
고통과	고통/ncn+과/jcj
설움을	설움/ncn+을/jco
온통	온통/mag
그림에	그림/ncn+에/jca
쏟아부어온	쏟/pvg+아/ecx+붓/px+어/ecx+오/px+ㄴ/etm
정열적인	정열/ncn+적/xsn+이/jp+ㄴ/etm
운보의	운보/nq+의/jcm
예술인생을	예술/ncn+인생/ncn+을/jco
만날	만나/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
두	두/nnc
곳	곳/ncn
전시장에	전시/ncn+장/xsn+에/jca
각	각/mma
시기별	시기/ncn+별/xsn
작품을	작품/ncn+을/jco
고르게	고르/paa+게/ecx
나눠	나누/pvg+어/ecs
전시한다.	전시/ncpa+하/xsv+ㄴ다/ef+./sf
사진설명:윤석남씨의	사진/ncn+설명/ncn+:/sf+윤석남/nq+씨/xsn+의/jcm
작품	작품/ncn
"999"가	nq["/sl+999/nnc+"/su]nq+가/jcs
전시장에	전시/ncn+장/xsn+에/jca
설치된	설치/ncpa+되/xsv+ㄴ/etm
모습.	모습/ncn+./sf
각기	각기/mag
다른	다르/paa+ㄴ/etm
모습의	모습/ncn+의/jcm
한국	한국/nq
여인을	여인/ncn+을/jco
그려넣은	그리/pvg+어/ecs+넣/pvg+은/etm
높이	높이/ncn
25cm짜리	25/nnc+cm/su+짜리/xsn
나무토막	나무/ncn+토막/nbu
9백99개가	9백/nnc+99/nnc+개/nbu+가/jcs
장관을	장관/ncn+을/jco
이룬다.	이루/pvg+ㄴ다/ef+./sf
타이틀도	타이틀/ncn+도/jxc
'999'--.	'999/nnc+'--/sd+./sr
"흔히	"/sl+흔히/mag
여성은	여성/ncn+은/jxc
약하다고들	약하/paa+다/ef+고/jcr+들/ecs
하잖아요.	하잖/pvg+아/ef+요/jxf+./sf
그러나	그러나/maj
저는	저/npp+는/jxc
어머니를	어머니/ncn+를/jco
봐도	보/pvg+아도/ecs
그렇고	그렇/paa+고/ecc
여성이	여성/ncn+이/jcs
강하다고	강하/paa+다/ef+고/jcr
생각해요.	생각/ncpa+하/xsv+어/ef+요/jxf+./sf
말하자면	말/ncpa+하/xsv+자면/ecs
'999'는	'/sl+999/nnc+'/sr+는/jxc
여성의	여성/ncn+의/jcm
에너지를	에너지/ncn+를/jco
집약해	집약/ncpa+하/xsv+어/ecs
보여주는	보이/pvg+어/ecx+주/px+는/etm
것이죠.	것/nbn+이/jp+죠/jxf+./sf
