<tdmsfile>


이곳에서는	이곳/npd+에서/jca+는/jxc
되도록	되도록/mag
키는	키/ncn+는/jxc
가볍고	가볍/paa+고/ecc
경쾌하게	경쾌/ncps+하/xsm+게/ecc
,	,/sp
오르간	오르간/ncn
연주가	연주/ncn+가/jcc
아닌	아니/paa+ㄴ/etm
실로폰	실로폰/ncn
연주처럼	연주/ncn+처럼/jca
짧게	짧/paa+게/ecc
끊어	끊/pvg+어/ecs
쳐야	치/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

한두	한두/nnc
개의	개/nbu+의/jcm
손가락만	손가락/ncn+만/jxc
사용하지	사용/ncpa+하/xsv+지/ecx
말고	말/px+고/ecc
,	,/sp
열	열/nnc
손가락을	손가락/ncn+을/jco
다	다/mag
사용해야	사용/ncpa+하/xsv+어야/ecs
힘도	힘/ncn+도/jxc
덜	덜/mag
들고	들/pvg+고/ecc
효율적입니다	효율/ncn+적/xsn+이/jp+ㅂ니다/ef
.	./sf

흔히	흔히/mag
말하듯이	말/ncpa+하/xsv+듯이/ecs
`	`/sl
자세	자세/ncn
`	`/sr
가	가/jcs
중요합니다	중요/ncps+하/xsm+ㅂ니다/ef
.	./sf

일반적으로	일반/ncn+적/xsn+으로/jca
눈과	눈/ncn+과/jcj
화면사이의	화면/ncn+사이/ncn+의/jcm
거리는	거리/ncn+는/jxc
45	45/nnc
-	-/sd
55	55/nnc
cm	cm/su
정도	정도/nbn
되어야	되/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

키를	키/ncn+를/jco
칠	치/pvg+ㄹ/etm
때의	때/ncn+의/jcm
유의	유의/jcm
사항은	사항/ncn+은/jxc
팔과	팔/ncn+과/jcj
손을	손/ncn+을/jco
거의	거의/mag
일직선으로	일직선/ncn+으로/jca
유지시켜야	유지/ncpa+시키/xsv+어야/ecs
한다는	하/pvg+ㄴ다/ef+는/etm
점입니다	점/ncn+이/jp+ㅂ니다/ef
.	./sf

사용하고	사용/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
소프트웨어에	소프트웨어/ncn+에/jca
따라	따르/pvg+아/ecs
다소	다소/mag
차이는	차이/ncn+는/jxc
있으나	있/paa+으나/ecs
,	,/sp
대략	대략/mag
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
역할을	역할/ncn+을/jco
합니다	하/pvg+ㅂ니다/ef
.	./sf

우리들이	우리/npp+들/xsn+이/jcs
`	`/sl
컴퓨터를	컴퓨터/ncn+를/jco
사용해서	사용/ncpa+하/xsv+어서/ecs
일을	일/ncn+을/jco
끝마쳤다	끝/ncn+마치/pvg+었/ep+다/ef
`	`/sr
는	는/etm
말을	말/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
,	,/sp
`	`/sl
딱딱한	딱딱하/paa+ㄴ/etm
기계	기계/ncn
`	`/sr
(	(/sl
Hardware	Hardware/f
)	)/sr
와	와/jcj
이를	이/npd+를/jco
돕는	돕/pvg+는/etm
`	`/sl
말랑말랑한	말랑말랑/mag+하/xsm+ㄴ/etm
프로그램	프로그램/ncn
`	`/sr
(	(/sl
Software	Software/f
)	)/sr
을	을/jco
함께	함께/mag
사용해야	사용/ncpa+하/xsv+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

소프트웨어란	소프트웨어/ncn+란/jxc
흔히	흔히/mag
하드웨어와	하드웨어/ncn+와/jct
대비하여	대비/ncpa+하/xsv+여/ecs
많이	많/paa+이/xsa
쓰는	쓰/pvg+는/etm
말입니다	말/ncn+이/jp+ㅂ니다/ef
.	./sf

단순히	단순/ncn+히/xsa
프로그램이라는	프로그램/ncn+이/jp+라/ef+는/etm
뜻으로	뜻/ncn+으로/jca
사용되기도	사용/ncpa+되/xsv+기/etn+도/jxc
하지만	하/pvg+지만/ecs
,	,/sp
작동방법과	작동/ncn+방법/ncn+과/jcj
절차	절차/ncn
,	,/sp
관련된	관련/ncpa+되/xsv+ㄴ/etm
지식들	지식/ncn+들/xsn
모두를	모두/ncn+를/jco
아울러	아우르/pvg+어/ecs
뜻하는	뜻/ncpa+하/xsv+는/etm
셈이지요	셈/nbn+이/jp+지/ef+요/jxf
.	./sf

뒤에서	뒤/ncn+에서/jca
다시	다시/mag
설명하겠지만	설명/ncpa+하/xsv+겠/ep+지만/ecs
,	,/sp
소프트웨어란	소프트웨어/ncn+란/jxc
(1	(/sl+1/nnc
)	)/sr
하드웨어를	하드웨어/ncn+를/jco
움직이게	움직이/pvg+게/ecc
만드는	만들/pvg+는/etm
운용	운용/ncn
프로그램과	프로그램/ncn+과/jcj
,	,/sp
(2	(/sl+2/nnc
)	)/sr
그	그/mmd
결과	결과/ncn
움직인	움직이/pvg+ㄴ/etm
하드웨어를	하드웨어/ncn+를/jco
다시	다시/mag
어떤	어떤/mmd
일을하도록	일/ncn+을/jco+하/pvg+도록/ecs
시키는	시키/pvg+는/etm
프로그램으로	프로그램/ncn+으로/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf

하드웨어니	하드웨어/ncn+니/jcj
소프트웨어니	소프트웨어/ncn+니/jcj
무슨	무슨/mmd
홈웨어	홈웨어/ncn
같은	같/paa+은/etm
옷	옷/ncn
종류인가	종류/ncn+이/jp+ㄴ가/ef
보다	보/px+다/ef
했다가	하/px+었/ep+다가/ecs
뜻밖에	뜻/ncn+밖에/jxc
어려운	어렵/paa+ㄴ/etm
설명이	설명/ncn+이/jcs
나오니	나오/pvg+니/ecs
조금	조금/mag
곤혹스러운	곤혹/ncn+스럽/xsm+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

하드웨어가	하드웨어/ncn+가/jcs
눈에	눈/ncn+에/jca
보이는	보이/pvg+는/etm
장치들을	장치/ncn+들/xsn+을/jco
뜻한다면	뜻/ncpa+하/xsv+ㄴ다/ef+면/ecs
,	,/sp
소프트웨어란	소프트웨어/ncn+란/jxc
눈에	눈/ncn+에/jca
안	안/mag
보이는	보이/pvg+는/etm
명령들의	명령/ncn+들/xsn+의/jcm
모음을	모음/ncn+을/jco
말합니다	말/ncpa+하/xsv+ㅂ니다/ef
.	./sf

그렇다면	그렇다면/maj
프로그램은	프로그램/ncn+은/jxc
눈에	눈/ncn+에/jca
안	안/mag
보이는	보이/pvg+는/etm
명령어의	명령/ncn+어/xsn+의/jcm
모음이라고	모음/ncn+이/jp+라/ef+고/jcr
정의하면	정의/ncpa+하/xsv+면/ecs
앞뒤가	앞뒤/ncn+가/jcs
꼭꼭	꼭꼭/mag
들어맞지요	들어맞/pvg+지/ef+요/jxf
?	?/sf

여기서는	여기/npd+서/jca+는/jxc
먼저	먼저/mag
하드웨어에	하드웨어/ncn+에/jca
대해서	대하/pvg+어서/ecs
알아보기로	알/pvg+아/ecx+보/px+기/etn+로/jca
하겠습니다	하/pvg+겠/ep+습니다/ef
.	./sf

그러니까	그러니까/maj
필요에	필요/ncn+에/jca
따라서는	따르/pvg+아서/ecs+는/jxc
각	각/mma
장치	장치/ncn
부문마다	부문/ncn+마다/jxc
새로운	새롭/paa+ㄴ/etm
기기들을	기기/ncn+들/xsn+을/jco
계속해서	계속/ncpa+하/xsv+어서/ecs
덧붙일	덧붙이/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
말이지요	말/ncn+이/jp+지/ef+요/jxf
.	./sf

*	*/sy
Scanner	Scanner/f
:	:/sp
어떤	어떤/mmd
대상을	대상/ncn+을/jco
화면으로	화면/ncn+으로/jca
처리하여	처리/ncpa+하/xsv+여/ecs
입력하는	입력/ncpa+하/xsv+는/etm
장치임	장치/ncn+이/jp+ㅁ/etn
.	./sf

*	*/sy
Joystick	Joystick/f
:	:/sp
쉽게	쉽/paa+게/xsa
게임이나	게임/ncn+이나/jcj
오락을	오락/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
고안된	고안/ncpa+되/xsv+ㄴ/etm
장치임	장치/ncn+이/jp+ㅁ/etn
.	./sf

이	이/mmd
세	세/nnc
가지	가지/nbu
역할을	역할/ncn+을/jco
통틀어서	통틀/pvg+어서/ecs
처리	처리/ncn
라는	라/ef+는/etm
말로	말/ncn+로/jca
표현하는	표현/ncpa+하/xsv+는/etm
셈입니다	셈/nbn+이/jp+ㅂ니다/ef
.	./sf

그러므로	그러므로/maj
정리하자면	정리/ncpa+하/xsv+자/ef+면/ecs
,	,/sp
본체는	본체/ncn+는/jxc
사람의	사람/ncn+의/jcm
뇌와	뇌/ncn+와/jct
같이	같/paa+이/xsa
기억하고	기억/ncpa+하/xsv+고/ecc
,	,/sp
계산도	계산/ncn+도/jxc
하고	하/pvg+고/ecc
,	,/sp
각	각/mma
부분들을	부분/ncn+들/xsn+을/jco
명령대로	명령/ncn+대로/jca
움직이게	움직이/pvg+게/ecx
하는	하/px+는/etm
중추적인	중추/ncn+적/xsn+이/jp+ㄴ/etm
역할을	역할/ncn+을/jco
합니다	하/pvg+ㅂ니다/ef
.	./sf

어쩌면	어쩌면/mag
본체	본체/ncn
내부에	내부/ncn+에/jca
대한	대하/pvg+ㄴ/etm
설명은	설명/ncn+은/jxc
컴퓨터를	컴퓨터/ncn+를/jco
처음	처음/mag
대하는	대하/pvg+는/etm
사람들에게	사람/ncn+들/xsn+에게/jca
흥미보다는	흥미/ncn+보다/jca+는/jxc
오히려	오히려/mag
두려움을	두렵/paa+ㅁ/etn+을/jco
갖게	갖/pvg+게/ecx
만들는지도	만들/px+는지/ecs+도/jxc
모릅니다	모르/pvg+ㅂ니다/ef
.	./sf

읽다가	읽/pvg+다가/ecs
어려우면	어렵/paa+으면/ecs
뒤로	뒤/ncn+로/jca
훌쩍훌쩍	훌쩍훌쩍/mag
건너뛰며	건너/pvg+어/ecs+뛰/pvg+며/ecs
읽어도	읽/pvg+어도/ecs
좋습니다	좋/paa+습니다/ef
.	./sf

자동차	자동/ncn+차/ncn
운전을	운전/ncn+을/jco
하기	하/pvg+기/etn
위해서	위하/pvg+어서/ecs
자동차	자동/ncn+차/ncn
부품을	부품/ncn+을/jco
일일이	일일이/mag
알아야	알/pvg+아야/ecs
할	하/pvg+ㄹ/etm
필요는	필요/ncn+는/jxc
없을	없/paa+을/etm
테니까요	터/nbn+이/jp+니까/ecs+요/jxf
.	./sf

하지만	하지만/maj
전혀	전혀/mag
모른	모르/pvg+ㄴ/etm
것보다는	것/nbn+보다/jca+는/jxc
최소한	최소/ncps+하/xsm+ㄴ/etm
부품들의	부품/ncn+들/xsn+의/jcm
이름만이라도	이름/ncn+만/jxc+이/jp+라도/jxc
알아두면	알/pvg+아/ecx+두/px+면/ecs
좋기야	좋/paa+기/etn+야/jxc
좋지요	좋/paa+지/ef+요/jxf
.	./sf

고장난	고장/ncn+나/pvg+ㄴ/etm
차를	차/ncn+를/jco
끌고	끌/pvg+고/ecc
정비소에	정비/ncn+소/xsn+에/jca
가더라도	가/pvg+더라도/ecs
좀	좀/mag
아는	알/pvg+는/etm
척을	척/nbn+을/jco
해야	하/pvg+어야/ecs
싸게	싸/pvg+게/ecx
고치지요	고치/pvg+지/ef+요/jxf
.	./sf

1	1/nno
전원	전원/ncn
공급	공급/ncn
장치	장치/ncn
(	(/sl
Power	Power/f
Supply	Supply/f
)	)/sr
제아무리	제/npp+아무리/mag
좋은	좋/paa+은/etm
컴퓨터도	컴퓨터/ncn+도/jxc
전기가	전기/ncn+가/jcs
흐르지	흐르/pvg+지/ecx
않으면	않/px+으면/ecs
꿈쩍도	꿈쩍/ncn+도/jxc
안	안/mag
합니다	하/pvg+ㅂ니다/ef
.	./sf

그러므로	그러므로/maj
컴퓨터	컴퓨터/ncn
내부에	내부/ncn+에/jca
전원을	전원/ncn+을/jco
공급해	공급/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
`	`/sl
전원	전원/ncn
공급	공급/ncn
장치	장치/ncn
(	(/sl
Power	Power/f
Supply	Supply/f
)`	)/sr+`/sl
가	가/jcs
반드시	반드시/mag
있어야	있/paa+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

컴퓨터가	컴퓨터/ncn+가/jcs
작동이	작동/ncn+이/jcc
되면	되/pvg+면/ecs
뒤에서	뒤/ncn+에서/jca
`	`/sl
윙	윙/mag
`	`/sr
하는	하/pvg+는/etm
소리가	소리/ncn+가/jcs
들리는데	들리/pvg+는데/ecs
이것이	이것/npd+이/jcs
바로	바로/mag
전원	전원/ncn
공급	공급/ncn
장치에	장치/ncn+에/jca
있는	있/paa+는/etm
냉각	냉각/ncn
팬이	팬/ncn+이/jcs
돌아가는	돌/pvg+아/ecx+가/px+는/etm
소리랍니다	소리/ncn+라/ef+ㅂ니다/ef
.	./sf

전원	전원/ncn
공급	공급/ncn
장치는	장치/ncn+는/jxc
일반	일반/ncn
가정에	가정/ncn+에/jca
들어오는	들/pvg+어/ecs+오/pvg+는/etm
교류	교류/ncn
전원을	전원/ncn+을/jco
직류	직류/ncn
전원	전원/ncn
(	(/sl
보통	보통/ncn
5	5/nnc
V	V/su
또는	또는/maj
12	12/nnc
V	V/su
)	)/sr
으로	으로/jca
바꾸어	바꾸/pvg+어/ecs
각	각/mma
기판에	기판/ncn+에/jca
공급해	공급/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
역할을	역할/ncn+을/jco
맡아	맡/pvg+아/ecc
합니다	하/pvg+ㅂ니다/ef
.	./sf

따라서	따라서/maj
이	이/mmd
장치가	장치/ncn+가/jcs
불안정하면	불/xp+안정/ncpa+하/xsv+면/ecs
컴퓨터가	컴퓨터/ncn+가/jcs
자주	자주/mag
서게	서/pvg+게/ecs
(	(/sl
down	down/f
)	)/sr
되므로	되/pvg+므로/ecs
,	,/sp
충분한	충분/ncps+하/xsm+ㄴ/etm
수용량을	수용/ncn+량/ncn+을/jco
가진	가지/pvg+ㄴ/etm
안전한	안전/ncps+하/xsm+ㄴ/etm
공급기를	공급/ncn+기/xsn+를/jco
사용해야	사용/ncpa+하/xsv+어야/ecs
되겠지요	되/pvg+겠/ep+지/ef+요/jxf
.	./sf

마치	마치/mag
우물	우물/ncn
안을	안/ncn+을/jco
들여다보듯	들여다보/pvg+듯/ecs
자세히	자세/ncn+히/xsa
보면	보/pvg+면/ecs
여러	여러/mma
개의	개/nbu+의/jcm
기판	기판/ncn
(	(/sl
Card	Card/f
)	)/sr
들이	들/xsn+이/jcs
수직으로	수직/ncn+으로/jca
꽂혀	꽂히/pvg+어/ecx
있는	있/px+는/etm
큼직한	큼직/ncps+하/xsm+ㄴ/etm
평판이	평판/ncn+이/jcs
눈에	눈/ncn+에/jca
뜨입니다	뜨이/pvg+ㅂ니다/ef
.	./sf

이	이/mmd
엄마	엄마/ncn
보드는	보드/ncn+는/jxc
다른	다르/paa+ㄴ/etm
기판들을	기판/ncn+들/xsn+을/jco
마치	마치/mag
어머니	어머니/ncn
처럼	처럼/jca
보살피며	보살피/pvg+며/ecc
,	,/sp
인간의	인간/ncn+의/jcm
머리와	머리/nbn+와/jct
같은	같/paa+은/etm
역할을	역할/ncn+을/jco
합니다	하/pvg+ㅂ니다/ef
.	./sf

바로	바로/mag
그것이	그것/npd+이/jcs
컴퓨터의	컴퓨터/ncn+의/jcm
두뇌라	두뇌/paa+라/ef
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
`	`/sl
중앙	중앙/ncn
처리	처리/ncn
장치	장치/ncn
(	(/sl
CPU	CPU/f
:	:/sp
Central	Central/f
Processing	Processing/f
Unit	Unit/f
)`	)/sr+`/sr
랍니다	라/ef+ㅂ니다/ef
.	./sf

알아두면	알/pvg+아/ecx+두/px+면/ecs
좋지요	좋/paa+지/ef+요/jxf
우리가	우리/npp+가/jcs
쓰는	쓰/pvg+는/etm
컴퓨터는	컴퓨터/ncn+는/jxc
CPU	CPU/f
가	가/jcs
하나의	하나/nnc+의/jcm
집적	집적/ncn
회로	회로/ncn
(	(/sl
IC	IC/f
:	:/sp
Integrated	Integrated/f
Circuit	Circuit/f
)	)/sr
로	로/jca
이루어져	이루/pvg+어/ecx+지/px+어/ecx
있는데	있/px+는데/ecs
,	,/sp
이처럼	이/npd+처럼/jca
하나의	하나/ncn+의/jcm
IC	IC/f
로	로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
CPU	CPU/f
를	를/jco
`	`/sl
마이크로프로세서	마이크로프로세서/ncn
(	(/sl
Microprocessor	Microprocessor/f
)`	)/sr+`/sr
라고	라고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf

마이크로프로세서는	마이크로프로세서/ncn+는/jxc
컴퓨터의	컴퓨터/ncn+의/jcm
CPU	CPU/f
로	로/jca
이용될	이용/ncpa+되/xsv+ㄹ/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
프린터나	프린터/ncn+나/jcj
디스크	디스크/ncn
장치	장치/ncn
,	,/sp
단말기	단말/ncn+기/xsn
등에	등/nbn+에/jca
두루	두루/mag
사용됩니다	사용/ncpa+되/xsv+ㅂ니다/ef
.	./sf

`	`/sl
주기억	주/mma+기억/ncn
장치	장치/ncn
`	`/sr
를	를/jco
찾아야	찾/pvg+아야/ecs
하니까요	하/pvg+니까/ef+요/jxf
.	./sf

이	이/mmd
칩들을	칩/ncn+들/xsn+을/jco
`	`/sl
램	램/ncn
(	(/sl
RAM	RAM/f
:	:/sp
Random	Random/f
Access	Access/f
Memory	Memory/f
)`	)/sr+`/sr
이라고	이/jp+라/ef+고/jcr
부르는데	부르/pvg+는데/ecs
,	,/sp
CPU	CPU/f
가	가/jcs
직접적으로	직접/ncn+적/xsn+으로/jca
처리할	처리/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
기억	기억/ncn
장치로서	장치/ncn+로서/jca
작업에	작업/ncn+에/jca
필요한	필요/ncpa+하/xsv+ㄴ/etm
정보를	정보/ncn+를/jco
저장해	저장/ncpa+하/xsv+어/ecx
둡니다	두/px+ㅂ니다/ef
.	./sf

하지만	하지만/maj
이	이/mmd
램이라는	램/ncn+이/jp+라/ef+는/etm
장치는	장치/ncn+는/jxc
전기가	전기/ncn+가/jcs
끊어지면	끊/pvg+어/ecx+지/px+면/ecs
갖고	갖/pvg+고/ecx
있던	있/px+던/etm
정보들이	정보/ncn+들/xsn+이/jcs
모두	모두/mag
소실되는	소실/ncpa+되/xsv+는/etm
특성이	특성/ncn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf

그래서	그래서/maj
오래	오래/mag
기억해야	기억/ncpa+하/xsv+어야/ecs
할	하/pvg+ㄹ/etm
정보들은	정보/ncn+들/xsn+은/jxc
`	`/sl
보조	보조/ncn
기억	기억/nnc
장치	장치/ncn
`	`/sr
에	에/jca
옮겨놓아야	옮기/pvg+어/ecx+놓/px+아야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

롬은	롬/ncn+은/jxc
램과	램/ncn+과/jct
달리	다르/paa+이/xsa
저장된	저장/ncpa+되/xsv+ㄴ/etm
내용은	내용/ncn+은/jxc
하되	하/pvg+되/ecs
변경할	변경/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
특징이	특징/ncn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf

그리고	그리고/maj
역시	역시/mag
램과는	램/ncn+과/jcj+는/jxc
달리	다르/paa+이/xsa
전원이	전원/ncn+이/jcs
끊어져도	끊어지/pvg+어도/ecs
그	그/mmd
내용이	내용/ncn+이/jcs
남아	남/pvg+아/ecx
있으므로	있/px+으므로/ecs
,	,/sp
주로	주로/mag
시스템이	시스템/ncn+이/jcs
항상	항상/mag
기억하고	기억/ncpa+하/xsv+고/ecx
있어야	있/px+어야/ecs
하는	하/pvg+는/etm
부분들을	부분/ncn+들/xsn+을jco
저장하는	저장/ncpa+하/xsv+는/etm
목적으로	목적/ncn+으로/jca
사용됩니다	사용/ncpa+되/xsv+ㅂ니다/ef
.	./sf

출력	출력/ncn
장치를	장치/ncn+를/jco
사용하게	사용/ncpa+하/xsv+게/ecs
되는데	되/pvg+는데/ecs
여러분이	여러분/npp+이/jcs
컴퓨터를	컴퓨터/ncn+를/jco
켰을	켜/pvg+었/ep+을/etm
때	때/ncn
처음	처음/ncn
화면에	화면/ncn+에/jca
나오는	나오/pvg+는/etm
메시지들은	메시지/ncn+들/xsn+은/jxc
바로	바로/mag
그	그/mmd
제품을	제품/ncn+을/jco
만든	만들/pvg+ㄴ/etm
회사에서	회사/ncn+에서/jca
미리	미리/mag
롬에	롬/ncn+에/jca
저장시켜	저장/ncpa+시키/xsv+어/ecx
놓은	놓/px+은/etm
기본	기본/ncn
자료들인	자료/ncn+들/xsn+이/jp+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

출력	출력/ncn
장치를	장치/ncn+를/jco
사용하게	사용/ncpa+하/xsv+게/ecx
되는데	되/pvg+는데/ecs
,	,/sp
이때는	이/mmd+때/ncn+는/jxc
하나의	하나/nnc+의/jcm
장치에	장치/ncn+에/jca
하나의	하나/nnc+의/jcm
기판이	기판/ncn+이/jcs
필요하게	필요/ncps+하/xsm+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
컴퓨터	컴퓨터/ncn
음악을	음악/ncn+을/jco
연주하기	연주/ncpa+하/xsv+기/etn
원한다면	원하/pvg+ㄴ다/ef+면/ecs
,	,/sp
그러한	그러하/pad+ㄴ/etm
기능을	기능/ncn+을/jco
가진	가지/pvg+ㄴ/etm
기판을	기판/ncn+을/jco
엄마	엄마/ncn
보드에	보드/ncn+에/jca
연결시켜	연결/ncpa+시키/xsv+어/ecc
컴퓨터	컴퓨터/ncn
시스탬을	시스탬/ncn+을/jco
다시	다시/mag
짜야	짜/pvg+야/ecs
하겠지요	하/pvg+겠/ep+지/ef+요/jxf
.	./sf

그러므로	그러므로/maj
마더보드에는	마더보드/ncn+에/jca+는/jxc
다른	다르/paa+ㄴ/etm
기판을	기판/ncn+을/jco
꽂을	꽂/pvg+을/etm
수	수/nbn
있는	있/paa+는/etm
옴폭한	옴폭/ncps+하/xsm+ㄴ/etm
부분이	부분/ncn+이/jcs
만들어져	만들/pvg+어/ecx+지/px+어/ecx
있어야	있/px+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

이	이/mmd
움푹한	움푹/ncps+하/xsm+ㄴ/etm
부분을	부분/ncn+을/jco
대개	대개/mag
`	`/sl
슬롯	슬롯/ncn
(	(/sl
Slot	Slot/f
)`	)/sr+`/sr
이라고	이/jp+라/ef+고/jcr
부릅니다	부르/pvg+ㅂ니다/ef
.	./sf

통상	통상/mag
8	8/nnc
개의	개/nbu+의/jcm
슬롯이	슬롯/ncn+이/jcs
마더보드에	마더보드/ncn+에/jca
있는데	있/paa+는데/ecs
,	,/sp
제품에	제품/ncn+에/jca
따라	따르/pvg+아/ecs
다소	다소/mag
차이가	차이/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf

어떤	어떤/mmd
컴퓨터	컴퓨터/ncn
(	(/sl
마더보드	마더보드/ncn
)	)/sr
는	는/jxc
3	3/nnc
-	-/sd
4	4/nnc
개의	개/nbu+의/jcm
슬롯을	슬롯/ncn+을/jco
갖기도	갖/pvg+기/etn+도/jxc
하는데	하/pvg+는데/ecs
,	,/sp
슬롯은	슬롯/ncn+은/jxc
여러	여러/mma
개의	개/nbu+의/jcm
호가장	호가장/ncn
장치를	장치/ncn+를/jco
꽂을	꽂/pvg+을/etm
수	수/nbn
있으므로	있/paa+으므로/jca
아무래도	아무렇/pad+어도/ecs
많을수록	많/paa+을수록/ecs
좋습니다	좋/paa+습니다/ef
.	./sf

본체	본체/ncn
내부를	내부/ncn+를/jco
들여다보면	들여다보/pvg+면/ecs
앞쪽에	앞/ncn+쪽/nbn+에/jca
상자	상자/ncn
같은	같/paa+은/etm
모양의	모양/ncn+의/jcm
`	`/sl
플로피	플로피/ncn
디스크	디스크/ncn
드라이브	드라이브/ncn
(	(/sl
FDD	FDD/f
:	:/sp
Floppy	Floppy/f
Disk	Disk/f
Drive	Drive/f
)`	)/sr+`/sr
와	와/jcj
`	`/sl
하드	하드/ncn
디스크	디스크/ncn
드라이브	드라이브/ncn
(	(/sl
HDD	HDD/f
:	:/sp
Hard	Hard/f
Disk	Disk/f
Drive	Drive/f
)`	)/sr+`/sr
가	가/jcs
있습니다	있/paa+습니다/ef
.	./sf

플로피	플로피/ncn
디스크	디스크/ncn
드라이브는	드라이브/ncn+는/jxc
여러	여러/mma
장의	장/nbu+의/jcm
디스켓을	디스켓/ncn+을/jco
넣었다	넣/pvg+었/ep+다/ecc
뺐다	빼/pvg+었/ep+다/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
앞쪽에	앞/ncn+쪽/nbn+에/jca
홈이	홈/ncn+이/jcs
패어	패이/pvg+어/ecx
있으며	있/px+으며/ecs
버튼	버튼/ncn
또는	또는/maj
레버가	레버/ncn+가/jcs
달려	달리/pvg+어/ecx
있습니다	있/paa+습니다/ef
.	./sf

하드	하드/ncn
디스크	디스크/ncn
드라이브는	드라이브/ncn+는/jxc
아예	아예/mag
하드	하드/ncn
디스크와	디스크/ncn+와/jct
붙어	붙/pvg+어/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
별도로	별도/ncn+로/jca
그런	그런/mmd
장치가	장치/ncn+가/jcs
없습니다	없/paa+습니다/ef
.	./sf

플로피	플로피/ncn
디스크	디스크/ncn
드라이브는	드라이브/ncn+는/jxc
,	,/sp
디스켓을	디스켓/ncn+을/jco
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
회전시키면서	회전/ncpa+시키/xsv+면서/ecc
원하는	원하/pvg+는/etm
정보를	정보/ncn+를/jco
찾거나	찾/pvg+거나/ecc
,	,/sp
비어	비/paa+어/ecx
있는	있/px+는/etm
곳을	곳/ncn+을/jco
찾아	찾/pvg+아/ecs
정보를	정보/ncn+를/jco
저장해	저장/ncpa+하/xsv+어/ecx
줍니다	주/px+ㅂ니다/ef
.	./sf

하드	하드/ncn
디스크	디스크/ncn
드라이브도	드라이브/ncn+도/jxc
역시	역시/mag
하드	하드/ncn
디스크를	디스크/ncn+를/jco
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
회전시키면서	회전/ncpa+시키/xsv+면서/ecs
정보를	정보/ncn+를/jco
입수합니다	입수/ncpa+하/xsv+ㅂ니다/ef
.	./sf

알아두면	알/pvg+아/ecx+두/px+면/ecs
좋지요	좋/paa+지/ef+요/jxf
앞으로	앞/ncn+으로/jca
디스크	디스크/ncn
(	(/sl
Disk	Disk/f
)	)/sr
와	와/jcj
디스켓	디스켓/ncn
(	(/sl
Diskette	Diskette/f
)	)/sr
이라는	이/jp+라/ef+는/etm
말이	말/ncn+이/jcs
뒤섞여	뒤섞이/pvg+어/ecx
있는	있/px+는/etm
곳을	곳/ncn+을/jco
종종	종종/mag
보시게	보/pvg+시/ep+게/ecs
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

그런데	그런데/maj
미국의	미국/nq+의/jcm
한	한/nnc
디스크	디스크/ncn
판매	판매/ncn
회사에서	회사/ncn+에서/jca
자사의	자사/ncn+의/jcm
상품을	상품/ncn+을/jco
광고하는	광고/ncpa+하/xsv+는/etm
가운데	가운데/ncn
디스크라는	디스크/ncn+라/ef+는/etm
말	말/ncn
대신	대신/ncn
작고	작/paa+고/ecx
