<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0146.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0146.txt </filename>
<title>정보화사회와 글로벌도시  </title>
<author>원제무, 박용훈 공저  </author>
<date> 1993 </date>
<publisher>박영사  </publisher>
<kdc>331.541  </kdc>
<ddc> 303.483 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
국제환경	국제/ncn+환경/ncn
주택부지로	주택/ncn+부지/ncn+로/jca
운반되어	운반/ncpa+되/xsv+어/ecs
올	오/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
주택의	주택/ncn+의/jcm
조립은	조립/ncn+은/jxc
공장에서	공장/ncn+에서/jca
지원하는	지원/ncpa+하/xsv+는/etm
기술자들이	기술/ncn+자/xsn+들/xsn+이/jcs
수행할	수행/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있지만	있/paa+지만/ecs
경우에	경우/ncn+에/jca
따라서는	따르/pvg+아서는/ecs
가족들이	가족/ncn+들/xsn+이/jcs
매뉴를	매뉴/ncn+를/jco
보면서	보/pvg+면서/ecc
조립할	조립/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
주택이	주택/ncn+이/jcs
완성되면	완성/ncpa+되/xsv+면/ecs
전문가로	전문/ncn+가/xsn+로/jca
구성된	구성/ncpa+되/xsv+ㄴ/etm
진단팀이	진단/ncn+팀/ncn+이/jcs
방문해서	방문/ncpa+하/xsv+어서/ecs
기능이	기능/ncn+이/jcs
제대로	제대로/mag
작동되는가를	작동/ncpa+되/xsv+는가/ef+를/jco
테스트하여	테스트/ncpa+하/xsv+어/ecx
이상유무를	이상/ncn+유무/ncn+를/jco
점검할	점검/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
주택의	주택/ncn+의/jcm
형태는	형태/ncn+는/jcs
몇	몇/nnc
가지	가지/nbu
타입으로	타입/ncn+으로/jca
정형화되어	정형/ncn+화/xsn+되/xsv+어/ecx
있지만	있/px+지만/ecs
가족들의	가족/ncn+들/xsn+의/jcm
요구에	요구/ncn+에/jca
따라	따르/pvg+아/ecs
공장에서	공장/ncn+에서/jca
부분적인	부분/ncn+적/xsn+이/jp+ㄴ/etm
수정이	수정/ncn+이/jcs
가능하다	가능/ncpa+하/xsv+다/ef
.	./sf
주택의	주택/ncn+의/jcm
재료는	재료/ncn+는/jxc
내구성이	내구/ncn+성/xsn+이/jcs
강하고	강하/paa+고/ecc
방화	방화/ncn
,	,/sp
방음	방음/ncn
,	,/sp
방온	방온/ncn
,	,/sp
방청효과가	방청/ncn+효과/ncn+가/jcs
뛰어난	뛰어나/paa+ㄴ/etm
신소재로	신/xp+소재/ncn+로/jca
대체되며	대체/ncpa+되/xsv+며/ecc
에너지	에너지/ncn
생산을	생산/ncn+을/jco
위해	위하/pvg+어/ecx
특수유리창이	특수/ncn+유리창/ncn+이/jcs
사용된다	사용/ncpa+되/xsv+ㄴ다/ef
.	./sf
미래의	미래/ncn+의/jcm
주택은	주택/ncn+은/jcs
조립은	조립/ncn+은/jxc
용이하지만	용이/ncps+하/xsm+지만/ecs
각	각/mma
부문에서	부문/ncn+에서/jca
이상이	이상/ncn+이/jcs
생겼을	생기/pvg+었/ep+을/etm
경우	경우/ncn
이것을	이것/npd+을/jco
수리하는	수리/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
쉬운	쉽/paa+ㄴ/etm
일이	일/ncn+이/jcc
아니다	아니/paa+다/ef
.	./sf
이것은	이것/npd+은/jxc
마치	마치/mag
퍼스널컴퓨터의	퍼스널컴퓨터/ncn+의/jcm
칩을	칩/ncn+을/jco
어린이가	어린이/ncn+가/jcs
교환하여	교환/ncpa+하/xsv+어/ecx
사용할	사용/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
있지만	있/paa+지만/ecs
칩	칩/ncn
자체의	자체/ncn+의/jcm
이상을	이상/ncn+을/jco
고칠	고치/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
경우와	경우/ncn+와/jct
같은	같/paa+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
주택의	주택/ncn+의/jcm
일부가	일부/ncn+가/jcs
이상으로	이상/ncn+으로/jca
제	제/npp
기능을	기능/ncn+을/jco
다하지	다하/pvg+지/ecx
못할	못하/px+ㄹ/etm
경우는	경우/ncn+는/jxc
주택을	주택/ncn+을/jco
건설한	건설/ncpa+하/xsv+ㄴ/etm
회사에	회사/ncn+에/jca
주택의	주택/ncn+의/jcm
시공년도와	시공/ncn+년도/ncn+와/jcj
모델명을	모델/ncn+명/xsn+을/jco
통보하여	통보/ncpa+하/xsv+어/ecx
교환을	교환/ncn+을/jco
요청하는	요청/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
가장	가장/mag
바람직하다	바람직/ncps+하/xsm+다/ef
.	./sf
전문	전문/ncn
수리공을	수리/ncn+공/xsn+을/jco
불러	불/pvg+러/ecs
높은	높/paa+은/etm
인건비를	인건/ncn+비/xsn+를/jco
주어가며	주/pvg+어/ecx+가/px+며/ecc
수리를	수리/ncn+를/jco
하느니	하/pvg+느니/ecc
대량생산되어	대량/ncn+생산/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
제품을	제품/ncn+을/jco
저렴한	저렴/ncps+하/xsm+ㄴ/etm
가격으로	가격/ncn+으로/jca
구입하여	구입/ncpa+하/xsv+어/ecx
교체하는	교체/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
신속하고	신속/ncps+하/xsm+고/ecx
오래가기	오래/paa+가/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
주택의	주택/ncn+의/jcm
수리는	수리/ncn+는/jxc
작게는	작/paa+게/ecs+는/jxc
문짝의	문짝/ncn+의/jcm
수리에서부터	수리/ncn+에서/jca+부터/jxc
화장실과	화장/ncn+실/xsn+과/jcj
거실의	거실/ncn+의/jcm
교체까지	교체/ncn+까지/jxc
커질	크/paa+어/ecx+지/px+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
교체된	교체/ncpa+되/xsv+ㄴ/etm
주택의	주택/ncn+의/jcm
일부는	일부/ncn+는/jxc
고장난	고장/ncn+나/pvg+ㄴ/etm
자동차나	자동/ncn+차/ncn+나/jcj
텔레비전을	텔레비전/ncn+을/jco
버리듯	버리/pvg+듯/ecs
별도의	별도/ncn+의/jcm
처리비용을	처리/ncn+비용/ncn+을/jco
지불하고	지불/ncpa+하/xsv+고/ecx
내다버리면	내/pvg+어다/ecs+버리/pvg+면/ecs
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
미래의	미래/ncn+의/jcm
주택은	주택/ncn+은/jxc
사람들의	사람/ncn+들/xsn+의/jcm
다양한	다양/ncps+하/xsm+ㄴ/etm
욕구를	욕구/ncn+를/jco
수용하고	수용/ncpa+하/xsv+고/ecc
시대가	시대/ncn+가/jcs
요구하는	요구/ncpa+하/xsv+는/etm
기능을	기능/ncn+을/jco
수행하는	수행/ncpa+하/xsv+는/etm
데	데/nbn
적합한	적합/ncps+하/xsm+ㄴ/etm
형태로	형태/ncn+로/jca
발전될	발전/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
도심에서	도심/ncn+에서/jca
외곽으로	외곽/ncn+으로/jca
,	,/sp
외곽에서	외곽/ncn+에서/jca
도심으로	도심/ncn+으로/jca
주택의	주택/ncn+의/jcm
입지는	입지/ncn+는/jxc
반전을	반전/ncn+을/jco
거듭할	거듭하/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
트렁크룸과	트렁크룸/ncn+과/jct
움직이는	움직이/pvg+는/etm
주택은	주택/ncn+은/jxc
새로운	새롭/paa+ㄴ/etm
주거문화를	주거/ncn+문화/ncn+를/jco
만들어	만들/pvg+어/ecs
낼	내/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
주택이	주택/ncn+이/jcs
지능화되고	지능/ncn+화/xsn+되/xsv+고/ecc
전자화되어	전자/ncn+화/xsn+되/xsv+어/ecx
사람들에게	사람/ncn+들/xsn+에게/jca
편리와	편리/ncn+와/jcj
안전을	안전/ncn+을/jco
제공해	제공/ncpa+하/xsv+어/ecs
준다고	주/pvg+ㄴ다고/ecs
해도	하/pvg+어도/ecs
,	,/sp
주택이	주택/ncn+이/jcs
공장에서	공장/ncn+에서/jca
제작되어	제작/ncpa+되/xsv+어/ecx
저렴한	저렴/ncps+하/xsm+ㄴ/etm
비용으로	비용/ncn+으로/jca
내	내/npp
집을	집/ncn+을/jco
갖을	갖/pvg+을/etm
수	수/nbn
있다	있/paa+다/ecs
해도	하/pvg+어도/ecs
,	,/sp
과연	과연/mag
사람들의	사람/ncn+들/xsn+의/jcm
욕구가	욕구/ncn+가/jcs
만족될지는	만족/ncpa+되/xsv+ㄹ지/ecs+는/etm
의문이다	의문/ncn+이/jp+다/ef
.	./sf
현재와	현재/ncn+와/jct
비교해서	비교/ncpa+하/xsv+어서/ecs
주택의	주택/ncn+의/jcm
질이	질/ncn+이/jcs
좋아진다고	좋/paa+아/ecx+지/px+ㄴ다고/ecs
해서	하/pvg+어서/ecs
앞으로	앞/ncn+으로/jca
주거	주거/ncn
생활의	생활/ncn+의/jcm
만족도가	만족/ncn+도/xsn+가/jcs
높아지리라는	높/paa+아/ecx+지/px+리라/ef+는/etm
근거는	근거/ncn+는/jxc
아직	아직/mag
없다	없/paa+다/ef
.	./sf
이상주의자들이	이상/ncn+주의/ncn+자/xsn+들/xsn+이/jcs
제시한	제시/ncpa+하/xsv+ㄴ/etm
유토피아가	유토피아/ncn+가/jcs
실현되지	실현/ncpa+되/xsv+지/ecx
않는	않/px+는/etm
것을	것/nbn+을/jco
전제로	전제/ncn+로/jca
했을	하/pvg+었/ep+을/etm
때	때/ncn
사람들에게	사람/ncn+들/xsn+에게/jca
이상적인	이상/ncn+적/xsn+이/jp+ㄴ/etm
대상이듯이	대상/ncn+이/jp+듯이/ecs
,	,/sp
실현된	실현/ncpa+되/xsv+ㄴ/etm
주택은	주택/ncn+은/jcs
우리에게	우리/npp+에게/jca
큰	크/paa+ㄴ/etm
만족을	만족/ncn+을/jco
줄	주/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
결국	결국/mag
미래의	미래/ncn+의/jcm
주택이	주택/ncn+이/jcs
가시화되고	가시/ncn+화/xsn+되/xsv+고/ecc
또	또/maj
실현된다	실현/ncpa+되/xsv+ㄴ다/ef
하더라도	하/pvg+더라도/ecs
사람들의	사람/ncn+들/xsn+의/jcm
욕망을	욕망/ncn+을/jco
채우기는	채우/pvg+기/etn+는/jxc
힘들	힘들/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
또	또/maj
다른	다르/paa+ㄴ/etm
그	그/mmd
무엇을	무엇/npd+을/jco
찾게	찾/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
레저생활	레저/ncn+생활/ncn
21	21/nno
세기형	세기/ncn+형/xsn
생활패턴과	생활/ncn+패턴/ncn+과/jcj
스트레스	스트레스/ncn
앞으로	앞/ncn+으로/jca
10	10/nnc
년	년/nbu
후면	후/ncn+면/ecs
우리는	우리/npp+는/jcs
매주	매/mma+주/ncn
금요일	금요일/ncn
오후마다	오후/ncn+마다/jxc
청평에서	청평/nq+에서/jca
요트를	요트/ncn+를/jco
타고	타/pvg+고/ecx
있거나	있/px+거나/ecc
,	,/sp
근교	근교/ncn
골프장에서	골프/ncn+장/xsn+에서/jca
잘	잘/mag
다듬어진	다듬/pvg+어/ecx+지/px+ㄴ/etm
잔디를	잔디/ncn+를/jco
밟으며	밟/pvg+으며/ecs
코스를	코스/ncn+를/jco
돌고	돌/pvg+고/ecx
있는	있/px+는/etm
샐러리맨들을	샐러리맨/ncn+들/xsn+을/jco
흔히	흔히/mag
볼	보/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것은	이것/npd+은/jcs
우리가	우리/npp+가/jxc
20	20/nnc
년	년/nbu
전에	전/ncn+에/jca
보았던	보/pvg+았/ep+던/etm
테니스와	테니스/ncn+와/jcj
10	10/nnc
년	년/nbu
전에	전/ncn+에/jca
보았던	보/pvg+았/ep+던/etm
볼링이	볼링/ncn+이/jcs
지금은	지금/ncn+은/jxc
아주	아주/mag
일반화되어	일반/ncn+화/xsn+되/xsv+어/ecx
있는	있/px+는/etm
사실에서	사실/ncn+에서/jca
유추가	유추/ncn+가/jcs
가능하기도	가능/ncpa+하/xsv+기/etn+도/jxc
하지만	하/pvg+지만/ecs
,	,/sp
앞으로	앞/ncn+으로/jca
10	10/nnc
년	년/nbu
후면	후/ncn+면/ecs
국민들의	국민/ncn+들/xsn+의/jcm
소득수준이나	소득/ncn+수준/ncn+이나/jcj
여가행태가	여가/ncn+행태/ncn+가/jcs
더욱	더욱/mag
일반화되어	일반/ncn+화/xsn+되/xsv+어/ecx
있는	있/px+는/etm
사실에서	사실/ncn+에서/jca
유추가	유추/ncn+가/jcs
가능하기도	가능/ncpa+하/xsv+기/etn+도/jxc
하지만	하/pvg+지만/ecs
,	,/sp
앞으로	앞/ncn+으로/jca
10	10/nnc
년	년/nbu
후면	후/ncn+면/ecs
국민들의	국민/ncn+들/xsn+의/jcm
소득수준이나	소득/ncn+수준/ncn+이나/jcj
여가형태가	여가/ncn+형태/ncn+가/jcs
더욱	더욱/mag
고급화하여	고급/ncn+화/xsn+하/xsv+어/ecs
양적인	양/ncn+적/xsn+이/jp+ㄴ/etm
레저활동에서	레저/ncn+활동/ncn+에서/jca
질적인	질/ncn+적/xsn+이/jp+ㄴ/etm
레저활동으로	레저/ncn+활동/ncn+으로/jca
바뀌어	바뀌/pvg+어/ecs
갈것이라는	가/pvg+ㄹ/etm+것/nbn+이/jp+라/ef+는/etm
전망이	전망/ncn+이/jcs
이를	이/npd+를/jco
뒷받침하고	뒷받침/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
점차	점차/mag
우리사회가	우리/npp+사회/ncn+가/jcs
정보화	정보/ncn+화/xsn
사회로	사회/ncn+로/jca
탈바꿈하면	탈바꿈/ncpa+하/xsv+면/ecs
할수록	하/pvg+ㄹ수록/ecs
직장에서	직장/ncn+에서/jca
사용하는	사용/ncpa+하/xsv+는/etm
사무기기와	사무/ncn+기기/ncn+와/jcj
가정에서	가정/ncn+에서/jca
사용하는	사용/ncpa+하/xsv+는/etm
생활기기의	생활/ncn+기기/ncn+의/jcm
자동화는	자동/ncn+화/xsn+는/jcs
급속도로	급속도/ncn+로/jca
진행된다	진행/ncpa+되/xsv+ㄴ다/ef
.	./sf
이렇게	이렇/pad+게/ecs
되면	되/pvg+면/ecs
사람들은	사람/ncn+들/xsn+은/jxc
아침에	아침/ncn+에/jca
일어나서	일어나/pvg+서/ecs
잠자리에	잠자리/ncn+에/jca
들	들/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
하루종일	하루종일/mag
하이테크화된	하이테크/ncn+화/xsn+되/xsv+ㄴ/etm
기기를	기기/ncn+를/jco
사용하게	사용/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
업무나	업무/ncn+나/jcj
가사에	가사/ncn+에/jca
소요되는	소요/ncpa+되/xsv+는/etm
사회구성원의	사회/ncn+구성/ncn+원/xsn+의/jcm
노동시간이	노동/ncn+시간/ncn+이/jcs
감소되어	감소/ncpa+되/xsv+어/ecx
잉여시간이	잉여/ncn+시간/ncn+이/jcs
크게	크/paa+게/ecx
발생하게	발생/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
사람들이	사람/ncn+들/xsn+이/jcs
육체적으로	육체/ncn+적/xsn+으로/jca
편해지고	편하/paa+어/ecx+지/px+고/ecc
시간에	시간/ncn+에/jca
쫓기지	쫓기/pvg+지/ecx
않게	않/px+게/ecs
된다는	되/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
지금	지금/ncn
상황에서	상황/ncn+에서/jca
더	더/mag
이상	이상/ncn
걱정할	걱정/ncpa+하/xsv+ㄹ/etm
것이	것/nbn+이/jcs
없는	없/paa+는/etm
것처럼	것/nbn+처럼/jca
보일	보이/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
몸이	몸/ncn+이/jcs
편하면	편하/paa+면/ecs
편한	편하/paa+ㄴ/etm
대로	대로/nbn
,	,/sp
시간이	시간/ncn+이/jcs
남으면	남/pvg+으면/ecs
남는	남/pvg+는/etm
대로	대로/nbn
고민과	고민/ncn+과/jcj
스트레스는	스트레스/ncn+는/jxc
여전히	여전/ncn+히/xsa
남게된다	남/pvg+게/ecs+되/pvg+ㄴ다/ef
.	./sf
미래의	미래/ncn+의/jcm
스트레스는	스트레스/ncn+는/jxc
생활이	생활/ncn+이/jcs
단조롭고	단조/ncps+롭/xsm+고/ecs
운동이	운동/ncn+이/jcs
부족하기	부족/ncps+하/xsv+기/etn
쉬운	쉽/paa+은/etm
사무직	사무/ncn+직/xsn
근로자에게서	근로/ncn+자/xsn+에게/jca+서/jxc
많이	많/paa+이/xsa
일어나겠지만	일어나/pvg+겠/ep+지만/ecs
,	,/sp
자택근무에	자택/ncn+근무/ncn+에/jca
종사하는	종사/ncpa+하/xsv+는/etm
청소년이나	청소년/ncn+이나/jcj
여성들은	여성/ncn+들/xsn+은/jxc
물론이고	물론/ncn+이/jp+고/ecc
자동화된	자동/ncn+화/xsn+되/xsv+ㄴ/etm
장비를	장비/ncn+를/jco
다루는	다루/pvg+는/etm
노동근로자들에게서도	노동/ncn+근로/ncn+자/xsn+들/xsn+에게서/jca+도/jxc
일반화	일반/ncn+화/xsn
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
스트레스는	스트레스/ncn+는/jxc
크게	크/paa+게/ecx
세	세/nnc
가지로	가지/nbu+로/jca
분류될	분류/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
첫번째	첫/nno+번째/nbu
스트레스는	스트레스/ncn+는/jxc
잉여시간을	잉여/ncn+시간/ncn+을/jco
제대로	제대로/mag
활용하지	활용/ncpa+하/xsv+지/ecx
못하여	못하/px+어/ecs
충분한	충분/ncps+하/xsm+ㄴ/etm
휴식을	휴식/ncn+을/jco
취하지	취하/pvg+지/ecx
못한	못하/px+ㄴ/etm
데서	데/nbn+서/jca
오는	오/pvg+는/etm
무력증을	무력/ncn+증/xsn+을/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
양보다	양/ncn+보다/jca
질을	질/ncn+을/jco
추구하는	추구/ncpa+하/xsv+는/etm
사회에서	사회/ncn+에서/jca
사람들은	사람/ncn+들/xsn+은/jxc
일반화된	일반/ncn+화/xsn+되/xsv+ㄴ/etm
레저시설보다는	레저/ncn+시설/ncn+보다/jca+는/jcs
고급레저를	고급/ncn+레저/ncn+를/jco
희망하며	희망/ncpa+하/xsv+며/ecc
좀	좀/mag
더	더/mag
새로운	새롭/paa+ㄴ/etm
여가형태를	여가/ncn+형태/ncn+를/jco
갈구한다	갈구/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
인기	인기/ncn
있는	있/paa+는/etm
고급레저는	고급/ncn+레저/ncn+는/jxc
항상	항상/mag
사람들로	사람/ncn+들/xsn+로/jca
북적되어	북적/ncpa+되/xsv+어/ecx
이용자들을	이용/ncn+자/xsn+들/xsn+을/jco
식상하게	식상/ncpa+하/xsv+게/ecx
할	하/px+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
새로운	새롭/paa+ㄴ/etm
것을	것/nbn+을/jco
희망하는	희망/ncpa+하/xsv+는/etm
사람들의	사람/ncn+들/xsn+의/jcm
욕구를	욕구/ncn+를/jco
충족시켜	충족/ncpa+시키/xsv+어/ecx
줄	주/px+ㄹ/etm
만한	만하/px+ㄴ/etm
새로운	새롭/paa+ㄴ/etm
흥미거리는	흥미/ncn+거리/xsn+는/jxc
쉽게	쉽/paa+게/ecx
제공되지	제공/ncpa+되/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
따라서	따라서/maj
사람들은	사람/ncn+들/xsn+은/jxc
풍부한	풍부/ncps+하/x느+ㄴ/etm
시간	시간/ncn
속에서도	속/ncn+에서/jca+도/jxc
만족할	만족/ncps+하/xsm+ㄹ/etm
만한	만/nbn+하/pvg+ㄴ/etm
휴식을	휴식/ncn+을/jco
취하지	취하/pvg+지/ecx
못하고	못하/px+고/ecc
무력증에	무력/ncn+증/xsn+에/jca
빠지게	빠지/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
두	두/nno
번째	번째/nbu
스트레스는	스트레스/ncn+는/jcs
컴퓨터와	컴퓨터/ncn+와/jcj
로봇의	로봇/ncn+의/jcm
생활화	생활/ncn+화/xsn
,	,/sp
OA	OA/f
기기의	기기/ncn+의/jcm
보급에	보급/ncn+에/jca
따라	따르/pvg+아/ecs
초래되는	초래/ncpa+되/xsv+는/etm
심리적	심리/ncn+적/xsn
육체적	육체/ncn+적/xsn
거부반응을	거부/ncn+반응/ncn+을/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이	이/mmd
것은	것/nbn+은/jxc
장시간	장시간/ncn
동안	동안/ncn
디스플레이를	디스플레이/ncn+를/jco
마주	마주/mag
대함으로써	대하/pvg+ㅁ/etn+으로써/jca
눈에	눈/ncn+에/jca
피로를	피로/ncn+를/jco
느끼거나	느끼/pvg+거나/ecc
컴퓨터를	컴퓨터/ncn+를/jco
마음대로	마음/ncn+대로/jca
사용하지	사용/ncpa+하/xsv+지/ecx
못하는	못하/px+는/etm
조바심으로	조바/ncn+심/xsn+으로/jca
인해	인하/pvg+어/ecx
이용자가	이용/ncn+자/xsn+가/jcs
불안해지거나	불안/ncpa+하/xsv+어/ecx+지/px+거나/ecc
신경이	신경/ncn+이/jcs
쇠약해져서	쇠약/ncps+하/x느+어/ecx+지/px+어서/ecs
현실생활이나	현실/ncn+생활/ncn+이나/jcj
인간관계에서	인간/ncn+관계/ncn+에서/jca
도피하는	도피/ncpa+하/xsv+는/etm
중세로서	중세/ncn+로서/jca
일명	일명/ncn
테크노	테크노/ncn
스트레스로	스트레스/ncn+로/jca
불린다	불리/pvg+ㄴ다/ef
.	./sf
테크노	테크노/ncn
스트레스는	스트레스/ncn+는/jcs
지금까지	지금/ncn+까지/jxc
일반화되어	일반/ncn+화/xsn+되/xsv+어/ecx
있는	있/px+는/etm
산업	산업/ncn
스트레스와는	스트레스/ncn+와/jct+는/jxc
다른	다르/paa+ㄴ/etm
것으로서	것/nbn+으로서/jca
기계가	기계/ncn+가/jcs
사람의	사람/ncn+의/jcm
손이나	손/ncn+이나/jcj
발과	발/ncn+과/jct
같은	같/paa+은/etm
육체의	육체/ncn+의/jcm
기능을	기능/ncn+을/jco
확장하기	확장/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
만든	만들/pvg+ㄴ/etm
반면	반면/maj
컴퓨터가	컴퓨터/ncn+가/jcs
인간두뇌의	인간/ncn+두뇌/ncn+의/jcm
움직임을	움직이/pvg+ㅁ/etn+을/jco
대용하기	대용/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecx
만들어졌기	만들/px+어/ecx+지/px+었/ep+기/etn
때문에	때문/nbn+에/jca
컴퓨터의	컴퓨터/ncn+의/jcm
운용에	운용/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
방대한	방대/ncps+하/xsm+ㄴ/etm
지식을	지식/ncn+을/jco
필요로	필요/ncn+로/jca
하여	하/pvg+어/ecs
초조	초조/ncn
,	,/sp
우울	우울/ncn
,	,/sp
노이로제	노이로제/ncn
등의	등/nbn+의/jcm
심리적인	심리/ncn+적/xsn+이/jp+ㄴ/etm
스트레스를	스트레스/ncn+를/jco
유발하게	유발/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
세	세/nno
번째	번째/nbu
스트레스는	스트레스/ncn+는/jxc
기술혁신의	기술/ncn+혁신/ncn+의/jcm
스피드와	스피드/ncn+와/jcj
고속교통수단의	고속/ncn+교통/ncn+수단/ncn+의/jcm
등장에	등장/ncn+에/jca
따라	따르/pvg+아/ecs
생활감각을	생활/ncn+감각/ncn+을/jco
잃어버리는	잃/pvg+어/ecx+버리/px+는/etm
스피드	스피드/ncn
스트레스를	스트레스/ncn+를/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
정보화	정보/ncn+화/xsn
첨단기술화가	첨단/ncn+기술/ncn+화/xsn+가/jcs
진전되면서	진전/ncpa+되/xsv+면서/ecc
기술혁신의	기술/ncn+혁신/ncn+의/jcm
스피드가	스피드/ncn+가/jcs
가속화되어	가속/ncn+화/xsn+되/xsv+어/ecx
인간의	인간/ncn+의/jcm
심리적	심리/ncn+적/xsn
대응이	대응/ncn+이/jcs
기술적	기술/ncn+적/xsn
변화의	변화/ncn+의/jcm
속도를	속도/ncn+를/jco
미쳐	미치/pvg+어/ecx
따라가지	따르/pvg+아/ecs+가/pvg+지/ecx
못하고	못하/px+고/ecc
한계에	한계/ncn+에/jca
부딪히면서	부딪히/pvg+면서/ecc
스트레스를	스트레스/ncn+를/jco
유발시킬	유발/ncpa+시키/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
초음속	초/xp+음속/ncn
여객기와	여객/ncn+기/xsn+와/jcj
고속전철이	고속/ncn+전철/ncn+이/jcs
등장하여	등장/ncpa+하/xsv+어/ecx
고속교통시대가	고속/ncn+교통/ncn+시대/ncn+가/jcs
개막되면서	개막/ncpa+되/xsv+면서/ecc
인간의	인간/ncn+의/jcm
신체나	신체/ncn+나/jcj
생리가	생리/ncn+가/jcs
고속교통수단의	고속/ncn+교통/ncn+수단/ncn+의/jcm
스피드에	스피드/ncn+에/jca
적응하지	적응/ncpa+하/xsv+지/ecx
못함에	못하/pvg+ㅁ/xsn+에/jca
따라	따르/pvg+아/ecs
스피드에	스피드/ncn+에/jca
대한	대하/pvg+ㄴ/etm
거부감이	거부/ncn+감/xsn+이/jcs
스트레스로	스트레스/ncn+로/jca
발전하게	발전/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
릴렉세이션	릴렉세이션/ncn
비즈니스와	비즈니스/ncn+와/jcj
도시리조트	도시/ncn+리조트/ncn
미래사회의	미래/ncn+사회/ncn+의/jcm
스트레스는	스트레스/ncn+는/jcs
근무와	근무/ncn+와/jcj
골프접대에	골프/ncn+접대/ncn+에/jca
찌든	찌들/pvg+ㄴ/etm
중년	중년/ncn
샐러리맨에서	샐러리맨/ncn+에서/jca
20	20/nnc
대의	대/nbn+의/jcm
직장여성과	직장/ncn+여성/ncn+과/jcj
아이들에게	아이/ncn+들/xsn+에게/jca
이르기까지	이르/pvg+기/etn+까지/jxc
