<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
.	./sf
또한	또한/maj
천식	천식/ncn
,	,/sp
요통	요통/ncn
,	,/sp
심복의	심복/ncn+의/jcm
모든	모든/mma
통증을	통증/ncn+을/jco
다스린다	다스리/pvg+ㄴ다/ef
'	'/sr
고	고/jcr
서술하고	서술/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
최근에	최근/ncn+에/jca
밝혀진	밝히/pvg+어/ecx+지/px+ㄴ/etm
바에	바/nbn+에/jca
따르면	따르/pvg+면/ecs
호두기름은	호두/ncn+기름/ncn+은/jxc
급성폐렴에	급성/ncn+폐렴/ncn+에/jca
특효약이라	특효/ncn+약/ncn+이라/jca
한다	하/pvg+ㄴ다/ef
.	./sf
그리고	그리고/maj
폐렴뿐만	폐렴/ncn+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
기침이	기침/ncn+이/jcs
심한	심하/paa+ㄴ/etm
독감에도	독감/ncn+에/jca+도/jxc
탁월한	탁월/ncps+하/xsm+ㄴ/etm
효과가	효과/ncn+가/jcs
인정되고	인정/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
쓰임새	쓰임새/ncn
호두는	호두/ncn+는/jxc
주로	주로/mag
식용	식용/ncn
및	및/maj
약용으로	약용/ncn+으로/jca
쓰인다	쓰이/pvg+ㄴ다/ef
.	./sf
영양가가	영양가/ncn+가/jcs
풍부하고	풍부/ncps+하/xsm+고/ecc
소화	소화/ncn
흡수가	흡수/ncn+가/jcs
잘	잘/mag
되므로중병을	되/pvg+므로/ecs+중병/ncn+을/jco
앓고	앓/pvg+고/ecx
난	나/px+ㄴ/etm
환자의	환자/ncn+의/jcm
회복제로	회복제/ncn+로/jca
많이	많/paa+이/xsa
쓰이며	쓰이/pvg+며/ecc
불면증	불면증/ncn
환자나	환자/ncn+나/jcj
신경쇠약자에게도좋다	신경/ncn+쇠약자/ncn+에게/jca+도/jxc+좋/paa+다/ef
.	./sf
호두를	호두/ncn+를/jco
식용할	식용/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
보통	보통/mag
죽으로만들어서	죽/ncn+으로/jca+만들/pvg+어서/ecs
먹는다	먹/pvg+는다/ef
.	./sf
호두	호두/ncn
10	10/nnc
개의	개/nbu+의/jcm
속살과	속살/ncn+과/jcj
쌀	쌀/ncn
1	1/nnc
컵을	컵/nbu+을/jco
물에	물/ncn+에/jca
잘	잘/mag
불려서	불리/pvg+어서/ecs
함께	함께/mag
섞은	섞/pvg+ㄴ/etm
후에	후/ncn+에/jca
,	,/sp
이것을	이것/npd+을/jco
으깨어	으깨/pvg+어/ecs
물	물/ncn
6	6/nnc
컵으로	컵/nbu+으로/jca
걸러서	거르/pvg+어서/ecs
냄비에	냄비/ncn+에/jca
담고	담/pvg+고/ecc
끓여서	끓이/pvg+어서/ecs
1	1/nnc
컵	컵/nbu
분량의	분량/ncn+의/jcm
죽으로	죽/ncn+으로/jca
만들면된다	만들/pvg+면/ecs+되/pvg+ㄴ다/ef
.	./sf
이	이/mmd
호두죽은	호두죽/ncn+은/jxc
몸이	몸/ncn+이/jcs
허약하거나	허약/ncps+하/xsm+거나/ecc
정력이부족한	정력/ncn+이/jcs+부족/ncps+하/xsm+ㄴ/etm
사람에게	사람/ncn+에게/jca
좋다	좋/paa+다/ef
.	./sf
그러나	그러나/maj
과식하면	과식/ncpa+하/xsv+면/ecs
-	-/sd
457	457/nno
-	-/sd
소화기능에	소화/ncn+기능/ncn+에/jca
장애를	장애/ncn+를/jco
주어	주/pvg+어/ecs
속이메스꺼워지는	속/ncn+이/jcs+메스껍/paa+어/ecx+지/px+는/etm
수도	수/nbn+도/jxc
있으므로	있/paa+으므로/ecs
양을	양/ncn+을/jco
잘	잘/mag
조절해야	조절/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
호두죽보다도	호두죽/ncn+보다/jca+도/jxc
더욱	더욱/mag
좋은	좋/paa+ㄴ/etm
것이	것/nbn+이/jcs
바로	바로/mag
호두홍조죽이다	호두/ncn+홍조죽/ncn+이/jp+다/ef
.	./sf
이것은	이것/npd+은/jxc
호두죽에다	호두죽/ncn+에다/jca
설탕과	설탕/ncn+과/jcj
'	'/sl
홍조	홍조/ncn
'	'/sr
라는	라는/etm
한약재를	한약재/ncn+를/jco
첨가한것으로	첨가/ncpa+하/xsv+ㄴ/etm+것/nbn+으로/jca
소화를	소화/ncn+를/jco
도와주는	돕/pvg+아/ecx+주/px+는/etm
역할과	역할/ncn+과/jct
함께	함께/mag
보혈	보혈/ncn
작용도	작용/ncn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
이	이/mmd
홍조죽을	홍조죽/ncn+을/jco
아침	아침/ncn
저녁으로	저녁/ncn+으로/jca
하루에	하루/ncn+에/jca
두	두/nnc
차례씩	차례/nbu+씩/xsn
한	한/nnc
달간만	달/nbu+간/xsn+만/jxc
꾸준히	꾸준/ncps+히/xsa
복용하면비만증이	복용/ncpa+하/xsv+면/ecs+비만증/ncn+이/jcs
없어지고	없/paa+어/ecx+지/px+고/ecc
살결이	살결/ncn+이/jcs
고와지며	곱/paa+아/ecx+지/px+며/ecc
머리카락이	머리카락/ncn+이/jcs
검어진다고	검/paa+어/ecx+지/px+ㄴ다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
탈모를방지하는	탈모/ncn+를/jco+방지/ncpa+하/xsv+는/etm
효과도	효과/ncn+도/jxc
있고	있/paa+고/ecc
,	,/sp
이뇨를	이뇨/ncn+를/jco
도우며	돕/pvg+며/ecc
변비를	변비/ncn+를/jco
없애주는	없애/pvg+어/ecx+주/px+는/etm
등	등/nbn
대부분의	대부분/ncn+의/jcm
성인병과부인병	성인병/ncn+과/jcj+부인병/ncn
예방에	예방/ncn+에/jca
효험이	효험/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
특히	특히/mag
이	이/mmd
음식은	음식/ncn+은/jxc
피부에	피부/ncn+에/jca
영양을	영양/ncn+을/jco
보충해주고	보충/ncpa+하/xsv+어/ecx+주/px+고/ecc
깨끗이해주는	깨끗/ncps+이/xsa+하/pvg+어/ecx+주/px+는/etm
효능이	효능/ncn+이/jcs
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
여성의	여성/ncps+의/jcm
미용제로서	미용제/ncn+로서/jca
아주	아주/mag
적합하다	적합/ncps+하/xsm+다/ef
.	./sf
죽을	죽/ncn+을/jco
쑤어먹는	쑤/pvg+어/ecs+먹/pvg+는/etm
방법은	방법/ncn+은/jxc
다소	다소/mag
번거롭기	번거롭/paa+기/etn
때문에	때문/nbn+에/jca
,	,/sp
하루에	하루/ncn+에/jca
호두	호두/ncn
2	2/nnc
알	알/nbu
정도를	정도/ncn+를/jco
꾸준히먹어도	꾸준/ncps+히/xsa+먹/pvg+어도/ecs
부드럽고	부드럽/paa+고/ecc
윤기있는	윤기/ncn+있/paa+는/etm
피부를	피부/ncn+를/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이처럼	이/npd+처럼/jca
호두는	호두/ncn+는/jxc
알칼리성	알칼리성/ncn
식품으로여러모로	식품/ncn+으로/jca+여러/mmd+모/ncn+로/jca
좋지만	좋/paa+지만/ecs
,	,/sp
알칼리성	알칼리성/ncn
식품으로	식품/ncn+으로/jca
하루에	하루/ncn+에/jca
세	세/nnc
알만	알/nbu+만/jxc
먹어도	먹/pvg+어도/ecs
하루에	하루/ncn+에/jca
섭취해야할	섭취/ncpa+하/xsv+어야/ecs+하/pvg+ㄹ/etm
지방분은	지방분/ncn+은/jxc
충분하다	충분/ncps+하/xsm+다/ef
.	./sf
또	또/maj
냉한	냉/ncps+하/xsm+ㄴ/etm
체질의	체질/ncn+의/jcm
사람은	사람/ncn+은/jxc
다소	다소/mag
많이	많/paa+이/xsa
먹어도	먹/pvg+어도/ecs
좋지만	좋/paa+지만/ecs
,	,/sp
몸에열이	몸/ncn+에/jca+열/ncn+이/jcs
많은	많/paa+ㄴ/etm
사람에게는	사람/ncn+에게/jca+는/jxc
별로	별로/mag
적합하지	적합/ncps+하/xsm+지/ecx
않다	않/px+다/ef
.	./sf
특히	특히/mag
호두는	호두/ncn+는/jxc
지방이	지방/ncn+이/jcs
많은	많/paa+ㄴ/etm
고열량식품이기	고열량/ncn+식품/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
겨울철	겨울철/ncn
추위를	추위/ncn+를/jco
이기는	이기/pvg+는/etm
데	데/nbn
좋다	좋/paa+다/ef
.	./sf
이것이	이것/npd+이/jcs
토종	토종/ncn
우리나라에서	우리/npp+나라/ncn+에서/jca
호두의	호두/ncn+의/jcm
본고장은	본고장/ncn+은/jxc
역시천안이다	역시/mag+천안/ncn+이/jp+다/ef
.	./sf
열차를	열차/ncn+를/jco
타고	타/pvg+고/ecx
가다가	가/px+다가/ecs
천안역에	천안역/ncn+에/jca
이르면	이르/pvg+면/ecs
으례히	으례히/ncn
'	'/sr
자	자/ii
,	,/sp
천안의	천안/nq+의/jcm
명물호도과자요	명물/ncn+호도/ncn+과자/ncn+요/jxf
!’	!/sf+’/sr
하고	하/pvg+고/ecc
외치며	외치/pvg+며/ecc
지나가는	지나/pvg+아/ecx+가/px+는/etm
상인의	상인/ncn+의/jcm
목소리를	목/ncn+소리/ncn+를/jco
누구나	누구/npp+나/jxc
한	한/nnc
번쯤은	번/nbu+쯤/xsn+은/jxc
들었을	듣/pvg+었/ep+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
천안에	천안/nq+에/jca
호두가	호두/ncn+가/jcs
심어진	심/pvg+어/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
고려시대의	고려/nq+시대/ncn+의/jcm
일이다	일/ncn+이/jp+다/ef
.	./sf
당시	당시/ncn
이	이/mmd
고장	고장/ncn
출신	출신/ncn
고관이었던유청신이라는	고관/ncn+이/jp+었/ep+더/ep+ㄴ/etm+유청신/nq+이/jp+라
고관이었던유청신이라는	는/etm
사람이	사람/ncn+이/jcs
원나라에	원나라/nq+에/jca
사신으로	사신/ncn+으로/jca
갔다가	가/pvg+ㅆ/ep+다가/ecs
호두를	호두/ncn+를/jco
들여와	들이/pvg+어/ecx+오/px+아/ecs
이	이/mmd
고장에	고장/ncn+에/jca
심었으며이후	심/pvg+었/ep+으며/ecc+이후/ncn
몇	몇/nnc
백년	백/nnc+년/nbu
동안	동안/ncn
번식하면서	번식/ncpa+하/xsv+면서/ecc
천안의	천안/nq+의/jcm
토종으로	토종/ncn+으로/jca
자리잡게	자리/ncn+잡/pvg+게/ecx
된	되/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
천안지역에서	천안/nq+지역/ncn+에서/jca
생산되는	생산/ncpa+되/xsv+는/etm
호도의	호도/ncn+의/jcm
양은	양/ncn+은/jxc
우리나라	우리/npp+나라/ncn
전체	전체/ncn
생산량의	생산량/ncn+의/jcm
70	70/nnc
%	%/su
를	를/jco
차지한다	차지/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
우리나라	우리/npp+나라/ncn
전체	전체/ncn
생산량의	생산량/ncn+의/jcm
절대량이	절대량/ncn+이/jcs
부족하여	부족/ncps+하/xsm+어/ecs
국내	국내/ncn
수요를	수요/ncn+를/jco
충당하기	충당/ncpa+하/xsv+기/etn
어려운까닭에	어렵/paa+ㄴ/etm+까닭/ncn+에/jca
이미	이미/mag
오래	오래/mag
전부터	전/ncn+부터/jxc
미국에서	미국/nq+에서/jca
수입되어	수입/ncpa+되/xsv+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
최근에는	최근/ncn+에/jca+는/jxc
중국산	중국산/ncn
호두수입도	호두/ncn+수입/ncn+도/jxc
늘고	늘/pvg+고/ecx
있지만	있/px+지만/ecs
아직까지는	아직/mag+까지/jca+는/jxc
미국산이	미국산/ncn+이/jcs
대부분이다	대부분/ncn+이/jp+다/ef
.	./sf
호두는	호두/ncn+는/jxc
겉모양만	겉모양/ncn+만/jxc
보고는	보/pvg+고/ecc+는/jxc
외국산과	외국산/ncn+과/jcj
국산을	국산/ncn+을/jco
구별하기가	구별/ncpa+하/xsv+기/etn+가/jcs
무척	무척/mag
어렵다	어렵/paa+다/ef
.	./sf
굳이	굳이/mag
차이점을	차이점/ncn+을/jco
들자면	들/pvg+자면/ecs
미국산은	미국산/ncn+은/jxc
우리나라산보다알이	우리/npp+나라/ncn+산/ncn+보다/jca+알/ncn+이/jcs
굵고	굵/paa+고/ecc
모양이	모양/ncn+이/jcs
공처럼	공/ncn+처럼/jca
둥근	둥글/paa+ㄴ/etm
편이며	편/ncn+이/jp+며/ecc
표면에	표면/ncn+에/jca
골이	골/ncn+이/jcs
깊지	깊/paa+지/ecx
않고	않/px+고/ecc
잔주름이	잔주름/ncn+이/jcs
많이있다	많/paa+이/xsa+있/paa+다/ef
.	./sf
이에	이/npd+에/jca
반해	반하/pvg+어/ecs
국산은	국산/ncn+은/jxc
모양이	모양/ncn+이/jcs
약간	약간/mag
길쭉하며	길쭉/ncps+하/xsm+며/ecc
잔주름이	잔주름/ncn+이/jcs
적은	적/paa+ㄴ/etm
대신	대신/ncn
골이	골/ncn+이/jcs
깊게패여	깊/paa+게/ecs+패이/pvg+어/ecx
있다	있/px+다/ef
.	./sf
크기도	크기/ncn+도/jxc
대체로	대체로/mag
미국산보다는	미국산/ncn+보다/jca+는/jxc
작은	작/paa+ㄴ/etm
편이다	편/ncn+이/jp+다/ef
.	./sf
또한	또한/maj
호두	호두/ncn
고유의	고유/ncps+의/jcm
맛을	맛/ncn+을/jco
담뿍담고	담뿍/mag+담/pvg+고/ecx
있어	있/px+어/ecs
고소하고	고소/ncps+하/xsm+고/ecc
담백하며	담백/ncps+하/xsm+며/ecc
과육의	과육/ncn+의/jcm
충실도가	충실도/ncn+가/jcs
높다	높/paa+다/ef
.	./sf
중국산의	중국산/ncn+의/jcm
경우는	경우/ncn+는/jxc
모양이일정치	모양/ncn+이/jcs+일정/ncps+치/ecx
않으나	않/px+으나/ecs
럭비공처럼	럭비공/ncn+처럼/jca
긴	길/paa+ㄴ/etm
것이	것/nbn+이/jcs
다소	다소/mag
섞여있는	섞이/pvg+어/ecx+있/px+는/etm
점을	점/ncn+을/jco
특징으로	특징/ncn+으로/jca
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
껍질을	껍질/ncn+을/jco
쪼개보면	쪼개/pvg+어/ecx+보/px+면/ecs
국산은	국산/ncn+은/jxc
속살이	속살/ncn+이/jcs
노랗게	노랗/paa+게/ecs
윤이	윤/ncn+이/jcs
나지만	나/pvg+지만/ecs
수입산은	수입/ncn+산/xsn+은/jxc
색깔이	색깔/ncn+이/jcs
검은편이다	검/paa+ㄴ/etm+편/ncn+이/jp+다/ef
.	./sf
가격은	가격/ncn+은/jxc
수입품이	수입품/ncn+이/jcs
국산보다	국산/ncn+보다/jca
30	30/nnc
%	%/su
가량	가량/ncn
싸다	싸/paa+다/ef
.	./sf
그러나	그러나/maj
맛과	맛/ncn+과/jcj
질은	질/ncn+은/jxc
당연히국내산보다	당연/ncps+히/xsa+국내/ncn+산/xsn+보다/jca
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf
***	*/sy+*/sy+*/sy
참고자료	참고/ncn+자료/ncn
1	1/nno
.{	./sf+{/sl
약이	nq[약/ncn+이/jcc
되는	되/pvg+는/etm
식품	식품/ncn]nq
}	}/sr
2	2/nno
.{	./sf+{/sl
동아일보	동아일보/nq
}	}/sr
92	92/nno
.	./sf
10	10/nno
.	./sf
31	31/nno
3	3/nno
.{	./sf+{/sl
약용음식물백선	nq[약용/ncn+음식/ncn+물/xsn+백선/ncn]nq
},	}/sr+,/sp
보건신문사	보건신문사/nq
4	4/nno
.	./sf
월간	월간/ncn
{	{/sl
민의약	민의약/nq
}	}/sr
89	89/nno
.	./sf
8	8/nno
월호	월호/nbu
5	5/nno
.{	./sf+{/sl
신토불이	신토불이/nq
}	}/sr
농협	농협/ncn
(	(/sl
핸드북	핸드북/ncn
)	)/sr
6	6/nno
.{	./sf+{/sl
민족문화대백과	nq[민족/ncn+문화/ncn+대백과/ncn]nq
}	}/sr
-	-/sd
462	462/nno
-	-/sd
40225   <       </sl
해삼물류	해삼물류/nq
>	>/sr
38	38/nno
.	./sf
명태	명태/ncn
동해안의	동해안/ncn+의/jcm
보물	보물/ncn
명태를	명태/ncn+를/jco
중요한	중요/ncps+하/xsm+ㄴ/etm
생선의	생선/ncn+의/jcm
하나로	하나/nnc+로/jca
여기고	여기/pvg+고/ecc
다양하게	다양/ncps+하/xsm+게/ecs
조리하여	조리/ncpa+하/xsv+어/ecs
먹는	먹/pvg+는/etm
나라는	나라/ncn+는/jxc
세계에서우리나라밖에	세계/ncn+에서/jca+우리/npp+나라/ncn+밖에/jxc
없다	없/paa+다/ef
.	./sf
이웃나라	이웃/ncn+나라/ncn
중국이나	중국/nq+이나/jcj
일본	일본/nq
등지에서도	등지/ncn+에서/jca+도/jxc
명태가	명태/ncn+가/jcs
잡히지만	잡히/pvg+지만/ecs
그	그/mmd
나라사람들은	나라/ncn+사람/ncn+들/xsn+은/jxc
명태를	명태/ncn+를/jco
먹지	먹/pvg+지/ecx
않는다고	않/px+는다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
그들의	그/npp+들/xsn+의/jcm
옛	옛/mma
의서에도	의서/ncn+에/jca+도/jxc
명태에	명태/ncn+에/jca
관한	관하/pvg+ㄴ/etm
기록은거의	기록/ncn+은/jxc+거의/mag
찾아볼	찾/pvg+아/ecx+보/px+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
그러면	그러면/maj
우리	우리/npp
민족만이	민족/ncn+만/jxc+이/jcs
유일하게	유일/ncps+하/xsm+게/ecs
명태를즐겨먹어온	명태/ncn+를/jco+즐기/pvg+어/ecs+먹/pvg+어/ecx+오/px+ㄴ
명태를즐겨먹어온	/etm
이유는	이유/ncn+는/jxc
무엇일까	무엇/npd+이/jp+ㄹ까/ef
.	./sf
이	이/mmd
물음에	물음/ncn+에/jca
대해서	대하/pvg+어서/ecs
확실한	확실/ncps+하/xsm+ㄴ/etm
답을	답/ncn+을/jco
찾을	찾/pvg+을/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
어느	어느/mmd
민족이건	민족/ncn+이/jp+건/ecc
그	그/mmd
민족만	민족/ncn+만/jxc
특별하게	특별/ncps+하/xsm+게/ecs
먹는음식이나	먹/pvg+는/etm+음식/ncn+이나/jcj
식품이	식품/ncn+이/jcs
있게	있/paa+게/ecs
마련이므로	마련/nbn+이/jp+므로/ecs
그저	그저/mag
어찌어찌	어찌어찌/mag
하다보니	하/pvg+다/ecx+보/px+니/ecs
명태도	명태/ncn+도/jxc
우리	우리/npp
민족고유의	민족/ncn+고유/ncps+의/jcm
생선이	생선/ncn+이/jcc
되었다고	되/pvg+었/ep+다고/ecs
가정해버리면	가정/ncpa+하/xsv+어/ecx+버리/px+면/ecs
그만이다	그만/mag+이/jp+다/ef
.	./sf
그러나	그러나/maj
기름기	기름기/ncn
적고	적/pvg+고/ecc
담백하며시원한	담백/ncps+하/xsm+며/ecc+시원/ncps+하/xsm+ㄴ/etm
맛이	맛/ncn+이/jcs
우리	우리/npp
민족	민족/ncn
고유의	고유/ncps+의/jcm
식성과	식성/ncn+과/jct
잘	잘/mag
맞는다는	맞/pvg+는다/ef+는/etm
사실	사실/ncn
하나만으로도	하나/nnc+만/jxc+으로/jca+도/jxc
우리조상들이	우리/npp+조상/ncn+들/xsn+이/jcs
명태를	명태/ncn+를/jco
즐겨	즐기/pvg+어/ecs
먹어온	먹/pvg+어/ecx+오/px+ㄴ/etm
이유를	이유/ncn+를/jco
능히	능히/mag
짐작할	짐작/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
있다	있/paa+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
명태를	명태/ncn+를/jco
즐겨	즐기/pvg+어/ecs
먹었던	먹/pvg+었/ep+더/ep+ㄴ/etm
까닭에	까닭/ncn+에/jca
'	'/sl
맛좋기는	맛/ncn+좋/paa+기/etn+는/jxc
청어	청어/ncn
,	,/sp
많이	많/paa+이/xsa
먹기로는	먹/pvg+기/etn+로/jca+는/jxc
명태	명태/ncn
'	'/sl
라는말도	라/ef+는/etm+말/ncn+도/jxc
생겨날	생기/pvg+어/ecx+나/px+ㄹ/etm
정도였다	정도/ncn+이/jp+었/ep+다/ef
.	./sf
즉	즉/maj
,	,/sp
명태는	명태/ncn+는/jxc
우리	우리/npp
민족이	민족/ncn+이/jcs
예로부터	예/ncn+로/jca+부터/jxc
가장	가장/mag
많이	많/paa+이/xsa
먹어온	먹/pvg+어/ecx+오/px+ㄴ/etm
생선의하나라는	생선/ncn+의/jcm+하나/nnc+라는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리고	그리고/maj
영양가도	영양가/ncn+도/jxc
풍부하며	풍부/ncps+하/xsm+며/ecc
어느	어느/mmd
한	한/nnc
군데도	군데/nbu+도/jxc
버리지	버리/pvg+지/ecx
않고	않/px+고/ecx
다먹을	다/mag+먹/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
생선이라는	생선/ncn+이/jp+라는/etm
점에서	점/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때	때/ncn
명태는	명태/ncn+는/jxc
우리	우리/npp
민족과	민족/ncn+과/jct
가장	가장/mag
친근한	친근/ncps+하/xsm+ㄴ/etm
생선이다	생선/ncn+이/jp+다/ef
.	./sf
그래서	그래서/maj
명태는	명태/ncn+는/jxc
이름도	이름/ncn+도/jxc
많다	많/paa+다/ef
.	./sf
생명태를	생명태/ncn+를/jco
선태	선태/ncn
(	(/sl
鮮太	鮮太/ncn
)	)/sr
라	라/jca
하고	하/pvg+고/ecc
망태	망태/ncn
,	,/sp
간태	간태/ncn
,	,/sp
북어	북어/ncn
,	,/sp
춘태	춘태/ncn
(	(/sl
이상	이상/ncn
자란	자라/pvg+ㄴ/etm
명태	명태/ncn
)	)/sr
왜태	왜태/ncn
,	,/sp
애태	애태/ncn
,	,/sp
애기태	애기태/ncn
,	,/sp
노가리	노가리/ncn
(	(/sl
이상	이상/ncn
명태새끼	명태새끼/ncn
)	)/sr
건태	건태/ncn
,	,/sp
동태	동태/ncn
,	,/sp
북어	북어/ncn
(	(/sl
이상	이상/ncn
가공한	가공/ncpa+하/xsv+ㄴ/etm
명태	명태/ncn
)	)/sr
등	등/nbn
20	20/nnc+여/xsn+가지/nbu
넘는	넘/pvg+는/etm
이름을	이름/ncn+을/jco
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
.	./sf
한류성	한류성/ncn
(	(/sl
寒流性	寒流性/ncn
)	)/sr
물고기인	물고기/ncn+이/jp+ㄴ/etm
명태는우리나라	명태/ncn+는/jxc+우리/npp+나라/ncn
동해안	동해안/ncn
북부에	북부/ncn+에/jca
가장	가장/mag
많이	많/paa+이/xsa
살고	살/pvg+고/ecx
있다	있/px+다/ef
.	./sf
명태의	명태/ncn+의/jcm
주된	주/ncn+되/xsv+ㄴ/etm
산란장은	산란장/ncn+은/jxc
우리나라원산만	우리/npp+나라/ncn+원산만/nq
부근과	부근/ncn+과/jcj
북해도	북해도/nq
서쪽	서쪽/ncn
연안이며	연안/ncn+이/jp+며/ecc
1	1/nno
2	2/nno
월에	월/nbu+에/jca
가장	가장/mag
활발하게	활발/ncps+하/xsm+게/ecs
산란을	산란/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf
산란을	산란/ncn+을/jco
할	하/pvg+ㄹ/etm
때에는	때/ncn+에/jca+는/jxc
거의	거의/mag
아무것도	아무것/npd+도/jxc
먹지	먹/pvg+지/ecx
않고	않/px+고/ecc
어부들이	어부/ncn+들/xsn+이/jcs
그물로	그물/ncn+로/jca
잡아가도	잡/pvg+아/ecx+가/px+도/ecs
모를정도로	모르/paa+ㄹ/etm+정도/ncn+로/jca
몽롱하게	몽롱/ncps+하/xsm+게/ecs
취해버린다	취하/pvg+어/ecx+버리/px+ㄴ다/ef
.	./sf
산란	산란/ncn
시각은	시각/ncn+은/jxc
자정부터	자정/ncn+부터/jxc
새벽까지이고	새벽/ncn+까지/jxc+이/jp+고/ecc
바람이	바람/ncn+이/jcs
자거나부드러울	자/pvg+거나/ecc+부드럽/paa+ㄹ/etm
때	때/ncn
주로	주로/mag
산란한다	산란/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
산란이	산란/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
명태는	명태/ncn+는/jxc
잔뜩	잔뜩/mag
굶주린	굶주리/pvg+ㄴ/etm
승냥이처럼	승냥이/ncn+처럼/jca
작은	작/paa+ㄴ/etm
물고기들을	물고기/ncn+들/xsn+을/jco
닥치는	닥치/pvg+는/etm
대로잡아	대로/nbn+잡/pvg+아/ecs
먹는다	먹/pvg+는다/ef
.	./sf
이처럼	이/npd+처럼/jca
잔인할	잔인/ncps+하/xsm+ㄹ/etm
정도로	정도/ncn+로/jca
먹어치우는	먹/pvg+어/ecx+치우/px+는/etm
바람에	바람/ncn+에/jca
정어리	정어리/ncn
,	,/sp
멸치	멸치/ncn
,	,/sp
도루묵	도루묵/ncn
,	,/sp
오징어	오징어/ncn
등은	등/nbn+은/jxc
숨바꼭질을	숨바꼭질/ncn+을/jco
하듯	하/pvg+듯/ecs
명태에게	명태/ncn+에게/jca
쫓겨다닌다	쫓기/pvg+어/ecs+다니/pvg+ㄴ다/ef
.	./sf
그리고	그리고/maj
해삼	해삼/ncn
,	,/sp
조개	조개/ncn
,	,/sp
털게같은	털게/ncn+같/paa+ㄴ/etm
것들은	것/nbn+들/xsn+은/jxc
아예	아예/mag
집을	집/ncn+을/jco
버리고	버리/pvg+고/ecc
도망쳐버리기도	도망치/pvg+어/ecx+버리/px+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
산란을	산란/ncn+을/jco
위하여명태가	위하/pvg+여/ecs+명태/ncn+가/jcs
연안으로	연안/ncn+으로/jca
찾아들면	찾/pvg+아/ecx+들/px+면/ecs
그때까지	그때/npd+까지/jxc
평화롭게	평화/ncn+롭/xsm+게/ecs
살던	살/pvg+더/ep+ㄴ/etm
작은	작/paa+ㄴ/etm
물고기들은	물고기/ncn+들/xsn+은/jxc
이같이비상사태에	이/npd+같/paa+이/xsa+비상/ncn+사태/ncn+에/jca
직면하게	직면/ncpa+하/xsv+게/ecx
되는	되/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
한편	한편/ncn
,	,/sp
명태는	명태/ncn+는/jxc
대구와	대구/ncn+와/jcj
그	그/mmd
생김새가비슷하다	생김새/ncn+가/jcs+비슷/ncps+하/xsm+다/ef
.	./sf
그리고	그리고/maj
생김새가	생김새/ncn+가/jcs
비슷한	비슷/ncps+하/xsm+ㄴ/etm
만큼	만큼/nbn
왕성한	왕성/ncps+하/xsm+ㄴ/etm
식욕에	식욕/ncn+에/jca
있어서도	있/paa+어서/ecs+도/jxc
별	별/mma
