<tdmsfile>
<tdmsfile>
Han2.hwp
전대협과	전대협/nq+과/jcj
오른	오르/pvg+ㄴ/etm
셈이나	셈/nbn+이/jp+나/ecs
오름	오르/pvg+ㅁ/etn
폭이	폭/ncn+이/jcs
크지	크/paa+지/ecx
않고	않/px+고/ecc
장중	장중/ncn
환율	환율/ncn
진폭도	진폭/ncn+도/jxc
최대	최대/ncn
6원에	6/nnc+원/nbu+에/jca
머물러,	머무르/pvg+어/ecs+,/sp
환율이	환율/ncn+이/jcs
대체로	대체로/mag
안정된	안정/ncpa+되/xsv+ㄴ/etm
모습을	모습/ncn+을/jco
보였다.	보이/pvg+었/ep+다/ef+./sf
이날	이/mmd+날/ncn
외환당국은	외환/ncn+당국/ncn+은/jxc
970원에	970/nnc+원/nbu+에/jca
방어선을	방어/ncn+선/ncn+을/jco
치고	치/pvg+고/ecs
환율이	환율/ncn+이/jcs
이	이/mmd
선에	선/ncn+에/jca
접근하면	접근/ncpa+하/xsv+면/ecs
달러	달러/ncn
매도에	매도/ncn+에/jca
나섰으며,	나서/pvg+었/ep+으며/ecc+,/sp
기업들도	기업/ncn+들/xsn+도/jxc
수출대금으로	수출/ncn+대금/ncn+으로/jca
받은	받/pvg+은/etm
달러를	달러/ncn+를/jco
시장에	시장/ncn+에/jca
내놓아	내/pvg+어/ecs+놓/pvg+아/ecs
환율상승	환율/ncn+상승/ncn
억제에	억제/ncn+에/jca
힘을	힘/ncn+을/jco
보탰다.	보태/pvg+었/ep+다/ef+./sf
채권시장에서	채권/ncn+시장/ncn+에서/jca
3년	3/nnc+년/nbu
만기	만기/ncn
회사채는	회사채/ncn+는/jxc
유통수익률	유통/ncn+수익/ncn+률/xsn
12.60%에서	12.60/nnc+%/su+에서/jca
거래돼	거래/ncpa+되/xsv+어/ecs
지난	지나/pvg+ㄴ/etm
주말	주말/ncn
수준에서	수준/ncn+에서/jca
보합세를	보합/ncn+세/xsn+를/jco
보였고,	보이/pvg+었/ep+고/ecc+,/sp
콜금리도	콜금리/ncn+도/jxc
13%대를	13/nnc+%/su+대/xsn+를/jco
벗어나지	벗어나/pvg+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
현대에	현대/nq+에/jca
이어	이어/mag
엘지그룹이	엘지그룹/nq+이/jcs
올해	올해/ncn
대졸	대졸/ncn
신입사원	신입/ncn+사원/ncn
채용	채용/ncn
인원을	인원/ncn+을/jco
예정했던	예정/ncpa+하/xsv+었/ep+던/etm
1200명에서	1200/nnc+명/nbu+에서/jca
10%	10/nnc+%/su
이상	이상/ncn
늘려뽑을	늘리/pvg+어/ecs+뽑/pvg+을/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
국내	국내/ncn
상장기업의	상장/ncn+기업/ncn+의/jcm
임원수가	임원/ncn+수/ncn+가/jcs
불황에	불황/ncn+에/jca
따른	따르/pvg+ㄴ/etm
조직	조직/ncn
감량으로	감량/ncn+으로/jca
회사당	회사/ncn+당/xsn
평균	평균/ncn
10명	10/nnc+명/nbu
아래로	아래/ncn+로/jca
줄어든	줄/pvg+어/ecx+들/px+ㄴ/etm
것으로	것/nbn+으로/jca
조사됐다.	조사/ncpa+되/xsv+었/ep+다/ef+./sf
3일	3/nno+일/nbu
경영전문지인	경영/ncn+전문/ncn+지/xsn+이/jp+ㄴ/etm
<현대경영>     </sl+현대경영/nq+>/sr
최근호에	최근/ncn+호/ncn+에/jca
따르면	따르/pvg+면/ecs
지난해	지나/pvg+ㄴ/etm+해/ncn
말	말/ncn
현재	현재/ncn
국내	국내/ncn
상장기업	상장/ncn+기업/ncn
699개사의	699/nnc+개/nbu+사/xsn의/jcm
임원은	임원/ncn+은/jxc
모두	모두/mag
6731명으로	6731/nnc+명/nbu+으로/jca
지난	지나/pvg+ㄴ/etm
95년	95/nno+년/nbu
말	말/ncn
6992명보다	6992/nnc+명/nbu+보다/jca
261명(3.7%)이	261/nnc+명/nbu+(/sl+3.7/nnc+%/su+)/sr+이/jcs
줄었다.	줄/pvg+었/ep+다/ef+./sf
기업당	기업/ncn+당/xsn
임원수도	임원/ncn+수/ncn+도/jxc
95년	95/nno+년/nbu
말의	말/ncn+의/jcm
10.0명에서	10.0/nnc+명/nbu+에서/jca
9.6명으로	9.6/nnc+명/nbu+으로/jca
감소했다.	감소/ncpa+하/xsv+었/ep+다/ef+./sf
95년에	95/nno+년/nbu+에/jca
비해	비하/pvg+어/ecs
임원이	임원/ncn+이/jcs
감소한	감소/ncpa+하/xsv+ㄴ/etm
기업은	기업/ncn+은/jxc
307개사였으며,	307/nnc+개/nbu+사/xsn+이/jp+었/ep+으며/ecs+,/sp
증가한	증가/ncpa+하/xsv+ㄴ/etm
기업은	기업/ncn+은/jxc
184개사로	184/nnc+개/nbu+사/xsn+로/jca
줄어든	줄/pvg+어/ecx+들/px+ㄴ/etm
기업이	기업/ncn+이/jcs
두배	두/nnc+배/nbu
가까이	가깝/pvg+이/xsa
많았다.	많/paa+았/ep+다/ef+./sf
줄어든	줄/pvg+어/ecx+들/px+ㄴ/etm
임원수를	임원/ncn+수/ncn+를/jco
기업별로	기업/ncn+별/xsn+로/jca
보면	보/pvg+면/ecs
삼성전자가	삼성전자/nq+가/jcs
57명으로	57/nnc+명/nbu+으로/jca
가장	가장/mag
많았고	많/paa+았/ep+고/ecc
(주)대우가	(/sl+주/ncn+)/sr+대우/nq+가/jcs
20명,	20/nnc+명/nbu+,/sp
한진중공업	한진중공업/nq
13명	13/nnc+명/nbu
제일제당	제일제당/nq
12명	12/nnc+명/nbu
(주)선경	(/sl+주/ncn+)/sr+선경/nq
12명	12/nnc+명/nbu
한화종합화학	한화종합화학/nq
12명	12/nnc+명/nbu
남광토건	남광토건/nq
12명	12/nnc+명/nbu
효성T&C	nq[효성/nq+T&C/f]nq
10명	10/nnc+명/nbu
현대종합상사	현대종합상사/nq
10명	10/nnc+명/nbu
차례였다.	차례/ncn+이/jp+었/ep+다/ef+./sf
지난주말에	지나/pvg+ㄴ/etm+주말/ncn+에/jca
이어	이어/mag
주가가	주가/ncn+가/jcs
크게	크/paa+게/ecs
오르며	오르/pvg+며/ecs
510선을	510/nnc+선/ncn+을/jco
넘어섰다.	넘/pvg+어/ecs+서/pvg+었/ep+다/ef+./sf
외국인투자한도	외국/ncn+인/xsn+투자/ncn+한도/ncn
확대	확대/ncn
첫날인	첫날/ncn+이/jp+ㄴ/etm
3일	3/nnc+일/nbu
종합주가지수는	종합/ncn+주가/ncn+지수/ncn+는/jxc
외국인	외국/ncn+인/xsn
매수세가	매수/ncn+세/xsn+가/jcs
주가를	주가/ncn+를/jco
떠받치고,	떠받치/pvg+고/ecc+,/sp
주가가	주가/ncn+가/jcs
더	더/mag
이상	이상/ncn
급락하지는	급락/ncpa+하/xsv+지/ecx+는/jxc
않을	않/px+을/etm
것이란	것/nbn+이/jp+라/ef+ㄴ/etm
인식도	인식/ncn+도/jxc
퍼져	퍼지/pvg+어/ecs
지난	지나/pvg+ㄴ/etm
주말의	주말/ncn+의/jcm
상승세를	상승/ncn+세/xsn+를/jco
이어갔다.	잇/pvg+어/ecx+가/px+았/ep+다/ef+./sf
오전	오전/ncn
한때	한때/ncn
주가지수가	주가/ncn+지수/ncn+가/jcs
9포인트	9/nnc+포인트/nbu
가까이	가깝/paa+이/xsa
내려	내리/pvg+어/ecs
불안감을	불안/ncn+감/xsn+을/jco
안겨주기도	안기/pvg+어/ecx+주/px+기/etn+도/jxc
했지만,	하/pvg+었/ep+지만/ecs+,/sp
외국인들이	외국/ncn+인/xsn+들/xsn+이/jcs
핵심	핵심/ncn
우량주를	우량/ncn+주/ncn+를/jco
중심으로	중심/ncn+으로/jca
주식을	주식/ncn+을/jco
사들이자	사/pvg+아/ecs+들이/pvg+자/ecs
빠르게	빠르/paa+게/ecs
반등했다.	반등/ncpa+하/xsv+었/ep+다/ef+./sf
특히	특히/mag
에스케이텔레콤	에스케이텔레콤/nq
삼성전자	삼성전자/nq
포항제철은	포항제철/nq+은/jxc
외국인들의	외국/ncn+인/xsn+들/xsn+의/jcm
사자주문으로	사자/ncn+주문/ncn+으로/jca
대량거래	대량/ncn+거래/ncn
속에	속/ncn+에/jca
가격제한폭까지	가격/ncn+제한/ncn+폭/ncn+까지/jxc
올라	오르/pvg+아/ecs
주가를	주가/ncn+를/jco
끌어올렸다.	끌/pvg+어/ecs+올리/pvg+었/ep+다/ef+./sf
지난주에	지나/pvg+ㄴ/etm+주/ncn+에/jca
신용융자	신용/ncn+융자/ncn
물량이	물량/ncn+이/jcs
대거	대거/mag
소화된	소화/ncpa+되/xsv+ㄴ/etm
중소형주들도	중소형/ncn+주/ncn+들/xsn+도/jxc
상한가가	상한/ncn+가/xsn+가/jcs
속출하며	속출/ncpa+하/xsv+며/ecs
강세를	강세/ncn+를/jco
나타냈다.	나타내/pvg+었/ep+다/ef+./sf
업종별로는	업종/ncn+별/xsn+로/jca+는/jxc
증권	증권/ncn
종금	종금/ncn
은행업을	은행/ncn+업/xsn+을/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
전업종이	전/mma+업종/ncn+이/jcs
오름세였다.	오름/ncn+세/xsn+이/jp+었/ep+다/ef+./sf
그러나	그러나/maj
해태그룹	해태그룹/nq
화의신청	화의/ncn+신청/ncn
탓에	탓/ncn+에/jca
자금이	자금/ncn+이/jcs
넉넉지	넉넉/ncps+지/ecx
않은	않/px+은/jxc
것으로	것/nbn+으로/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
쌍용	nq[쌍용/nq
신호그룹	신호/ncn+그룹/ncn]nq
등	등/nbn
일부	일부/ncn
그룹의	그룹/ncn+의/jcm
종목들은	종목/ncn+들/xsn+은/jxc
약세였다.	약세/ncn+이/jp+었/ep+다/ef+./sf
어수선한	어수선/ncps+하/xsm+ㄴ/etm
경제가	경제/ncn+가/jcs
조선맥주의	조선맥주/nq+의/jcm
소주시장	소주/ncn+시장/ncn
본격진출	본격/ncn+진출/ncn
시기를	시기/ncn+를/jco
늦추게	늦추/pvg+게/ecx
했다.	하/px+었/ep+다/ef+./sf
조선맥주는	조선맥주/nq+는/jxc
애초	애초/ncn
11월	11/nno+월/nbu
초에	초/ncn+에/jca
프리미엄급	프리미엄/ncn+급/ncn
소주	소주/ncn
신제품인	신/xp+제품/ncn+이/jp+ㄴ/etm
`휘파람'을	`/sl+휘파람/nq+'/sr+을/jco
선보이며	선/ncn+보이/pvg+며/ecs
수도권	수도/ncn+권/xsn
소주	소주/ncn
시장에	시장/ncn+에/jca
본격	본격/ncn
진출하기로	진출/ncpa+하/xsv+기/etn+로/jca
했으나,	하/pvg+었/ep+으나/ecs+,/sp
내년	내년/ncn
상반기로	상반/ncn+기/xsn+로/jca
신제품	신/xp+제품/ncn
출시시기를	출시/ncn+시기/ncn+를/jco
늦춘다고	늦추/pvg+ㄴ다/ef+고/jcr
3일	3/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
주류업계	주류/ncn+업계/ncn
`빅3'인	`/sl+빅/ncn+3/nnc+'/sr+이/jp+ㄴ/etm
조선	조선/nq
오비	오비/nq
진로가	진로/nq+가/jcs
소주시장에서	소주/ncn+시장/ncn+에서/jca
또	또/mag
한번	한번/ncn
벌일	벌이/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
예상되던	예상/ncpa+되/xsv+던/etm
대접전은	대/xp+접전/ncn+은/jxc
조금	조금/mag
미뤄지게	미루/pvg+어/ecx+지/px+게/ecs
됐다.	되/pvg+었/ep+다/ef+./sf
조선맥주는	조선맥주/nq+는/jxc
지난	지나/pvg+ㄴ/etm
3월	3/nno+월/nbu
전북의	전북/nq+의/jcm
지방소주회사인	지방/ncn+소주/ncn+회사/ncn+이/jp+ㄴ/etm
(주)보배를	(/sl+주/ncn+)/sr+보배/nq+를/jco
인수한데	인수/ncpa+하/xsv+ㄴ/etm+데/nbn
이어,	이어/mag+,/sp
지난달	지나/pvg+ㄴ/etm+달/ncn
30일에는	30/nno+일/nbu+에/jca+는/jxc
35억원에	35억/nnc+원/nbu+에/jca
충북의	충북/nq+의/jcm
백학주조를	백학주조/nq+를/jco
인수해	인수/ncpa+하/xsv+어/ecs
소주시장	소주/ncn+시장/ncn
진출을	진출/ncn+을/jco
위한	위하/pvg+ㄴ/etm
채비를	채비/ncn+를/jco
해왔다.	하/pvg+어/ecx+오/px+았/ep+다/ef+./sf
조선맥주는	조선맥주/nq+는/jxc
이들	이/npd+들/xsn
지방소주회사를	지방/ncn+소주/ncn+회사/ncn+를/jco
토대로	토대/ncn+로/jca
지방시장	지방/ncn+시장/ncn
기반을	기반/ncn+을/jco
넓히면서	넓히/pvg+면서/ecs
동시에	동시/ncn+에/jca
`휘파람'을	`/sl+휘파람/nq+'/sr+을/jco
내놓아	내/pvg+어/ecs+놓/pvg+아/ecs
서울을	서울/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
수도권시장에	수도/ncn+권/xsn+시장/ncn+에/jca
도전한다는	도전/ncpa+하/xsv+ㄴ다/ef+는/etm
계획을	계획/ncn+을/jco
세우고	세우/pvg+고/ecx
있었다.	있/px+었/ep+다/ef+./sf
그러던	그러/pvd+던/etm
조선맥주가	조선맥주/nq+가/jcs
이처럼	이/npd+처럼/jca
신제품	신/xp+제품/ncn
출시시기를	출시/ncn+시기/ncn+를/jco
조정한	조정/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
프리미엄급	프리미엄/ncn+급/ncn
소주시장이	소주/ncn+시장/ncn+이/jcs
전체	전체/ncn
소주시장에서	소주/ncn+시장/ncn+에서/jca
차지하는	차지/ncpa+하/xsv+는/etm
비중이	비중/ncn+이/jcs
지난해	지나/pvg+ㄴ/etm+해/ncn
3/4분기	3/nno+//sp+4/nnc+분기/ncn
8%	8/nnc+%/su
수준에서	수준/ncn+에서/jca
최근	최근/ncn
5%	5/nnc+%/su
안팎으로	안팎/ncn+으로/jca
줄어들고	줄/pvg+어/ecx+들/px+고/ecx
있는데다,	있/px+는데다/ecs+,/sp
신제품의	신/xp+제품/ncn+의/jcm
이름	이름/ncn
`휘파람'이	`/sl+휘파람/nq+'/sr+이/jcs
난국에	난국/ncn+에/jca
빠진	빠지/pvg+ㄴ/etm
현재의	현재/ncn+의/jcm
경제	경제/ncn
분위기와는	분위기/ncn+와/jct+는/jxc
너무	너무/mag
동떨어져	동떨어지/pvg+어/ecs
오히려	오히려/mag
소비자들의	소비/ncn+자/xsn+들/xsn+의/jcm
반감을	반감/ncn+을/jco
살	살/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
판단에	판단/ncn+에/jca
따른	따르/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
미원그룹(회장	미원그룹/nq+(/sl+회장/ncn
고두모)이	고두모/nq+)/sr+이/jcs
3일	3/nno+일/nbu
대상그룹으로	대상그룹/nq+으로/jca
이름을	이름/ncn+을/jco
바꾸고	바꾸/pvg+고/ecs
다시	다시/mag
출범했다.	출범/ncpa+하/xsv+었/ep+다/ef+./sf
미원은	미원/nq+은/jxc
이날	이/mmd+날/ncn
오전	오전/ncn
서울	서울/nq
동대문구	동대문구/nq
신설동	신설동/nq
그룹	그룹/ncn
본사에서	본사/ncn+에서/jca
대상그룹	대상그룹/nq
출범식을	출범/ncn+식/xsn+을/jco
열고	열/pvg+고/ecs
새	새/mma
심벌과	심벌/ncn+과/jcj
로고(사진)를	로고/ncn+(/sl+사진/ncn+)/sr+를/jco
발표했다.	발표/ncpa+하/xsv+었/ep+다/ef+./sf
대상그룹의	대상그룹/nq+의/jcm
출범으로	출범/ncn+으로/jca
미원통상(주)과	미원통상/nq+(/sl+주/ncn+)/sr+과/jcj
미원(주)을	미원/nq+(/sl+주/ncn+)/sr+을/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
미원그룹의	미원그룹/nq+의/jcm
9개	9/nnc+개/nbu
계열사	계열/ncn+사/xsn
이름이	이름/ncn+이/jcs
모두	모두/mag
`대상'으로	`/sl+대상/nq+'/sr+으로/jca
통일됐다.	통일/ncpa+되/xsv+었/ep+다/ef+./sf
대상그룹	대상그룹/nq
출범은	출범/ncn+은/jxc
지난	지나/pvg+ㄴ/etm
10월31일	10/nno+월/nbu+31/nno+일/nbu
임시	임시/ncn
주주총회에서	주주/ncn+총회/ncn+에서/jca
미원그룹의	미원그룹/nq+의/jcm
모기업인	모기업/ncn+이/jp+ㄴ/etm
(주)미원과	(/sl+주/ncn+)/sr+미원/nq+과/jcj
대상공업(전	대상공업/nq+(/sl+전/mma
세원)이	세원/nq+)/sr+이/jcs
`대상주식회사'로	`/sl+대상주식회사/nq+'/sr+로/jca
통합됨에	통합/ncpa+되/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
이뤄졌다.	이루/pvg+어/ecx+지/px+었/ep+다/ef+./sf
삼호물산(대표	삼호물산/nq+(/sl+대표/ncn
김민원)은	김민원/nq+)/sr+은/jxc
어묵과	어묵/ncn+과/jcj
옹가네	옹가네/nq
장류	장류/ncn
등	등/nbn
주력	주력/ncn
생산제품의	생산/ncn+제품/ncn+의/jcm
상표를	상표/ncn+를/jco
하나로	하나/nnc+로/jca
묶은	묶/pvg+은/etm
이미지	이미지/ncn
통합	통합/ncn
상표	상표/ncn
`행복이	`/sl+nq[행복/ncn+이/jcs
가득한	가득/ncps+하/xsm+ㄴ/etm
집'을	집/ncn]nq+'/sr+을/jco
새로	새로/mag
내놓았다.	내/pvg+어/ecs+놓/pvg+았/ep+다/ef+./sf
에버랜드는	에버랜드/nq+는/jxc
분당	분당/nq
삼성플라자	삼성플라자/nq
5층	5/nno+층/nbu
완구매장에	완구/ncn+매장/ncn+에/jca
`둘리'	`/sl+둘리/nq+'/sr
`킹코'	`/sl+킹코/nq+'/sr
등	등/nbn
순수	순수/ncn
국산	국산/ncn
캐릭터	캐릭터/ncn
상품을	상품/ncn+을/jco
전문으로	전문/ncn+으로/jca
파는	팔/pvg+는/etm
`에버랜드	`/sl+nq[에버랜드/nq
스토어'	스토어/ncn]nq+'/sr
1호점을	1/nno+호/nbu+점/xsn+을/jco
개장했다.	개장/ncpa+하/xsv+었/ep+다/ef+./sf
(주)샤니는	(/sl+주/ncn+)/sr+샤니/nq+는/jxc
삶은	삶/pvg+은/etm
통팥을	통팥/ncn+을/jco
그대로	그대로/mag
캔에	캔/ncn+에/jca
넣어	넣/pvg+어/ecs
만든	만들/pvg+ㄴ/etm
`마시는	`/sl+nq[마시/pvg+는/etm
동지	동지/ncn
단팥'을	단팥/ncn]nq+'/sr+을/jco
새로	새로/mag
내놓았다.	내/pvg+어/ecs+놓/pvg+았/ep+다/ef+./sf
아시아나항공은	아시아나항공/nq+은/jxc
제주	제주/nq
그랜드호텔,	그랜드호텔/nq+,/sp
제주	제주/nq
하얏트호텔,	하얏트호텔/nq+,/sp
부산	부산/nq
하얏트호텔,	하얏트호텔/nq+,/sp
경주	경주/nq
힐튼호텔,	힐튼호텔/nq+,/sp
경주	경주/nq
조선호텔	조선호텔/nq
등	등/nbn
특급호텔과	특급/ncn+호텔/ncn+과/jct
업무제휴를	업무/ncn+제휴/ncn+를/jco
맺고	맺/pvg+고/ecs
4일부터	4/nno+일/nbu+부터/jxc
비즈니스	비즈니스/ncn
클래스	클래스/ncn
승객에게	승객/ncn+에게/jca
호텔	호텔/ncn
투숙료와	투숙/ncn+료/xsn+와/jcj
부대시설	부대/ncn+시설/ncn
이용료를	이용/ncn+료/xsn+를/jco
30~50%	30/nnc+~/sd+50/nnc+%/su
할인해주기로	할인/ncpa+하/xsv+어/ecx+주/px+기/etn+로/jca
했다.	하/pvg+었/ep+다/ef+./sf
기아자동차는	기아자동차/nq+는/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
30일부터	30/nno+일/nbu+부터/jxc
2일까지	2/nno+일/nbu+까지/jxc
호주	호주/nq
서남부	서남부/ncn
퍼스에서	퍼스/nq+에서/jca
열린	열리/pvg+ㄴ/etm
세계랠리선수권대회에서	세계랠리선수권대회/nq+에서/jca
`세피아'	`/sl+세피아/nq+'/sr
경주차가	경주/ncn+차/ncn+가/jcs
비개조	비/xp+개조/ncn
부문	부문/ncn
우승을	우승/ncn+을/jco
차지했다고	차지/ncpa+하/xsv+었/ep+다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
현대정공은	현대정공/nq+은/jxc
15마력급	15/nnc+마력/nbu+급/ncn
초정밀	초/xp+정밀/ncn
강력	강력/ncn
모터를	모터/ncn+를/jco
사용해	사용/ncpa+하/xsv+어/ecs
기존	기존/ncn
제품보다	제품/ncn+보다/jca
출력을	출력/ncn+을/jco
5마력이나	5/nnc+마력/nbu+이나/jxc
높임으로써	높이/pvg+ㅁ/etn+으로써/jca
가공	가공/ncn
생산성을	생산/ncn+성/xsn+을/jco
크게	크/paa+게/ecs
향상한	향상/ncpa+하/xsv+ㄴ/etm
초고속	초/xp+고속/ncn
머시닝센터	머시닝/ncn+센터/ncn
신제품을	신/xp+제품/ncn+을/jco
내놓았다.	내/pvg+어/ecs+놓/pvg+았/ep+다/ef+./sf
*는	*/sy+는/jxc
전국의	전국/ncn+의/jcm
계열주유소를	계열/ncn+주유/ncn+소/xsn+를/jco
대상으로	대상/ncn+으로/jca
대청소를	대/xp+청소/ncn+를/jco
실시하고	실시/ncpa+하/xsv+고/ecc
주유원	주유/ncc+원/xsn
서비스실명제를	서비스/ncn+실명/ncn+제/xsn+를/jco
도입하는	도입/ncpa+하/xsv+는/etm
등	등/nbn
신서비스운동을	신/xp+서비스/ncn+운동/ncn+을/jco
벌인다고	벌이/pvg+ㄴ다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
입동(7일)이	입동/ncn+(/sl+7/nno+일/nbu+)/sr+이/jcs
며칠이	며칠/ncn+이/jcs
남아있지만	남/pvg+아/ecs+있/pvg+지만/ecs
날씨는	날씨/ncn+는/jxc
벌써	벌써/mag
초겨울이다.	초겨울/ncn+이/jp+다/ef+./sf
깊이	깊/paa+이/xsa
넣어	넣/pvg+어/ecs
두었던	두/pvg+었/ep+던/etm
난방용품을	난방/ncn+용품/ncn+을/jco
꺼내	꺼내/pvg+어/ecs
손질하거나	손질/ncpa+하/xsv+거나/ecc
쓸만한	쓰/pvg+ㄹ/etm+만하/px+ㄴ/etm
제품을	제품/ncn+을/jco
새로	새로/mag
마련할	마련/ncpa+하/xsv+ㄹ/etm
때다.	때/ncn+다/ef+./sf
시중에	시중/ncn+에/jca
나와있는	나오/pvg+아/ecx+있/px+는/etm
팬히터	팬히터/ncn
석유난로	석유/ncn+난로/ncn
등	등/nbn
난방제품들은	난방/ncn+제품/ncn+들/xsn+은/jxc
최근	최근/ncn
몇년새	몇/mma+년/nbu+새/ncn
성능이	성능/ncn+이/jcs
크게	크/paa+게/ecs
개선돼	개선/ncpa+되/xsv+어/ecs
대부분	대부분/ncn
믿고	믿/pvg+고/ecs
살	사/pvg+ㄹ/etm
만	만/nbn
하지만,	하/pvg+지만/ecs+,/sp
제조회사에	제조/ncn+회사/ncn+에/jca
따라	따르/pvg+아/ecs
가격과	가격/ncn+과/jcj
기능,	기능/ncn+,/sp
안전성에서	안전/ncn+성/xsn+에서/jca
조금씩	조금/ncn+씩/xsn
차이가	차이/ncn+가/jcs
나기	나/pvg+기/etn
때문에	때문/nbn+에/jca
여러모로	여러모로/mag
비교해	비교/ncpa+하/xsv+어/ecx
보는	보/px+는/etm
게	거/nbn+이/jcs
좋겠다.	좋/paa+겠/ep+다/ef+./sf
용도에	용도/ncn+에/jca
알맞는	알맞/paa+는/etm
종류와	종류/ncn+와/jcj
용량의	용량/ncn+의/jcm
제품을	제품/ncn+을/jco
고르는	고르/pvg+는/etm
지혜도	지혜/ncn+도/jxc
필요하다.	필요/ncps+하/xsm+다/ef+./sf
제품별	제품/ncn+별/xsn
특성과	특성/ncn+과/jcj
구입요령	구입/ncn+요령/ncn
등을	등/nbn+을/jco
알아본다.	알/pvg+아/ecx+보/px+ㄴ다/ef+./sf
열기를	열기/ncn+를/jco
팬으로	팬/ncn+으로/jca
강제순환시켜	강제/ncn+순환/ncpa+시키/xsv+어/ecs
실내	실내/ncn
구석구석을	구석구석/ncn+을/jco
따뜻하게	따뜻/ncps+하/xsm+게/ecs
해주고	하/pvg+어/ecx+주/px+고/ecc
가습기까지	가습/ncn+기/xsn+까지/jxc
달려있어	달리/pvg+어/ecs+있/pvg+어/ecs
해마다	해/ncn+마다/jxc
꾸준히	꾸준/ncn+히/xsa
팔리고	팔리/pvg+고/ecx
있는	있/px+는/etm
인기품목이다.	인기/ncn+품목/ncn+이/jp+다/ef+./sf
실내온도에	실내/ncn+온도/ncn+에/jca
따라	따르/pvg+아/ecs
스스로	스스로/mag
온도를	온도/ncn+를/jco
조절하는	조절/ncpa+하/xsv+는/etm
자동온도	자동/ncn+온도/ncn
감지기능과	감지/ncn+기능/ncn+과/jcj
냄새방지	냄새/ncn+방지/ncn
완전연소	완전/ncn+연소/ncn
기능에다가	기능/ncn+에/jca+다가/jxc
음이온	음/ncn+이온/ncn
적외선	적외선/ncn
방출기능과	방출/ncn+기능/ncn+과/jcj
공기청정	공기/ncn+청정/ncn
기능까지	기능/ncn+까지/jxc
갖춘	갖추/pvg+ㄴ/etm
제품들도	제품/ncn+들/xsn+도/jxc
많이	많/paa+이/xsa
나와	나오/pvg+아/ecx
있다.	있/px+다/ef+./sf
하지만	하지만/maj
실제	실제/ncn
난방효과에선	난방/ncn+효과/ncn+에서/jca+ㄴ/jxc
별	별/mma
차이가	차이/ncn+가/jcs
나지	나/pvg+지/ecx
않으면서	않/px+으면서/ecs
값만	값/ncn+만/jxc
비싼	비싸/paa+ㄴ/etm
경우가	경우/ncn+가/jcs
적지	적/paa+지/ecx
않으므로	않/px+으므로/ecs
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
기능만	기능/ncn+만/jxc
갖춘	갖추/pvg+ㄴ/etm
제품을	제품/ncn+을/jco
구입하는	구입/ncpa+하/xsv+는/etm
게	거/nbn+이/jcs
고장부담도	고장/ncn+부담/ncn+도/jxc
적고	적/paa+고/ecc
경제적이다.	경제/ncn+적/xsn+이/jp+다/ef+./sf
팬히터와	팬히터/ncn+와/jct
마찬가지로	마찬가지/ncn+로/jca
실내온도를	실내/ncn+온도/ncn+를/jco
감지해	감지/ncpa+하/xsv+어/ecs
불꽃을	불꽃/ncn+을/jco
자동으로	자동/ncn+으로/jca
조절해	조절/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
센서나	센서/ncn+나/jcj
외부로부터	외부/ncn+로/jca+부터/jxc
충격을	충격/ncn+을/jco
받으면	받/pvg+으면/ecs
불이	불/ncn+이/jcs
꺼지는	꺼지/pvg+는/etm
장치	장치/ncn
등을	등/nbn+을/jco
갖춰	갖추/pvg+어/ecs
편리함과	편리함/ncn+과/jcj
안전성을	안전/ncn+성/xsn+을/jco
높인	높이/pvg+ㄴ/etm
제품들이	제품/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
나와있다.	나오/pvg+아/ecx+있/px+다/ef+./sf
또	또/maj
연소할	연소/ncpa+하/xsv+ㄹ/etm
때	때/ncn
공기를	공기/ncn+를/jco
많이	많/paa+이/xsa
쓰는	쓰/pvg+는/etm
제품인	제품/ncn+이/jp+ㄴ/etm
만큼	만큼/nbn
실내에	실내/ncn+에/jca
산소가	산소/ncn+가/jcs
부족할	부족/ncps+하/xsm+ㄹ/etm
때	때/ncn
경보를	경보/ncn+를/jco
울리거나	울리/pvg+거나/ecc
불을	불/ncn+을/jco
자동으로	자동/ncn+으로/jca
끄는	끄/pvg+는/etm
