<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0300.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0300.txt </filename>
<title>수학과의 만남  </title>
<author>써지 랭 저 ; 송교식 역  </author>
<date>1992  </date>
<publisher>가서원  </publisher>
<kdc>410  </kdc>
<ddc> 510 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
수학을	수학/ncn+을/jco
예	예/ii
,	,/sp
그러나	그러나/maj
분명히	분명/ncn+히/xsa
도달하지는	도달/ncpa+하/xsv+지/ecx+는/jxc
않습니다	않/px+습니다/ef
.	./sf
똑같지는	똑같/paa+지/ecx+는/jxc
않습니다	않/px+습니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
무엇이	무엇/npd+이/jcs
똑같지	똑같/paa+지/ecx
않다는	않/px+다/ef+는/etm
겁니까	거/nbn+ㅂ니까/ef
?(	?/sf+(/sl
선생님과	선생/ncn+님/xsn+과/jcj
학생이	학생/ncn+이/jcs
동시에	동시에/mag
말했다	말/ncpa+하/xsv+었/ep+다/ef
.)	./sf+)/sr
칠판에	칠판/ncn+에/jca
쓰겠습니다	쓰/pvg+겠/ep+습니다/ef
.	./sf
원의	원/ncn+의/jcm
넓이가	넓이/ncn+가/jcs
이라고	이/jp+라/ef+고/jcr
알고	알/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
n	n/f
각형의	각형/ncn+의/jcm
넓이를	넓이/ncn+를/jco
이라고	이/jp+라/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
넓이	넓이/ncn
이	이/jcs
원판의	원판/ncn+의/jcm
넓이에	넓이/ncn+에/jca
가까워집니다	가깝/paa+어/ecx+지/px+ㅂ니다/ef
.	./sf
정확하게	정확/ncps+하/xsm+게/ecs
똑같다고	똑같/paa+다/ef+고/jcr
말하지	말/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
가까워진다고	가깝/paa+어/ecx+지/px+ㄴ다/ef+고/jcr
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
써지	써지/nq
:	:/sp
분명히	분명/ncn+히/xsa
도달하지	도달/ncpa+하/xsv+지/ecx
않는데	않/px+는데/ecs
,	,/sp
어떻게	어떻/pad+게/ecs
말할	말/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
무엇을	무엇/npd+을/jco
말하는지	말/ncpa+하/xsv+는지/ecs
모르겠군요	모르/pvg+겠/ep+군/ef+요/jxf
.	./sf
'	'/sl
꼭	꼭/mag
도달하지	도달/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
'	'/sr
는	는/etm
말이	말/ncn+이/jcs
무슨	무슨/mmd
뜻입니까	뜻/ncn+이/jp+ㅂ니까/ef
?(	?/sf+(/sl
선생님과	선생/ncn+님/xsn+과/jcj
학생이	학생/ncn+이/jcs
동시에	동시에/mag
말했다	말/ncpa+하/xsv+었/ep+다/ef
.)	./sf+)/sr
써지	nq[써지/nq
:	:/sp
다각형의	다각형/ncn+의/jcm
넓이가	넓이/ncn+가/jcs
원의	원/ncn+의/jcm
넓이와	넓이/ncn+와/jct
똑같게	똑같/paa+게/ecs
될	되/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없습니다	없/paa+습니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
예	예/ii
,	,/sp
똑같지는	똑같/paa+지/ecx+는/jxc
않습니다	않/px+습니다/ef
.	./sf
써지	nq[써지/nq
:	:/sp
예	예/ii
,	,/sp
그러면	그러면/maj
선생님께서는	선생/ncn+님/xsn+께서/jcs+는/jxc
공식이	공식/ncn+이/jcs
정확하다는	정확/ncps+하/xsm+다/ef+는/etm
것을	것/nbn+을/jco
어떻게	어떻/pad+게/ecs
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니까	있/paa+습니까/ef
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
아	아/ii
,	,/sp
n	n/f
각형의	각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
원의	원/ncn+의/jcm
넓이에	넓이/ncn+에/jca
가까워집니다	가깝/paa+어/ecx+지/px+ㅂ니다/ef
.	./sf
n	n/f
각형의	각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
입니다	이/jp+ㅂ니다/ef
.	./sf
은	은/jxc
무엇에	무엇/npd+에/jca
가까워집니까	가깝/paa+어/ecx+지/px+ㅂ니까/ef
?	?/sf
써지	써지/nq
:	:/sp
그것은	그것/npd+은/jxc
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
은	은/jxc
어떤	어떤/mmd
수에	수/ncn+에/jca
가까워집니까	가깝/paa+어/ecx+지/px+ㅂ니까/ef
?	?/sf
써지	nq[써지/nq
:	:/sp
cr	cr/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그렇습니다	그렇/pad+습니다/ef
.	./sf
한편으로는	한편/ncn+으로/jca+는/jxc
n	n/f
각형의	각형/ncn+의/jcm
넓이가	넓이/ncn+가/jcs
에	에/jca
가까워지고	가깝/paa+어/ecx+지/px+고/ecc
,	,/sp
다른	다르/paa+ㄴ/etm
한편으로는	한편/ncn+으로/jca+는/jxc
n	n/f
각형의	각형/ncn+의/jcm
넓이와	넓이/ncn+와/jct
같은	같/paa+은/etm
이	이/jcs
cr	cr/f
에	에/jca
가까워집니다	가깝/paa+어/ecx+지/px+ㅂ니다/ef
.	./sf
하나의	하나/ncn+의/jcm
식이	식/ncn+이/jcs
두	두/nnc
수에	수/ncn+에/jca
가까워지는데	가깝/paa+어/ecx+지/px+는데/ecs
두	두/nnc
식이	식/ncn+이/jcs
같다고	같/paa+다/ef+고/jcr
하면	하/pvg+면/ecs
두	두/nnc
수는	수/ncn+는/jxc
같아야만	같/paa+아야/ecs+만/jxc
합니다	하/px+ㅂ니다/ef
.	./sf
써지	써지/nq
:	:/sp
아	아/ii
,	,/sp
무슨	무슨/mmd
뜻인지	뜻/ncn+이/jp+ㄴ지/ecs
압니다	알/pvg+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
제가	제/npp+가/jcs
이라고	이/jp+라/ef+고/jcr
쓸	쓰/pvg+ㄹ/etm
때	때/ncn
,	,/sp
여기에	여기/npd+에/jca
등호가	등호/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
이	이/mmd
등호는	등호/ncn+는/jxc
근사를	근사/ncn+를/jco
말하는	말/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcc
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
이것은	이것/npd+은/jxc
정확히	정확/ncn+히/xsa
같은	같/paa+은/etm
것을	것/nbn+을/jco
말합니다	말/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그렇죠	그렇/pad+지/ef+요/jxf
?	?/sf
한편으로는	한편/ncn+으로/jca+는/jxc
숫자	숫자/ncn
이	이/nnc
에	에/jca
가까워지고	가깝/paa+어/ecx+지/px+고/ecc
다른	다르/paa+ㄴ/etm
한편으로는	한편/ncn+으로/jca+는/jxc
같은	같/paa+은/etm
수	수/ncn
이	이/nnc
cr	cr/f
에	에/jca
가까워집니다	가깝/paa+어/ecx+지/px+ㅂ니다/ef
.	./sf
따라서	따라서/maj
같은	같/paa+은/etm
수가	수/ncn+가/jcs
두	두/nnc
개의	개/nbu+의/jcm
가능성에	가능/ncn+성/xsn+에/jca
가까워집니다	가깝/paa+어/ecx+지/px+ㅂ니다/ef
.	./sf
그러니	그러니/maj
두	두/nnc
개의	개/nbu+의/jcm
가능성은	가능/ncn+성/xsn+은/jxc
같을	같/paa+을/etm
수밖에	수/nbn+밖에/jxc
없습니다	없/paa+습니다/ef
.	./sf
써지	써지/nq
:	:/sp
아	아/ii
,	,/sp
예	예/ii
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
알겠습니까	알/pvg+겠/ep+습니까/ef
?	?/sf
질문에	질문/ncn+에/jca
답이	답/ncn+이/jcc
되겠습니까	되/pvg+겠/ep+습니까/ef
?	?/sf
써지	써지/nq
:	:/sp
예	예/ii
,	,/sp
됐습니다	되/pvg+었/ep+습니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
누구	누구/npp
또	또/maj
비슷한	비슷/ncps+하/xsm+ㄴ/etm
질문	질문/ncn
없습니까	없/paa+습니까/ef
?	?/sf
학생은	학생/ncn+은/jxc
설명을	설명/ncn+을/jco
이해하겠습니까	이해/ncpa+하/xsv+겠/ep+습니까/ef
?(	?/sf+(/sl
선생님이	선생/ncn+님/xsn+이/jcs
한	한/nnc
학생을	학생/ncn+을/jco
가리킨다	가리키/pvg+ㄴ다/ef
.)	./sf+)/sr
학생	학생/ncn
:	:/sp
예	예/ii
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
학생	학생/ncn
이름이	이름/ncn+이/jcs
무엇입니까	무엇/npd+이/jp+ㅂ니까/ef
?	?/sf
학생	학생/ncn
:	:/sp
마이크	마이크/nq
(	(/sl
Mike	Mike/f
)	)/sr
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
설명을	설명/ncn+을/jco
다시	다시/mag
해	하/pvg+어/ecx
보겠습니까	보/px+겠/ep+습니까/ef
?	?/sf
마이크	마이크/nq
!(	!/sf+(/sl
웃음	웃음/ncn
)	)/sr
마이크	마이크/nq
:	:/sp
좋습니다	좋/paa+습니다/ef
.	./sf
선생님은	선생/ncn+님/xsn+은/jxc
원을	원/ncn+을/jco
가지고	가지/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.(	./sf+(/sl
웃음	웃음/ncn
)	)/sr
그리고	그리고/maj
원을	원/ncn+을/jco
나누었습니다	나누/pvg+었/ep+습니다/ef
.	./sf
반지름은	반지름/ncn+은/jxc
r	r/f
이었습니다	이/jp+었/ep+습니다/ef
.	./sf
그것을	그것/npd+을/jco
n	n/f
번	번/nbu
나누었습니다	나누/pvg+었/ep+습니다/ef
.	./sf
여기서	여기/npd+서/jca
n	n/f
이라는	이/jp+라/ef+는/etm
것은	것/nbn+은/jxc
임의의	임의/ncn+의/jcm
숫자입니다	숫자/ncn+이/jp+ㅂ니다/ef
.	./sf
그래서	그래서/maj
나눌	나누/pvg+ㄹ/etm
때	때/ncn
,	,/sp
이	이/mmd
작은	작/paa+은/etm
것들로	것/nbn+들/xsn+로/jca
작은	작/paa+은/etm
삼각형들을	삼각형/ncn+들/xsn+을/jco
사용했습니다	사용/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
이	이/mmd
삼각형의	삼각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
밑변	밑변/mag
곱하기	곱하기/ncn
높이의	높이/ncn+의/jcm
반이죠	반/nnc+이/jp+지/ef+요/jxf
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
예	예/ii
.	./sf
마티크	마티크/nq
:	:/sp
삼각형의	삼각형/ncn+의/jcm
밑변을	밑변/ncn+을/jco
이고	이/jp+고/ecc
높이는	높이/pvg+는/etm
이니까	이/jp+니까/ecs
,	,/sp
넓이는	넓이/ncn+는/jxc
의	의/jcm
반입니다	반/nnc+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
맞습니다	맞/pvg+습니다/ef
.	./sf
마이크	마이크/nq
:	:/sp
그런	그런/mmd
다음	다음/ncn
n	n/f
이라는	이/jcs+라/ef+는/etm
숫자를	숫자/ncn+를/jco
곱하는데	곱하/pvg+는데/ecs
,	,/sp
그것도	그것/npd+도/jxc
선생님이	선생/ncn+님/xsn+이/jcs
가지고	가지/pvg+고/ecx
계신	계시/px+ㄴ/etm
겁니다	거/nbn+ㅂ니다/ef
.(	./sf+(/sl
웃음	웃음/ncn
)	)/sr
의	의/jcm
n	n/f
배는	배/ncn+는/jxc
둘레의	둘레/ncn+의/jcm
길이로	길이/ncn+로/jca
,	,/sp
이	이/jcc
됩니다	되/pvg+ㅂ니다/ef
.	./sf
그리고	그리하/pvd+고/ecx
나서	나/px+서/ecs
,	,/sp
의	의/jcm
반은	반/nnc+은/jxc
c	c/f
곱하기	곱하기/ncn
r	r/f
의	의/jcm
반인데	반/nnc+이/jp+ㄴ데/ecs
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:'	:/sp+'/sl
이다	이/jp+다/ef
'	'/sr
가	가/jcc
아니라	아니/paa+라/ecs
가까워진다	가깝/paa+어/ecx+지/px+ㄴ다/ef
.	./sf
마이크	마이크/nq
:	:/sp
오	오/ii
,	,/sp
예	예/ii
,	,/sp
가까워진다	가깝/paa+어/ecx+지/px+ㄴ다/ef
.	./sf
c	c/f
곱하기	곱하기/ncn
r	r/f
에	에/jca
,	,/sp
그리고	그리고/maj
,	,/sp
아	아/ii
,	,/sp
은	은/jxc
cr	cr/f
과	과/jct
같습니다	같/paa+습니다/ef
.	./sf
양변을	양변/ncn+을/jco
r	r/f
로	로/jca
나눕니다	나누/pvg+ㅂ니다/ef
.	./sf
그리고	그리고/maj
양변의	양변/ncn+의/jcm
2	2/nnc
를	를/jco
곱하니	곱하/pvg+니/ecs
,	,/sp
은	은/jxc
c	c/f
와	와/jct
같습니다	같/paa+습니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
브라보	브라보/ncn
!	!/sf
학생은	학생/ncn+은/jxc
정말로	정말로/mag
이해했군요	이해/ncpa+하/xsv+었/ep+군/ef+요/jxf
.(	./sf+(/sl
학급	학급/ncn
전체에게	전체/ncn+에게/jca
)	)/sr
마이크가	마이크/nq+가/jcs
하는	하/pvg+는/etm
것을	것/nbn+을/jco
보았습니까	보/pvg+았/ep+습니까/ef
?	?/sf
그는	그/npp+는/jxc
증명	증명/ncn
전체와	전체/ncn+와/jcj
착상	착상/ncn
(	(/sl
idea	idea/f
)	)/sr
의	의/jcm
전체적인	전체/ncn+적/xsn+이/jp+ㄴ/etm
순서를	순서/ncn+를/jco
한꺼번에	한꺼번에/mag
반복할	반복/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
그건	그거/npd+ㄴ/jxc
정말	정말/mag
대단한	대단/ncps+하/xsm+ㄴ/etm
겁니다	거/nbn+ㅂ니다/ef
.	./sf
정말	정말/mag
잘했습니다	잘/mag+하/pvg+었/ep+습니다/ef
.	./sf
덧붙이는	덧붙이/pvg+는/etm
말	말/ncn
강의에	강의/ncn+에/jca
대한	대하/pvg+ㄴ/etm
반응은	반응/ncn+은/jxc
대단히	대단/ncn+히/xsa
만족스러웠습니다	만족/ncps+스럽/xsm+었/ep+습니다/ef
.	./sf
'	'/sl
확신	확신/ncn
-	-/sd
강요	강요/ncn
'	'/sl
의	의/jcm
연속을	연속/ncn+을/jco
시작했을	시작/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
레이첼이	레이첼/nq+이/jcs
그	그/mmd
긴장을	긴장/ncn+을/jco
버텨낼지	버티/pvg+어/ecx+내/px+ㄹ지/ecs
어떨지	어떻/pad+ㄹ지/ecs
염러했었다고	염러/ncpa+하/xsv+었었/ep+다고/ecs
한	한/nnc
여선생님이	여선생/ncn+님/xsn+이/jcs
나중에	나중/ncn+에/jca
저에게	저/npp+에게/jca
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
레이첼은	레이첼/nq+은/jxc
참아냈을	참/pvg+아/ecx+내/px+었/ep+을/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
(	(/sl
저는	저/npp+는/jxc
그것이	그것/npd+이/jcs
긴장이었는지	긴장/ncn+이/jp+었/ep+는지/ecs
모르겠는데	모르/pvg+겠/ep+는데/ecs
)	)/sr
점차적으로	점차/ncn+적/xsn+으로/jca
확신을	확신/ncn+을/jco
얻어갔고	얻/pvg+어/ecx+가/px+았/ep+고/ecc
,	,/sp
그녀의	그녀/npp+의/jcm
목소리는	목소리/ncn+는/jxc
불분명했다가	불/xp+분명/ncps+하/xsm+었/ep+다가/ecs
매우	매우/mag
단정적으로	단정/ncn+적/xsn+으로/jca
변했습니다	변하/pvg+었/ep+습니다/ef
.	./sf
애석하게도	애석/ncpa+하/xsv+게/ecs+도/jxc
말투를	말투/ncn+를/jco
글로	글/ncn+로/jca
옮길	옮기/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
어떤	어떤/mmd
학생과도	학생/ncn+과/jct+도/jxc
이런	이런/mmd
종류의	종류/ncn+의/jcm
연속을	연속/ncn+을/jco
실행할	실행/ncpa+하/xsv+ㄹ/etm
생각은	생각/ncn+은/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
그러한	그러하/pad+ㄴ/etm
대화가	대화/ncn+가/jcs
학생에게	학생/ncn+에게/jca
심한	심하/paa+ㄴ/etm
긴장을	긴장/ncn+을/jco
줄지	주/pvg+ㄹ지/ecs
,	,/sp
아니면	아니/paa+면/ecs
반대로	반대/ncn+로/jca
,	,/sp
그것	그것/npd
때문에	때문/nbn+에/jca
새로운	새롭/paa+ㄴ/etm
이해	이해/ncn
수준을	수준/ncn+을/jco
얻게	얻/pvg+게/ecs
될런지에	되/pvg+ㄹ런지/ecs+에/jca
대한	대하/pvg+ㄴ/etm
제	제/npp
편에서의	편/nbn+에서/jca+의/jcm
빠른	빠르/paa+ㄴ/etm
판단이	판단/ncn+이/jcs
있어야	있/paa+어야/ecs
했습니다	하/px+었/ep+습니다/ef
.	./sf
전체적인	전체/ncn+적/xsn+이/jp+ㄴ/etm
증명을	증명/ncn+을/jco
재현해	재현/ncpa+하/xsv+어/ecs
보여	보이/pvg+어/ecx
준	주/px+ㄴ/etm
마이크의	마이크/nq+의/jcm
작업은	작업/ncn+은/jxc
대단한	대단/ncps+하/xsm+ㄴ/etm
성공이었습니다	성공/ncn+이/jp+었/ep+습니다/ef
.	./sf
제가	제/npp+가/jcs
초등이나	초등/ncn+이나/jcj
중등	중등/ncn
교육과정	교육/ncn+과정/ncn
혹은	혹은/maj
교수법에	교수/ncn+법/ncn+에/jca
대해	대하/pvg+어/ecs
갖고	갖/pvg+고/ecx
있는	있/px+는/etm
이의	이의/ncn
중	중/nbn
주된	주되/pvg+ㄴ/etm
것은	것/nbn+은/jxc
기술적인	기술/ncn+적/xsn+이/jp+ㄴ/etm
면을	면/ncn+을/jco
지나치게	지나치/paa+게/ecs
강조하고	강조/ncpa+하/xsv+고/ecc
,	,/sp
논리가	논리/ncn+가/jcs
일관되지	일관/ncpa+되/xsv+지/ecx
않으며	않/px+으며/ecs
,	,/sp
의문점이	의문/ncn+점/ncn+이/jcs
생기는	생기/pvg+는/etm
곳에서	곳/ncn+에서/jca
철저함이	철저/ncps+하/xsm+ㅁ/etn+이/jcs
부족하다는	부족/ncpa+하/xsv+다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
제가	제/npp+가/jcs
선택한	선택/ncpa+하/xsv+ㄴ/etm
주제에는	주제/ncn+에/jca+는/jxc
어떤	어떤/mmd
철저함이	철저/ncps+하/xsm+ㅁ/etn+이/jcs
부족하다는	부족/ncpa+하/xsv+다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
증명을	증명/ncn+을/jco
재현하는	재현/ncpa+하/xsv+는/etm
동안에	동안/ncn+에/jca
지적인	지적/ncn+이/jp+ㄴ/etm
수레	수레/ncn
바퀴가	바퀴/ncn+가/jcs
돌아가는	돌/pvg+아/ecs+가/pvg+는/etm
듯한	듯하/px+ㄴ/etm
마이크의	마이크/nq+의/jcm
얼굴	얼굴/ncn
표정은	표정/ncn+은/jxc
매혹적이었습니다	매혹/ncn+적/xsn+이/jp+었/ep+습니다/ef
.	./sf
그는	그/npp+는/jxc
말로써	말/ncn+로써/jca
,	,/sp
문장을	문장/ncn+을/jco
사용해서	사용/ncpa+하/xsv+어서/ecs
그것을	그것/npd+을/jco
해냈고	하/pvg+어/ecx+내/px+었/ep+고/ecc
,	,/sp
일단의	일단/ncn+의/jcm
구성	구성/ncn
문제와	문제/ncn+와/jcj
어휘의	어휘/ncn+의/jcm
선택	선택/ncn
,	,/sp
의도한	의도/ncpa+하/xsv+ㄴ/etm
순서까지도	순서/ncn+까지/jxc+도/jxc
풀어내서	풀/pvg+어/ecx+내/px+서/ecs
,	,/sp
자신은	자신/ncn+은/jxc
물론	물론/mag
학급	학급/ncn
전체와	전체/ncn+와/jcj
저까지도	저/npp+까지/jxc+도/jxc
즐겁게	즐겁/paa+게/ecx
해	하/px+어/ecx
주었습니다	주/px+었/ep+습니다/ef
.	./sf
좀더	좀더/mag
기술적인	기술/ncn+적/xsn+이/jp+ㄴ/etm
면에서	면/ncn+에서/jca
,	,/sp
증명	증명/ncn
(	(/sl
팽창할	팽창/ncpa+하/xsv+ㄹ/etm
때	때/ncn
넓이의	넓이/ncn+의/jcm
변화에	변화/ncn+에/jca
관한	관하/pvg+ㄴ/etm
)	)/sr
의	의/jcm
첫째	첫째/nno
부분에서	부분/ncn+에서/jca
논의되었던	논의/ncpa+되/xsv+었/ep+던/etm
근사값은	근사/ncn+값/nbn+은/jxc
제가	제/npp+가/jcs
했던	하/pvg+었/ep+던/etm
요점에서	요점/ncn+에서/jca
약간	약간/ncn
밀려났는데	밀리/pvg+어/ecx+나/px+았/ep+는데/ecs
,	,/sp
두	두/nno
번째	번째/nbu
부분의	부분/ncn+의/jcm
증명을	증명/ncn+을/jco
완벽하게	완벽/ncps+하/xsm+게/ecx
하고자	하/px+고자/ecs
했기	하/px+었/ep+기/etn
때문에	때문/nbn+에/jca
시간이	시간/ncn+이/jcs
부족했습니다	부족/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
한	한/nnc
시간	시간/ncn
정도만	정도/ncn+만/jxc
더	더/mag
어유가	어유/ncn+가/jcs
있었더라면	있/paa+었/ep+더라면/ecs
,	,/sp
넓이가	넓이/ncn+가/jcs
주어진	주/pvg+어/ecx+지/px+ㄴ/etm
곡선에	곡선/ncn+에/jca
의해	의하/pvg+어/ecs
왜	왜/mag
그렇게	그렇/pad+게/ecs
변하는	변하/pvg+는/etm
지를	지/nbn+를/jco
더	더/mag
설명할	설명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었을	있/paa+었/ep+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
수직선과	수직/ncn+선/ncn+과/jcj
수평선으로	수평/ncn+선/ncn+으로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
바둑판	바둑/ncn+판/ncn
무늬를	무늬/ncn+를/jco
생각해	생각/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
원판의	원판/ncn+의/jcm
넓이를	넓이/ncn+를/jco
근사적으로	근사/ncn+적/xsn+으로/jca
결정하기	결정/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
,	,/sp
우리는	우리/npp+는/jxc
원	원/ncn
내의	내/nbn+의/jcm
모든	모든/mag
정사각형의	정사각형/ncn+의/jcm
수를	수/ncn+를/jco
세고	세/pvg+고/ecc
,	,/sp
변을	변/ncn+을/jco
재고	재/pvg+고/ecc
,	,/sp
넓이를	넓이/ncn+를/jco
더해서	더하/pvg+어서/ecs
,	,/sp
원하던	원하/pvg+던/etm
근사값을	근사/ncn+값/ncn+을/jco
얻습니다	얻/pvg+습니다/ef
.	./sf
그러나	그러나/maj
얼마나	얼마나/mag
좋은	좋/paa+은/etm
근사값인지를	근사/ncn+값/ncn+이/jp+ㄴ지/ecs+를/jco
알고	알/pvg+고/ecx
싶습니다	싶/px+습니다/ef
.	./sf
원판	원판/ncn
안에	안/ncn+에/jca
포함된	포함/ncpa+되/xsv+ㄴ/etm
모든	모든/mag
정사각형의	정사각형/ncn+의/jcm
넓이의	넓이/ncn+의/jcm
합과	합/ncn+과/jcj
원판	원판/ncn
그	그/npd
자체	자체/ncn
넓이의	넓이/ncn+의/jcm
차이는	차이/ncn+는/jxc
원판의	원판/ncn+의/jcm
경계와	경계/ncn+와/jct
만나는	만나/pvg+는/etm
즉	즉/mag
,	,/sp
원과	원/ncn+과/jct
만나는	만나/pvg+는/etm
정사각형의	정사각형/ncn+의/jcm
작은	작/paa+은/etm
부분들에	부분/ncn+들/xsn+에/jca
의해서	의하/pvg+어서/ecs
결정됩니다	결정/ncpa+되/xsv+ㅂ니다/ef
.	./sf
바둑판	바둑/ncn+판/ncn
무늬가	무늬/ncn+가/jcs
아주	아주/mag
세밀하다면	세밀/ncps+하/xsm+다/ef+면/ecs
그런	그런/mmd
작은	작/paa+은/etm
정사각형의	정사각형/ncn+의/jcm
합도	합/ncn+도/jxc
매우	매우/mag
작다는	작/paa+다/ef+는/etm
것을	것/nbn+을/jco
직관적으로	직관/ncn+적/xsn+으로/jca
알	알/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
이	이/mmd
작음에	작/paa+음/etn+에/jca
대해	대하/pvg+어/ecs
어림잡을	어림잡/pvg+을/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
한	한/nnc
변의	변/ncn+의/jcm
길이가	길이/ncn+가/jcs
a	a/f
가	가/jcc
되도록	되/pvg+도록/ecs
바둑판	바둑/ncn+판/ncn
무늬를	무늬/ncn+를/jco
만들었다고	만들/pvg+었/ep+다/ef+고/jcr
가정합시다	가정/ncpa+하/xsv+ㅂ시다/ef
.	./sf
그러면	그러면/maj
그	그/npp
정사각형의	정사각형/ncn+의/jcm
대각선의	대각/ncn+선/ncn+의/ncn
길이는	길이/ncn+는/jxc
입니다	이/jp+ㅂ니다/ef
.	./sf
만약	만약/mag
정사각형이	정사각형/ncn+이/jcs
원과	원/ncn+과/jct
만난다면	만나/pvg+ㄴ다/ef+면/ecs
정사각형	정사각형/ncn
위의	위/ncn+의/jcm
점은	점/ncn+은/jxc
원으로부터	원/ncn+으로/jca+부터/jxc
최대한	최대한/mag
떨어져	떨어지/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
그림	그림/ncn
(	(/sl
a	a/f
)	)/sr
를	를/jco
봅시다	보/pvg+ㅂ시다/ef
.	./sf
이것은	이것/npd+은/jxc
정사각형	정사각형/ncn
위의	위/ncn+의/jcm
두	두/nnc
점	점/ncn
사이의	사이/ncn+의/jcm
거리가	거리/ncn+가/jcs
기껏해야	기껏/ncpa+하/xsv+어야/ecs
이기	이/jp+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
그림	그림/ncn
(	(/sl
b	b/f
)	)/sr
처럼	처럼/jca
원의	원/ncn+의/jcm
양쪽	양쪽/ncn
방면에	방면/ncn+에/jca
폭	폭/ncn
인	이/jp+ㄴ/etm
띠를	띠/ncn+를/jco
그려봅시다	그리/pvg+어/ecx+보/px+ㅂ시다/ef
.	./sf
그러면	그러면/maj
원과	원/ncn+과/jct
만나는	만나/pvg+는/etm
모든	모든/mag
정사각형들은	정사각형/ncn+들/xsn+은/jxc
이	이/mmd
띠	띠/ncn
안에	안/ncn+에/jca
놓이게	놓이/pvg+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
띠의	띠/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
고작해야	고작/ncpa+하/xsv+어야/ecs
원주	원주/ncn
