<tdmsfile>
<project>  </project>
42159   한정되는        한정/ncpa+되/xsv+는/etm
42160   것이    것/nbn+이/jcs
42161   아니라  아니/paa+라/ecs
42162   ,        ,/sp
42163   문법적으로는    문법/ncn+적/xsn+으로/jca+는/jxc
42164   타동성으로      타동성/ncn+으로/jca
42165   표현    표현/ncpa
42166   되지    되/pvg+지/ecx
42167   않지만  않/px+지만/ecs
42168   그      그/mmd
42169   대칭적인        대칭/ncpa+적/xsn+이/jp+ㄴ/etm
42170   특징에  특징/ncpa+에/jca
42171   의해    의하/pvg+어/ecs
42172   '       '/sl
42173   대상    대상/ncn
42174   '       '/sr
42175   이      이/jcs
42176   요구되는        요구/ncpa+되/xsv+는/etm
42177   '       '/sl
42178   결혼하다        결혼/ncpa+하/xsv+다/ef
42179   '       '/sl
42180   류의    류/nq+의/jcm
42181   소위    소위/mag
42182   대칭동사        대칭/ncpa+동사/ncn
42183   등에    등/nbn+에/jca
42184   의해    의하/pvg+어/ecs
42185   나타나는        나타나/pvg+는/etm
42186   성분들도        성분/ncn+들/xsn+도/jxc
42187   대상으로        대상/ncn+으로/jca
42188   규정한다        규정/ncpa+하/xsv+ㄴ다/ef
42189   (       (/sl
42190   b       b/f
42191   ).{{     )/sr+./sf+{/sl+{/sl
42192   많이    많이/mag
42193   논의된  논의/ncpa+되/xsv+ㄴ/etm
42194   경우이지만      경우/ncn+이/jp+지만/ecs
42195   이런    이런/mmd
42196   보충어적인      보보충어/ncn+적/xsn+이/jp+ㄴ/etm
42197   성격이  성격/ncn+이/jcs
42198   강한    강하/paa+ㄴ/etm
42199   경우    경우/ncn
42200   외에    외/ncn+에/jca
42201   모든    모든/mma
42202   동사와  동사/ncn+와/jcj
42203   결합가능한      결합/ncpa+가능/ncpa+하/xsv+ㄴ/etm
42204   '       '/sl
42205   공동    공동/ncn
42206   '       '/sr
42207   의      의/jcm
42208   의미를  의미/ncps+를/jco
42209   나타내는        나타내/pvg+는/etm
42210   다음과  다음/ncn+과/jct
42211   같은    같/paa+ㄴ/etm
42212   경우는  경우/ncn+는/jxc
42213   이      이/mmd
42214   대상의  대상/ncn+의/jcm
42215   개념과  개념/ncn+과/jcj
42216   차이가  차이/ncn+가/jcs
42217   있다    있/paa+다/ef
42218   .        ./sf
42219   이는    이/npd+는/jxc
42220   뒤에서  뒤/ncn+에서/jca
42221   다시    다시/mag
42222   논의하도록      논의/ncpa+하/xsv+도록/ecx
42223   한다    하/px+ㄴ다/ef
42224   .        ./sf
42225   a       a/f
42226   .        ./sf
42227   철수가  철수/nq+가/jcs
42228   영희와  영희/nq+와/jct
42229   놀았다  놀/pvg+았/ep+다/ef
42230   .        ./sf
42231   }}      }/sr+}/sr
42232   이렇게  이렇게/mag
42233   규정되는        규정/ncpa+되/xsv+는/etm
42234   '       '/sl
42235   대상성  대상성/ncn
42236   '       '/sr
42237   의      의/jcm
42238   개념은  개념/ncn+은/jxc
42239   문법적으로      문법/ncn+적/xsn+으로/jca
42240   '       '/sl
42241   타동성  타동성/ncn
42242   '       '/sr
42243   의      의/jcm
42244   개념과  개념/ncn+과/jcj
42245   관련을  관련/ncpa+을/jco
42246   맺지만  맺/pvg+지만/ecs
42247   일      일/ncpa
42248   대일    대/nbn+이/jp+ㄹ/etm
42249   대응으로        대응/ncpa+으로/jca
42250   나타나는        나타나/pvg+는/etm
42251   것은    것/nbn+은/jxc
42252   아니며  아니/paa+며/ecc
42253   다른    다른/mma
42254   가능한  가능/ncpa+하/xsv+ㄴ/etm
42255   의미관계인      의미/ncps+관계/ncpa+이/jp+ㄴ/etm
42256   '       '/sl
42257   행위성  행위성/ncn
42258   '       '/sr
42259   그리고  그리고/maj
42260   '       '/sl
42261   배경성  배경성/ncn
42262   '       '/sr
42263   과      과/jcj
42264   상보적으로      상보/ncn+적/xsn+으로/jca
42265   ,        ,/sp
42266   순차적으로      순차/ncn+적/xsn+으로/jca
42267   정의될  정의/ncpa+되/xsv+ㄹ/etm
42268   수      수/nbn
42269   있는    있/paa+는/etm
42270   개념이다        개념/ncn+이/jp+다/ef
42271   .        ./sf
42272   즉      즉/maj
42273   어떤    어떤/mmd
42274   '       '/sl
42275   행위    행위/ncpa
42276   '       '/sr
42277   가      가/jcs
42278   서술되는        서술/ncpa+되/xsv+는/etm
42279   표현에  표현/ncpa+에/jca
42280   서      서/jxc
42281   그      그/mmd
42282   주체자는        주체자/ncn+는/jxc
42283   '       '/sl
42284   행위자  행위자/ncn
42285   '       '/sr
42286   이며    이/pvg+며/ecc
42287   그      그/mmd
42288   행위에  행위/ncpa+에/jca
42289   의해    의하/pvg+어/ecs
42290   기술되는        기술/ncpa+되/xsv+는/etm
42291   대상은  대상/ncn+은/jxc
42292   타동문이든      타동문/ncn+이든/jxc
42293   자동문이든      자동문/ncn+이든/jxc
42294   상관없이        상관/ncn+없이/jca
42295   '       '/sl
42296   대상성  대상성/ncn
42297   '       '/sr
42298   으로    으로/jca
42299   규정되고        규정/ncpa+되/xsv+고/ecc
42300   다시    다시/mag
42301   '       '/sl
42302   행위성  행위성/ncn
42303   '       '/sr
42304   과      과/jcj
42305   '       '/sl
42306   대상성  대상성/ncn
42307   '       '/sr
42308   이      이/jcs
42309   규정된  규정/ncpa+되/xsv+ㄴ/etm
42310   후      후/ncn
42311   명시되는        명시/ncpa+되/xsv+는/etm
42312   성분은  성분/ncn+은/jxc
42313   주로    주로/mag
42314   '       '/sl
42315   장소    장소/ncn
42316   ',       '/sl+,/sp
42317   '       '/sl
42318   도구    도구/ncn
42319   '       '/sr
42320   등은    등/nbn+은/jxc
42321   '       '/sl
42322   배경성  배경성/ncn
42323   '       '/sr
42324   으로    으로/jca
42325   유형화된다      유형화/ncpa+되/xsv+ㄴ다/ef
42326   .        ./sf
42327   이렇게  이렇게/mag
42328   '       '/sl
42329   대상성  대상성/ncn
42330   ',       '/sl+,/sp
42331   '       '/sl
42332   행위자  행위자/ncn
42333   ',       '/sl+,/sp
42334   '       '/sl
42335   배경성  배경성/ncn
42336   '       '/sr
42337   등은    등/nbn+은/jxc
42338   서로    서로/mag
42339   연관되어        연관/ncpa+되/xsv+어/ecs
42340   규정될  규정/ncpa+되/xsv+ㄹ/etm
42341   수      수/nbn
42342   있는    있/paa+는/etm
42343   개념들인데      개념/ncn+들/xsn+이/jp+ㄴ데/ecs
42344   ,        ,/sp
42345   기본적으로는    기본/ncn+적/xsn+으로/jca+는/jxc
42346   관계절의        관계절/ncn+의/jcm
42347   구조와  구조/ncpa+와/jcj
42348   그      그/mmd
42349   핵심명사에      핵심/ncn+명사/ncn+에/jca
42350   의해    의하/pvg+어/ecs
42351   결정된다        결정/ncpa+되/xsv+ㄴ다/ef
42352   .        ./sf
42353   즉      즉/maj
42354   관계절의        관계절/ncn+의/jcm
42355   서술어가        서술어/ncn+가/jcs
42356   동      동/ncn
42357   작과    작/ncn+과/jcj
42358   관련된  관련/ncpa+되/xsv+ㄴ/etm
42359   동사이고        동사/ncn+이/jp+고/ecc
42360   그      그/mmd
42361   행위자가        행위자/ncn+가/jcs
42362   명시되고        명시/ncpa+되/xsv+고/ecc
42363   그      그/mmd
42364   대상이  대상/ncn+이/jcs
42365   핵심명사이면    핵심/ncn+명사/ncn+이/jp+면/ecs
42366   ,        ,/sp
42367   그      그/mmd
42368   대상을  대상/ncn+을/jco
42369   제한    제한/ncpa
42370   하는    하/pvg+는/etm
42371   관계표현이      관계/ncpa+표현/ncpa+이/jcs
42372   구성된다        구성/ncpa+되/xsv+ㄴ다/ef
42373   .        ./sf
42374   그러나  그러나/maj
42375   같은    같/paa+ㄴ/etm
42376   부류의  부류/ncn+의/jcm
42377   서술어라도      서술어/ncn+라도/jxc
42378   그      그/mmd
42379   술어의  술어/ncn+의/jcm
42380   특성에  특성/ncn+에/jca
42381   따라    따르/pvg+아/ecs
42382   다      다/mag
42383   음과    음/ncn+과/jct
42384   같이    같이/mag
42385   차이가  차이/ncn+가/jcs
42386   날      나/pvg+ㄹ/etm
42387   수      수/nbn
42388   있다    있/paa+다/ef
42389   .        ./sf
42390   즉      즉/maj
42391   위      위/ncn
42392   '       '/sl
42393   속성    속성/ncn
42394   '       '/sr
42395   과      과/jcj
42396   관련하여        관련/ncpa+하/xsv+어/ecs
42397   논의된  논의/ncpa+되/xsv+ㄴ/etm
42398   예      예/ncn
42399   중에서  중/ncn+에서/jca
42400   '       '/sl
42401   밉다    밉/paa+다/ef
42402   ,        ,/sp
42403   싫다    싫/paa+다/ef
42404   '       '/sr
42405   등의    등/nbn+의/jcm
42406   서술어는        서술어/ncn+는/jxc
42407   이것이  이것/npd+이/jcs
42408   동사화된        동사화/ncpa+되/xsv+ㄴ/etm
42409   표현인  표현/ncpa+이/jp+ㄴ/etm
42410   경우    경우/ncn
42411   즉      즉/maj
42412   '       '/sl
42413   미워하다        밉/paa+어/ecx+하/px+다/ef
42414   ,        ,/sp
42415   싫어하다        싫/paa+어/ecx+하/px+다/ef
42416   '       '/sr
42417   등의    등/nbn+의/jcm
42418   경우에는        경우/ncn+에/jca+는/jxc
42419   그      그/mmd
42420   핵심명사의      핵심/ncn+명사/ncn+의/jcm
42421   '       '/sl
42422   속성    속성/ncn
42423   '       '/sr
42424   보다는  보/pvg+다는/etm
42425   그      그/mmd
42426   '       '/sl
42427   대상    대상/ncn
42428   '       '/sr
42429   을      을/jco
42430   제한하는        제한/ncpa+하/xsv+는/etm
42431   경우로  경우/ncn+로/jca
42432   받아들여진다    받/pvg+아/ecx+들이/px+어/ecx+지/px+ㄴ다/ef
42433   .        ./sf
42434   (       (/sl
42435   28      28/nnc
42436   )       )/sr
42437   a       a/f
42438   .        ./sf
42439   선생님이        선생님/ncn+이/jcs
42440   미워하는        밉/paa+어/ecx+하/px+는/etm
42441   아이    아이/ncn
42442   b       b/f
42443   .        ./sf
42444   아이가  아이/ncn+가/jcs
42445   좋아하는        좋아하/pvg+는/etm
42446   선생님  선생님/ncn
42447   한편    한편/ncn
42448   이      이/jcs
42449   '       '/sl
42450   대상성  대상성/ncn
42451   중에서  중/ncn+에서/jca
42452   다음과  다음/ncn+과/jct
42453   같은    같/paa+ㄴ/etm
42454   경우에는        경우/ncn+에/jca+는/jxc
42455   복잡한  복잡하/paa+ㄴ/etm
42456   문제가  문제/ncn+가/jcs
42457   야기된다        야기/ncpa+되/xsv+ㄴ다/ef
42458   .        ./sf
42459   (       (/sl
42460   29      29/nnc
42461   )       )/sr
42462   a       a/f
42463   .        ./sf
42464   철수가  철수/nq+가/jcs
42465   영희에게        영희/nq+에게/jca
42466   준      주/pvg+ㄴ/etm
42467   책      책/ncn
42468   b       b/f
42469   .        ./sf
42470   철수가  철수/nq+가/jcs
42471   책을    책/ncn+을/jco
42472   준      주/pvg+ㄴ/etm
42473   영희    영희/nq
42474   소위    소위/ncn
42475   간접목적어가    간접/ncn+목적어/ncn+가/jcs
42476   나타나는        나타나/pvg+는/etm
42477   위와    위/ncn+와/jct
42478   같은    같/paa+ㄴ/etm
42479   구성에서        구성/ncpa+에서/jca
42480   '       '/sl
42481   주다    주/pvg+다/ef
42482   '       '/sr
42483   라는    라는/etm
42484   동사의  동사/ncn+의/jcm
42485   대상성으로      대상성/ncn+으로/jca
42486   '       '/sl
42487   책      책/ncn
42488   '       '/sr
42489   과      과/jcj
42490   '       '/sl
42491   영희    영희/nq
42492   '       '/sr
42493   가      가/jcs
42494   다      다/mag
42495   규정될  규정/ncpa+되/xsv+ㄹ/etm
42496   수      수/nbn
42497   있는    있/paa+는/etm
42498   것으로  것/nbn+으로/jca
42499   보이지만        보이/pvg+지만/ecs
42500   일차적이고      일차/ncn+적/xsn+이/jp+고/ecc
42501   직접적으로      직접/ncn+적/xsn+으로/jca
42502   한정된다는      한정/ncpa+되/xsv+ㄴ다는/etm
42503   의미에  의미/ncps+에/jca
42504   서      서/jxc
42505   '       '/sl
42506   책      책/ncn
42507   '       '/sr
42508   이      이/jcs
42509   그      그/mmd
42510   대상으로        대상/ncn+으로/jca
42511   기술될  기술/ncpa+되/xsv+ㄹ/etm
42512   수      수/nbn
42513   있다    있/paa+다/ef
42514   .        ./sf
42515   이      이/mmd
42516   직접적이지      직접/ncn+적/xsn+이/jp+지/ecx
42517   않은    않/px+ㄴ/etm
42518   관계는  관계/ncpa+는/jxc
42519   다음과  다음/ncn+과/jct
42520   같이    같이/mag
42521   예문의  예문/ncn+의/jcm
42522   적격성의        적격/ncn+성의/ncn
42523   정도가  정도/ncn+가/jcs
42524   동일하지        동일/ncpa+하/xsv+지/ecx
42525   않는    않/px+는/etm
42526   예에서도        예/ncn+에서/jca+도/jxc
42527   드러난다        드러나/pvg+ㄴ다/ef
42528   .        ./sf
42529   (       (/sl
42530   30      30/nnc
42531   )       )/sr
42532   a       a/f
42533   .        ./sf
42534   철수가  철수/nq+가/jcs
42535   영희에게        영희/nq+에게/jca
42536   판      팔/pvg+ㄴ/etm
42537   책      책/ncn
42538   b       b/f
42539   .        ./sf
42540   ?       ?/sf
42541   철수가  철수/nq+가/jcs
42542   책을    책/ncn+을/jco
42543   판      팔/pvg+ㄴ/etm
42544   영희    영희/nq
42545   결국    결국/mag
42546   행위의  행위/ncpa+의/jcm
42547   '       '/sl
42548   대상성  대상성/ncn
42549   '       '/sr
42550   으로    으로/jca
42551   파악될  파악/ncpa+되/xsv+ㄹ/etm
42552   수      수/nbn
42553   있는    있/paa+는/etm
42554   구성은  구성/ncpa+은/jxc
42555   관계절  관계절/ncn
42556   서술어에        서술어/ncn+에/jca
42557   의해    의하/pvg+어/ecs
42558   직접적으로      직접/ncn+적/xsn+으로/jca
42559   기술되는        기술/ncpa+되/xsv+는/etm
42560   대상이어야      대상/ncn+이/jp+어야/ecx
42561   한다    하/px+ㄴ다/ef
42562   .        ./sf
42563   그러나  그러나/maj
42564   이런    이런/mmd
42565   간접목적어      간접/ncn+목적어/ncn
42566   구성에서        구성/ncpa+에서/jca
42567   '       '/sl
42568   영희    영희/nq
42569   '       '/sr
42570   도      도/jxc
42571   정도는  정도/ncn+는/jxc
42572   떨어지나        떨어지/pvg+나/ecs
42573   '       '/sl
42574   대상성  대상성/ncn
42575   '       '/sr
42576   으로    으로/jca
42577   규정될  규정/ncpa+되/xsv+ㄹ/etm
42578   수      수/nbn
42579   있는    있/paa+는/etm
42580   것으로  것/nbn+으로/jca
42581   파악한다        파악/ncpa+하/xsv+ㄴ다/ef
42582   .        ./sf
42583   즉      즉/maj
42584   '       '/sl
42585   철수가  철수/nq+가/jcs
42586   책을    책/ncn+을/jco
42587   준      주/pvg+ㄴ/etm
42588   '       '/sl
42589   대상으로        대상/ncn+으로/jca
42590   '       '/sl
42591   영희    영희/nq
42592   '       '/sr
42593   를      를/jco
42594   규      규/ncn
42595   정할    정하/pvg+ㄹ/etm
42596   수      수/nbn
42597   있는    있/paa+는/etm
42598   것으로  것/nbn+으로/jca
42599   파악한다        파악/ncpa+하/xsv+ㄴ다/ef
42600   .        ./sf
42601   4       4/nnc
42602   .        ./sf
42603   2       2/nnc
42604   .        ./sf
42605   3       3/nnc
42606   .        ./sf
42607   3       3/nnc
42608   .        ./sf
42609   행위성  행위성/mag
42610   동작의  동작/ncpa+의/jcm
42611   '       '/sl
42612   행위자  행위자/ncn
42613   '       '/sr
42614   와      와/jcj
42615   관련하여        관련/ncpa+하/xsv+어/ecs
42616   이를    이/npd+를/jco
42617   제한하는        제한/ncpa+하/xsv+는/etm
42618   관계를  관계/ncpa+를/jco
42619   '       '/sl
42620   행위성  행위성/ncn
42621   '       '/sr
42622   이라고  이/npd+라고/jcr
42623   규정하는데      규정/ncpa+하/xsv+는데/ecs
42624   이는    이/npd+는/jxc
42625   앞에서  앞/ncn+에서/jca
42626   살펴    살피/pvg+어/ecs
42627   본대로  본/ncn+대로/jca
42628   '       '/sl
42629   대상성  대상성/ncn
42630   ',       '/sl+,/sp
42631   '       '/sl
42632   배경성  배경성/ncn
42633   '       '/sl
42634   등의    등/ncn+의/jcm
42635   개념과  개념/ncn+과/jcj
42636   상보적으로      상보/ncn+적/xsn+으로/jca
42637   규정된다        규정/ncpa+되/xsv+ㄴ다/ef
42638   .        ./sf
42639   동작의  동작/ncpa+의/jcm
42640   '       '/sl
42641   주체    주체/ncn
42642   '       '/sr
42643   로      로/jca
42644   명시될  명시/ncpa+되/xsv+ㄹ/etm
42645   수      수/nbn
42646   있는    있/paa+는/etm
42647   이      이/mmd
42648   구성에  구성/ncpa+에/jca
42649   속할    속하/pvg+ㄹ/etm
42650   수      수/nbn
42651   있는    있/paa+는/etm
42652   예들은  예/ncn+들/xsn+은/jxc
42653   다음과  다음/ncn+과/jct
42654   같다    같/paa+다/ef
42655   .        ./sf
42656   (       (/sl
42657   31      31/nnc
42658   )       )/sr
42659   a       a/f
42660   .        ./sf
42661   철수를  철수/nq+를/jco
42662   사랑하는        사랑/ncpa+하/xsv+는/etm
42663   영희    영희/nq
42664   b       b/f
42665   .        ./sf
42666   학교에  학교/ncn+에/jca
42667   간      가/pvg+ㄴ/etm
42668   순희    순희/ncn
42669   c       c/f
42670   .        ./sf
42671   아이를  아이/ncn+를/jco
42672   좋아하는        좋아하/pvg+는/etm
42673   선생님  선생님/ncn
42674   위의    위/ncn+의/jcm
42675   예      예/ncn
42676   모두    모두/mag
42677   핵심명사는      핵심/ncn+명사/ncn+는/jxc
42678   그      그/mmd
42679   관계절에        관계절/ncn+에/jca
42680   의해    의하/pvg+어/ecs
42681   행위자로        행위자/ncn+로/jca
42682   한정    한정/ncpa
42683   기술된다        기술/ncpa+되/xsv+ㄴ다/ef
42684   .        ./sf
42685   이      이/mmd
42686   행위자는        행위자/ncn+는/jxc
42687   그      그/mmd
42688   동작의  동작/ncpa+의/jcm
42689   주체라는        주체/ncn+라는/etm
42690   특성으로        특성/ncn+으로/jca
42691   인해    인하/pvg+어/ecs
42692   인물명사        인물/ncn+명사/ncn
42693   ([+     (/sl+[/sl++/sy
42694   human human/f
42695   ])       ]/sr+)/sr
42696   이거나  이/pvg+거나/ecc
42697   아니면  아니/paa+면/ecs
42698   최소한  최소한/ncn
42699   유정성  유정성/ncn
42700   ([+     (/sl+[/sl++/sy
42701   animate animate/f
42702   ])       ]/sr+)/sr
42703   자질로  자질/ncn+로/jca
42704   특징지워질      특징지우/pvg+어/ecx+지/px+ㄹ/etm
42705   수      수/nbn
42706   있는    있/paa+는/etm
42707   부류이어야      부류/ncn+이/jp+어야/ecx
42708   하나    하/px+나/ecs
42709   그      그/mmd
42710   판단이  판단/ncpa+이/jcs
42711   애매한  애매/ncps+하/xsm+ㄴ/etm
42712   경우가  경우/ncn+가/jcs
42713   많      많/ncn
42714   다      다/jca
42715   .        ./sf
42716   (       (/sl
42717   32      32/nnc
42718   )       )/sr
42719   a       a/f
42720   .        ./sf
42721   학생들을        학생/ncn+들/xsn+을/jco
42722   데리러  데리/pvg+러/ecs
42723   간      가/pvg+ㄴ/etm
42724   버스    버스/ncn
42725   b       b/f
42726   .        ./sf
42727   아이들이        아이/ncn+들/xsn+이/jcs
42728   노는    놀/pvg+는/etm
42729   장면을  장면/ncn+을/jco
42730   찍는    찍/pvg+는/etm
42731   사진기  사진기/ncn
42732   앞에서  앞/ncn+에서/jca
42733   '       '/sl
42734   속성    속성/ncn
42735   '       '/sr
42736   과      과/jcj
42737   관련한  관련/ncpa+하/xsv+ㄴ/etm
42738   논의에서        논의/ncpa+에서/jca
42739   속성은  속성/ncn+은/jxc
42740   소유나  소유/ncpa+나/jcj
42741   존재로  존재/ncpa+로/jca
42742   규정될  규정/ncpa+되/xsv+ㄹ/etm
42743   수      수/nbn
42744   있는    있/paa+는/etm
42745   특징이  특징/ncpa+이/jcs
42746   있다고  있/paa+다고/ecs
42747   했는데  하/pvg+었/ep+는데/ecs
42748   이와    이/npd+와/jct
42749   관련해  관련/ncpa+하/xsv+어/ecx
42750   보면    보/px+면/ecs
42751   이      이/mmd
42752   경우에는        경우/ncn+에/jca+는/jxc
42753   '       '/sl
42754   소유    소유/ncpa
42755   '       '/sr
42756   나      나/jcj
42757   '       '/sl
42758   존재    존재/ncpa
42759   '       '/sr
42760   로      로/jca
42761   파악하기는      파악/ncpa+하/xsv+기/etn+는/jxc
42762   어렵다  어렵/paa+다/ef
42763   .        ./sf
42764   그러나  그러나/maj
42765   그      그/mmd
42766   렇다고  렇다/ncn+고/jcr
42767   '       '/sl
42768   버스    버스/ncn
42769   '       '/sr
42770   와      와/jcj
42771   '       '/sl
42772   사진기  사진기/nq
42773   '       '/sr
42774   가      가/jcs
42775   행위자적인      행위자/ncn+적/xsn+이/jp+ㄴ/etm
42776   속성을  속성/ncn+을/jco
42777   충분히  충분히/mag
42778   가졌다고        가지/pvg+었/ep+다고/ecs
42779   보기도  보/pvg+기/etn+도/jxc
42780   어렵다  어렵/paa+다/ef
42781   .        ./sf
42782   위와    위/ncn+와/jcj
42783   같      같/ncn
42784   은      은/jxc
42785   경우는  경우/ncn+는/jxc
42786   도구가  도구/ncn+가/jcs
42787   행위적인        행위/ncpa+적/xsn+이/jp+ㄴ/etm
42788   개념과  개념/ncn+과/jcj
42789   관련되어        관련/ncpa+되/xsv+어/ecs
42790   나타난  나타나/pvg+ㄴ/etm
42791   예로    예/ncn+로/jca
42792   파악되어야      파악/ncpa+되/xsv+어야/ecx
42793   할      하/px+ㄹ/etm
42794   것이다  것/nbn+이/jp+다/ef
42795   .        ./sf
42796   따라    따르/pvg+아/ecs
42797   서      서/jxc
42798   행위자로        행위자/ncn+로/jca
42799   명시되는        명시/ncpa+되/xsv+는/etm
42800   의미관계는      의미/ncps+관계/ncpa+는/jxc
42801   [+      [/sl++/sy
42802   animate animate/f
42803   ]       ]/sr
42804   로      로/jca
42805   규정될  규정/ncpa+되/xsv+ㄹ/etm
42806   수      수/nbn
42807   있는    있/paa+는/etm
42808   성분이어야      성분/ncn+이/jp+어야/ecx
42809   한다고  하/px+ㄴ다고/ecs
42810   정      정/ncn
42811   의하고  의하/pvg+고/ecc
42812   문법적  문법/ncn+적/xsn
42813   관점의  관점/ncn+의/jcm
42814   '       '/sl
42815   주어    주어/ncn
42816   '       '/sr
42817   와      와/jcj
42818   여기서  여기/npd+서/jca
42819   분류하는        분류/ncpa+하/xsv+는/etm
42820   '       '/sl
42821   행위성  행위성/ncn
42822   '       '/sr
42823   과      과/jcj
42824   관련한  관련/ncpa+하/xsv+ㄴ/etm
42825   '       '/sl
42826   행위자  행위자/ncn
42827   '       '/sr
42828   는      는/jxc
42829   언제나  언제나/mag
42830   일      일/ncpa
42831   치하는  치하/ncn+는/jxc
42832   개념은  개념/ncn+은/jxc
42833   아니라고        아니/paa+라고/ecs
42834   할      하/pvg+ㄹ/etm
42835   수      수/nbn
42836   있다    있/paa+다/ef
42837   .        ./sf
42838   한편    한편/maj
42839   '       '/sl
42840   행위성  행위성/ncn
42841   '       '/sr
42842   의      의/jcm
42843   범주에  범주/ncn+에/jca
42844   속할    속하/pvg+ㄹ/etm
42845   수      수/nbn
42846   있으나  있/paa+으나/ecs
42847   전형적인        전형/ncn+적/xsn+이/jp+ㄴ/etm
42848   '       '/sl
42849   행위성  행위성/ncn
42850   '       '/sr
42851   보다    보다/jca
42852   그      그/mmd
42853   정도가  정도/ncn+가/jcs
42854   약한    약하/paa+ㄴ/etm
42855   다음    다음/ncn
42856   과      과/jct
42857   같은    같/paa+ㄴ/etm
42858   표현들도        표현/ncpa+들/xsn+도/jxc
42859   있다    있/paa+다/ef
42860   .        ./sf
42861   (       (/sl
42862   33      33/nnc
42863   )       )/sr
42864   a       a/f
42865   .        ./sf
42866   철수가  철수/nq+가/jcs
42867   아이에게        아이/ncn+에게/jca
42868   속았다  속/pvg+았/ep+다/ef
42869   .        ./sf
42870   a       a/f
42871   '.       '/sl+./sf
42872   철수가  철수/nq+가/jcs
42873   속은    속/ncn+은/jxc
42874   아이    아이/ncn
42875   b       b/f
42876   .        ./sf
42877   범인이  범인/ncn+이/jcs
42878   경찰관에게      경찰관/ncn+에게/jca
42879   잡혔다  잡히/pvg+었/ep+다/ef
42880   .        ./sf
42881   b       b/f
42882   '.       '/sl+./sf
42883   ?       ?/sf
42884   범인이  범인/ncn+이/jcs
42885   잡힌    잡히/pvg+ㄴ/etm
42886   경찰관  경찰관/ncn
42887   위의    위/ncn+의/jcm
42888   예들에서        예/ncn+들/xsn+에서/jca
42889   밑줄친  밑줄치/pvg+ㄴ/etm
42890   부분들은        부분/ncn+들/xsn+은/jxc
42891   모두    모두/mag
42892   '       '/sl
42893   행위성  행위성/ncn
42894   '       '/sr
42895   으로    으로/jca
42896   유형화할        유형화/ncpa+하/xsv+ㄹ/etm
42897   수      수/nbn
42898   있는    있/paa+는/etm
42899   예들이지만      예/ncn+들/xsn+이/jp+지만/ecs
42900   관계구  관계구/ncn
42901   문이    문/ncn+이/jcs
42902   된      되/pvg+ㄴ/etm
42903   예들에서        예/ncn+들/xsn+에서/jca
42904   그      그/mmd
42905   적격성이        적격성/ncn+이/jcs
42906   떨어지는        떨어지/pvg+는/etm
42907   경우들이다      경우/ncn+들/xsn+이/jp+다/ef
42908   .        ./sf
42909   이는    이/npd+는/jxc
42910   관계구문이      관계구문/ncn+이/jcs
42911   그      그/mmd
42912   핵심명사를      핵심/ncn+명사/ncn+를/jco
42913   '       '/sl
42914   행위성  행위성/ncn
42915   '       '/sr
42916   으로    으로/jca
42917   한정하기에      한정/ncpa+하/xsv+기/etn+에/jca
42918   그      그/mmd
42919   의미기능이      의미/ncps+기능/ncn+이/jcs
42920   불분명한        불분명하/paa+ㄴ/etm
42921   경우라고        경우/ncn+라고/jcr
42922   할      하/pvg+ㄹ/etm
42923   수      수/nbn
42924   있는데  있/paa+는데/ecs
42925   이에    이/npd+에/jca
42926   대해서는        대하/pvg+어서/ecs+는/jxc
42927   다시    다시/mag
42928   논의하도록      논의/ncpa+하/xsv+도록/ecx
42929   한다    하/px+ㄴ다/ef
42930   .        ./sf
42931   4       4/nnc
42932   .        ./sf
42933   2       2/nnc
42934   .        ./sf
42935   3       3/nnc
42936   .        ./sf
42937   4       4/nnc
42938   .        ./sf
42939   배경성  배경성/maj
42940   여기서  여기/npd+서/jca
42941   배경성  배경성/ncn
42942   (       (/sl
42943   background     background/f
42944   )       )/sr
42945   으로    으로/jca
42946   규정되는        규정/ncpa+되/xsv+는/etm
42947   의미관계는      의미/ncps+관계/ncpa+는/jxc
42948   행위자와        행위자/ncn+와/jcj
42949   대상이  대상/ncn+이/jcs
42950   정해지고        정하/pvg+어/ecx+지/px+고/ecx
42951   난      나/px+ㄴ/etm
42952   후      후/ncn
42953   그      그/mmd
42954   배경적인        배경/ncn+적/xsn+이/jp+ㄴ/etm
42955   '       '/sl
42956   장소    장소/ncn
42957   '       '/sr
42958   나      나/jcj
42959   '       '/sl
42960   시간    시간/ncn
42961   '       '/sl
42962   등      등/ncn
42963   ,        ,/sp
42964   문법적으로는    문법/ncn+적/xsn+으로/jca+는/jxc
42965   모든    모든/mma
42966   서술어와        서술어/ncn+와/jcj
42967   공기할  공기/ncpa+하/xsv+ㄹ/etm
42968   수      수/nbn
42969   있는    있/paa+는/etm
42970   첨가    첨가/ncpa
42971   어적인  어/ncpa+적/xsn+이/jp+ㄴ/etm
42972   요소나  요소/ncn+나/jcj
42973   ,        ,/sp
42974   일차적으로      일차/ncn+적/xsn+으로/jca
42975   행위자나        행위자/ncn+나/jcj
42976   대상으로        대상/ncn+으로/jca
42977   규정될  규정/ncpa+되/xsv+ㄹ/etm
42978   수      수/nbn
42979   없는    없/paa+는/etm
42980   성분들이        성분/ncn+들/xsn+이/jcs
42981   관계화  관계화/mag
42982   되어    되/pvg+어/ecs
42983   핵심명사로      핵심/ncn+명사/ncn+로/jca
42984   나타난  나타나/pvg+ㄴ/etm
