
그리스	그리스/nq
스스로	스스로/ncn
ATP	ATP/f
를	를/jco
만들지	만들/pvg+지/ecx
못하는	못하/px+는/etm
생명체는	생명/ncn+체/xsn+는/jxc
없으며	없/paa+으며/ecs
또	또/maj
이러한	이러하/pad+ㄴ/etm
생명체가	생명/ncn+체/xsn+가/jcs
발견될	발견/ncpa+되/xsv+ㄹ/etm
가능성도	가능/ncn+성/xsn+도/jxc
없다	없/paa+다/ef
.	./sf

자동차의	자동/ncn+차/ncn+의/jcm
볼트와	볼트/ncn+와/jcj
너트는	너트/ncn+는/jxc
자동차	자동/ncn+차/ncn
조립에	조립/ncn+에/jca
따른	따르/pvg+ㄴ/etm
손실이	손실/ncn+이/jcs
없도록	없/paa+도록/ecs
부품으로	부품/ncn+으로/jca
공급받는	공급/ncn+받/pvg+는/etm
것이	것/nbn+이/jcs
효율적이다	효율/ncn+적/xsn+이/jp+다/ef
.	./sf

알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
바에	바/nbn+에/jca
의하면	의하/pvg+면/ecs
모든	모든/mma
살아	살/pvg+아/ecx
있는	있/px+는/etm
세포는	세포/ncn+는/jxc
비타민	비타민/ncn
B	B/f
를	를/jco
필요로	필요/ncn+로/jca
한다	하/pvg+ㄴ다/ef
.	./sf

비타민	비타민/ncn
B	B/f
는	는/jxc
음식물에서	음식/ncn+물/xsn+에서/jca
얻든	얻/pvg+든/ecc
자체적으로	자체/ncn+적/xsn+으로/jca
만들든	만들/pvg+든/ecc
꼭	꼭/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
물질이다	물질/ncn+이/jp+다/ef
.	./sf

이와	이/npd+와/jct
같이	같/paa+이/xsa
특정	특정/ncn
물질이	물질/ncn+이/jcs
모든	모든/mma
생물에	생물/ncn+에/jca
필요하다는	필요/ncps+하/xsm+다/ef+는/etm
사실은	사실/ncn+은/jxc
,	,/sp
모든	모든/mma
생명체의	생명/ncn+체/xsn+의/jcm
필수	필수/ncn
단위의	단위/ncn+의/jcm
증거로	증거/ncn+로/jca
매우	매우/mag
인상적인	인상/ncn+적/xsn+이/jp+ㄴ/etm
것이고	것/nbn+이/jp+고/ecc
아마도	아마도/mag
모든	모든/mma
생명체가	생명/ncn+체/xsn+가/jcs
원시	원시/ncn
해양에서	해양/ncn+에서/jca
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
하나의	하나/nnc+의/jcm
원시	원시/ncn
생명체로부터	생명/ncn+체/xsn+로/jca+부터/jxc
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
자손이라는	자손/ncn+이/jp+라/ef+는/etm
증거가	증거/ncn+가/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

비타민	비타민/ncn
A	A/f
비타민	비타민/ncn
B	B/f
의	의/jcm
역할은	역할/ncn+은/jxc
잘	잘/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있지만	있/px+지만/ecs
다른	다르/paa+ㄴ/etm
비타민의	비타민/ncn+의/jcm
화학적	화학/ncn+적/xsn
기능은	기능/ncn+은/jxc
아직도	아직/mag+도/jxc
알기	알/pvg+기/etn
어려운	어렵/paa+ㄴ/etm
부분에	부분/ncn+에/jca
속한다	속하/pvg+ㄴ다/ef
.	./sf

이	이/mmd
쥐들의	쥐/ncn+들/xsn+의/jcm
망막을	망막/ncn+을/jco
분석하였더니	분석/ncpa+하/xsv+였/ep+더니/ecs
'	'/sl
시홍	시홍/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
물질이	물질/ncn+이/jcs
부족하였다	부족/ncps+하/xsm+였/ep+다/ef
.	./sf

간상	간상/ncn
세포는	세포/ncn+는/jxc
약한	약하/paa+ㄴ/etm
빛에서	빛/ncn+에서/jca
기능을	기능/ncn+을/jco
하는데	하/pvg+는데/ecs
이	이/mmd
안에	안/ncn+에/jca
시홍이	시홍/ncn+이/jcs
들어	들/pvg+어/ecx
있다	있/px+다/ef
.	./sf

따라서	따라서/maj
시홍의	시홍/ncn+의/jcm
부족은	부족/ncn+은/jxc
약한	약하/paa+ㄴ/etm
불빛	불/ncn+빛/ncn
아래에서	아래/ncn+에서/jca
시력에	시력/ncn+에/jca
장애를	장애/ncn+를/jco
주어	주/pvg+어/ecs
'	'/sl
야맹증	야맹/ncn+증/xsn
'	'/sr
이라는	이/jp+라/ef+는/etm
결과를	결과/ncn+를/jco
가져온다	가지/pvg+어/ecx+오/px+ㄴ다/ef
.	./sf

그러나	그러나/maj
비타민	비타민/ncn
A	A/f
가	가/jcs
공급되면	공급/ncpa+되/xsv+면/ecs
레티넨은	레티넨/ncn+은/jxc
다시	다시/mag
풍부해진다	풍부/ncps+하/xsm+어/ecx+지/px+ㄴ다/ef
.	./sf

비타민	비타민/ncn
A	A/f
에서	에서/jcs
효소의	효소/ncn+의/jcm
작용으로	작용/ncn+으로/jca
수소	수소/ncn
원자	원자/ncn
2	2/nnc
개를	개/nbu+를/jco
떼어내면	떼/pvg+어/ecx+내/px+면/ecs
레티넨이	레티넨/ncn+이/jcc
되기	되/pvg+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

비타민	비타민/ncn
A	A/f
가	가/jcs
부족하면	부족/ncps+하/xsm+면/ecs
레티넨의	레티넨/ncn+의/jcm
공급과	공급/ncn+과/jct
시홍의	시홍/ncn+의/jcm
양이	양/ncn+이/jcs
줄어	줄/pvg+어/ecc
결과적으로	결과/ncn+적/xsn+으로/jca
야맹증이	야맹/ncn+증/xsn+이/jcs
생기게	생기/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

무기	무기/ncn
염류	염류/ncn
신비로운	신비/ncps+롭/xsm+ㄴ/etm
생명	생명/ncn
조직을	조직/ncn+을/jco
구성하고	구성/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
물질이	물질/ncn+이/jcs
매우	매우/mag
색다른	색/ncn+다르/paa+ㄴ/etm
것이라	것/nbn+이/jp+라/ef
생각하는	생각/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
당연한	당연/ncps+하/xsm+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf

단백질과	단백질/ncn+과/jcj
핵산	핵산/ncn
등은	등/nbn+은/jxc
틀림없이	틀림/ncn+없/paa+이/xsa
놀라운	놀랍/paa+ㄴ/etm
물질이지만	물질/ncn+이/jp+지만/ecs
,	,/sp
신체를	신체/ncn+를/jco
이루고	이루/pvg+고/ecx
있는	있/px+는/etm
요소가	요소/ncn+가/jcs
먼지나	먼지/ncn+나/jxc
마찬가지이고	마찬가지/ncn+이/jp+고/ecc
전체적으로도	전체/ncn+적/xsn+으로/jca+도/jxc
몇	몇/mmd
푼에	푼/nbu+에/jca
지나지	지나/pvg+지/ecx
않는다는	않/px+는다/ef+는/etm
사실	사실/ncn
또한	또한/maj
놀라운	놀랍/paa+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf

이	이/mmd
다섯	다섯/nnc
가지	가지/nbu
원소가	원소/ncn+가/jcs
타	타/pvg+아/ecs
없어지면	없/paa+어/ecx+지/px+면/ecs
대부분	대부분/ncn
뼈의	뼈/ncn+의/jcm
잔해로	잔해/ncn+로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
한	한/nnc
줌의	줌/nbu+의/jcm
하얀	하얗/paa+ㄴ/etm
재가	재/ncn+가/jcs
남는다	남/pvg+는다/ef
.	./sf

피의	피/ncn+의/jcm
맛을	맛/ncn+을/jco
보면	보/pvg+면/ecs
신체의	신체/ncn+의/jcm
구성	구성/ncn
성분	성분/ncn
중	중/nbn
하나가	하나/nnc+가/jcs
소금이라는	소금/ncn+이/jp+라/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

19	19/nno
세기	세기/nbu
중반에	중반/ncn+에/jca
이르러서는	이르/pvg+어서/ecs+는/jxc
체내에	체내/ncn+에/jca
칼슘	칼슘/ncn
,	,/sp
인	인/ncn
,	,/sp
나트륨	나트륨/ncn
,	,/sp
염소	염소/ncn
,	,/sp
마그네슘	마그네슘/ncn
,	,/sp
철	철/ncn
등이	등/nbn+이/jcs
있음을	있/paa+음/etn+을/jco
밝혔다	밝히/pvg+었/ep+다/ef
.	./sf

이	이/mmd
물질이	물질/ncn+이/jcs
음식물에	음식/ncn+물/xsn+에/jca
부족하면	부족/ncps+하/xsm+면/ecs
혈액에	혈액/ncn+에/jca
헤모글로빈이	헤모글로빈/ncn+이/jcs
부족하게	부족/ncps+하/xsm+게/ecx
되어	되/pvg+어/ecs
허파에서	허파/ncn+에서/jca
세포로의	세포/ncn+로/jca+의/jcm
산소	산소/ncn
운반이	운반/ncn+이/jcs
어려워진다	어렵/paa+어/ecx+지/px+ㄴ다/ef
.	./sf

이와	이/npd+와/jct
같은	같/paa+은/etm
상태를	상태/ncn+를/jco
'	'/sl
철분	철분/ncn
결핍	결핍/ncn
빈혈증	빈혈/ncn+증/xsn
'	'/sr
이라	이/jp+라/ef
한다	하/pvg+ㄴ다/ef
.	./sf

1882	1882/nno
년	년/nbu
영국인	영국/nq+인/xsn
의사	의사/ncn
링거는	링거/nq+는/jxc
개구리	개구리/ncn
혈액과	혈액/ncn+과/jct
같은	같/paa+은/etm
조성비로	조성/ncn+비/xsn+로/jca
철이	철/ncn+이/jcs
이외에	이외/ncn+에/jca
나트륨	나트륨/ncn
,	,/sp
칼슘	칼슘/ncn
등이	등/nbn+이/jcs
들어	들/pvg+어/ecx
있는	있/px+는/etm
용액에	용액/ncn+에/jca
개구리	개구리/ncn
심장을	심장/ncn+을/jco
떼어	떼/pvg+어/ecc
넣어도	넣/pvg+어도/ecs
계속	계속/mag
살아	살/pvg+아/ecx
움직이는	움직이/pvg+는/etm
것을	것/nbn+을/jco
발견하였다	발견/ncpa+하/xsv+였/ep+다/ef
(	(/sl
이	이/mmd
용액을	용액/ncn+을/jco
'	'/sl
링거액	링거/ncn+액/ncn
'	'/sr
이라	이/jp+라/ef
한다	하/pvg+ㄴ다/ef
).	)/sr+./sf

칼슘이	칼슘/ncn+이/jcs
지나치게	지나치/pvg+게/ecc
많으면	많/paa+으면/ecs
근육이	근육/ncn+이/jcs
계속	계속/mag
수축한	수축/ncpa+하/xsv+ㄴ/etm
상태	상태/ncn
(	(/sl
칼슘	칼슘/ncn
응축	응축/ncn
)	)/sr
로	로/jca
있고	있/paa+고/ecc
칼륨이	칼륨/ncn+이/jcs
지나치게	지나치/pvg+게/ecc
많으면	많/paa+으면/ecs
근육이	근육/ncn+이/jcs
이완된	이완/ncpa+되/xsv+ㄴ/etm
상태	상태/ncn
(	(/sl
칼륨	칼륨/ncn
억제	억제/ncn
)	)/sr
로	로/jca
있게	있/paa+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

혈액에	혈액/ncn+에/jca
칼슘이	칼슘/ncn+이/jcs
없으면	없/paa+으면/ecs
응고가	응고/ncn+가/jcc
되지	되/pvg+지/ecx
않으며	않/px+으며/ecs
이런	이런/mmd
면에서	면/ncn+에서/jca
칼슘을	칼슘/ncn+을/jco
대체할	대체/ncpa+하/xsv+ㄹ/etm
만한	만하/px+ㄴ/etm
다른	다르/paa+ㄴ/etm
요소는	요소/ncn+는/jxc
전혀	전혀/mag
없다	없/paa+다/ef
.	./sf

모든	모든/mma
무기	무기/ncn
염류	염류/ncn
중	중/nbn
인은	인/ncn+은/jxc
생명의	생명/ncn+의/jcm
화학	화학/ncn
기작에	기작/ncn+에/jca
가장	가장/mag
다양하고	다양/ncps+하/xsm+고/ecc
중요한	중요/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
하고	하/pvg+고/ecx
있음이	있/px+음/etn+이/jcs
발견되었다	발견/ncpa+되/xsv+었/ep+다/ef
.	./sf

우리가	우리/npp+가/jcs
먹는	먹/pvg+는/etm
음식물에는	음식/ncn+물/xsn+에/jca+는/jxc
우리	우리/npp
환경에	환경/ncn+에/jca
있는	있/paa+는/etm
모든	모든/mma
원소가	원소/ncn+가/jcs
극히	극히/mag
적은	적/paa+은/etm
양이라도	양/nbn+이/jp+라도/ecs
있으면	있/paa+으면/ecs
,	,/sp
각	각/mma
원소는	원소/ncn+는/jxc
우리	우리/npp
조직에서	조직/ncn+에서/jca
특정한	특정/ncps+하/xsm+ㄴ/etm
기능을	기능/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf

노폐물인	노폐/ncn+물/xsn+이/jp+ㄴ/etm
이산화탄소를	이산화탄소/ncn+를/jco
적절히	적절/ncn+히/xsa
처리하는	처리/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
생명	생명/ncn
과정에	과정/ncn+에/jca
필수적인데	필수/ncn+적/xsn+이/jp+ㄴ데/ecs
이	이/mmd
과정에서	과정/ncn+에서/jca
탄산	탄산/ncn
무수화	무수/ncn+화/xsn
효소가	효소/ncn+가/jcs
중요한	중요/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
한다는	하/pvg+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

뒤이어	뒤/ncn+잇/pvg+어/ecs
아연이	아연/ncn+이/jcs
생명에	생명/ncn+에/jca
꼭	꼭/mag
필요하다는	필요/ncps+하/xsm+다/ef+는/etm
학설이	학설/ncn+이/jcs
나오게	나오/pvg+게/ecx
되었고	되/pvg+었/ep+고/ecc
실험으로	실험/ncn+으로/jca
그	그/mmd
사실이	사실/ncn+이/jcs
증명되었다	증명/ncpa+되/xsv+었/ep+다/ef
.	./sf

아연이	아연/ncn+이/jcs
적게	적/paa+게/ecx
들어	들/pvg+어/ecx
있는	있/px+는/etm
음식으로	음식/ncn+으로/jca
쥐를	쥐/ncn+를/jco
키우면	키우/pvg+면/ecs
비타민	비타민/ncn
부족	부족/ncn
현상과	현상/ncn+과/jct
비슷하게	비슷/ncps+하/xsm+게/ecs
성장이	성장/ncn+이/jcs
멎고	멎/pvg+고/ecc
털이	털/ncn+이/jcs
빠지며	빠지/pvg+며/ecc
피부가	피부/ncn+가/jcs
거칠어져	거칠/paa+어/ecx+지/px+어/ecs
결국	결국/mag
죽는다	죽/pvg+는다/ef
.	./sf

음식물에	음식/ncn+물/xsn+에/jca
이	이/mmd
물직이	물질/ncn+이/jcs
부족하면	부족/ncps+하/xsm+면/ecs
결핍	결핍/ncn
증상이	증상/ncn+이/jcs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf

몰리브덴의	몰리브덴/ncn+의/jcm
중요성은	중요/ncn+성/xsn+은/jxc
토양에	토양/ncn+에/jca
이	이/mmd
물질이	물질/ncn+이/jcs
부족하면	부족/ncps+하/xsm+면/ecs
식물의	식물/ncn+의/jcm
성장이	성장/ncn+이/jcs
억제되는	억제/ncpa+되/xsv+는/etm
것을	것/nbn+을/jco
발견한	발견/ncpa+하/xsv+ㄴ/etm
1940	1940/nno
년대에	년대/nbu+에/jca
처음	처음/ncn
알려졌다	알리/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

생물	생물/ncn
세계는	세계/ncn+는/jxc
어느	어느/mmd
한	한/nnc
부분만	부분/ncn+만/jxc
망가져도	망가지/pvg+어도/ecs
매우	매우/mag
고통스럽거나	고통/ncps+스럽/xsm+거나/ecc
나아가	나아가/pvg+아/ecs
커다란	커다랗/paa+ㄴ/etm
재난이	재난/ncn+이/jcs
생길	생기/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
길고	길/paa+고/ecc
복잡한	복잡/ncps+하/xsm+ㄴ/etm
사슬로	사슬/ncn+로/jca
연결되어	연결/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf

붕소는	붕소/ncn+는/jxc
식물에게는	식물/ncn+에게/jca+는/jxc
필수	필수/ncn
요소이지만	요소/ncn+이/jp+지만/ecs
동물에게는	동물/ncn+에게/jca+는/jxc
필요하지	필요/ncps+하/xsm+지/ecx
않다	않/px+다/ef
.	./sf

바다에	바다/ncn+에/jca
사는	살/pvg+는/etm
피낭류	피낭/ncn+류/xsn
(	(/sl
멍게	멍게/ncn
등	등/nbn
)	)/sr
는	는/jxc
바나듐을	바나듐/ncn+을/jco
모아	모으/pvg+아/ecs
산소	산소/ncn
운반	운반/ncn
화합물의	화합/ncn+물/xsn+의/jcm
한	한/nnc
성분으로	성분/ncn+으로/jca
사용하지만	사용/ncpa+하/xsv+지만/ecs
대부분의	대부분/ncn+의/jcm
동물은	동물/ncn+은/jxc
어떤	어떤/mmd
이유에서인지	이유/ncn+에서/jca+이/jp+ㄴ지/ecs
모르지만	모르/pvg+지만/ecs
바나듐을	바나듐/ncn+을/jco
필요로	필요/ncn+로/jca
하지	하/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

셀렌과	셀렌/ncn+과/jcj
크롬	크롬/ncn
등의	등/nbn+의/jcm
원소는	원소/ncn+는/jxc
필수요소로	필수/ncn+요소/ncn+로/jca
생각되기도	생각/ncpa+되/xsv+기/etn+도/jxc
하지만	하/pvg+지만/ecs
정확한	정확/ncps+하/xsm+ㄴ/etm
작용은	작용/ncn+은/jxc
알려지지	알리/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecx
있다	있/px+다/ef
.	./sf

하지만	하지만/maj
사막이라고	사막/ncn+이/jp+라/ef+고/jcr
미량	미량/ncn
원소가	원소/ncn+가/jcs
없는	없/paa+는/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf

과학자들이	과학/ncn+자/xsn+들/xsn+이/jcs
1	1/nnc
온스의	온스/nbu+의/jcm
몰리브덴을	몰리브덴/ncn+을/jco
적절한	적절/ncps+하/xsm+ㄴ/etm
화합물의	화합/ncn+물/xsn+의/jcm
형태로	형태/ncn+로/jca
만들어	만들/pvg+어/ecs
몰리브덴이	몰리브덴/ncn+이/jcs
없는	없/paa+는/etm
오스트레일리아의	오스트레일리아/nq+의/jcm
토양에	토양/ncn+에/jca
뿌리자	뿌리/pvg+자/ecs
땅의	땅/ncn+의/jcm
생산력이	생산/ncn+력/xsn+이/jcs
증가되었음을	증가/ncpa+되/xsv+었/ep+음/etn+을/jco
발견하였다	발견/ncpa+하/xsv+였/ep+다/ef
.	./sf

1960	1960/nno
년	년/nbu
미국	미국/nq
농토에	농토/ncn+에/jca
대한	대하/pvg+ㄴ/etm
조사를	조사/ncn+를/jco
보면	보/pvg+면/ecs
41	41/nnc
개	개/nbu
주가	주/ncn+가/jcs
붕소	붕소/ncn
부족	부족/ncn
,	,/sp
21	21/nnc
개	개/nbu
주가	주/ncn+가/jcs
몰리브덴	몰리브덴/ncn
부족으로	부족/ncn+으로/jca
나타나	나타나/pvg+아/ecx
있다	있/px+다/ef
.	./sf

다시	다시/mag
말해	말/ncpa+하/xsv+어/ecs
생명에	생명/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
원소	원소/ncn
(	(/sl
구리	구리/ncn
등	등/nbn
)	)/sr
일지라도	이/jp+ㄹ지라도/ecs
지나치게	지나치/pvg+게/ecs
사용하면	사용/ncpa+하/xsv+면/ecs
독이	독/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

근대에	근대/ncn+에/jca
이르기	이르/pvg+기/etn
전까지는	전/ncn+까지/jxc+는/jxc
동물의	동물/ncn+의/jcm
배설물	배설/ncn+물/xsn
(	(/sl
퇴비	퇴비/ncn
,	,/sp
새의	새/ncn+의/jcm
똥	똥/ncn
)	)/sr
따위를	따위/nbn+를/jco
비료로	비료/ncn+로/jca
사용하였는데	사용/ncpa+하/xsv+였/ep+는데/ecs
이것들은	이것/npd+들/xsn+은/jxc
토양에	토양/ncn+에/jca
질소와	질소/ncn+와/jcj
인을	인/ncn+을/jco
돌려	돌리/pvg+어/ecx
주는	주/px+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf

깨끗하고	깨끗/ncps+하/xsm+고/ecc
냄새	냄새/ncn
없는	없/paa+는/etm
화학	화학/ncn
비료의	비료/ncn+의/jcm
사용은	사용/ncn+은/jxc
19	19/nno
세기	세기/nbu
리비히의	리비히/nq+의/jcm
연구	연구/ncn
결과에	결과/ncn+에/jca
의해	의하/pvg+어/ecs
이루어졌다	이루/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

코발트	코발트/ncn
미량	미량/ncn
원소	원소/ncn
부족증과	부족/ncn+증/xsn+과/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
가장	가장/mag
극적인	극/ncn+적/xsn+이/jp+ㄴ/etm
이야기는	이야기/ncn+는/jxc
코발트와	코발트/ncn+와/jct
관계	관계/ncn
있는데	있/paa+는데/ecs
이	이/mmd
원소는	원소/ncn+는/jxc
한때	한때/ncn
치료가	치료/ncn+가/jcs
불가능하다고	불/xp+가능/ncps+하/xsm+다/ef+고/jcr
여겨졌던	여기/pvg+어/ecx+지/px+었/ep+던/etm
악성	악성/ncn
빈혈을	빈혈/ncn+을/jco
치유했다	치유/ncpa+하/xsv+었/ep+다/ef
.	./sf

그는	그/npp+는/jxc
개에게	개/ncn+에게/jca
빈혈을	빈혈/ncn+을/jco
일으키게	일으키/pvg+게/ecx
한	하/px+ㄴ/etm
다음	다음/ncn
여러	여러/mma
가지	가지/nbn
음식물을	음식/ncn+물/xsn+을/jco
주어	주/pvg+어/ecs
어느	어느/mmd
것이	것/nbn+이/jcs
부족한	부족/ncps+하/xsm+ㄴ/etm
헤모글로빈을	헤모글로빈/ncn+을/jco
가장	가장/mag
빨리	빠르/paa+이/xsa
보충해	보충/ncpa+하/xsv+어/ecx
주는지	주/px+는지/ecs
조사하였다	조사/ncpa+하/xsv+였/ep+다/ef
.	./sf

그는	그/npp+는/jxc
악성빈혈이나	악성/ncn+빈혈/ncn+이나/jcj
다른	다르/paa+ㄴ/etm
종류의	종류/ncn+의/jcm
빈혈에	빈혈/ncn+에/jca
관심이	관심/ncn+이/jcs
있어	있/paa+어/ecs
이	이/mmd
같은	같/paa+은/etm
연구를	연구/ncn+를/jco
한	하/pvg+ㄴ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
헤모글로빈에서	헤모글로빈/ncn+에서/jca
만들어지는	만들/pvg+어/ecx+지/px+는/etm
쓸개즙	쓸개즙/ncn
색소를	색소/ncn+를/jco
조사하기	조사/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf

1926	1926/nno
년	년/nbu
보스턴의	보스턴/nq+의/jcm
의사였던	의사/ncn+이/jp+였/ep+던/etm
미놋과	미놋/nq+과/jcj
머피는	머피/nq+는/jxc
휘플의	휘플/nq+의/jcm
결과를	결과/ncn+를/jco
이용하여	이용/ncpa+하/xsv+어/ecs
악성	악성/ncn
빈혈	빈혈/ncn
환자에게	환자/ncn+에게/jca
간을	간/ncn+을/jco
처방하기로	처방/ncpa+하/xsv+기/etn+로/jca
하였다	하/pvg+였/ep+다/ef
.	./sf

적절히	적절/ncn+히/xsa
조리하고	조리/ncpa+하/xsv+고/ecc
달걀	달걀/ncn
,	,/sp
양파	양파/ncn
,	,/sp
닭	닭/ncn
기름	기름/ncn
등과	등/nbn+과/jct
함께	함께/mag
섞으면	섞/pvg+으면/ecs
그래도	그래도/maj
먹을	먹/pvg+을/etm
만하지만	만/nbn+하/pvg+지만/ecs
간은	간/ncn+은/jxc
계속적으로	계속/ncn+적/xsn+으로/jca
먹기	먹/pvg+기/etn
어려운	어렵/paa+ㄴ/etm
음식이다	음식/ncn+이/jp+다/ef
(	(/sl
환자들은	환자/ncn+들/xsn+은/jxc
차라리	차라리/mag
빈혈을	빈혈/ncn+을/jco
앓는	앓/pvg+는/etm
편이	편/ncn+이/jcs
더	더/mag
낫다고	낫/pvg+다/ef+고/jcr
생각하기도	생각/ncpa+하/xsv+기/etn+도/jxc
하였다	하/pvg+였/ep+다/ef
).	)/sr+./sf

그러나	그러나/maj
활성	활성/ncn
인자를	인자/ncn+를/jco
찾기	찾/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
더	더/mag
순수하게	순수/ncps+하/xsm+게/ecc
정화하여	정화/ncpa+하/xsv+어/ecs
분리해야만	분리/ncpa+하/xsv+어야/ecs+만/jxc
했다	하/pvg+었/ep+다/ef
.	./sf

이것은	이것/npd+은/jxc
간의	간/ncn+의/jcm
어느	어느/mmd
인자가	인자/ncn+가/jcs
활성을	활성/ncn+을/jco
갖는지	갖/pvg+는지/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
쉬운	쉽/paa+ㄴ/etm
방법을	방법/ncn+을/jco
제공하였기	제공/ncpa+하/xsv+였/ep+기/etn
때문에	때문/nbn+에/jca
생화학자들은	생화학/ncn+자/xsn+들/xsn+은/jxc
간의	간/ncn+의/jcm
농축물을	농축/ncn+물/xsn+을/jco
여러	여러/mma
가지로	가지/nbn+로/jca
나누어	나누/pvg+어/ecs
연속	연속/ncn
실험을	실험/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

박테리아가	박테리아/ncn+가/jcs
간의	간/ncn+의/jcm
추출	추출/ncn
물질에	물질/ncn+에/jca
반응하는	반응/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
티아민이나	티아민/ncn+이나/jcj
리보플라빈에	리보플라빈/ncn+에/jca
반응하는	반응/ncpa+하/xsv+는/etm
것과	것/nbn+과/jct
매우	매우/mag
유사했기	유사/ncps+하/xsm+었/ep+기/etn
때문에	때문/nbn+에/jca
,	,/sp
연구자들은	연구/ncn+자/xsn+들/xsn+은/jxc
그들이	그/npp+들/xsn+이/jcs
찾는	찾/pvg+는/etm
요소가	요소/ncn+가/jcs
비타민	비타민/ncn
B	B/f
일	이/jp+ㄹ/etm
것으로	것/nbn+으로/jca
추측하여	추측/ncpa+하/xsv+어/ecs
이	이/mmd
물질을	물질/ncn+을/jco
'	'/sl
비타민	비타민/ncn
B12	B/f+12/nno
'	'/sr
라고	라고/jcr
하였다	하/pvg+였/ep+다/ef
.	./sf

1948	1948/nno
년	년/nbu
세균	세균/ncn
반응과	반응/ncn+과/jct
크로마코그래피를	크로마코그래피/ncn+를/jco
사용하여	사용/ncpa+하/xsv+어/ecs
영국의	영국/nq+의/jcm
스미스	스미스/nq
,	,/sp
머크	머크/nq
연구소의	연구/ncn+소/xsn+의/jcm
폴커스는	폴커스/nq+는/jxc
비타민	비타민/ncn
B12	B/f+12/nno
의	의/jcm
순수	순수/ncn
분리에	분리/ncn+에/jca
성공하였다	성공/ncpa+하/xsv+였/ep+다/ef
.	./sf

이	이/mmd
비타민은	비타민/ncn+은/jxc
붉은	붉/paa+은/etm
물질로	물질/ncn+로/jca
밝혀졌고	밝히/pvg+어/ecx+지/px+었/ep+고/ecc
두	두/nnc
과학자는	과학/ncn+자/xsn+는/jxc
어떤	어떤/mmd
코발트	코발트/ncn
화합물의	화합/ncn+물/xsn+의/jcm
색깔과	색깔/ncn+과/jct
닮았다고	닮/pvg+았/ep+다/ef+고/jcr
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf

스미스와	스미스/nq+와/jcj
폴커스가	폴커스/nq+가/jcs
비타민	비타민/ncn
B12	B/f+12/nno
를	를/jco
태워	태우/pvg+어/ecs
그	그/mmd
재를	재/ncn+를/jco
분석한	분석/ncpa+하/xsv+ㄴ/etm
결과	결과/ncn
코발트가	코발트/ncn+가/jcs
들어	들/pvg+어/ecx
있음을	있/px+음/etn+을/jco
발견하였다	발견/ncpa+하/xsv+였/ep+다/ef
.	./sf

화학자들은	화학/ncn+자/xsn+들/xsn+은/jxc
