<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0417.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0417.txt </filename>
<title> 최부의 표류기 </title>
<author>최부 저 ; 박화목 역 </author>
<date>1993  </date>
<publisher>민문고  </publisher>
<kdc>981.2  </kdc>
<ddc>915.1  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
멀리	멀리/mag
냈습니다	내/px+었/ep+습니다/ef
.	./sf
그러노라	그러/pvd+노라/ecs
한나절이	한나절/ncn+이/jcs
지났습니다	지나/pvg+았/ep+습니다/ef
.	./sf
비는	비/ncn+는/jxc
뜸해졌습니다	뜸하/paa+어/ecx+지/px+었/ep+습니다/ef
.	./sf
차츰	차츰/mag
날씨가	날씨/ncn+가/jcs
갤	개/pvg+ㄹ/etm
것	것/nbn
같기도	같/paa+기/etn+도/jxc
하였습니다	하/pvg+였/ep+습니다/ef
.	./sf
그러나	그러나/maj
바람이	바람/ncn+이/jcs
동풍으로	동풍/ncn+으로/jca
바뀌면서	바뀌/pvg+면서/ecs
여전히	여전/ncn+히/xsa
세차게	세차/paa+게/ecs
불었습니다	불/pvg+었/ep+습니다/ef
.	./sf
배는	배/ncn+는/jxc
기울어졌다	기울어지/pvg+었/ep+다/ecc
떠올랐다	떠오르/pvg+았/ep+다/ecs
하면서	하/pvg+면서/ecs
물결을	물결/ncn+을/jco
따라	따르/pvg+아/ecs
계속	계속/mag
흘러갔습니다	흐르/pvg+어/ecs+가/pvg+았/ep+습니다/ef
.	./sf
노를	노/ncn+를/jco
젓는다는	젓/pvg+는다/ef+는/etm
것은	것/nbn+은/jxc
엄두도	엄두/ncn+도/jxc
낼	내/pvg+ㄹ/etm
수가	수/nbn+가/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
물결이	물결/ncn+이/jcs
하자는	하/pvg+자/ef+는/etm
대로	대로/nbn
맡겨	맡기/pvg+어/ecx
둘	두/px+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없는	없/paa+는/etm
형편이었습니다	형편/ncn+이/jp+었/ep+습니다/ef
.	./sf
비가	비/ncn+가/jcs
개면서	개/pvg+면서/ecs
시야가	시야/nnc+가/jcs
트이기	트이/pvg+기/etn
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
곁꾼	곁꾼/ncn
한	한/nnc
사람이	사람/ncn+이/jcs
최부에게	최부/nq+에게/jca
다가와	다가오/pvg+아/ecs
바다의	바다/ncn+의/jcm
어느한	어느/mmd+한/nnc
곳을	곳/ncn+을/jco
가리켰습니다	가리키/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
저기를	저기/npd+를/jco
보십시오	보/pvg+시/ep+ㅂ시오/ef
."	./sf+"/sr
곁꾼이	곁꾼/ncn+이/jcs
가리키는	가리키/pvg+는/etm
곳은	곳/ncn+은/jxc
바다의	바다/ncn+의/jcm
동북쪽이었습니다	동북쪽/ncn+이/jp+었/ep+습니다/ef
.	./sf
"	"/sl
그래	그렇/pad+어/ef
,	,/sp
뭐가	뭐/npd+가/jcs
보이느냐	보이/pvg+느냐/ef
?"	?/sf+"/sl
"	"/sl
예	예/ii
,	,/sp
저	저/mmd
아득한	아득/ncps+하/xsm+ㄴ/etm
곳에	곳/ncn+에/jca
한	한/nnc
점	점/ncn
탄환만한	탄환/ncn+만/jxc+하/px+ㄴ/etm
것이	것/nbn+이/jcs
보이지	보이/pvg+지/ecx
않습니까	않/px+습니까/ef
?"	?/sf+"/sl
"	"/sl
그렇군	그렇/pad+군/ef
.	./sf
저것은	저것/npd+은/jxc
섬이	섬/ncn+이/jcc
아니냐	아니/paa+냐/ef
?"	?/sf+"/sl
"?	"/sl+?/sf
맞습니다	맞/paa+습니다/ef
.	./sf
섬이옵니다	섬/ncn+이/jp+오/ep+ㅂ니다/ef
.	./sf
제	제/npp
생각으로는	생각/ncn+으로/jca+는/jxc
아마	아마/mag
흑산도	흑산도/nq
일	이/jp+ㄹ/etm
것	것/nbn
같습니다	같/paa+습니다/ef
."	./sf+"/sr
"	"/sl
흑산도라고	흑산도/nq+라고/ef
?	?/sf
그렇다면	그렇/pad+다면/ecs
,	,/sp
이	이/mmd
배는	배/ncn+는/jxc
지금	지금/mag
저	저/mmd
섬의	섬/ncn+의/jcm
서남쪽에	서남쪽/ncn+에/jca
있단	있/paa+다/ef+ㄴ/etm
말이냐	말/ncn+이/jp+냐/ef
?"	?/sf+"/sr
"	"/sl
그러하옵니다	그러하/pad+오/ep+ㅂ니다/ef
.	./sf
섬의	섬/ncn+의/jcm
반대쪽으로	반대/ncn+쪽/nbn+으로/jca
흘러가고	흐르/pvg+어/ecs+가/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
이	이/mmd
곳을	곳/ncn+을/jco
지나서	지나/pvg+서/ecs
계속	계속/mag
앞으로	앞/ncn+으로/jca
간다면	가/pvg+ㄴ다면/ecs
,	,/sp
사방에	사방/ncn+에/jca
섬이라고는	섬/ncn+이/jp+라고/ecs+는/jxc
하나도	하나/nnc+도/jxc
없는	없/paa+는/etm
넓은	넓/paa+은/etm
바다뿐입니다	바다/ncn+뿐/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
음	음/ii
."	./sf+"/sr
이	이/mmd
말을	말/ncn+을/jco
듣고	듣/pvg+고/ecs
,	,/sp
최부는	최부/nq+는/jxc
신음하듯	신음/ncpa+하/xsv+듯/nbn
입을	입/ncn+을/jco
다실	다시/pvg+ㄹ/etm
뿐이었습니다	뿐/nbn+이/jp+었/ep+습니다/ef
.	./sf
"	"/sl
우리의	우리/npp+의/jcm
배는	배/ncn+는/jxc
벌써	벌써/mag
서해	서해/nq
한가운데로	한가운데/ncn+로/jca
떠내려왔습니다	뜨/pvg+어/ecs+내리/pvg+어/ecs+오/pvg+았/ep+습니다/ef
."	./sf+"/sr
곁꾼이	곁꾼/ncn+이/jcs
무뚝뚝한	무뚝뚝/ncps+하/xsm+ㄴ/etm
한마디	한마디/ncn
말이었지만	말/ncn+이/jp+었/ep+지만/ecs
,	,/sp
최부에게는	최부/nq+에게/jca+는/jxc
머리를	머리/ncn+를/jco
힘껏	힘껏/mag
때리는	때리/pvg+는/etm
듯한	듯하/px+ㄴ/etm
그런	그런/mmd
말이었습니다	말/ncn+이/jp+었/ep+습니다/ef
.	./sf
아니	아니/ii
,	,/sp
경차관	경차관/ncn
최부뿐만이	최부/nq+뿐/nbn+만/jxc+이/jcc
아니었습니다	아니/paa+었/ep+습니다/ef
.	./sf
배가	배/ncn+가/jcs
서해	서해/nq
한가운데로	한가운데/ncn+로/jca
떠내려왔다는	뜨/pvg+어/ecs+내리/pvg+어/ecs+오/pvg+았/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
알고는	알/pvg+고/ecs+는/jxc
,	,/sp
사람들은	사람/ncn+들/xsn+은/jxc
모두	모두/mag
어찌할	어찌하/pvd+ㄹ/etm
바를	바/nbn+를/jco
몰라	모르/pvg+아/ecs
배안에	배/ncn+안/ncn+에/jca
쓰러졌습니다	쓰러지/pvg+었/ep+습니다/ef
.	./sf
참말로	참말/ncn+로/jca
,	,/sp
배는	배/ncn+는/jxc
서해	서해/nq
한가운데로	한가운데/ncn+로/jca
떠밀려	떠밀리/pvg+어/ecs
흘러가고	흐르/pvg+어/ecs+가/pvg+고/ecs
있었던	있/paa+었/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
이제는	이제/ncn+는/jxc
뭍과의	뭍/ncn+과/jct+의/jxc
사이가	사이/ncn+가/jcs
너무	너무/mag
멀고	멀/paa+고/ecc
,	,/sp
또	또/maj
세찬	세차/paa+ㄴ/etm
물결은	물결/ncn+은/jxc
거슬러	거스르/pvg+어/ecs
노를	노/ncn+를/jco
저어	젓/pvg+어/ecs
간다는	가/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
도저히	도저히/mag
엄두도	엄두/ncn+도/jxc
못낼	못/mag+내/pvg+ㄹ/etm
일이었습니다	일/ncn+이/jp+었/ep+습니다/ef
.	./sf
그런데다	그렇/pad+ㄴ데다/ecs
밤새껏	밤새껏/mag
비바람과	비바람/ncn+과/jct
싸우느라	싸우/pvg+느라/ecs
지쳐	지치/pvg+어/ecx
있었기	있/px+었/ep+기/etn
때문에	때문/nbn+에/jca
,	,/sp
심히	심히/mag
흔들리며	흔들리/pvg+며/ecs
떠가는	뜨/pvg+어/ecs+가/pvg+는/etm
배에	배/ncn+에/jca
한	한/nnc
목숨을	목숨/ncn+을/jco
의탁하는	의탁/ncpa+하/xsv+는/etm
도리밖에	도리/ncn+밖에/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
곁꾼	곁꾼/ncn
중에도	중/nbn+에/jca+도/jxc
제	제/npp
정신을	정신/ncn+을/jco
잃어	잃/pvg+어/ecx
가고	가/px+고/ecx
있는	있/px+는/etm
사람이	사람/ncn+이/jcs
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
곁꾼	곁꾼/ncn
중	중/nbn
한	한/nnc
사람은	사람/ncn+은/jcs
,	,/sp
"	"/sl
우리가	우리/npp+가/jcs
하루	하루/ncn
동안의	동안/ncn+의/jcm
날씨도	날씨/ncn+도/jxc
점쳐	점치/pvg+어/ecx
보지	보/px+지/ecx
않고서	않/px+고/ecs+서/jxc
떠난	떠나/pvg+ㄴ/etm
것이	것/nbn+이/jcs
잘못이야	잘못/ncn+이/jp+야/ef
!"	!/sf+"/sl
하고	하/pvg+고/ecc
,	,/sp
불평을	불평/ncn+을/jco
터뜨렸습니다	터뜨리/pvg+었/ep+습니다/ef
.	./sf
다른	다른/mma
곁꾼은	곁꾼/ncn+은/jcs
,	,/sp
"	"/sl
그런	그런/mmd
말	말/ncn
말게	말/pvg+게/ef
!	!/sf
형세가	형세/ncn+가/jcs
이미	이미/mag
이렇게	이렇게/mag
되었으니	되/pvg+었/ep+으니/ecs
,	,/sp
우리가	우리/npp+가/jcs
할	하/pvg+ㄹ/etm
바를	바/nbn+를/jco
다해야지	다하/pvg+어야지/ef
.	./sf
목숨을	목숨/ncn+을/jco
허술히	허술/ncn+히/xsa
버릴	버리/pvg+ㄹ/etm
순	수/nbn+ㄴ/etm
없잖아	없/paa+잖아/ef
!"	!/sf+"/sl
"	"/sl
어떻게	어떻게/mag
하자는	하/pvg+자/ef+는/jxc
건가	거/nbn+이/jp+ㄴ가/ef
?"	?/sf+"/sl
"	"/sl
배도	배/ncn+도/jxc
수리하고	수리/ncpa+하/xsv+고/ecc
,	,/sp
취로	취/ncn+로/jca
(	(/sl
증류하여	증류/ncpa+하/xsv+여/ecs
그	그/mmd
김을	김/ncn+을/jco
받는	받/pvg+는/etm
일	일/ncn
.	./sf
여기서	여기/npd+서/jca
빗물이나	빗물/ncn+이나/jcj
이슬	이슬/ncn
따위를	따위/nbn+를/jco
받아	받/pvg+아/ecs
모아	모으/pvg+아/ecs
,	,/sp
먹을	먹/pvg+을/etm
물로	물/ncn+로/jca
저장해	저장/ncpa+하/xsv+어/ecs
둠을	두/pvg+ㅁ/etn+을/jco
뜻하는	뜻/ncpa+하/xsv+는/etm
듯함	듯/nbn+하/pvg+ㅁ/etn
)	)/sr
도	도/jxc
해야하네	하/pvg+어야/ecs+하/pvg+네/ef
.	./sf
이제는	이제/ncn+는/jxc
바닷길이	바닷길/ncn+이/jcs
아득하고	아득/ncps+하/xsm+고/ecc
멀다는	멀/paa+다/ef+는/etm
것을	것/nbn+을/jco
각오해야	각오/ncpa+하/xsv+어야/ecx
하네	하/px+네/ef
.	./sf
뭍에	뭍/ncn+에/jca
다다르기까지	다다르/pvg+기/etn+까지/jxc
몇	몇/mma
날이	날/ncn+이/jcs
걸릴는지	걸리/pvg+ㄹ는지/ecs
모르는	모르/pvg+는/etm
일이거든	일/ncn+이/jp+거든/ef
!"	!/sf+"/sl
하고	하/pvg+고/ecs
,	,/sp
저희들끼리	저희/npp+들/xsn+끼리/xsn
말을	말/ncn+을/jco
주고받는	주/pvg+고/ecs+받/pvg+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/etm
마음을	마음/ncn+을/jco
가다듬고	가다듬/pvg+고/ecs
,	,/sp
안의를	안의/nq+를/jco
불러	부르/pvg+어/ecs
취로의	취로/ncn+의/jcm
책임을	책임/ncn+을/jco
맡겼습니다	맡기/pvg+었/ep+습니다/ef
.	./sf
또한	또한/maj
,	,/sp
곁꾼들은	곁꾼/ncn+들/xsn+은/jxc
독려해서	독려/ncpa+하/xsv+어서/ecs
배를	배/ncn+를/jco
수리하는	수리/ncpa+하/xsv+는/etm
일을	일/pvg+을/jco
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그리하고는	그리하/pvd+고/ecs+는/jxc
,	,/sp
엄한	엄하/paa+ㄴ/etm
목소리로	목소리/ncn+로/jca
한마디	한마디/ncn
꾸짖는	꾸짖/pvg+는/etm
말을	말/ncn+을/jco
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
바다를	바다/ncn+를/jco
건널	건너/pvg+ㄹ/etm
때에는	때/ncn+에/jca+는/jxc
,	,/sp
비록	비록/mag
그	그/mmd
수효가	수효/ncn+가/jcs
적더라도	적/paa+더라도/ecs
마땅히	마땅/ncn+히/xsa
배를	배/ncn+를/jco
운전하는	운전/ncpa+하/xsv+는/etm
사람과	사람/ncn+과/jcj
수로를	수로/ncn+를/jco
익히	익히/mag
아는	알/pvg+는/etm
사람만	사람/ncn+만/jxc
있으면	있/paa+으면/ecs
족한	족하/pvg+ㄴ/etm
법인데	법/ncn+이/jp+ㄴ데/ecs
,	,/sp
지금	지금/ncn
이	이/mmd
배를	배/ncn+를/jco
탄	타/pvg+ㄴ/etm
사람은	사람/ncn+은/jcs
모두	모두/mag
게으르고	게으르/paa+고/ecs
인원수만	인원/ncn+수/ncn+만/jxc
떠벌려	떠벌리/pvg+어/ecs
많이	많/paa+이/xsa
있을	있/paa+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
배가	배/ncn+가/jcs
표류되어	표류/ncpa+되/xsv+어/ecs
이	이/mmd
지경에	지경/ncn+에/jca
이르렀거늘	이르/pvg+었/ep+거늘/ecs
,	,/sp
대체	대체/mag
어떻게	어떻게/mag
하자는	하/pvg+자/ef+는/etm
것이냐	것/nbn+이/jp+냐/ef
?"	?/sf+"/sl
최부가	최부/nq+가/jcs
엄하게	엄하/paa+게/ecs
꾸짖자	꾸짖/pvg+자/ecs
,	,/sp
곁꾼들은	곁꾼/ncn+들/xsn+은/jxc
잠자코	잠자코/mag
꾸짖음을	꾸짖/pvg+음/etn+을/jco
들을	듣/pvg+을/etm
뿐이었습니다	뿐/nbn+이/jp+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jxc
말을	말/ncn+을/jco
계속했습니다	계속/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
"	"/sl
나는	나/npp+는/jxc
아버님의	아버님/ncn+의/jcm
상을	상/ncn+을/jco
당해	당하/pvg+어/ecs
달려가는	달리/pvg+어/ecs+가/pvg+는/etm
몸이어서	몸/ncn+이/jp+어서/ecs
조금도	조금/ncn+도/jxc
더	더/mag
머무를	머물/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
어찌	어찌/mag
자식된	자식/ncn+되/pvg+ㄴ/etm
자로서	자/nbn+로서/jca
잠깐	잠깐/mag
동안인들	동안/ncn+이/jp+ㄴ들/jxc
지체할	지체/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
있었겠느냐	있/paa+었/ep+겠/ep+느냐/ef
?	?/sf
너희들이	너희/npp+들/xsn+이/jcs
나와	나/npp+와/jct
함께	함께/mag
표류를	표류/ncn+를/jco
당한	당하/pvg+ㄴ/etm
것은	것/nbn+은/jcs
실상	실상/ncn
나	나/npp
때문이었겠지만	때문/nbn+이/jp+었/ep+겠/ep+지/ef+만/jxc
,	,/sp
형세가	형세/ncn+가/jcs
또한	또한/maj
그렇게	그렇게/mag
만든	만들/pvg+ㄴ/etm
것을	것/nbn+을/jco
어쩌겠느냐	어쩌/pvd+겠/ep+느냐/ef
?	?/sf
그렇다고	그렇/pad+다고/ecs
가만히	가만히/mag
앉아서	앉/pvg+아서/ecs
죽기를	죽/pvg+기/etn+를/jco
기다리겠느냐	기다리/pvg+겠/ep+느냐/ef
?	?/sf
이	이/mmd
배는	배/ncn+는/jxc
매우	매우/mag
단단하므로	단단하/paa+므로/ecs
좀처럼	좀처럼/mag
부서지지	부서지/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
비록	비록/mag
,	,/sp
이	이/mmd
배가	배/ncn+가/jcs
표류하는	표류/ncpa+하/xsv+는/etm
일이	일/ncn+이/jxc
있더라도	있/paa+더라도/ecs
살아날	살/pvg+아/ecs+나/pvg+ㄹ/etm
수가	수/nbn+가/jcs
있는	있/paa+는/etm
것이니	것/nbn+이/jp+니/ecs
,	,/sp
모두	모두/mag
서로	서로/mag
마음이	마음/ncn+이/jcs
흩어짐이	흩어지/pvg+ㅁ/etn+이/jcs
없이	없/paa+이/xsa
맡은	맡/pvg+은/etm
일에	일/ncn+에/jca
최선을	최선/ncn+을/jco
다하도록	다하/pvg+도록/ecs
하라	하/pvg+라/ef
!"	!/sf+"/sl
이	이/mmd
말을	말/ncn+을/jco
들은	듣/pvg+은/etm
허상리는	허상리/nq+는/jxc
,	,/sp
"	"/sl
우리들은	우리/npp+들/xsn+은/jxc
모두가	모두/ncn+가/jcs
고루하고	고루/ncps+하/xsm+고/ecc
우둔해서	우둔/ncps+하/xsm+어서/ecs
잠시	잠시/mag
마음이	마음/ncn+이/jcs
흔들렸습니다	흔들리/pvg+었/ep+습니다/ef
.	./sf
이제는	이제/ncn+는/jxc
각각	각각/ncn
주기로써	주기/ncn+로써/jxc
있는	있/paa+는/etm
힘을	힘/ncn+을/jco
다해	다하/pvg+어/ecs
제	제/npp
맡은	맡/pvg+은/etm
일을	일/ncn+을/jco
해	하/pvg+어/ecx
내겠습니다	내/px+겠/ep+습니다/ef
."	./sf+"/sr
하고	하/pvg+고/ecs
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그래서	그래서/maj
,	,/sp
배의	배/ncn+의/jcm
망가진	망가지/pvg+ㄴ/etm
데를	데/nbn+를/jco
고치기도	고치/pvg+기/etn+도/jxc
하고	하/pvg+고/ecc
,	,/sp
배	배/ncn
안에	안/ncn+에/jca
괸	괴/pvg+ㄴ/etm
물을	물/ncn+을/jco
열심히	열심히/mag
퍼냈습니다	푸/pvg+어/ecs+내/pvg+었/ep+습니다/ef
.	./sf
그런대로	그런/ncn+대로/jxc
배는	배/ncn+는/jxc
뒤집히는	뒤집히/pvg+는/etm
일	일/ncn
없이	없/paa+이/xsa
계속	계속/mag
떠	뜨/pvg+어/ecs
흘러갔습니다	흐르/pvg+어/ecs+가/pvg+았/ep+습니다/ef
.	./sf
갤	개/pvg+ㄹ/etm
듯싶던	듯싶/px+던/etm
비는	비/ncn+는/jxc
다시	다시/mag
내리며	내리/pvg+며/ecc
그치지	그치/pvg+지/ecx
않았고	않/px+았/ep+고/ecs
,	,/sp
바람도	바람/ncn+도/jxc
계속	계속/mag
불었습니다	불/pvg+었/ep+습니다/ef
.	./sf
물결은	물결/ncn+은/jxc
여전히	여전/ncn+히/xsa
날뛰어	날뛰/pvg+어/ecs
이물과	이물/ncn+과/jcj
고물에	고물/ncn+에/jct
부딛혀	부딛히/pvg+어/ecs
물이	물/ncn+이/jcs
들어왔으나	들어오/pvg+았/ep+으나/ecs
,	,/sp
들어오는	들어오/pvg+는/etm
대로	대로/jxc
곧	곧/maj
퍼내곤	푸/pvg+어/ecs+내/pvg+곤/ecx
했습니다	하/px+었/ep+습니다/ef
.	./sf
밤이	밤/ncn+이/jcc
되자	되/pvg+자/ecs
,	,/sp
배	배/ncn
안에	안/ncn+에/jca
물이	물/ncn+이/jcs
반쯤	반/nnc+쯤/xsn
잠기게	잠기/pvg+게/ecs
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
의복과	의복/ncn+과/jcj
행장이	행장/ncn+이/jcs
모두	모두/mag
젖었는데다가	젖/pvg+었/ep+는/etm+데다/ecs+가/jxc
,	,/sp
추위는	추위/ncn+는/jcs
뼈를	뼈/ncn+를/jco
깎아내는	깎/pvg+아/ecs+내/pvg+는/etm
듯했습니다	듯하/px+었/ep+습니다/ef
.	./sf
모두	모두/mag
지칠	지치/pvg+ㄹ/etm
대로	대로/nbn
지쳤는지	지치/pvg+었/ep+는지/ecs
,	,/sp
축	축/mag
늘어진	늘어지/pvg+ㄴ/etm
채	채/nbn
꼼짝하려	꼼짝/mag+하/xsv+려/ecs
하지	하/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
모두	모두/mag
귀를	귀/ncn+를/jco
가리고	가리/pvg+고/ecc
명령에	명령/ncn+에/jca
따르지	따르/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
혹은	혹은/maj
때려도	때리/pvg+어/ecs+도/jxc
일어나지	일어나/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
이제는	이제/ncn+는/jxc
모두	모두/mag
죽기만을	죽/pvg+기/etn+만/jxc+을/jco
기다리는	기다리/pvg+는/jxc
듯싶었습니다	듯싶/px+었/ep+습니다/ef
.	./sf
"	"/sl
우리가	우리/npp+가/jcs
마음과	마음/ncn+과/jcj
힘을	힘/ncn+을/jco
다해도	다하/pvg+어/ecs+도/jxc
끝내는	끝내/mag+는/jxc
죽고	죽/pvg+고/ecx
말것이다	말/px+것/nbn+이/jp+다/ef
.	./sf
그러니	그러니/maj
,	,/sp
차라리	차라리/mag
편안히	편안/ncn+히/xsa
누워서	눕/pvg+어서/ecs
죽는	죽/pvg+는/etm
편이	편/ncn+이/jcs
나을	낫/pvg+을/etm
것이다	것/nbn+이/jp+다/ef
."	./sf+"/sr
하고	하/pvg+고/ecs
,	,/sp
말하는	말/ncpa+하/xsv+는/etm
사람도	사람/ncn+도/jxc
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
"	"/sl
참	참/ii
,	,/sp
이	이/mmd
배도	배/ncn+도/jxc
어지간하구나	어지간하/paa+구나/ef
,	,/sp
당장	당장/mag
부서질	부서지/pvg+ㄹ/etm
것	것/nbn
같은데	같/paa+은데/ecs
어찌	어찌/mag
부서지지	부서지/pvg+지/ecx
않을까	않/px+을까/ef
?"	?/sf+"/sl
하고	하/pvg+고/ecs
,	,/sp
푸념하는	푸념/ncpa+하/xsv+는/etm
사람도	사람/ncn+도/jxc
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
최부	최부/nq
자신도	자신/ncn+도/jxc
물에	물/ncn+에/jca
빠져	빠지/pvg+어/ecs
죽는	죽/pvg+는/etm
것은	것/nbn+은/jxc
틀림없을	틀림없/paa+을/etm
것	것/nbn
같이	같/paa+이/xsa
생각되었습니다	생각/ncpa+되/xsv+었/ep+습니다/ef
.	./sf
혹	혹/mag
배가	배/ncn+가/jcs
가라앉지	가라앉/pvg+지/ecx
않고	않/px+고/ecx
표류한다	표류/ncpa+하/xsv+ㄴ다/ecs
하더라도	하/pvg+더라도/ecs
,	,/sp
식수며	식수/ncn+며/jcj
식량이	식량/ncn+이/jcs
끊기어	끊기/pvg+어/ecs
죽을	죽/pvg+을/etm
것은	것/nbn+은/jxc
뻔한	뻔하/paa+ㄴ/etm
노릇이었습니다	노릇/nbn+이/jp+었/ep+습니다/ef
.	./sf
게다가	게다가/maj
이	이/mmd
배에는	배/ncn+에/jca+는/jxc
너무	너무/mag
많은	많/paa+은/etm
사람이	사람/ncn+이/jcs
타고	타/pvg+고/ecs
있었습니다	있/px+었/ep+습니다/ef
.	./sf
자신까지	자신/ncn+까지/jxc
합해서	합하/pvg+어서/ecs
모두	모두/mag
43	43/nnc
명이나	명/nbu+이나/jxc
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
제주도	제주도/nq
사람으로서	사람/ncn+으로서/jxc
배를	배/ncn+를/jco
탄	타/pvg+ㄴ/etm
사람만도	사람/ncn+만도/jxc
35	35/nnc
명이나	명/nbu+이나/jxc
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
사공이나	사공/ncn+이나/jcj
곁꾼들	곁꾼/ncn+들/xsn
외에는	외/nbn+에/jca+는/jxc
모두	모두/mag
실속없는	실속/ncn+없/paa+는/etm
사람이라는	사람/ncn+이/jp+라/ef+는/etm
생각이	생각/ncn+이/jcs
들었습니다	들/pvg+었/ep+습니다/ef
.	./sf
안의는	안의/nq+는/jcs
,	,/sp
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
제주	제주/nq
목사께서	목사/ncn+께서/jcs
경차관님에	경차관/ncn+님/xsn+에/jca
대한	대하/pvg+ㄴ/etm
극진한	극진/ncpa+하/xsv+ㄴ/etm
예로써	예/ncn+로써/jxc
,	,/sp
이	이/mmd
사람들을	사람/ncn+들/xsn+을/jco
동행케	동행/ncpa+하/xsv+게/ecs
한	하/pvg+ㄴ/etm
것이옵니다	것/nbn+이/jp+오/ep+ㅂ니다/ef
.	./sf
배를	배/ncn+를/jco
운전하는	운전/ncpa+하/xsv+는/etm
데는	데/nbn+는/jxc
반드시	반드시/mag
여러	여러/mma
사람이	사람/ncn+이/jcs
힘을	힘/ncn+을/jco
모아야	모으/pvg+아야/ecs
하기	하/pvg+기/etn
때문인	때문/nbn+이/jp+ㄴ/etm
줄	줄/nbn
아옵니다	알/pvg+오/ep+ㅂ니다/ef
."	./sf+"/sr
하고	하/pvg+고/jcr
말하는	말/ncpa+하/xsv+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jcs
,	,/sp
"	"/sl
배는	배/ncn+는/jxc
아직	아직/mag
튼튼하다	튼튼하/paa+다/ef
.	./sf
물을	물/ncn+을/jco
퍼내면	푸/pvg+어/ecs+내/pvg+면/ecs
배가	배/ncn+가/jcs
침몰할	침몰/ncpa+하/xsv+ㄹ/etm
염려는	염려/ncn+는/jxc
없다	없/paa+다/ef
.	./sf
그런데	그런데/maj
모두	모두/mag
가만히	가만히/mag
앉아서	앉/pvg+아서/ecs
배가	배/ncn+가/jcs
침몰되기를	침몰/ncpa+되/xsv+기/etn+를/jco
기다리고	기다리/pvg+고/ecs
있는	있/paa+는/etm
것이	것/nbn+이/jcc
아닌가	아니/paa+ㄴ가/ef
!"	!/sf+"/sl
하고	하/pvg+고/jcr
,	,/sp
큰	크/paa+ㄴ/etm
소리로	소리/ncn+로/jca
고함질렀습니다	고함/ncn+지르/pvg+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
관노	관노/ncn
(	(/sl
관가의	관가/ncn+의/jcm
남자	남자/ncn
하인	하인/ncn
)	)/sr
인	이/jp+ㄴ/etm
권송이가	권송이/nq+가/jcs
분연히	분연/ncn+히/xsa
일어나	일어나/pvg+아/ecs
부싯돌을	부싯돌/ncn+을/jco
쳐서	치/pvg+어서/ecs
횃불에	횃불/ncn+에/jca
불을	불/pvg+을/etm
붙였습니다	붙이/pvg+었/ep+습니다/ef
.	./sf
그리고	그리고/maj
배	배/ncn
밑에	밑/ncn+에/jca
괸	괴/pvg+ㄴ/etm
물을	물/ncn+을/jco
퍼내기	푸/pvg+어/ecs+내/pvg+기/etn
