<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0054.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0054.txt </filename>
<title>한국경제,  설 땅이 없다 : 일본, 동남아연합, 한국경제의 선택과 전략</title>
<author>이경규 [외]  </author>
<date>1993  </date>
<publisher>중앙일보사  </publisher>
<kdc>320.911  </kdc>
<ddc>330.9519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
동남아서	동남아/nq+서/jca
간판을	간판/ncn+을/jco
바꾸어	바꾸/pvg+어/ecx
달아야	달/px+아야/ecs
할	하/px+ㄹ/etm
정도다	정도/ncn+다/ef
.	./sf
창업자의	창업/ncn+자/xsn+의/jcm
경영이념까지	경영/ncn+이념/ncn+까지/jca
주입시키고	주입/ncpa+시키/xsv+고/ecx
있는	있/px+는/etm
이	이/npd
곳	곳/ncn
센타의	센타/ncn+의/jcm
연수생은	연수/ncn+생/xsn+은/jxc
연간	연간/ncn
1천	1천/nnc
명	명/nbu
.	./sf
전세계에서	전/mma+세계/ncn+에서/jca
온	오/pvg+ㄴ/etm
이들	이/npp+들/xsn
연수생	연수/ncn+생/xsn
중	중/nbn
동남아	동남아/nq
출신이	출신/ncn+이/jcs
절반이나	절반/ncn+이/jp+나/jxc
차지하고	차지/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
모두가	모두/ncn+가/jcs
동남아	동남아/nq
현지	현지/ncn
경영의	경영/ncn+의/jcm
총대를	총대/ncn+를/jco
멜	메/pvg+ㄹ/etm
예비군단들이다	예비/ncn+군단/ncn+들/xsn+이/jp+다/ef
.	./sf
이토추상사의	이토추상사/nq+의/jcm
인도네시아	인도네시아/nq
지점은	지점/ncn+은/jxc
현지인의	현지/ncn+인/xsn+의/jcm
봉급을	봉급/ncn+을/jco
월	월/ncn
1천	1천/nnc
달러도	달러/nbu+도/jxc
선뜻	선뜻/mag
준다	주/pvg+ㄴ다/ef
.	./sf
현지	현지/ncn
다른	다르/paa+ㄴ/etm
기업의	기업/ncn+의/jcm
A	A/f
급	급/ncn
대졸자	대졸/ncn+자/xsn
5	5/nnc
년	년/nbu
경력자면	경력/ncn+자/xsn+면/ecs
3백	3백/nnc
4백	4백/nnc
달러	달러/nbu
수준	수준/ncn
.	./sf
현지	현지/ncn
고급인력이	고급/ncn+인력/ncn+이/jcs
어디로	어디/npd+로/jca
몰릴지는	몰리/pvg+ㄹ지/ecs+는/etm
불을	불/ncn+을/jco
보듯	보/pvg+듯/ecs
뻔하다	뻔/nbn+하/xsm+다/ef
.	./sf
A	A/f
급	급/ncn
현지인력은	현지/ncn+인력/ncn+은/jxc
일본경영의	일본/nq+경영/ncn+의/jcm
혼을	혼/ncn+을/jco
몸에	몸/ncn+에/jca
익히느라	익히/pvg+느라/ecs
일본행	일본/nq+행/xsn
비행기를	비행/ncn+기/xsn+를/jco
수시로	수시/ncn+로/jca
타고있다	타/pvg+고/ecx+있/px+다/ef
.	./sf
가까스로	가까스로/mag
B	B/f
급이라도	급/ncn+이/jp+라도/jxc
건진	건지/pvg+ㄴ/etm
우리지만	우리/npp+지만/jxc
그렇다고	그렇/pad+다고/ecs
안심할	안심/ncpa+하/xsv+ㄹ/etm
상황도	상황/ncn+도/jxc
못된다	못/mag+되/pvg+ㄴ다/ef
.	./sf
쓸만해지면	쓰/pvg+ㄹ/etm+만/nbn+하/pvg+어/ecx+지/px+면/ecs
언제	언제/mag
일본회사로	일본/nq+회사/ncn+로/jca
빠져나가	빠지/pvg+어/ecs+나가/pvg+아/ecs
일본을	일본/nq+을/jco
갔다올지	가/pvg+았/ep+다/ecs+오/pvg+ㄹ지/ecs
장담할	장담/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없기	없/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
훈련된	훈련/ncpa+되/xsv+ㄴ/etm
동남아인	동남아/nq+인/xsn
생산성	생산/ncn+성/xsn
높다	높/paa+다/ef
.	./sf
동남아에	동남아/nq+에/jca
진출하려는	진출/ncpa+하/xsv+려/ecs+는/etm
기업들한테	기업/ncn+들/xsn+한테/jca
가장	가장/mag
궁금한	궁금하/paa+ㄴ/etm
것은	것/nbn+은/jxc
아무래도	아무렇/pad+어도/ecs
동남아	동남아/nq
사람들에	사람/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
생산성을	생산/ncn+성/ncn+을/jco
어떻게	어떻/pad+게/ecs
평가하는가	평가/ncpa+하/xsv+는가/ef
하는	하/pvg+는/etm
점인	점/ncn+이/jp+ㄴ/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
열대지방	열대/ncn+지방/ncn
사람들의	사람/ncn+들/xsn+의/jcm
게으른	게으르/paa+ㄴ/etm
습성에	습성/ncn+에/jca
대한	대하/pvg+ㄴ/etm
선입견이	선입견/ncn+이/jcs
워낙	워낙/mag
강하기	강하/paa+기/etn
때문이리라	때문/nbn+이/jp+리라/ef
.	./sf
사실	사실/ncn
동남아를	동남아/nq+를/jco
여행한	여행/ncpa+하/xsv+ㄴ/etm
사람이라면	사람/ncn+이/jp+라면/ecs
누구나	누구/npp+나/jxc
느슨한	느슨하/paa+ㄴ/etm
사회	사회/ncn
분위기와	분위기/ncn+와/jct
지저분한	지저분/ncps+하/xsm+ㄴ/etm
구석들을	구석/ncn+들/xsn+을/jco
쉽사리	쉽사리/mag
발견하게	발견/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
여기에다	여기/npd+에/jca+다/jxc
정치적	정치/ncn+적/xsn
부패까지	부패/ncn+까지/jxc
곁들이면	곁들이/pvg+면/ecs
,	,/sp
제	제/npp
아무리	아무리/mag
최근	최근/ncn
들어	들/pvg+어/ecs
동남아가	동남아/nq+가/jcs
급성장을	급성장/ncn+을/jco
하고	하/pvg+고/ecx
있다	있/px+다/ef
해도	하/pvg+어도/ecs
별수있겠느냐는	별수/ncn+있/pvg+겠/ep+느냐/ef+는/etm
생각이	생각/ncn+이/jcs
들기	들/pvg+기/etn
십상이다	십상/ncn+이/jp+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
곳에	곳/ncn+에/jca
진출해	진출/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
일본기업의	일본/nq+기업/ncn+의/jcm
생각은	생각/ncn+은/jxc
한마디로	한마디/ncn+로/jca
천만의	천만/ncn+의/jcm
말씀이란	말씀/ncn+이/jp+라/ef+ㄴ/etm
,	,/sp
ㄴ	ㄴ/nnc
것이다	것/nbn+이/jp+다/ef
.	./sf
무엇	무엇/npd
때문일까	때문/nbn+이/jp+ㄹ까/ef
.	./sf
무라타	nq[무라타/nq
히토시	히토시/nq]nq
필리핀_마쓰시타	필리핀/nq+_/sd+마쓰시타/nq
사장의	사장/ncn+의/jcm
말이다	말/ncn+이/jp+다/ef
.	./sf
"	"/sl
도쿄나	도쿄/nq+나/jcj
오사카에	오사카/nq+에/jca
있는	있/paa+는/etm
일본	일본/nq
사람들도	사람/ncn+들/xsn+도/jxc
그런	그런/mmd
생각들을	생각/ncn+들/xsn+을/jco
하는	하/pvg+는/etm
경향이	경향/ncn+이/jcs
많습니다	많/paa+습니다/ef
.	./sf
정치	정치/ncn
사회적으로	사회/ncn+적/xsn+으로/jca
위헙하기도	위헙/ncpa+하/xsv+기/etn+도/jxc
하고	하/pvg+고/ecc
,	,/sp
그렇게	그렇/pad+게/ecs
불안한데서	불안/ncps+하/xsm+ㄴ/etm+데/nbn+서/jca
사업인들	사업/ncn+이/jp+ㄴ들/jxc
제대로	제대로/mag
되겠느냐는	되/pvg+겠/ep+느냐/ef+는/etm
것이지요	것/nbn+이/jp+지/ef+요/jxf
.	./sf
그런데	그런데/maj
기자양반도	기자/nq+양반/ncn+도/jxc
여기와서	여기/npd+오/pvg+아서/ecs
느꼈겠지만	느끼/pvg+었겠/ep+지만/ecs
뭐가	뭐/npd+가/jcs
그렇게	그렇/pad+게/ecs
위험하고	위험/ncpa+하/xsv+고/ecc
불안합니까	불안/ncpa+하/xsv+ㅂ니까/ef
.	./sf
그리고	그리고/maj
필리핀	필리핀/nq
사람들을	사람/ncn+들/xsn+을/jco
우습게	우습/paa+게/ecs
보는데	보/pvg+는데/ecs
,	,/sp
그건	그거/npd+ㄴ/etm
잘못입니다	잘못/ncn+이/jp+ㅂ니다/ef
.	./sf
제대로	제대로/mag
훈련시키면	훈련/ncpa+시키/xsv+면/ecs
얼마든지	얼마/ncn+든지/jxc
생산성을	생산/ncn+성/xsn+을/jco
올릴	올리/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
마쓰시타가	마쓰시타/nq+가/jcs
이	이/npd
곳에	곳/ncn+에/jca
진출한지	진출/ncpa+하/xsv+ㄴ/etm+지/nbn
25	25/nnc
년이	년/nbu+이/jcs
넘었는데	넘/pvg+었/ep+는데/ecs
,	,/sp
누가	누/npp+가/jca
봐도	보/pvg+아도/ecs
성공적으로	성공/ncn+적/xsn+으로/jca
사업을	사업/ncn+을/jco
해왔다고	하/pvg+어/ecs+오/pvg+았/ep+다/ef+고/jcr
자부합니다	자부/ncpa+하/xsv+ㅂ니다/ef
."	./sf+"/sl
그의	그/npp+의/jcm
주장은	주장/ncn+은/jxc
한마디로	한마디/ncn+로/jca
무더운	무덥/paa+ㄴ/etm
길거리에서	길거리/ncn+에서/jca
발견되는	발견/ncpa+되/xsv+는/etm
필리핀	필리핀/nq
사람들의	사람/ncn+들/xsn+의/jcm
평균적인	평균/ncn+적/xsn+이/jp+ㄴ/etm
모습을	모습/ncn+을/jco
가지고	가지/pvg+고/ecc
그들의	그/npp+들/xsn+의/jcm
생산성을	생산/ncn+성/xsn+을/jco
깔보는	깔보/pvg+는/etm
속단은	속단/ncn+은/jxc
금물이라는	금물/ncn+이/jp+라/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그의	그/npp+의/jcm
설명은	설명/ncn+은/jxc
계속된다	계속/ncpa+되/xsv+ㄴ다/ef
.	./sf
"	"/sl
이	이/npd
곳	곳/ncn
사람들의	사람/ncn+들/xsn+의/jcm
생산성을	생산/ncn+성/xsn+을/jco
일률적으로	일률/ncn+적/xsn+으로/jca
평가하긴	평가/ncpa+하/xsv+기/etn+ㄴ/etm
곤란합니다	곤란/ncps+하/xsm+ㅂ니다/ef
.	./sf
그러나	그러나/maj
경우에	경우/ncn+에/jca
따라서는	따르/pvg+아서/ecs+는/etm
일본의	일본/nq+의/jcm
노동력에	노동/ncn+력/xsn+에/jca
비해	비하/pvg+어/ecx
1백	1백/nnc
20%까지	20/nnc+%/su+까지/jxc
내고	내/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
일본의	일본/nq+의/jcm
경우	경우/ncn
노동력	노동/ncn+력/xsn
부족현상이	부족/ncn+현상/ncn+이/jcs
심해지면서	심하/paa+어/ecx+지/px+면서/ecs
집중력이	집중/ncn+력/xsn+이/jcs
떨어진	떨어지/pvg+ㄴ/etm
,	,/sp
노령	노령/ncn
근로자들이	근로/ncn+자/xsn+들/xsn+이/jcs
늘어나고	늘/pvg+어/ecx+나/px+고/ecx
있는	있/px+는/etm
반면	반면/ncn
,	,/sp
이	이/npd
곳의	곳/ncn+의/jcm
젊은	젊/paa+은/etm
사람들을	사람/ncn+들/xsn+을/jco
잘	잘/mag
훈련시킨	훈련/ncpa+시키/xsv+ㄴ/etm
결과	결과/ncn
일본보다	일본/nq+보다/jca
더	더/mag
높은	높/paa+은/etm
생산성을	생산/ncn+성/xsn+을/jco
올리고	올리/pvg+고/ecx
있는	있/px+는/etm
사례도	사례/ncn+도/jxc
생겨나기	생기/pvg+어/ecx+나/px+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
자카르타	자카르타/nq
근거에서	근거/ncn+에서/jca
성공적으로	성공/ncn+적/xsn+으로/jca
사업을	사업/ncn+을/jco
벌이고	벌이/pvg+고/ecx
있는	있/px+는/etm
인도네시아	인도네시아/nq
낫소	낫소/nq
(	(/sl
테니스	테니스/ncn
볼	볼/ncn
메이커	메이커/ncn
)	)/sr
의	의/jcm
박성천	박성천/nq
사장은	사장/ncn+은/jxc
한국과	한국/nq+과/jct
비교해	비교/ncpa+하/xsv+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
"	"/sl
한마디로	한마디/ncn+로/jca
인도네시아	인도네시아/nq
근로자의	근로/ncn+자/xsn+의/jcm
생산성은	생산/ncn+성/xsn+은/jxc
한국	한국/nq
근로자와	근로/ncn+자/xsn+와/jcj
견주어	견주/pvg+어/ecx
큰	크/paa+ㄴ/etm
차이가	차이/ncn+가/jcs
없습니다	없/paa+습니다/ef
.	./sf
테니스	테니스/ncn
볼의	볼/ncn+의/jcm
경우	경우/ncn
한국은	한국/nq+은/jxc
지난	지나/pvg+ㄴ/etm
86	86/nno
년이	년/nbu+이/jcs
생산성면에서	생산/ncn+성/xsn+면/ncn+에서/jca
피크를	피크/ncn+를/jco
기록한	기록/ncpa+하/xsv+ㄴ/etm
이후	이후/ncn
계속	계속/mag
내리막길인데	내리막길/ncn+이/jp+ㄴ데/ecs
이	이/npd
곳은	곳/ncn+은/jxc
반대로	반대/ncn+로/jca
오름세이니까요	오름/ncn+세/xsn+이/jp+니까/ef+요/jxf
.	./sf
한국의	한국/nq+의/jcm
86	86/nno
년이	년/nbu+이/jcs
생산성을	생산/ncn+성/xsn+을/jco
1백이라고	1백/nnc+이/jp+라고/ecs
한다면	하/pvg+ㄴ다면/ecs
인도네시아	인도네시아/nq
낫소의	낫소/nq+의/jcm
생산성은	생산/ncn+성/xsn+은/jxc
90년	90/nno+년/nbu
5월	5/nnc+월/nbu
개업	개업/ncn
당시	당시/ncn
30의	30/nnc+의/jcm
생산성으로	생산/ncn+성/xsn+으로/jca
시작했던	시작/ncpa+하/xsv+었/ep+던/etm
것이	것/nbn+이/jcs
지금은	지금/ncn+은/jxc
65	65/nnc
수준으로까지	수준/ncn+으로/jca+까지/jca
올라와	오르/pvg+아/ecs+오/pvg+아/ecx
있습니다	있/px+습니다/ef
.	./sf
조만간	조만간/mag
85까지	85/nnc+까지/jxc
끌어올릴	끌/pvg+어/ecs+올리/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것	것/nbn
같은데	같/paa+은데/ecs
,	,/sp
그러면	그러면/maj
한국과	한국/nq+과/jcj
사실상	사실/ncn+상/xsn
같아지는	같/paa+아/ecx+지/px+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sl
동남아	동남아/nq
생활이	생활/ncn+이/jcs
15	15/nnc
년째나	년/nbu+째/xsn+나/jxc
되는	되/pvg+는/etm
박사장의	박/nq+사장/ncn+의/jcm
설명은	설명/ncn+은/jxc
보다	보다/mag
구체적이다	구체/ncn+적/xsn+이/jp+다/ef
.	./sf
"	"/sl
인도네시아	인도네시아/nq
사람들의	사람/ncn+들/xsn+의/jcm
손재주는	손재주/ncn+는/jxc
대단합니다	대단/ncps+하/xsm+ㅂ니다/ef
.	./sf
발리	발리/nq
목각이	목각/ncn+이/jcs
섬세하기로	섬세/ncps+하/xsm+기/etn+로/jca
이름이	이름/ncn+이/jcs
나있듯	나/pvg+아/ecx+있/px+듯/ecs
인도네시아	인도네시아/nq
사람들의	사람/ncn+들/xsn+의/jcm
손재주는	손재주/ncn+는/jxc
매우	매우/mag
뛰어납니다	뛰/pvg+어/ecx+나/px+ㅂ니다/ef
.	./sf
물론	물론/mag
복잡한	복잡/ncps+하/xsm+ㄴ/etm
기술을	기술/ncn+을/jco
익히는	익히/pvg+는/etm
경우나	경우/ncn+나/jcj
공정에	공정/ncn+에/jca
변화가	변화/ncn+가/jcs
많은	많/paa+은/etm
일에는	일/ncn+에/jca+는/jxc
아직도	아직/mag+도/jxc
한계를	한계/ncn+를/jco
지니고	지니/pvg+고/ecx
있지요	있/px+지/ef+요/jxf
.	./sf
그러나	그러나/maj
앉아서	앉/pvg+아서/ecs
단순작업을	단순/ncn+작업/ncn+을/jco
반복하는	반복/ncpa+하/xsv+는/etm
일에는	일/ncn+에/jca+는/jxc
아주	아주/mag
높은	높/paa+은/etm
생산성을	생산/ncn+성/xsn+을/jco
보여줍니다	보이/pvg+어/ecx+주/px+ㅂ니다/ef
."	./sf+"/sl
이러한	이러하/pad+ㄴ/etm
사람들의	사람/ncn+들/xsn+의/jcm
임금수준은	임금/ncn+수준/ncn+은/jxc
얼마나	얼마나/mag
될까	되/pvg+ㄹ까/ef
.	./sf
웬만하면	웬만하/paa+면/ecs
일당	일당/ncn
1	1/nnc
달러에	달러/nbu+에/jca
불과하다	불과/ncps+하/xsm+다/ef
.	./sf
잘	잘/mag
줘야	주/pvg+어야/ecs
한달에	한달/ncn+에/jca
50	50/nnc
달러면	달러/nbu+면/ecs
족하다	족하/paa+다/ef
.	./sf
종전에	종전/ncn+에/jca
비해서는	비하/pvg+어서/ecs+는/jxc
임금이	임금/ncn+이/jcs
올랐다고	오르/pvg+았/ep+다/ef+고/jcr
하는데도	하/pvg+는데/ecs+도/jxc
이	이/mmd
정도	정도/ncn
수준이라는	수준/ncn+이/jp+라/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
결국	결국/mag
우리에	우리/npp+에/jca
비해	비하/pvg+어/ecx
임금은	임금/ncn+은/jxc
엄청나게	엄청나/paa+게/ecs
낮은데	낮/paa+은데/ecs
,	,/sp
생산성은	생산/ncn+성/xsn+은/jxc
비슷한	비슷/ncps+하/xsm+ㄴ/etm
수준으로	수준/ncn+으로/jca
육박해오고	육박/ncpa+하/xsv+어/ecx+오/px+고/ecx
있다는	있/px+다/ef+는/etm
이야기다	이야기/ncn+다/ef
.	./sf
어쨌든	어쨌든/mag
평소에	평소/ncn+에/jca
우리가	우리/npp+가/jcs
가지고	가지/pvg+고/ecx
있는	있/px+는/etm
동남아	동남아/nq
사람들에	사람/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
선입견으로는	선입견/ncn+으로/jca+는/jxc
납득이	납득/ncn+이/jcs
잘가지	잘/mag+가/pvg+지/ecx
않는	않/px+는/etm
구석이	구석/ncn+이/jcs
적지	적/pvg+지/ecx
않다	않/px+다/ef
.	./sf
그	그/mmd
이유는	이유/ncn+는/jxc
간단했다	간단/ncpa+하/xsv+었/ep+다/ef
.	./sf
어느	어느/mmd
일본	일본/nq
기업인은	기업/ncn+인/xsn+은/jxc
이렇게	이렇/pad+게/ecs
설명한다	설명/ncpa+하/xsv+ㄴ다/ef
.	./sf
"	"/sl
평균적인	평균/ncn+적/xsn+이/jp+ㄴ/etm
동남아인은	동남아/nq+인/xsn+은/jxc
아직도	아직/mag+도/jxc
게으르지요	게으르/paa+지/ef+요/jxf
.	./sf
또한	또한/maj
우리가	우리/npp+가/jcs
아무리	아무리/mag
애를	애/ncn+를/jco
쓴다고	쓰/pvg+ㄴ다/ef+고/jcr
해도	하/pvg+어도/ecs
동남아	동남아/nq
사람들	사람/ncn+들/xsn
전체를	전체/ncn+를/jco
부지런하게	부지런/ncps+하/xsm+게/ecx
만드는	만들/px+는/etm
것은	것/nbn+은/jxc
불가능한	불/xp+가능/ncpa+하/xsv+ㄴ/etm
일입니다	일/ncn+이/jp+ㅂ니다/ef
.	./sf
그러나	그러나/maj
우리	우리/npp
회사가	회사/ncn+가/jcs
하는	하/pvg+는/etm
일은	일/ncn+은/jxc
이	이/mmd
곳	곳/ncn
사람들	사람/ncn+들/xsn
중에서	중/nbn+에서/jca
상대적으로	상대/ncn+적/xsn+으로/jca
우수하고	우수/ncps+하/xsm+고/ecc
부지런한	부지런/ncps+하/xsm+ㄴ/etm
사람들을	사람/ncn+들/xsn+을/jco
뽑아서	뽑/pvg+아서/ecs
,	,/sp
그	그/mmd
사람들을	사람/ncn+들/xsn+을/jco
대상으로	대상/ncn+으로/jca
집중적으로	집중/ncn+적/xsn+으로/jca
생산성을	생산/ncn+성/xsn+을/jco
올릴	올리/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
훈련을	훈련/ncn+을/jco
시키는	시키/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sl
말하자면	말/ncpa+하/xsv+자면/ecs
인도네시아의	인도네시아/nq+의/jcm
인구가	인구/ncn+가/jcs
무려	무려/mag
1억	1억/nnc
8천	8천/nnc
명이나	명/nbu+이/jp+나/jxc
되는데	되/pvg+는데/ecs
그중에	그/npd+중/nbn+에/jca
1%	1/nnc+%/su
만을	만/jxc+을/jco
대상으로	대상/ncn+으로/jca
해도	하/pvg+어도/ecs
자그만치	자그만치/mag
1백	1백/nnc
80만	80만/nnc
명의	명/nbu+의/jcm
우수	우수/ncn
인력을	인력/ncn+을/jco
확보할	확보/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있지	있/paa+지/ecx
않느냐는	않/px+느냐/ef+는/etm
식의	식/ncn+의/jcm
분석이다	분석/ncn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
측면을	측면/ncn+을/jco
일본은	일본/nq+은/jxc
실제로	실제/ncn+로/jca
활용하고	활용/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
현지에	현지/ncn+에/jca
진출한	진출/ncpa+하/xsv+ㄴ/etm
일본의	일본/nq+의/jcm
유명	유명/ncn
종합상사나	종합/ncn+상사/ncn+나/jcj
은행들의	은행/ncn+들/xsn+의/jcm
경우	경우/ncn
현지	현지/ncn
일류대학의	일류/ncn+대학/ncn+의/jcm
우등	우등/ncn
졸업생들만을	졸업/ncn+생/xsn+들/xsn+만/jxc+을/jco
선택적으로	선택/ncn+적/xsn+으로/jca
채용하고	채용/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것이	것/nbn+이/jcs
바로	바로/mag
그러한	그러하/pad+ㄴ/etm
예다	예/ncn+다/ef
.	./sf
다른	다르/paa+ㄴ/etm
데	데/nbn
보다	보다/jxc
월급도	월급/ncn+도/jxc
많이	많/paa+이/xsa
주고	주/pvg+고/ecc
대우도	대우/ncn+도/jxc
좋으니	좋/paa+으니/ecs
현지인들로서도	현지/ncn+인/xsn+들/xsn+로서/jca+도/jxc
기를	기/ncn+를/jco
쓰고	쓰/pvg+고/ecc
일본회사에	일본/nq+회사/ncn+에/jca
들어가려고	들/pvg+어/ecx+가/px+려고/ecs
하는	하/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여느	여느/ncn
제조업체도	제조/ncn+업체/ncn+도/jxc
마찬가지다	마찬가지/ncn+다/ef
.	./sf
일반	일반/ncn
근로자들의	근로/ncn+자/xsn+들/xsn+의/jcm
경우에도	경우/ncn+에/jca+도/jxc
일본공장들은	일본/nq+공장/ncn+들/xsn+은/jxc
상대적으로	상대/ncn+적/xsn+으로/jca
우수한	우수/ncps+하/xsm+ㄴ/etm
인력을	인력/ncn+을/jco
확보하고	확보/ncpa+하/xsv+고/ecc
,	,/sp
또	또/maj
그들을	그/npp+들/xsn+을/jco
집중적으로	집중/ncn+적/xsn+으로/jca
훈련시키고	훈련/ncpa+시키/xsv+고/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
높은	높/paa+은/etm
생산성을	생산/ncn+성/xsn+을/jco
유지하고	유지/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이렇게	이렇/pad+게/ecx
해서	하/px+어서/ecs
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
동남아산이	동남아/nq+산/xsn+이/jcs
메이드	메이드/ncn
인	인/ncn
코리아의	코리아/ncn+의/jcm
시장세에를	시장/ncn+세/xsn+에/jca+를/jco
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
파고들어오고	파/pvg+고/ecs+들/pvg+어/ecs+오/pvg+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
현지	현지/ncn
합자의	합자/ncn+의/jcm
동남아산	동남아/nq+산/xsn
가전제품	가전/ncn+제품/ncn
일본에	일본/nq+에/jca
역류	역류/ncn
지난	지나/pvg+ㄴ/etm
92	92/nno
년	년/nbu
봄	봄/ncn
일본의	일본/nq+의/jcm
VCR	VCR/f
국내생산의	국내/ncn+생산/ncn+의/jcm
2년째	2/nnc+년/nbu+째/xsn
감소했다는	감소/ncpa+하/xsv+었/ep+다/ef+는/etm
일본	일본/nq
가전업계의	가전/ncn+업계/ncn+의/jcm
발표가	발표/ncn+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
91년	91/nno+년/nbu
가정용	가정/ncn+용/xsn
VCR의	VCR/f+의/jcm
일본내	일본/nq+내/nbn
생산이	생산/ncn+이/jcs
그	그/mmd
전해보다	전해/ncn+보다/jca
무려	무려/mag
6.7%가	6/nnc+./sf+7/nnc+%/su+가/jcs
줄었다는	줄/paa+었/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이는	이/npd+는/jxc
그동안	그/npd+동안/ncn
사상	사상/ncn
유례없는	유례/ncn+없/paa+는/etm
헤이세이	헤이세이/ncn
(	(/sl
乎成	乎成/ncn
)	)/sr
호황을	호황/ncn+을/jco
누리던	누리/pvg+던/etm
일본경기가	일본/nq+경기/ncn+가/jcs
침체로	침체/ncn+로/jca
빠져	빠지/pvg+어/ecx
들고	들/pvg+고/ecx
있다는	있/px+다/ef+는/etm
증거로	증거/ncn+로/jca
일본의	일본/nq+의/jcm
현지	현지/ncn
매스컴과	매스컴/ncn+과/jcj
경제	경제/ncn
평론가들	평론/ncn+가/xsn+들/xsn
사이에	사이/ncn+에/jca
곧잘	곧잘/mag
인용됐다	인용/ncpa+되/xsv+었/ep+다/ef
.	./sf
일본사람들만의	일본/nq+사람/ncn+들/xsn+만/jxc+의/jcm
엄살차원이	엄살/ncn+차원/ncn+이/jcc
아니다	아니/paa+다/ef
.	./sf
타임이나	타임/nq+이나/jcj
뉴스워크	뉴스워크/nq
같은	같/paa+은/etm
미국	미국/nq
잡지들도	잡지/ncn+들/xsn+도/jxc
커버	커버/ncn
스토리로	스토리/ncn+로/jca
'	'/sl
일본경제의	일본/nq+경제/ncn+의/jcm
적신호	적신호/ncn
'	'/sl
를	를/jco
일제히	일제히/mag
대서특필했다	대서특필/ncpa+하/xsv+었/ep+다/ef
.	./sf
과연	과연/mag
그런가	그렇/pad+ㄴ가/ef
,	,/sp
물론	물론/mag
부동산	부동산/ncn
경기가	경기/ncn+가/jcs
내리막길로	내리막길/ncn+로/jca
접어들고	접어들/pvg+고/ecx
있고	있/px+고/ecc
,	,/sp
3월말	3/nno+월/nbu+말/ncn
결산법인들의	결산/ncn+법인/ncn+들/xsn+의/jcm
장사성적표가	장사/ncn+성적/ncn+표/ncn+가/jcs
눈에	눈/ncn+에/jca
띄게	띄/pvg+게/ecs
나빠진	나쁘/paa+아/ecx+지/px+ㄴ/etm
게	거/nbn+이/jcs
사실이다	사실/ncn+이/jp+다/ef
.	./sf
주가가	주가/ncn+가/jcs
폭락	폭락/ncn
,	,/sp
주식을	주식/ncn+을/jco
사둔	사/pvg+아/ecx+두/px+ㄴ/etm
일본의	일본/nq+의/jcm
가정주부들이	가정/ncn+주부/ncn+들/xsn+이/jcs
증권회사	증권/ncn+회사/ncn
직원을	직원/ncn+을/jco
붙잡고	붙잡/pvg+고/ecc
하소연을	하소연/ncn+을/jco
하는가하면	하/pvg+는가/ef+하/xsv+면/ecs
'	'/sl
차라리	차라리/mag
