<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0058.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0058.txt </filename>
<title>(속)나무이야기  </title>
<author>권영한  </author>
<date>1993  </date>
<publisher>전원문화사  </publisher>
<kdc>480.4  </kdc>
<ddc>580  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
가을이	가을/ncn+이/jcc
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
우상복엽인	우상복엽/ncn+이/jp+ㄴ/etm
잎에는	잎/ncn+에/jca+는/jxc
작은	작/paa+은/etm
잎이	잎/ncn+이/jcs
4개	4/nnc+개/nbu
붙어	붙/pvg+어/ecx
있고,	있/px+고/ecc+,/sp
두터운	두텁/paa+ㄴ/etm
잎	잎/ncn
표면에는	표면/ncn+에/jca+는/jxc
광택이	광택/ncn+이/jcs
있으며	있/paa+으며/ecs
길이는	길이/ncn+는/etm
13cm	13/nnc+cm/su
인데	이/jp+ㄴ데/ecs
볼수록	볼/pvg+ㄹ수록/ecs
귀엽기	귀엽/paa+기/etn
그지없습니다.	그지없/paa+습니다/ef+./sf
특히	특히/mag
아름다운	아름/ncps+답/paa+ㄴ/etm
것은	것/nbn+은/jxc
5	5/nno
6	6/nno
월에	월/nbu+에/jca
피는	피/pvg+는/etm
나비	나비/ncn
모양의	모양/ncn+의/jcm
꽃입니다.	꽃/ncn+이/jp+ㅂ니다/ef+./sf
길이	길이/ncn
2.	2/nnc+./sf
54cm에	54/nnc+cm/su+에/jca
달하는	달하/pvg+는/etm
노란	노랗/paa+ㄴ/etm
꽃이	꽃/ncn+이/jcs
핀	피/pvg+ㄴ/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
꽃이	꽃/ncn+이/jcs
나비인지	나비/ncn+이/jp+ㄴ지/ecs
나비가	나비/ncn+가/jcs
꽃인지를	꽃/ncn+이/jp+ㄴ지를/ecs
분간	분간/ncn
못할	못하/pvg+ㄹ/etm
정도로	정도/ncn+로/jca
아름답습니다.	아름/ncps+답/xsm+습니다/ef+./sf
나비는	나비/ncn+는/jxc
옛부터	옛/ncn+부터/jxc
늘	늘/mag
꽃과	꽃/ncn+과/jct
함께	함께/mag
아름답게	아름/ncps+답/xsm+게/ecs
묘사되어	묘사/ncpa+되/xsv+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
나비는	나비/ncn+는/jxc
우리의	우리/npp+의/jcm
좋은	좋/paa+은/etm
감정	감정/ncn
속에	속/ncn+에/jca
깊이	깊/paa+이/xsa
남아	남/pvg+아/ecx
있습니다.	있/px+습니다/ef+./sf
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
꽃은	꽃/ncn+은/jxc
여자,	여자/ncn+,/sp
나비는	나비/ncn+는/jxc
남자에	남자/ncn+에/jca
비해서	비하/pvg+어서/ecs
남녀의	남녀/ncn+의/jcm
사랑과	사랑/ncn+과/jcj
정을	정/ncn+을/jco
그리는	그리/pvg+는/etm
데	데/nbn
늘	늘/mag
등장해	등장/ncpa+하/xsv+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
그리운	그립/paa+ㄴ/etm
여자를	여자/ncn+를/jco
본	보/pvg+ㄴ/etm
남자가	남자/ncn+가/jcs
그녀를	그녀/npp+를/jco
그냥	그냥/mag
두고	두/pvg+고/ecc
그대로	그대로/mag
지나쳐	지나치/pvg+어/ecx
버릴	버리/px+ㄹ/etm
수	수/nbn
없다는	없/paa+다/ef+는/etm
의미로,	의미/ncn+로/jca+,/sp
'꽃	'/sl+꽃/ncn
본	보/pvg+ㄴ/etm
나비	나비/ncn
담	담/ncn
넘어가랴.'라는	넘어가/pvg+랴/ef+./sf+'/sr+라/ef+는/etm
속담이라든가,	속담/ncn+이/jp+라든가/ecc+,/sp
남녀의	남녀/ncn+의/jcm
정이	정/ncn+이/jcs
깊어	깊/paa+어/ecs
비록	비록/mag
죽을	죽/pvg+을/etm
위험이	위험/ncn+이/jcs
뒤따르더라도	뒤따르/pvg+더라도/ecs
찾아가	찾/pvg+아/ecs+가/pvg+아/ecs
즐김을	즐기/pvg+ㅁ/etn+을/jco
이르는	이르/pvg+는/etm
말로	말/ncn+로/jca
'꽃	'/sl+꽃/ncn
본	보/pvg+ㄴ/etm
나비	나비/ncn
불	불/ncn
헤야리랴.'라고	헤야리/pvg+랴/ef+./sf+'/sr+라/ef+고/jcr
하는	하/pvg+는/etm
말도	말/ncn+도/jxc
있습니다.	있/px+습니다/ef+./sf
나비야	나비/ncn+야/jcr
청산(靑山)가자	청산/ncn+(/sl+靑山/ncn+)/sr+가/pvg+자/ef
호랑나비	호랑나비/ncn
너도	너/npp+도/jxc
가자	가/pvg+자/ef
가다가	가/pvg+다가/ecs
저물거든	저물/pvg+거든/ecs
꽃에서	꽃/ncn+에서/jca
자고	자/pvg+고/ecs
가자	가/pvg+자/ef
꽃에서	꽃/ncn+에서/jca
푸대접하거든	푸대접/ncpa+하/xsv+거든/ecs
잎에서라도	잎/ncn+에서/jca+라도/jxc
자고	자/pvg+고/jcr
가자.	가/pvg+자/ef+./sf
위	위/ncn
민요는	민요/ncn+는/jxc
우리가	우리/npp+가/jcs
너무나	너무나/mag
잘	잘/mag
아는	알/pvg+는/etm
노래입니다.	노래/ncn+이/jp+ㅂ니다/ef+./sf
나비에	나비/ncn+에/jca
관한	관하/pvg+ㄴ/etm
설화는	설화/ncn+는/jxc
무척	무척/mag
많습니다만	많/paa+습니다/ef+만/jxc
함경남도	함경남도/nq
지방에	지방/ncn+에/jca
있는	있/paa+는/etm
'문굿'이라는	'/sl+문굿/nq+'/sr+이/jp+라/ef+는/etm
무속	무속/ncn
설화	설화/ncn
속에는	속/ncn+에/jca+는/etm
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
이야기가	이야기/ncn+가/jcs
있습니다.	있/paa+습니다/ef+./sf
옛날에	옛날/ncn+에/jca
양산백이라는	양산백/nq+이/jp+라/ef+는/etm
총각과	총각/ncn+과/jcj
추양대라는	추양대/nq+라/ef+는/etm
처녀가	처녀/ncn+가/jcs
있었는데,	있/paa+었/ep+는데/ecs+,/sp
그들은	그/npp+들/xsn+은/jxc
어릴	어리/paa+ㄹ/etm
때부터	때/ncn+부터/jxc
은하사라는	은하사/nq+라/ef+는/etm
절에	절/ncn+에/jca
가서	가/pvg+서/ecs
같은	같/paa+은/etm
스승	스승/ncn
밑에서	밑/ncn+에서/jca
함께	함께/mag
공부를	공부/ncn+를/jco
하게	하/pvg+게/ecs
되었습니다.	되/pvg+었/ep+습니다/ef+./sf
추양대는	추양대/nq+는/jxc
남장을	남장/ncn+을/jco
하고	하/pvg+고/ecc
여자인	여자/ncn+이/jp+ㄴ/etm
것을	것/nbn+을/jco
철처히	철처/ncn+히/xsa
숨겼으므로	숨기/pvg+었/ep+으므로/ecs
양산백은	양산백/nq+은/jxc
추양대를	추양대/nq+를/jco
남자인	남자/ncn+이/jp+ㄴ/etm
줄만	줄/nbn+만/jxc
알고	알/pvg+고/ecx
지내왔습니다.	지내/pvg+어/ecx+오/px+았/ep+습니다/ef+./sf
양산백이	양산백/nq+이/jcs
17살,	17/nnc+살/nbu+,/sp
추양대가	추양대/nq+가/jcs
15살	15/nnc+살/nbu
되던	되/pvg+던/etm
해에	해/ncn+에/jca
우연히	우연/ncn+히/xsa
양산백은	양산백/nq+은/jxc
추양대가	추양대/nq+가/jcs
여자인	여자/ncn+이/jp+ㄴ/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecs
되었습니다.	되/pvg+었/ep+습니다/ef+./sf
추양대가	추양대/nq+가/jcs
여자인	여자/ncn+이/jp+ㄴ/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecs
되자	되/pvg+자/ecs
양산백의	양산백/nq+의/jcm
마음속에는	마음/ncn+속/ncn+에/jca+는/jxc
추양대를	추양대/nq+를/jco
향한	향하/pvg+ㄴ/etm
연정이	연정/ncn+이/jcs
물	물/ncn
끓듯	끓/pvg+듯/ecs
일어나,	일어나/pvg+아/ecs+,/sp
지금까지의	지금/ncn+까지/jxc+의/jcm
우정은	우정/ncn+은/jxc
갑자기	갑자기/mag
이성에	이성/ncn+에/jca
대한	대하/pvg+ㄴ/etm
사랑으로	사랑/ncn+으로/jca
변해	변하/pvg+어/ecx
버렸습니다.	버리/px+었/ep+습니다/ef+./sf
양산백은	양산백/nq+은/jxc
추양대에게	추양대/nq+에게/jca
사랑을	사랑/ncn+을/jco
고백하고	고백/ncpa+하/xsv+고/ecc
함께	함께/mag
부부가	부부/ncn+가/jcc
되기를	되/pvg+기/etn+를/jco
간청했습니다.	간청/ncpa+하/xsv+었/ep+습니다/ef+./sf
추양대의	추양대/nq+의/jcm
가슴속에도	가슴/ncn+속/ncn+에/jca+도/jxc
양산백을	양산백/nq+을/jco
사랑하는	사랑/ncpa+하/xsv+는/etm
마음이	마음/ncn+이/jcs
간절했으나,	간절/ncps+하/xsm+었/ep+으나/ecs+,/sp
부모의	부모/ncn+의/jcm
허락을	허락/ncn+을/jco
받아야	받/pvg+아야/ecs
한다고	하/px+ㄴ다고/ecs
말하였습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
양산백은	양산백/nq+은/jxc
곧	곧/maj
추양대	추양대/nq
부모에게	부모/ncn+에게/jca
청혼을	청혼/ncn+을/jco
하였으나,	하/pvg+었/ep+으나/ecs+,/sp
추양대	추양대/nq
부모는	부모/ncn+는/jxc
이를	이/npd+를/jco
허락하지	허락/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
추양대를	추양대/nq+를/jco
다른	다르/paa+ㄴ/etm
곳에	곳/ncn+에/jca
시집을	시집/ncn+을/jco
보내기로	보내/pvg+기/etn+로/jca
해	하/pvg+어/ecx
버렸습니다.	버리/px+었/ep+습니다/ef+./sf
실망한	실망/ncpa+하/xsv+ㄴ/etm
양산백은	양산백/nq+은/jxc
너무나	너무나/mag
추양대가	추양대/nq+가/jcs
그리워	그립/paa+어/ecs
상사병이	상사/ncn+병/ncn+이/jcs
나서	나서/pvg+어/ecs
시름시름	시름시름/mag
앓다가	앓/pvg+다가/ecs
그만	그/npp+만/jxc
죽고	죽/pvg+고/ecx
말았습니다.	말/px+았/ep+습니다/ef+./sf
그	그/mmd
소문을	소문/ncn+을/jco
들은	듣/pvg+은/etm
추양대도	추양대/nq+도/jxc
한없이	한/ncn+없/paa+이/xsa
한없이	한/ncn+없/paa+이/xsa
울었습니다.	울/pvg+었/ep+습니다/ef+./sf
그리고	그리고/maj
시집을	시집/ncn+을/jco
가던	가/pvg+던/etm
날,	날/ncn+,/sp
그녀가	그녀/npp+가/jcs
탄	타/pvg+ㄴ/etm
가마가	가마/ncn+가/jcs
양산백의	양산백/nq+의/jcm
묘	묘/ncn
앞에	앞/ncn+에/jca
이르자,	이르/pvg+자/ecs+,/sp
추양대는	추양대/nq+는/jxc
금비녀를	금비녀/ncn+를/jco
빼서	빼/pvg+서/ecs
묘를	묘/ncn+를/jco
가르고	가르/pvg+고/ecc
묘	묘/ncn
속으로	속/ncn+으로/jca
뛰어들어갔습니다.	뛰/pvg+어/ecs+들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
묘는	묘/ncn+는/jxc
곧	곧/maj
다시	다시/mag
합쳐지고	합치/pvg+어/ecx+지/px+고/ecs
추양대의	추양대/nq+의/jcm
남삼자락만이	남삼/ncn+자락/ncn+만/jxc+이/jcs
묘	묘/ncn
밖으로	밖/ncn+으로/jca
나와	나오/pvg+아/ecs
바람에	바람/ncn+에/jca
찢기어지니,	찢기/pvg+어/ecx+지/px+니/ecs+,/sp
그	그/mmd
천	천/ncn
조각은	조각/ncn+은/jxc
모두	모두/mag
나비가	나비/ncn+가/jcc
되어	되/pvg+어/ecx
하늘로	하늘/ncn+로/jca
훨훨	훨훨/mag
날아갔다고	날/pvg+아/ecs+가/pvg+았/ep+다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
이	이/mmd
이야기를	이야기/ncn+를/jco
생각하며	생각/ncpa+하/xsv+며/ecs
가만히	가만/ncn+히/xsa
골담초	골담초/ncn
꽃을	꽃/ncn+을/jco
바라보니	바라/pvg+아/ecx+보/px+니/ecs
나비가	나비/ncn+가/jcs
변해서	변하/pvg+어서/ecs
꽃이	꽃/ncn+이/jcc
된	되/pvg+ㄴ/etm
것	것/nbn
같고	같/paa+고/ecc
또한	또한/maj
꽃이	꽃/ncn+이/jcs
변해서	변하/pvg+어서/ecs
나비가	나비/ncn+가/jcc
된	되/pvg+ㄴ/etm
것	것/nbn
같으며,	같/paa+으며/ecs+,/sp
나비와	나비/ncn+와/jcj
꽃이	꽃/ncn+이/jcs
서로	서로/mag
어울려	어울리/pvg+어/ecs
온통	온통/mag
여름	여름/ncn
하늘로	하늘/ncn+로/jca
날아가는	날/pvg+아/ecs+가/pvg+는/etm
듯합니다.	듯하/px+ㅂ니다/ef+./sf
이른봄	이르/paa+ㄴ/etm+봄/ncn
흰	희/paa+ㄴ/etm
나비가	나비/ncn+가/jcs
그	그/mmd
집으로	집/ncn+으로/jca
먼저	먼저/mag
날아들면	날/pvg+아/ecs+들/pvg+면/ecs
그	그/mmd
집에	집/ncn+에/jca
초상이	초상/ncn+이/jcs
나고,	나/pvg+고/ecs+,/sp
또	또/maj
흰	희/paa+ㄴ/etm
나비를	나비/ncn+를/jco
먼저	먼저/mag
보면	보/pvg+면/ecs
소복을	소복/ncn+을/jco
입게	입/pvg+게/ecs
된다는	되/pvg+ㄴ다/ef+는/etm
속설이	속설/ncn+이/jcs
있고,	있/paa+고/ecc+,/sp
반면에	반면/ncn+에/jca
노랑나비와	노랑나비/ncn+와/jcj
호랑나비를	호랑나비/ncn+를/jco
먼저	먼저/mag
보면	보/pvg+면/ecs
그	그/mmd
날에	날/ncn+에/jca
좋은	좋/paa+은/etm
일이	일/ncn+이/jcs
생긴다고	생기/pvg+ㄴ다고/ecs
하고,	하/pvg+고/ecc+,/sp
이른봄에	이르/paa+ㄴ/etm+봄/ncn+에/jca
노랑나비와	노랑나비/ncn+와/jcj
호랑나비를	호랑나비/ncn+를/jco
보면	보/pvg+면/ecs
그	그/mmd
해에	해/ncn+에/jca
신수가	신수/ncn+가/jcs
좋다고	좋/paa+다고/ecs
하는	하/pvg+는/etm
말도	말/ncn+도/jxc
있습니다.	있/paa+습니다/ef+./sf
골담초	골담초/ncn
꽃은	꽃/ncn+은/jxc
노랑나비이니	노랑나비/ncn+이/jp+니/ecs
아침마다	아침/ncn+마다/jxc
골담초	골담초/ncn
꽃을	꽃/ncn+을/jco
바라다	바라/pvg+다/ecs
보면	보/pvg+면/ecs
날마다	날/ncn+마다/jxc
좋은	좋/paa+은/etm
일	일/ncn
속에서	속/ncn+에서/jca
살	살/pvg+ㄹ/etm
수	수/nbn
있으리라고	있/paa+으리/ef+라고/ecs
생각합니다.	생각/ncpa+하/xsv+ㅂ니다/ef+./sf
골담초는	골담초/ncn+는/jxc
꽃만	꽃/ncn+만/jxc
보기	보/pvg+기/etn
좋은	좋/paa+은/etm
것이	것/nbn+이/jcc
아니고,	아니/paa+고/ecs+,/sp
그	그/mmd
뿌리는	뿌리/ncn+는/jxc
중요한	중요/ncps+하/xsm+ㄴ/etm
한약재이며	한약/ncn+재/xsn+이/jp+며/ecs
생약명은	생약/ncn+명/ncn+은/jxc
골담근(骨擔根),	골담근/ncn+(/sl+骨擔根/ncn+)/sr+,/sp
금작근(金雀根),	금작근/ncn+(/sl+金雀根/ncn+)/sr+,/sp
황토기(黃土기)	황토기/ncn+(/sl+黃土기/ncn+)/sr
등입니다.	등/nbn+이/jp+ㅂ니다/ef+./sf
가을에	가을/ncn+에/jca
채취한	채취/ncpa+하/xsv+ㄴ/etm
뿌리	뿌리/ncn
속에는	속/ncn+에/jca+는/jxc
고미배당체(苦味配糖體)인	고미/ncn+배당/ncn+체/xsn+(/sl+苦味配糖體/ncn+)/sr
고미배당체(苦味配糖體)인	+이/jp+ㄴ/etm
'카라가닝'과	'/sl+카라가닝/ncn+'/sr+과/jcj
'이노사이트'	'/sl+이노사이트/ncn+'/sr
등이	등/nbn+이/jcs
많이	많/paa+이/xsa
함유되어	함유/ncpa+되/xsv+어/ecx
있어서	있/px+어서/ecs
진통,	진통/ncn+,/sp
활혈	활혈/ncn
등의	등/nbn+의/jcm
효능이	효능/ncn+이/jcs
두드러지므로	두드러지/pvg+므로/ecs
신경통,	신경/ncn+통/ncn+,/sp
통풍,	통풍/nnc+,/sp
기침,	기침/ncn+,/sp
고혈압,	고/xp+혈압/ncn+,/sp
대하증	대하/ncn+증/xsn
등을	등/nbn+을/jco
치료하는	치료/ncpa+하/xsv+는/etm
데	데/nbn
좋은	좋/paa+은/etm
약으로	약/ncn+으로/jca
쓰입니다.	쓰이/pvg+ㅂ니다/ef+./sf
말린	말리/pvg+ㄴ/etm
약재를	약재/ncn+를/jco
1회에	1/nnc+회/nbu+에/jca
50g씩	50/nnc+g/su+씩/xsn
적당량의	적당/ncn+량/ncn+의/jcm
물로	물/ncn+로/jca
달여서	달/ncn+이/jp+어서/ecs
복용하고,	복용/ncpa+하/xsv+고/ecc+,/sp
습진에도	습진/ncn+에/jca+도/jxc
달인	달이/pvg+ㄴ/etm
물로	물/ncn+로/jca
환부를	환부/ncn+를/jco
닦으면	닦/pvg+으면/ecs
효험이	효험/ncn+이/jcs
있다고	있/paa+다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
때로는	때로/mag+는/jxc
술에	술/ncn+에/jca
담갔다가	담그/pvg+았/ep+다가/ecs
아침,	아침/ncn+,/sp
저녁으로	저녁/ncn+으로/jca
조금씩	조금/ncn+씩/xsn
마시면	마시/pvg+면/ecs
신경통에	신경통/ncn+에/jca
좋다고	좋/paa+다고/ecs
하나	하/pvg+나/ecs
많이	많/paa+이/xsa
마시면	마시/pvg+면/ecs
위험합니다.	위험/ncps+하/xsm+ㅂ니다/ef+./sf
꽃도	꽃/ncn+도/jxc
약으로	약/ncn+으로/jca
쓰는	쓰/pvg+는/etm
경우가	경우/ncn+가/jcs
있다고	있/paa+다고/ecs
하나	하/pvg+나/ecs
자세한	자세/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
잘	잘/mag
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없습니다.	없/paa+습니다/ef+./sf
번식은	번식/ncn+은/jxc
포기나누기,	포기/ncn+나누/pvg+기/etn+,/sp
꺾꽂이,	꺾꽂이/ncn+,/sp
실생	실생/ncn
어느	어느/ncn
것으로도	것/nbn+으로/jca+도/jxc
가능하지만	가능/ncps+하/xsm+지만/ecs
정원에	정원/ncn+에/jca
한두	한두/nnc
포기	포기/nbu
심는	심/pvg+는/etm
것은	것/nbn+은/jxc
포기나누기가	포기/ncn+나누/pvg+기/etn+가/jcs
가장	가장/mag
간편합니다.	간편/ncps+하/xsm+ㅂ니다/ef+./sf
금송(金松)	금송/ncn+(/sl+金松/ncn+)/sr
찬란한	찬란/ncps+하/xsm+ㄴ/etm
새해가	새해/ncn+가/jcs
우리들	우리/npp+들/xsn
앞에	앞/ncn+에/jca
열렸습니다.	열리/pvg+었/ep+습니다/ef+./sf
모든	모든/mma
분들	분/nbn+들/xsn
가정에	가정/ncn+에/jca
기쁨의	기쁨/ncn+의/jcm
새해를	새해/ncn+를/jco
맞아	맞/pvg+아/ecs
건강과	건강/ncn+과/jcj
행복이	행복/ncn+이/jcs
충만하시길	충만/ncps+하/xsm+시/ep+기/etn+ㄹ/etm
바랍니다.	바라/pvg+ㅂ니다/ef+./sf
해마다	해/ncn+마다/jxc
연말	연말/ncn
연시가	연시/ncn+가/jcc
되면,	되/pvg+면/ecs+,/sp
늘	늘/mag
우리들은	우리/npp+들/xsn+은/jxc
'가는	'/sl+가/pvg+는/jxc
해니	해/ncn+니/ecs
오는	오/pvg+는/etm
해니'	해/ncn+니/ecs+'/sr
등등의	등등/nbn+의/jcm
말을	말/ncn+을/jco
많이	많/paa+이/xsa
하는데,	하/pvg+는데/ecs+,/sp
보십시오!	보/pvg+시/ep+ㅂ시오/ef+!/sf
저	저/mmd
하늘이	하늘/ncn+이/jcs
달라졌는가?	다르/paa+아/ecx+지/px+었/ep+는가/ef+?/sf
보십시오!	보/pvg+시/ep+ㅂ시오/ef+!/sf
저	저/mmd
태양이	태양/ncn+이/jcs
달라졌는가?	다르/paa+아/ecx+지/px+었/ep+는가/ef+?/sf
어제와	어제/ncn+와/jct
달라진	다르/paa+아/ecx+지/px+ㄴ/etm
것이라고는	것/nbn+이/jp+라고/ecs+는/jxc
아무것도	아무/mmd+것/nbn+도/jxc
없습니다.	없/paa+습니다/ef+./sf
단지	단지/mag
달라진	다르/paa+아/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
우리들이고,	우리/npp+들/xsn+이/jp+고/ecc+,/sp
우리들	우리/npp+들/xsn
마음가짐이	마음가짐/ncn+이/jcs
달라지고	다르/paa+아/ecx+지/px+고/ecc
새로워지는	새롭/paa+어/ecx+지/px+는/etm
겁니다.	것/nbn+ㅂ니다/ef+./sf
시간이란	시간/ncn+이/jp+란/jxc
끝없는	끝/ncn+없/paa+는/etm
긴	기/paa+ㄴ/etm
실과	실/ncn+과/jct
같아,	같/paa+아/ecs+,/sp
어디가	어디/npd+가/jcs
시작이고	시작/ncn+이/jp+고/ecc
어디가	어디/npd+가/jcs
끝인지	끝/ncn+이/jp+ㄴ지/ecs
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없는	없/paa+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
단지	단지/mag
사람들이	사람/ncn+들/xsn+이/jcs
그	그/mmd
긴	기/paa+ㄴ/etm
시간	시간/ncn
위에	위/ncn+에/jca
점을	점/ncn+을/jco
찍어	찍/pvg+어/ecx
편리하게	편리/ncps+하/xsm+게/ecs
정한	정하/pvg+ㄴ/etm
것뿐입니다.	것/nbn+뿐/jxc+이/jp+ㅂ니다/ef+./sf
그래서	그래서/maj
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
새해란	새해/ncn+란/jxctm
없고	없/paa+고/ecs
단지	단지/mag
우리들	우리/npp+들/xsn
마음속에	마음/ncn+속/ncn+에/jca
새해는	새해/ncn+는/jxc
오고	오/pvg+고/ecc
새해는	새해/ncn+는/jxc
있는	있/paa+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
그러므로	그러므로/maj
새	새/mma
달력을	달력/ncn+을/jco
벽에	벽/ncn+에/jca
걸	걸/pvg+ㄹ/etm
때	때/ncn
우리들	우리/npp+들/xsn
마음이	마음/ncn+이/jcs
새로워져야	새롭/paa+어/ecx+지/px+어야/ecs
진정한	진정/ncps+하/xsm+ㄴ/etm
새해를	새해/ncn+를/jco
맞게	맞/pvg+게/ecs
되는	되/pvg+는/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
구름	구름/ncn
한	한/nnc
점	점/ncn
없는	없/paa+는/etm
푸르고	푸르/paa+고/ecc
푸른	푸르/paa+ㄴ/etm
저	저/mmd
하늘	하늘/ncn
같이,	같이/mag+,/sp
젊고	젊/paa+고/ecc
싱싱한	싱싱/ncps+하/xsm+ㄴ/etm
마음을	마음/ncn+을/jco
늘	늘/mag
갖는다면	갖/pvg+는다면/ecs
언제나	언제나/mag
기쁨의	기쁨/ncn+의/jcm
새해고	새해/ncn+고/ecc
기쁨의	기쁨/ncn+의/jcm
설	설/ncn
속에서	속/ncn+에서/jca
살	살/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
겁니다.	것/nbn+ㅂ니다/ef+./sf
가는	가/pvg+는/jxc
해니	해/ncn+니/ecs
오는	오/pvg+는/etm
해니	해/ncn+니/ecs
말하지	말/ncpa+하/xsv+지/ecx
말게	말/px+게/ef
보게나	보/px+게/ef+나/jxf
저	저/mmd
하늘이	하늘/ncn+이/jcs
달라졌는가?	다르/paa+아/ecx+지/px+었/ep+는가/ef+?/sf
우리가	우리/npp+가/jcs
어리석어	어리석/paa+어/ecs
꿈속에	꿈/ncn+속/ncn+에/jca
사네.	살/pvg+네/ef+./sf
이제	이제/ncn
1991년은	1991/nno+년/nbu+은/jxc
지나갔고	지나/pvg+아/ecs+가/pvg+았/ep+고/ecs
영원히	영원/ncn+히/xsa
우리들	우리/npp+들/xsn
추억	추억/ncn
속에	속/ncn+에/jca
남는	남/pvg+는/etm
과거가	과거/ncn+가/jcc
되어버렸습니다.	되/pvg+어/ecx+버리/px+었/ep+습니다/ef+./sf
세월	세월/ncn
따라	따르/pvg+아/ecs
인생도	인생/ncn+도/jxc
흘러가고,	흐르/pvg+어/ecx+가/px+고/ecc+,/sp
옛날만	옛날/ncn+만/jxc
남는	남/pvg+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
한	한/nnc
잎	잎/ncn
낙엽처럼	낙엽/ncn+처럼/jca
추억	추억/ncn
속에	속/ncn+에/jca
살아	살/pvg+아/ecx
있는	있/px+는/etm
과거의	과거/ncn+의/jcm
일들을	일/ncn+들/xsn+을/jco
돌이켜	돌이키/pvg+어/ecx
생각해도	생각/ncpa+하/xsv+어도/ecs
아름다운	아름/ncps+답/xsm+ㄴ/etm
일들	일/ncn+들/xsn
뿐일	뿐/nbn+이/jp+ㄹ/etm
때,	때/ncn+,/sp
과거는	과거/ncn+는/jxc
아름답고	아름/ncps+답/xsm+고/ecc
그리워지는	그립/paa+어/ecx+지/px+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
미래는	미래/ncn+는/jxc
닥쳐오는	닥치/pvg+어/ecx+오/px+는/etm
꿈이니,	꿈/ncn+이/jp+니/ecs+,/sp
아직	아직/mag
내가	내/npp+가/jcs
그	그/mmd
속에	속/ncn+에/jca
살지	살/pvg+지/ecx
않습니다.	않/px+습니다/ef+./sf
현재는	현재/ncn+는/jxc
내가	내/npp+가/jcs
그	그/mmd
속에	속/ncn+에/jca
실제로	실제/ncn+로/jca
사는	살/pvg+는/etm
곳이니,	곳/ncn+이/jp+니/ecs+,/sp
나의	나/npp+의/jcm
선택으로	선택/ncn+으로/jca
선으로도	선/ncn+으로/jca+도/jxc
불선으로도	불선/ncn+으로/jca+도/jxc
나아갈	나아가/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
그러나	그러나/maj
과거는	과거/ncn+는/jxc
내가	내/npp+가/jcs
만들고	만들/pvg+고/ecc
내가	내/npp+가/jcs
살아온	살/pvg+아/ecs+오/pvg+ㄴ/etm
결과의	결과/ncn+의/jcm
모임이니,	모임/ncn+이/jp+니/ecs+,/sp
한번	한번/ncn
지나가	지나/pvg+아/ecs+가/pvg+아/ecx
버리면	버리/px+면/ecs
다시는	다시/mag+는/jxc
고칠	고치/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
업장(業障)이	업장/ncn+(/sl+業障/ncn+)/sr+이/jcc
되는	되/pvg+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
그래서	그래서/maj
'과거를	'/sl+과거/ncn+를/jco
만드는	만들/pvg+는/etm
현재'는	현재/ncn+'/sr+는/jxc
더욱	더욱/mag
중요합니다.	중요/ncps+하/xsm+ㅂ니다/ef+./sf
이제	이제/ncn
새해가	새해/ncn+가/jcs
우리들	우리/npp+들/xsn
앞에	앞/ncn+에/jca
펼쳐집니다.	펼치/pvg+어/ecx+지/px+ㅂ니다/ef+./sf
'현재를	'/sl+현재/ncn+를/jco
잘	잘/mag
사는	살/pvg+는/etm
것,	것/nbn+,/sp
