<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
비롯된	비롯되/pvg+ㄴ/etm
과외	과외/ncn
폐단과	폐단/ncn+과/jcj
학교	학교/ncn
교육	교육/ncn
정상화	정상/ncn+화/xsn
사이에서	사이/ncn+에서/jca
표류하고	표류/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
교육	교육/ncn
정책	정책/ncn
때문에	때문/nbn+에/jca
수험생과	수험/ncn+생/xsn+과/jcj
학부모들의	학부모/ncn+들/xsn+의/jcm
혼란은	혼란/ncn+은/jxc
계속되고	계속/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
임대근입니다.	임대근/nq+이/jp+ㅂ니다/ef+./sf
고영복	고영복/nq
교수가	교수/ncn+가/jcs
고정	고정/ncn
간첩인	간첩/ncn+이/jp+ㄴ/etm
사실이	사실/ncn+이/jcs
드러난	드러나/pvg+ㄴ/etm
것은	것/nbn+은/jxc
지난	지나/pvg+ㄴ/etm
7월	7/nno+월/nbu
북한에서	북한/nq+에서/jca
내려와서	내리/pvg+어/ecs+오/pvg+아서/ecs
고영복	고영복/nq
교수를	교수/ncn+를/jco
접선한	접선/ncpa+하/xsv+ㄴ/etm
부부간첩이	부부/ncn+간첩/ncn+이/jcs
검거되었기	검거/ncpa+되/xsv+었/ep+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
이들	이/npd+들/xsn
부부간첩이	부부/ncn+간첩/ncn+이/jcs
검거되기까지의	검거/ncpa+되/xsv+기/etn+까지/jxc+의/jcm
경위를	경위/ncn+를/jco
황외진	황외진/nq
기자가	기자/ncn+가/jcs
전해드립니다.	전하/pvg+어/ecx+드리/px+ㅂ니다/ef+./sf
부부	부부/ncn
간첩인	간첩/ncn+이/jp+ㄴ/etm
35살	35/nnc+살/nbu
최정남과	최정남/nq+과/jcj
28살	28/nnc+살/nbu
강현정은	강현정/nq+은/jxc
북한의	북한/nq+의/jcm
대남공작	대남/ncn+공작/ncn
조직인	조직/ncn+이/jp+ㄴ/etm
사회	nq[사회/ncn
문화부	문화/ncn+부/xsn]nq
소속으로	소속/ncn+으로/jca
지난달	지나/pvg+ㄴ/etm+달/ncn
27일	27/nno+일/nbu
경남	경남/nq
울산에서	울산/nq+에서/jca
체포되었습니다.	체포/ncpa+되/xsv+었/ep+습니다/ef+./sf
이들은	이/npd+들/xsn+은/jxc
울산	울산/nq
코리아나	nq[코리아나/ncn
호텔	호텔/ncn]nq
커피숍에서	커피숍/ncn+에서/jca
포섭	포섭/ncn
대상인	대상/ncn+이/jp+ㄴ/etm
울산	울산/nq
재야	재야/ncn
단체	단체/ncn
소속	소속/ncn
정모씨를	정/nq+모/ncn+씨/xsn+를/jco
만나려다	만나/pvg+려다/ecs
정씨의	정씨/nq+의/jcm
신고를	신고/ncn+를/jco
받은	받/pvg+은/etm
안기부	안기부/nq
요원들에게	요원/ncn+들/xsn+에게/jca
체포되었습니다.	체포/ncpa+되/xsv+었/ep+습니다/ef+./sf
90년	90/nno+년/nbu
11월	11/nno+월/nbu
공작	공작/ncn
지도부의	지도/ncn+부/xsn+의/jcm
지시로	지시/ncn+로/jca
결혼하여	결혼/ncpa+하/xsv+어/ecs
평양에	평양/nq+에/jca
다섯	다섯/nnc
살난	살/nbu+나/pvg+ㄴ/etm
아들을	아들/ncn+을/jco
두고	두/pvg+고/ecx
있는	있/px+는/etm
실제	실제/ncn
부부	부부/ncn
공작조로써...	공작/ncn+조/ncn+로써/jca+.../se
북한에	북한/nq+에/jca
있는	있/paa+는/etm
아들의	아들/ncn+의/jcm
이름은	이름/ncn+은/jxc
남조선	남조선/nq
혁명을	혁명/ncn+을/jco
줄인	줄이/pvg+ㄴ/etm
남혁이라고	남혁/nq+이/jp+라/ef+고/jcr
이들	이/npp+들/xsn
부부는	부부/ncn+는/jxc
진술했습니다.	진술/ncpa+하/xsv+었/ep+습니다/ef+./sf
최종남	최종남/nq
부부간첩은	부부/ncn+간첩/ncn+은/jxc
이에	이/npd+에/jca
앞서	앞서/mag
지난	지나/pvg+ㄴ/etm
7월	7/nno+월/nbu
30일	30/nno+일/nbu
평남	평남/nq
남포항에서	남포항/nq+에서/jca
공작	공작/ncn
모선을	모선/ncn+을/jco
타고	타/pvg+고/ecc
서해	서해/nq
공해상을	공해/ncn+상/xsn+을/jco
통해	통하/pvg+어/ecs
내려온	내리/pvg+어/ecs+오/pvg+ㄴ/etm
뒤	뒤/ncn
8월	8/nno+월/nbu
2일	2/nno+일/nbu
밤에	밤/ncn+에/jca
반	반/ncn
잠수정으로	잠수/ncn+정/xsn+으로/jca
갈아타고	갈/pvg+아/ecs+타/pvg+고/ecc
거제도	거제도/nq
해금강	해금강/nq
갈곳리	갈곳리/nq
해안으로	해안/ncn+으로/jca
침투했습니다.	침투/ncpa+하/xsv+었/ep+습니다/ef+./sf
그	그/mmd
뒤	뒤/ncn
위조된	위조/ncpa+되/xsv+ㄴ/etm
주민등록	주민/ncn+등록/ncn
주소지인	주소/ncn+지/xsn+이/jp+ㄴ/etm
부산과	부산/nq+과/jcj
경주,	경주/nq+,/sp
광주	광주/nq
등	등/nbn
전국	전국/ncn
각지를	각지/ncn+를/jco
돌며	돌/pvg+며/ecc
현지	현지/ncn
적응	적응/ncn
훈련을	훈련/ncn+을/jco
했습니다.	하/pvg+었/ep+습니다/ef+./sf
또,	또/maj+,/sp
경주	경주/nq
불국사	불국사/nq
부근과	부근/ncn+과/jcj
서울	서울/nq
봉천동	봉천동/nq
뒷산등	뒷산/ncn+등/nbn
여섯	여섯/nnc
곳에	곳/nbu+에/jca
간첩	간첩/ncn
장비를	장비/ncn+를/jco
두는	두/pvg+는/etm
드보크를	드보크/ncn+를/jco
만들어	만들/pvg+어/ecs
권총	권총/ncn
등을	등/nbn+을/jco
숨겼습니다.	숨기/pvg+었/ep+습니다/ef+./sf
이어	이어/mag
위조한	위조/ncpa+하/xsv+ㄴ/etm
조모씨의	조/nq+모/ncn+씨/xsn+의/jcm
주민등록증을	주민/ncn+등록/ncn+증/xsn+을/jco
이용해	이용/ncpa+하/xsv+어/ecs
서울	서울/nq
구로동에	구로동/nq+에/jca
월세방을	월세/ncn+방/ncn+을/jco
얻어	얻/pvg+어/ecs
장기	장기/ncn
은신처까지	은신/ncn+처/xsn+까지/jxc
마련했습니다.	마련ncpa+하/xsv+었/ep+습니다/ef+./sf
간첩	간첩/ncn
최정남	최정남/nq
부부는	부부/ncn+는/jxc
고영복	고영복/nq
교수와	교수/ncn+와/jcj
서울	서울/nq
지하철	지하철/ncn
공사	공사/ncn
간부	간부/ncn
심정웅	심정웅/nq
씨	씨/xsn
일가	일가/ncn
등	등/ncn
고정간첩망을	고정/ncn+간첩/ncn+망/ncn+을/jco
점검한	점검/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
황장엽	황장엽/nq
씨의	씨/xsn+의/jcm
소재를	소재/ncn+를/jco
알아내라는	알/pvg+아/ecx+내/px+라/ef+는/etm
새로운	새롭/paa+ㄴ/etm
지령을	지령/ncn+을/jco
내렸습니다.	내리/pvg+었/ep+습니다/ef+./sf
여기에	여기/npd+에/jca
경북대	경북대/nq
김승권	김승권/nq
교수가	교수/ncn+가/jcs
개발한	개발/ncpa+하/xsv+ㄴ/etm
슈퍼	슈퍼/ncn
옥수수	옥수수/ncn
씨앗과	씨앗/ncn+과/jcj
시범	시범/ncn
실시중인	실시/ncn+중/nbn+이/jp+ㄴ/etm
전자	전자/ncn
주민등록증	주민/ncn+등록/ncn+증/xsn
입수	입수/ncn
지령도	지령/ncn+도/jxc
포함되어	포함/ncpa+되/xsv+어/ecx
있습니다.	있/px+습니다/ef+./sf
한편	한편/maj
부부	부부/ncn
간첩	간첩/ncn
가운데	가운데/ncn
강연정은	강연정/nq+은/jxc
체포된	체포/ncpa+되/xsv+ㄴ/etm
다음	다음/ncn
날인	날/ncn+이/jp+ㄴ/etm
7월	7/nno+월/nbu
28일	28/nno+일/nbu
화장실에서	화장/ncn+실/xsn+에서/jca
신체은밀한	신체/ncn+은밀/ncps+하/xsm+ㄴ/etm
곳에	곳/ncn+에/jca
숨긴	숨기/pvg+ㄴ/etm
독약	독약/ncn
앰플로	앰플/ncn+로/jca
자살을	자살/ncn+을/jco
기도해	기도/ncpa+하/xsv+어/ecs
치료	치료/ncn
도중에	도중/ncn+에/jca
숨졌습니다	숨지/pvg+었/ep+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
황외진입니다.	황외진/nq+이/jp+ㅂ니다/ef+./sf
고층	고층/ncn
아파트에	아파트/ncn+에/jca
사시는	살/pvg+시/ep+는/etm
분들은	분/nbn+들/xsn+은/jxc
그나마	그나마/mag
도둑	도둑/ncn
걱정을	걱정/ncn+을/jco
좀	좀/mag
덜하셨을	덜/mag+하/paa+셨/ep+을/etm
텐데	터/nbn+이/jp+ㄴ데/ecs
고층	고층/ncn
아파트라도	아파트/ncn+라도/jxc
안심은	안심/ncn+은/jxc
금물입니다.	금물/ncn+이/jp+ㅂ니다/ef+./sf
어제	어제/ncn
새벽	새벽/ncn
서울의	서울/nq+의/jcm
한	한/nnc
아파트에서는	아파트/ncn+에서/jca+는/jxc
도둑이	도둑/ncn+이/jcs
가스관을	가스/ncn+관/ncn+을/jco
타고	타/pvg+고/ecc
7층까지	7/nno+층/nbu+까지/jxc
오르내리면서	오르/pvg+아/ecs+내리/pvg+면서/ecs
무려	무려/mag
다섯	다섯/nnc
집이나	집/ncn+이나/jxc
털었습니다.	털/pvg+었/ep+습니다/ef+./sf
김효엽	김효엽/nq
기자가	기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
어제	어제/ncn
아침	아침/ncn
서울	서울/nq
풍납동의	풍납동/nq+의/jcm
한	한/nnc
아파트	아파트/ncn
7층에	7/nno+층/nbu+에/jca
사는	살/pvg+는/etm
박	박/nq
모씨는	모/ncn+씨/xsn+는/jxc
아침	아침/ncn
준비를	준비/ncn+를/jco
위해	위하/pvg+어/ecs
거실로	거실/ncn+로/jca
나왔다가	나오/pvg+았/ep+다가/ecs
깜짝	깜짝/mag
놀랐습니다.	놀라/pvg+았/ep+습니다/ef+./sf
거실	거실/ncn
이곳	이/mmd+곳/ncn
저곳이	저/mmd+곳/ncn+이/jcs
어지럽혀	어지럽히/pvg+어/ecx
있었고	있/px+었/ep+고/ecc
시계와	시계/ncn+와/jcj
현금	현금/ncn
등	등/nbn
1600여만원어치가	1600/nnc+여/xsn+만/nnc+원/nbu+어치/xsn+가/jcs
없어졌습니다.	없/paa+어/ecx+지/px+었/ep+습니다/ef+./sf
아침에	아침/ncn+에/jca
일어나니까	일어나/pvg+니까/ecs
지갑이	지갑/ncn+이/jcs
없어	없/paa+어/ecs
가지구요.	가지/pvg+구/ef+요/jxf+./sf
또,	또/maj+,/sp
제	제/npp
가방도	가방/ncn+도/jxc
없고	없/paa+고/ecx
하니까	하/px+니까/ecs
그래서	그래서/mag
알았죠.	알/pvg+았/ep+지/ef+요/jxf+./sf
그래서	그래서/maj
뒷	뒷/mma
베란다에	베란다/ncn+에/jca
나가	나가/pvg+아/ecx
보니까	보/px+니까/ecs
거기	거기/npd
다	다/mag
널려	널리/pvg+어/ecx
있더라구요.	있/px+더/ep+라구/ef+요/jxf+./sf
절도범은	절도/ncn+범/xsn+은/jxc
차	차/ncn
열쇠까지	열쇠/ncn+까지/jxc
훔쳐	훔치/pvg+어/ecs
남편의	남편/ncn+의/jcm
벤츠	벤츠/nq
승용차를	승용/ncn+차/ncn+를/jco
몰고	몰/pvg+고/ecx
가	가/px+아/ecs
경기도	경기도/nq
성남에	성남/nq+에/jca
버렸습니다.	버리/pvg+었/ep+습니다/ef+./sf
범인은	범인/ncn+은/jxc
경비원이	경비/ncn+원/xsn+이/jcs
지키고	지키/pvg+고/ecx
있는	있/px+는/etm
출입문을	출입/ncn+문/ncn+을/jco
피해	피하/pvg+어/ecs
이	이/mmd
가스관을	가스/ncn+관/ncn+을/jco
타고	타/pvg+고/ecc
올라간	오르/pvg+아/ecs+가/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
추정됩니다.	추정/ncpa+되/xsv+ㅂ니다/ef+./sf
경찰	경찰/ncn
조사	조사/ncn
결과	결과/ncn
범인은	범인/ncn+은/jxc
어제	어제/ncn
새벽	새벽/ncn
0시에서	0/nno+시/nbu+에서/jca
4시	4/nno+시/nbu
사이에	사이/ncn+에/jca
7층뿐만이	7/nno+층/nbu+뿐/jxc+만/jxc+이/jcc
아니고	아니/paa+고/ecc
2	2/nno
층에서	층/nbu+에서/jca
4층	4/nno+층/nbu
5층과	5/nno+층/nbu+과/jcj
6층까지를	6/nno+층/nbu+까지/jxc+를/jco
차례로	차례/ncn+로/jca
제집	제/npp+집/ncn
드나들	드나들/pvg+ㄹ/etm
듯이	듯/nbn+이/jcs
했습니다.	하/pvg+었/ep+습니다/ef+./sf
이처럼	이/npd+처럼/jca
범인이	범인/ncn+이/jcs
쉽게	쉽/paa+게/ecs
침입할	침입/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
것은	것/nbn+은/jxc
아파트	아파트/ncn
주민들이	주민/ncn+들/xsn+이/jcs
대부분	대부분/ncn
가스	가스/ncn
배관이	배관/ncn+이/jcs
연결된	연결/ncpa+되/xsv+ㄴ/etm
베란다쪽	베란다/ncn+쪽/nbn
창문	창문/ncn
단속에는	단속/ncn+에/jca+는/jxc
소홀하기	소홀/ncps+하/xsm+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
그냥	그냥/mag
다	다/mag
열어	열/pvg+어/ecx
놓죠.	놓/px+지/ef+요/jxf+./sf
잠그지	잠그/pvg+지/ecx
않고	않/px+고/ecc
층수	층/ncn+수/ncn
높으니까	높/paa+으니까/ecs
올라오리라고는	오르/pvg+아/ecs+오/pvg+리/ep+라/ef+고/jcr+는/jxc
생각도	생각/ncn+도/jxc
안	안/mag
했지요.	하/pvg+었/ep+지/ef+요/jxf+./sf
전문	전문/ncn
털이범을	털이/ncn+범/ncn+을/jco
중심으로	중심/ncn+으로/jca
탐문	탐문/ncn
수사에	수사/ncn+에/jca
나선	나서/pvg+ㄴ/etm
경찰은	경찰/ncn+은/jxc
고층	고층/ncn
아파트라도	아파트/ncn+라도/jxc
창문	창문/ncn
단속까지	단속/ncn+까지/jxc
철저히	철저/ncn+히/jca
해	하/pvg+어/ecx
줄	주/px+ㄹ/etm
것을	것/nbn+을/jco
당부했습니다.	당부/ncpa+하/xsv+었/ep+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
김효엽입니다.	김효엽/nq+이/jp+ㅂ니다/ef+./sf
이번에	이/mmd+번/nbn+에/jca
검거된	검거/ncpa+되/xsv+ㄴ/etm
고정	고정/ncn
간첩	간첩/ncn
가운데	가운데/ncn
심정웅	심정웅/nq
씨는	씨/xsn+는/jxc
일가	일/ncn+가/jcs
친척이	친척/ncn+이/jcs
함께	함께/mag
지하	지하/ncn
가족당을	가족/ncn+당/ncn+을/jco
구축해서	구축/ncpa+하/xsv+어서/ecs
40년	40/nnc+년/nbu
가까이	가깝/paa+이/xsa
암약해	암약/ncpa+하/xsv+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
지하철	지하철/ncn
공사	공사/ncn
직원인	직원/ncn+이/jp+ㄴ/etm
심정웅	심정웅/nq
씨는	씨/xsn+는/jxc
유사시에	유사/ncn+시/ncn+에/jca
지하철을	지하철/ncn+을/jco
망을	망/ncn+을/jco
마비시키기	마비/ncpa+시키/xsv+기/etn
위한	위하/pvg+ㄴ/etm
공작을	공작/ncn+을/jco
해	하/pvg+어/ecx
온	오/px+ㄴ/etm
것으로	것/nbn+으로/jca
드러났습니다	드러나/pvg+았/ep+습니다/ef+./sf
오정환	오정환/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
고정간첩	고정/ncn+간첩/ncn
심정웅은	심정웅/nq+은/jxc
6촌	6/nnc+촌/nbu
동생	동생/ncn
심재훈,	심재훈/nq+,/sp
숙모	숙모/ncn
김유순,	김유순/nq+,/sp
동생	동생/ncn
심재만	심재만/nq
등과	등/ncn+과/jct
함께	함께/mag
지하	지하/ncn
가족당을	가족/ncn+당/ncn+을/jco
구축해	구축/ncpa+하/xsv+어/ecs
39년	39/nnc+년/nbu
동안	동안/ncn
암약해	암약/ncpa+하/xsv+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
심정웅은	심정웅/nq+은/jxc
지난	지나/pvg+ㄴ/etm
58년	58/nno+년/nbu
난파	난파/ncn
간첩인	간첩/ncn+이/jp+ㄴ/etm
당숙	당숙/ncn
심웅섭에게	심웅섭/nq+에게/jca
포섭된	포섭/ncpa+되/xsv+ㄴ/etm
뒤	뒤/ncn
두	두/nnc
차례	차례/nbu
북한에	북한/nq+에/jca
넘어가	넘/pvg+어/ecs+가/pvg+아/ecs
교육을	교육/ncn+을/jco
받았습니다.	받/pvg+았/ep+습니다/ef+./sf
심씨의	심/nq+씨/xsn+의/jcm
공작명은	공작/ncn+명/ncn+은/jxc
철마산	철마산/nq
66호~	66/nnc+호/nbu+~/sd
철도	철도/ncn
분야에	분야/ncn+에/jca
취업해	취업/ncpa+하/xsv+어/ecs
유사시	유사/ncn+시/nbn
남한	남한/nq
철도를	철도/ncn+를/jco
마비시키는	마비/ncpa+시키/xsv+는/etm
임무가	임무/ncn+가/jcs
주어졌습니다.	주/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
심씨는	심/nq+씨/xsn+는/jxc
서울로와	서울/nq+로/nq+오/pvg+아/ecs
철도청을	철도청/nq+을/jco
거쳐	거치/pvg+어/ecs
지하철	nq[지하철/ncn
공사에	공사/ncn]nq+에/jca
입사했고	입사/ncpa+하/xsv+었/ep+고/ecc
3년	3/nnc+년/nbu
전부터	전/ncn+부터/jxc
동작역	동작역/nq
시설	시설/ncn
분소장으로	분소/ncn+장/xsn+으로/jca
일해왔습니다	일/ncpa+하/xsv+어/ecx+오/px+았/ep+습니다/ef+./sf
설마	설마/mag
했는데	하/pvg+었/ep+는데/ecs
사실로	사실/ncn+로/jca
밝혀지니까	밝히/pvg+어/ecx+지/px+니까/ecs
현재로써는	현재/ncn+로써/jca+는/jxc
믿기지	믿기/pvg+지/ecx
않고.	않/px+고/ef+./sf
심씨의	심/nq+씨/xsn+의/jcm
임무는	임무/ncn+는/jxc
김정일이	김정일/nq+이/jcs
직접	직접/mag
관심을	관심/ncn+을/jco
가진	가지/pvg+ㄴ/etm
주요	주요/ncn
공작이었습니다.	공작/ncn+이/jp+었/ep+습니다/ef+./sf
심씨는	심/nq+씨/xsn+는/jxc
89년	89/nno+년/nbu
난파	난파/ncn
간첩	간첩/ncn
김낙효와	김낙효/nq+와/jcj
11차례	11/nnc+차례/nbu
만나	만나/pvg+아/ecs
군수물자	군수/ncn+물자/ncn
수송체계	수송/ncn+체계/ncn
등을	등/nbn+을/jco
보고하고	보고/ncpa+하/xsv+고/ecc
다음	다음/ncn
접선을	접선/ncn+을/jco
위해	위하/pvg+어/ecs
인식표를	인식/ncn+표/ncn+를/jco
받았습니다.	받/pvg+았/ep+습니다/ef+./sf
지난	지나/pvg+ㄴ/etm
9월가	9/nno+월/nbu+가/jcs
10월에는	10/nno+월/nbu+에/jca+는/jxc
최정남	최정남/nq
부부	부부/ncn
간첩과	간첩/ncn+과/jcj
여섯	여섯/nnc
차례	차례/nbu
만나	만나/pvg+아/ecs
지하철을	지하철/ncn+을/jco
마비	마비/ncn
시킬	시키/pvg+ㄹ/etm
식수정과	식수/ncn+정/xsn+과/jcj
변전실	변전/ncn+실/xsn
위치를	위치/ncn+를/jco
보고하고	보고/ncpa+하/xsv+고/ecc
전쟁	전쟁/ncn
발발시	발발/ncn+시/nbn
접선	접선/ncn
장소를	장소/ncn+를/jco
확인하였습니다	확인/ncpa+하/xsv+었/ep+습니다/ef
심정웅은	심정웅/nq+은/jxc
김정일로부터	김정일/nq+로부터/jca
조국	nq[조국/ncn
통일	통일/ncn
상을	상/ncn]nq+을/jco
받고	받/pvg+고/ecc
감격해	감격/ncpa+하/xsv+어/ecs
충성의	충성/ncn+의/jcm
맹세문을	맹세/ncn+문/xsn+을/jco
적어	적/pvg+어/ecs
북으로	북/ncn+으로/jca
전하기도	전하/pvg+기/etn+도/jxc
했습니다.	하/pvg+었/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
이들의	이/npp+들/xsn+의/jcm
거점인	거점/ncn+이/jp+ㄴ/etm
김포	김포/nq
자택을	자택/ncn+을/jco
수색해	수색/ncpa+하/xsv+어/ecs
무전기와	무전/ncn+기/xsn+와/jcj
독약	독약/ncn
앰플	앰플/ncn
등	등/nbn
간첩장비	간첩/ncn+장비/ncn
150여점을	150/nnc+여/xsn+점/nbu+을/jco
압수했습니다.	압수/ncpa+하/xsv+었/ep+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
오정환입니다.	오정환/nq+이/jp+ㅂ니다/ef+./sf
북한	북한/nq
김정일	김정일/nq
전	전/mma
처	처/ncn
성혜림의	성혜림/nq+의/jcm
조카인	조카/ncn+이/jp+ㄴ/etm
이한영	이한영/nq
씨의	씨/xsn+의/jcm
피살	피살/ncn
사건은	사건/ncn+은/jxc
그	그/mmd
동안	동안/ncn
수사가	수사/ncn+가/jcs
미궁에	미궁/ncn+에/jca
빠져	빠지/pvg+어/ecx
있었지만	있/px+었/ep+지만/ecs
이번	이/mmd+번/nbn
간첩사건	간첩/ncn+사건/ncn
수사	수사/ncn
과정에서	과정/ncn+에서/jca
북한	북한/nq
공작원의	공작/ncn+원/xsn+의/jcm
소행인	소행/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
홍기백	홍기백/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
이한영	이한영/nq
씨	씨/xsn
피살	피살/ncn
사건은	사건/ncn+은/jxc
지난	지나/pvg+ㄴ/etm
2월	2/nno+월/nbu
발생	발생/ncn
직후부터	직후/ncn+부터/jxc
북한에서	북한/nq+에서/jca
남파된	남파/ncpa+되/xsv+ㄴ/etm
간첩의	간첩/ncn+의/jcm
소행일	소행/ncn+이/jp+ㄹ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
추측이	추측/ncn+이/jcs
무성했습니다.	무성/ncpa+하/xsv+었/ep+습니다/ef+./sf
현재	현재/mag
서유럽에	서유럽/nq+에/jca
머물고	머물/pvg+고/ecx
있는	있/px+는/etm
이한영	이한영/nq
씨의	씨/xsn+의/jcm
동생	동생/ncn
이남옥	이남옥/nq
씨도	씨/xsn+도/jxc
최근	최근/ncn
CNN과	CNN/f+과/jct
가진	가지/pvg+ㄴ/etm
인터뷰에서	인터뷰/ncn+에서/jca
테러	테러/ncn
위협을	위협/ncn+을/jco
시사했습니다.	시사/ncpa+하/xsv+었/ep+습니다/ef+./sf
오빠가	오빠/ncn+가/jcs
한국에서	한국/nq+에서/jca
암살된	암살/ncpa+되/xsv+ㄴ/etm
사건	사건/ncn
때문에	때문/nbn+에/jca
겁이	겁/ncn+이/jcs
난다.	나/pvg+ㄴ다/ef+./sf
이런	이런/mmd
추측은	추측/ncn+은/jxc
결국	결국/mag
사실로	사실/ncn+로/jca
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
오늘	오늘/ncn
이한영	이한영/nq
씨는	씨/xsn+는/jxc
사건	사건/ncn
발생	발생/ncn
한	한/nnc
달	달/nbu
전에	전/ncn+에/jca
남파된	남파/ncpa+되/xsv+ㄴ/etm
북한	북한/nq
특수	특수/ncn
공작조	공작/ncn+조/ncn
두	두/nnc
명에	명/nbu+에/jca
의해	의하/pvg+어/ecs
살해되었다고	살해/ncpa+되/xsv+었/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
이씨를	이/nq+씨/xsn+를/jco
살해한	살해/ncpa+하/xsv+ㄴ/etm
사람은	사람/ncn+은/jxc
북한	북한/nq
사회	nq[사회/ncn
문화부	문화/ncn+부/xsn]nq
소속	소속/ncn
테러	테러/ncn
전문요원인	전문/ncn+요원/ncn+이/jp+ㄴ/etm
최순호와	최순호/nq+와/jcj
20대	20/nnc+대/nbn
남자라고	남자/ncn+라/ef+고/jcr
안기부는	안기부/nq+는/jxc
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
이들은	이/npp+들/xsn+은/jxc
북한	북한/nq
귀환	귀환/ncn
후	후/ncn
영웅칭호를	영웅/ncn+칭호/ncn+를/jco
받고	받/pvg+고/ecc
향후	향후/mag
재차	재차/mag
남파할	남파/ncn+하/xsm+ㄹ/etm
것에	것/nbn+에/jca
대비하여	대비/ncpa+하/xsv+어/ecs
얼굴	얼굴/ncn
성형	성형/ncn
수술까지	수술/ncn+까지/jxc
받은	받/pvg+은/etm
것으로	것/nbn+으로/jca
밝혀졌습니다.	밝히/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
이들	이/npp+들/xsn
테러	테러/ncn
전문	전문/ncn
공작원은	공작/ncn+원/xsn+은/jxc
다음해	다음/ncn+해/ncn
남파될	남파/ncpa+되/xsv+ㄹ/etm
간첩들을	간첩/ncn+들/xsn+을/jco
위해	위하/pvg+어/ecs
일부	일부/ncn
장비를	장비/ncn+를/jco
서울	서울/nq
봉천동	봉천동/nq
장군봉	장군봉/nq
근처에	근처/ncn+에/jca
숨겨	숨기/pvg+어/ecx
놓았던	놓/px+았/ep+던/etm
것으로	것/nbn+으로/jca
드러났습니다.	드러나/pvg+았/ep+습니다/ef+./sf
발견된	발견/ncpa+되/xsv+ㄴ/etm
장비	장비/ncn
중에는	중/nbn+에/jca+는/jxc
이한영	이한영/nq
씨가	씨/xsn+가/jcs
피격되기	피격/ncpa+되/xsv+기/etn
26일	26/nnc+일/nbu
전에	전/ncn+에/jca
발간된	발간/ncpa+되/xsv+ㄴ/etm
생활	생활/ncn
정보지와	정보/ncn+지/xsn+와/jcj
경기도	경기도/nq
분당에	분당/nq+에/jca
있는	있/paa+는/etm
모	모/mma
학원	학원/ncn
명의	명의/ncn
편지	편지/ncn
봉투	봉투/ncn
등이	등/nbn+이/jcs
포함되어	포함/ncpa+되/xsv+어/ecx
있습니다.	있/px+습니다/ef+./sf
안기부는	안기부/nq+는/jxc
북한의	북한/nq+의/jcm
테러	테러/ncn
위협이	위협/ncn+이/jcs
단순한	단순/ncps+하/xsm+ㄴ/etm
협박만은	협박/ncn+만/jxc+은/jxc
아니라고	아니/paa+라/ef+고/jcr
밝히고	밝히/pvg+고/ecc
최근	최근/mag
언론사를	언론/ncn+사/xsn+를/jco
상대로	상대/ncn+로/jca
한	하/pvg+ㄴ/etm
폭파	폭파/ncn
위협에도	위협/ncn+에/jca+도/jxc
적극	적극/mag
대처할	대처/ncpa+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
있다고	있/paa+다/ef+고/jcr
강조했습니다	강조/ncpa+하/xsv+었/ep+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
홍기백입니다.	홍기백/nq+이/jp+ㅂ니다/ef+./sf
우리	우리/npp
경제에	경제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
위기감이	위기/ncn+감/xsn+이/jcs
확산되자	확산/ncpa+되/xsv+자/ecc
김영삼	김영삼/nq
대통령,	대통령/ncn+,/sp
그리고	그리고/maj
각	각/mma
정당	정당/ncn
대통령	대통령/ncn
후보와	후보/ncn+와/jcj
대표들이	대표/ncn+들/xsn+이/jcs
내일	내일/mag
