<tdmsfile>
<tdmsfile>
Chosun2. 2차 수정 hwp
새로운	새롭/paa+ㄴ/etm
78만주의	78만/nnc+주/nbu+의/jcm
순매도를	순/mma+매도/ncn+를/jco
기록했다.	기록/ncpa+하/xsv+었/ep+다/ef+./sf
한화증권	한화증권/nq
박시진	박시진/nq
시황정보팀장은	시황/ncn+정보/ncn+팀장/ncn+은/jxc
"장세	"/sl+장세/ncn
반전까지는	반전/ncn+까지/jxc+는/jxc
좀	좀/mag
더	더/mag
두고봐야	두/pvg+고/ecx+보/px+아야/ecs
한다"며	하/pvg+ㄴ다/ef+"/sr+이/jp+며/ecc
"외국인들의	"/sl+외국/ncn+인/xsn+들/xsn+의/jcm
이날	이/mmd+날/ncn
매수로	매수/ncn+로/jca
실질적인	실질/ncn+적/xsn+이/jp+ㄴ/etm
한도확대의	한도/ncn+확대/ncn+의/jcm
효과는	효과/ncn+는/jxc
끝났다고	끝나/pvg+았/ep+다/ef+고/jcr
본다"고	보/pvg+ㄴ다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
대우증권	대우증권/nq
강창희	강창희/nq
상무는	상무/nq+는/jxc
"지난주말	"/sl+지나/pvg+ㄴ/etm+주말/ncn
'한국에서	'/sr+한국/nq+에서/jca
투자자금이	투자/ncn+자금/ncn+이/jcs
동결될	동결/ncpa+되/xsv+ㄹ/etm
지	지/nbn
모른다'는	모르/pvg+ㄴ다/ef+'/sr+는/etm
소문이	소문/ncn+이/jcs
돌던	돌/pvg+던/etm
최악의	최악/ncn+의/jcm
분위기는	분위기/ncn+는/jxc
지나간	지나/pvg+아/ecs+가/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
안다"며	알/pvg+ㄴ다/ef+"/sr+며/ecs
"급히	"/sl+급히/mag
철수하려던	철수/ncpa+하/xsv+려던/etm
외국인이	외국/ncn+인/xsn+이/jcs
일단	일단/mag
관망세로	관망/ncn+세/xsn+로/jca
돌아선	돌/pvg+아/ecs+서/pvg+ㄴ/etm
것만	것/nbn+만/jxc
해도	하/pvg+어도/ecs
성공한	성공/ncpa+하/xsv+ㄴ/etm
것"이라고	것/nbn+"/sr+이/jp+라/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
재경원은	재경원/nq+은/jxc
"외환보유고도	"/sl+외환/ncn+보유/ncn+고/xsn+도/jxc
3백억달러를	3백억/nnc+달러/nbu+를/jco
넘었고,	넘/pvg+었/ep+고/ecc+,/sp
기업들에	기업/ncn+들/xsn+에/jca
여유달러	여유/ncn+달러/ncn
를	를/jco
내놓도록	내/pvg+어/ecs+놓/pvg+도록/ecs
독려하고	독려/ncpa+하/xsv+고/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
당분간	당분간/ncn
외환-주식시장이	외환/ncn+-/sd+주식/ncn+시장/ncn+이/jcs
악순환을	악순환/ncn+을/jco
거듭하는	거듭/ncpa+하/xsv+는/etm
현상은	현상/ncn+은/jxc
없을	없/paa+을/etm
것"이라고	것/nbn+"/sr+이/jp+라/ef+고/jcr
낙관했다.	낙관/ncpa+하/xsv+었/ep+다/ef+./sf
"김치	"/sl+김치/ncn
맛에	맛/ncn+에/jca
반했어요.	반/ncpa+하/xsv+었/ep+어요/ef+./sf
".	"/sr+./sf
지난	지나/pvg+ㄴ/etm
1일	1/nno+일/nbu
서울	서울/nq
잠실주경기장에서	잠실주경기장/nq+에서/jca
열린	열리/pvg+ㄴ/etm
프랑스	nq[프랑스/nq
월드컵	월드컵/ncn]nq
예선	예선/ncn
한-일전에서	한/nq+-/sd+일/nq+전/xsn+에서/jca
일본팀을	일본/nq+팀/ncn+을/jco
응원하기	응원/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
내한한	내한/ncpa+하/xsv+ㄴ/etm
1만여명의	1만/nnc+여/xsn+명/nbu+의/jcm
'울트라	'nq[울트라/nq
닛폰'	닛폰/nq]nq+'/sr
덕분에	덕분/ncn+에/jca
김치업계가	김치/ncn+업계/ncn+가/jcs
톡톡히	톡톡/ncn+히/xsa
재미를	재미/ncn+를/jco
봤다.	보/pvg+았/ep+다/ef+./sf
3일	3/nno+일/nbu
호텔업계에	호텔/ncn+업계/ncn+에/jca
따르면	따르/pvg+면/ecs
이번	이번/ncn
경기를	경기/ncn+를/jco
전후한	전후/ncn+하/pvg+ㄴ/etm
지난달	지나/pvg+ㄴ/etm+달/ncn
31일부터	31/nno+일/nbu+부터/jxc
이달	이/mmd+달/ncn
2	2/nnc
일까지	일/nbu+까지/jxc
울트라	nq[울트라/nq
닛폰이	닛폰/nq]nq+이/jcs
대거	대거/mag
투숙한	투숙/ncpa+하/xsv+ㄴ/etm
서울	서울/nq
중구	중구/nq
롯데호텔	롯데호텔/nq
본점과	본점/ncn+과/jcj
잠실점에	잠실/nq+점/xsn+에/jca
설치된	설치/ncpa+되/xsv+ㄴ/etm
면세점에서는	면세/ncn+점/xsn+에서/jca+는/jxc
김치가	김치/ncn+가/jcs
날개	날개/ncn
돋친	돋치/pvg+ㄴ/etm
듯이	듯/nbn+이/jcs
팔려	팔리/pvg+어/ecx
나갔다.	나가/px+았/ep+다/ef+./sf
특히	특히/mag
이	이/mmd
호텔	호텔/ncn
잠실점의	잠실/nq+점/xsn+의/jcm
경우	경우/ncn
경기	경기/ncn
당일인	당일/ncn+이/jp+ㄴ/etm
1일	1/nno+일/nbu
오전	오전/ncn
2천여명의	2천/nnc+여/xsn+명/nbu+의/jcm
울트라	nq[울트라/nq
닛폰들이	닛폰/nq]nq+들/xsn+이/jcs
면세점	면세/ncn+점/xsn
토산품코너에	토산/ncn+품/xsn+코너/ncn+에/jca
한꺼번에	한꺼번에/mag
몰려와	몰리/pvg+어/ecs+오/pvg+아/ecs
매장에	매장/ncn+에/jca
진열된	진열/ncpa+되/xsv+ㄴ/etm
포장김치를	포장/ncn+김치/ncn+를/jco
싹쓸이해	싹쓸이/ncpa+하/xsv+어/ecs
가다시피	가/pvg+다시피/ecs
했다.	하/pvg+었/ep+다/ef+./sf
또	또/maj
2일에도	2/nno+일/nbu+에/jca+도/jxc
귀국길에	귀국/ncn+길/ncn+에/jca
오른	오르/pvg+ㄴ/etm
울트라	nq[울트라/nq
닛폰들이	닛폰/nq]nq+들/xsn+이/jcs
이	이/mmd
호텔	호텔/ncn
면세점과	면세/ncn+점/xsn+과/jcj
시내	시내/ncn
백화점에	백화/ncn+점/xsn+에/jca
들러	들르/pvg+어/ecs
엄청난	엄청나/paa+ㄴ/etm
양의	양/ncn+의/jcm
김치를	김치/ncn+를/jco
사갔다.	사/pvg+아/ecs+가/pvg+았/ep+다/ef+./sf
이	이/mmd
호텔	호텔/ncn
잠실점	잠실/nq+점/xsn
면세점에	면세/ncn+점/xsn+에/jca
근무하는	근무/ncpa+하/xsv+는/etm
구모(30)씨는	구/nq+모/ncn+(/sl+30/nnc+)/sr+씨/xsn+는/jxc
"울트라	"nq[울트라/nq
닛폰들이	닛폰/nq]nq+들/xsn+이/jcs
몰려온	몰리/pvg+어/ecs+오/pvg+ㄴ/etm
1일	1/nno+일/nbu
김치가	김치/ncn+가/jcs
있는	있/paa+는/etm
토산품코너는	토산/ncn+품/xsn+코너/ncn+는/jxc
발디딜	발/ncn+디디/pvg+ㄹ/jco
틈	틈/ncn
없이	없/paa+이/ecs
북적댔으나	북적/ncn+대/pvg+었/ep+으나/ecs
수입품	수입/ncn+품/xsn
코너는	코너/ncn+는/jxc
오히려	오히려/mag
한산했다"고	한산/ncpa+하/xsv+었/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
이같은	이/npd+같/paa+은/etm
현상은	현상/ncn+은/jxc
일본에서	일본/nq+에서/jca
김치를	김치/ncn+를/jco
먹어본	먹/pvg+어/ecx+보/px+ㄴ/etm
경험이	경험/ncn+이/jcs
있는	있/paa+는/etm
수많은	수/ncn+많/paa+은/etm
울트라	nq[울트라/nq
닛폰들이	닛폰/nq]nq+들/xsn+이/jcs
한국에	한국/nq+에/jca
온김에	오/pvg+은/etm+김/nbn+에/jca
일본보다	일본/nq+보다/jca
가격이	가격/ncn+이/jcs
비교적	비교/ncn+적/xsn
저렴한	저렴/ncps+하/xsm+ㄴ/etm
김치구매에	김치/ncn+구매/ncn+에/jca
경쟁적으로	경쟁/ncn+적/xsn+으로/jca
나섰기	나서/pvg+었/ep+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
물론	물론/mag
울트라	nq[울트라/nq
닛폰들은	닛폰/nq]nq+들/xsn+은/jxc
김치외에	김치/ncn+외/nbn+에/jca
돌김,	돌김/ncn+,/sp
기념품	기념/ncn+품/xsn
등	등/nbn
한국토산품을	한국/nq+토산/ncn+품/xsn+을/jco
많이	많/paa+이/xsa
구입해	구입/ncpa+하/xsv+어/ecs
갔다.	가/pvg+았/ep+다/ef+./sf
이에	이/npd+에/jca
힘입어	힘/ncn+입/pvg+어/ecs
10월31일부터	10/nno+월/nbu+31/nno+일/nbu+부터/jxc
사흘동안	사흘/ncn+동안/ncn
롯데호텔	롯데호텔/nq
잠실점	잠실/nq+점/xsn
면세점의	면세/ncn+점/xsn+의/jcm
하루평균	하루/ncn+평균/ncn
매출액은	매출/ncn+액/xsn+은/jxc
평일보다	평일/ncn+보다/jca
13만달러	13만/nnc+달러/nbu
정도	정도/ncn
많은	많/paa+은/etm
43만달러를	43만/nnc+달러/nbu+를/jco
기록	기록/ncn
했다.	하/pvg+었/ep+다/ef+./sf
본점	본점/ncn
면세점도	면세/ncn+점/xsn+도/jxc
이	이/mmd
기간중	기간/ncn+중/nbn
총매출이	총/xp+매출/ncn+이/jcs
평소보다	평소/ncn+보다/jca
20%가량	20/nnc+%/su+가량/nbn
증가한	증가/ncpa+하/xsv+ㄴ/etm
1백	1백/nnc
90만달러에	90만/nnc+달러/nbu+에/jca
달한	달하/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
잠정	잠정/ncn
집계됐다.	집계/ncpa+되/xsv+었/ep+다/ef+./sf
그의	그/npp+의/jcm
말처럼	말/ncn+처럼/jca
인생에는	인생/ncn+에/jca+는/jxc
백스텝이	백스텝/ncn+이/jcs
없었다.	없/paa+었/ep+다/ef+./sf
왕년의	왕년/ncn+의/jcm
챔피언	챔피언/ncn
복서	복서/ncn
홍수환	홍수환/nq
(48).	(/sl+48/nnc+)/sr+./sf
74년	74/nno+년/nbu
7월4일	7/nno+월/nbu+4/nno+일/nbu
남아공의	남아공/nq+의/jcm
더반시	더반시/nq
웨스트리지	웨스트리지/nq
특설링	특설/ncn+링/ncn
어머니	어머니/ncn
황선농	황선농/nq
씨와	씨/xsn+와/jcj
아들	아들/ncn
홍수환의	홍수환/nq+의/jcm
전화통화는	전화/ncn+통화/ncn+는/jxc
전국민을	전/mma+국민/ncn+을/jco
들뜨게했고	들뜨/pvg+게/ecs+하/px+었/ep+고/ecc
또	또/mag
눈물짓게	눈물/ncn+짓/pvg+게/ecs
했다.	하/pvg+었/ep+다/ef+./sf
"엄마	"/sl+엄마/ncn
나	나/npp
참피언	참피언/ncn
먹었어.	먹/pvg+었/ep+어/ef+./sf
".	"/sr+./sf
당시	당시/ncn
수교가	수교/ncn+가/jcs
없던	없/paa+던/etm
남아공으로부터	남아공/nq+으로/jca+부터/jxc
홍수환이	홍수환/nq+이/jcs
아놀드	nq[아놀드/nq
테일러를	테일러/nq]nq+를/jco
이기고	이기/pvg+고/ecc
WBA	WBA/f
밴텀급	밴텀/ncn+급/ncn
챔피언이	챔피언/ncn+이/jcs
됐다는	되/pvg+었/ep+다/ef+는/etm
소식은	소식/ncn+은/jxc
새로운	새롭/paa+ㄴ/etm
유행어를	유행/ncn+어/xsn+를/jco
만들어	만들/pvg+어/ecx
내며	내/px+며/ecc
장안의	장안/nq+의/jcm
최대화제였었다.	최대/ncn+화제/ncn+이/jp+었었/ep+다/ef+./sf
홍수환은	홍수환/nq+은/jxc
아프리카	아프리카/nq
원정경기에서	원정/ncn+경기/ncn+에서/jca
챔피언을	챔피언/ncn+을/jco
4차례나	4/nnc+차례/nbu+나/jxc
다운시키며	다운/ncn+시키/xsv+며/ecc
한국복싱사상	한국/nq+복싱/ncn+사/xsn+상/xsn
첫	첫/mma
해외원정	해외/ncn+원정/ncn
타이틀전	타이틀/ncn+전/xsn
승리를	승리/ncn+를/jco
거머줬다.	거머쥐/pvg+었/ep+다/ef+./sf
홍수환은	홍수환/nq+은/jxc
중학교	중학교/ncn
2년	2/nnc+년/nbu
때	때/ncn
아버지를	아버지/ncn+를/jco
여의었다.	여의/pvg+었/ep+다/ef+./sf
복싱을	복싱/ncn+을/jco
좋아해	좋아하/pvg+어/ecs
경기	경기/ncn
있는	있/paa+는/etm
날이면	날/ncn+이/jp+면/ecs
아들을	아들/ncn+을/jco
무등태우고	무등/ncn+태우/pvg+고/ecc
체육관을	체육/ncn+관/xsn+을/jco
데려가던	데리/pvg+어/ecs+가/pvg+던/etm
아버지.	아버지/ncn+./sf
갑작스런	갑작/ncps+스럽/xsm+ㄴ/etm
아버지의	아버지/ncn+의/jcm
죽음은	죽음/ncn+은/jxc
반에서	반/ncn+에서/jca
1,2등하던	1/nno+,/sp+2/nno+등/nbu+하/pvg+던/etm
모범생	모범/ncn+생/xsn
홍수환을	홍수환/nq+을/jco
방황하는	방황/ncpa+하/xsv+는/etm
사춘기	사춘/ncn+기/xsn
소년으로	소년/ncn+으로/jca
만들었다.	만들/pvg+었/ep+다/ef+./sf
"갑자기	"/sl+갑자기/mag
공부가	공부/ncn+가/jcs
싫어지더군요.	싫/paa+어/ecx+지/px+더/ep+군/ef+요/jxf+./sf
"	"/sl
홍수환은	홍수환/nq+은/jxc
복싱도장을	복싱/ncn+도장/ncn+을/jco
찾았다	찾/pvg+았/ep+다/ef
손이	손/ncn+이/jcs
부서져라	부서지/pvg+어라/ecs
샌드백을	샌드백/ncn+을/jco
두드리다보면	두드리/pvg+다/ecx+보/px+면/ecs
아버지에	아버지/ncn+에/jca
대한	대하/pvg+ㄴ/etm
그리움도	그리움/ncn+도/jxc
잠시	잠시/mag
잊을	잊/paa+을/etm
수	수/nbn
있었다.	있/paa+었/ep+다/ef+./sf
어머니는	어머니/ncn+는/jxc
"족보에	"/sl+족보/ncn+에/jca
없는	없/paa+는/etm
놈	놈/ncn
나왔다"며	나오/pvg+았/ep+다/ef+"/sr+며/ecc
아들이	아들/ncn+이/jcs
복싱하는	복싱/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
한사코	한사코/mag
반대했다.	반대/ncpa+하/xsv+었/ep+다/ef+./sf
그러나	그러나/maj
홍수환은	홍수환/nq+은/jxc
69년	69/nno+년/nbu
5월10일	5/nno+월/nbu+10/nno+일/nbu
가족	가족/ncn
몰래	몰래/mag
프로에	프로/ncn+에/jca
데뷔했다	데뷔/ncpa+하/xsv+었/ep+다/ef
첫경기	첫/mma+경기/ncn
는	는/jxc
무승부.	무/xp+승부/ncn+./sf
두번째	두/nno+번째/nbu
경기에서	경기/ncn+에서/jca
이겼다는	이기/pvg+었/ep+다/ef+는/etm
소식을	소식/ncn+을/jco
전하자	전하/pvg+자/ecs
어머니는	어머니/ncn+는/jxc
체념하고	체념/ncpa+하/xsv+고/ecc
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
후원자가	후원/ncn+자/xsn+가/jcs
됐다.	되/pvg+었/ep+다/ef+./sf
70년대는	70/nno+년대/nbu+는/jxc
복싱의	복싱/nq+의/jcm
황금기였다.	황금/ncn+기/xsn+이/jp+었/ep+다/ef+./sf
홍수환,	홍수환/nq+,/sp
허버트강,	허버트강/nq+,/sp
유재두,	유재두/nq+,/sp
김현,	김현/nq+,/sp
염동균	염동균/nq
등이	등/nbn+이/jcs
아시아와	아시아/nq+와/jcj
세계의	세계/ncn+의/jcm
철권들을	철권/ncn+들/xsn+을/jco
눕혀가면서	눕히/pvg+어/ecx+가/px+면서/ecs
한국복싱은	한국/nq+복싱/ncn+은/jxc
절정의	절정/ncn+의/jcm
인기를	인기/ncn+를/jco
구가했다.	구가/ncpa+하/xsv+었/ep+다/ef+./sf
화려한	화려/ncps+하/xsm+ㄴ/etm
푸트워크와	푸트워크/ncn+와/jcj
어떤	어떤/mmd
각도에서도	각도/ncn+에서/jca+도/jxc
펀치를	펀치/ncn+를/jco
날리는	날리/pvg+는/etm
홍수환은	홍수환/nq+은/jxc
이런	이런/mmd
분위기속에서	분위기/ncn+속/ncn+에서/jca
승승장구했다.	승승장구/ncpa+하/xsv+었/ep+다/ef+./sf
70년	70/nno+년/nbu
한국챔피언	한국/nq+챔피언/ncn
72년	72/nno+년/nbu
동양챔피언.	동양/ncn+챔피언/ncn+./sf
그리고	그리고/maj
74년	74/nno+년/nbu
세계챔피언.	세계/ncn+챔피언/ncn+./sf
그에게	그/npp+에게/jca
첫	첫/mma
시련이	시련/ncn+이/jcs
찾아온	찾/pvg+아/ecs+오/pvg+ㄴ/etm
것은	것/nbn+은/jxc
75년3월15일.	75/nno+년/nbu+3/nno+월/nbu+15/nno+일/nbu+./sf
25전25KO승의	25/nnc+전/nbu+25/nnc+KO/f+승/ncn+의/jcm
멕시코	멕시코/nq
강타자	강타자/ncn
자모라에게	자모라/nq+에게/jca
미국	미국/nq
LA에서	LA/f+에서/jca
4회	4/nno+회/nbu
KO패를	KO/f+패/ncn+를/jco
당하며	당하/pvg+며/ecc
챔피언	챔피언/ncn
벨트를	벨트/ncn+를/jco
허무하게	허무/ncps+하/xsm+게/ecs
빼앗겼다.	빼앗기/pvg+었/ep+다/ef+./sf
다음해	다음/ncn+해/ncn
10월	10/nno+월/nbu
인천에서	인천/nq+에서/jca
열린	열리/pvg+ㄴ/etm
자모라와의	자모라/nq+와/jct+의/jcm
리턴매치에선	리턴매치/ncn+에서/jca+ㄴ/jxc
심판의	심판/ncn+의/jcm
편파	편파/ncn
운영으로	운영/ncn+으로/jca
12회	12/nno+회/nbu
TKO패.	TKO/f+패/ncn+./sf
좌절하던	좌절/ncpa+하/xsv+던/etm
그에게	그/npp+에게/jca
다시	다시/mag
찬스가	찬스/ncn+가/jcs
왔다.	오/pvg+았/ep+다/ef+./sf
77년11월27일	77/nno+년/nbu+11/nno+월/nbu+27/nno+일/nbu
주니어페더급	주니어페더/ncn+급/ncn
초대	초대/ncn
챔피언	챔피언/ncn
결정전.	결정/ncn+전/xsn+./sf
파나마로	파나마/nq+로/jca
날아	날/pvg+아/ecx
갔다	가/px+았/ep+다/ef
상대는	상대/ncn+는/jxc
11전11KO승을	11/nnc+전/nbu+11/nnc+KO/f+승/ncn+을/jco
자랑하던	자랑/ncpa+하/xsv+던/etm
파나마의	파나마/nq+의/jcm
신예	신예/ncn
카라스키야	카라스키야/nq
2만	2만/nnc
여명의	여/xsn+명/ncn+의/jcm
파나마	파나마/nq
팬들이	팬/ncn+들/xsn+이/jcs
폭죽을	폭죽/ncn+을/jco
터뜨리며	터뜨리/pvg+며/ecc
카라스키야를	카라스키야/nq+를/jco
광적으로	광적/ncn+으로/jca
응원하	응원/ncpa+하/xsv+는/etm
속에	속/ncn+에/jca
홍수환은	홍수환/nq+은/jxc
1라운드부터	1/nno+라운드/nbu+부터/jxc
난타전을	난타/ncn+전/xsn+을/jco
벌였고	벌이/pvg+었/ep+고/ecc
2라운드에선	2/nno+라운드/nbu+에선/jca
무려	무려/mag
4차례나	4/nnc+차례/nbu+나/jxc
다운을	다운/ncn+을/jco
당했다.	당하/xsv+었/ep+다/ef+./sf
그때마다	그/mmd+때/ncn+마다/jxc
오뚝이처럼	오뚝이/ncn+처럼/jca
일어났다.	일어나/pvg+았/ep+다/ef+./sf
3라운드	3/nno+라운드/nbu
공이	공/ncn+이/jcs
울리자마자	울리/pvg+자마자/ecs
홍수환의	홍수환/nq+의/jcm
라이트	라이트/ncn
스트레이트를	스트레이트/ncn+를/jco
시작으로	시작/ncn+으로/jca
폭풍같은	폭풍/ncn+같/paa+은/etm
연타가	연타/ncn+가/jcs
이어졌다	잇/pvg+어/ecx+지/px+었/ep+다/ef
한번	한/ncn+번/nbn
쓰러진	쓰러지/pvg+ㄴ/etm
카라스키야는	카라스키야/nq+는/jxc
일어날	일어나/pvg+ㄹ/etm
줄	줄/nbn
몰랐다.	모르/pvg+았/ep+다/ef+./sf
'4전5기의	'/sl+4/nnc+전/nbu+5/nnc+기/nbu+의/jcm
신화'가	신화/ncn+'/sr+가/jcs
탄생하는	탄생/ncpa+하/xsv+는/etm
순간이었다.	순간/ncn+이/jp+었/ep+다/ef+./sf
한국선수	한국/nq+선수/ncn
최초의	최초/ncn+의/jcm
2체급	2/nnc+체급/ncn
세계타이틀	세계/ncn+타이틀/ncn
석권의	석권/ncn+의/jcm
영예도	영예/ncn+도/jxc
그의	그/npp+의/jcm
몫이	몫/ncn+이/jcs
됐다.	되/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
다시	다시/mag
찾아온	찾/pvg+아/ecs+오/pvg+ㄴ/etm
절정의	절정/ncn+의/jcm
순간은	순간/ncn+은/jxc
너무	너무/mag
짧았다.	짧/paa+았/ep+다/ef+./sf
78년	78/nno+년/nbu
5월7일	5/nno+월/nbu+7/nno+일/nbu
콜롬비아의	콜롬비아/nq+의/jcm
리카르도에게	리카르도/nq+에게/jca
왼쪽	왼쪽/ncn
눈을	눈/ncn+을/jco
찢기며	찢기/pvg+며/ecc
몰린	몰리/pvg+ㄴ/etm
끝에	끝/nbn+에/jca
12회	12/nnc+회/nbu
TKO패.	TKO/f+패/ncn+./sf
당시	당시/ncn
좌절은	좌절/ncn+은/jxc
끝이	끝/ncn+이/jcs
없었다.	없/paa+었/ep+다/ef+./sf
한국권투위원회는	한국권투위원회/nq+는/jxc
복싱선수로서	복싱/ncn+선수/ncn+로서/jca
품위를	품위/ncn+를/jco
손상시켰다며	손상/ncn+시키/xsv+었/ep+다/ef+며/ecs
홍수환을	홍수환/nq+을/jco
제명시켰다	제명/ncn+시키/xsv+었/ep+다/ef
홍수환은	홍수환/nq+은/jxc
그날	그/mmd+날/ncn
이후	이후/ncn
술을	술/ncn+을/jco
벗으로	벗/ncn+으로/jca
삼는	삼/pvg+는/etm
'폐인'이	'/sl+폐인/ncn+'/sr+이/jcs
돼갔다.	되/pvg+어/ecx+가/px+았/ep+다/ef+./sf
그러던	그러던/mmd
80년12월	80/nno+년/nbu+12/nno+월/nbu
명예롭게	명예/ncps+롭/xsm+게/ecs
링을	링/ncn+을/jco
떠날	떠나/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
자리가	자리/ncn+가/jcs
마련됐다	마련/ncpa+되/xsv+었/ep+다/ef
제명이	제명/ncn+이/jcs
풀리고	풀리/pvg+고/ecc
친구이자	친구/ncn+이자/jcj
맞수였던	맞수/ncn+이/jp+었/ep+던/etm
염동균과	염동균/nq+과/jct
은퇴시합	은퇴/ncn+시합/ncn
을	을/jco
갖게	갖/pvg+게/ecx
된	되/px+ㄴ/etm
것.	것/nbn+./sf
피눈물로	피/ncn+눈물/ncn+로/jca
얼룩졌던	얼룩/ncn+지/pvg+었/ep+던/etm
글러브를	글러브/ncn+를/jco
벗으며	벗/pvg+으며/ecc
홍수환은	홍수환/nq+은/jxc
하염없이	하염/ncn+없/paa+이/xsa
울었다고	울/pvg+었/ep+다/ef+고/jcr
한다.	하/pvg+ㄴ다/ef+./sf
그리고	그리고/maj
팬들의	팬/ncn+들/xsn+의/jcm
기억속에서	기억/ncn+속/ncn+에서/jca
사라졌다.	사라지/pvg+었/ep+다/ef+./sf
82년11월	82/nno+년/nbu+11/nno+월/nbu
그는	그/npp+는/jxc
미국	미국/nq
알래스카로	알래스카/nq+로/jca
떠났다.	떠나/pvg+았/ep+다/ef+./sf
아이들	아이/ncn+들/xsn
학업을	학업/pvg+을/etm
위해	위하/pvg+어/ecs
87년	87/nno+년/nbu
LA로	LA/f+로/jca
이주했다.	이주/ncpa+하/xsv+었/ep+다/ef+./sf
마음은	마음/ncn+은/jxc
안정이	안정/ncn+이/jcs
돼갔다.	되/pvg+어/ecx+가/px+았/ep+다/ef+./sf
신발과	신발/ncn+과/jcj
옷을	옷/ncn+을/jco
팔며	팔/pvg+며/ecc
아이들	아이/ncn+들/xsn
학비를	학비/ncn+를/jco
벌기	벌/pvg+기/etn
위해	위하/pvg+어/ecs
열심히	열심/ncn+히/xsa
뛰었다.	뛰/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
라스베이거스에서	라스베이거스/nq+에서/jca
들려오는	들리/pvg+어/ecx+오/px+는/etm
링위의	링/ncn+위/ncn+의/jcm
함성소리는	함성/ncn+소리/ncn+는/jxc
그의	그/npp+의/jcm
피를	피/ncn+를/jco
끓게	끓/pvg+게/ecx
만들었다.	만들/px+었/ep+다/ef+./sf
매치매이커로	매치매이커/ncn+로/jca
다시	다시/mag
복싱과	복싱/ncn+과/jct
인연을	인연/ncn+을/jco
맺었다.	맺/pvg+었/ep+다/ef+./sf
이왕이면	이왕/ncn+이면/ecs
후배들을	후배/ncn+들/xsn+을/jco
위해	위하/pvg+어/ecs
일하고	일/ncn+하/pvg+고/ecx
싶다는	싶/px+다/ef+는/etm
생각이	생각/ncn+이/jcs
들어	들/pvg+어/ecs
10년	10/nnc+년/nbu
미국생활	미국/nq+생활/ncn
을	을/jco
청산하고	청산/ncpa+하/xsv+고/ecc
귀국한	귀국/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
92년.	92/nno+년/nbu+./sf
KBS의	KBS/f+의/jcm
권투해설위원이	권투/ncn+해설/ncn+위원/ncn+이/jcs
됐다.	되/pvg+었/ep+다/ef+./sf
해설은	해설/ncn+은/jxc
수많은	수/ncn+많/paa+은/etm
권투후배들을	권투/ncn+후배/ncn+들/xsn+을/jco
간접지도할	간접/ncn+지도/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
기회이기도	기회/ncn+이/jp+기/etn+도/jxc
했다.	하/pvg+었/ep+다/ef+./sf
더없이	더/mag+없/paa+이/xsa
행복	행복/ncn
했다.	하/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
풀리지	풀리/pvg+지/ecx
않은	않/px+은/etm
매듭이	매듭/ncn+이/jcs
아직	아직/mag
남아	남/pvg+아/ecx
있었다.	있/px+었/ep+다/ef+./sf
77년	77/nno+년/nbu
10월	10/nno+월/nbu
TBC라디오	TBC/f+라디오/ncn
방송국.	방송/ncn+국/xsn+./sf
말	말/ncn
잘하고	잘/mag+하/pvg+고/ecc
노래	노래/ncn
잘하는	잘/mag+하/pvg+는/etm
세계챔피언	세계/ncn+챔피언/ncn
홍수환은	홍수환/nq+은/jxc
방송국의	방송/ncn+국/xsn+의/jcm
단골	단골/ncn
초청손님이었다.	초청/ncn+손님/ncn+이/jp+었/ep+다/ef+./sf
우연히	우연/ncn+히/xsa
만난	만나/pvg+ㄴ/etm
인기가수	인기/ncn+가수/ncn
옥희와의	옥희/nq+와/jct+의/jcm
만남이	만남/ncn+이/jcs
그의	그/npp+의/jcm
인생을	인생/ncn+을/jco
또	또/mag
한번	한/nnc+번/nbu
격랑속으로	격랑/ncn+속/ncn+으로/jca
밀어넣을	밀/pvg+어/ecs+넣/pvg+을/etm
줄이야.	줄/nbn+이/jp+야/ef+./sf
WBA주니어페더급	WBA/f+주니어페더/ncn+급/ncn
챔피언	챔피언/ncn
결정전을	결정/ncn+전/xsn+을/jco
위해	위하/pvg+어/ecs
합숙하던	합숙/ncpa+하/xsv+었/ep+던/etm
기간에	기간/ncn+에/jca
싹튼	싹/ncn+트/pvg+ㄴ/etm
사랑의	사랑/ncn+의/jcm
결실로	결실/ncn+로/jca
윤정이를	윤정/nq+이/xsn+를/jco
낳았다	낳/pvg+았/ep+다/ecs
