<tdmsfile>
<tdmsfile>
Han3.hwp
먼저	먼저/mag
유럽교통의	유럽/nq+교통/ncn+의/jcm
중심이기	중심/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
유럽전역의	유럽/nq+전역/ncn+의/jcm
물자수송이	물자/ncn+수송/ncn+이/jcs
사실상	사실/ncn+상/xsn
마비되는	마비/ncpa+되/xsv+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
결국	결국/mag
지난	지나/pvg+ㄴ/etm
달	달/ncn
30일까지	30/nno+일/nbu+까지/jxc
노사협상에	노사/ncn+협상/ncn+에/jca
개입할	개입/ncpa+하/xsv+ㄹ/etm
기미를	기미/ncn+를/jco
보이지	보이/pvg+지/ecx
않았던	않/px+았/ep+던/etm
장	nq[장/nq
클로드	+클로드/nq
가이소	+가이소/nq]nq
교통장관은	교통/ncn+장관/ncn+은/jxc
협상이	협상/ncn+이/jcs
공전을	공전/ncn+을/jco
거듭하자	거듭/ncpa+하/xsv+자/ecs
31일	31/nno+일/nbu
협상장에	협상/ncn+장/xsn+에/jca
나타났다.	나타나/pvg+았/ep+다/ef+./sf
공산당계인	공산/ncn+당/ncn+계/xsn+이/jp+ㄴ/etm
가이소	가이소/nq
장관은	장관/ncn+은/jxc
장거리운송분야	장거리/ncn+운송/ncn+분야/ncn
노동자들의	노동/ncn+자/xsn+들/xsn+의/jcm
작업상황에	작업/ncn+상황/ncn+에/jca
대한	대하/pvg+ㄴ/etm
자율규제를	자율/ncn+규제/ncn+를/jco
강화할	강화/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
법안	법안/ncn
도입을	도입/ncn+을/jco
약속했다.	약속/ncpa+하/xsv+었/ep+다/ef+./sf
정부의	정부/ncn+의/jcm
이런	이렇/pad+ㄴ/etm
움직임은	움직임/ncn+은/jxc
노조쪽의	노조/ncn+쪽/nbn+의/jcm
환영을	환영/ncn+을/jco
받았지만	받/pvg+았/ep+지만/ecs
사용주의	사용/ncn+주/xsn+의/jcm
80%를	80/nnc+%/su+를/jco
대변하고	대변/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
운송연맹(UFT)은	운송연맹/nq+(/sl+UFT/f+)/sr+은/jxc
교통장관이	교통/ncn+장관/ncn+이/jcs
그런	그렇/pad+ㄴ/etm
법을	법/ncn+을/jco
강제한다면	강제/ncpa+하/xsv+ㄴ다면/ecs
협상에	협상/ncn+에/jca
임할	임하/pvg+ㄹ/etm
수	수/nbn
없다며	없/paa+다/ef+며/ecs
협상장을	협상/ncn+장/xsn+을/jco
떠나버렸다.	떠나/pvg+아/ecx+버리/px+었/ep+다/ef+./sf
프랑스	프랑스/nq
트럭운전사들이	트럭/ncn+운전/ncn+사/xsn+들/xsn+이/jcs
연례행사처럼	연례/ncn+행사/ncn+처럼/jca
파업에	파업/ncn+에/jca
나서는	나서/pvg+는/etm
것은	것/nbn+은/jxc
작업환경이	작업/ncn+환경/ncn+이/jcs
다른	다르/paa+ㄴ/etm
산업분야에	산업/ncn+분야/ncn+에/jca
비해	비/ncpa+하/xsv+어/ecs
열악하고	열악/ncps+하/xsm+고/ecc
사용주쪽이	사용/ncn+주/xsn+쪽/nbn+이/jcs
노사합의	노사/ncn+합의/ncn
사항을	사항/ncn+을/jco
제대로	제대로/mag
이행하지	이행/ncpa+하/xsv+지/ecx
않기	않/px+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
그러나	그러나/maj
고용부	고용/ncn+부/xsn
통계에	통계/ncn+에/jca
따르면	따르/pvg+면/ecs
현재	현재/ncn
월	월/ncn
노동시간은	노동/ncn+시간/ncn+은/jxc
250시간을	250/nnc+시간/nbu+을/jco
넘고	넘/pvg+고/ecc
55살	55/nnc+살/nbu
정년제도	정년/ncn+제/xsn+도/jxc
제대로	제대로/mag
적용되지	적용/ncpa+되/xsv+지/ecx
않을	않/px+을/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
적용하는	적용/ncpa+하/xsv+는/etm
사업장도	사업/ncn+장/xsn+도/jxc
퇴직자의	퇴직/ncn+자/xsn+의/jcm
후임을	후임/ncn+을/jco
채용하지	채용/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
등의	등/nbn+의/jcm
편법으로	편법/ncn+으로/jca
다른	다르/paa+ㄴ/etm
운전사들의	운전/ncn+사/xsn+들/xsn+의/jcm
작업시간을	작업/ncn+시간/ncn+을/jco
늘려	늘리/pvg+어/ecs
사업장	사업/ncn+장/xsn
내부의	내부/ncn+의/jcm
불만을	불만/ncn+을/jco
증폭시키고	증폭/ncpa+시키/xsv+고/ecx
있다.	있/px+다/ef+./sf
중국에	중국/nq+에/jca
진출한	진출/ncpa+하/xsv+ㄴ/etm
일부	일부/ncn
한국	한국/nq
기업들이	기업/ncn+들/xsn+이/jcs
현지	현지/ncn
종업원들에게	종업/ncn+원/xsn+들/xsn+에게/jca
체벌을	체벌/ncn+을/jco
가하는	가하/pvg+는/etm
등	등/nbn
인권을	인권/ncn+을/jco
유린하고,	유린/ncpa+하/xsv+고/ecc+,/sp
중국	중국/nq
노동법에	노동/ncn+법/ncn+에/jca
규정된	규정/ncpa+되/xsv+ㄴ/etm
근로조건을	근로/ncn+조건/ncn+을/jco
제대로	제대로/mag
지키지	지키/pvg+지/ecx
않아	않/px+아/ecs
노동쟁의를	노동/ncn+쟁의/ncn+를/jco
일으키는	일으키/pvg+는/etm
것으로	것/nbn+으로/jca
4일	4/nno+일/nbu
나타났다.	나타나/pvg+았/ep+다/ef+./sf
홍콩을	홍콩/nq+을/jco
방문중인	방문/ncn+중/nbn+이/jp+ㄴ/etm
중국	중국/nq
노동부의	노동부/nq+의/jcm
진람	진람/nq
노동쟁의처리처	노동/ncn+쟁의/ncn+처리/ncn+처/xsn
부처장은	부처장/xsn+은/jxc
외국	외국/ncn
합작기업들의	합작/ncn+기업/ncn+들/xsn+의/jcm
노동쟁의가	노동/ncn+쟁의/ncn+가/jcs
날로	날/ncn+로/jca
늘고	늘/pvg+고/ecx
있으며,	있/px+으며/ecc+,/sp
한국기업과	한국/nq+기업/ncn+과/jct
같이	같/paa+이/ecs
고용주가	고용/ncn+주/xsn+가/jcs
노동자에게	노동/ncn+자/xsn+에게/jca
체벌을	체벌/ncn+을/jco
가해	가/ncpa+하/xsv+어/ecs
인권문제가	인권/ncn+문제/ncn+가/jcs
노동쟁의로	노동/ncn+쟁의/ncn+로/jca
확대되는	확대/ncpa+되/xsv+는/etm
일도	일/ncn+도/jxc
있다고	있/paa+다/ef+고/jcr
지적했다고	지적/ncpa+하/xsv+었/ep+다/ef+고/jcr
홍콩	홍콩/nq
<명보>가                       </sl+명보/nq+>/sr+가/jcs
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
대법원은	대/xp+법원/ncn+은/jxc
그동안	그/mmd+동안/ncn
소수인종과	소수/ncn+인종/ncn+과/jcj
여성에게	여성/ncn+에게/jca
혜택을	혜택/ncn+을/jco
줘온	주/pvg+어/ecx+오/px+ㄴ/etm
`어퍼머티브	`/sl+nq[어퍼머티브/ncn
액션'을	+액션/ncn]nq+'/sr+을/jco
폐지하는	폐지/ncpa+하/xsv+는/etm
내용의	내용/ncn+의/jcm
캘리포니아	캘리포니아/nq
주민발의안	주민/ncn+발의/ncn+안/ncn
209호가	209/nno+호/nbu+가/jcs
미국민의	미/nq+국민/ncn+의/jcm
헌법상	헌법/ncn+상/xsn
권리에	권리/ncn+에/jca
위배되지	위배/ncpa+되/xsv+지/ecx
않는다며,	않/px+는다며/ecs+,/sp
발의안	발의/ncn+안/ncn
209호의	209/nnc+호/nbu+의/jcm
위헌	위헌/ncn
여부에	여부/ncn+에/jca
대한	대하/pvg+ㄴ/etm
헌법소원을	헌법/ncn+소원/ncn+을/jco
기각했다.	기각/ncpa+하/xsv+었/ep+다/ef+./sf
대법원의	대/xp+법원/ncn+의/jcm
이번	이/mmd+번/nbn
결정에	결정/ncn+에/jca
따라	따르/pvg+아/ecs
앞으로	앞/ncn+으로/jca
미국내	미국/nq+내/nbn
다른	다르/paa+ㄴ/etm
주들도	주/ncn+들/xsn+도/jxc
잇따라	잇따르/pvg+아/ecs
소수인종과	소수/ncn+인종/ncn+과/jcj
여성	여성/ncn
등에	등/nbn+에/jca
대한	대하/pvg+ㄴ/etm
각종	각종/ncn
우대조처를	우대/ncn+조처/ncn+를/jco
폐지할	폐지/ncpa+하/xsv+ㄹ/etm
것이	것/nbn+이/jcs
예상된다.	예상/ncpa+되/xsv+ㄴ다/ef+./sf
이	이/mmd
발의안은	발의/ncn+안/ncn+은/jxc
그동안	그/mmd+동안/ncn
소수인종과	소수/ncn+인종/ncn+과/jcj
여성들이	여성/ncn+들/xsn+이/jcs
백인과	백인/ncn+과/jcj
남성이	남성/ncn+이/jcs
지배하는	지배/ncpa+하/xsv+는/etm
미국	미국/nq
사회에	사회/ncn+에/jca
다양하게	다양/ncps+하/xsm+게/ecs
진출할	진출/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
근거규정이	근거/ncn+규정/ncn+이/jcc
돼온	되/pvg+어/ecx+오/px+ㄴ/etm
`어퍼머티브	`/sl+nq[어퍼머티브/ncn
액션'을	+액션/ncn]nq+'/sl+을/jco
근본적으로	근본/ncn+적/xsn+으로/jca
부정하고	부정/ncpa+하/xsv+고/ecx
있다는	있/px+다/ef+는/etm
점에서	점/ncn+에서/jca
많은	많/paa+은/etm
논란을	논란/ncn+을/jco
일으켜	일으키/pvg+어/ecx
왔다.	오/px+았/ep+다/ef+./sf
이들은	이/npp+들/xsn+은/jxc
인간장기	인간/ncn+장기/ncn
공급난을	공급/ncn+난/xsn+을/jco
해결하기	해결/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
인체에	인체/ncn+에/jca
적합하도록	적합/ncps+하/xsm+도록/ecs
유전공학적으로	유전/ncn+공학/ncn+적/xsn+으로/jca
수정	수정/ncn
생산된	생산/ncpa+되/xsv+ㄴ/etm
동물들의	동물/ncn+들/xsn+의/jcm
심장,	심장/ncn+,/sp
간,	간/ncn+,/sp
콩팥을	콩팥/ncn+을/jco
이용할	이용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다고	있/paa+다/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
미국	미국/nq
펜실베이니아	펜실베이니아/nq
피츠버그대학	피츠버그대학/nq
보고서에	보고/ncn+서/xsn+에/jca
따르면	따르/pvg+면/ecs
지난	지나/pvg+ㄴ/etm
63년	63/nno+년/nbu
이후	이후/ncn
인간에게	인간/ncn+에게/jca
시도된	시도/ncpa+되/xsv+ㄴ/etm
동물장기	동물/ncn+장기/ncn
이식은	이식/ncn+은/jxc
약	약/mma
30건에	30/nnc+건/nbu+에/jca
달했으나	달/ncpa+하/xsv+었/ep+으나/ecs
환자들이	환자/ncn+들/xsn+이/jcs
수술	수술/ncn
뒤	뒤/ncn
몇시간	몇/mma+시간/nbu
내지	내지/maj
9개월만에	9/nnc+개월/nbu+만/nbn+에/jca
사망함으로써	사망/ncpa+하/xsv+ㅁ/etn+으로써/jca
모두	모두/mag
실패했다.	실패/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
때문에	때문/nbn+에/jca
한동안	한동안/ncn
동물장기의	동물/ncn+장기/ncn+의/jcm
인체이식은	인체/ncn+이식/ncn+은/jxc
중단돼	중단/ncpa+되/xsv+어/ecx
왔다.	오/px+았/ep+다/ef+./sf
그러나	그러나/maj
인간장기	인간/ncn+장기/ncn
공급량은	공급/ncn+량/ncn+은/jxc
수요에	수요/ncn+에/jca
비해	비하/pvg+어/ecs
엄청나게	엄청나/paa+게/ecs
부족하기	부족/ncps+하/xsm+기/etn
때문에	때문/nbn+에/jca
어차피	어차피/mag
동물장기에	동물/ncn+장기/ncn+에/jca
의존하지	의존/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
안될	안되/pvg+ㄹ/etm
단계에	단계/ncn+에/jca
이르렀다.	이르/pvg+었/ep+다/ef+./sf
미국	미국/nq
듀크대	듀크대/nq
실험외과학	실험/ncn+외과/ncn+학/xsn
교수	교수/ncn
제프리	nq[제프리/nq
플랫은	+플랫은/nq]nq
동물장기를	동물/ncn+장기/ncn+를/jco
이식받는	이식/ncn+받/pvg+는/etm
환자들의	환자/ncn+들/xsn+의/jcm
갖가지	갖가지/ncn
감염	감염/ncn
가능성을	가능/ncn+성/xsn+을/jco
최소화하기	최소/ncn+화/xsn+하/xsv+기/etn
위해	위하/pvg+어/ecs
이식용	이식/ncn+용/xsn
장기를	장기/ncn+를/jco
제공하는	제공/ncpa+하/xsv+는/etm
동물들은	동물/ncn+들/xsn+은/jxc
특수한	특수/ncps+하/xsm+ㄴ/etm
방법으로	방법/ncn+으로/jca
사육될	사육/ncpa+되/xsv+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
가장	가장/mag
어려운	어렵/paa+ㄴ/etm
문제는	문제/ncn+는/jxc
환자들의	환자/ncn+들/xsn+의/jcm
거부반응이다.	거부/ncn+반응/ncn+이/jp+다/ef+./sf
이를	이/npd+를/jco
극복하기	극복/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
1개	1/nnc+개/nbu
이상의	이상/ncn+의/jcm
인간	인간/ncn
유전인자를	유전/ncn+인자/ncn+를/jco
동물에	동물/ncn+에/jca
투입,	투입/ncn+,/sp
유전적으로	유전/ncn+적/xsn+으로/jca
변형시킨	변형/ncn+시키/xsv+ㄴ/etm
뒤	뒤/nbn
일단	일단/mag
성공하면	성공/ncpa+하/xsv+면/ecs
이를	이/npd+를/jco
유전공학적으로	유전/ncn+공학/ncn+적/xsn+으로/jca
복제해	복제/ncpa+하/xsv+어/ecs
이식용	이식/ncn+용/xsn
장기를	장기/ncn+를/jco
양산하도록	양산/ncpa+하/xsv+도록/ecs
한다는	하/pvg+ㄴ다/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이식	이식/ncn
전문의들은	전문의/ncn+들/xsn+은/jxc
침팬지,	침팬지/ncn+,/sp
비비,	비비/ncn+,/sp
돼지	돼지/ncn
등을	등/nbn+을/jco
대상으로	대상/ncn+으로/jca
이종이식	이종/ncn+이식/ncn
실험을	실험/ncn+을/jco
해본	하/pvg+어/ecx+보/px+ㄴ/etm
결과	결과/ncn
인간의	인간/ncn+의/jcm
장기와	장기/ncn+와/jct
같은	같/paa+은/etm
크기의	크기/ncn+의/jcm
장기를	장기/ncn+를/jco
가진	가지/pvg+ㄴ/etm
돼지가	돼지/ncn+가/jcs
가장	가장/mag
적합하다는	적합/ncps+하/xsm+다/ef+는/etm
결론을	결론/ncn+을/jco
얻었다.	얻/pvg+었/ep+다/ef+./sf
앰네스티는	앰네스티/nq+는/jxc
한국에서는	한국/nq+에서/jca+는/jxc
올해만도	올해/ncn+만/jxc+도/jxc
500명	500/nnc+명/nbu
이상이	이상/ncn+이/jcs
국가보안법	국가/ncn+보안/ncn+법/ncn
위반으로	위반/ncn+으로/jca
체포됐다면서,	체포/ncpa+되/xsv+었/ep+다면서/ecs+,/sp
이들중	이/npp+들/xsn+중/nbn
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
(폭력이	(/sl+폭력/ncn+이/jcc
아니라)	아니/paa+라/ecs+)/sr
단지	단지/mag
`고무찬양'과	`/sl+고무/ncn+찬양/ncn+'/sr+과/jcj
`이적행위'만을	`/sl+이적/ncn+행위/ncn+'/sr+만/jxc+을/jco
이유로	이유/ncn+로/jca
기소됐다고	기소/ncpa+되/xsv+었/ep+다/ef+고/jcr
지적했다.	지적/ncpa+하/xsv+었/ep+다/ef+./sf
야세르	nq[야세르/nq
아라파트	+아라파트/nq]nq
팔레스타인	팔레스타인/nq
자치정부	자치/ncn+정부/ncn
수반은	수반/ncn+은/jxc
2일	2/nno+일/nbu
미국	미국/nq
워싱턴에서	워싱턴/nq+에서/jca
재개될	재개/ncpa+되/xsv+ㄹ/etm
이스라엘과	이스라엘/nq+과/jcj
팔레스타인간	팔레스타인/nq+간/nbn
회담이	회담/ncn+이/jcs
시간낭비에	시간/ncn+낭비/ncn+에/jca
불과하다고	불과/ncps+하/xsm+다/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
아라파트	아라파트/nq
수반은	수반/ncn+은/jxc
이날	이/mmd+날/ncn
발간된	발간/ncpa+되/xsv+ㄴ/etm
마리브지와의	마리브/nq+지/xsn+와/jct+의/jcm
회견에서	회견/ncn+에서/jca
이번	이/mmd+번/nbn
회담에	회담/ncn+에/jca
대해	대하/pvg+어/ecs
비관적이라고	비관/ncn+적/xsn+이/jp+라/ef+고/jcr
말하고	말하/pvg+고/ecc
이스라엘	이스라엘/nq
협상대표인	협상/ncn+대표/ncn+이/jp+ㄴ/etm
다비드	nq[다비드/nq
레비	+레비/nq]nq
외무장관이	외무/ncn+장관/ncn+이/jcs
실질적인	실질/ncn+적/xsn+이/jp+ㄴ/etm
권한을	권한/ncn+을/jco
갖고	갖/pvg+고/ecx
있지	있/px+지/ecx
않다고	않/px+다/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
아라파트	아라파트/nq
수반은	수반/ncn+은/jxc
이어	잇/pvg+어/ecs
매들린	nq[매들린/nq
올브라이트	+올브라이트/nq]nq
미국무장관이	미/nq+국무/ncn+장관/ncn+이/jcs
공식	공식/ncn
초청했기	초청/ncpa+하/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
대표단을	대표/ncn+단/xsn+을/jco
파견할	파견/ncpa+하/xsv+ㄹ/etm
뿐이라고	뿐/nbn+이/jp+라/ef+고/jcr
덧붙였다.	덧붙이/pvg+었/ep+다/ef+./sf
레비	레비/nq
이스라엘	이스라엘/nq
외무장관과	외무/ncn+장관/ncn+과/jcj
팔레스타인의	팔레스타인/nq+의/jcm
제2	제/xp+2/nno
인자로	인자/nbn+로/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
압바스	압바스/nq
대표는	대표/ncn+는/jxc
올브라이트	올브라이트/nq
장관의	장관/ncn+의/jcm
주선으로	주선/ncn+으로/jca
3일부터	3/nno+일/nbu+부터/jxc
3일간	3/nnc+일/nbu+간/xsn
워싱턴에서	워싱턴/nq+에서/jca
회담을	회담/ncn+을/jco
가질	가지/pvg+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
한편	한편/maj
이스라엘	이스라엘/nq
라디오는	라디오/ncn+는/jxc
이츠하크	nq[이츠하크/nq
모데차이	+모데차이/nq]nq
이스라엘	이스라엘/nq
국방장관이	국방/ncn+장관/ncn+이/jcs
윌리엄	nq[윌리엄/nq
코언	+코언/nq]nq
미국방장관과	미/xp+국방/ncn+장관/ncn+과/jcj
올브라이트	올브라이트/nq
국무장관과의	국무/ncn+장관/ncn+과/jct+의/jcm
회담을	회담/ncn+을/jco
위한	위하/pvg+ㄴ/etm
4일간의	4/nno+일/nbu+간/xsn+의/jcm
미국방문을	미국/nq+방문/ncn+을/jco
위해	위하/pvg+어/ecs
이날	이/mmd+날/ncn
오후	오후/ncn
출국할	출국/ncpa+하/xsv+ㄹ/etm
예정이라고	예정/ncn+이/jp+라/ef+고/jcr
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
한반도의	한반도/nq+의/jcm
위기상황을	위기/ncn+상황/ncn+을/jco
상정한	상정/ncpa+하/xsv+ㄴ/etm
미일방위협력지침의	미일/nq+방위/ncn+협력/ncn+지침/ncn+의/jcm
개정	개정/ncn
뒤	뒤/ncn
처음으로	처음/ncn+으로/jca
미국와	미국/nq+와/jcj
일본의	일본/nq+의/jcm
대규모	대/xp+규모/ncn
합동	합동/ncn
군사훈련이	군사/ncn+훈련/ncn+이/jcs
6일부터	6/nno+일/nbu+부터/jxc
동해안에서	동해안/nq+에서/jca
실시될	실시/ncpa+되/xsv+ㄹ/etm
예정이라고	예정/ncn+이/jp+라/ef+고/jcr
<도쿄신문>이                   </sl+도쿄신문/nq+>/sr+이/jcs
4일	4/nno+일/nbu
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
이번	이/mmd+번/nbn
합동훈련은	합동/ncn+훈련/ncn+은/jxc
항공모함	항공/ncn+모함/ncn
인디펜던스를	인디펜던스/nq+를/jco
주력으로	주력/ncn+으로/jca
하는	하/pvg+는/etm
미	미/ncn
7함대가	7/nno+함대/ncn+가/jcs
동해안에서	동해안/nq+에서/jca
한미	한미/nq
합동훈련(폴이글)에	합동/ncn+훈련/ncn+(/sl+폴이글/nq+)/sl+에/jca
참가했다가	참가/ncpa+하/xsv+었/ep+다/ef+가/jcs
곧바로	곧바로/mag
일본	일본/nq
해상자위대와	해상/ncn+자위대/nq+와/jct
합류하는	합류/ncpa+하/xsv+는/etm
방식이어서	방식/ncn+이/jp+어서/ecs
북한이	북한/nq+이/jcs
한미일	한미일/nq
3국에	3/nnc+국/nbu+에/jca
의한	의하/pvg+ㄴ/etm
군사적인	군사/ncn+적/xsn+이/jp+ㄴ/etm
압력으로	압력/ncn+으로/jca
보고	보/pvg+고/ecc
반발할	반발/ncpa+하/xsv+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
크다고	크/paa+다/ef+고/jcr
신문이	신문/ncn+이/jcs
내다봤다.	내다보/pvg+았/ep+다/ef+./sf
훈련에는	훈련/ncn+에/jca+는/jxc
해상자위대	해상자위대/nq
함선	함선/ncn
120척,	120/nnc+척/nbu+,/sp
항공기	항공/ncn+기/xsn
180기,	180/nnc+기/nbu+,/sp
병력	병력/ncn
3만4천명이	3만/nnc+4천/nnc+명/nbu+이/jcs
참가하며	참가/ncpa+하/xsv+며/ecc
자위대는	자위대/nq+는/jxc
정보제공과	정보/ncn+제공/ncn+과/jcj
해상급유	해상/ncn+급유/ncn
등	등/nbn
방위협력지침에	방위/ncn+협력/ncn+지침/ncn+에/jca
예시된	예시/ncpa+되/xsv+ㄴ/etm
대미	대미/ncn
지원활동을	지원/ncn+활동/ncn+을/jco
실행할	실행/ncpa+하/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
이번	이/mmd+번/nbn
훈련은	훈련/ncn+은/jxc
무대를	무대/ncn+를/jco
지금까지의	지금/ncn+까지/jxc+의/jcm
태평양에서	태평양/nq+에서/jca
동해안과	동해안/nq+과/jcj
동지나해에	동지나해/nq+에/jca
가까운	가깝/paa+ㄴ/etm
해상으로	해상/ncn+으로/jca
옮긴	옮기/pvg+ㄴ/etm
것이	것/nbn+이/jcs
특징이다.	특징/ncn+이/jp+다/ef+./sf
북한은	북한/nq+은/jxc
방위협력지침의	방위/ncn+협력/ncn+지침/ncn+의/jcm
개정과	개정/ncn+과/jct
관련해	관련/ncpa+하/xsv+어/ecs
공화국을	공화/ncn+국/xsn+을/jco
공격의	공격/ncn+의/jcm
대상으로	대상/ncn+으로/jca
하고	하/pvg+고/ecx
있다며	있/px+다/ef+며/ecs
강력하게	강력/ncps+하/xsm+게/ecs
비난해왔다.	비난/ncn+하/xsv+어/ecx+오/px+았/ep+다/ef+./sf
한편	한편/maj
인디펜던스를	인디펜던스/nq+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
미	미/nq
제7함대는	제/xp+7/nno+함대/ncn+는/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
27일부터	27/nno+일/nbu+부터/jxc
시작된	시작/ncpa+되/xsv+ㄴ/etm
한미	한미/nq
합동훈련	합동/ncn+훈련/ncn
폴	nq[폴/nq
이글에	+이글/nq]nq+에/jca
참가하고	참가/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
일본은	일본/nq+은/jxc
한반도	한반도/nq
유사시	유사/ncn+시/nbn
일본	일본/nq
서해안으로	서해안/nq+으로/jca
건너올	건너오/pvg+ㄹ/etm
난민들을	난민/ncn+들/xsn+을/jco
위한	위하/pvg+ㄴ/etm
수용시설	수용/ncn+시설/ncn
목록을	목록/ncn+을/jco
작성했다고	작성/ncpa+하/xsv+었/ep+다/ef+고/jcr
정부	정부/ncn
소식통들이	소식/ncn+통/xsn+들/xsn+이/jcs
2일	2/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
이	이/mmd
목록에는	목록/ncn+에/jca+는/jxc
한반도	한반도/nq
긴급사태시	긴급/ncn+사태/ncn+시/nbn
일본	일본/nq
최남단	최남단/ncn
규슈섬의	규슈/nq+섬/ncn+의/jcm
후쿠오카현에서	후쿠오카현/nq에서/jca
임시	임시/ncn
난민수용소로	난민/ncn+수용/ncn+소/xsn+로/jca
활용할	활용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
공공시설	공공/ncn+시설/ncn
및	및/maj
사설시설이	사설/ncn+시설/ncn+이/jcs
열거돼	열거/ncpa+되/xsv+어/ecx
있다.	있/px+다/ef+./sf
목록에	목록/ncn+에/jca
들어간	들/pvg+어/ecs+가/pvg+ㄴ/etm
시설	시설/ncn
중에는	중/nbn+에/jca+는/jxc
후쿠오카	후쿠오카/nq
돔과	돔/ncn+과/jcj
마린	마린/nq
메스	메스/nq
후쿠오카,	후쿠오카/nq+,/sp
후쿠오카	후쿠오카/nq
부도칸홀	부도칸/nq+홀/ncn
등과	등/nbn+과/jct
같은	같/paa+은/etm
장소가	장소/ncn+가/jcs
포함됐다.	포함/ncpa+되/xsv+었/ep+다/ef+./sf
일본	일본/nq
당국은	당국/ncn+은/jxc
한반도	한반도/nq
난민들을	난민/ncn+들/xsn+을/jco
우선	우선/mag
이들	이/npd+들/xsn
시설에	시설/ncn+에/jca
수용한	수용/ncpa+하/xsv+ㄴ/etm
다음	다음/ncn
나가사키현에	나가사키현/nq+에/jca
있는	있/paa+는/etm
법무성	법무성/nq
산하	산하/ncn
오무라	nq[오무라/nq
임시수용소	+임시/ncn+수용/ncn+소/xsn]nq
등과	등/nbn+과/jct
같은	같/paa+은/etm
2차	2/nno+차/nbu
수용시설로	수용/ncn+시설/ncn+로/jca
옮길	옮기/pvg+ㄹ/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
2차	2/nno+차/nbu
수용시설이	수용/ncn+시설/ncn+이/jcs
최고	최고/ncn
3800명	3800/nnc+명/nbu
정도만	정도/ncn+만/jxc
수용할	수용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
나머지	나머지/ncn
난민들은	난민/ncn+들/xsn+은/jxc
후쿠오카	후쿠오카/nq
서해안	서해안/nq
공공용지에	공공/ncn+용지/ncn+에/jca
조립식	조립/ncn+식/xsn
건물을	건물/ncn+을/jco
세워	세우/pvg+어/ecs
수용할	수용/ncpa+하/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
이	이/mmd
연구는	연구/ncn+는/jxc
일본	일본/nq
주변지역의	주변/ncn+지역/ncn+의/jcm
비상사태시	비상/ncn+사태/ncn+시/nbn
일본이	일본/nq+이/jcs
미국의	미국/nq+의/jcm
군사작전을	군사/ncn+작전/ncn+을/jco
지원토록	지원/ncpa+하/xsv+도록/ecs
한다는	하/pvg+ㄴ다/ef+는/etm
지난	지나/pvg+ㄴ/etm
9월의	9/nno+월/nbu+의/jcm
미-일	미/nq+-/sd+일/nq
신방위지침에	신/xp+방위/ncn+지침/ncn+에/jca
따라	따르/pvg+아/ecs
착수됐다.	착수/ncpa+되/xsv+었/ep+다/ef+./sf
일본	일본/nq
정부는	정부/ncn+는/jxc
한반도	한반도/nq
난민	난민/ncn
대부분이	대부분/ncn+이/jcs
혼슈섬	혼슈/nq+섬/ncn
서단의	서단/nq+의/jcm
