<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0098.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0098.txt </filename>
<title> 교실 밖 국사여행 </title>
<author>역사학연구소   </author>
<date> 1993 </date>
<publisher>사계절출판사  </publisher>
<kdc>911  </kdc>
<ddc>951.9  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
도구를	도구/ncn+를/jco
견제와	견제/ncn+와/jcj
회유를	회유/ncn+를/jco
받아	받/pvg+아/ecs
결국	결국/mag
단일한	단일/ncps+하/xsm+ㄴ/etm
고대	고대/ncn
국가를	국가/ncn+를/jco
이루지	이루/pvg+지/ecx
못하고	못하/px+고/ecc
멸망하였다	멸망/ncpa+하/xsv+었/ep+다/ef
.	./sf
즉	즉/mag
,	,/sp
정복	정복/ncn
전쟁이	전쟁/ncn+이/jcs
끊임없이	끊이/pvg+ㅁ/etn+없이/jca
벌어지고	벌어지/pvg+고/ecx
있던	있/px+던/etm
고대	고대/ncn
사회에서	사회/ncn+에서/jca
가야는	가야/nq+는/jxc
그것을	그것/npd+을/jco
수행할	수행/ncpa+하/xsv+ㄹ/etm
강한	강하/paa+ㄴ/etm
군대와	군대/ncn+와/jcj
권력을	권력/ncn+을/jco
갖춘	갖추/pvg+ㄴ/etm
하나의	하나/ncn+의/jcm
나라로	나라/ncn+로/jca
통합되지는	통합/ncpa+되/xsv+지/ecx+는/jxc
못하였던	못하/px+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
가야가	가야/nq+가/jcs
하나의	하나/ncn+의/jcm
단일한	단일/ncps+하/xsm+ㄴ/etm
나라를	나라/ncn+를/jco
이루어	이루/pvg+어/ecx
내지	내/px+지/ecx
못한	못하/px+ㄴ/etm
까닭에	까닭/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
아직도	아직도/mag
의문으로	의문/ncn+으로/jca
남아	남/pvg+아/ecx
있는	있/px+는/etm
부분이	부분/ncn+이/jcs
많다	많/paa+다/ef
.	./sf
그러므로	그러므로/maj
가야	가야/nq
지역에서	지역/ncn+에서/jca
발견되는	발견/ncpa+되/xsv+는/etm
훌륭한	훌륭하/paa+ㄴ/etm
유적	유적/ncn
유물에	유물/ncn+에/jca
카메라를	카메라/ncn+를/jco
들이대고	들이대/pvg+고/ecc
그것에	그것/npd+에/jca
감탄하는	감탄/ncpa+하/xsv+는/etm
데	데/nbn
그칠	그치/pvg+ㄹ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ef
,	,/sp
그것이	그것/npd+이/jcs
전하는	전하/pvg+는/etm
가야사회는	가야/nq+사회/ncn+는/jxc
어떠한	어떠하/pad+ㄴ/etm
모습이었는지	모습/ncn+이/jp+었/ep+는지/ecs
,	,/sp
왜	왜/mag
삼국과	삼국/ncn+과/jcj
대등한	대등/ncps+하/xsm+ㄴ/etm
국가로	국가/ncn+로/jca
발전하지	발전/ncpa+하/xsv+지/ecx
못하고	못하/px+고/ecx
말았는지	말/px+았/ep+는지/ecs
생각하면서	생각/ncpa+하/xsv+면서/ecs
살펴보아야	살피/pvg+어/ecx+보/px+아야/ecx
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
낯익은	낯익/paa+은/etm
반가사유상	반가사유상/nq
일본	일본/nq
속에	속/ncn+에/jca
백제	백제/nq
문화	문화/ncn
일본의	일본/nq+의/jcm
국보	국보/ncn
1호는	1/nno+호/nbu+는/jxc
고류사에	고류사/nq+에/jca
있는	있/paa+는/etm
목조	목조/ncn
미륵보살	미륵/nq+보살/ncn
반가사유상이다	반가사유상/nq+이/jp+다/ef
.	./sf
나무결을	나무/ncn+결/ncn+을/jco
살린	살리/pvg+ㄴ/etm
단아한	단아/ncps+하/xsm+ㄴ/etm
얼굴의	얼굴/ncn+의/jcm
부드러운	부드럽/paa+ㄴ/etm
웃음과	웃음/ncn+과/jct
긴	기/paa+ㄴ/etm
손가락으로	손가락/ncn+으로/jca
턱을	턱/ncn+을/jco
가볍게	가볍/paa+게/ecs
받치고	받치/pvg+고/ecc
생각하는	생각/ncpa+하/xsv+는/etm
자세의	자세/ncn+의/jcm
이	이/mmd
보살상은	보살/ncn+상/ncn+은/jxc
더할	더하/paa+ㄹ/etm
수없이	수/nbn+없/paa+이/xsa
아름다운	아름답/paa+ㄴ/etm
명품이다	명품/ncn+이/jp+다/ef
.	./sf
또	또/maj
,	,/sp
백제에서	백제/nq+에서/jca
불교를	불교/nq+를/jco
받아들여	받/pvg+아/ecx+들이/px+어/ecs
일본	일본/nq
고대	고대/ncn
문화를	문화/ncn+를/jco
발전시킨	발전/ncpa+시키/xsv+ㄴ/etm
아스카	아스카/nq
시대의	시대/ncn+의/jcm
것으로	것/nbn+으로/jca
,	,/sp
백제	백제/nq
불상의	불상/ncn+의/jcm
아름다움을	아름답/paa+ㅁ/etn+을/jco
그대로	그대로/mag
전해	전하/pvg+어/ecx
주고	주/px+고/ecx
있다	있/px+다/ef
.	./sf
아스타는	아스타/nq+는/jxc
쇼투쿠	쇼투쿠/nq
태자가	태자/ncn+가/jcs
다스리던	다스리/pvg+던/etm
때의	때/ncn+의/jcm
수도였던	수도/ncn+이/jp+었/ep+던/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
아스카는	아스카/nq+는/jxc
능선이	능선/ncn+이/jcs
나지막하고	나지막하/paa+고/ecc
부드러운	부드럽/paa+ㄴ/etm
구릉으로	구릉/ncn+으로/jca
둘러싸여	두르/pvg+어/ecs+싸/pvg+이/jp+어/ecs
있어	있/paa+어/ecs
우리	우리/npp
나라의	나라/ncn+의/jcm
서남부	서/ncn+남/ncn+부/xsn
지방	지방/ncn
,	,/sp
곧	곧/maj
백제	백제/nq
땅을	땅/ncn+을/jco
연상시키는	연상/ncpa+시키/xsv+는/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
아스카에는	아스카/nq+에/jca+는/jxc
당시	당시/ncn
불교의	불교/nq+의/jcm
중심	중심/ncn
사원이었던	사원/ncn+이/jp+었/ep+던/etm
아스카사라는	아스카사/nq+라는/jxc
절이	절/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이	이/mmd
절은	절/ncn+은/jxc
불교	불교/nq
공인에	공인/ncn+에/jca
앞장선	앞장/ncn+서/pvg+ㄴ/etm
소가씨	소가/ncn+씨/xsn
가문의	가문/ncn+의/jcm
사찰로	사찰/ncn+로/jca
,	,/sp
7세기	7/nno+세기/ncn
초에	초/ncn+에/jca
백제에서	백제/nq+에서/jca
건너온	건너/pvg+어/ecs+오/pvg+ㄴ/etm
공인들의	공인/ncn+들/xsn+의/jcm
기술로	기술/ncn+로/jca
지어졌다	짓/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
소가씨는	소가/ncn+씨/xsn+는/jxc
백제	백제/nq
계통의	계통/ncn+의/jcm
호족인데	호족/ncn+이/jp+ㄴ데/ecs
,	,/sp
백제에서	백제/nq+에서/jca
전해	전하/pvg+어/ecx
준	주/px+ㄴ/etm
불교를	불교/nq+를/jco
받아들여	받/pvg+아/ecx+들이/px+어/ecs
보수파	보수/ncn+파/ncn
호족	호족/ncn
세력을	세력/ncn+을/jco
물리치고	물리치/pvg+고/ecc
,	,/sp
불교를	불교/nq+를/jco
공인하였다	공인/ncpa+하/xsv+었/ep+다/ef
.	./sf
6	6/nno
세기	세기/ncn
말에	말/ncn+에/jca
정권을	정권/ncn+을/jco
장악한	장악/ncpa+하/xsv+ㄴ/etm
대신	대신/ncn
소가노우마꼬는	소가노우마꼬/nq+는/jxc
생질녀를	생질녀/ncn+를/jco
여제	여제/ncn
스이꼬	스이꼬/nq
천황으로	천황/ncn+으로/jca
세우고	세우/pvg+고/ecc
,	,/sp
천황의	천황/ncn+의/jcm
조카이며	조카/ncn+이/jp+며/ecc
소가씨의	소가/ncn+씨/xsn+의/jcm
외손이자	외손/ncn+이/jp+자/ecc
사위인	사위/ncn+이/jp+ㄴ/etm
쇼투쿠	쇼투쿠/nq
태자	태자/ncn
(	(/sl
574	574/nno
622	622/nno
)	)/sr
를	를/jco
섭정으로	섭정/ncn+으로/jca
삼아	삼/pvg+아/ecs
정무를	정무/ncn+를/jco
맡게	맡/pvg+게/ecx
했다	하/px+었/ep+다/ef
.	./sf
태자는	태자/ncn+는/jxc
선진	선진/ncn
문화를	문화/ncn+를/jco
열심히	열심/ncn+히/xsa
받아들여	받/pvg+아/ecx+들이/px+어/ecs
왕권을	왕권/ncn+을/jco
강화하고	강화/ncpa+하/xsv+고/ecc
,	,/sp
관제와	관제/ncn+와/jcj
법령을	법령/ncn+을/jco
정하고	정하/pvg+고/ecc
,	,/sp
천황의	천황/ncn+의/jcm
칭호를	칭호/ncn+를/jco
사용하였으며	사용/ncpa+하/xsv+었/ep+으며/ecc
,	,/sp
역사책을	역사/ncn+책/ncn+을/jco
편찬하고	편찬/ncpa+하/xsv+고/ecc
,	,/sp
백제승이	백제/ncn+승/ncn+이/jcs
전한	전하/pvg+ㄴ/etm
역	역/ncn
(	(/sl
曆	曆/ncn
)	)/sr
을	을/jco
채택하여	채택/ncpa+하/xsv+어/ecs
정식으로	정식/ncn+으로/jca
사용하였다	사용/ncpa+하/xsv+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
발전으로	발전/ncn+으로/jca
일본은	일본/nq+은/jxc
쇼토쿠	쇼토쿠/nq
태자	태자/ncn
시기에	시기/ncn+에/jca
비로소	비로소/mag
율령	율령/ncn
국가	국가/ncn
체제를	체제/ncn+를/jco
이루었다	이루/pvg+었/ep+다/ef
.	./sf
또한	또한/maj
불교를	불교/nq+를/jco
독실하게	독실/ncps+하/xsm+게/ecs
믿고	믿/pvg+고/ecc
,	,/sp
스스로	스스로/mag
불경	불경/ncn
주석서를	주석/ncn+서/xsn+를/jco
짓기도	짓/pvg+기/etn+도/jxc
했던	하/px+었/ep+던/etm
쇼토쿠	쇼토쿠/nq
태자는	태자/ncn+는/jxc
전국에	전국/ncn+에/jca
많은	많/paa+은/etm
사찰을	사찰/ncn+을/jco
세우게	세우/pvg+게/ecx
했다	하/px+었/ep+다/ef
.	./sf
그	그/mmd
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
사찰이	사찰/ncn+이/jcs
호류사인데	호류사/nq+이/jp+ㄴ데/ecs
,	,/sp
이	이/mmd
절	절/ncn
역시	역시/mag
백제	백제/nq
공인을	공인/ncn+을/jco
초청해	초청/ncpa+하/xsv+어/ecs
거대한	거대/ncps+하/xsm+ㄴ/etm
규모로	규모/ncn+로/jca
건립한	건립/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
호류사는	호류사/nq+는/jxc
현존	현존/ncn
최고의	최고/ncn+의/jcm
목조	목조/ncn
건축인	건축/ncn+이/jp+ㄴ/etm
아스카	아스카/nq
시대의	시대/ncn+의/jcm
금당을	금당/ncn+을/jco
비롯해	비롯하/pvg+어/ecs
7	7/nno
,	,/sp
8	8/nno
세기의	세기/ncn+의/jcm
목조	목조/ncn
건축이	건축/ncn+이/jcs
11동이나	11/nnc+동/nbu+이나/jxc
남아	남/pvg+아/ecx
있는	있/px+는/etm
고건축의	고/xp+건축/ncn+의/jcm
보고이다	보고/ncn+이/jp+다/ef
.	./sf
이	이/mmd
절에서는	절/ncn+에서/jca+는/jxc
담징이	담징/nq+이/jcs
그린	그리/pvg+ㄴ/etm
관음상이나	관음상/ncn+이나/jcj
백제관음이라	백제/nq+관음/ncn+이라/jca
불리는	불리/pvg+는/etm
우아한	우아/ncps+하/xsm+ㄴ/etm
보살상	보살/ncn+상/ncn
,	,/sp
우리나라	우리/npp+나라/ncn
목조	목조/ncn
탑	탑/ncn
형태를	형태/ncn+를/jco
전해	전하/pvg+어/ecx
주는	주/px+는/etm
오층탑과	오/nnc+층/nbu+탑/ncn+과/jcj
팔각	팔각/ncn
원당식	원/nq+당/nq+식/xsn
건물인	건물/ncn+이/jp+ㄴ/etm
몽전	몽전/ncn
등	등/nbn
우리	우리/npp
고대	고대/ncn
문화의	문화/ncn+의/jcm
모습을	모습/ncn+을/jco
간직하고	간직/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
많은	많/paa+은/etm
예술품을	예술/ncn+품/xsn+을/jco
만날	만나/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
일본은	일본/nq+은/jxc
지식과	지식/ncn+과/jcj
기술의	기술/ncn+의/jcm
여러	여러/mma
면에서	면/ncn+에서/jca
백제	백제/nq
문화를	문화/ncn+를/jco
받아들여	받/pvg+아/ecx+들이/px+어/ecs
고대	고대/ncn
국가로	국가/ncn+로/jca
발전하고	발전/ncpa+하/xsv+고/ecc
,	,/sp
문화를	문화/ncn+를/jco
꽃피웠다	꽃/ncn+피우/pvg+었/ep+다/ef
.	./sf
그	그/mmd
유산으로	유산/ncn+으로/jca
남아	남/pvg+아/ecx
있는	있/px+는/etm
불상과	불상/ncn+과/jcj
공예품	공예/ncn+품/xsn
가운데	가운데/ncn
고류사	고류사/nq
미륵상과	미륵상/ncn+과/jct
같은	같/paa+은/etm
훌륭한	훌륭하/paa+ㄴ/etm
것들은	것/nbn+들/xsn+은/jxc
대부분	대부분/ncn
백제계	백제/nq+계/xsn
예술가의	예술/ncn+가/xsn+의/jcm
손으로	손/ncn+으로/jca
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
일본어에서	일본/nq+어/xsn+에서/jca
외래의	외래/ncn+의/jcm
좋은	좋/paa+은/etm
것을	것/nbn+을/jco
나타낼	나타내/pvg+ㄹ/etm
때	때/ncn
흔히	흔히/mag
'	'/sr
가라	가라/ncn
'	'/sr
라는	라는/jxc
말을	말/ncn+을/jco
붙이는데	붙이/pvg+는데/ecs
,	,/sp
이것은	이것/npd+은/jxc
加	加/ncn
나	나/jcr
韓을	韓/ncn+을/jco
그렇게	그렇/pad+게/ecs
읽은	읽/pvg+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
표현은	표현/ncn+은/jxc
말	말/ncn
그대로	그대로/mag
한반도에서	한반도/nq+에서/jca
선진	선진/ncn
문화를	문화/ncn+를/jco
받아들여	받/pvg+아/ecx+들이/px+어/ecs
일본	일본/nq
문화가	문화/ncn+가/jcs
발전했음을	발전/ncpa+하/xsv+었/ep+ㅁ/etn+을/jco
보여	보이/pvg+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
일본	일본/nq
열도는	열도/ncn+는/jxc
서기전	서기/ncn+전/ncn
삼사백년경부터	삼사백/ncn+년/nbu+경/xsn+부터/jxc
이전의	이전/ncn+의/jcm
신석기	신석기/ncn
문화와	문화/ncn+와/jct
전혀	전혀/mag
다른	다르/paa+ㄴ/etm
금속기와	금속/ncn+기/xsn+와/jcj
농경	농경/ncn
문화를	문화/ncn+를/jco
받아들여	받/pvg+아/ecx+들이/px+어/ecs
청동기	청동기/ncn
문화를	문화/ncn+를/jco
이룩하였다	이룩하/pvg+었/ep+다/ef
.	./sf
그	그/mmd
후	후/ncn
,	,/sp
계속해서	계속/ncpa+하/xsv+어서/ecs
한반도에서	한반도/nq+에서/jca
앞선	앞서/pvg+ㄴ/etm
문화와	문화/ncn+와/jcj
이주민들을	이주/ncn+민/xsn+들/xsn+을/jco
받아들이며	받/pvg+아/ecx+들이/px+며/ecc
발전하였다	발전/ncpa+하/xsv+었/ep+다/ef
.	./sf
고구려	고구려/nq
,	,/sp
백제	백제/nq
,	,/sp
신라의	신라/nq+의/jcm
삼국은	삼국/ncn+은/jxc
모두	모두/mag
일본에	일본/nq+에/jca
문화를	문화/ncn+를/jco
전파해	전파/ncpa+하/xsv+어/ecx
주었는데	주/px+었/ep+는데/ecs
,	,/sp
특히	특히/mag
그것에	그것/npd+에/jca
열심인	열심/ncn+이/jp+ㄴ/etm
나라는	나라/ncn+는/jxc
백제였다	백제/nq+이/jp+었/ep+다/ef
.	./sf
백제는	백제/nq+는/jxc
4세기에	4/nno+세기/ncn+에/jca
이르러	이르/pvg+어/ecs
마한	마한/nq
세력을	세력/ncn+을/jco
완전히	완전/ncn+히/xsa
정복하고	정복/ncpa+하/xsv+고/ecc
,	,/sp
국가	국가/ncn
체제를	체제/ncn+를/jco
갖춘	갖추/pvg+ㄴ/etm
뒤	뒤/ncn
,	,/sp
해상	해상/ncn
활동을	활동/ncn+을/jco
활발히	활발/ncn+히/xsa
벌여	벌이/pvg+어/ecs
,	,/sp
4세기	4/nno+세기/ncn
중엽	중엽/ncn
중국의	중국/nq+의/jcm
요서와	요서/nq+와/jcj
산둥	산둥/nq
지방	지방/ncn
,	,/sp
그리고	그리고/maj
일본의	일본/nq+의/jcm
여러	여러/mma
지방에까지	지방/ncn+에/jca+까지/jxc
진출하였다	진출/ncpa+하/xsv+었/ep+다/ef
.	./sf
특히	특히/mag
,	,/sp
고구려와	고구려/nq+와/jcj
신라에	신라/nq+에/jca
밀려	밀리/pvg+어/ecs
한강	한강/nq
유역을	유역/ncn+을/jco
잃고	잃/pvg+고/ecc
수도까지	수도/ncn+까지/jxc
사비로	사비/nq+로/jca
옮긴	옮기/pvg+ㄴ/etm
뒤로	뒤/ncn+로/jca
백제는	백제/nq+는/jxc
일본에	일본/nq+에/jca
더욱	더욱/mag
적극적으로	적극/ncn+적/xsn+으로/jca
진출하게	진출/ncpa+하/xsv+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
그래서	그래서/maj
지식과	지식/ncn+과/jcj
기술의	기술/ncn+의/jcm
여러	여러/mma
분야에	분야/ncn+에/jca
걸쳐	걸치/pvg+어/ecs
문화를	문화/ncn+를/jco
전수해	전수/ncpa+하/xsv+어/ecx
주고	주/px+고/ecc
,	,/sp
백제인들도	백제/nq+인/xsn+들/xsn+도/jxc
많이	많이/mag
일본에	일본/nq+에/jca
건너갔다	건너가/pvg+았/ep+다/ef
.	./sf
그런데	그런데/maj
이러한	이러하/pad+ㄴ/etm
문화	문화/ncn
전파	전파/ncn
과정이	과정/ncn+이/jcs
일본의	일본/nq+의/jcm
역사책들에는	역사/ncn+책/ncn+들/xsn+에는/jca
청동기	청동기/ncn
시대	시대/ncn
이후	이후/ncn
많은	많/paa+은/etm
귀화인이	귀화/ncn+인/xsn+이/jcs
반도에서	반도/ncn+에서/jca
일본으로	일본/nq+으로/jca
건너와	건너오/pvg+아/ecs
야마토	야마토/nq
정권에	정권/ncn+에/jca
봉사했다고	봉사/ncpa+하/xsv+었/ep+다고/ecs
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
야마토	야마토/nq
정권은	정권/ncn+은/jxc
일본	일본/nq
본토를	본토/ncn+를/jco
4세기	4/nno+세기/ncn
전반에	전반/ncn+에/jca
통일했는데	통일/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
반동에서	반동/nq+에서/jca
귀화인이	귀화/ncn+인/xsn+이/jcs
건너와	건너오/pvg+아/ecs
기술과	기술/ncn+과/jcj
지식을	지식/ncn+을/jco
전해	전하/pvg+어/ecx
주었고	주/px+었/ep+고/ecc
,	,/sp
야마토	야마토/nq
정권은	정권/ncn+은/jxc
이를	이/npd+를/jco
이용하여	이용/ncpa+하/xsv+어/ecs
정무를	정무/ncn+를/jco
개선하고	개선/ncpa+하/xsv+고/ecc
,	,/sp
여러	여러/mma
면에서	면/ncn+에서/jca
발전하였다	발전/ncpa+하/xsv+었/ep+다/ef
.	./sf
나아가	나아가/pvg+아/ecs
남한에	남한/nq+에/jca
진출하여	진출/ncpa+하/xsv+어/ecs
변한	변한/nq
지역에	지역/ncn+에/jca
임나일본부를	임나일본부/nq+를/jco
설치하고	설치/ncpa+하/xsv+고/ecc
,	,/sp
일본	일본/nq
관인을	관인/ncn+을/jco
두어	두/pvg+어/ecs
식민지로	식민/ncn+지/xsn+로/jca
지배하고	지배/ncpa+하/xsv+고/ecc
,	,/sp
백제에서도	백제/nq+에서/jca+도/jxc
조공을	조공/ncn+을/jco
받았다	받/pvg+았/ep+다/ef
한다	하/pvg+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
내용은	내용/ncn+은/jxc
고대	고대/ncn
일본의	일본/nq+의/jcm
역사책	역사/ncn+책/ncn
'	'/sl
고사기	고사기/nq
(	(/sl
古事記	古事記/nq
)'	)/sr+'/sr
와	와/jcj
'	'/sl
일본서기	일본서기/nq
(	(/sl
日本書紀	日本書紀/nq
)'	)/sr+'/sr
에	에/jca
따른	따르/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
역사서들은	역사/ncn+서/xsn+들/xsn+은/jxc
8세기	8/nno+세기/ncn
초에	초/ncn+에/jca
편찬되었는데	편찬/ncpa+되/xsv+었/ep+는데/ecs
,	,/sp
천황	천황/ncn
중심의	중심/ncn+의/jcm
지배	지배/ncn
체제가	체제/ncn+가/jcs
완성된	완성/ncpa+되/xsv+ㄴ/etm
뒤에	뒤/ncn+에/jca
그것을	그것/npd+을/jco
절대화시키려고	절대/ncn+화/xsn+시키/xsv+려고/ecs
일본	일본/nq
역사의	역사/ncn+의/jcm
기원을	기원/ncn+을/jco
단일한	단일/ncps+하/xsm+ㄴ/etm
것으로	것/nbn+으로/jca
꾸며	꾸미/pvg+어/ecx
놓은	놓/px+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
천황	천황/ncn
계보	계보/ncn
가운데	가운데/ncn
확실하다고	확실/ncps+하/xsm+다고/ecs
인정할	인정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것은	것/nbn+은/jxc
스이코	스이코/nq
천황	천황/ncn
때부터이다	때/ncn+부터/jxc+이/jp+다/ef
.	./sf
곧	곧/maj
,	,/sp
6	6/nno
세기	세기/ncn
말에서	말/ncn+에서/jca
7	7/nnc
세기	세기/ncn
초	초/ncn
무렵에	무렵/nbn+에/jca
와서야	오/pvg+아서/ecs
일본에	일본/nq+에/jca
통일된	통일/ncpa+되/xsv+ㄴ/etm
정권이	정권/ncn+이/jcs
형성된	형성/ncpa+되/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
스이코	스이코/nq
천황은	천황/ncn+은/jxc
호족들	호족/ncn+들/xsn
사이의	사이/ncn+의/jcm
싸움에서	싸움/ncn+에서/jca
승리한	승리/ncpa+하/xsv+ㄴ/etm
소가씨에	소가/ncn+씨/xsn+에/jca
의해	의하/pvg+어/ecs
추대되었으며	추대/ncpa+되/xsv+었/ep+으며/ecc
,	,/sp
이때까지도	이때/npd+까지/jxc+도/jxc
천황자리는	천황/ncn+자리/ncn+는/jxc
확고하지	확고/ncps+하/xsm+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
그렇다면	그렇다면/maj
귀화인이	귀화/ncn+인/xsn+이/jcs
일본에	일본/nq+에/jca
건너와서	건너오/pvg+아서/ecs
봉사했고	봉사/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
남한을	남한/nq+을/jco
식민지로	식민/ncn+지/xsn+로/jca
분할했다는	분할/ncpa+하/xsv+었/ep+다는/etm
것은	것/nbn+은/jxc
사실일	사실/ncn+이/jp+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
또	또/maj
,	,/sp
고대	고대/ncn
동아시아의	동/ncn+아시아/nq+의/jcm
역사와도	역사/ncn+와/jct+도/jxc
맞지	맞/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
그런데도	그렇/pad+ㄴ데도/ecs
,	,/sp
근대의	근대/ncn+의/jcm
용어인	용어/ncn+이/jp+ㄴ/etm
식민지	식민/ncn+지/xsn
침략을	침략/ncn+을/jco
정당화하려는	정당/ncn+화/xsn+하/xsv+려는/etm
의도에서였다	의도/ncn+에서/jca+이/jp+었/ep+다/ef
.	./sf
곧	곧/maj
,	,/sp
이러한	이러하/pad+ㄴ/etm
고대사	고대/ncn+사/xsn
인식은	인식/ncn+은/jxc
한국에	한국/nq+에/jca
대한	대하/pvg+ㄴ/etm
우월감을	우월/ncn+감/xsn+을/jco
내세우는	내세우/pvg+는/etm
근거가	근거/ncn+가/jcc
되어	되/pvg+어/ecs
,	,/sp
19세기	19/nno+세기/ncn
말에	말/ncn+에/jca
일본이	일본/nq+이/jcs
조선을	조선/nq+을/jco
침략하고	침략/ncpa+하/xsv+고/ecc
식민지로	식민/ncn+지/xsn+로/jca
지배한	지배/ncpa+하/xsv+ㄴ/etm
것도	것/nbn+도/jxc
옛날에	옛날/ncn+에/jca
잃었던	잃/pvg+었/ep+던/etm
것을	것/nbn+을/jco
다시	다시/mag
찾는	찾/pvg+는/etm
데	데/nbn
지나지	지나/pvg+지/ecx
않는다는	않/px+는다는/etm
식으로	식/ncn+으로/jca
나라	나라/ncn
안팎에	안팎/ncn+에/jca
선전하였다	선전/ncpa+하/xsv+었/ep+다/ef
.	./sf
몇	몇/mma
년	년/nbu
전	전/ncn
,	,/sp
백제와	백제/nq+와/jcj
일본의	일본/nq+의/jcm
특별한	특별/ncps+하/xsm+ㄴ/etm
관계를	관계/ncn+를/jco
들어	들/pvg+어/ecs
일본을	일본/nq+을/jco
'	'/sl
잃어버린왕국	잃/pvg+어/ecx+버리/px+ㄴ/etm+왕국/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
한	한/nnc
소설과	소설/ncn+과/jcj
TV	TV/f
프로가	프로/ncn+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
그러나	그러나/maj
백제인들이	백제/nq+인/xsn+들/xsn+이/jcs
일본에	일본/nq+에/jca
건너가	건너/pvg+어/ecx+가/px+아/ecs
일본의	일본/nq+의/jcm
지배층이	지배/ncn+층/ncn+이/jcc
되고	되/pvg+고/ecc
,	,/sp
선진	선진/ncn
문화를	문화/ncn+를/jco
가르쳤다고	가르치/pvg+었/ep+다고/ecx
해도	하/px+어도/ecs
,	,/sp
일본이	일본/nq+이/jcs
우리의	우리/npp+의/jcm
'	'/sl
잃어버린왕국	잃/pvg+어/ecx+버리/px+ㄴ/etm+왕국/nq
'	'/sr
일	이/jp+ㄹ/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
그것은	그것/npd+은/jxc
일본의	일본/nq+의/jcm
고대사	고대/ncn+사/xsn
가운데에서	가운데/ncn+에서/jca
설명되어야	설명/ncpa+되/xsv+어야/ecx
한다	하/px+ㄴ다/ef
.	./sf
'	'/sl
잃어버린왕국	잃/pvg+어/ecx+버리/px+ㄴ/etm+왕국/nq
'	'/sr
을	을/jco
쓴	쓰/pvg+ㄴ/etm
데	데/nbn
근거가	근거/ncn+가/jcc
되었던	되/pvg+었/ep+던/etm
일본의	일본/nq+의/jcm
역사책	역사/ncn+책/ncn
'	'/sl
고사기	고사기/nq
'	'/sr
와	와/jcj
'	'/sl
일본서기	일본서기/nq
'	'/sr
는	는/jxc
일본의	일본/nq+의/jcm
입장에서	입장/ncn+에서/jca
역사를	역사/ncn+를/jco
편찬한	편찬/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
일본의	일본/nq+의/jcm
지배층과	지배/ncn+층/ncn+과/jcj
지식인이	지식/ncn+인/xsn+이/jcs
백제	백제/nq
출신이라고	출신/ncn+이/jp+라고/ecs
해도	하/pvg+어도/ecs
,	,/sp
이들은	이/npd+들/xsn+은/jxc
일본에	일본/nq+에/jca
건너간	건너/pvg+어/ecx+가/px+아/ecs+ㄴ/etm
뒤	뒤/ncn
2세대	2/nno+세대/nbu
,	,/sp
