<tdmsfile>


자연이	자연/ncn+이/jcs
비누화하여	비누/ncn+화/xsn+하/xsv+어/ecs
얻어지는	얻/pvg+어/ecx+지/px+는/etm
지방산나트륨염인	지방/ncn+산/ncn+나트륨염/ncn+이/jp+ㄴ/etm
비누는	비누/ncn+는/jxc
Ca2	Ca/f+2/nnc
+	+/sy
Mg2	Mg2/f
+	+/sy
이	이/jcs
들어	들/pvg+어/ecx
있는	있/px+는/etm
센물에서는	센물/ncn+에서/jca+는/jxc
물에	물/ncn+에/jca
잘	잘/mag
녹지	녹/pvg+지/ecx
않는	않/px+는/etm
염을	염/ncn+을/jco
만들기	만들/pvg+기/etn
때문에	때문/nbn+에/jca
세척력이	세척/ncn+력/xsn+이/jcs
떨어집니다	떨어지/pvg+ㅂ니다/ef
.	./sf
2	2/nnc
RCOONa	RCOONa/f
+	+/sy
Ca2	Ca/f+2/nnc
+	+/sy
(	(/sl
RCOO	RCOO/f
)	)/sr
2	2/nnc
Ca	Ca/f
+	+/sy
2	2/nnc
Na	Na/f
+	+/sy
따라서	따라서/maj
비누는	비누/ncn+는/jxc
센물에서	센물/ncn+에서/jca
사용할	사용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없어서	없/paa+어서/ecs
만든	만들/pvg+ㄴ/etm
것이	것/nbn+이/jcs
합성세제	합성/ncn+세제/ncn
(	(/sl
계면활성제	계면/ncn+활성/ncn+제/xsn
)	)/sr
입니다	이/jp+ㅂ니다/ef
.	./sf
비누가	비누/ncn+가/jcs
물의	물/ncn+의/jcm
표면에	표면/ncn+에/jca
모여	모이/pvg+어/ecs
표면을	표면/ncn+을/jco
가능한	가능/ncps+하/xsm+ㄴ/etm
넓게	넓/paa+게/ecx
하려고	하/px+려고/ecs
하기	하/pvg+기/etn
때문에	때문/nbn+에/jca
물보다	물/ncn+보다/jca
비눗물의	비눗물/ncn+의/jcm
표면장력이	표면/ncn+장력/ncn+이/jcs
떨어지게	떨어지/pvg+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
계면활성제	계면/ncn+활성/ncn+제/xsn
중에서	중/nbn+에서/jca
물에	물/ncn+에/jca
녹아	녹/pvg+아/ecs
활성제의	활성/ncn+제/xsn+의/jcm
주체가	주체/ncn+가/jcs
음이온이	음이온/ncn+이/jcc
되는	되/pvg+는/etm
경우를	경우/ncn+를/jco
음이온	음이온/ncn
계면활성제라고	계면/ncn+활성/ncn+제/xsn+라/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
술폰산나트륨염에	술폰산나트륨염/ncn+에/jca
계면활성제를	계면/ncn+활성/ncn+제/xsn+를/jco
혼합하고	혼합/ncpa+하/xsv+고/ecs
,	,/sp
암모니아나	암모니아/ncn+나/jcj
극소량의	극소/ncn+량/ncn+의/jcm
글리세린을	글리세린/ncn+을/jco
가합니다	가하/pvg+ㅂ니다/ef
.	./sf
절대	절대/mag
눈에	눈/ncn+에/jca
들어가지	들/pvg+어/ecs+가/pvg+지/ecx
않도록	않/px+도록/ecs
하고	하/pvg+고/ecs
,	,/sp
만약	만약/mag
눈에	눈/ncn+에/jca
들어가면	들/pvg+어/ecs+가/pvg+면/ecs
즉시	즉시/mag
씻도록	씻/pvg+도록/ecs
하십시오	하/pvg+시/ep+ㅂ시오/ef
.	./sf
겨울철	겨울/ncn+철/ncn
,	,/sp
추울	춥/paa+ㄹ/etm
때	때/ncn
난로를	난로/ncn+를/jco
쬐면서	쬐/pvg+면서/ecs
비눗방울을	비눗방울/ncn+을/jco
만들어	만들/pvg+어/ecx
보고	보/px+고/ecx
싶을	싶/paa+을/etm
때가	때/ncn+가/jcs
있지요	있/paa+지/ef+요/jxf
?	?/sf
난로	난로/ncn
앞에서	앞/ncn+에서/jca
만든	만들/pvg+ㄴ/etm
비눗방울은	비눗방울/ncn+은/jxc
수분이	수분/ncn+이/jcs
증발되어	증발/ncpa+되/xsv+어/ecx
금방	금방/mag
터져버리고	터지/pvg+어/ecx+버리/px+고/ecx
맙니다	말/px+ㅂ니다/ef
.	./sf
이때	이/mmd+때/ncn
비눗방울을	비눗방울/ncn+을/jco
좀더	좀더/mag
두껍게	두껍/paa+게/ecs
만들	만들/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다/ef+면/ecs
비눗방울을	비눗방울/ncn+을/jco
훨씬	훨씬/mag
오래가게	오래/mag+가/pvg+게/ecx
할	하/px+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
이렇게	이렇/pad+게/ecs
난로	난로/ncn
앞에서	앞/ncn+에서/jca
만들어도	만들/pvg+어도/ecs
터지지	터지/pvg+지/ecx
않는	않/px+는/etm
비눗방울을	비눗방울/ncn+을/jco
만들려면	만들/pvg+려면/ecs
어떤	어떤/mmd
비눗물을	비눗물/ncn+을/jco
사용해야	사용/ncpa+하/xsv+어야/ecs
할까요	하/px+ㄹ까/ef+요/jxf
?	?/sf
150	150/nnc
cc	cc/su
의	의/jcm
물로	물/ncn+로/jca
청각채를	청각채/ncn+를/jco
끓이고	끓이/pvg+고/ecs
,	,/sp
거기에	거기/npd+에/jca
주방용	주방/ncn+용/xsn
액체비누를	액체/ncn+비누/ncn+를/jco
큰	크/paa+ㄴ/etm
잔으로	잔/ncn+으로/jca
세	세/nnc
잔	잔/nbu
정도	정도/ncn
넣습니다	넣/pvg+습니다/ef
.	./sf
이렇게	이렇/pad+게/ecs
만든	만들/pvg+ㄴ/etm
비눗방울은	비눗방울/ncn+은/jxc
그다지	그다지/mag
크지는	크/paa+지/ecx+는/jxc
않으나	않/px+으나/ecs
잘	잘/mag
보존하면	보존/ncpa+하/xsv+면/ecs
대단히	대단/ncn+히/xsa
오래갑니다	오래/mag+가/pvg+ㅂ니다/ef
.	./sf
청각	청각/ncn
녹조식물	녹조/ncn+식물/ncn
청각과에	청각/ncn+과/ncn+에/jca
속하는	속하/pvg+는/etm
바닷말로	바닷말/ncn+로/jca
1	1/nnc
깊은	깊/paa+은/etm
곳	곳/ncn
,	,/sp
파도의	파도/ncn+의/jcm
영향을	영향/ncn+을/jco
적게	적/paa+게/ecs
받는	받/pvg+는/etm
곳에서	곳/ncn+에서/jca
자라며	자라/pvg+며/ecs
우리나라	우리/npp+나라/ncn
전	전/mma
연안에서	연안/ncn+에서/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
비눗방울의	비눗방울/ncn+의/jcm
색깔을	색깔/ncn+을/jco
감상하려면	감상/ncpa+하/xsv+려면/ecs
색깔을	색깔/ncn+을/jco
즐기기	즐기/pvg+기/etn
위한	위하/pvg+ㄴ/etm
비눗방울의	비눗방울/ncn+의/jcm
막은	막/ncn+은/jxc
얇아야	얇/paa+아야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
얇은	얇/paa+은/etm
막일수록	막/ncn+이/jp+ㄹ수록/ecs
가시광선	가시/ncn+광선/ncn
영역의	영역/ncn+의/jcm
파장과	파장/ncn+과/jcj
두께가	두께/ncn+가/jcs
비슷해져서	비슷/ncps+하/xsm+어/ecx+지/px+어서/ecs
간섭현상이	간섭/ncn+현상/ncn+이/jcs
잘	잘/mag
일어나	일어나/pvg+아/ecs
아름다운	아름/ncps+답/xsm+ㄴ/etm
색깔을	색깔/ncn+을/jco
감상할	감상/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있지요	있/paa+지/ef+요/jxf
.	./sf
이것은	이것/npd+은/jxc
아주	아주/mag
가벼워서	가볍/paa+어서/ecs
바람이	바람/ncn+이/jcs
조금만	조금/ncn+만/jx
부는	불/pvg+는/etm
날에도	날/ncn+에/jca+도/jxc
바람을	바람/ncn+을/jco
타고	타/pvg+고/ecs
아주	아주/mag
멀리까지	멀리/mag+까지/jxc
갑니다	가/pvg+ㅂ니다/ef
.	./sf
특히	특히/mag
많은	많/paa+은/etm
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
때에는	때/ncn+에/jca+는/jxc
송진	송진/ncn
,	,/sp
청각채	청각채/ncn
,	,/sp
꿀을	꿀/ncn+을/jco
주방용	주방/ncn+용/xsn
액체비누에	액체/ncn+비누/ncn+에/jca
가하면	가하/pvg+면/ecs
향기롭고	향기/ncn+롭/xsm+고/ecc
얇은	얇/paa+은/etm
비눗방울을	비눗방울/ncn+을/jco
만들어	만들/pvg+어/ecs
즐길	즐기/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
커다란	커다랗/paa+ㄴ/etm
비눗방울	비눗방울/ncn
직경	직경/ncn
30	30/nnc
cm	cm/su
정도를	정도/ncn+를/jco
만들기	만들/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
세탁용이나	세탁/ncn+용/xsn+이나/jcj
주방용	주방/ncn+용/xsn
비누를	비누/ncn+를/jco
사용합니다	사용/ncpa+하/xsv+ㅂ니다/ef
.	./sf
빨대에	빨대/ncn+에/jca
비눗물을	비눗물/ncn+을/jco
충분히	충분/ncn+히/xsa
묻힌	묻히/pvg+ㄴ/etm
채	채/nbn
천천히	천천/ncn+히/xsa
불면	불/pvg+면/ecs
비눗방울이	비눗방울/ncn+이/jcs
30	30/nnc
cm	cm/su
까지	까지/jxc
부풀어	부풀/pvg+어/ecs
오릅니다	오르/pvg+ㅂ니다/ef
.	./sf
비누	비누/ncn
+	+/sy
설탕	설탕/ncn
비누	비누/ncn
+	+/sy
송진	송진/ncn
비누	비누/ncn
+	+/sy
차	차/ncn
찌꺼기	찌꺼기/ncn
우려먹고	우리/pvg+어/ecs+먹/pvg+고/ecx
난	나/px+ㄴ/etm
차	차/ncn
(	(/sl
걸러서	거르/pvg+어서/ecs
사용	사용/ncn
)	)/sr
샴푸	샴푸/ncn
+	+/sy
송진	송진/ncn
주방용	주방/ncn+용/xsn
세제	세제/ncn
+	+/sy
차	차/ncn
찌꺼기	찌꺼기/ncn
,	,/sp
설탕	설탕/ncn
크기	크기/ncn
30	30/nnc
l	l/su
는	는/jxc
사람의	사람/ncn+의/jcm
폐활량의	폐활/ncn+량/ncn+의/jcm
한계입니다	한계/ncn+이/jp+ㅂ니다/ef
.	./sf
기계로	기계/ncn+로/jca
비눗방울을	비눗방울/ncn+을/jco
만드는	만들/pvg+는/etm
것은	것/nbn+은/jxc
,	,/sp
특수한	특수/ncps+하/xsm+ㄴ/etm
액으로	액/ncn+으로/jca
만든다는	만들/pvg+ㄴ다/ef+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
비눗물과	비눗물/ncn+과/jcj
공기만으로	공기/ncn+만/jxc+으로/jca
크게	크/paa+게/ecs
만든다는	만들/pvg+ㄴ다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그	그/mmd
예로	예/ncn+로/jca
칠엽수	칠엽수/ncn
열매는	열매/ncn+는/jxc
겉보기엔	겉/ncn+보기/ncn+에/jca+ㄴ/jxc
까칠까칠한	까칠까칠/mag+하/xsm+ㄴ/etm
느낌이	느낌/ncn+이/jcs
들어	들/pvg+어/ecs
아름답다고	아름/ncps+답/xsm+다/ef+고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
없지만	없/paa+지만/ecs
,	,/sp
흥미있는	흥미/ncn+있/paa+는/etm
실험재료입니다	실험/ncn+재료/ncn+이/jp+ㅂ니다/ef
.	./sf
칠엽수	칠엽수/ncn
열매의	열매/ncn+의/jcm
껍질을	껍질/ncn+을/jco
벗기고	벗기/pvg+고/ecs
얇게	얇/pvg+게/ecs
썰어	썰/pvg+어/ecs
즙을	즙/ncn+을/jco
내어	내/pvg+어/ecs
주둥이가	주둥이/ncn+가/jcs
큰	크/paa+ㄴ/etm
병에	병/ncn+에/jca
넣습니다	넣/pvg+습니다/ef
.	./sf
이	이/mmd
열매에는	열매/ncn+에/jca+는/jxc
수분이	수분/ncn+이/jcs
있어	있/paa+어/ecs
자체로도	자체/ncn+로/jca+도/jxc
괜찮지만	괜찮/paa+지만/ecs
,	,/sp
더운	덥/paa+ㄴ/etm
물을	물/ncn+을/jco
조금	조금/mag
부으면	붓/pvg+으면/ecs
더	더/mag
좋습니다	좋/paa+습니다/ef
.	./sf
여기에	여기/npd+에/jca
암모니아수를	암모니아수/ncn+를/jco
한두	한두/nnc
방울	방울/nbu
떨어뜨린	떨어뜨리/pvg+ㄴ/etm
후	후/ncn
,	,/sp
뚜껑을	뚜껑/ncn+을/jco
덮고	덮/pvg+고/ecs
일주일	일/nnc+주일/nbu
정도	정도/ncn
놓아	놓/pvg+아/ecx
둡니다	두/px+ㅂ니다/ef
.	./sf
프랑스	프랑스/nq
파리의	파리/nq+의/jcm
가로수로	가로수/ncn+로/jca
유명하며	유명/ncps+하/xsm+며/ecs
우리나라에는	우리/npp+나라/ncn+에/jca+는/jxc
덕수궁	덕수궁/nq
뒷문	뒷문/ncn
근처에	근처/ncn+에/jca
큰	크/paa+ㄴ/etm
나무가	나무/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
세제로	세제/ncn+로/jca
만든	만들/pvg+ㄴ/etm
비눗물은	비눗물/ncn+은/jxc
비눗방울을	비눗방울/ncn+을/jco
만들기	만들/pvg+기/etn
쉽다고	쉽/paa+다/ef+고/jcr
많은	많/paa+은/etm
학자와	학자/ncn+와/jcj
연구자들은	연구/ncn+자/xsn+들/xsn+은/jxc
말합니다만	말/ncpa+하/xsv+ㅂ니다/ef+만/jxc
세제는	세제/ncn+는/jxc
여러	여러/mma
가지로	가지/nbu+로/jca
좋지	좋/paa+지/ecx
않으니	않/px+으니/ecs
충분히	충분/ncn+히/xsa
주의해야	주의/ncpa+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
엄마가	엄마/ncn+가/jcs
주방용	주방/ncn+용/xsn
세제를	세제/ncn+를/jco
컵에	컵/ncn+에/jca
담아	담/pvg+아/ecs
아이가	아이/ncn+가/jcs
혼자	혼자/mag
놀도록	놀/pvg+도록/ecs
직접	직접/mag
준다는	주/pvg+ㄴ다/ef+는/tm
이야기를	이야기/ncn+를/jco
들었습니다	듣/pvg+었/ep+습니다/ef
.	./sf
습기를	습기/ncn+를/jco
잘	잘/mag
유지해야	유지/ncpa+하/xsv+어야/ecs
비눗방울	비눗방울/ncn
놀이는	놀이/ncn+는/jxc
재미있지만	재미/ncn+있/paa+지만/ecs
금방	금방/mag
터져버려	터지/pvg+어/ecx+버리/px+어/ecs
안타깝습니다	안타깝/paa+습니다/ef
.	./sf
잘	잘/mag
터지지	터지/pvg+지/ecx
않고	않/px+고/ecc
오래가는	오래/mag+가/pvg+는/etm
비눗방울을	비눗방울/ncn+을/jco
만들려면	만들/pvg+려면/ecs
비눗물을	비눗물/ncn+을/jco
잘	잘/mag
만드는	만들/pvg+는/etm
것도	것/nbn+도/jxc
좋지만	좋/paa+지만/ecs
무엇보다도	무엇/npd+보다/jca+도/jxc
습기가	습기/ncn+가/jcs
잘	잘/mag
유지되는	유지/ncpa+되/xsv+는/etm
곳에서	곳/ncn+에서/jca
비눗방울을	비눗방울/ncn+을/jco
만드는	만들/pvg+는/etm
것이	것/nbn+이/jcs
중요합니다	중요/ncps+하/xsm+ㅂ니다/ef
.	./sf
이럴	이렇/pad+ㄹ/etm
때는	때/ncn+는/jxc
가습기를	가습/ncn+기/xsn+를/jco
설치한다든지	설치/ncpa+하/xsv+ㄴ다/ef+든지/ecc
,	,/sp
물을	물/ncn+을/jco
끓여	끓이/pvg+어/ecs
수증기를	수증기/ncn+를/jco
만들어	만들/pvg+어/ecx
두는	두/px+는/etm
것이	것/nbn+이/jcs
좋습니다	좋/paa+습니다/ef
.	./sf
습기가	습기/ncn+가/jcs
있는데도	있/paa+는데/ecs+도/jxc
잘	잘/mag
안	안/mag
되는	되/pvg+는/etm
것은	것/nbn+은/jxc
비눗방울을	비눗방울/ncn+을/jco
만드는	만들/pvg+는/etm
기구가	기구/ncn+가/jcs
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
것인지	것/nbn+이/jp+ㄴ지/ef
한	한/nnc
번	번/nbu
더	더/mag
살펴	살피/pvg+어/ecx
보시기	보/px+시/ep+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
.	./sf
우리	우리/npp
눈에	눈/ncn+에/jca
보이지	보이/pvg+지/ecx
않는	않/px+는/etm
기름이나	기름/ncn+이나/jcj
때가	때/ncn+가/jcs
있는	있/paa+는/etm
그릇을	그릇/ncn+을/jco
이용하면	이용/ncpa+하/xsv+면/ecs
잘	잘/mag
안	안/mag
만들어집니다	만들/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf
비눗방울을	비눗방울/ncn+을/jco
잡아둔다	잡/pvg+아/ecx+두/px+ㄴ다/ef
비눗방울이	비눗방울/ncn+이/jcs
날아가는	날/pvg+아/ecs+가/pvg+는/etm
모습도	모습/ncn+도/jxc
재미있지만	재미/ncn+있/paa+지만/ecs
오랫동안	오랫동안/ncn
가까이	가깝/paa+이/xsa
두고	두/pvg+고/ecs
관찰해	관찰/ncpa+하/xsv+어/ecx
보고	보/px+고/ecx
싶기도	싶/px+기/etn+도/jxc
하지요	하/pvg+지/ef+요/jxf
.	./sf
그러려면	그러/pvd+려면/ecs
비눗방울을	비눗방울/ncn+을/jco
곁에	곁/ncn+에/jca
잡아두고	잡/pvg+아/ecx+두/px+고/ecs
오랫동안	오랫동안/ncn
볼	보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
방법을	방법/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
내야	내/px+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
비눗방울	비눗방울/ncn
스탠드를	스탠드/ncn+를/jco
만들어	만들/pvg+어/ecs
비눗방울이	비눗방울/ncn+이/jcs
편히	편히/mag
쉴	쉬/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
해주면	하/pvg+어/ecx+주/px+면/ecs
어떨까요	어떻/pad+ㄹ까/ef+요/jxf
?	?/sf
재빨리	재빠르/paa+이/xsa
그리고	그리고/maj
조심스럽게	조심/ncpa+스럽/xsm+게/ecs
하지	하/pvg+지/ecx
않으면	않/px+으면/ecs
비눗방울이	비눗방울/ncn+이/jcs
터지고	터지/pvg+고/ecx
맙니다	말/px+ㅂ니다/ef
.	./sf
좀더	좀더/mag
오랫동안	오랫동안/ncn
터지지	터지/pvg+지/ecx
않게	않/px+게/ecs
만들려면	만들/pvg+려면/ecs
증발하는	증발/ncpa+하/xsv+는/etm
수분을	수분/ncn+을/jco
보충할	보충/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
둥근	둥글/paa+ㄴ/etm
테에	테/ncn+에/jca
붕대를	붕대/ncn+를/jco
감고	감/pvg+고/ecs
비눗물을	비눗물/ncn+을/jco
적셔	적시/pvg+어/ecx
두는	두/px+는/etm
것이	것/nbn+이/jcs
좋겠지요	좋/paa+겠/ep+지/ef+요/jxf
.	./sf
비눗물을	비눗물/ncn+을/jco
잘	잘/mag
보관하려면	보관/ncpa+하/xsv+려면/ecs
비눗물은	비눗물/ncn+은/jxc
경우에	경우/ncn+에/jca
따라	따르/pvg+아/ecs
잘	잘/mag
만들어지기도	만들/pvg+어/ecx+지/px+기/etn+도/jxc
하고	하/pvg+고/ecs
그렇지	그렇/pad+지/ecx
못하기도	못하/px+기/etn+도/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf
잘	잘/mag
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
비눗물을	비눗물/ncn+을/jco
보관해서	보관/ncpa+하/xsv+어서/ecs
비눗물	비눗물/ncn
만드는	만들/pvg+는/etm
방법을	방법/ncn+을/jco
알아	알/pvg+아/ecx
두면	두/px+면/ecs
다음	다음/ncn
번에	번/nbn+에/jca
사용할	사용/ncpa+하/xsv+ㄹ/etm
때	때/ncn
시간이	시간/ncn+이/jcs
절약됩니다	절약/ncpa+되/xsv+ㅂ니다/ef
.	./sf
비눗물은	비눗물/ncn+은/jxc
예민해서	예민/ncps+하/xsm+어서/ecs
변하기	변하/pvg+기/etn
쉬우므로	쉽/paa+으므로/ecs
빛이	빛/ncn+이/jcs
투과하지	투과/ncpa+하/xsv+지/ecx
못하는	못하/px+는/etm
갈색병	갈색/ncn+병/ncn
(	(/sl
맥주병이나	맥주/ncn+병/ncn+이나/jcj
아이스크림병	아이스크림/ncn+병/ncn
)	)/sr
에	에/jca
넣어	넣/pvg+어/ecs
보관하십시오	보관/ncpa+하/xsv+시/ep+ㅂ시오/ef
.	./sf
물로	물/ncn+로/jca
씻어도	씻/pvg+어도/ecs
떨어지지	떨어지/pvg+지/ecx
않던	않/px+던/etm
오물이	오물/ncn+이/jcs
비눗물에는	비눗물/ncn+에/jca+는/jxc
섞이는	섞이/pvg+는/etm
경우가	경우/ncn+가/jcs
있으므로	있/paa+으므로/ecs
잘	잘/mag
씻어야	씻/pvg+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
특히	특히/mag
녹말풀을	녹말/ncn+풀/ncn+을/jco
넣었을	넣/pvg+었/ep+을/etm
때는	때/ncn+는/jxc
곰팡이가	곰팡이/ncn+가/jcs
생기지	생기/pvg+지/ecx
않게	않/px+게/ecs
가능하면	가능/ncps+하/xsm+면/ecs
병을	병/ncn+을/jco
진공으로	진공/ncn+으로/jca
하여	하/pvg+어/ecx
둡니다	두/px+ㅂ니다/ef
.	./sf
진공을	진공/ncn+을/jco
만드는	만들/pvg+는/etm
방법은	방법/ncn+은/jxc
병을	병/ncn+을/jco
뜨겁게	뜨겁/paa+게/ecs
한	하/pvg+ㄴ/etm
상태에서	상태/ncn+에서/jca
밀봉을	밀봉/ncn+을/jco
하면	하/pvg+면/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
둘째마당	둘째/nno+마당/ncn
재료	재료/ncn
찾아내기	찾/pvg+아/ecx+내/px+기/etn
첫째갈래	첫째/nno+갈래/nbu
뜻밖의	뜻밖/ncn+의/jcm
경우	경우/ncn
비눗방울의	비눗방울/ncn+의/jcm
재료를	재료/ncn+를/jco
찾아	찾/pvg+아/ecs
떠나오긴	떠나/pvg+아/ecs+오/pvg+기/etn+ㄴ/jx
했는데	하/pvg+었/ep+는데/ef
어디서	어디/npd+서/jca
어떻게	어떻/pad+게/ecs
찾아야	찾/pvg+아야/ecs
할지	하/px+ㄹ지/ef
막막하군요	막막/ncps+하/xsm+군/ef+요/jxf
.	./sf
남다른	남/ncn+다르/paa+ㄴ/etm
아이디어로	아이디어/ncn+로/jca
특이한	특이/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
찾아	찾/pvg+아/ecx
보려면	보/px+려면/ecs
차근차근	차근차근/mag
남보다	남/ncn+보다/jca
침착하게	침착/ncps+하/xsm+게/ecs
문제를	문제/ncn+를/jco
바라보고	바라보/pvg+고/ecs
주도면밀하게	주도면밀/ncpa+하/xsv+게/ecs
분석해	분석/ncpa+하/xsv+어/ecx
보아야	보/px+아야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
그렇게	그렇/pad+게/ecs
노력하는	노력/ncpa+하/xsv+는/etm
사람들이라면	사람/ncn+들/xsn+이/jp+라면/ecs
뜻밖의	뜻밖/ncn+의/jcm
문제라도	문제/ncn+라도/jxc
재미있게	재미/ncn+있/paa+게/ecs
해결할	해결/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
겁니다	거/nbn+ㅂ니다/ef
.	./sf
어느	어느/mmd
비누가	비누/ncn+가/jcs
어떤	어떤/mmd
성질을	성질/ncn+을/jco
가지고	가지/pvg+고/ecx
있는지	있/px+는지/ecs
충분히	충분/ncn+히/xsa
알고	알/pvg+고/ecx
있나요	있/px+나/ef+요/jxf
?	?/sf
비누에	비누/ncn+에/jca
대한	대하/pvg+ㄴ/etm
정보는	정보/ncn+는/jxc
먼저	먼저/mag
집에	집/ncn+에/jca
있는	있/paa+는/etm
비누나	비누/ncn+나/jcj
세제	세제/ncn
포장용기에	포장/ncn+용기/ncn+에/jca
쓰여진	쓰이/pvg+어/ecx+지/px+ㄴ/etm
것을	것/nbn+을/jco
참고로	참고/ncn+로/jca
알아	알/pvg+아/ecx
보고	보/px+고/ecs
,	,/sp
더	더/mag
많은	많/paa+은/etm
것이	것/nbn+이/jcs
필요할	필요/ncps+하/xsm+ㄹ/etm
때는	때/ncn+는/jxc
가까운	가깝/paa+ㄴ/etm
슈퍼에	슈퍼/ncn+에/jca
가서	가/pvg+서/ecs
주인아저씨께	주인/ncn+아저씨/ncn+께/jca
허락을	허락/ncn+을/jco
받은	받/pvg+은/etm
후	후/ncn
조사해	조사/ncpa+하/xsv+어/ecx
보는	보/px+는/etm
것도	것/nbn+도/jxc
좋을	좋/paa+을/etm
듯합니다	듯하/px+ㅂ니다/ef
.	./sf
그런데	그런데/maj
[	[/sl
비누	비누/ncn
]	]/sr
와	와/jcj
[	[/sl
세제	세제/ncn
]	]/sr
는	는/jxc
정확히	정확/ncn+히/xsa
표시되어	표시/ncpa+되/xsv+어/ecx
있으므로	있/px+으므로/ecs
구분하도록	구분/ncpa+하/xsv+도록/ecs
하십시오	하/pvg+시/ep+ㅂ시오/ef
.	./sf
*	*/sy
케이크의	케이크/ncn+의/jcm
재료도	재료/ncn+도/jxc
달걀	달걀/ncn
흰자위	흰자위/ncn
,	,/sp
항료원액	항료/ncn+원액/ncn
등의	등/nbn+의/jcm
첨가물은	첨가/ncn+물/xsn+은/jxc
남대문시장	남대문시장/nq
등의	등/nbn+의/jcm
식품재료	식품/ncn+재료/ncn
도매점에도	도매/ncn+점/xsn+에/jca+도/jxc
있지만	있/paa+지만/ecs
,	,/sp
케이크	케이크/ncn
재료를	재료/ncn+를/jco
전문으로	전문/ncn+으로/jca
판매하는	판매/ncpa+하/xsv+는/etm
곳에도	곳/ncn+에/jca+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
살	사/pvg+ㄹ/etm
때의	때/ncn+의/jcm
요령은	요령/ncn+은/jxc
한번에	한/nnc+번/nbu+에/jca
많이	많/paa+이/xsa
사지	사/pvg+지/ecx
않고	않/px+고/ecs
,	,/sp
조금씩	조금/ncn+씩/xsn
살	사/pvg+ㄹ/etm
것을	것/nbn+을/jco
권합니다	권하/pvg+ㅂ니다/ef
.	./sf
만약	만약/mag
산	사/pvg+ㄴ/etm
것이	것/nbn+이/jcs
비눗방울에	비눗방울/ncn+에/jca
적합하지	적합/ncpa+하/xsv+지/ecx
않아도	않/px+아도/ecs
,	,/sp
과자	과자/ncn
만드는	만들/pvg+는/etm
데	데/nbn
사용할	사용/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있기	있/paa+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
일반적으로	일반/ncn+적/xsn+으로/jca
물은	물/ncn+은/jxc
무색	무색/ncn
,	,/sp
무미	무미/ncn
,	,/sp
무취	무취/ncn
,	,/sp
투명한	투명/ncps+하/xsm+ㄴ/etm
물질이지만	물질/ncn+이/jp+지만/ecs
,	,/sp
비눗방울에	비눗방울/ncn+에/jca
적합한	적합/ncpa+하/xsv+ㄴ/etm
것과	것/nbn+과/jcj
그렇지	그렇/pad+지/ecx
않은	않/px+은/etm
것이	것/nbn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf
이	이/mmd
염이	염/ncn+이/jcs
물에	물/ncn+에/jca
녹아	녹/pvg+아/ecs
양이온과	양이온/ncn+과/jcj
음이온으로	음이온/ncn+으로/jca
나뉘어	나뉘/pvg+어/ecs
친수성기를	친/mma+수성기/ncn+를/jco
바깥쪽으로	바깥/ncn+쪽/nbn+으로/jca
하여	하/pvg+어/ecs
소수성기	소수성기/ncn
