아들은	아들/ncn+은/jxc
열등한	열등/ncps+하/xsm+ㄴ/etm
자식이	자식/ncn+이/jcs
태어나게	태어나/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
또한	또한/maj
범인	범인/ncn
(	(/sl
凡人	凡人/ncn
)	)/sr
에게도	에게/jca+도/jxc
우수한	우수/ncps+하/xsm+ㄴ/etm
유전자가	유전/ncn+자/xsn+가/jcs
다분히	다분/ncn+히/xsa
섞여	섞이/pvg+어/ecx
있으므로	있/px+으므로/ecs
자식이	자식/ncn+이/jcs
우연히	우연/ncn+히/xsa
그것만을	그것/npd+만/jxc+을/jco
받게	받/pvg+게/ecx
되면	되/px+면/ecs
'	'/sl
보통	보통/ncn
부모가	부모/ncn+가/jcs
천재를	천재/ncn+를/jco
낳는	낳/pvg+는/etm
'	'/sl
경우가	경우/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
T	T/f
라는	라/ef+는/etm
부인이	부인/ncn+이/jcs
그녀의	그녀/npp+의/jcm
말을	말/ncn+을/jco
들어보니	들/pvg+어/ecx+보/px+니/ecs
남편의	남편/ncn+의/jcm
형제	형제/ncn
중에	중/nbn+에/jca
색소성	nq[색소/ncn+성/xsn
건피증	건피/ncn+증/xsn]nq
(	(/sl
色素性	色素性/ncn
乾皮症	乾皮症/ncn
)	)/sr
의	의/jcm
환자가	환자/ncn+가/jcs
3	3/nnc
명이나	명/nbu+이나/jxc
발생하였다고	발생/ncpa+하/xsv+었/ep+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
이	이/mmd
병은	병/ncn+은/jxc
일광	일광/ncn
(	(/sl
日光	日光/ncn
)	)/sr
에	에/jca
대해서	대하/pvg+어서/ecs
피부가	피부/ncn+가/jcs
대단히	대단/ncn+히/xsa
민감한	민감/ncps+하/xsm+ㄴ/etm
까닭에	까닭/ncn+에/jca
얼굴	얼굴/ncn
등	등/nbn
광선이	광선/ncn+이/jcs
닿기	닿/pvg+기/etn
쉬운	쉽/paa+ㄴ/etm
피부가	피부/ncn+가/jcs
헐어서	헐/pvg+어서/ecs
암이	암/ncn+이/jcc
되어	되/pvg+어/ecs
,	,/sp
그대로	그대로/mag
방치하면	방치/ncpa+하/xsv+면/ecs
사망한다고	사망/ncpa+하/xsv+ㄴ다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
발병시	발병/ncn+시/xsn
수술해서	수술/ncpa+하/xsv+어서/ecs
제거하면	제거/ncpa+하/xsv+면/ecs
되지만	되/pvg+지만/ecs
그	그/mmd
상처가	상처/ncn+가/jcs
몹시	몹시/mag
흉악하며	흉악/ncps+하/xsm+며/ecs
마치	마치/mag
큰	크/paa+ㄴ/etm
화상	화상/ncn
(	(/sl
火傷	火傷/ncn
)	)/sr
을	을/jco
입은	입/pvg+은/etm
것	것/nbn
같다고	같/paa+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
그녀의	그녀/npp+의/jcm
시숙	시숙/ncn
(	(/sl
남편의	남편/ncn+의/jcm
형제	형제/ncn
)	)/sr
은	은/jxc
2	2/nnc
명이나	명/nbu+이나/jxc
이	이/mmd
병으로	병/ncn+으로/jca
사망하였고	사망/ncpa+하/xsv+었/ep+고/ecs
동생	동생/ncn
한	한/nnc
사람만	사람/ncn+만/jxc
수술에	수술/ncn+에/jca
성공해서	성공/ncpa+하/xsv+어서/ecs
아직	아직/mag
생존하고	생존/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
색소성	색소/ncn+성/xsn
건피증이	건피/ncn+증/xsn+이/jcs
도대체	도대체/mag
어떤	어떤/mma
병인지	병/ncn+이/jp+ㄴ지/ecs
그녀는	그녀/npp+는/jxc
아직	아직/mag
아무	아무/mma
것도	것/nbn+도/jxc
모르고	모르/pvg+고/ecx
있다	있/px+다/ef
.	./sf
중매	중매/ncn
결혼을	결혼/ncn+을/jco
한	하/pvg+ㄴ/etm
그는	그/npp+는/jxc
결혼	결혼/ncn
전에	전/ncn+에/jca
남편의	남편/ncn+의/jcm
동생이	동생/ncn+이/jcs
큰	크/paa+ㄴ/etm
흉터를	흉터/ncn+를/jco
가지고	가지/pvg+고/ecx
있다는	있/px+다/ef+는/etm
사실을	사실/ncn+을/jco
알았지만	알/pvg+았/ep+지만/ecs
대수롭게	대수/ncps+롭/xsm+게/ecc
생각하지	생각/ncpa+하/xsv+지/ecx
않았고	않/px+았/ep+고/ecc
또	또/maj
중매인이	중매/ncn+인/xsn+이/jcs
상대를	상대/ncn+를/jco
극구	극구/mag
칭찬하는	칭찬/ncpa+하/xsv+는/etm
바람에	바람/nbn+에/jca
두	두/nnc
말	말/ncn
않고	않/pvg+고/ecs
결혼을	결혼/ncn+을/jco
하였다는	하/pvg+었/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
결혼	결혼/ncn
직후	직후/ncn
다른	다르/paa+ㄴ/etm
형제들에게도	형제/ncn+들/xsn+에게/jca+도/jxc
환자가	환자/ncn+가/jcs
있었다는	있/paa+었/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
알고	알/pvg+고/ecx
나서야	나/px+서야/ecs
그녀는	그녀/npp+는/jxc
그	그/mmd
병이	병/ncn+이/jcs
유전병이라는	유전/ncn+병/ncn+이/jp+라/ef+는/etm
생각을	생각/ncn+을/jco
가졌다	가지/pvg+었/ep+다/ef
.	./sf
남편은	남편/ncn+은/jxc
건강하다고	건강/ncps+하/xsm+다/ef+고/jcr
하지만	하/pvg+지만/ecs
,	,/sp
남편의	남편/ncn+의/jcm
엄마	엄마/ncn
아빠도	아빠/ncn+도/jxc
역시	역시/mag
건강한	건강/ncpa+하/xsv+ㄴ/etm
상태로	상태/ncn+로/jca
이상아	이상/ncn+아/xsn
(	(/sl
異狀兒	異狀兒/ncn
)	)/sr
를	를/jco
3	3/nnc
명이나	명/nbu+이나/jxc
낳지	낳/pvg+지/ecx
않았는가	않/px+았/ep+는가/ef
.	./sf
그	그/mmd
병이	병/ncn+이/jcs
유전이라면	유전/ncn+이/jp+라면/ecs
남편도	남편/ncn+도/jxc
나쁜	나쁘/paa+ㄴ/etm
혈통을	혈통/ncn+을/jco
가지고	가지/pvg+고/ecx
있을	있/px+을/etm
확률이	확률/ncn+이/jcs
많다	많/paa+다/ef
.	./sf
그녀는	그녀/npp+는/jxc
고민	고민/ncn
끝에	끝/ncn+에/jca
상담을	상담/ncn+을/jco
하기로	하/pvg+기/etn+로/jca
결심하고	결심/ncpa+하/xsv+고/ecc
,	,/sp
잠깐	잠깐/mag
급한	급하/paa+ㄴ/etm
일로	일/ncn+로/jca
친정에	친정/ncn+에/jca
다녀	다니/pvg+어/ecx
오겠다고	오/px+겠/ep+다/ef+고/jcr
남편에게	남편/ncn+에게/jca
거짓말을	거짓말/ncn+을/jco
한	하/pvg+ㄴ/etm
후	후/ncn
곧장	곧장/mag
상경하였다고	상경/ncpa+하/xsv+였/ep+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
비율로	비율/ncn+로/jca
보면	보/pvg+면/ecs
색소성	색소/ncn+성/xsn
건피증의	건피/ncn+증/xsn+의/jcm
유전자가	유전/ncn+자/xsn+가/jcs
5	5/nnc
라면	라/ef+면/ecs
정상	정상/ncn
유전자는	유전/ncn+자/xsn+는/jxc
995	995/nnc
.	./sf
이들	이/npd+들/xsn
두	두/nnc
종류의	종류/ncn+의/jcm
유전자가	유전/ncn+자/xsn+가/jcs
서로	서로/mag
합해져서	합하/pvg+어/ecx+지/px+어서/ecs
인간은	인간/ncn+은/jxc
세	세/nnc
가지	가지/nbu
유형으로	유형/ncn+으로/jca
분류된다	분류/ncpa+되/xsv+ㄴ다/ef
.	./sf
정상	정상/ncn
유전자만	유전/ncn+자/xsn+만/jxc
2	2/nnc
개를	개/nbu+를/jco
가지고	가지/pvg+고/ecx
있는	있/px+는/etm
사람은	사람/ncn+은/jxc
건강하며	건강/ncpa+하/xsv+며/ecc
유전의	유전/ncn+의/jcm
걱정도	걱정/ncn+도/jxc
없다	없/paa+다/ef
.	./sf

이러한	이러하/pad+ㄴ/etm
경우	경우/ncn
정상적인	정상/ncn+적/xsn+이/jp+ㄴ/etm
편을	편/ncn+을/jco
우성	우성/ncn
(	(/sl
優性	優性/ncn
)	)/sr
이라	이/jp+라/ef
하고	하/pvg+고/ecs
색소성건피증과	색소성건피증/nq+과/jct
같이	같/paa+이/xsa
약한	약하/paa+ㄴ/etm
편을	편/ncn+을/jco
열성	열성/ncn
(	(/sl
劣性	劣性/ncn
)	)/sr
이라고	이/jp+라/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
현재	현재/ncn
증세가	증세/ncn+가/jcs
나타나지	나타나/pvg+지/ecx
않고	않/px+고/ecc
다만	다만/mag
병의	병/ncn+의/jcm
인자가	인자/ncn+가/jcs
숨어	숨/pvg+어/ecx
있어	있/px+어/ecs
열성이라고	열성/ncn+이라고/jxc
이름	이름/ncn
지었을	짓/pvg+었/ep+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
이	이/mmd
2	2/nnc
개의	개/nbu+의/jcm
악성	악성/ncn
유전자	유전/ncn+자/xsn
중	중/nbn
1	1/nnc
개는	개/nbu+는/jxc
아빠로부터	아빠/ncn+로/jca+부터/jxc
,	,/sp
다른	다르/paa+ㄴ/etm
1	1/nnc
개는	개/nbu+는/jxc
엄마로부터	엄마/ncn+로/jca+부터/jxc
받아들인	받/pvg+아/ecx+들이/px+ㄴ/etm
것이므로	것/nbn+이/jp+므로/ecs
환자의	환자/ncn+의/jcm
부모는	부모/ncn+는/jxc
둘	둘/nnc
다	다/mag
이	이/mmd
유전자를	유전/ncn+자/xsn+를/jco
가지고	가지/pvg+고/ecx
있었을	있/px+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
부모는	부모/ncn+는/jxc
모두	모두/mag
보인자가	보인/ncn+자/xsn+가/jcc
아니면	아니/paa+면/ecs
색소성	색소/nnc+성/xsn
건피증	건피/ncn+증/xsn
환자라고	환자/ncn+라고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
T	T/f
부인의	부인/ncn+의/jcm
남편의	남편/ncn+의/jcm
부모는	부모/ncn+는/jxc
모두	모두/mag
이상이	이상/ncn+이/jcs
없다고	없/paa+다/ef+고/jcr
하니	하/pvg+니/ecs
각기	각기/mag
보인자	보인/ncn+자/xsn
임에	이/jp+ㅁ/etn+에/jca
틀림없다	틀리/pvg+ㅁ/etn+없/paa+다/ef
.	./sf
보인자	보인/ncn+자/xsn
(	(/sl
保因者	保因者/ncn
)	)/sr
끼리	끼리/xsn
결혼하게	결혼/ncpa+하/xsv+게/ecx
되면	되/px+면/ecs
앞에서	앞/ncn+에서/jca
설명한	설명/ncpa+하/xsv+ㄴ/etm
바와	바/nbn+와/jct
같이	같/paa+이/xsa
보인자는	보인/ncn+자/xsn+는/jxc
정상	정상/ncn
유전자와	유전/ncn+자/xsn+와/jcj
병의	병/ncn+의/jcm
유전자를	유전/ncn+자/xsn+를/jco
각각	각각/mag
몇개씩	몇/nnc+개/nbu+씩/xsn
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
정자와	정자/ncn+와/jcj
난자가	난자/ncn+가/jcs
수정하는	수정/ncpa+하/xsv+는/etm
까닭에	까닭/ncn+에/jca
확률로	확률/ncn+로/jca
말하자면	말/ncpa+하/xsv+자면/ecs
,	,/sp
정상	정상/ncn
유전자만	유전/ncn+자/xsn+만/jxc
2	2/nnc
개	개/nbu
가진	가지/pvg+ㄴ/etm
수정란	수정란/ncn
(	(/sl
受精卵	受精卵/ncn
)	)/sr
이	이/jcs
1	1/nnc
이고	이/jp+고/ecs
,	,/sp
정상	정상/ncn
유전자와	유전/ncn+자/xsn+와/jcj
병	병/ncn
유전자를	유전/ncn+자/xsn+를/jco
1	1/nnc
개씩	개/nbu+씩/xsn
가진	가지/pvg+ㄴ/etm
수정란	수정란/ncn
(	(/sl
보인자가	보인/ncn+자/xsn+가/jcc
됨	되/pvg+ㅁ/etn
)	)/sr
이	이/jcs
2	2/nnc
이고	이/jp+고/ecs
,	,/sp
병유전자만	병/ncn+유전/ncn+자/xsn+만/jxc
2	2/nnc
개	개/nbu
겹친	겹치/pvg+ㄴ/etm
수정란	수정란/ncn
(	(/sl
색소성	색소/ncn+성/xsn
건피증	건피/ncn+증/xsn
환자	환자/ncn
)	)/sr
이	이/jcs
1	1/nnc
의	의/jcm
비율로	비율/ncn+로/jca
되는	되/pvg+는/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
운이	운/ncn+이/jcs
나쁘면	나쁘/paa+면/ecs
8	8/nnc
명의	명/nbu+의/jcm
형제	형제/ncn
중	중/nbn
3	3/nnc
명의	명/nbu+의/jcm
환자가	환자/ncn+가/jcs
발생한	발생/ncpa+하/xsv+ㄴ/etm
T	T/f
부인의	부인/ncn+의/jcm
가족처럼	가족/ncn+처럼/jca
되기	되/pvg+기/etn
쉽다	쉽/paa+다/ef
.	./sf
이상에서	이상/ncn+에서/jca
설명한	설명/ncpa+하/xsv+ㄴ/etm
바와	바/nbn+와/jct
같이	같/paa+이/xsa
T	T/f
부인의	부인/ncn+의/jcm
남편은	남편/ncn+은/jxc
외모는	외모/ncn+는/jxc
정상이지만	정상/ncn+이/jp+지만/ecs
아직	아직/mag
보인자의	보인/ncn+자/xsn+의/jcm
위험이	위험/ncn+이/jcs
남아	남/pvg+아/ecx
있다	있/px+다/ef
.	./sf
병의	병/ncn+의/jcm
유전자를	유전/ncn+자/xsn+를/jco
가지고	가지/pvg+고/ecx
있지	있/px+지/ecx
않을	않/px+을/etm
가능성이	가능/ncn+성/xsn+이/jcs
1	1/nnc
이라고	이/jp+라/ef+고/jcr
한다면	하/pvg+ㄴ다/ef+면/ecs
보인자의	보인/ncn+자/xsn+의/jcm
가능성은	가능/ncn+성/xsn+은/jxc
2	2/nnc
의	의/jcm
비율이기	비율/ncn+이/jp+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
보인자	보인/ncn+자/xsn
(	(/sl
保因者	保因者/ncn
)	)/sr
가	가/jcs
결혼하였을	결혼/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
가령	가령/mag
T	T/f
부인의	부인/ncn+의/jcm
남편이	남편/ncn+이/jcs
보인자라	보인/ncn+자/xsn+라/ecs
하더라도	하/pvg+더라도/ecs
그녀가	그녀/npp+가/jcs
정상이라면	정상/ncn+이/jp+라면/ecs
아기는	아기/ncn+는/jxc
병에	병/ncn+에/jca
걸리지	걸리/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
따라서	따라서/maj
그녀	그녀/npp
자신이	자신/ncn+이/jcs
동일한	동일/ncps+하/xsm+ㄴ/etm
병의	병/ncn+의/jcm
유전자를	유전/ncn+자/xsn+를/jco
숨긴	숨기/pvg+ㄴ/etm
보인자라면	보인/ncn+자/xsn+라면/ecs
비로소	비로소/mag
아기에게	아기/ncn+에게/jca
위험을	위험/ncn+을/jco
낳게	낳/pvg+게/ecx
한다	하/px+ㄴ다/ef
.	./sf
만일	만일/mag
아기가	아기/ncn+가/jcs
색소성	색소/ncn+성/xsn
건피증에	건피/ncn+증/xsn+에/jca
걸린다면	걸리/pvg+ㄴ다/ef+면/ecs
그것은	그것/npd+은/jxc
보인자끼리의	보인/ncn+자/xsn+끼리/xsn+의/jcm
결혼	결혼/ncn
(	(/sl
그림	그림/ncn
9	9/nnc
)	)/sr
이었다는	이/jp+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
의미하게	의미/ncpa+하/xsv+게/ecx
됨으로	되/px+ㅁ/etn+으로/jca
남편은	남편/ncn+은/jxc
물론이며	물론/ncn+이/jp+며/ecs
그녀도	그녀/npp+도/jxc
보인자라고	보인/ncn+자/xsn+라고/jcr
단정해도	단정/ncpa+하/xsv+어도/ecs
좋다	좋/paa+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
때	때/ncn
남편	남편/ncn
측에는	측/nbn+에/jca+는/jxc
3	3/nnc
명의	명/nbu+의/jcm
병자가	병자/ncn+가/jcs
있고	있/paa+고/ecs
여자	여자/ncn
측에는	측/nbn+에/jca+는/jxc
한	한/nnc
명도	명/nbu+도/jxc
없으므로	없/paa+으므로/ecs
남편	남편/ncn
측에만	측/nbn+에/jca+만/jxc
책임을	책임/ncn+을/jco
지우기	지우/pvg+기/etn
쉬우나	쉽/paa+나/ecs
결코	결코/mag
그렇지	그렇/pad+지/ecx
않다	않/px+다/ef
.	./sf
남편이나	남편/ncn+이나/jcj
그녀가	그녀/npp+가/jcs
다	다/mag
같이	같/paa+이/xsa
나쁜	나쁘/paa+ㄴ/etm
유전자를	유전/ncn+자/xsn+를/jco
한	한/nnc
개씩숨겨	개/nbu+씩/xsn+숨기/pvg+어/ecx
가지고	가지/pvg+고/ecx
있었을	있/px+었/ep+을/etm
것이며	것/nbn+이/jp+며/ecs
,	,/sp
혹시	혹시/mag
책임을	책임/ncn+을/jco
묻고자	묻/pvg+고자/ecs
한다면	하/pvg+ㄴ다/ef+면/ecs
그	그/mmd
책임	책임/ncn
또한	또한/maj
쌍방이	쌍방/ncn+이/jcs
똑같이	똑같/paa+이/xsa
지지	지/pvg+지/ecx
않으면	않/px+으면/ecs
안된다	안/mag+되/pvg+ㄴ다/ef
.	./sf
그러므로	그러므로/maj
나쁜	나쁘/paa+ㄴ/etm
유전자를	유전/ncn+자/xsn+를/jco
절대로	절대로/mag
가지고	가지/pvg+고/ecx
있지	있/px+지/ecx
않을	않/px+을/etm
자신이	자신/ncn+이/jcc
T	T/f
부인에게	부인/ncn+에게/jca
있다면	있/paa+다/ef+면/ecs
이대로	이/npd+대로/jca
결혼	결혼/ncn
생활를	생활/ncn+를/jco
계속해서	계속/ncpa+하/xsv+어서/ecs
아기를	아기/ncn+를/jco
낳아도	낳/pvg+아도/ecs
무방할	무방/ncps+하/xsm+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
혹시	혹시/mag
그녀에게도	그녀/npp+에게/jca+도/jxc
나쁜	나쁘/paa+ㄴ/etm
유전자가	유전/ncn+자/xsn+가/jcs
있을지도	있/paa+ㄹ지/ecs+도/jxc
모른다고	모르/pvg+ㄴ다/ef+고/jcr
한다면	하/pvg+ㄴ다/ef+면/ecs
상대방만을	상대/ncn+방/xsn+만/jxc+을/jco
탓할	탓/ncpa+하/xsv+ㄹ/etm
이유는	이유/ncn+는/jxc
없어질	없/paa+어/ecx+지/px+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
그녀가	그녀/npp+가/jcs
이	이/mmd
결혼을	결혼/ncn+을/jco
파괴하고	파괴/ncpa+하/xsv+고/ecc
다른	다르/paa+ㄴ/etm
남성과	남성/ncn+과/jct
결혼을	결혼/ncn+을/jco
한다고	하/pvg+ㄴ다/ef+고/jcr
해도	하/pvg+어도/ecs
역시	역시/mag
위험이	위험/ncn+이/jcs
완전히	완전/ncn+히/xsa
가신다고는	가시/pvg+ㄴ다/ef+고/jcr+는/jxc
단정할	단정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
남편의	남편/ncn+의/jcm
누이들이	누이/ncn+들/xsn+이/jcs
각기	각기/mag
시집을	시집/ncn+을/jco
갔지만	가/pvg+았/ep+지만/ecs
아이들은	아이/ncn+들/xsn+은/jxc
모두	모두/mag
건강한	건강/ncps+하/xsm+ㄴ/etm
듯하다	듯하/px+다/ef
.	./sf
또한	또한/maj
만일	만일/mag
자식이	자식/ncn+이/jcs
발병해도	발병/ncpa+하/xsv+어도/ecs
남편과	남편/ncn+과/jcj
자기의	자기/npp+의/jcm
책임이	책임/ncn+이/jcs
평등하다는	평등/ncps+하/xsm+다/ef+는/etm
것도	것/nbn+도/jxc
잘	잘/mag
이해해야	이해/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf

그러나	그러나/maj
자식이	자식/ncn+이/jcs
발병하지	발병/ncpa+하/xsv+지/ecx
않더라도	않/px+더라도/ecs
남편	남편/ncn
측에서	측/nbn+에서/jca
자식에게	자식/ncn+에게/jca
나쁜	나쁘/paa+ㄴ/etm
유전자가	유전/ncn+자/xsn+가/jcs
전염될	전염/ncpa+되/xsv+ㄹ/etm
가능성은	가능/ncn+성/xsn+은/jxc
남아	남/pvg+아/ecx
있다	있/px+다/ef
.	./sf
무서운	무섭/paa+ㄴ/etm
병의	병/ncn+의/jcm
유전자를	유전/ncn+자/xsn+를/jco
자기	자기/npp
자식들이	자식/ncn+들/xsn+이/jcs
가진다는	가지/pvg+ㄴ다/ef+는/etm
사실은	사실/ncn+은/jxc
생각만	생각/ncn+만/jxc
하여도	하/pvg+어도/ecs
떨릴	떨리/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
좌절한다고	좌절/ncpa+하/xsv+ㄴ다/ef+고/jcr
해서	하/pvg+어서/ecs
해결될	해결/ncpa+되/xsv+ㄹ/etm
일도	일/ncn+도/jxc
아니며	아니/paa+며/ecc
,	,/sp
좋고	좋/paa+고/ecc
나쁜	나쁘/paa+ㄴ/etm
일은	일/ncn+은/jxc
일종의	일종/ncn+의/jcm
운명이기	운명/ncn+이/jp+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이	이/mmd
운명은	운명/ncn+은/jxc
결혼	결혼/ncn
전	전/ncn
배우자	배우/ncn+자/xsn
선택을	선택/ncn+을/jco
어떻게	어떻/pad+게/ecc
잘	잘/mag
하느냐에	하/pvg+느냐/ef+에/jca
따라	따르/pvg+아/ecs
그	그/mmd
방향이	방향/ncn+이/jcs
달라질	다르/paa+아/ecx+지/px+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
보인자	보인/ncn+자/xsn
(	(/sl
保因者	保因者/ncn
)	)/sr
는	는/jxc
대단히	대단/ncn+히/xsa
많다	많/paa+다/ef
T	T/f
부인은	부인/ncn+은/jxc
유전이	유전/ncn+이/jcs
얼마나	얼마나/mag
무섭고	무섭/paa+고/ecc
중요한가를	중요/ncps+하/xsm+ㄴ가/ef+를/jco
처음으로	처음/ncn+으로/jca
느끼는	느끼/pvg+는/etm
듯했다	듯하/px+었/ep+다/ef
.	./sf
색소성	색소/ncn+성/xsn
건피증은	건피/ncn+증/xsn+은/jxc
2만	2만/nnc
명	명/nbu
중	중/nbn
1	1/nnc
명꼴	명/nbu+꼴/xsn
밖에	밖에/jxc
나타나지	나타나/pvg+지/ecx
않는	않/px+는/etm
희귀한	희귀/ncps+하/xsm+ㄴ/etm
병이지만	병/ncn+이/jp+지만/ecs
보인자는	보인/ncn+자/xsn+는/jxc
의외로	의외/ncn+로/jca
많다	많/paa+다/ef
.	./sf
동일한	동일/ncps+하/xsm+ㄴ/etm
열성	열성/ncn
유전을	유전/ncn+을/jco
하는	하/pvg+는/etm
병을	병/ncn+을/jco
헤아려	헤아리/pvg+어/ecx
보아도	보/px+아도/ecs
수백	수백/nnc
종류가	종류/ncn+가/jcs
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
백자	백자/ncn
(	(/sl
白子	白子/ncn
)	)/sr
의	의/jcm
유전자는	유전/ncn+자/xsn+는/jxc
100	100/nnc
명	명/nbu
중	중/nbn
1	1/nnc
명이	명/nbu+이/jcs
가지고	가지/pvg+고/ecx
있으며	있/px+으며/ecs
생후	생후/ncn
벙어리의	벙어리/ncn+의/jcm
보인자는	보인/ncn+자/xsn+는/jxc
50	50/nnc
명	명/nbu
중	중/nbn
1	1/nnc
명	명/nbu
,	,/sp
중증	중증/ncn
(	(/sl
重症	重症/ncn
)	)/sr
의	의/jcm
정신	정신/ncn
박약을	박약/ncn+을/jco
일으키는	일으키/pvg+는/etm
훼닐게튼	훼닐게튼/ncn
요증	요증/ncn
(	(/sl
尿症	尿症/ncn
)	)/sr
의	의/jcm
보인자는	보인/ncn+자/xsn+는/jxc
60	60/nnc
명	명/nbu
중	중/ncn
1	1/nnc
명	명/nbu
꼴이나	꼴/ncn+이나/jxc
된다	되/pvg+ㄴ다/ef
.	./sf
181820700 < </sl
표	표/ncn
3	3/nnc
>	>/sr
은	은/jxc
열성	열성/ncn
유전자	유전/ncn+자/xsn
중에서	중/nbn+에서/jca
7	7/nnc
종목을	종목/ncn+을/jco
선정해서	선정/ncpa+하/xsv+어서/ecs
보인자와	보인/ncn+자/xsn+와/jcj
환자가	환자/ncn+가/jcs
어느	어느/mmd
정도의	정도/ncn+의/jcm
비율로	비율/ncn+로/jca
발생하는가를	발생/ncpa+하/xsv+는가/ef+를/jco
나타낸	나타내/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
7	7/nno
종류를	종류/ncn+를/jco
합계한	합계/ncpa+하/xsv+ㄴ/etm
것만으로도	것/nbn+만/jxc+으로/jca+도/jxc
보인자는	보인/ncn+자/xsn+는/jxc
12	12/nnc
명	명/nbu
중	중/nbn
1	1/nnc
명	명/nbu
꼴이니	꼴/xsn+이/jp+니/ecs
수백	수백/nnc
종의	종/ncn+의/jcm
열성	열성/ncn
유전병을	유전/ncn+병/ncn+을/jco
합한다면	합하/pvg+ㄴ다/ef+면/ecs
결국	결국/mag
누구든지	누구/npp+든지/jxc
나쁜	나쁘/paa+ㄴ/etm
유전자를	유전/ncn+자/xsn+를/jco
몇	몇/nnc
개씩은	개/nbu+씩/xsn+은/jxc
반드시	반드시/mag
가지고	가지/pvg+고/ecx
있다는	있/px+다/ef+는/etm
사실이	사실/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
물론	물론/mag
T	T/f
부인도	부인/ncn+도/jxc
그러하고	그러하/pad+고/ecs
상담에	상담/ncn+에/jca
답하고	답/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
필자	필자/ncn
역시도	역시/ncn+도/jxc
예외는	예외/ncn+는/jxc
아니다	아니/paa+다/ef
.	./sf
이렇게	이렇/pad+게/ecx
해서	하/px+어서/ecs
발견된	발견/ncpa+되/xsv+ㄴ/etm
보인자는	보인/ncn+자/xsn+는/jxc
전체	전체/mma
보인자	보인/ncn+자/xsn
수의	수/ncn+의/jcm
극히	극히/mag
적은	적/paa+은/etm
일부에	일부/ncn+에/jca
지나지	지나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
유전학적인	유전/ncn+학/xsn+적xsn+이/jp+ㄴ/etm
입장에서	입장/ncn+에서/jca
본다면	보/pvg+ㄴ다/ef+면/ecs
완전한	완전/ncps+하/xsm+ㄴ/etm
삶은	삶/ncn+은/jxc
이	이/mmd
세상에	세상/ncn+에/jca
단	단/mma
한	한/nnc
명도	명/nbu+도/jxc
없다	없/paa+다/ef
.	./sf
그녀가	그녀/npp+가/jcs
자기	자기/npp
남편의	남편/ncn+의/jcm
아기를	아기/ncn+를/jco
낳지	낳/pvg+지/ecx
못한다면	못하/px+ㄴ다/ef+면/ecs
그	그/mmd
어떤	어떤/mma
남성의	남성/ncn+의/jcm
아기도	아기/ncn+도/jxc
낳지	낳/pvg+지/ecx
못할	못하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이치는	이치/ncn+는/jxc
알아도	알/pvg+아도/ecs
인간이	인간/ncn+이/jcs
가진	가지/pvg+ㄴ/etm
감정은	감정/ncn+은/jxc
그	그/mmd
이치를	이치/ncn+를/jco
묵살하는	묵살/ncpa+하/xsv+는/etm
경우가	경우/ncn+가/jcs
많다	많/paa+다/ef
.	./sf
그녀가	그녀/npp+가/jcs
시집에	시집/ncn+에/jca
남아	남/pvg+아/ecs
