<tdmsfile>
sbs.hwp
외환당국	외환/ncn+당국/ncn
퇴역식	퇴역/ncn+식/xsn
내내	내내/mag
아쉬운	아쉽/paa+ㄴ/etm
표정을	표정/ncn+을/jco
감추지	감추/pvg+지/ecs
못했습니다.	못하/px+었/ep+습니다/ef+./sf
지난	지나/pvg+ㄴ/etm
53년	53/nno+년/nbu
진수된	진수/ncpa+되/xsv+ㄴ/etm
브리타니아호는	브리타니아호/nq+는/jxc
그동안	그/mma+동안/ncn
찰스	찰스/nq
왕세자의	왕세자/ncn+의/jcm
신혼여행을	신혼/ncn+여행/ncn+을/jco
비롯해	비롯/ncpa+하/xsv+어/ecs
마흔번이나	마흔/nnc+번/nbu+이나/jxc
왕실	왕실/ncn
가족의	가족/ncn+의/jcm
세계여행에	세계/ncn+여행/ncn+에/jca
동행했습니다.	동행/ncpa+하/xsv+었/ep+습니다/ef+./sf
지난	지나/pvg+ㄴ/etm
7월	7/nno+월/nbu
홍콩반환	홍콩/nq+반환/ncn
직후	직후/ncn
패튼	패튼/nq
총독의	총독/ncn+의/jcm
귀국	귀국/ncn
임무를	임무/ncn+를/jco
끝으로	끝/ncn+으로/jca
퇴역한	퇴역/ncpa+하/xsv+ㄴ/etm
브리타니아호는	브리타니아호/nq+는/jxc
앞으로	앞/ncn+으로/jca
영빈관이나	영빈/ncn+관/xsn+이나/jcj
국제회의장으로	국제/ncn+회의/ncn+장/xsn+으로/jca
사용될	사용/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
SBS	SBS/f
이은종입니다	이은종/nq+이/jp+ㅂ니다/ef+./sf
국민회의	국민회의/nq
전의원	전/mma+의원/ncn
2명	2/nnc+명/nbu
숨진채	숨지/pvg+ㄴ/etm+채/nbn
발견	발견/ncn
오늘	오늘/ncn
오전	오전/ncn
11시쯤	11/nno+시/nbu+쯤/xsn
강원도	강원도/nq
속초시	속초시/nq
조양동	조양동/nq
조양비치여관	조양비치여관/ncn
206호와	206/nno+호/nbu+와/jcj
207호실에서	207/nno+호/nbu+실/xsn+에서/jca
새정치국민회의	새정치국민회의/nq
소속	소속/ncn
김옥천	김옥천/nq
전의원과	전/mma+의원/ncn+과/jcj
최정식	최정식/nq
전의원이	전/mma+의원/ncn+이/jcs
숨진채	숨지/pvg+ㄴ/etm+채/nbn
발견돼	발견/ncpa+되/xsv+어/ecs
경찰이	경찰/ncn+이/jcs
수사에	수사/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
김옥천	김옥천/nq
전의원은	전/mma+의원/ncn+은/jxc
206호에서,	206/nno+호/nbu+에서/jca+,/sp
최정식	최정식/nq
전의원은	전/mma+의원/ncn+은/jxc
207호에서	207/nno+호/nbu+에서/jca
각각	각각/mag
피부가	피부/ncn+가/jcs
푸르게	푸르/paa+게/ecs
변한	변하/pvg+ㄴ/etm
상태에서	상태/ncn+에서/jca
숨진	숨지/pvg+ㄴ/etm
채	채/nbn
발견됐습니다.	발견/ncpa+되/pvg+었/ep+습니다/ef+./sf
경찰은	경찰/ncn+은/jxc
이들이	이/npd+들/xsn+이/jcs
어제	어제/ncn
속초에서	속초/nq+에서/jca
열린	열리/pvg+ㄴ/etm
국민회의	국민회의/nq
정당연설회에	정당/ncn+연설/ncn+회/xsn+에/jca
참석했던	참석/ncpa+하/xsv+었/ep+던/etm
점을	점/ncn+을/jco
밝혀내고	밝히/pvg+어/ecx+내/px+고/ecs
정확한	정확/ncps+하/xsm+ㄴ/etm
사인을	사인/ncn+을/jco
조사중입니다.	조사/ncn+중/nbn+이/jp+ㅂ니다/ef+./sf
권영길후보,	권영길/nq+후보/ncn+,/sp
경제파탄	경제/ncn+파탄/ncn
규명	규명/ncn
국민승리	nq[국민/ncn+승리/ncn
21의	21/nnc]nq+의/jcm
권영길	권영길/nq
후보는	후보/ncn+는/jxc
오늘	오늘/ncn
부도가	부도/ncn+가/jcs
난	나/pvg+ㄴ/etm
고려증권	고려증권/nq
대구지점을	대구/nq+지점/ncn+을/jco
방문해	방문/ncpa+하/xsv+어/ecs
"IMF가	"/sl+IMF/f+가/jcs
국회의	국회/ncn+의/jcm
입법권까지	입법/ncn+권/xsn+까지/jxc
간섭하는	간섭/ncpa+하/xsv+는/etm
상황을	상황/ncn+을/jco
막아내지	막/pvg+아/ecx+내/px+지/ecx
못한데	못하/px+ㄴ데/ecs
사죄한다"면서	사죄/ncpa+하/xsv+ㄴ다/ef+"/sr+면서/ecs
특별검사제를	특별/ncn+검사/ncn+제/xsn+를/jco
도입해	도입/ncpa+하/xsv+어/ecs
경제파탄의	경제/ncn+파탄/ncn+의/jcm
원인과	원인/ncn+과/jcj
책임을	책임/ncn+을/jco
철저히	철저/ncn+히/xsa
규명할	규명/ncpa+하/xsv+ㄹ/etm
것을	것/nbn+을/jco
촉구했습니다.	촉구/ncpa+하/xsv+었/ep+습니다/ef+./sf
권	권/nq
후보는	후보/ncn+는/jxc
아울러	아울러/mag
기업의	기업/ncn+의/jcm
인수합병	인수/ncn+합병/ncn
과정에서	과정/ncn+에서/jca
발생할수	발생/ncpa+하/xsv+ㄹ/etm+수/nbn
있는	있/paa+는/etm
대량	대량/ncn
실업사태를	실업/ncn+사태/ncn+를/jco
막기	막/pvg+기/etn
위해,	위하/pvg+어/ecs+,/sp
고용안정	고용/ncn+안정/ncn
특별법을	특별/ncn+법/ncn+을/jco
제정할	제정/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
사채업자	사채/ncn+업자/ncn
강동호씨	강동호/nq+씨/xsn
수사	수사/ncn
서울	서울/nq
영등포	영등포/nq
경찰서는	경찰/ncn+서/xsn+는/jxc
오늘	오늘/ncn
사채업자인	사채/ncn+업자/ncn+이/jp+ㄴ/etm
서울	서울/nq
중화동	중화동/nq
강동호	강동호/nq
씨의	씨/xsn+의/jcm
집으로	집/ncn+으로/jca
출석요구서를	출석/ncn+요구/ncn+서/xsn+를/jco
보내	보내/pvg+어/ecx
오는	오/px+는/etm
15일	15/nno+일/nbu
오후	오후/ncn
3시까지	3/nno+시/nbu+까지/jxc
경찰로	경찰/ncn+로/jca
나와달라고	나오/pvg+아/ecx+달/pvg+라/ef+고/jcr
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
경찰은	경찰/ncn+은/jxc
강	강/nq
씨를	씨/xsn+를/jco
소환해	소환/ncpa+하/xsv+어/ecs
기자회견을	기자/ncn+회견/ncn+을/jco
하게	하/pvg+게/ecs
된	되/pvg+ㄴ/etm
경위와	경위/ncn+와/jcj
폭로의	폭로/ncn+의/jcm
진위여부	진위/ncn+여부/ncn
등	등/nbn
선거법	선거/ncn+법/ncn
위반혐의에	위반/ncn+혐의/ncn+에/jca
대해	대하/pvg+어/ecs
수사할	수사/ncpa+하/xsv+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
사채업자	사채/ncn+업자/ncn
강동호	강동호/nq
씨	씨/xsn
수사	수사/ncn
서울	서울/nq
영등포	영등포/nq
경찰서는	경찰/ncn+서/xsn+는/jxc
오늘	오늘/ncn
사채업자인	사채/ncn+업자/ncn+이/jp+ㄴ/etm
서울	서울/nq
중화동	중화동/nq
강동호	강동호/nq
씨의	씨/xsn+의/jcm
집으로	집/ncn+으로/jca
출석요구서를	출석/ncn+요구/ncn+서/xsn+를/jco
보내	보내/pvg+어/ecs
오는	오/pvg+는/etm
15일	15/nno+일/nbu
오후	오후/ncn
3시까지	3/nno+시/nbu+까지/jxc
경찰로	경찰/ncn+로/jca
나와달라고	나오/pvg+아/ecx+달/px+라/ef+고/jcr
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
경찰은	경찰/ncn+은/jxc
강	강/nq
씨를	씨/xsn+를/jco
소환해	소환/ncpa+하/xsv+어/ecs
기자회견을	기자/ncn+회견/ncn+을/jco
하게	하/pvg+게/ecs
된	되/pvg+ㄴ/etm
경위와	경위/ncn+와/jcj
폭로의	폭로/ncn+의/jcm
진위여부	진위/ncn+여부/ncn
등	등/nbn
선거법	선거/ncn+법/ncn
위반혐의에	위반/ncn+혐의/ncn+에/jca
대해	대하/pvg+어/ecs
수사할	수사/ncpa+하/xsv+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
막가파	막가파/nq
사형	사형/ncn
확정	확정/ncn
지난해	지나/pvg+ㄴ/etm+해/ncn
10월	10/nno+월/nbu
단란주점	단란주점/ncn
여주인을	여주인/ncn+을/jco
납치,	납치/ncn+,/sp
살해한	살해/ncpa+하/xsv+ㄴ/etm
혐의로	혐의/ncn+로/jca
구속기소된	구속/ncn+기소/ncpa+되/xsv+ㄴ/etm
조직폭력집단	조직/ncn+폭력/ncn+집단/ncn
'막가파'	'/sl+막가파/nq+'/sl
조직원들에	조직/ncn+원/xsn+들/xsn+에/jca
대해	대하/pvg+어/ecs
사형과	사형/ncn+과/jcj
무기징역이	무기/ncn+징역/ncn+이/jcs
최종	최종/ncn
확정됐습니다.	확정/ncpa+되/xsv+었/ep+습니다/ef+./sf
대법원	대/xp+법원/ncn
형사	형사/ncn
3부는	3/nnc+부/nbu+는/jxc
원심에서	원심/ncn+에서/jca
사형이	사형/ncn+이/jcs
선고된	선고/ncpa+되/xsv+ㄴ/etm
막가파	막가파/nq
두목	두목/ncn
최정수	최정수/nq
피고인과	피고/ncn+인/xsn+과/jcj
무기징역이	무기/ncn+징역/ncn+이/jcs
선고된	선고/ncpa+되/xsv+ㄴ/etm
조직원	조직/ncn+원/xsn
박지원	박지원/nq
피고인	피고/ncn+인/xsn
등	등/nbn
3명의	3/nnc+명/nbu+의/jcm
상고를	상고/ncn+를/jco
모두	모두/mag
기각해	기각/ncpa+하/xsv+어/ecs
원심대로	원심/ncn+대로/jxc
사형과	사형/ncn+과/jcj
무기징역을	무기/ncn+징역/ncn+을/jco
확정했습니다.	확정/ncpa+하/xsv+었/ep+습니다/ef+./sf
청룡영화상,	청룡영화상/nq+,/sp
초록물고기	초록물고기/nq
영화	영화/ncn
'초록물고기'가	'/sl+초록물고기/nq+'/sr+가/jcs
국립극장에서	국립극장/nq+에서/jca
오늘	오늘/ncn
열린	열리/pvg+ㄴ/etm
제18회	제/xp+18/nno+회/nbu
청룡영화상	청룡영화상/nq
시상식에서	시상/ncn+식/ncn+에서/jca
최우수작품상과	최우수/ncn+작품/ncn+상/ncn+과/jcj
감독상,	감독/ncn+상/ncn+,/sp
남우주연상,	남우/ncn+주연/ncn+상/ncn+,/sp
기술상	기술/ncn+상/ncn
등	등/nbn
4개부문의	4/nnc+개/nbu+부문/ncn+의/jcm
상을	상/ncn+을/jco
수상했습니다.	수상/ncpa+하/xsv+었/ep+습니다/ef+./sf
남우주연상은	남우/ncn+주연/ncn+상/ncn+은/jxc
'초록	'/sl+nq[초록/ncn
물고기'의	물고기/ncn]nq+'/sr+의/jcm
한석규,	한석규/nq+,/sp
여우주연상은	여우/ncn+주연/ncn+상/ncn+은/jxc
'창'의	'/sl+창/nq+'/sr+의/jcm
신은경,	신은경/nq+,/sp
그리고	그리고/maj
감독상은	감독/ncn+상/ncn+은/jxc
'초록물고기'의	'/sl+초록물고기/nq+'/sr+의/jcm
3후보:	3/nnc+후보/ncn+:/sp
잠시후	잠시/ncn+후/ncn
최종결전	최종/ncn+결전/ncn
이회창.	이회창/nq+./sf
김대중.	김대중/nq+./sf
이인제	이인제/nq
세	세/nnc
후보간의	후보/ncn+간/nbn+의/jcm
마지막	마지막/ncn
TV	TV/f
합동토론회가	합동/ncn+토론/ncn+회/xsn+가/jcs
앞으로	앞/ncn+으로/jca
20여분	20/nnc+여/xsn+분/nbu
뒤인	뒤/ncn+이/jp+ㄴ/etm
8시부터	8/nno+시/nbu+부터/jxc
시작됩니다.	시작/ncpa+되/xsv+ㅂ니다/ef+./sf
세	세/nnc
후보는	후보/ncn+는/jxc
조금전	조금/ncn+전/ncn
토론회가	토론/ncn+회/xsn+가/jcs
진행될	진행/ncpa+되/xsv+ㄹ/etm
SBS	SBS/f
탄현	탄현/nq
스튜디오에	스튜디오/ncn+에/jca
도착해	도착/ncpa+하/xsv+어/ecs
마지막	마지막/ncn
준비에	준비/ncn+에/jca
여념이	여념/ncn+이/jcs
없습니다.	없/paa+습니다/ef+./sf
김성준	김성준/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
대선	대선/ncn
레이스	레이스/ncn
종반의	종반/ncn+의/jcm
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
승부처가	승부/ncn+처/xsn+가/jcs
될	되/pvg+ㄹ/etm
마지막	마지막/ncn
텔레비젼	텔레비젼/ncn
토론회를	토론/ncn+회/xsn+를/jco
위해	위하/pvg+어/ecs
세	세/nnc
유력	유력/ncn
후보들이	후보/ncn+들/xsn+이/jcs
차례로	차례/ncn+로/jca
SBS	SBS/f
탄현	탄현/nq
스튜디오에	스튜디오/ncn+에/jca
도착했습니다.	도착/ncpa+하/xsv+었/ep+습니다/ef+./sf
잠시	잠시/mag
뒤	뒤/ncn
8시에	8/nno+시/nbu+에/jca
시작될	시작/ncpa+되/xsv+ㄹ/etm
이번	이/mmd+번/nbn
토론의	토론/ncn+의/jcm
주제는	주제/ncn+는/jxc
사회.	사회/ncn+./sf
안으로는	안/ncn+으로/jca+는/jxc
IMF	IMF/f
관리	관리/ncn
체제의	체제/ncn+의/jcm
고통이	고통/ncn+이/jcs
시작되고	시작/ncpa+되/xsv+고/ecs
밖으로는	밖/ncn+으로/jca+는/jxc
21세기를	21/nno+세기/nbu+를/jco
향한	향하/pvg+ㄴ/etm
변화가	변화/ncn+가/jcs
물결치는	물결/ncn+치/pvg+는/jxc
시점에서	시점/ncn+에서/jca
교육.	교육/ncn+./sf
환경.	환경/ncn+./sf
문화.	문화/ncn+./sf
보건	보건/ncn
등	등/nbn
민감한	민감/ncps+하/xsm+ㄴ/etm
과제에	과제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
각	각/mma
후보의	후보/ncn+의/jcm
정책과	정책/ncn+과/jcj
대안을	대안/ncn+을/jco
가늠하게	가늠/ncps+하/xsm+게/ecs
됩니다.	되/pvg+ㅂ니다/ef+./sf
여기에	여기/npd+에/jca
덧붙여	덧붙이/pvg+어/ecs
선거전의	선거/ncn+전/xsn+의/jcm
현안으로	현안/ncn+으로/jca
급부상한	급부상/ncn+하/xsv+ㄴ/etm
금융위기	금융/ncn+위기/ncn
책임론과	책임/ncn+론/xsn+과/jcj
폭로공방의	폭로/ncn+공방/ncn+의/jcm
진위,	진위/ncn+,/sp
그리고	그리고/maj
병역문제	병역/ncn+문제/ncn
등을	등/nbn+을/jco
둘러싸고	두르/pvg+어/ecs+싸/pvg+고/ecs
세	세/nnc
후보간의	후보/ncn+간/nbn+의/jcm
치열한	치열/ncps+하/xsm+ㄴ/etm
논쟁이	논쟁/ncn+이/jcs
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
특히	특히/mag
어제	어제/ncn
청와대	청와대/nq
회담에서	회담/ncn+에서/jca
예고된	예고/ncpa+되/xsv+ㄴ/etm
대로	대로/nbn
IMF	IMF/f
재협상론	재/xp+협상/ncn+론/xsn
책임	책임/ncn
문제와	문제/ncn+와/jct
관련한	관련/ncpa+하/xsv+ㄴ/etm
이회창.	이회창/nq+./sf
김대중	김대중/nq
두	두/nnc
후보간의	후보/ncn+간/nbn+의/jcm
설전이	설전/ncn+이/jcs
토론을	토론/ncn+을/jco
뜨겁게	뜨겁/paa+게/ecs
달굴	달구/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
각	각/mma
후보	후보/ncn
진영은	진영/ncn+은/jxc
그동안	그/mmd+동안/ncn
약점으로	약점/ncn+으로/jca
지적돼	지적/ncpa+되/xsv+어/ecx
온	오/px+ㄴ/etm
문제들을	문제/ncn+들/xsn+을/jco
보완해	보완/ncpa+하/xsv+어/ecs
완성된	완성/ncpa+되/xsv+ㄴ/etm
후보의	후보/ncn+의/jcm
모습을	모습/ncn+을/jco
부각시킨다는	부각/ncpa+시키/xsv+ㄴ다/ef+는/etm
전략아래	전략/ncn+아래/ncn
논리개발과	논리/ncn+개발/ncn+과/jcj
이미지	이미지/ncn
손질에	손질/ncn+에/jca
총력을	총력/ncn+을/jco
기울였습니다.	기울이/pvg+었/ep+습니다/ef+./sf
후보	후보/ncn
본인들도	본인/ncn+들/xsn+도/jxc
오늘	오늘/ncn
유세일정을	유세/ncn+일정/ncn+을/jco
대폭	대폭/mag
축소하거나	축소/ncpa+하/xsv+거나/ecc
아예	아예/mag
취소하고	취소/ncpa+하/xsv+고/ecs
토론내용분석과	토론/ncpa+내용/ncn+분석/ncpa+과/jct
함께	함께/mag
지친	지치/pvg+ㄴ/etm
몸을	몸/ncn+을/jco
가다듬는	가다듬/pvg+는/etm
등	등/nbn
하루종일	하루/ncn+종일/ncn
토론회	토론/ncn+회/xsn
준비에	준비/ncn+에/jca
몰두했습니다.	몰두/ncpa+하/xsv+었/ep+습니다/ef+./sf
SBS는	SBS/f+는/jxc
잠시	잠시/mag
뒤	뒤/ncn
8시부터	8/nno+시/nbu+부터/jxc
이	이/mmd
자리에서	자리/ncn+에서/jca
열리는	열리/pvg+는/etm
토론회를	토론/ncn+회/xsn+를/jco
텔리비젼과	텔리비젼/ncn+과/jcj
라디오로	라디오/ncn+로/jca
2시간에	2/nnc+시간/nbu+에/jca
걸쳐	걸치/pvg+어/ecs
생중계합니다.	생/xp+중계/ncpa+하/xsv+ㅂ니다/ef+./sf
SBS	SBS/f
김성준입니다.	김성준/nq+이/jp+ㅂ니다/ef+./sf
치열한	치열/ncps+하/xsm+ㄴ/etm
마지막	마지막/ncn
공방	공방/ncn
세	세/nnc
후보는	후보/ncn+는/jxc
어제밤	어제/ncn+밤/ncn
토론회가	토론/ncn+회/xsn+가/jcs
마지막	마지막/ncn
대결이라는	대결/ncn+이/jp+라/ef+는/etm
점을	점/ncn+을/jco
의식한	의식/ncpa+하/xsv+ㄴ/etm
듯	듯/nbn
대선가도의	대선/ncn+가도/ncn+의/jcm
쟁점이	쟁점/ncn+이/jcs
됐던	되/pvg+었/ep+던/etm
모든	모든/mma
정치이슈에	정치/ncn+이슈/ncn+에/jca
대해	대하/pvg+어/ecs
한치의	한치/ncn+의/jcm
양보없는	양보/ncn+없/paa+는/etm
뜨거운	뜨겁/paa+ㄴ/etm
설전을	설전/ncn+을/jco
벌였습니다.	벌이/pvg+었/ep+습니다/ef+./sf
특히	특히/mag
정치자금을	정치/ncn+자금/ncn+을/jco
둘러싸고	두르/pvg+어/ecs+싸/pvg+고/ecs
세	세/nnc
후보간의	후보/ncn+간/nbn+의/jcm
공방이	공방/ncn+이/jcs
치열했습니다.	치열/ncpa+하/xsv+었/ep+습니다/ef+./sf
 code error 
성회용	성회용/nq
기자가	기자/ncn+가/jcs
보도합니다	보도/ncpa+하/xsv+ㅂ니다/ef
먼저	먼저/mag
김대중	김대중/nq
후보가	후보/ncn+가/jcs
노태우	노태우/nq
전	전/mma
대통령에게	대통령/ncn+에게/jca
받았다고	받/pvg+았/ep+다/ef+고/jcr
밝힌	밝히/pvg+ㄴ/etm
20억원의	20억/nnc+원/nbu+의/jcm
성격을	성격/ncn+을/jco
놓고	놓/pvg+고/ecs
공방이	공방/ncn+이/jcs
오갔습니다.	오가/pvg+았/ep+습니다/ef+./sf
김대중	김대중/nq
"조건이	"/sl+조건/ncn+이/jcs
있는	있/paa+는/etm
돈	돈/ncn
받거나	받/pvg+거나/ecs
또	또/mag
받아서는	받/pvg+아서/ecs+는/jxc
안될	안되/paa+ㄹ/etm
돈	돈/ncn
받거나	받/pvg+거나/ecs
그런	그런/mmd
돈을	돈/ncn+을/jco
가지고	가지/pvg+고/ecs
개인이	개인/ncn+이/jcs
축재하거나	축재/ncpa+하/xsv+거나/ecs
이런	이런/mmd
일은	일/ncn+은/jxc
없다고	없/paa+다/ef+고/jcr
분명이	분명/ncn+이/xsa
말씀드립니다.	말씀/ncn+드리/pvg+ㅂ니다/ef+./sf
"	"/sl
이회창	이회창/nq
"선거위문금으로	"/sl+선거/ncn+위문/ncn+금/xsn+으로/jca
돈을	돈/ncn+을/jco
20억원씩	20억/nnc+원/nbu+씩/xsn
받아도	받/pvg+아도/ecs
되는	되/pvg+는/etm
겁니까?	것/nbn+이/jp+ㅂ니까/ef+?/sf
당에	당/ncn+에/jca
냈다는데	내/pvg+었/ep+다는데/ecs
전에	전/ncn+에/jca
총재께서는	총재/ncn+께서/jca+는/jxc
반은	반/ncn+은/jxc
자기가	자기/ncn+가/jcs
쓰고	쓰/pvg+고/ecs
반은	반/nnc+은/jxc
당에	당/ncn+에/jca
냈다고	내/pvg+었/ep+다/ef+고/jcr
말씀하신	말씀/ncpa+하/xsv+시/ep+ㄴ/etm
것으로	것/nbn+으로/jca
기억하는데	기억/ncpa+하/xsv+는데/ecs
왜	왜/mad
그렇게	그렇/pad+게/ecs
말이	말/ncn+이/jcs
왔다갔다	오/pvg+았/ep+다/ef+가/pvg+았/ep+다/ef
하시는지	하/pvg+시/ep+는지/ecs
난	나/npp+ㄴ/jxc
그것도	그것/npd+도/jxc
이해가	이해/ncn+가/jcs
안	안/mag
갑니다.	가/pvg+ㅂ니다/ef+./sf
"	"/sl
이인제	이인제/nq
"노태우	"/sl+노태우/nq
대통령으로부터	대통령/ncn+으로/jca+부터/jxc
받은	받/pvg+은/etm
돈이	돈/ncn+이/jcs
20억이	20억/nnc+이/jcs
노대통령이	노/nq+대통령/ncn+이/jcs
부정축재한	부정/ncn+축재/ncpa+하/xsv+ㄴ/etm
줄	줄/nbn
몰랐다	모르/pvg+았/ep+다/ef
하면	하/pvg+면/ecs
그게	그것/npd+이/jcs
재벌돈이	재벌/ncn+돈/ncn+이/jcc
아니고	아니/paa+고/ecs
국민의	국민/ncn+의/jcm
세금인	세금/ncn+이/jp+ㄴ/etm
줄	줄/nbn
알았습니까?	알/pvg+았/ep+습니까/ef+?/sf
아니면	아니/paa+면/ecs
노태우	노태우/nq
씨	씨/xsn
개인	개인/ncn
돈인	돈/ncn+이/jp+ㄴ/etm
줄	줄/nbn
아셨습니까?	알/pvg+시었/ep+습니까/ef+?/sf
말이	말/ncn+이/jcs
안됩니다.	안/mag+되/pvg+ㅂ니다/ef+./sf
"	"/sl
한나라당이	한나라당/nq+이/jcs
사채자금을	사채/ncn+자금/ncn+을/jco
끌어쓰려	끌/pvg+어/ecx+쓰/px+려/ecx
한데	하/px+ㄴ/etm+데/nbn
대해서도	대하/pvg+어서/ecs+도/jxc
공방이	공방/ncn+이/jcs
전개됐습니다.	전개/ncpa+되/pvg+었/ep+습니다/ef+./sf
이회창	이회창/nq
"지금	"/sl+지금/ncn
인건비를	인건/ncn+비/xsn+를/jco
내기에	내/pvg+기/etn+에/jca
급급할	급급/ncps+하/xsm+ㄹ/etm
지경입니다.	지경/nbn+이/jp+ㅂ니다/ef+./sf
당사	당사/ncn
연수원	연수/ncn+원/xsn
건물을	건물/ncn+을/jco
파는	팔/pvg+는/etm
것으로	것/nbn+으로/jca
하고	하/pvg+고/ecs
또는	또는/maj
담보제공	담보/ncn+제공/ncn
형식으로	형식/ncn+으로/jca
취하고	취하/pvg+고/ecs
이렇게	이렇/pad+게/ecs
다녔던	다니/pvg+었/ep+던/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
이것은	이것/npd+은/jxc
오히려	오히려/mag
지금	지금/ncn
우리가	우리/npp+가/jcs
돈없는	돈/ncn+없/paa+는/etm
선거,	선거/ncn
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
선거를	선거/ncn+를/jco
치르겠다는	치르/pvg+겠/ep+다/ef+는/etm
반증입니다.	반증/ncn+이/jp+ㅂ니다/ef+./sf
"	"/sl
이인제	이인제/nq
"사채시장	"/sl+사채/ncn+시장/ncn
이자가	이자/ncn+가/jcs
연	연/ncn
50%입니다.	50/nnc+%/su+이/jp+ㅂ니다/ef+./sf
그리고	그리고/maj
수많은	수/ncn+많/paa+은/etm
기업들이	기업/ncn+들/xsn+이/jcs
몇백만원이	몇백만/nnc+원/nbu+이/jcs
없어	없/paa+어/ecs
쓰러지는데	쓰러지/pvg+는데/ecs
몇천개의	몇천/nnc+개/nbu+의/jcm
중소기업이	중소/ncn+기업/ncn+이/jcs
살아날	살/pvg+아/ecx+나/px+ㄹ/etm
돈	돈/ncn
아닙니까?	아니/paa+ㅂ니까/ef+?/sf
그리고	그리고/maj
법정선거금	법정/ncn+선거/ncn+금/xsn
310억은	310억/nnc+은/jxc
이미	이미/mag
들어오지	들/pvg+어/ecs+오/pvg+지/ecx
않았습니까?	않/px+았/ep+습니까/ef+?/sf
"	"/sl
김대중	김대중/nq
"저는	"/sl+저/npp+는/jxc
먼저	먼저/mag
사채시장에서	사채/ncn+시장/ncn+에서/jca
550억을	550억/nnc+을/jco
빌릴려고	빌리/pvg+ㄹ려고/ecs
했다는	하/pvg+었/ep+다/ef+는/etm
말을	말/ncn+을/jco
듣고	듣/pvg+고/ecs
깜짝	깜짝/mag
놀랐습니다.	놀라/pvg+았/ep+습니다/ef+./sf
여당이	여당/ncn+이/jcs
타락해도	타락/ncpa+하/xsv+어도/ecs
여기까지	여기/npd+까지/jxc
타락할	타락/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는
가	가/ef
이런	이런/mmd
생각을	생각/ncn+을/jco
가졌습니다.	가지/pvg+었/ep+습니다/ef+./sf
이것은	이것/npd+은/jxc
명백히	명백/ncn+히/xsa
실명제	실명/ncn+제/xsn
위반입니다.	위반/ncn+이/jp+ㅂ니다/ef+./sf
"	"/sl
이른바	이른바/mag
사표방지론에	사표/ncn+방지/ncn+론/xsn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
서로	서로/mag
다른	다르/paa+ㄴ/etm
시각이	시각/ncn+이/jcs
팽팽하게	팽팽/mag+하/xsm+게/ecs
맞섰습니다.	맞서/pvg+었/ep+습니다/ef+./sf
김대중	김대중/nq
"이회창	"/sl+이회창/nq
후보가	후보/ncn+가/jcs
이인제	이인제/nq
찍으면	찍/pvg+으면/ecs
김대중이가	김대중/nq+이/xsn+가/jcs
된다	되/pvg+ㄴ다/ecs
이것은	이것/npd+은/jxc
이인제	이인제/nq
후보에도	후보/ncn+에/jca+도/jxc
저에	저/npp+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
모욕입니다.	모욕/ncn+이/jp+ㅂ니다/ef+./sf
 code error 
한나라의	한/nnc+나라/ncn+의/jcm
대통령	대통령/ncn
후보가	후보/ncn+가/jcs
설사	설사/mag
그렇게	그렇/pad+게/ecs
마음먹어도	마음먹/pvg+어도/ecs
찬조연사들이	찬조/ncn+연사/ncn+들/xsn+이/jcs
그런데	그렇/pad+ㄴ데/ecs
하더라도	하/pvg+더라도/ecs
어떻게	어떻/pad+게/ecs
대통령	대통령/ncn
후보가	후보/ncn+가/jcs
그런	그런/mmd
말을	말/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있습니까"	있/paa+습니까/ef+"/sr
있습니까"	"/sl
이회창	이회창/nq
"결국	"/sl+결국/mag
이인제	이인제/nq
후보는	후보/ncn+는/jxc
우리당에	우리/npp+당/ncn+에/jca
있다가	있/paa+다가/ecs
나간	나가/pvg+ㄴ/etm
사람이니까	사람/ncn+이/jp+니까/ecs
이것은	이것/npd+은/jxc
결국	결국/mag
김대중	김대중/nq
후보를	후보/ncn+를/jco
이롭게	이롭/paa+게/ecs
