<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0451.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0451.txt </filename>
<title>재미있는 물리실험이야기  </title>
<author>L. J. 가리펠시타인 저 ; 장경룡 역</author>
<date>1993  </date>
<publisher>팬더북 </publisher>
<kdc>420  </kdc>
<ddc>530 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제	제/xp
보세요	보/px+시/ep+어요/ef
!	!/sf
어렵소	어렵/paa+소/ef
,	,/sp
저것	저것/npd
좀	좀/mag
보십시오	보/pvg+십시오/ef
.	./sf
하마와	하마/ncn+와/jct
작은	작/paa+은/etm
새가	새/ncn+가/jcs
균형이	균형/ncn+이/jcs
잡히지	잡히/pvg+지/ecx
않았습니까	않/paa+았/ep+습니까/ef
!	!/sf
그럼	그럼/mag
,	,/sp
연필을	연필/ncn+을/jco
좀더	좀더/mag
하마쪽으로	하마/ncn+쪽/nbn+으로/jca
가까이	가까이/mag
가져간다면	가지/pvg+어/ecx+가/px+ㄴ다/ef+면/ecs
어	어/ii
,	,/sp
작은	작/paa+은/etm
새가	새/ncn+가/jcs
하마를	하마/ncn+를/jco
들어올렸네	들어올리/pvg+었/ep+네/ef
!	!/sf
가벼운	가볍/paa+ㄴ/etm
작은	작/paa+은/etm
새가	새/ncn+가/jcs
무거운	무겁/paa+ㄴ/etm
하마를	하마/ncn+를/jco
들어올리는	들/pvg+어/ecs+올리/pvg+는/etm
데에는	데/nbn+에/jca+는/jxc
도대체	도대체/mag
무엇이	무엇/npd+이/jcs
필요했을까요	필요/ncps+하/xsm+었/ep+ㄹ까요/ef
?	?/sf
실험	실험/ncn
장치는	장치/ncn+는/jxc
자와	자/ncn+와/jcj
연필로	연필/ncn+로/jca
되어	되/pvg+어/ecx
있는데	있/px+는데/ecs
,	,/sp
연필의	연필/ncn+의/jcm
등에	등/ncn+에/jca
자가	자/ncn+가/jcs
얹혀	얹히/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
이	이/mmd
자와	자/ncn+와/jcj
연필이	연필/ncn+이/jcs
맞닿아	맞닿/pvg+아/ecx
있는	있/px+는/etm
곳을	곳/ncn+을/jco
받침점	받침/ncn+점/ncn
또는	또는/maj
지점	지점/ncn
(	(/sl
支點	支點/ncn
)	)/sr
이라고	이/jp+라고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
이	이/mmd
실험에서	실험/ncn+에서/jca
자를	자/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
이유는	이유/ncn+는/jxc
인형을	인형/ncn+을/jco
그	그/mmd
위에	위/ncn+에/jca
올려	올리/pvg+어/ecx
놓기에	놓/px+기/etn+에/jca
안성맞춤이기	안성맞춤/ncn+이/jp+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
둥근	둥글/paa+ㄴ/etm
막대기나	막대기/ncn+나/jxc
긴	길/paa+은/etm
네모꼴의	네모/ncn+꼴/ncn+의/jcm
숫돌	숫돌/ncn
,	,/sp
그리고	그리고/maj
가늘고	가늘/paa+고/ecc
긴	기/paa+ㄴ/etm
물건이라면	물건/ncn+이/jp+라면/jca
뭐든지	무엇/npd+든지/jxc
쓸	쓰/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
어느	어느/mmd
것을	것/nbn+을/jco
쓰든지	쓰/pvg+든지/ecc
작용은	작용/ncn+은/jxc
똑같습니다만	똑같/paa+습니다/ef+만/jxc
,	,/sp
무게를	무게/ncn+를/jco
비교하는	비교/ncpa+하/xsv+는/etm
하마와	하마/ncn+와/jct
작은	작/paa+은/etm
새를	새/ncn+를/jco
그	그/mmd
위에	위/ncn+에/jca
올려	올리/pvg+어/ecx
놓을	놓/px+을/etm
수	수/nbn
없는	없/paa+는/etm
것이면	것/nbn+이/jp+면/ecs
붙들어	붙들/pvg+어/ecs
맨다든지	매달/pvg+ㄴ다/ef+든지/ecs
끈으로	끈/ncn+으로/jca
매단다든지	매/pvg+단다/ecs+든지/jxc
못으로	못/ncn+으로/jca
박아	박/pvg+아/ecx
두지	두/px+지/ecx
않으면	않/px+으면/ecs
안됩니다	안되/paa+ㅂ니다/ef
.	./sf
받침점	받침/ncn+점/ncn
(	(/sl
지점	지점/ncn
)	)/sr
을	을/jco
가진	가지/pvg+ㄴ/etm
긴	길/paa+ㄴ/etm
막대기를	막대기/ncn+를/jco
지레라고	지레/ncn+라고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
이것은	이것/npd+은/jxc
먼	멀/paa+ㄴ/etm
옛날부터	옛날/ncn+부터/jxc
있어	있/paa+어/ecx
온	오/px+ㄴ/etm
도구입니다	도구/ncn+이/jp+ㅂ니다/ef
.	./sf
고대	고대/ncn
그리스의	그리스/nq+의/jcm
유명한	유명/ncps+하/xsm+ㄴ/etm
과학자요	과학/ncn+자/xsn+요/ef
수학자로	수학/ncn+자/xsn+로/jca
알려져	알리/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
아르키메데스는	아르키메데스/nq+는/jxc
지레에	지레/ncn+에/jca
대하여	대하/pvg+어/ecs
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
"	"/sl
나에게	나/npp+에게/jca
받침점을	받침/ncn+점/ncn+을/jco
일러	이르/pvg+어/ecx
다오	달/px+오/ef
.	./sf
그러면	그러면/maj
지구도	지구/ncn+도/jxc
들어올려	들/pvg+어/ecs+올리/pvg+어/ecx
보이겠다	보이/pvg+겠/ep+다/ef
."	./sf+"/sr
양복장	양복/ncn+장/xsn
밑에	밑/ncn+에/jca
쑤셔	쑤시/pvg+어/ecx
놓은	놓/px+은/etm
막대기	막대기/ncn
그것이	그것/npd+이/jcs
지레였던	지레/ncn+이/jp+었/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그리고	그리고/maj
여러분은	여러분/npp+은/jxc
자기가	자기/npp+가/jcs
작은	작/paa+은/etm
새가	새/ncn+가/jcs
되어	되/pvg+어/ecs
,	,/sp
그	그/mmd
지레	지레/ncn
위에	위/ncn+에/jca
앉아	앉/pvg+아/ecx
있는	있/px+는/etm
하마	하마/ncn
큰	크/paa+ㄴ/etm
양복장을	양복/ncn+장/xsn+을/jco
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
호두까기	호두까기/ncn
뺏찌에	뺏찌/ncn+에/jca
있는	있/paa+는/etm
두	두/nnc
개의	개/nbu+의/jcm
손잡이	손잡이/ncn
이것도	이것/npd+도/jxc
지레입니다	지레/ncn+이/jp+ㅂ니다/ef
.	./sf
여기서는	여기/npd+서/jca+는/jxc
여러분의	여러분/npp+의/jcm
손이	손/ncn+이/jcs
작은	작/paa+은/etm
새이고	새/ncn+이/jp+고/jcj
,	,/sp
그리고	그리고/maj
하마에	하마/ncn+에/jca
해당하는	해당/ncpa+하/xsv+는/etm
호두의	호두/ncn+의/jcm
딱딱한	딱딱/ncps+하/xsm+ㄴ/etm
껍데기의	껍데기/ncn+의/jcm
저항하는	저항/ncpa+하/xsv+는/jxc
힘을	힘/ncn+을/jco
짓눌러	짓누르/pvg+어/ecx
버리는	버리/px+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
가위의	가위/ncn+의/jcm
손잡이	손잡이/ncn
부분	부분/ncn
이것도	이것/npd+도/jxc
뺏찌와	뺏찌/nnc+와/jcj
똑같은	똑같/paa+은/etm
지레가	지레/ncn+가/jcs
되어	되/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
여러분의	여러분/npp+의/jcm
손이	손/ncn+이/jcs
작은	작/paa+은/etm
새의	새/ncn+의/jcm
구실을	구실/ncn+을/jco
하여	하/pvg+어/ecs
,	,/sp
가위의	가위/ncn+의/jcm
날에	날/ncn+에/jca
걸리는	걸리/pvg+는/etm
저항을	저항/ncn+을/jco
짓누르고	짓누르/pvg+고/ecc
물건을	물건/ncn+을/jco
자른다	자르/pvg+ㄴ다/ef
하마를	하마/ncn+를/jco
들어올리는	들/pvg+어/ecs+올리/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
이와	이/npd+와/jct
같이	같/paa+이/xsa
지레를	지레/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
많이	많/paa+이/xsa
있습니다	있/paa+습니다/ef
.	./sf
여러분도	여러분/npp+도/jxc
주변에	주변/ncn+에/jca
있는	있/paa+는/etm
것	것/nbn
중에서	중/ncn+에서/jca
받침점의	받침/ncn+점/xsn+의/jcm
위치와	위치/ncn+와/jcj
힘을	힘/ncn+을/jco
주는	주/pvg+는/etm
위치	위치/ncn
(	(/sl
작은	작/paa+은/etm
새	새/ncn
)	)/sr
,	,/sp
그리고	그리고/maj
저항하는	저항/ncpa+하/xsv+는/etm
힘이	힘/ncn+이/jcs
작용하는	작용/ncpa+하/xsv+는/etm
위치	위치/ncn
(	(/sl
하마	하마/ncn
)	)/sr
를	를/jco
발견해	발견/ncpa+하/xsv+어/ecx
보기	보/px+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
.	./sf
2	2/nno
영리한	영리/ncps+하/xsm+ㄴ/etm
작은	작/paa+은/etm
새	새/ncn
도대체	도대체/mag
작은	작/paa+은/etm
새는	새/ncn+는/jxc
어떤	어떤/mmd
점에	점/ncn+에/jca
머리를	머리/ncn+를/jco
썼을까요	쓰/pvg+었/ep+ㄹ까요/ef
?	?/sf
어떻게	어떻/pad+게/ecx
하여	하/px+어/ecs
작은	작/paa+은/etm
새는	새/ncn+는/jxc
무거운	무겁/paa+ㄴ/etm
하마를	하마/ncn+를/jco
들어올렸을까요	들/pvg+어/ecs+올리/pvg+었/ep+ㄹ까요/ef
?	?/sf
그리고	그리고/maj
옷장을	옷장/ncn+을/jco
간단히	간단/ncn+히/xsa
들어올린다든지	들/pvg+어/ecs+올리/pvg+ㄴ다/ef+든지/ecs
호두를	호두/ncn+를/jco
손쉽게	손쉽/paa+게/ecs
깔	깔/pvg+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
것은	것/nbn+은/jxc
무슨	무슨/mmd
까닭일까요	까닭/ncn+이/jp+ㄹ까요/ef
?	?/sf
이와	이/npd+와/jct
같은	같/paa+은/etm
실험들에서는	실험/ncn+들/xsn+에서/jca+는/jxc
모터	모터/ncn
같은	같/paa+은/etm
동력	동력/ncn
(	(/sl
動力	動力/ncn
)	)/sr
은	은/jxc
전혀	전혀/mag
쓰고	쓰/pvg+고/ecx
있지	있/px+지/ecx
않습니다	않/px+습니다/ef
.	./sf
그런데도	그런데도/maj
가해진	가하/pvg+어/ecx+지/px+ㄴ/etm
힘이	힘/ncn+이/jcs
커져서	크/paa+어/ecx+지/px+어/ecs+서/jxc
작용하고	작용/ncpa+하/xsv+고/ecx
있지	있/px+지/ecx
않습니까	않/px+습니까/ef
!	!/sf
설명할	설명/ncpa+하/xsv+ㄹ/etm
것도	것/nbn+도/jxc
없이	없이/mag
여기서	여기/npd+서/jca
문제가	문제/ncn+가/jcs
되는	되/pvg+는/etm
것은	것/nbn+은/jxc
지레의	지레/ncn+의/jcm
받침점	받침/ncn+점/ncn
(	(/sl
지점	지점/ncn
)	)/sr
에서	에서/jca
양쪽	양쪽/ncn
끝까지의	끝/ncn+까지/jxc+의/jcm
길이가	길이/ncn+가/jcs
각각	각각/ncn
다르다는	다르/paa+다/ef+는/etm
점입니다	점/ncn+이/jp+ㅂ니다/ef
.	./sf
사실은	사실/ncn+은/jxc
작은	작/paa+은/etm
새가	새/pvg+어/ecx+가/px+아/ecs
하마를	하마/ncn+를/jco
들어올릴	들/pvg+어/ecs+올리/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
받침점인	받침/ncn+점/ncn+이/jp+ㄴ/etm
연필을	연필/ncn+을/jco
하마	하마/ncn
쪽으로	쪽/nbn+으로/jca
가까이	가깝/paa+이/xsa
가져다	가지/pvg+어다/ecs
놓은	놓/pvg+은/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그때에	그때/ncn+에/jca
가서야	가/nq+서/jca+야/jxc
겨우	겨우/mag
작은	작/paa+은/etm
새는	새/ncn+는/jxc
하마를	하마/ncn+를/jco
들어	들/pvg+어/ecs
올릴	올리/pvg+ㄹ/etm
수	수/nbn
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
이	이/mmd
고집센	고집/ncn+세/pvg+ㄴ/etm
하마를	하마/ncn+를/jxc
겨우	겨우/mag
몇	몇/nnc
센티미터	센티미터/nbu
들어올리기	들/pvg+어/ecs+올리/pvg+기/etn
위해서	위하/pvg+어서/ecs
작은	작/paa+은/etm
새는	새/ncn+는/jxc
매우	매우/mag
높은	높/paa+은/etm
곳에서	곳/ncn+에서/jca
내려오지	내리/pvg+어/ecx+오/px+지/ecx
않으면	않/px+으면/ecs
안됩니다	안되/paa+ㅂ니다/ef
.	./sf
옷장의	옷장/ncn+의/jcm
경우에도	경우/ncn+에/jca+도/jxc
아주	아주/mag
조금만	조금/ncn+만/jxc
들어	들/pvg+어/ecs
올렸는데도	올리/pvg+었/ep+는데/ecs+도/jxc
손	손/ncn
쪽은	쪽/nbn+은/jxc
큰	크/paa+ㄴ/etm
운동을	운동/ncn+을/jco
하고	하/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
가위나	가위/ncn+나/jxc
호두까기	호두/ncn+까/pvg+기/etn
빼찌의	빼찌/nbn+의/jcm
경우에도	경우/ncn+에/jca+도/jxc
똑같은	똑같/paa+은/etm
결과였습니다	결과/ncn+이/jp+었/ep+습니다/ef
.	./sf
작은	작/paa+은/etm
새는	새/ncn+는/jxc
지레의	지레/ncn+의/jcm
받침점으로부터의	받침/ncn+점/ncn+으로/jca+부터/jca+의/jcm
거리가	거리/ncn+가/jcs
긴	기/paa+ㄴ/etm
쪽의	쪽/nbn+의/jcm
끄트머리에	끄트머리/ncn+에/jca
앉지	앉/pvg+지/ecx
않으면	않/px+으면/ecs
하마를	하마/ncn+를/jxc
들어	들/pvg+어/ecs
올릴	올리/pvg+ㄹ/etm
수	수/nbn
없습니다	없/paa+습니다/ef
.	./sf
그러나	그러나/maj
이때	이때/ncn
작은	작/paa+은/etm
새는	새/ncn+는/jxc
높은	높/paa+은/etm
곳에서	곳/ncn+에서/jca
크게	크/paa+게/ecs
움직이지	움직이/pvg+지/ecx
않으면	않/px+으면/ecs
안됩니다	안/mag+되/pvg+ㅂ니다/ef
.	./sf
그와는	그/npp+와/jct+는/jxc
반대로	반대/ncn+로/jca
하마는	하마/ncn+는/jxc
약간만	약간/ncn+만/jxc
움직일	움직이/pvg+ㄹ/etm
따름입니다	따름/nbn+이/jp+ㅂ니다/ef
.	./sf
작은	작/paa+은/etm
새의	새/ncn+의/jcm
힘은	힘/ncn+은/jxc
지레의	지레/ncn+의/jcm
끝까지의	끝/ncn+까지/jxc+의/jcm
길이가	길이/ncn+가/jcs
길수록	길/paa+ㄹ수록/ecs
커집니다	크/paa+어/ecx+지/px+ㅂ니다/ef
.	./sf
정확히	정확/ncn+히/xsa
말하면	말하/pvg+면/ecs
작은	작/paa+은/etm
새가	새/pvg+어/ecx+가/px+아/ecs
앉아	앉/pvg+아/ecx
있는	있/px+는/etm
발의	발/ncn+의/jcm
위치에서	위치/ncn+에서/jca
받침점까지의	받침/ncn+점/ncn+까지/jxc+의/jcm
거리를	거리/ncn+를/jco
말합니다만	말/ncpa+하/xsv+ㅂ니다/ef+만/jxc
,	,/sp
이	이/mmd
길이를	길/ncn+이를/jco
지레의	지레/ncn+의/jcm
팔	팔/ncn
길이	길이/ncn
라고	라고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
한쪽	한쪽/ncn
팔의	팔/ncn+의/jcm
길이가	길이/ncn+가/jcs
다른	다른/mma
쪽	쪽/nbn
팔의	팔/ncn+의/jcm
길이의	길이/ncn+의/jcm
두	두/nnc
배라면	배/pvg+라면/ecs
짧은	짧/paa+은/etm
팔	팔/ncn
쪽의	쪽/nbn+의/jcm
끄트머리에	끄트머리/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
힘은	힘/ncn+은/jxc
두	두/nnc
배가	배/pvg+어/ecx+가/px+아/ecx
됩니다	되/pvg+ㅂ니다/ef
(	(/sl
긴	기/paa+ㄴ/etm
팔	팔/ncn
쪽의	쪽/nbn+의/jcm
끄트머리는	끄트머리/ncn+는/jxc
2	2/nno
분의	분/nbu+의/jcm
1	1/nno
인	인/ncn
힘이면	힘/ncn+이/jp+면/ecs
됩니다	되/pvg+ㅂ니다/ef
).	)/sr+./sf
그와	그/npp+와/jcj
마찬가지로	마찬가지/ncn+로/jca
,	,/sp
팔의	팔/ncn+의/jcm
길이를	길이/ncn+를/jco
반대쪽보다	반대/ncn+쪽/nbn+보다/jca
10	10/nno
배로	배/ncn+로/jca
늘이면	늘이/pvg+면/ecs
힘도	힘/ncn+도/jxc
10	10/nno
배로	배/ncn+로/jca
작용시킬	작용/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
3	3/nno
.	./sf
지레를	지레/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
저울	저울/ncn
지금도	지금/ncn+도/jxc
우체국	우체/ncn+국/xsn
같은	같/paa+은/etm
데서는	데/nbn+서/jca+는/jxc
분동	분동/ncn
(	(/sl
分銅	分銅/ncn
)	)/sr
을	을/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
저울	저울/ncn
이	이/jcs
쓰이고	쓰이/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
저울대	저울/ncn+대/xsn
위에	위/ncn+에/jca
얹는	얹/pvg+는/etm
우편물은	우편/ncn+물/xsn+은/jxc
앞에서	앞/ncn+에서/jca
한	하/pvg+ㄴ/etm
이갸기에	이갸기/ncn+에/jca
나온	나오/pvg+ㄴ/etm
하마	하마/ncn
와	와/jct
똑같은	똑같/paa+은/etm
구실을	구실/paa+을/etm
합니다	하/px+ㅂ니다/ef
.	./sf
그리고	그리고/maj
저울의	저울/ncn+의/jcm
멜대	멜대/ncn
위를	위/ncn+를/jco
좌우로	좌우/ncn+로/jca
미끄러져	미끄러지/pvg+어/ecs
왔다갔다	오/pvg+았/ep+다/ecs+가/pvg+았/ep+다/ecx
하는	하/px+는/etm
추가	추가/ncn
작은	작/paa+은/etm
새	새/ncn
입니다	이/pvg+ㅂ니다/ef
.	./sf
물론	물론/mag
이	이/mmd
저울의	저울/ncn+의/jcm
얼개를	얼개/ncn+를/jco
지레를	지레/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
우리들의	우리/npp+들/xsn+의/jcm
실험에	실험/ncn+에/jca
등장한	등장/ncpa+하/xsv+ㄴ/etm
저울보다는	저울/ncn+보다/jca+는/jxc
복잡하게	복잡하/paa+게/ecs
만들어져	만들/pvg+어/ecx+지/px+어/ecx
있습니다	있/px+습니다/ef
.	./sf
그	그/mmd
저울	저울/ncn
속에는	속/ncn+에/jca+는/jxc
2	2/nno
개의	개/nbu+의/jcm
지레가	지레/ncn+가/jcs
쓰이고	쓰이/pvg+고/ecx
있습니다만	있/px+습니다/ef+만/jxc
,	,/sp
기본	기본/ncn
원리는	원리/ncn+는/jxc
아주	아주/mag
똑같습니다	똑같/paa+습니다/ef
.	./sf
저울의	저울/ncn+의/jcm
멜대	멜대/ncn
위에서	위/ncn+에/jca+서/jxc
분동을	분동/ncn+을/jco
크게	크/paa+게/ecs
움직여도	움직이/pvg+어/ecs+도/jxc
저울대의	저울/ncn+대/xsn+의/ncn
움직임은	움직임/ncn+은/jxc
조금밖에	조금/ncn+밖/nbn+에/jxc
되지	되/pvg+지/ecx
않습니다	않/px+습니다/ef
.	./sf
이	이/mmd
저울과	저울/ncn+과/jcj
얼개가	얼개/ncn+가/jcs
비슷한	비슷/ncps+하/xsm+ㄴ/etm
것은	것/xsn+은/jxc
커다란	커다랗/paa+ㄴ/etm
짐의	짐/ncn+의/jcm
무게를	무게/ncn+를/jco
다는	달/pvg+는/etm
십진법	십진/ncn+법/xsn
(	(/sl
十進法	十進法/ncn
)	)/sr
천평	천평/ncn
인데	일/pvg+ㄴ데/ecs
,	,/sp
화물	화물/ncn
창고나	창고/ncn+나/jcj
철도역의	철도/ncn+역/ncn+의/jcm
수화물	수화/ncn+물/xsn
접수처	접수/ncn+처/xsn
등에	등/nbn+에/jca
있습니다	있/paa+습니다/ef
.	./sf
그	그/npp
밖에	밖/nbn+에/jxc
양국이나	양국/ncn+이나/jcj
학교	학교/ncn
실험용으로	실험/ncn+용/xsn+으로/jca
쓰이고	쓰이/pvg+고/ecx
있는	있/px+는/etm
저울도	저울/ncn+도/jxc
지레를	지레/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
것입니다	것이/paa+ㅂ니다/ef
.	./sf
그러면	그러면/maj
여기서	여기/npd+서/jca
천평	천평/ncn
(	(/sl
天枰	天枰/ncn
)	)/sr
을	을/jco
만들어	만들/pvg+어/ecs
봅시다	보/px+ㅂ시다/ef
.	./sf
이	이/mmd
천평의	천평/ncn+의/jcm
지레	지레/ncn
가	가/jcs
되는	되/pvg+는/etm
부분과	부분/ncn+과/jcj
저울	저울/ncn
판	판/ncn
이	이/jcs
되는	되/pvg+는/etm
부분은	부분/ncn+은/jxc
앞의	앞/ncn+의/jcm
실험에서	실험/ncn+에서/jca
쓴	쓰/pvg+ㄴ/etm
국자를	국자/ncn+를/jco
이용합니다	이용/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그리고	그리고/maj
지레의	지레/ncn+의/jcm
판	판/ncn
위를	위/ncn+를/jco
움직이는	움직이/pvg+는/etm
추의	추/ncn+의/jcm
구실을	구실/ncn+을/jco
국자의	국자/ncn+의/jcm
걸프랜드	걸프랜드/ncn
구멍	구멍/ncn
뚫린	뚫리/pvg+ㄴ/etm
국자로	국자/ncn+로/jca
하여금	하여금/mag
하게	하/pvg+게/ecs
합시다	하/pvg+ㅂ시/ep+다/ef
.	./sf
또한	또한/maj
받침점으로는	받침/ncn+점/ncn+으로/jca+는/jxc
포크의	포크/ncn+의/jcm
이빨	이빨/ncn
끝을	끝/ncn+을/jco
이용합니다	이용/ncpa+하/xsv+ㅂ니다/ef
.	./sf
포크의	포크/ncn+의/jcm
이빨	이빨/ncn
끝은	끝/ncn+은/jxc
그림처럼	그림/ncn+처럼/jca
코르크에	코르크/ncn+에/jca
박은	박/pvg+은/etm
2	2/nno
개의	개/nbu+의/jcm
못	못/mag
대가리에	대가리/ncn+에/jca
살짝	살짝/mag
얹어	얹/pvg+어/ecx
놓습니다	놓/px+습니다/ef
.	./sf
포크	포크/ncn
손잡이	손잡이/ncn
끝은	끝은/mag
벗겨지지	벗기/pvg+어/ecx+지/px+지/ecx
않도록	않/px+도록/ecs
코르크	코르크/ncn
토막	토막/ncn
같은	같/paa+은/etm
것과	것/nbn+과/jct
함께	함께/mag
국자의	국자/ncn+의/jcm
갈고리	갈고리/ncn
부분에	부분/ncn+에/jca
끼웁니다	끼우/pvg+ㅂ니다/ef
.	./sf
완성된	완성/ncpa+되/xsv+ㄴ/etm
천평	천평/ncn
을	을/jco
벽	벽/ncn
옆에	옆/ncn+에/jca
가까이	가까이/mag
넘어지지	넘어지/pvg+지/ecx
않도록	않/px+도록/ecx
놓습니다	놓/px+습니다/ef
.	./sf
그리고	그리고/maj
종이에	종이/ncn+에/jxc
직선을	직선/ncn+을/jco
하나	하나/nnc
그어	긋/pvg+어/ecs
천평	천평/ncn
뒤의	뒤/ncn+의/jcm
벽에	벽/ncn+에/jca
붙입니다	붙이/pvg+ㅂ니다/ef
.	./sf
이때	이때/ncn
종이에	종이/ncn+에/jxc
그은	긋/pvg+ㄴ/etm
직선은	직선/ncn+은/jxc
수평이	수평/ncn+이/jcs
되게	되/pvg+게/ecx
해	하/px+어/ecx
주십시오	주/px+십시오/ef
.	./sf
그	그/mmd
직선과	직선/ncn+과/jcj
평행이	평행/ncn+이/jcs
되도록	되/pvg+도록/jxc
천평의	천평/ncn+의/jcm
추	추/ncn
(	(/sl
구멍	구멍/ncn
뚫린	뚫리/pvg+ㄴ/etm
국자	국자/ncn
)	)/sr
를	를/jco
움직여	움직이/pvg+어/ecs
조절합니다	조절/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
저울에도	저울/ncn+에/jca+도/jxc
진짜	진짜/ncn
저울과	저울/ncn+과/jcj
마찬가지로	마찬가지/ncn+로/jca
눈금을	눈금/ncn+을/jco
매겨	매기/pvg+어/ecs
봅시다	보/px+ㅂ시다/ef
.	./sf
우선	우선/mag
달	달/pvg+ㄹ/etm
물건을	물건/ncn+을/jco
얹어	얹/pvg+어/ecx
놓지	놓/px+지/ecx
않았을	않/px+았/ep+을/etm
때의	때/ncn+의/jcm
구멍	구멍/ncn
뚫린	뚫리/pvg+ㄴ/etm
국자의	국자/ncn+의/jcm
위치를	위치/ncn+를/jco
국자	국자/ncn
자루	자루/ncn
위에	위/ncn+에/jca
표시합니다	표시/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그런	그런/pad
다음에	다음/ncn+에/jca
미리	미리/mag
무게를	무게/ncn+를/jco
정확히	정확/ncn+히/xsa
달아	달/pvg+아/ecx
둔	두/px+ㄴ/etm
물품을	물품/ncn+을/jco
국자의	국자/ncn+의/jcm
저울판	저울/ncn+판/ncn
위에	위/ncn+에/jca
얹습니다	얹/pvg+습니다/ef
.	./sf
그리하여	그리하여/maj
다시금	다시금/mag
균형이	균형/ncn+이/jcs
잡힐	잡히/pvg+ㄹ/etm
때까지	때/ncn+까지/jca
구멍	구멍/ncn
뚫린	뚫리/pvg+ㄴ/etm
국자를	국자/ncn+를/jco
움직여	움직이/pvg+어/ecs
그	그/mmd
위치에	위치/ncn+에/jca
표시를	표시/ncn+를/jco
하는	하/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
이와	이/npd+와/jct
같이	같/paa+이/xsa
하여	하/pvg+어/ecs
0	0/nno
,	,/sp
100	100/nno
,	,/sp
200	200/nno
,	,/sp
300	300/nno
그램	그램/nbu
식으로	식/ncn+으로/jca
눈금을	눈금/ncn+을/jco
매겨	매기/pvg+어/ecx
두면	두/px+면/ecs
되는	되/pvg+는/etm
것입니다	것이/paa+ㅂ니다/ef
.	./sf
이렇게	이렇/pad+게/ecx
해서	하/pvg+어서/ecs
저울이	저울/ncn+이/jcs
다	다/mag
만들어졌습니다	만들/pvg+어/ecx+지/px+었/ep+습니다/ef
!	!/sf
제	제/xp
4	4/nno
장	장/nbu
서양	서양/ncn
장기는	장기/ncn+는/jxc
왜	왜/mag
넘어지지	넘/pvg+어/ecx+지/px+지/ecx
않는가	않/paa+는가/ef
1	1/nno
.	./sf
서양장기와	서양/ncn+장기/ncn+와/jcj
관성	관성/ncn
나는	나/npp+는/jxc
어린	어리/paa+ㄴ/etm
시절에	시절/ncn+에/jca
관성	관성/ncn
(	(/sl
慣性	慣性/ncn
)	)/sr
이라는	이라/ef+는/etm
말을	말/ncn+을/jco
처음으로	처음/ncn+으로/jca
들은	들/pvg+은/etm
것을	것/nbn+을/jco
지금도	지금/ncn+도/jxc
기억하고	기억/ncpa+하/xsv+고/ecx
있습니다	있/px+습니다/ef
