<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
차림으로	차림/ncn+으로/jca
자신에게	자신/ncn+에게/jca
카메라를	카메라/ncn+를/jco
들이대는	들이/pvg+어/ecx+대/px+는/etm
하시모토	하시모토/nq
일본	일본/nq
총리에게	총리/ncn+에게/jca
사진기자인줄	사진/ncn+기자/ncn+이/jp+ㄴ/etm+줄/nbn
알았다며	알/pvg+았/ep+다며/ecs
농담을	농담/ncn+을/jco
던지면서	던지/pvg+면서/ecs
시작됐습니다.	시작/ncpa+되/xsv+었/ep+습니다/ef+./sf
두	두/nnc
정상은	정상/ncn+은/jxc
어제와	어제/ncn+와/jcj
오늘	오늘/ncn
이틀동안	이틀/ncn+동안/ncn
격의없는	격의/ncn+없/xsm+는/etm
분위기속에서	분위기/ncn+속/ncn+에서/jca
일본이	일본/nq+이/jcs
러시아의	러시아/nq+의/jcm
에이펙	에이펙/nq
참여를	참여/ncn+를/jco
지지한다는	지지/ncpa+하/xsv+ㄴ다/ef+는/etm
약속을	약속/ncn+을/jco
한것을	하/pvg+ㄴ/etm+것/nbn+을/jco
비롯해	비롯/ncpa+하/xsv+어/ecs
3년이내에	3/nno+년/nbu+이내/nbn+에/jca
평화조약을	평화/ncn+조약/ncn+을/jco
체결하는데	체결/ncpa+하/xsv+는데/ecs
합의하는등	합의/ncpa+하/xsv+는/etm+등/nbn
적지않은	적/paa+지/ecx+않/px+은/etm
성과를	성과/ncn+를/jco
이끌어냈습니다.	이끌/pvg+어/ecx+내/px+었/ep+습니다/ef+./sf
지금까지	지금/ncn+까지/jxc
최고기록은	최고/ncn+기록/ncn+은/jxc
9백미터.	9백/nnc+미터/nbu+./sf
기록을	기록/ncn+을/jco
높이기위해	높이/pvg+기/etn+위하/pvg+어/ecs
로켓포같은	로켓/ncn+포/ncn+같/paa+은/etm
기계도	기계/ncn+도/jxc
등장했습니다.	등장/ncpa+하/xsv+었/ep+습니다/ef+./sf
자동차위에서	자동/ncn+차/ncn+위/ncn+에서/jca
어렵게	어렵/paa+게/ecs
시도한	시도/ncpa+하/xsv+ㄴ/etm
호박	호박/ncn
던지기에서	던지기/etn+에서/jca
호박이	호박/ncn+이/jcs
그만	그만/mag
제자리에	제자리/ncn+에/jca
떨어지는	떨어지/pvg+는/etm
낭패를	낭패/ncn+를/jco
맛보기도합니다.	맛/ncn+보/pvg+기/etn+도/jxc+하/pvg+ㅂ니다/ef+./sf
호박던지기	호박/ncn+던지기/ncn
대회는	대회/ncn+는/jxc
원래	원래/mag
추수가	추수/ncn+가/jcs
끝난뒤	끝/ncn+나/pvg+ㄴ/etm+뒤/ncn
동네마당에서	동네/ncn+마당/nbn+에서/jca
심심풀이로	심심풀이/ncn+로/jca
하던	하/pvg+던/etm
호박던지기에	호박/ncn+던지기/ncn+에/jca
유래를	유래/ncn+를/jco
둔것으로	두/pvg+ㄴ/etm+것/nbn+으로/jca
지금은	지금/ncn+은/jxc
엄격한	엄격/ncps+하/xsm+ㄴ/etm
경기규칙과	경기/ncn+규칙/ncn+과/jct
다양한	다양/ncps+하/xsm+ㄴ/etm
볼거리로	보/pvg+ㄹ/etm+거리/xsn+로/jca
하루를	하루/ncn+를/jco
만끽하는	만끽/ncnpa+하/xsv+는/etm
축제로	축제/ncn+로/jca
자리잡았습니다.	자리/ncn+잡/pvg+았/ep+습니다/ef+./sf
숨진	숨지/pvg+ㄴ/etm
스카이	스카이/ncn
다이버들가운데	다이버/ncn+들/xsn+가운데/ncn
일부는	일부/ncn+는/jxc
특기를	특기/ncn+를/jco
살려	살리/pvg+어/ecs
추락직전	추락/ncn+직전/ncn
비행기에서	비행/ncn+기/xsn+에서/jca
뛰어내렸으나	뛰/pvg+어/ecs+내리/pvg+었/ep+으나/ecs
낙하산을	낙하산/ncn+을/jco
펼칠	펼치/pvg+ㄹ/etm
겨를도	겨를/ncn+도/jxc
없이	없/paa+이/xsa
지상으로	지상/ncn+으로/jca
떨어지는	떨어지/pvg+는/etm
바람에	바람/ncn+에/jca
주위를	주위/ncn+를/jco
더욱	더욱/mag
안타깝게	안타깝/paa+게/ecx
했습니다.	하/px+었/ep+습니다/ef+./sf
에스비에스	에스비에스/nq
동세홉니다.	동세호/nq+ㅂ니다/ef+./sf
김포공항은	김포공항/nq+은/jxc
뜨고	뜨/pvg+고/ecc
내리는	내리/pvg+는/etm
비행기가	비행/ncn+기/xsn+가/jcs
하루	하루/ncn
평균	평균/ncn
640여대나	640/nnc+여/xsn+대/nbu+나/jxc
되서	되/pvg+서/ecs
동양에서	동양/ncn+에서/jca
가장	가장/mag
붐비는	붐비/paa+는/etm
국제공항입니다.	국제/ncn+공항/ncn+이/jp+ㅂ니다/ef+./sf
김포공항을	김포공항/nq+을/jco
이용하는	이용/ncpa+하/xsv+는/etm
항공기는	항공/ncn+기/xsn+는/jxc
해마다	해/ncn+마다/jxc
11%씩	11/nnc+%/su+씩/xsn
늘어나고	늘/pvg+어/ecx+나/px+고/ecx
있지만	있/px+지만/ecs
시설이	시설/ncn+이/jcs
따라가지	따르/pvg+아/ecs+가/pvg+지/ecx
못하는	못하/px+는/etm
실정입니다.	실정/ncn+이/jp+ㅂ니다/ef+./sf
김용철	김용철/nq
기자가	기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
오늘	오늘/mag
오후	오후/ncn
4시40분쯤	4/nno+시/nbu+40/nno+분/nbu+쯤/xsn
서울	서울/nq
내곡동	내곡동/nq
산	산/ncn
6번지의	6/nnc+번지/nbu+의/jcm
주거용	주거/ncn+용/xsn
비닐하우스에서	비닐/ncn+하우스/ncn+에서/jca
불이	불/ncn+이/jcs
나	나/pvg+아/ecs
비닐하우스	비닐/ncn+하우스/ncn
2개동	2/nnc+개/nbu+동/nbu
2백여평을	2백/nnc+여/xsn+평/nbu+을/jco
태우고	태우/pvg+고/ecs
20여분만에	20/nnc+여/xsn+분/nbu+만/nbu+에/jca
진화됐습니다.	진화/ncpa+되/xsv+었/ep+습니다/ef+./sf
오늘	오늘/mag
불로	불/ncn+로/jca
인명피해는	인명/ncn+피해/ncn+는/jxc
없었지만,	없/paa+었/ep+지만/ecs+,/sp
47살	47/nno+살/nbu
진영호씨	진영호/nq+씨/xsn
등	등/nbn
비닐하우스에	비닐/ncn+하우스/ncn+에/jca
살던	살/pvg+던/etm
8가구	8/nnc+가구/nbu
27명의	27/nnc+명/nbu+의/jcm
이재민이	이재민/ncn+이/jcs
발생했습니다.	발생/ncpa+하/xsv+었/ep+습니다/ef+./sf
경찰은	경찰/ncn+은/jxc
행인이	행인/ncn+이/jcs
버린	버리/pvg+ㄴ/etm
담배꽁초가	담배/ncn+꽁초/ncn+가/jcs
근처에	근처/ncn+에/jca
있던	있/paa+던/etm
건축	건축/ncn
폐기물에	폐기/ncn+물/xsn+에/jca
옮겨붙어	옮기/pvg+어/ecx+붙/px+어/ecs
불이	불/ncn+이/jcs
난	나/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
동성연애를	동성/ncn+연애/ncn+를/jco
알선한	알선/ncpa+하/xsv+ㄴ/etm
혐의로	혐의/ncn+로/jca
구속기소된	구속/ncn+기소/ncpa+되/xsv+ㄴ/etm
속칭	속칭/ncn
'게이바'	'/sr+게이바/ncn+'/sl
업주에게	업주/ncn+에게/jca
법원이	법원/ncn+이/jcs
사회봉사	사회/ncn+봉사/ncn
명령을	명령/ncn+을/jco
선고했습니다.	선고/ncpa+하/xsv+었/ep+습니다/ef+./sf
서울지방법원	서울지방법원/nq
여상조	여상조/nq
판사는	판사/ncn+는/jxc
속칭	속칭/ncn
'게이바'	'/sl+게이바/ncn+'/sl
업주	업주/ncn
박모씨에게,	박/nq+모/ncn+씨/xsn+에게/jca+,/sp
허가	허가/ncn
없이	없/paa+이/ecs
술집을	술집/ncn+을/jco
운영한데다	운영/ncpa+하/xsv+ㄴ데다/ecs
동성연애를	동성/ncn+연애/ncn+를/jco
알선하는	알선/ncpa+하/xsv+는/etm
등	등/nbn
죄질이	죄질/ncn+이/jcs
나쁘다며	나쁘/paa+다/ef+며/ecs
징역	징역/ncn
1년6월에	1/nnc+년/nbu+6/nnc+월/nbu+에/jca
집행유예	집행/ncn+유예/ncn
3년,	3/nnc+년/nbu+,/sp
그리고	그리고/maj
사회봉사명령	사회/ncn+봉사/ncn+명령/ncn
백20시간에	백/nnc+20/nnc+시간/nbu+에/jca
1년간의	1/nnc+년/nbu+간/xsn+의/jcm
보호관찰	보호/ncn+관찰/ncn
명령을	명령/ncn+을/jco
내렸습니다.	내리/pvg+었/ep+습니다/ef+./sf
민주당의	민주당/nq+의/jcm
조순	조순/nq
총재와	총재/ncn+와/jcj
가칭	가칭/ncn
국민신당의	국민신당/nq+의/jcm
이인제	이인제/nq
후보는	후보/ncn+는/jxc
오늘	오늘/ncn
오후	오후/ncn
3시	3/nno+시/nbu
대학로	대학로/nq
마로니에	마로니에/nq
공원에서	공원/ncn+에서/jca
열린	열리/pvg+ㄴ/etm
<제                            </sl+제/mma
3회	3/nno+회/nbu
사랑의	사랑/ncn+의/jcm
장애인	장애/ncn+인/xsn
체험대회>에	체험/ncn+대회/ncn+>/sr+에/jca
참석해	참석/ncpa+하/xsv+어/ecs
직접	직접/mag
휠체어를	휠체어/ncn+를/jco
타고	타/pvg+고/ecs
장애인들의	장애/ncn+인/xsn+들/xsn+의/jcm
고충을	고충/ncn+을/jco
경험했습니다.	경험/ncpa+하/xsv+었/ep+습니다/ef+./sf
조총재와	조/nq+총재/ncn+와/jcj
이후보는	이/nq+후보/ncn+는/jxc
오늘	오늘/ncn
대회에서	대회/ncn+에서/jca
장애인과	장애/ncn+인/xsn+과/jcj
편의시설등에	편의/ncn+시설/ncn+등/nbn+에/jca
관한	관하/pvg+ㄴ/etm
정책을	정책/ncn+을/jco
발표했으며	발표/ncpa+하/xsv+었/ep+으며/ecs
행사를	행사/ncn+를/jco
주최한	주최/ncpa+하/xsv+ㄴ/etm
<한국                          </sl+한국/nq
기독교	기독교/nq
교회	교회/ncn
협의회>측은	협의/ncn+회/xsn+>/sr+측/nbn+은/jxc
15대	15/nno+대/nbu
대통령	대통령/ncn
선거에	선거/ncn+에/jca
장애인들의	장애/ncn+인/xsn+들/xsn+의/jcm
투표권	투표/ncn+권/xsn
행사가	행사/ncn+가/jcs
힘들지	힘/ncn+들/pvg+지/ecx
않도록	않/px+도록/ecs
점자	점/ncn+자/nbn
투표	투표/ncn
안내문을	안내/ncn+문/xsn+을/jco
늘려줄	늘리/pvg+어/ecx+주/px+ㄹ/etm
것등을	것/nbn+등/nbn+을/jco
제안했습니다.	제안/ncpa+하/xsv+었/ep+습니다/ef+./sf
대선을	대선/ncn+을/jco
45일	45/nno+일/nbu
앞두고	앞/ncn+두/pvg+고/ecs
DJP단일화가	DJP/f+단일/ncn+화/xsn+가/jcs
오늘	오늘/ncn
공식	공식/ncn
출범하면서	출범/ncpa+하/xsv+면서/ecs
유동적이었던	유동/ncn+적/xsn+이/jp+었/ep+던/etm
대선구도가	대선/ncn+구도/ncn+가/jcs
3자대결로	3/nnc+자/xsn+대결/ncn+로/jca
압축돼가고	압축/ncpa+되/xsv+어/ecx+가/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
DJP진영과	DJP/f+진영/ncn+과/jcj
반	반/xp
DJP진영간의	DJP/f+진영/ncn+간/nbn+의/jcm
내각제	내각/ncn+제/xsn
공방이	공방/ncn+이/jcs
대선정국의	대선/ncn+정국/ncn+의/jcm
최대쟁점으로	최대/ncn+쟁점/ncn+으로/jca
떠오르고	떠오르/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
먼저	먼저/mag
DJP연합의	DJP/f+연합/ncn+의/jcm
공식출범	공식/ncn+출범/ncn
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
국민회의와	국민회의/nq+와/jcj
자민련은	자민련/nq+은/jxc
오늘	오늘/ncn
김대중	김대중/nq
국민회의	국민회의/nq
총재를	총재/ncn+를/jco
두당의	두/nnc+당/ncn+의/jcm
단일후보로	단일/ncn+후보/ncn+로/jca
선언하고	선언/ncpa+하/xsv+고/ecs
김대중	김대중/nq
후보단일체제로의	후보/ncn+단일/ncn+체제/ncn+로/jca+의/jcm
출범을	출범/ncn+을/jco
공식	공식/ncn
천명했습니다.	천명/ncpa+하/xsv+었/ep+습니다/ef+./sf
정승민	정승민/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
헌정사상	헌정/ncn+사/xsn+상/xsn
유례가	유례/ncn+가/jcs
없는	없/paa+는/etm
야당의	야당/ncn+의/jcm
대통령	대통령/ncn
후보단일화	후보/ncn+단일/ncn+화/xsn
.	./sp
국민회의와	국민회의/nq+와/jcj
자민련은	자민련/nq+은/jxc
국회에서	국회/ncn+에서/jca
국민회의	국민회의/nq
김대중	김대중/nq
총재를	총재/ncn+를/jco
단일후보로	단일/ncn+후보/ncn+로/jca
공식	공식/ncn
선언했습니다.	선언/ncpa+하/xsv+었/ep+습니다/ef+./sf
두	두/nnc
김	김/nq
총재는	총재/ncn+는/jxc
집권	집권/ncn
이후	이후/ncn
5년간	5/nno+년/nbu+간/xsn
공동정부를	공동/ncn+정부/ncn+를/jco
운영하고	운영/ncpa+하/xsv+고/ecs
99년까지	99/nno+년/nbu+까지/jxc
내각제	내각/ncn+제/xsn
개헌을	개헌/ncn+을/jco
실시하는	실시/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
주요	주요/ncn
내용으로	내용/ncn+으로/jca
하는	하/pvg+는/etm
'후보단일화	'/sl+후보/ncn+단일/ncn+화/xsn
합의문'에	합의/ncn+문/xsn+'/sr+에/jca
서명했습니다.	서명/ncpa+하/xsv+었/ep+습니다/ef+./sf
후보를	후보/ncn+를/jco
양보받은	양보/ncn+받/xsv+은/etm
김대중	김대중/nq
총재는	총재/ncn+는/jxc
만면에	만면/ncn+에/jca
웃음을	웃음/ncn+을/jco
띤	띠/pvg+ㄴ/etm
채	채/nbn
단일후보의	단일/ncn+후보/ncn+의/jcm
역사적의미를	역사/ncn+적/xsn+의미/ncn+를/jco
여러차례	여러/mma+차례/ncn
강조했습니다.	강조/ncpa+하/xsv+었/ep+습니다/ef+./sf
김종필	김종필/nq
총재는	총재/ncn+는/jxc
착잡한	착잡/ncps+하/xsm+ㄴ/etm
표정을	표정/ncn+을/jco
감추지	감추/pvg+지/ecx
못하면서도	못하/px+면서/ecs+도/jxc
정통야당세력과	정통/ncn+야당/ncn+세력/ncn+과/jcj
국정경험세력의	국정/ncn+경험/ncn+세력/ncn+의/jcm
연대로	연대/ncn+로/jca
정권교체를	정권/ncn+교체/ncn+를/jco
이룩하자고	이룩/ncpa+하/xsv+자/ef+고/jcr
역설했습니다.	역설/ncpa+하/xsv+었/ep+습니다/ef+./sf
후보단일화	후보/ncn+단일/ncn+화/xsn
선언식에는	선언/ncn+식/xsn+에/jca+는/jxc
두당	두/nnc+당/ncn
국회의원과	국회/ncn+의원/ncn+과/jcj
당무위원등	당무/ncn+위원/ncn+등/nbn
5백여명이	5백/nnc+여/xsn+명/nbu+이/jcs
참석해	참석/ncpa+하/xsv+어/ecs
야권	야권/ncn
단일체제출범을	단일/ncn+체제/ncn+출범/ncn+을/jco
축하하며	축하/ncpa+하/xsv+며/ecs
대선필승	대선/ncn+필승/ncn
의지를	의지/ncn+를/jco
다졌습니다.	다지/pvg+었/ep+습니다/ef+./sf
sbs	SBS/f
정승민입니다.	정승민/nq+이/jp+ㅂ니다/ef+./sf
두	두/nnc
김총재가	김/nq+총재/ncn+가/jcs
오늘	오늘/ncn
합의문에	합의/ncn+문/xsn+에/jca
공식	공식/ncn
서명함에	서명/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
두정당이	두/nnc+정당/ncn+이/jcs
단일	단일/ncn
후보를	후보/ncn+를/jco
중심으로	중심/ncn+으로/jca
연대하는	연대/ncpa+하/xsv+는/etm
새로운	새롭/paa+ㄴ/etm
정치실험이	정치/ncn+실험/ncn+이/jcs
시작됐습니다.	시작/ncpa+되/xsv+었/ep+습니다/ef+./sf
앞으로	앞/ncn+으로/jca
반DJP	반/xp+DJP/f
연대라는	연대/ncn+라/ef+는/etm
역풍이	역풍/ncn+이/jcs
만만치	만만/paa+치/ecx
않을	않/px+을/etm
것으로	것/nbn+으로/jca
보이지만	보이/pvg+지만/ecs
외부	외부/ncn
인사	인사/ncn
영입을	영입/ncn+을/jco
통해	통하/pvg+어/ecx
대세론을	대세/ncn+론/xsn+을/jco
형성해	형성/ncpa+하/xsv+어/ecx
나간다는	나가/px+ㄴ다/ef+는/etm
전략입니다.	전략/ncn+이/jp+ㅂ니다/ef+./sf
양철훈	양철훈/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
김대중,	김대중/nq+,/sp
김종필	김종필/nq
총재의	총재/ncn+의/jcm
후보	후보/ncn
단일화에	단일/ncn+화/xsn+에/jca
이어	잇/pvg+어/ecs
내일은	내일/ncn+은/jxc
무소속의	무/xp+소속/ncn+의/jcm
박태준의원이	박태준/nq+의원/ncn+이/jcs
자민련에	자민련/nq+에/jca
입당합니다.	입당/ncpa+하/xsv+ㅂ니다/ef+./sf
박태준	박태준/nq
의원은	의원/ncn+은/jxc
자민련	자민련/nq
총재직을	총재/ncn+직/xsn+을/jco
맡을	맡/pvg+을/etm
예정이며	예정/ncn+이/jp+며/ecs
오는	오/px+는/etm
5일쯤	5/nno+일/nbu+쯤/xsn
김대중,	김대중/nq+,/sp
김종필	김종필/nq
총재와	총재/ncn+와/jcj
3자	3/nnc+자/xsn
회동을	회동/ncn+을/jco
가질	가지/pvg+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
후보	후보/ncn
단일화에도	단일/ncn+화/xsn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecs
상대적으로	상대/ncn+적/xsn+으로/jca
취약한	취약/ncpa+하/xsv+ㄴ/etm
대구	대구/nq
경북지역을	경북/nq+지역/ncn+을/jco
보강하기	보강/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
이른바	이른바/mag
DJT연대	DJT/f+연대/ncn
전략입니다.	전략/ncn+이/jp+ㅂ니다/ef+./sf
김종필	김종필/nq
총재는	총재/ncn+는/jxc
이달	이/mmd+달/ncn
중순쯤	중순/ncn+쯤/xsn
구성될	구성/ncpa+되/xsv+ㄹ/etm
양당의	양당/ncn+의/jcm
공동선대위원장직을	공동/ncn+선대/ncn+위원/ncn+장/xsn+직/xsn+을/jco
맡게	맡/pvg+게/ecx
됩니다.	되/px+ㅂ니다/ef+./sf
두	두/nnc
당은	당/ncn+은/jxc
영남권	영남/nq+권/xsn
인사와	인사/ncn+와/jcj
통추	통추/nq
등	등/nbn
개혁성향의	개혁/ncn+성향/ncn+의/jcm
인사도	인사/ncn+도/jxc
두루	두루/mag
영입해	영입/ncpa+하/xsv+어/ecs
1달	1/nnc+달/nbu
반	반/ncn
남은	남/pvg+은/jxc
대선기간	대선/ncn+기간/ncn
동안	동안/ncn
대세론을	대세/ncn+론/xsn+을/jco
가시화시켜	가시/ncn+화/xsn+시키/xsv+어/ecx
나간다는	나가/px+ㄴ다/ef+는/etm
전략입니다.	전략/ncn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
DJP	DJP/f
연대에	연대/ncn+에/jca
따른	따르/pvg+ㄴ/etm
역풍을	역풍/ncn+을/jco
어떻게	어떻/pad+게/ecs
잠재우느냐가	잠/ncn+재우/pvg+느냐/ef+가/jcs
대선고지	대선/ncn+고지/ncn
점령의	점령/ncn+의/jcm
관건입니다.	관건/ncn+이/jp+ㅂ니다/ef+./sf
우선	우선/mag
DJP연대가	DJP/f+연대/ncn+가/jcs
'밀실야합'이라는	'/sl+밀실/ncn+야합/ncn+'/sr+이/jp+라/ef+는/etm
비난	비난/ncn
여론을	여론/ncn+을/jco
극복해야	극복/ncpa+하/xsv+어야/ecs
합니다.	하/px+ㅂ니다/ef+./sf
반DJP	반/xp+DJP/f
정서와	정서/ncn+와/jcj
반	반/xp
DJP연대	DJP/f+연대/ncn
움직임이	움직임/ncn+이/jcs
확산되고	확산/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
것도	것/nbn+도/jxc
부담스런	부담/ncps+스럽/xsm+ㄴ/etm
일입니다.	일/ncn+이/jp+ㅂ니다/ef+./sf
양당에서는	양당/ncn+에서/jca+는/jxc
문제가	문제/ncn+가/jcs
없다고	없/paa+다/ef+고/jcr
장담하고	장담/ncpa+하/xsv+고/ecx
있지만	있/px+지만/ecs
그동안	그/mmd+동안/ncn
견해를	견해/ncn+를/jco
달리했던	다르/pvg+이/ep+하/px+던/etm
이념과	이념/ncn+과/jcj
정책의	정책/ncn+의/jcm
조율도	조율/ncn+도/jxc
쉽지	쉽/paa+지/ecx
않은	않/px+은/etm
일입니다.	일/ncn+이/jp+ㅂ니다/ef+./sf
무엇보다	무엇/npd+보다/jca
집권할	집권/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
어떻게	어떻/pad+게/ecs
갈등없이	갈등/ncn+없/paa+이/ecs
권력을	권력/ncn+을/jco
분배하느냐가	분배/ncpa+하/xsv+느냐/ef+가/jcs
두당이	두/nnc+당/nbu+이/jcs
넘어야할	넘/pvg+어야/ecs+하/px+ㄹ/etm
가장	가장/mag
높은	높/paa+은/etm
산이	산/ncn+이/jcs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
SBS	SBS/f
양철훈입니다.	양철훈/nq+이/jp+ㅂ니다/ef+./sf
국민신당이	국민신당/nq+이/jcs
오늘	오늘/ncn
창당대회를	창당/ncn+대회/ncn+를/jco
겸한	겸하/pvg+ㄴ/etm
전당대회를	전당/ncn+대회/ncn+를/jco
열어	열/pvg+어/ecs
이인제	이인제/nq
전	전/mma
경기지사를	경기/ncn+지사/ncn+를/jco
당의	당/ncn+의/jcm
대선후보로	대선/ncn+후보/ncn+로/jca
선출하고	선출/ncpa+하/xsv+고/ecs
대선가도에	대선/ncn+가도/ncn+에/jca
정식으로	정식/ncn+으로/jca
뛰어들었습니다.	뛰/pvg+어/ecs+들/pvg+었/ep+습니다/ef+./sf
이인제	이인제/nq
후보는	후보/ncn+는/jxc
후보수락연설에서	후보/ncn+수락/ncn+연설/ncn+에서/jca
세대교체를	세대/ncn+교체/ncn+를/jco
통해	통하/pvg+어/ecs
진정한	진정/ncps+하/xsm+ㄴ/etm
세대통합과	세대/ncn+통합/ncn+과/jcj
국민통합을	국민/ncn+통합/ncn+을/jco
이룩하겠다고	이룩/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
이성철	이성철/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
국민신당이	국민신당/nq+이/jcs
오늘	오늘/ncn
창당대회를	창당/ncn+대회/ncn+를/jco
갖고	갖/pvg+고/ecs
공식출범했습니다.	공식/ncn+출범/ncpa+하/xsv+었/ep+습니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
당의	당/ncn+의/jcm
대선	대선/ncn
후보로	후보/ncn+로/jca
이인제	이인제/nq
전	전/mma
경기지사를	경기/ncn+지사/ncn+를/jco
선출했습니다.	선출/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/nq
후보는	후보/ncn+는/jxc
수락연설에서	수락/ncn+연설/ncn+에서/jca
세대교체를	세대/ncn+교체/ncn+를/jco
통한	통하/pvg+ㄴ/etm
세대통합과	세대/ncn+통합/ncn+과/jcj
국민통합을	국민/ncn+통합/ncn+을/jco
강조했습니다.	강조/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/nq
후보는	후보/ncn+는/jxc
또	또/mag
'DJP	'/sl+DJP/f
연대'를	연대/ncn+'/sr+를/jco
강력히	강력/ncn+히/xsa
비판하면서	비판/ncpa+하/xsv+면서/ecs
이에맞서	이/npd+에/jca+맞서/pvg+어/ecs
반드시	반드시/mag
승리하겠다고	승리/ncpa+하/xsv+겠/ep+다/ef+고/jcr
다짐했습니다.	다짐/ncpa+하/xsv+었/ep+습니다/ef+./sf
"12월	"/sl+12/nno+월/nbu
18일	18/nno+일/nbu
승리를	승리/ncn+를/jco
향하여	향하/pvg+어/ecs
당원	당원/ncn
동지들이여	동지/ncn+들/xsn+이여/jcv
두려움없이	두려움/ncn+없/paa+이/xsa
전진해	전진/ncpa+하/xsv+어/ecx
나가자"	나가/px+자/ef+"/sl
국민신당은	국민신당/nq+은/jxc
이만섭	이만섭/nq
전	전/mma
국회의장을	국회/ncn+의장/ncn+을/jco
당	당/ncn
총재로,	총재/ncn+로/jca+,/sp
장을병	장을병/nq
창당준비위원장을	창당/ncn+준비/ncn+위원/ncn+장/xsn+을/jco
최고위원에	최고/ncn+위원/ncn+에/jca
선출했습니다.	선출/ncpa+하/xsv+었/ep+습니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
총재와	총재/ncn+와/jcj
복수최고위원을	복수/ncn+최고/ncn+위원/ncn+을/jco
두는	두/pvg+는/etm
집단지도체제를	집단/ncn+지도/ncn+체제/ncn+를/jco
도입해	도입/ncpa+하/xsv+어/ecs
조만간	조만간/mag
10명	10/nnc+명/nbu
이내의	이내/nbn+의/jcm
최고위원들을	최고/ncn+위원/ncn+들/xsn+을/jco
임명하기로	임명/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
오늘	오늘/ncn
창당대회에서는	창당/ncn+대회/ncn+에서/jca+는/jxc
대통령과	대통령/ncn+과/jcj
당	당/ncn
대표의	대표/ncn+의/jcm
분리,	분리/ncn+,/sp
책임총리제,	책임/ncn+총리/ncn+제/xsn+,/sp
공직	공직/ncn
후보의	후보/ncn+의/jcm
상향식	상향/ncn+식/xsn
선출	선출/ncn
등을	등/nbn+을/jco
골간으로	골간/ncn+으로/jca
하는	하/pvg+는/etm
정강정책과	정강/ncn+정책/ncn+과/jcj
당헌도	당헌/ncn+도/jxc
채택됐습니다.	채택/ncpa+되/xsv+었/ep+습니다/ef+./sf
국민신당의	국민신당/nq+의/jcm
창당으로	창당/ncn+으로/jca
이번	이/mmd+번/nbn
대선전은	대선/ncn+전/xsn+은/jxc
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
3자	3/nnc+자/nbu
대결로	대결/ncn+로/jca
접어들게	접/pvg+어/ecs+들/pvg+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
SBS	SBS/f
이성철입니다.	이성철/nq+이/jp+ㅂ니다/ef+./sf
이인제	이인제/nq
국민신당	국민신당/nq
대통령	대통령/ncn
후보는	후보/ncn+는/jxc
이번	이/mmd+번/nbn
대선의	대선/ncn+의/jcm
성격을	성격/ncn+을/jco
내각제와	내각/ncn+제/xsn+와/jcj
반	반/xp
내각제의	내각/ncn+제/xsn+의/jcm
대결로	대결/ncn+로/jca
규정하고	규정/ncpa+하/xsv+고/ecs
내각제	내각/ncn+제/xsn
반대	반대/ncn
세력	세력/ncn
결집에	결집/ncn+에/jca
주력하겠다고	주력/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
국민신당의	국민신당/nq+의/jcm
출범을,	출범/ncn+을/jco+,/sp
3당합당전의	3/nnc+당/ncn+합당/ncn+전/xsn+의/jcm
이른바	이른바/mag
