<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0009.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0009.txt </filename>
<title>임상의학의 탄생  </title>
<author>미셸 푸꼬 저 ; 홍성민 역  </author>
<date>1993  </date>
<publisher>인간사랑  </publisher>
<kdc>166.8  </kdc>
<ddc>194  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제목	제목/ncn
순간에	순간/ncn+에/jca
,	,/sp
그	그/mmd
자리에서	자리/ncn+에서/jca
생기발랄하고	생기/ncn+발랄/ncps+하/xsm+고/ecc
때로는	때/ncn+로는/jca
예리하게	예리/ncps+하/xsm+게/ecc
혹은	혹은/maj
섬세한	섬세/ncpa+하/xsv+ㄴ/etm
분위기	분위기/ncn
(	(/sl
이것이	이것/npd+이/jcs
바로	바로/mag
그해	그/mmd+해/ncn
겨울에	겨울/ncn+에/jca
남부지방을	남부/ncn+지방/ncn+을/jco
휩쓸고	휩쓸/pvg+고/ecs
간	가/pvg+ㄴ/etm
전염병의	전염/ncn+병/ncn+의/jcm
모습이며	모습/ncn+이/jp+며/ecc
)	)/sr
에	에/jca
의해서	의하/pvg+어서/ecs
,	,/sp
또	또/mag
끈적거리며	끈적거리/pvg+며/ecc
부패한	부패/ncps+하/xsm+ㄴ/etm
분위기에	분위기/ncn+에/jca
따라	따르/pvg+아/ecs
결정된다	결정/ncpa+되/xsv+ㄴ다/ef
(	(/sl
지루한	지루/ncps+하/xsm+ㄴ/etm
여름에	여름/ncn+에/jca
파리를	파리/nq+를/jco
휩쓴	휩쓸/pvg+ㄴ/etm
전염병의	전염/ncn+병/ncn+의/jcm
모습처럼	모습/ncn+처럼/jca
).	)./sr
질병의	질병/ncn+의/jcm
증상들이	증상/ncn+들/xsn+이/jcs
갖는	갖/pvg+는/etm
규칙성은	규칙/ncn+성/xsn+은/jxc
자연법칙의	자연/ncn+법칙/ncn+의/jcm
오묘한	오묘/ncps+하/xsm+ㄴ/etm
조화를	조화/ncn+를/jco
드러내지	드러내/pvg+지/ecx
못한다	못하/px+ㄴ다/ef
.	./sf
증상들은	증상/ncn+들/xsn+은/jxc
단지	단지/mag
항상	항상/mag
반복되는	반복/ncpa+되/xsv+는/etm
원인에	원인/ncn+에/jca
대해서만	대하/pvg+어서/ecs+만/jxc
얘기할	얘기/ncpa+하/xsv+ㄹ/etm
뿐이며	뿐/nbn+이/jp+며/ecc
,	,/sp
특정한	특정/ncps+하/xsm+ㄴ/etm
질병의	질병/ncn+의/jcm
양상을	양상/ncn+을/jco
결정하는	결정/ncpa+하/xsv+는/etm
여러	여러/mma
가지	가지/nbu
요인	요인/ncn
중에서	중/nbn+에서/jca
언제나	언제나/mag
한	한/nnc
가지만을	가지/nbu+만/jxc+을/jco
되풀이하여	되풀이/ncpa+하/xsv+여/ecs
말할	말/ncpa+하/xsv+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
증상들은	증상/ncn+들/xsn+은/jxc
지속적인	지속/ncpa+적/xsn+이/jp+ㄴ/etm
원인들	원인/ncn+들/xsn
,	,/sp
예컨대	예컨대/maj
폴란드에서	폴란드/nq+에서/jca
있었던	있/paa+었/ep+던/etm
추벽	추벽/ncn
**	**/sy
(	(/sl
plica	plica/f
)	)/sr
이나	이나/jcj
스페인에	스페인/nq+에/jca
있었던	있/paa+었/ep+던/etm
경부임파선	경부임파선/ncn
결핵	결핵/ncn
(	(/sl
ecrouelles	ecrouelles/f
)	)/sr
따위만을	따위/nbn+만/jxc+을/jco
문제삼거나	문제/ncn+삼/pvg+거나/ecc
,	,/sp
나이와	나이/ncn+와/jcj
성별	성별/ncn
그리고	그리고/maj
기온에	기온/ncn+에/jca
관계	관계/ncn
없이	없/paa+이/xsa
갑작스럽게	갑작/ncps+스럽/xsm+게/ecs
수많은	수/ncn+많/paa+은/etm
사람들에게	사람/ncn+들/xsn+에게/jca
들이닥친	들이닥치/pvg+ㄴ/etm
질병에	질병/ncn+에/jca
대해	대하/pvg+어/ecs
말할	말/ncpa+하/xsv+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
증상들은	증상/ncn+들/xsn+은/jxc
질병의	질병/ncn+의/jcm
등장을	등장/ncn+을/jco
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
원인에서	원인/ncn+에서/jca
찾으려	찾/pvg+으려/ecs
하지만	하/px+지만/ecs
전염병이라는	전염/ncn+병/ncn+이/jp+라/ef+는/etm
것이	것/nbn+이/jcs
일정한	일정/ncps+하/xsm+ㄴ/etm
순간에	순간/ncn+에/jca
잠깐	잠깐/ncn
등장하듯이	등장/ncpa+하/xsv+듯이/ecs
,	,/sp
이렇나	이렇/pad+나/ecs
원인도	원인/ncn+도/jxc
사실은	사실/ncn+은/jxc
우발적인	우발/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
간주될	간주/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
천연두나	천연두/ncn+나/jcj
악성	악성/ncn
열병	열병/ncn
또는	또는/maj
이질도	이질/ncn+도/jxc
사실은	사실/ncn+은/jxc
전염병의	전염/ncn+병/ncn+의/jcm
일종이다	일종/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
환자의	환자/ncn+의/jcm
기질이나	기질/ncn+이나/jcj
나이에	나이/ncn+에/jca
따라	따르/pvg+아/ecs
양상이	양상/ncn+이/jcs
다양함에도	다양/ncps+하/xsm+ㅁ/etn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecc
,	,/sp
전염병은	전염/ncn+병/ncn+은/jxc
모든	모든/mma
환자에게서	환자/ncn+에게서/jca
동일한	동일/ncps+하/xsm+ㄴ/etm
증상으로	증상/ncn+으로/jca
나타난다는	나타나/pvg+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
놀랄	놀라/pvg+ㄹ/etm
만한	만하/px+ㄴ/etm
사실은	사실/ncn+은/jxc
아니다	아니/paa+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
이유로	이유/ncn+로/jca
해서	하/pvg+어서/ecs
습기나	습기/ncn+나/jcj
건조함	건조/ncps+하/xsm+ㅁ/etn
혹은	혹은/maj
열이나	열/ncn+이나/jcj
냉기가	냉기/ncn+가/jcs
지속될	지속/ncpa+되/xsv+ㄹ/etm
때	때/ncn
그것이	그것/npd+이/jcs
우리가	우리/npd+가/jcs
질병의	질병/ncn+의/jcm
구성요소라고	구성/ncn+요소/ncn+라/ef+고/jcr
생각했던	생각/ncpa+하/xsv+었/ep+던/etm
알칼리	알칼리/ncn
alkalis	alkalis/f
),	),/sr
염기	염기/ncn
(	(/sl
sels	sels/f
),	),/sr
염소	염소/ncn
(	(/sl
phlogisique	phlogisique/f
)	)/sr
의	의/jcm
속성을	속성/ncn+을/jco
지배한다	지배/ncpa+하/xsv+ㄴ다/ef
.	./sf
"	"/sl
우리가	우리/npd+가/jcs
이러한	이러하/pad+ㄴ/etm
구성원칙이	구성/ncn+원칙/ncn+이/jcs
만들어	만들/pvg+어/ecx
내는	내/px+는/etm
하나의	하나/nnc+의/jcm
질병에	질병/ncn+에/jca
걸렸다고	걸리/pvg+었/ep+다/ef+고/jcr
하더라도	하/pvg+더라도/ecs
,	,/sp
이러한	이러하/pad+ㄴ/etm
우연성이	우연/ncn+성/xsn+이/jcs
모든	모든/mma
사람에게	사람/ncn+에게/jca
동일하게	동일/ncps+하/xsm+게/ecs
나타나야만	나타나/pvg+야/ecs+만/jxc
한다	하/pvg+ㄴ다/ef
."	."/sr
그러므로	그러므로/maj
전염병의	전염/ncn+병/ncn+의/jcm
분석은	분석/ncn+은/jxc
분류학의	분류/ncn+학/xsn+의/jcm
추상적인	추상/ncn+적/xsn+이/jp+ㄴ/etm
공간에서	공간/ncn+에서/jca
그것의	그것/npd+의/jcm
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
형태를	형태/ncn+를/jco
알기	알/pvg+기/etn
위한	위하/pvg+ㄴ/etm
것에	것/nbn+에/jca
그	그/mmd
목적이	목적/ncn+이/jcs
있는	있/paa+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
증상	증상/ncn
아래	아래/ncn
깔려	깔리/pvg+어/ecx
있는	있/px+는/etm
독특한	독특/ncps+하/xsm+ㄴ/etm
질병의	질병/ncn+의/jcm
전개과정	전개/ncn+과정/ncn
,	,/sp
즉	즉/maj
상황에	상황/ncn+에/jca
따라	따르/pvg+아/ecs
또는	또는/maj
하나의	하나/nnc+의/jcm
전염병이	전염/ncn+병/ncn+이/jcs
다른	다르/paa+ㄴ/etm
전염병과	전염/ncn+병/ncn+과/jct
갖는	갖/pvg+는/etm
차별성에	차별/ncn+성/xsn+에/jca
따라	따르/pvg+아/ecs
가장	가장/mag
원초적인	원초/ncn+적/xsn+이/jp+ㄴ/etm
원인으로부터	원인/ncn+으로/jca+부터/jxc
죽음을	죽음/ncn+을/jco
초래하는	초래/ncps+하/xsm+는/etm
질병의	질병/ncn+의/jcm
형태에	형태/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
서로	서로/mag
다른	다르/paa+ㄴ/etm
특이성	특이/ncn+성/xsn
속에서	속/ncn+에서/jca
모든	모든/mma
환자를	환자/ncn+를/jco
공통적으로	공통/ncn+적/xsn+으로/jca
끼워낼	끼우/pvg+어/ecx+내/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
(	(/sl
씨실	씨실/ncn
;	;/sy
여기서	여기/npd+서/jca
씨실이란	씨실/ncn+이/jp+란/jxc
각각의	각각/ncn+의/jcm
질병에	질병/ncn+에/jca
공통된	공통/ncps+되/xsm+ㄴ/etm
분모를	분모/ncn+를/jco
찾는다는	찾/pvg+는다/ef+는/etm
뜻	뜻/ncn
)	)/sr
을	을/jco
짜는	짜/pvg+는/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있다/paa
.	./sf
이때	이/mmd+때/ncn
특이성이란	특이/ncn+성/xsn+이/jp+란/jxc
드러나	드러나/pvg+는/etm
장소와	장소/ncn+와/jcj
공간의	공간/ncn+의/jcm
특이성을	특이/ncn+성/xsn+을/jco
뜻한다	뜻/ncpa+하/xsv+ㄴ다/ef
.	./sf
1768	1768/nno
년	년/nbu
파리에는	파리/nq+에/jca+는/jxc
4일열	4일열/ncn
(	(/sl
fievers	fievers/f
quartes	quartes/f
)*	)/sr+*/sy
4	4/nnc
일마다	일/nbu+마다/jxc
하루씩	하루/ncn+씩/nbu
일어나는	일어나/pvg+는/etm
열병의	열병/ncn+의/jcm
일종	일종/ncn
)	)/sr
과	과/jcj
부패열이	부패열/ncn+이/jcs
있었는데	있/paa+었/ep+는데/ecs
,	,/sp
이러한	이러하/pad+ㄴ/etm
전염병의	전염/ncn+병/ncn+의/jcm
본체는	본체/ncn+는/jxc
담즙의	담즙/ncn+의/jcm
순환이	순환/ncn+이/jcs
원활히	원활/ncn+히/xsa
안	안/mag
되어	되/pvg+어/ecs
우울증이	우울/ncn+증/xsn+이/jcs
나타나고	나타나/pvg+고/ecc
,	,/sp
피돌기가	피/ncn+돌기/ncn+가/jcs
제대로	제대로/mag
이루어지지	이루/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecc
아랫배가	아랫배/ncn+가/jcs
부풀어	부풀/pvg+어/ecs
폐색증세가	폐색/ncn+증세/ncn+가/jcs
나타난	나타나/pvg+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
다시말해	다시/mag+말/ncpa+하/xsv+어/ecs
환자가	환자/ncn+가/jcs
앓고	앓/pvg+고/ecx
있는	있/px+는/etm
증상의	증상/ncn+의/jcm
어떤	어떤/mmd
특정	특정/ncn
부분만이	부분/ncn+만/jxc+이/jcs
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
현상처럼	현상/ncn+처럼/jca
확대되어	확대/ncpa+되/xsv+어/ecs
단번에	단번/ncn+에/jca
,	,/sp
그리고	그리고/maj
급작스럽게	급작/ncps+스럽/xsm+게/ecs
나타난	나타나/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
보통의	보통/ncn+의/jcm
질병은	질병/ncn+은/jxc
정도의	정도/ncn+의/jcm
차이는	차이/ncn+는/jxc
있지만	있/paa+지만/ecs
언제나	언제나/mag
지속되는	지속/ncpa+되/xsv+는/etm
것인	것/nbn+이/jp+ㄴ/etm
데	데/nbn
반하여	반하/pvg+여/ecs
전염병은	전염/ncn+병/ncn+은/jxc
갑작스럽게	갑작/ncps+스럽/xsm+게/ecs
일어난다는	일어나/pvg+ㄴ다/ef+는/etm
데	데/nbn
그	그/mmd
특징이	특징/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
인식구조	인식/ncn+구조/ncn
아래서	아래/ncn+서/jca
질병이	질병/ncn+이/jcs
어떻게	어떠하/pad+게/ecs
전염되는가는	전염/ncpa+되/xsv+는가/ef+는/jxc
그다지	그다지/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
문제가	문제/ncn+가/jcs
아니다	아니/paa+다/ef
.	./sf
왜냐하면	왜냐하면/maj
개인	개인/ncn
사이에	사이/ncn+에/jca
질병이	질병/ncn+이/jcs
옮겨간다는	옮기/pvg+어/ecs+가/pvg+ㄴ다/ef+는/etm
사실은	사실/ncn+은/jxc
전염병의	전염/ncn+병/ncn+의/jcm
특징이	특징/ncn+이/jcc
아니기	아니/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
식수나	식수/ncn+나/jcj
음식물	음식/ncn+물/xsn
혹은	혹은/maj
신체적인	신체/ncn+적/xsn+이/jp+ㄴ/etm
접촉	접촉/ncn
,	,/sp
바람	바람/ncn
,	,/sp
그리고	그리고/maj
탁한	탁하/paa+ㄴ/etm
공기에	공기/ncn+에/jca
의해서	의하/pvg+어서/ecs
전달될	전달/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
악취나	악취/ncn+나/jcj
효모	효모/ncn
따위가	따위/nbn+가/jcs
전염병의	전염/ncn+병/ncn+의/jcm
원인이	원인/ncn+이/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
질병의	질병/ncn+의/jcm
직접적인	직접/ncn+적/xsn+이/jp+ㄴ/etm
원인으로서	원인/ncn+으로서/jca
악취나	악취/ncn+나/jcj
효모	효모/ncn
의	의/jcm
전이가	전이/ncn+가/jcs
발병의	발병/ncn+의/jcm
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
요인이	요인/ncn+이/jcc
되는가	되/pvg+는가/ef
하면	하/pvg+면/ecs
,	,/sp
병원이나	병원/ncn+이나/jcj
마을주변의	마을/ncn+주변/ncn+의/jcm
후미진	후미지/pvg+ㄴ/etm
곳에서	곳/ncn+에서/jca
주로	주로/mag
있기	있/paa+기/etn
마련인	마련/ncn+이/jp+ㄴ/etm
악취가	악취/ncn+가/jcs
다른	다르/paa+ㄴ/etm
요인에	요인/ncn+에/jca
의해서	의하/pvg+어서/ecs
생긴	생기/pvg+ㄴ/etm
질병의	질병/ncn+의/jcm
결과물로서	결과/ncn+물/xsn+로서/jca
등장하는	등장/ncpa+하/xsv+는/etm
부차적인	부차/ncn+적/xsn+이/jp+ㄴ/etm
경우도	경우/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
감염이란	감염/ncn+이/jp+란/jxc
대규모의	대/xp+규모/ncn+의/jcm
전염병이	전염/ncn+병/ncn+이/jcs
갖는	갖/pvg+는/etm
하나의	하나/nnc+의/jcm
양상에	양상/ncn+에/jca
불과하다	불과/ncps+하/xsm+다/ef
.	./sf
물론	물론/mag
폐스트와	폐스트/ncn+와/jct
같은	같/paa+은/etm
흉악한	흉악/ncps+하/xsm+ㄴ/etm
질병이	질병/ncn+이/jcs
매개체를	매개/ncn+체/xsn+를/jco
갖는다는	갖/pvg+는다/ef+는/etm
사실은	사실/ncn+은/jxc
이미	이미/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그렇지만	그렇지만/maj
백일해	백일해/ncn
,	,/sp
홍역	홍역/ncn
,	,/sp
성홍열	성홍열/ncn
,	,/sp
설사	설사/ncn
,	,/sp
간헐적인	간헐/ncn+적/xsn+이/jp+ㄴ/etm
발열현상에	발열/ncn+현상/ncn+에/jca
감염을	감염/ncn+을/jco
유발하는	유발/ncpa+하/xsv+는/etm
매개체가	매개/ncn+체/xsn+가/jcs
있다고	있/paa+다/ef+고/jcr
인정하기는	인정/ncn+하/xsv+기/etn+는/jxc
쉽지	쉽/paa+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
감염성의	감염/ncn+성/xsn+의/jcm
정도가	정도/ncn+가/jcs
심각하건	심각/ncps+하/xsm+건/ecc
그렇지	그렇/pad+지/ecx
않건	않/px+건/ecs
간에	간/nbn+에/jca
전염병이란	전염/ncn+병/ncn+이/jp+란/jxc
자기만의	자기/ncn+만/jxc+의/jcm
독특한	독특/ncps+하/xsm+ㄴ/etm
진행과정을	진행/ncn+과정/ncn+을/jco
갖기	갖/pvg+기/etn
마련이다	마련/ncn+이/jp+다/ef
.	./sf
바로	바로/mag
이와	이/mmd+와/jct
같은	같/paa+은/etm
이유	이유/ncn
때문에	때문/nbn+에/jca
전염병을	전염/ncn+병/ncn+을/jco
살피기	살피/pvg+기/etn
위한	위하/pvg+ㄴ/etm
다양한	다양/ncps+하/xsm+ㄴ/etm
방법이	방법/ncn+이/jcs
필요하며	필요/ncps+하/xsm+며/ecc
,	,/sp
전염병의	전염/ncn+병/ncn+의/jcm
증상이	증상/ncn+이/jcs
다하게	다하/pvg+게/ecs
얽혀서	얽히/pvg+어서/ecs
등장하기	등장/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
그것을	그것/npd+을/jco
바라보는	바라보/pvg+는/etm
의학적	의학/ncn+적/xsn
시선	시선/ncn
또한	또한/maj
복잡할	복잡/ncps+하/xsm+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다는	없/paa+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
뚜렷하게	뚜렷/ncps+하/xsm+게/ecs
등장하는	등장/ncpa+하/xsv+는/etm
질병의	질병/ncn+의/jcm
흐름은	흐름/ncn+은/jxc
독특한	독특/ncps+하/xsm+ㄴ/etm
특징이나	특징/ncn+이나/jcj
우연한	우연/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
생각할	생각/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
대부분의	대부분/ncn+의/jcm
진행과정은	진행/ncn+과정/ncn+은/jxc
섬세하고	섬세/ncps+하/xsm+고/ecc
일관성	일관/ncn+성/xsn
있게	있/paa+게/ecs
관찰되어야만	관찰/ncpa+되/xsv+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
질병에	질병/ncn+에/jca
대한	대하/pvg+ㄴ/etm
지식이	지식/ncn+이/jcs
정확하지	정확/ncps+하/xsm+지/ecx
못하고	못하/px+고/ecc
부분적이며	부분/ncn+적/xsn+이/jp+며/ecc
본질에	본질/ncn+에/jca
접근할	접근/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
경우에	경우/ncn+에/jca
여러	여러/mma
가지	가지/nbu
시각이	시각/ncn+이/jcs
교차되고	교차/ncpa+되/xsv+고/ecc
,	,/sp
똑같은	똑같/paa+은/etm
정보가	정보/ncn+가/jcs
반복되는	반복/ncpa+되/xsv+는/etm
뒤엉킴	뒤엉키/pvg+ㅁ/etn
속에서	속/ncn+에서/jca
질병의	질병/ncn+의/jcm
본래	본래/ncn
모습은	모습/ncn+은/jxc
사라지고	사라지/pvg+고/ecx
말며	말/px+며/ecc
,	,/sp
이러한	이러하/pad+ㄴ/etm
혼란은	혼란/ncn+은/jxc
의학적	의학/ncn+적/xsn
시선이	시선/ncn+이/jcs
교차하는	교차/ncpa+하/xsv+는/etm
곳에서	곳/ncn+에서/jca
전염병이	전염/ncn+병/ncn+이/jcs
초래하는	초래/ncpa+하/xsv+는/etm
집단적인	집단/ncn+적/xsn+이/jp+ㄴ/etm
현상을	현상/ncn+을/jco
한	한/nnc
개인에게	개인/ncn+에게/jca
국한시켜버린다	국한/ncpa+시키/xsv+어/ecx+버리/px+ㄴ다/ef
.	./sf
18	18/nnc
세기	세기/nbu
말엽	말엽/ncn
전염병을	전염/ncn+병/ncn+을/jco
위한	위하/pvg+ㄴ/etm
새로운	새롭/paa+ㄴ/etm
의학적	의학/ncn+적/xsn
조치가	조치/ncn+가/jcs
취해졌다	취하/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
전염병이	전염/ncn+병/ncn+이/jcs
퍼질	퍼지/pvg+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
있는	있/paa+는/etm
지역의	지역/ncn+의/jcm
행정감독관은	행정/ncn+감독/ncn+관/xsn+은/jxc
질병의	질병/ncn+의/jcm
흐름을	흐름/ncn+을/jco
파악하기	파악/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
의사	의사/ncn
이외에	이외/ncn+에/jca
여러	여러/nnc
명의	명/nbu+의/jcm
보조의사를	보조/ncn+의사/ncn+를/jco
임명할	임명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
된	되/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
행정감독관은	행정/ncn+감독/ncn+관/xsn+은/jxc
정기적으로	정기/ncn+적/xsn+으로/jca
담당의사와	담당/ncn+의사/ncn+와/jct
함께	함께/mag
관할구역에	관할/ncn+구역/ncn+에/jca
퍼진	퍼지/pvg+ㄴ/etm
전염병과	전염/ncn+병/ncn+과/jcj
그것의	그것/npd+의/jcm
대처방법에	대처/ncn+방법/ncn+에/jca
대하여	대하/pvg+여/ecs
의논한다	의논/ncpa+하/xsv+ㄴ다/ef
.	./sf
"	"/sl
동일한	동일/ncps+하/xsm+ㄴ/etm
증세를	증세/ncn+를/jco
보이는	보이/pvg+는/etm
환자가	환자/ncn+가/jcs
4	4/nnc
명에서	명/nbu+에서/jca
5	5/nnc
명	명/nbu
정도	정도/ncn
발생한다면	발생/ncpa+하/xsv+ㄴ다/ef+면/ecs
시의회의	시/ncn+의회/ncn+의/jcm
대표는	대표/ncn+는/jxc
보조의사에게	보조/ncn+의사/ncn+에게/jca
이	이/mmd
사실을	사실/ncn+을/jco
통보해야	통보/ncpa+하/xsv+어야/ecs
하며	하/px+며/ecc
,	,/sp
통보를	통보/ncn+를/jco
받은	받/pvg+은/etm
의사는	의사/ncn+는/jxc
일반	일반/ncn
의사에게	의사/ncn+에게/jca
매일	매일/mag
그	그/mmd
환자들을	환자/ncn+들/xsn+을/jco
치료하도록	치료/ncn+하/xsv+도록/ecs
조치해야	조치/ncn+하/xsv+어야/ecs
하고	하/px+고/ecc
,	,/sp
사태가	사태/ncn+가/jcs
보다	보다/mag
심각하다면	심각/ncps+하/xsm+다/ef+면/ecs
전문의사가	전문/ncn+의사/ncn+가/jcs
나서야	나서/pvg+야/ecs
한다	하/px+ㄴ다/ef
"	"/sr
그러나	그러나/maj
이러한	이러하/pad+ㄴ/etm
조처가	조처/ncn+가/jcs
보다	보다/mag
현실적인	현실/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcs
되기	되/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
주기적이	주기/ncn+적/xsn+이/jcs
감시와	감시/ncn+와/jcj
보다	보다/mag
강한	강하/pvg+ㄴ/etm
행정력이	행정/ncn+력/xsn+이/jcs
있어야만	있/paa+어야/ecs+만/jxc
했다	하/px+었/ep+다/ef
.	./sf
경찰력이	경찰/ncn+력/xsn+이/jcs
없이는	없/paa+이/xsa+는/jxc
전염병을	전염/ncn+병/ncn+을/jco
위한	위하/pvg+ㄴ/etm
의학적	의학/ncn+적/xsn
조치가	조치/ncn+가/jcs
효과를	효과/ncn+를/jco
거둘	거두/pvg+ㄹ/etm
수	수/nbn
없었던	없/paa+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
말하는	말/ncpa+하/xsv+는/etm
경찰력이란	경찰/ncn+력/xsn+이/jp+란/jxc
,	,/sp
예컨대	예컨대/maj
광산이나	광산/ncn+이나/jcj
공동묘지를	공동/ncn+묘지/ncn+를/jco
관리하고	관리/ncpa+하/xsv+고/ecc
사람을	사람/ncn+을/jco
매장하기보다는	매장/ncpa+하/xsv+기/etn+보다/jca+는/jxc
화장시키는	화장/ncpa+시키/xsv+는/etm
방법을	방법/ncn+을/jco
권장하며	권장/ncpa+하/xsv+며/ecc
,	,/sp
음식물의	음식/ncn+물/xsn+의/jcm
유통을	유통/ncn+을/jco
관리하고	관리/ncpa+하/xsv+고/ecc
,	,/sp
도살장이나	도살/ncn+장/xsn+이나/jcj
염색공장의	염색/ncn+공장/ncn+의/jcm
환경을	환경/ncn+을/jco
규제하며	규제/ncpa+하/xsv+며/ecc
,	,/sp
거주환경을	거주/ncpa+환경/ncn+을/jco
단속하는	단속/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
또한	또한/maj
지형적	지형/ncn+적/xsn
특성을	특성/ncn+을/jco
면밀하게	면밀/ncps+하/xsm+게/ecs
조사하고	조사/ncpa+하/xsv+고/ecx
난	나/px+ㄴ/etm
후에	후/ncn+에/jca
각	각/mma
지방의	지방/ncn+의/jcm
특성에	특성/ncn+에/jca
맞는	맞/pvg+는/etm
전염병	전염/ncn+병/ncn
예방책을	예방/ncn+책/xsn+을/jco
만들어	만들/pvg+어/ecs
,	,/sp
교회의	교회/ncn+의/jcm
설교시간이나	설교/ncn+시간/ncn+이나/jcj
사람들이	사람/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
모이는	모이/pvg+는/etm
축제날에	축제/ncn+날/ncn+에/jca
공포하는	공포/ncpa+하/xsn+는/etm
일이	일/ncn+이/jcs
필요했다	필요/ncps+하/xsm+었/ep+다/ef
.	./sf
그	그/mmd
예방책이라는	예방/ncn+책/xsn+이/jp+라/ef+는/etm
것은	것/nbn+은/jxc
식사하는	식사/ncpa+하/xsv+는/etm
방법이나	방법/ncn+이나/jcj
옷입는	옷/ncn+입/pvg+는/etm
방법	방법/ncn
,	,/sp
전염을	전염/ncn+을/jco
피하고	피하/pvg+고/ecc
이미	이미/mag
병이	병/ncn+이/jcs
퍼져	퍼지/pvg+어/ecx
있는	있/px+는/etm
경우에는	경우/ncn+에/jca+는/jxc
예방하고	예방/ncpa+하/xsv+고/ecc
치료하는	치료/ncpa+하/xsn+는/etm
것을	것/nbn+을/jco
알리는	알리/pvg+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
마지막으로	마지막/ncn+으로/jca
각	각/mma
지방에는	지방/ncn+에/jca+는/jxc
검역감시관을	검역/ncn+감시/ncn+관/xsn+을/jco
파견하여	파견/ncpa+하/xsv+여/ecs
지역의	지역/ncn+의/jcm
의학	의학/ncn
